gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateThroughBall,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,goalAssistSetplay,goalAssistDeadball,attCmissRight,shotFastbreak,attBxRight,goalAssistOpenplay,attMissHighRight,penaltyWon,totalFastbreak,attMissRight,bigChanceCreated,goalAssist,accurateFreekickCross,bigChanceMissed,sixYardBlock,attSetpiece,totalPullBack,attAssistSetplay,attFastbreak,overrun,accurateFlickOn,goalAssistIntentional,attHdMiss,forwardGoals,accurateKeeperSweeper,attSvLowLeft,interceptionsInBox,attMissHighLeft,totalKeeperSweeper,errorLeadToShot,attFreekickMiss,effectiveBlockedCross,blockedCross,handBall,accuratePullBack,postScoringAtt,attIboxPost,attHdTarget,hitWoodwork,attSvHighCentre,attPostRight,attOneOnOne,attSvHighRight,ptsGainedLosingPos,attCmissHigh,contentiousDecision,attPostLeft,attObxdLeft,attOboxPost,attCmissLeft,attSvHighLeft,attHdPost,attPostHigh,goalFastbreak,attLgCentre,attFreekickTarget,ptsDroppedWinningPos,attCmissHighRight,attObxRight,errorLeadToGoal,foulThrowIn,attCmissHighLeft,attObxdRight,clearanceOffLine,attIboxOwnGoal
11,2562002,2025-11-08 17:30:00,"Stadium of Light, Sunderland",46799.0,Away,Arsenal,Sunderland,2,2,D,0.0,1.0,0,0,0.0,3.0,1.0,38.0,0.0,1.0,,4.0,1.3769,10.0,25.0,4.0,7.0,12.0,1.0,0.0,1.0,146.0,0.0,4.0,8.0,2.0,3.0,9.0,7.0,146.0,114.0,60.0,1.0,17.0,,21.0,4.0,3.0,1.0,22.0,4.0,0.0,1.0,25.0,1.0,4.0,20.0,0.8198,330.0,,1.0,0.0,224.0,13.0,0.0,1.0,2.0,2.0,,76.0,97.0,5.0,79.0,21.0,12.0,5.0,1.0,0.0,0.0,9.0,3.0,114.0,6.0,0.0,158.0,705.0,7.0,7.0,32.0,3.0,448.0,11.0,6.0,19.0,1.0,2.0,4.0,1.03988,21.0,510.0,0.0357,62.0,1.0,32.91,116216,8.0,134.0,10.0,150.0,5.0,112204.94,2.0,3.0,3.0,50.0,0.0,2.0,0.0,,2.0,2.0,7.0,,1.0,2.0,0.0,36.0,460.0,13.0,2.0,24.0,1.0,49.0,1.0,0.0,1.0,0.0,,0.0,2.0,1.0,1.0,2.0,0.0,3.0,,1.0,64.8,18.0,6.0,1.0,2.0,4.0,26.0,2.0,,529.0,3.0,7.0,10.0,6.0,45.0,1.0,3.0,401.0,9.0,4.0,31.0,187.0,19.0,19.0,12.0,0.0,2.0,13.0,1.0,17.0,1.9143,3.0,2.0,,,1.0,1.0,1.0,2.0,,,1.0,3.0,3.0,2.0,,3.0,1.0,,1.0,,1.0,1.0,3.0,1.0,,,,1.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,
12,2562006,2025-11-23 16:30:00,"Emirates Stadium, London",60345.0,Home,Arsenal,Tottenham Hotspur,4,1,W,2.0,0.0,0,0,1.0,3.0,1.0,51.0,3.0,1.0,1.0,1.0,3.1509,20.0,17.0,3.0,9.0,12.0,1.0,2.0,1.0,154.0,0.0,4.0,5.0,4.0,5.0,11.0,8.0,103.0,138.0,58.0,2.0,17.0,1.0,14.0,2.0,1.0,4.0,15.0,16.0,0.0,2.0,17.0,4.0,4.0,28.0,0.127,188.0,,0.0,0.0,140.0,11.0,0.0,,4.0,2.0,2.0,48.0,78.0,8.0,62.0,11.0,22.0,5.0,2.0,0.0,0.0,4.0,2.0,138.0,,0.0,129.0,639.0,4.0,3.0,27.0,11.0,348.0,14.0,10.0,7.0,1.0,,3.0,1.47366,18.0,428.0,0.0611,65.0,2.0,34.04,232413,8.0,179.0,5.0,197.0,7.0,112161.67,2.0,9.0,6.0,49.0,0.0,3.0,0.0,3.0,1.0,4.0,12.0,3.0,2.0,1.0,0.0,51.0,363.0,15.0,4.0,30.0,3.0,58.0,0.0,0.0,,0.0,,0.0,1.0,,4.0,1.0,0.0,2.0,,3.0,57.4,14.0,6.0,1.0,2.0,2.0,37.0,4.0,2.0,448.0,11.0,9.0,11.0,7.0,33.0,2.0,5.0,266.0,5.0,4.0,15.0,85.0,27.0,7.0,23.0,0.0,0.0,10.0,4.0,17.0,1.9286,9.0,4.0,,,,,1.0,4.0,2.0,,,,3.0,4.0,1.0,2.0,,2.0,,3.0,,1.0,1.0,3.0,3.0,,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,1.0,2.0,1.0,,,,,
13,2562017,2025-11-30 16:30:00,"Stamford Bridge, London",39820.0,Away,Arsenal,Chelsea,1,1,D,0.0,0.0,0,1,0.0,1.0,1.0,41.0,0.0,0.0,2.0,1.0,2.1844,11.0,17.0,2.0,2.0,6.0,3.0,0.0,2.0,144.0,0.0,4.0,5.0,1.0,,8.0,4.0,128.0,121.0,44.0,,8.0,1.0,29.0,2.0,1.0,,15.0,9.0,0.0,1.0,17.0,3.0,6.0,23.0,1.1528,219.0,,0.0,0.0,141.0,13.0,0.0,3.0,0.0,,,52.0,69.0,5.0,55.0,12.0,7.0,2.0,,0.0,0.0,4.0,,121.0,6.0,0.0,136.0,620.0,7.0,2.0,23.0,10.0,371.0,20.0,5.0,9.0,6.0,2.0,3.0,1.31741,15.0,441.0,,54.0,,30.76,232413,2.0,175.0,8.0,196.0,6.0,110633.38,0.0,2.0,7.0,58.0,0.0,1.0,0.0,3.0,6.0,1.0,17.0,5.0,5.0,2.0,0.0,40.0,390.0,12.0,5.0,24.0,,48.0,1.0,0.0,1.0,0.0,,0.0,3.0,1.0,1.0,1.0,0.0,4.0,,3.0,61.7,13.0,2.0,,6.0,1.0,27.0,3.0,,463.0,10.0,6.0,14.0,3.0,26.0,,3.0,282.0,3.0,6.0,12.0,110.0,12.0,9.0,15.0,1.0,1.0,7.0,4.0,12.0,1.2602,2.0,3.0,,,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,2.0,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,
14,2562026,2025-12-03 19:30:00,"Emirates Stadium, London",60110.0,Home,Arsenal,Brentford,2,0,W,1.0,0.0,0,0,0.0,2.0,1.0,56.0,0.0,0.0,,2.0,1.2808,25.0,25.0,5.0,5.0,10.0,1.0,1.0,3.0,164.0,2.0,2.0,7.0,2.0,1.0,13.0,7.0,148.0,139.0,57.0,,15.0,2.0,20.0,3.0,2.0,,15.0,14.0,0.0,2.0,25.0,3.0,5.0,26.0,0.1405,240.0,1.0,0.0,0.0,180.0,7.0,0.0,1.0,0.0,1.0,2.0,76.0,85.0,10.0,87.0,12.0,11.0,5.0,,0.0,0.0,3.0,1.0,139.0,5.0,1.0,143.0,733.0,11.0,8.0,28.0,6.0,445.0,19.0,6.0,16.0,0.0,3.0,3.0,0.997379,17.0,525.0,,71.0,2.0,34.38,500040,6.0,218.0,8.0,235.0,5.0,118981.6,0.0,4.0,5.0,51.0,0.0,3.0,0.0,,5.0,2.0,17.0,1.0,3.0,1.0,0.0,55.0,456.0,8.0,5.0,22.0,,72.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,1.0,2.0,0.0,0.0,2.0,,1.0,61.9,15.0,7.0,,6.0,4.0,41.0,4.0,2.0,542.0,6.0,10.0,9.0,4.0,24.0,,3.0,322.0,9.0,5.0,16.0,136.0,21.0,16.0,26.0,1.0,0.0,15.0,4.0,16.0,1.7665,4.0,4.0,,,2.0,1.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,3.0,,,4.0,,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
15,2562036,2025-12-06 12:30:00,"Villa Park, Birmingham",42888.0,Away,Arsenal,Aston Villa,1,2,L,0.0,1.0,0,0,0.0,5.0,1.0,51.0,0.0,0.0,,1.0,2.0719,18.0,24.0,6.0,8.0,9.0,4.0,0.0,3.0,129.0,1.0,4.0,6.0,1.0,,10.0,9.0,122.0,116.0,48.0,,15.0,,7.0,3.0,2.0,,16.0,11.0,0.0,5.0,24.0,3.0,4.0,18.0,1.9933,209.0,,0.0,0.0,152.0,8.0,0.0,2.0,0.0,,,39.0,76.0,6.0,49.0,13.0,15.0,6.0,,0.0,0.0,5.0,1.0,116.0,13.0,1.0,143.0,641.0,10.0,6.0,33.0,11.0,360.0,20.0,3.0,9.0,2.0,7.0,4.0,0.95495,16.0,424.0,,59.0,,32.16,224117,4.0,171.0,8.0,189.0,3.0,113446.46,1.0,10.0,6.0,40.0,0.0,,0.0,3.0,4.0,1.0,14.0,2.0,6.0,,0.0,42.0,376.0,10.0,10.0,21.0,3.0,45.0,0.0,0.0,2.0,0.0,,0.0,3.0,4.0,1.0,2.0,0.0,3.0,1.0,1.0,52.7,12.0,7.0,2.0,4.0,1.0,27.0,3.0,,443.0,11.0,8.0,10.0,5.0,30.0,1.0,4.0,270.0,6.0,4.0,12.0,116.0,20.0,9.0,20.0,0.0,2.0,11.0,5.0,13.0,1.9234,10.0,3.0,,,2.0,2.0,1.0,,,,2.0,4.0,3.0,,,3.0,1.0,,2.0,,2.0,1.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,,5.0,5.0,,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
16,2562045,2025-12-13 20:00:00,"Emirates Stadium, London",60242.0,Home,Arsenal,Wolverhampton Wanderers,2,1,W,0.0,0.0,0,0,0.0,1.0,,45.0,0.0,0.0,,2.0,0.2811,11.0,21.0,4.0,7.0,12.0,1.0,0.0,1.0,144.0,0.0,6.0,10.0,2.0,6.0,12.0,2.0,188.0,127.0,51.0,1.0,16.0,1.0,15.0,1.0,1.0,3.0,30.0,3.0,0.0,1.0,21.0,6.0,4.0,20.0,0.6249,366.0,,0.0,0.0,219.0,7.0,0.0,1.0,0.0,3.0,,66.0,130.0,5.0,59.0,24.0,13.0,4.0,1.0,0.0,0.0,7.0,2.0,127.0,3.0,0.0,181.0,747.0,11.0,3.0,41.0,8.0,483.0,13.0,5.0,13.0,0.0,1.0,7.0,0.972222,20.0,554.0,0.0517,81.0,2.0,34.35,445122,5.0,140.0,14.0,153.0,6.0,113395.55,0.0,3.0,1.0,33.0,0.0,13.0,0.0,1.0,6.0,0.0,15.0,,1.0,2.0,0.0,28.0,500.0,15.0,4.0,13.0,3.0,50.0,0.0,0.0,1.0,0.0,,0.0,,1.0,0.0,1.0,0.0,5.0,,3.0,69.2,17.0,2.0,3.0,6.0,3.0,37.0,8.0,,572.0,8.0,3.0,7.0,11.0,56.0,1.0,9.0,449.0,6.0,4.0,21.0,172.0,22.0,13.0,5.0,0.0,1.0,12.0,5.0,15.0,1.3899,3.0,8.0,,,3.0,1.0,,,,,1.0,5.0,3.0,,,3.0,,1.0,3.0,1.0,1.0,4.0,,,3.0,,3.0,,,1.0,3.0,,1.0,,,1.0,,,,,1.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,
17,2562058,2025-12-20 20:00:00,"Hill Dickinson Stadium, Liverpool",52513.0,Away,Arsenal,Everton,1,0,W,1.0,0.0,0,0,0.0,,1.0,59.0,0.0,0.0,,2.0,0.8501,23.0,32.0,1.0,2.0,12.0,1.0,0.0,1.0,184.0,0.0,2.0,9.0,1.0,1.0,9.0,2.0,172.0,136.0,47.0,,13.0,,22.0,1.0,1.0,2.0,12.0,9.0,0.0,,32.0,3.0,16.0,29.0,0.1796,251.0,1.0,0.0,0.0,155.0,5.0,0.0,,0.0,,5.0,87.0,54.0,3.0,107.0,9.0,13.0,1.0,,0.0,0.0,2.0,1.0,136.0,4.0,0.0,191.0,845.0,9.0,6.0,43.0,7.0,567.0,26.0,4.0,18.0,2.0,1.0,6.0,0.805425,17.0,644.0,,61.0,,34.93,444145,7.0,324.0,7.0,348.0,3.0,120298.02,1.0,3.0,5.0,57.0,0.0,3.0,0.0,1.0,11.0,0.0,15.0,1.0,3.0,2.0,1.0,52.0,573.0,3.0,4.0,23.0,1.0,63.0,1.0,0.0,,0.0,,0.0,2.0,1.0,1.0,0.0,0.0,2.0,,2.0,65.4,14.0,4.0,1.0,11.0,2.0,38.0,3.0,5.0,654.0,7.0,14.0,16.0,9.0,22.0,1.0,6.0,318.0,9.0,14.0,21.0,125.0,17.0,18.0,14.0,0.0,0.0,11.0,3.0,21.0,2.0034,3.0,3.0,,,,2.0,3.0,,1.0,1.0,2.0,2.0,1.0,,,2.0,,,4.0,,2.0,,2.0,,2.0,1.0,2.0,,,,2.0,,,1.0,1.0,,3.0,2.0,2.0,,2.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,2562065,2025-12-27 15:00:00,"Emirates Stadium, London",60209.0,Home,Arsenal,Brighton and Hove Albion,2,1,W,1.0,0.0,0,0,0.0,3.0,,42.0,0.0,1.0,,10.0,1.6852,16.0,16.0,2.0,14.0,21.0,2.0,1.0,2.0,149.0,0.0,6.0,10.0,2.0,3.0,18.0,6.0,116.0,118.0,46.0,,24.0,,18.0,4.0,2.0,2.0,19.0,6.0,0.0,1.0,16.0,6.0,8.0,27.0,1.4234,183.0,,1.0,0.0,135.0,7.0,0.0,1.0,1.0,3.0,1.0,55.0,73.0,12.0,80.0,13.0,11.0,3.0,,0.0,0.0,2.0,1.0,118.0,7.0,0.0,105.0,632.0,16.0,2.0,57.0,9.0,364.0,16.0,6.0,9.0,2.0,2.0,6.0,0.901083,20.0,431.0,,50.0,,33.41,116216,11.0,199.0,8.0,218.0,4.0,117042.67,0.0,2.0,4.0,47.0,0.0,3.0,0.0,1.0,2.0,1.0,10.0,1.0,,3.0,0.0,46.0,376.0,12.0,7.0,25.0,2.0,57.0,0.0,0.0,1.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,5.0,1.0,3.0,52.7,17.0,4.0,,3.0,10.0,33.0,7.0,1.0,450.0,9.0,10.0,11.0,8.0,30.0,1.0,7.0,251.0,7.0,5.0,10.0,98.0,17.0,9.0,14.0,0.0,1.0,22.0,3.0,16.0,3.0769,2.0,7.0,,,1.0,6.0,4.0,1.0,,,6.0,1.0,3.0,1.0,1.0,4.0,2.0,,4.0,1.0,6.0,,1.0,,2.0,,2.0,1.0,,2.0,2.0,,,,,,1.0,,,,,,,1.0,1.0,,3.0,,,,,,1.0,,,,1.0,,,,,,,,,,
19,2562075,2025-12-30 20:15:00,"Emirates Stadium, London",60279.0,Home,Arsenal,Aston Villa,4,1,W,0.0,0.0,0,0,0.0,2.0,2.0,39.0,0.0,3.0,,6.0,2.7188,17.0,17.0,5.0,9.0,17.0,2.0,1.0,1.0,103.0,1.0,5.0,5.0,4.0,2.0,17.0,7.0,97.0,75.0,38.0,,22.0,1.0,9.0,1.0,,1.0,12.0,7.0,0.0,2.0,17.0,3.0,2.0,25.0,1.6411,189.0,,2.0,0.0,133.0,18.0,0.0,1.0,1.0,1.0,1.0,53.0,42.0,11.0,47.0,9.0,9.0,5.0,,0.0,0.0,2.0,,75.0,9.0,1.0,104.0,504.0,14.0,4.0,38.0,8.0,295.0,6.0,5.0,7.0,2.0,4.0,6.0,1.5294,8.0,340.0,,51.0,1.0,33.27,448104,8.0,118.0,6.0,123.0,9.0,110547.88,3.0,5.0,2.0,44.0,0.0,2.0,1.0,4.0,7.0,3.0,5.0,2.0,2.0,4.0,0.0,28.0,302.0,9.0,8.0,11.0,3.0,33.0,0.0,0.0,,0.0,,0.0,3.0,2.0,2.0,1.0,0.0,4.0,,3.0,46.3,8.0,8.0,1.0,7.0,7.0,20.0,3.0,1.0,351.0,8.0,6.0,13.0,8.0,27.0,1.0,8.0,240.0,10.0,1.0,7.0,101.0,16.0,7.0,17.0,0.0,1.0,19.0,5.0,9.0,3.0436,5.0,3.0,,,,,3.0,3.0,,,,3.0,3.0,3.0,,4.0,1.0,,,1.0,,,1.0,2.0,3.0,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,
20,2562085,2026-01-03 17:30:00,"Vitality Stadium, Bournemouth",11240.0,Away,Arsenal,Bournemouth,3,2,W,1.0,1.0,0,0,1.0,1.0,2.0,52.0,0.0,2.0,1.0,3.0,1.7265,18.0,30.0,5.0,7.0,7.0,1.0,1.0,1.0,168.0,0.0,3.0,7.0,3.0,4.0,10.0,5.0,102.0,142.0,65.0,,12.0,1.0,17.0,1.0,1.0,,20.0,11.0,0.0,1.0,30.0,4.0,11.0,20.0,1.0977,190.0,,1.0,0.0,137.0,8.0,0.0,,2.0,3.0,1.0,64.0,62.0,7.0,78.0,16.0,18.0,5.0,,0.0,0.0,9.0,2.0,142.0,5.0,0.0,114.0,646.0,7.0,12.0,28.0,7.0,352.0,21.0,9.0,20.0,1.0,5.0,3.0,0.668198,13.0,439.0,,60.0,2.0,33.07,248857,4.0,181.0,4.0,210.0,3.0,115704.75,2.0,7.0,8.0,48.0,0.0,3.0,1.0,1.0,4.0,2.0,12.0,10.0,5.0,,0.0,51.0,368.0,12.0,8.0,32.0,1.0,65.0,1.0,0.0,1.0,0.0,,0.0,7.0,,2.0,2.0,0.0,2.0,1.0,1.0,57.0,12.0,5.0,1.0,4.0,4.0,35.0,5.0,1.0,462.0,7.0,6.0,8.0,3.0,28.0,1.0,1.0,272.0,4.0,7.0,21.0,97.0,21.0,20.0,25.0,0.0,1.0,9.0,4.0,17.0,1.1299,7.0,5.0,,,,1.0,2.0,2.0,,,1.0,,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,,,,,1.0,3.0,,1.0,,2.0,2.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,
21,2562096,2026-01-08 20:00:00,"Emirates Stadium, London",60258.0,Home,Arsenal,Liverpool,0,0,D,0.0,0.0,0,0,0.0,1.0,,33.0,0.0,0.0,,3.0,0.6784,12.0,15.0,3.0,2.0,6.0,,0.0,2.0,108.0,0.0,3.0,8.0,0.0,2.0,7.0,4.0,140.0,101.0,33.0,,9.0,1.0,5.0,2.0,,1.0,15.0,6.0,0.0,2.0,15.0,3.0,5.0,24.0,,231.0,1.0,0.0,0.0,158.0,10.0,0.0,,0.0,1.0,,53.0,71.0,6.0,56.0,12.0,12.0,3.0,,0.0,0.0,5.0,,101.0,2.0,0.0,155.0,593.0,6.0,2.0,24.0,7.0,379.0,15.0,1.0,6.0,2.0,3.0,1.0,0.714662,15.0,441.0,,51.0,2.0,33.02,232413,3.0,168.0,6.0,182.0,8.0,112664.25,0.0,4.0,8.0,35.0,0.0,5.0,0.0,2.0,2.0,0.0,11.0,6.0,7.0,,0.0,34.0,396.0,8.0,10.0,10.0,2.0,51.0,0.0,0.0,1.0,0.0,,0.0,,,0.0,0.0,0.0,2.0,2.0,3.0,47.6,13.0,6.0,2.0,2.0,4.0,29.0,3.0,,459.0,7.0,2.0,9.0,1.0,31.0,1.0,1.0,292.0,4.0,3.0,6.0,122.0,10.0,6.0,11.0,0.0,0.0,7.0,5.0,16.0,0.5739,4.0,3.0,,,,,,,,,,,1.0,,,1.0,,,2.0,1.0,,1.0,1.0,,1.0,,,2.0,1.0,,,2.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
22,2562111,2026-01-17 17:30:00,"The City Ground, Nottingham",30729.0,Away,Arsenal,Nottingham Forest,0,0,D,0.0,0.0,0,0,0.0,,,36.0,0.0,0.0,,7.0,0.8523,15.0,27.0,1.0,5.0,14.0,,0.0,2.0,155.0,0.0,11.0,6.0,0.0,2.0,11.0,3.0,136.0,117.0,48.0,,15.0,1.0,17.0,3.0,2.0,1.0,26.0,7.0,0.0,,27.0,9.0,9.0,37.0,,210.0,1.0,0.0,0.0,146.0,14.0,0.0,,0.0,1.0,2.0,48.0,106.0,8.0,69.0,17.0,13.0,1.0,,0.0,0.0,2.0,,117.0,1.0,0.0,134.0,658.0,7.0,3.0,36.0,4.0,405.0,14.0,1.0,17.0,1.0,3.0,3.0,2.26173,10.0,478.0,,50.0,,34.09,444145,6.0,217.0,14.0,232.0,4.0,111322.91,0.0,4.0,6.0,46.0,0.0,1.0,0.0,,6.0,0.0,12.0,5.0,5.0,1.0,0.0,46.0,416.0,8.0,4.0,20.0,6.0,58.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,,0.0,0.0,0.0,7.0,,7.0,60.0,10.0,2.0,,6.0,8.0,32.0,9.0,2.0,494.0,4.0,5.0,17.0,4.0,40.0,4.0,4.0,288.0,3.0,8.0,18.0,109.0,13.0,17.0,16.0,0.0,0.0,7.0,5.0,13.0,2.0982,4.0,9.0,,,2.0,3.0,2.0,,,,3.0,2.0,3.0,,1.0,4.0,5.0,2.0,,4.0,3.0,,1.0,,2.0,,2.0,,,1.0,2.0,,,4.0,4.0,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
23,2562116,2026-01-25 16:30:00,"Emirates Stadium, London",60296.0,Home,Arsenal,Manchester United,2,3,L,1.0,1.0,0,0,2.0,2.0,1.0,42.0,0.0,0.0,,2.0,1.9047,14.0,20.0,6.0,5.0,9.0,,0.0,,132.0,1.0,4.0,7.0,2.0,4.0,13.0,4.0,120.0,127.0,41.0,,15.0,4.0,12.0,2.0,,1.0,25.0,7.0,0.0,1.0,20.0,9.0,8.0,12.0,0.4411,228.0,,0.0,0.0,157.0,11.0,0.0,,0.0,3.0,1.0,52.0,73.0,9.0,58.0,17.0,16.0,6.0,,0.0,0.0,3.0,1.0,127.0,3.0,1.0,133.0,623.0,10.0,5.0,28.0,11.0,356.0,11.0,5.0,13.0,2.0,2.0,4.0,1.40808,17.0,426.0,,47.0,2.0,34.02,462424,6.0,147.0,11.0,166.0,3.0,111397.56,1.0,3.0,5.0,40.0,0.0,3.0,0.0,3.0,8.0,0.0,15.0,7.0,4.0,2.0,0.0,35.0,371.0,9.0,4.0,20.0,4.0,48.0,0.0,0.0,1.0,0.0,,0.0,2.0,,1.0,3.0,0.0,3.0,1.0,2.0,56.1,15.0,4.0,,8.0,6.0,30.0,9.0,1.0,443.0,11.0,8.0,6.0,5.0,41.0,2.0,4.0,302.0,7.0,8.0,14.0,126.0,18.0,13.0,11.0,0.0,1.0,9.0,5.0,13.0,1.1937,3.0,9.0,,,,,1.0,,2.0,,,,,,2.0,,1.0,2.0,4.0,3.0,,,,,1.0,,2.0,,3.0,,2.0,2.0,,,,,3.0,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,3.0,,,1.0,,,,,
24,2562128,2026-01-31 15:00:00,"Elland Road, Leeds",36858.0,Away,Arsenal,Leeds United,4,0,W,2.0,0.0,0,0,0.0,1.0,1.0,42.0,0.0,2.0,,1.0,1.5138,23.0,31.0,2.0,3.0,12.0,1.0,1.0,1.0,166.0,1.0,8.0,10.0,4.0,2.0,12.0,9.0,89.0,136.0,52.0,,15.0,1.0,18.0,4.0,2.0,,26.0,7.0,0.0,1.0,31.0,11.0,8.0,23.0,0.4179,174.0,1.0,1.0,0.0,132.0,7.0,0.0,1.0,2.0,1.0,1.0,51.0,73.0,8.0,57.0,15.0,11.0,3.0,,1.0,0.0,4.0,,136.0,2.0,1.0,83.0,602.0,5.0,5.0,28.0,6.0,303.0,18.0,6.0,16.0,1.0,1.0,4.0,1.66602,23.0,383.0,,57.0,1.0,32.19,444145,7.0,147.0,10.0,170.0,,111965.2,2.0,3.0,1.0,47.0,0.0,1.0,0.0,1.0,7.0,2.0,13.0,1.0,1.0,1.0,0.0,55.0,313.0,10.0,6.0,31.0,7.0,59.0,0.0,0.0,,0.0,,0.0,4.0,1.0,3.0,0.0,0.0,3.0,1.0,7.0,50.5,18.0,3.0,,7.0,2.0,31.0,12.0,1.0,395.0,6.0,7.0,13.0,4.0,45.0,5.0,4.0,251.0,5.0,5.0,18.0,92.0,12.0,16.0,14.0,1.0,0.0,8.0,5.0,19.0,2.1936,3.0,12.0,1.0,,1.0,1.0,,2.0,2.0,,1.0,1.0,6.0,3.0,,5.0,1.0,,,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,3.0,,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,
