gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,saves,divingSave,outfielderBlock,punches,savedIbox,handBall,savedObox,freekickCross,accurateFreekickCross,errorLeadToShot,attGoalLowRight,attLfGoal,attCmissRight,attFreekickTotal,attGoalHighRight,cleanSheet,attOboxGoal,freekickTotal,attCmissHighLeft,attFreekickTarget,foulThrowIn,postScoringAtt,attIboxPost,hitWoodwork,attPostRight,shotFastbreak,attSvHighRight,penaltyWon,totalFastbreak,attSvHighLeft,attPenGoal,attFastbreak,clearanceOffLine,attFreekickMiss,attHdTarget,defenderGoals,attOboxPost,attGoalHighCentre,penaltyConceded,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,goalsConcededObox,midfielderGoals,attPostHigh,attObxLeft,attPostLeft,attHdPost,attPenTarget,penaltySave,attObxdLeft
11,918996,2017-11-05 14:15:00,"Etihad Stadium, Manchester",54286,Away,Arsenal,Manchester City,1,3,L,0,1,0,0,,,58.0,1.0,,,,21.0,13.0,3.0,1.0,3.0,2.0,156.0,,1.0,5.0,1.0,1.0,4.0,,3.0,113.0,133.0,39.0,6.0,,5.0,1.0,2.0,,1.0,1.0,2.0,8.0,10.0,1.0,13.0,4.0,10.0,37.0,,182.0,,0.0,125.0,15.0,,1.0,,65.0,40.0,3.0,65.0,,,4.0,16.0,3.0,,2.0,133.0,,1.0,7.0,116.0,617.0,3.0,1.0,9.0,15.0,345.0,28.0,1.0,6.0,4.0,1.0,,6.0,1.0,27.0,421.0,53.0,,98745,,188.0,,4.0,,1.0,213.0,11.0,1.0,,16.0,7.0,54.0,,3.0,3.0,4.0,1.0,17.0,2.0,4.0,,44.0,369.0,14.0,16.0,,16.0,62.0,,,,0.0,5.0,5.0,1.0,3.0,,0.0,1.0,1.0,1.0,,41.8,25.0,,5.0,1.0,,4.0,,41.0,5.0,,450.0,15.0,15.0,18.0,3.0,30.0,,1.0,245.0,5.0,10.0,5.0,88.0,20.0,,1.0,4.0,16.0,,3.0,4.0,3.0,8.0,,1.0,5.0,5.0,3.0,3.0,2.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,
12,919004,2017-11-18 12:30:00,"Emirates Stadium, London",59530,Home,Arsenal,Tottenham Hotspur,2,0,W,2,0,0,0,,1.0,81.0,,3.0,1.0,1.0,32.0,37.0,6.0,3.0,8.0,3.0,176.0,,2.0,7.0,2.0,4.0,11.0,,5.0,85.0,176.0,56.0,14.0,2.0,20.0,2.0,1.0,,1.0,2.0,1.0,16.0,10.0,1.0,37.0,6.0,12.0,40.0,,155.0,1.0,0.0,140.0,11.0,,1.0,,67.0,56.0,8.0,47.0,,1.0,10.0,21.0,6.0,2.0,3.0,176.0,3.0,,10.0,91.0,617.0,9.0,7.0,25.0,16.0,267.0,44.0,,2.0,18.0,2.0,,4.0,3.0,21.0,371.0,61.0,3.0,98745,4.0,128.0,2.0,5.0,,1.0,152.0,6.0,1.0,,21.0,7.0,57.0,,7.0,8.0,3.0,1.0,20.0,4.0,3.0,1.0,67.0,281.0,15.0,15.0,,21.0,82.0,1.0,,1.0,0.0,1.0,4.0,2.0,,,0.0,2.0,2.0,,1.0,42.1,18.0,,2.0,1.0,,3.0,5.0,44.0,7.0,,399.0,16.0,7.0,29.0,4.0,29.0,,1.0,263.0,10.0,12.0,16.0,80.0,24.0,1.0,2.0,18.0,18.0,1.0,,11.0,2.0,12.0,,2.0,6.0,7.0,4.0,3.0,2.0,,3.0,,1.0,3.0,2.0,2.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,2.0,,,2.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,
13,919013,2017-11-26 14:00:00,"Turf Moor, Burnley",21722,Away,Arsenal,Burnley,1,0,W,0,0,0,0,,1.0,66.0,1.0,5.0,,,19.0,25.0,9.0,8.0,9.0,1.0,204.0,,2.0,14.0,1.0,3.0,14.0,1.0,2.0,172.0,146.0,57.0,18.0,2.0,19.0,,1.0,1.0,,,1.0,17.0,9.0,1.0,25.0,5.0,17.0,36.0,,315.0,1.0,0.0,190.0,14.0,,1.0,2.0,63.0,91.0,7.0,86.0,,3.0,12.0,9.0,9.0,4.0,6.0,146.0,1.0,,3.0,174.0,798.0,14.0,6.0,31.0,5.0,519.0,30.0,3.0,1.0,17.0,,1.0,0.0,7.0,20.0,619.0,60.0,,98745,6.0,218.0,1.0,6.0,,,250.0,6.0,1.0,1.0,9.0,4.0,54.0,,1.0,3.0,5.0,,8.0,5.0,3.0,1.0,45.0,531.0,8.0,9.0,,12.0,73.0,,,,0.0,1.0,5.0,1.0,,2.0,0.0,2.0,,1.0,1.0,63.7,19.0,1.0,1.0,2.0,,5.0,7.0,51.0,5.0,2.0,636.0,5.0,9.0,17.0,9.0,43.0,,3.0,403.0,9.0,16.0,24.0,140.0,27.0,1.0,3.0,17.0,11.0,,,15.0,2.0,18.0,,3.0,1.0,5.0,2.0,2.0,3.0,1.0,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
14,919024,2017-11-29 19:45:00,"Emirates Stadium, London",59285,Home,Arsenal,Huddersfield Town,5,0,W,1,0,0,0,1.0,4.0,63.0,3.0,5.0,,,45.0,13.0,5.0,13.0,16.0,1.0,239.0,,2.0,7.0,5.0,2.0,16.0,1.0,7.0,235.0,134.0,48.0,21.0,1.0,16.0,1.0,,1.0,5.0,2.0,2.0,11.0,12.0,1.0,13.0,6.0,11.0,37.0,2.0,358.0,,0.0,219.0,10.0,,,2.0,74.0,67.0,11.0,111.0,1.0,,5.0,11.0,5.0,1.0,3.0,134.0,5.0,,5.0,228.0,982.0,10.0,6.0,40.0,15.0,698.0,25.0,,1.0,6.0,5.0,1.0,0.0,5.0,17.0,794.0,86.0,3.0,98745,10.0,360.0,2.0,4.0,2.0,,378.0,8.0,1.0,2.0,11.0,3.0,45.0,1.0,7.0,2.0,5.0,5.0,11.0,2.0,3.0,5.0,61.0,716.0,10.0,7.0,1.0,5.0,100.0,,,,0.0,1.0,2.0,5.0,,1.0,0.0,1.0,4.0,,,70.3,16.0,,6.0,2.0,,5.0,6.0,82.0,7.0,2.0,813.0,15.0,8.0,22.0,8.0,38.0,1.0,4.0,446.0,7.0,9.0,13.0,163.0,26.0,3.0,1.0,6.0,19.0,,,19.0,3.0,12.0,,1.0,6.0,7.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,,1.0,4.0,,1.0,,1.0,,1.0,,,,1.0,1.0,2.0,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,
15,919034,2017-12-02 17:30:00,"Emirates Stadium, London",59547,Home,Arsenal,Manchester United,1,3,L,0,2,0,1,6.0,1.0,58.0,1.0,7.0,,,17.0,10.0,14.0,10.0,19.0,7.0,215.0,,2.0,9.0,1.0,4.0,24.0,1.0,16.0,176.0,149.0,48.0,33.0,4.0,25.0,8.0,1.0,1.0,1.0,5.0,2.0,26.0,14.0,7.0,10.0,11.0,14.0,41.0,1.0,376.0,,0.0,334.0,11.0,,5.0,,73.0,70.0,20.0,80.0,2.0,,15.0,20.0,14.0,3.0,3.0,149.0,3.0,2.0,7.0,185.0,846.0,22.0,7.0,61.0,5.0,549.0,22.0,1.0,1.0,6.0,1.0,1.0,3.0,4.0,24.0,642.0,58.0,1.0,98745,12.0,188.0,4.0,10.0,,1.0,198.0,6.0,1.0,5.0,20.0,3.0,56.0,,2.0,4.0,7.0,1.0,11.0,1.0,2.0,2.0,34.0,562.0,10.0,7.0,1.0,6.0,60.0,,2.0,,0.0,,1.0,1.0,3.0,,0.0,1.0,1.0,1.0,3.0,75.1,23.0,1.0,5.0,1.0,,7.0,11.0,45.0,12.0,,656.0,5.0,12.0,17.0,6.0,74.0,1.0,2.0,484.0,19.0,10.0,12.0,263.0,23.0,1.0,,6.0,18.0,,3.0,26.0,3.0,12.0,2.0,,7.0,12.0,2.0,2.0,3.0,,1.0,,,2.0,,,,,,2.0,,,,2.0,,1.0,,1.0,1.0,2.0,,,1.0,,,2.0,,,,,2.0,,,,,,,,,,,,1.0,,,,
16,919049,2017-12-10 12:00:00,"St. Mary's Stadium, Southampton",31643,Away,Arsenal,Southampton,1,1,D,0,1,0,0,1.0,,66.0,,,,,23.0,13.0,5.0,4.0,6.0,4.0,208.0,,3.0,9.0,1.0,2.0,9.0,,6.0,237.0,147.0,45.0,11.0,1.0,9.0,4.0,,3.0,1.0,1.0,3.0,17.0,8.0,1.0,13.0,4.0,14.0,41.0,,437.0,1.0,0.0,307.0,10.0,1.0,1.0,,83.0,79.0,6.0,82.0,1.0,,13.0,23.0,5.0,4.0,3.0,147.0,1.0,1.0,3.0,231.0,928.0,7.0,6.0,43.0,8.0,647.0,27.0,,2.0,7.0,1.0,3.0,2.0,2.0,19.0,737.0,74.0,,98745,5.0,230.0,1.0,8.0,,,253.0,6.0,,2.0,23.0,4.0,44.0,,1.0,1.0,11.0,1.0,21.0,3.0,2.0,,36.0,664.0,11.0,12.0,,11.0,56.0,,2.0,2.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,,1.0,67.0,18.0,,2.0,1.0,,11.0,1.0,42.0,5.0,,758.0,8.0,12.0,25.0,4.0,43.0,1.0,1.0,522.0,6.0,14.0,12.0,255.0,26.0,,,7.0,13.0,1.0,1.0,7.0,3.0,11.0,1.0,,8.0,5.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
17,919058,2017-12-13 20:00:00,"London Stadium, London",56921,Away,Arsenal,West Ham United,0,0,D,0,0,0,0,1.0,,68.0,,6.0,,,45.0,24.0,12.0,9.0,10.0,2.0,183.0,,7.0,15.0,,2.0,14.0,,3.0,204.0,143.0,59.0,22.0,5.0,20.0,1.0,2.0,,,,4.0,23.0,11.0,2.0,24.0,7.0,27.0,40.0,,422.0,,0.0,311.0,9.0,,1.0,1.0,96.0,87.0,8.0,89.0,1.0,2.0,16.0,23.0,12.0,2.0,5.0,143.0,,,4.0,228.0,912.0,14.0,6.0,44.0,16.0,593.0,31.0,,2.0,9.0,,,0.0,6.0,21.0,686.0,83.0,,98745,5.0,192.0,,14.0,,,208.0,6.0,,4.0,23.0,6.0,55.0,,2.0,,6.0,,16.0,2.0,4.0,1.0,67.0,607.0,8.0,15.0,,11.0,63.0,,1.0,,0.0,1.0,1.0,,,4.0,0.0,4.0,,1.0,,70.1,19.0,,5.0,3.0,,6.0,11.0,39.0,7.0,2.0,704.0,16.0,7.0,26.0,8.0,59.0,3.0,2.0,519.0,12.0,24.0,19.0,246.0,26.0,,2.0,9.0,17.0,,,18.0,2.0,19.0,,2.0,8.0,7.0,,,2.0,1.0,,,,,,,,,1.0,2.0,,1.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,919064,2017-12-16 15:00:00,"Emirates Stadium, London",59379,Home,Arsenal,Newcastle United,1,0,W,1,0,0,0,,,65.0,,7.0,,,40.0,24.0,5.0,6.0,18.0,4.0,221.0,,3.0,21.0,1.0,2.0,18.0,,5.0,222.0,158.0,71.0,23.0,,38.0,3.0,7.0,1.0,,4.0,3.0,10.0,6.0,1.0,24.0,5.0,12.0,45.0,,384.0,,0.0,281.0,13.0,,,3.0,115.0,105.0,10.0,98.0,,3.0,5.0,20.0,5.0,2.0,4.0,158.0,2.0,,4.0,220.0,968.0,17.0,5.0,49.0,12.0,630.0,25.0,,4.0,10.0,,1.0,2.0,8.0,21.0,739.0,61.0,2.0,98745,9.0,268.0,2.0,2.0,,,289.0,8.0,,3.0,20.0,8.0,79.0,1.0,2.0,1.0,8.0,1.0,11.0,6.0,7.0,5.0,56.0,649.0,8.0,8.0,1.0,15.0,98.0,,,1.0,0.0,4.0,5.0,1.0,,,0.0,,,1.0,1.0,71.3,19.0,1.0,3.0,1.0,,8.0,7.0,77.0,7.0,3.0,761.0,12.0,13.0,30.0,11.0,42.0,3.0,7.0,482.0,16.0,11.0,26.0,218.0,28.0,,3.0,10.0,17.0,,,21.0,3.0,29.0,,3.0,4.0,7.0,2.0,2.0,4.0,,2.0,1.0,,1.0,,1.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
19,919073,2017-12-22 19:45:00,"Emirates Stadium, London",59409,Home,Arsenal,Liverpool,3,3,D,0,1,0,0,,2.0,78.0,1.0,,,,26.0,17.0,6.0,7.0,5.0,1.0,196.0,1.0,2.0,8.0,3.0,2.0,9.0,1.0,4.0,125.0,191.0,54.0,11.0,4.0,23.0,1.0,1.0,1.0,3.0,,1.0,14.0,14.0,,17.0,7.0,5.0,49.0,,187.0,,0.0,151.0,9.0,1.0,,4.0,55.0,75.0,7.0,60.0,1.0,1.0,7.0,17.0,6.0,,1.0,191.0,2.0,,11.0,122.0,716.0,6.0,5.0,27.0,12.0,361.0,33.0,1.0,2.0,9.0,3.0,1.0,1.0,2.0,27.0,475.0,57.0,1.0,98745,1.0,195.0,,6.0,,,225.0,5.0,,3.0,17.0,9.0,65.0,,3.0,3.0,11.0,3.0,23.0,3.0,4.0,,65.0,380.0,11.0,13.0,,14.0,86.0,,,,0.0,2.0,8.0,2.0,3.0,,0.0,2.0,2.0,,1.0,53.5,21.0,,6.0,1.0,,12.0,4.0,46.0,7.0,4.0,503.0,12.0,17.0,25.0,3.0,30.0,,2.0,292.0,3.0,4.0,18.0,95.0,22.0,,4.0,9.0,18.0,1.0,2.0,10.0,3.0,12.0,1.0,4.0,8.0,7.0,6.0,4.0,,1.0,5.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,2.0,1.0,3.0,,,,,,,
20,919085,2017-12-28 20:00:00,"Selhurst Park, London",25762,Away,Arsenal,Crystal Palace,3,2,W,1,0,0,0,4.0,2.0,59.0,3.0,2.0,1.0,,33.0,28.0,6.0,7.0,10.0,2.0,197.0,,1.0,13.0,3.0,2.0,12.0,,9.0,192.0,158.0,66.0,16.0,2.0,23.0,3.0,1.0,1.0,1.0,4.0,,15.0,14.0,3.0,28.0,2.0,16.0,39.0,2.0,295.0,,0.0,223.0,7.0,,1.0,,128.0,56.0,8.0,87.0,2.0,1.0,13.0,13.0,6.0,2.0,1.0,158.0,3.0,,10.0,178.0,865.0,9.0,3.0,43.0,12.0,532.0,31.0,,3.0,14.0,2.0,1.0,1.0,3.0,22.0,624.0,65.0,2.0,98745,6.0,259.0,3.0,11.0,,2.0,283.0,3.0,3.0,1.0,13.0,13.0,68.0,,2.0,3.0,4.0,1.0,13.0,6.0,8.0,2.0,64.0,553.0,12.0,13.0,,21.0,82.0,,1.0,,0.0,1.0,5.0,3.0,2.0,,0.0,1.0,2.0,,,65.2,22.0,,2.0,1.0,,4.0,4.0,51.0,4.0,,654.0,12.0,17.0,27.0,3.0,30.0,,2.0,386.0,9.0,15.0,20.0,177.0,22.0,2.0,1.0,14.0,21.0,,2.0,12.0,2.0,22.0,,1.0,2.0,4.0,,,5.0,1.0,,,,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
21,919102,2017-12-31 16:30:00,"The Hawthorns, West Bromwich",26223,Away,Arsenal,West Bromwich Albion,1,1,D,0,0,0,0,3.0,,67.0,,2.0,,,33.0,23.0,8.0,4.0,6.0,1.0,170.0,,1.0,10.0,1.0,3.0,10.0,,4.0,201.0,142.0,48.0,14.0,3.0,18.0,1.0,,1.0,,1.0,3.0,10.0,10.0,3.0,23.0,5.0,12.0,52.0,,348.0,,0.0,240.0,9.0,,1.0,1.0,68.0,91.0,7.0,69.0,,1.0,5.0,9.0,8.0,1.0,2.0,142.0,,1.0,9.0,207.0,827.0,10.0,1.0,28.0,8.0,527.0,30.0,,3.0,11.0,,1.0,3.0,3.0,18.0,624.0,72.0,1.0,98745,5.0,197.0,,4.0,,,220.0,4.0,,,9.0,7.0,46.0,,3.0,2.0,8.0,,11.0,5.0,4.0,1.0,60.0,544.0,14.0,8.0,,12.0,79.0,,1.0,2.0,0.0,3.0,5.0,1.0,1.0,,0.0,1.0,,,,65.3,18.0,,2.0,1.0,1.0,8.0,5.0,53.0,6.0,2.0,647.0,8.0,9.0,19.0,5.0,35.0,,3.0,437.0,10.0,11.0,12.0,184.0,27.0,,3.0,11.0,12.0,,1.0,12.0,3.0,15.0,,3.0,4.0,6.0,2.0,1.0,7.0,1.0,1.0,2.0,1.0,,,1.0,,,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,2.0,,,,,,,,,
22,919103,2018-01-03 19:45:00,"Emirates Stadium, London",59379,Home,Arsenal,Chelsea,2,2,D,0,0,0,0,1.0,,62.0,,1.0,,,35.0,14.0,5.0,6.0,9.0,3.0,204.0,,5.0,13.0,2.0,1.0,6.0,,6.0,163.0,140.0,52.0,14.0,4.0,14.0,4.0,2.0,,,1.0,,20.0,12.0,,14.0,8.0,8.0,36.0,,295.0,1.0,0.0,207.0,11.0,1.0,1.0,1.0,61.0,69.0,4.0,79.0,2.0,1.0,12.0,19.0,5.0,3.0,1.0,140.0,,2.0,16.0,153.0,787.0,6.0,1.0,36.0,16.0,489.0,17.0,,2.0,8.0,,,3.0,2.0,9.0,570.0,72.0,,98745,5.0,225.0,1.0,9.0,,,235.0,9.0,1.0,1.0,19.0,10.0,55.0,,2.0,2.0,6.0,1.0,16.0,3.0,9.0,1.0,63.0,515.0,11.0,12.0,,8.0,61.0,2.0,2.0,,0.0,2.0,8.0,2.0,2.0,,0.0,2.0,,,1.0,58.3,8.0,1.0,4.0,1.0,,7.0,5.0,45.0,10.0,1.0,599.0,16.0,11.0,14.0,3.0,44.0,3.0,2.0,384.0,7.0,7.0,13.0,147.0,33.0,,4.0,8.0,16.0,,2.0,11.0,2.0,20.0,,4.0,6.0,10.0,4.0,2.0,3.0,1.0,4.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,2.0,,2.0,,,,,,,
23,919113,2018-01-14 13:30:00,"Vitality Stadium, Bournemouth",10836,Away,Arsenal,Bournemouth,1,2,L,0,0,0,0,,1.0,80.0,,2.0,,,20.0,30.0,6.0,6.0,6.0,2.0,221.0,,2.0,6.0,1.0,1.0,9.0,1.0,3.0,121.0,204.0,64.0,12.0,2.0,26.0,1.0,1.0,,1.0,1.0,1.0,13.0,16.0,1.0,30.0,5.0,13.0,38.0,,211.0,,0.0,171.0,10.0,,,1.0,54.0,59.0,5.0,72.0,2.0,2.0,8.0,38.0,6.0,5.0,3.0,204.0,1.0,,5.0,137.0,772.0,6.0,10.0,25.0,15.0,402.0,33.0,,5.0,18.0,1.0,,2.0,4.0,24.0,529.0,68.0,1.0,98745,3.0,201.0,1.0,2.0,,1.0,241.0,7.0,1.0,3.0,38.0,7.0,72.0,,10.0,4.0,6.0,1.0,19.0,8.0,2.0,1.0,69.0,410.0,6.0,13.0,2.0,33.0,99.0,,1.0,,0.0,3.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,59.5,22.0,1.0,3.0,1.0,,6.0,4.0,49.0,5.0,1.0,551.0,15.0,21.0,16.0,5.0,30.0,1.0,1.0,323.0,4.0,12.0,31.0,109.0,32.0,,2.0,18.0,21.0,,2.0,10.0,2.0,9.0,1.0,2.0,21.0,5.0,3.0,,2.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,3.0,,1.0,1.0,,,,,,
24,919123,2018-01-20 15:00:00,"Emirates Stadium, London",59386,Home,Arsenal,Crystal Palace,4,1,W,4,0,0,0,2.0,3.0,76.0,1.0,5.0,2.0,1.0,34.0,30.0,2.0,4.0,14.0,4.0,208.0,2.0,3.0,13.0,4.0,4.0,13.0,2.0,10.0,212.0,126.0,56.0,16.0,,16.0,5.0,3.0,,2.0,3.0,,9.0,11.0,1.0,30.0,4.0,17.0,30.0,2.0,362.0,1.0,0.0,242.0,6.0,,1.0,2.0,74.0,70.0,13.0,77.0,1.0,,5.0,19.0,2.0,2.0,1.0,126.0,5.0,,5.0,230.0,916.0,9.0,9.0,44.0,9.0,629.0,42.0,,1.0,15.0,4.0,,0.0,,8.0,710.0,68.0,1.0,98745,5.0,283.0,2.0,2.0,1.0,,306.0,4.0,3.0,3.0,19.0,5.0,40.0,,4.0,3.0,8.0,2.0,14.0,4.0,4.0,,44.0,642.0,8.0,3.0,,6.0,67.0,,1.0,,0.0,3.0,10.0,4.0,1.0,3.0,0.0,1.0,4.0,,1.0,63.0,8.0,,5.0,2.0,1.0,8.0,5.0,53.0,5.0,2.0,727.0,9.0,12.0,18.0,1.0,34.0,2.0,,430.0,11.0,16.0,16.0,198.0,18.0,1.0,4.0,15.0,19.0,1.0,1.0,13.0,3.0,16.0,,4.0,8.0,5.0,4.0,4.0,3.0,,3.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,2.0,,,,,,,,1.0,,,,,,,
25,919134,2018-01-30 19:45:00,"Liberty Stadium, Swansea",20819,Away,Arsenal,Swansea City,1,3,L,1,1,0,0,2.0,1.0,42.0,1.0,,,,17.0,15.0,3.0,5.0,6.0,,199.0,,5.0,5.0,1.0,1.0,8.0,,4.0,303.0,114.0,34.0,9.0,1.0,11.0,3.0,,1.0,1.0,2.0,1.0,21.0,,,15.0,3.0,25.0,17.0,,620.0,,0.0,347.0,8.0,,1.0,,168.0,165.0,5.0,117.0,1.0,1.0,18.0,19.0,3.0,4.0,2.0,114.0,2.0,,7.0,275.0,1050.0,7.0,3.0,22.0,8.0,812.0,13.0,,,6.0,1.0,1.0,3.0,3.0,23.0,882.0,87.0,2.0,98745,4.0,209.0,1.0,13.0,,1.0,223.0,4.0,,1.0,19.0,5.0,36.0,,3.0,3.0,7.0,1.0,10.0,5.0,5.0,2.0,26.0,824.0,4.0,6.0,,5.0,60.0,,,,0.0,2.0,4.0,1.0,3.0,2.0,0.0,4.0,1.0,,3.0,74.3,23.0,2.0,1.0,1.0,,7.0,1.0,54.0,3.0,,894.0,8.0,9.0,8.0,4.0,39.0,1.0,2.0,692.0,1.0,24.0,14.0,302.0,21.0,,,6.0,11.0,,3.0,8.0,2.0,9.0,2.0,,9.0,3.0,1.0,1.0,4.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,3.0,,,,,,,,,
26,919144,2018-02-03 17:30:00,"Emirates Stadium, London",59306,Home,Arsenal,Everton,5,1,W,4,0,0,0,2.0,4.0,57.0,,4.0,1.0,,20.0,27.0,3.0,6.0,12.0,,165.0,1.0,2.0,9.0,5.0,2.0,12.0,1.0,7.0,163.0,119.0,59.0,15.0,1.0,25.0,2.0,,1.0,4.0,1.0,1.0,10.0,19.0,,27.0,4.0,21.0,22.0,1.0,228.0,,0.0,149.0,8.0,,1.0,1.0,53.0,60.0,10.0,78.0,1.0,,6.0,12.0,3.0,,1.0,119.0,4.0,,8.0,147.0,735.0,6.0,4.0,26.0,13.0,453.0,35.0,,2.0,14.0,5.0,1.0,2.0,2.0,13.0,530.0,48.0,3.0,98745,9.0,242.0,,5.0,,,275.0,7.0,3.0,2.0,12.0,9.0,57.0,,3.0,1.0,5.0,4.0,13.0,2.0,4.0,1.0,46.0,468.0,8.0,13.0,1.0,12.0,65.0,,,1.0,0.0,1.0,6.0,4.0,1.0,2.0,0.0,,4.0,1.0,2.0,58.4,13.0,,2.0,2.0,,5.0,5.0,40.0,4.0,1.0,553.0,13.0,8.0,11.0,3.0,29.0,2.0,1.0,288.0,7.0,19.0,21.0,115.0,12.0,1.0,2.0,14.0,22.0,1.0,1.0,10.0,3.0,12.0,,2.0,6.0,4.0,1.0,,4.0,2.0,,,1.0,1.0,,1.0,3.0,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,2.0,,,2.0,,,2.0,,,,1.0,,1.0,,,,,,3.0,,,1.0,1.0,,,
