gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,penaltySave,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowLeft,shotFastbreak,attBxRight,goalFastbreak,attMissHighRight,totalFastbreak,midfielderGoals,goodHighClaim,attGoalHighCentre,attAssistSetplay,attFastbreak,attSvLowRight,shieldBallOop,attBxLeft,totalHighClaim,accurateCornersIntobox,accuratePullBack,cleanSheet,attSvHighLeft,interceptionsInBox,totalPullBack,attFreekickTarget,clearanceOffLine,attGoalLowCentre,attRfGoal,punches,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,attSvHighRight,attHdTarget,attMissHighLeft,accurateFreekickCross,attSetpiece,defenderGoals,attHdGoal,attCmissRight,attGoalHighRight,attOboxGoal,ptsGainedLosingPos,attCmissHighLeft,subsGoals,attCmissHigh,penaltyWon,attPenGoal,attGoalHighLeft,postScoringAtt,attIboxPost,attHdPost,attPostRight,attPostLeft,attOboxPost,attPostHigh,attSvHighCentre,foulThrowIn,errorLeadToGoal,ownGoals,attIboxOwnGoal,attLgCentre,attObxLeft
11,695005,2013-11-10 16:10:00,"Old Trafford, Manchester",75138,Away,Arsenal,Manchester United,0,1,L,0,1,0,0,,1.0,,69.0,,1.0,3.0,36.0,37.0,4.0,5.0,6.0,1.0,,1.0,203.0,4.0,5.0,,2.0,4.0,2.0,132.0,172.0,63.0,1.0,10.0,1.0,26.0,,1.0,,2.0,2.0,25.0,22.0,2.0,37.0,4.0,14.0,33.0,,282.0,0.0,213.0,11.0,1.0,,2.0,69.0,137.0,3.0,90.0,,21.0,24.0,4.0,1.0,3.0,1.0,,172.0,,,3.0,119.0,783.0,4.0,16.0,18.0,1.0,14.0,425.0,29.0,13.0,23.0,,1.0,3.0,,1.0,26.0,524.0,88.0,,,8758,5.0,163.0,,16.0,,,181.0,3.0,15.0,5.0,75.0,,2.0,5.0,,11.0,2.0,3.0,,63.0,441.0,12.0,11.0,30.0,3.0,95.0,1.0,0.0,1.0,5.0,,,1.0,4.0,0.0,4.0,,2.0,59.5,21.0,2.0,4.0,5.0,4.0,66.0,6.0,,544.0,,14.0,1.0,13.0,19.0,4.0,33.0,3.0,388.0,3.0,10.0,20.0,158.0,29.0,,3.0,23.0,29.0,1.0,6.0,3.0,21.0,,3.0,15.0,6.0,,,,,,1.0,,,3.0,,,,,1.0,1.0,3.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,695020,2013-11-23 15:00:00,"Emirates Stadium, London",60007,Home,Arsenal,Southampton,2,0,W,1,0,0,0,,1.0,2.0,70.0,1.0,2.0,,43.0,35.0,3.0,5.0,6.0,4.0,2.0,,183.0,4.0,6.0,2.0,2.0,5.0,4.0,112.0,168.0,69.0,,9.0,1.0,4.0,2.0,2.0,,1.0,1.0,19.0,18.0,,35.0,4.0,18.0,48.0,,234.0,0.0,192.0,10.0,1.0,1.0,,66.0,103.0,2.0,80.0,,15.0,14.0,3.0,,5.0,2.0,,168.0,,,3.0,105.0,724.0,5.0,14.0,24.0,2.0,16.0,366.0,24.0,13.0,24.0,,2.0,0.0,4.0,3.0,28.0,452.0,80.0,,1.0,8758,3.0,157.0,,10.0,,,174.0,1.0,12.0,2.0,58.0,3.0,11.0,5.0,1.0,8.0,7.0,,,61.0,387.0,14.0,10.0,28.0,,79.0,,0.0,3.0,6.0,2.0,2.0,,10.0,0.0,4.0,,1.0,49.3,24.0,,4.0,5.0,1.0,44.0,5.0,,480.0,,16.0,,12.0,29.0,4.0,35.0,,325.0,3.0,18.0,30.0,140.0,32.0,2.0,1.0,24.0,21.0,,8.0,3.0,28.0,,1.0,12.0,5.0,,,1.0,1.0,,,2.0,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,2.0,2.0,,,2.0,,,,,,,,,
13,695022,2013-11-30 15:00:00,"Cardiff City Stadium, Cardiff",27948,Away,Arsenal,Cardiff City,3,0,W,1,0,0,0,,1.0,1.0,68.0,,3.0,2.0,39.0,38.0,6.0,6.0,9.0,4.0,,2.0,187.0,3.0,12.0,3.0,1.0,14.0,6.0,147.0,132.0,51.0,,15.0,2.0,13.0,2.0,2.0,3.0,2.0,,14.0,16.0,1.0,38.0,2.0,19.0,31.0,,260.0,0.0,170.0,8.0,3.0,,1.0,94.0,62.0,9.0,80.0,1.0,12.0,19.0,6.0,,3.0,2.0,,132.0,3.0,,4.0,152.0,761.0,11.0,7.0,25.0,1.0,16.0,465.0,30.0,9.0,25.0,3.0,2.0,3.0,2.0,5.0,13.0,547.0,61.0,5.0,,8758,7.0,223.0,3.0,8.0,1.0,,245.0,2.0,11.0,5.0,40.0,7.0,1.0,3.0,3.0,15.0,6.0,4.0,,54.0,480.0,6.0,10.0,23.0,,73.0,,0.0,4.0,3.0,1.0,3.0,,5.0,0.0,2.0,3.0,1.0,56.5,9.0,,6.0,3.0,4.0,51.0,3.0,,566.0,,16.0,,5.0,19.0,5.0,22.0,2.0,335.0,8.0,17.0,18.0,133.0,24.0,,1.0,25.0,17.0,,14.0,3.0,18.0,,1.0,11.0,3.0,2.0,,2.0,,1.0,1.0,3.0,2.0,1.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,2.0,1.0,,,,,,2.0,,1.0,,1.0,,3.0,,,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,
14,695031,2013-12-04 19:45:00,"Emirates Stadium, London",60017,Home,Arsenal,Hull City,2,0,W,1,0,0,0,,1.0,2.0,68.0,,,3.0,47.0,25.0,5.0,6.0,15.0,2.0,1.0,3.0,258.0,7.0,8.0,2.0,1.0,17.0,7.0,224.0,141.0,43.0,,20.0,2.0,13.0,3.0,1.0,2.0,2.0,2.0,25.0,11.0,2.0,25.0,8.0,51.0,27.0,1.0,440.0,0.0,279.0,9.0,,1.0,1.0,125.0,91.0,10.0,118.0,1.0,17.0,19.0,5.0,,1.0,1.0,,141.0,3.0,,4.0,208.0,1001.0,12.0,15.0,46.0,,11.0,712.0,29.0,10.0,15.0,2.0,1.0,0.0,2.0,7.0,21.0,792.0,81.0,2.0,1.0,8758,10.0,289.0,2.0,15.0,1.0,,310.0,2.0,6.0,5.0,48.0,5.0,1.0,4.0,2.0,10.0,3.0,1.0,3.0,60.0,722.0,6.0,5.0,15.0,8.0,82.0,,0.0,,1.0,2.0,2.0,,5.0,0.0,2.0,2.0,6.0,66.6,16.0,4.0,3.0,4.0,5.0,66.0,11.0,,808.0,,11.0,,8.0,14.0,8.0,45.0,7.0,523.0,8.0,50.0,19.0,230.0,30.0,1.0,4.0,15.0,11.0,,11.0,3.0,21.0,,4.0,6.0,11.0,,2.0,1.0,2.0,,,2.0,1.0,,,3.0,1.0,2.0,,1.0,,5.0,,1.0,,,1.0,,,,,,,,,,1.0,2.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
15,695041,2013-12-08 16:00:00,"Emirates Stadium, London",60001,Home,Arsenal,Everton,1,1,D,0,0,0,0,,,1.0,70.0,,2.0,2.0,21.0,28.0,2.0,4.0,9.0,3.0,,3.0,164.0,7.0,10.0,1.0,2.0,9.0,5.0,106.0,130.0,50.0,,11.0,,8.0,4.0,2.0,1.0,,2.0,21.0,14.0,,28.0,3.0,24.0,31.0,2.0,222.0,0.0,173.0,13.0,2.0,2.0,1.0,55.0,71.0,7.0,58.0,,18.0,17.0,2.0,,4.0,1.0,,130.0,3.0,,7.0,85.0,620.0,8.0,12.0,36.0,1.0,24.0,307.0,39.0,5.0,15.0,1.0,2.0,0.0,2.0,2.0,20.0,390.0,64.0,2.0,2.0,8758,5.0,107.0,2.0,13.0,,,130.0,5.0,11.0,10.0,44.0,4.0,2.0,2.0,1.0,6.0,5.0,5.0,,43.0,322.0,10.0,9.0,17.0,,63.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,6.0,1.0,2.0,44.1,19.0,1.0,3.0,2.0,2.0,38.0,3.0,,413.0,,24.0,,7.0,21.0,4.0,37.0,2.0,304.0,5.0,21.0,10.0,125.0,23.0,,2.0,15.0,20.0,1.0,11.0,3.0,17.0,2.0,2.0,11.0,3.0,,,,3.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,2.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,
16,695056,2013-12-14 12:45:00,"Etihad Stadium, Manchester",47229,Away,Arsenal,Manchester City,3,6,L,1,2,0,0,,1.0,1.0,51.0,2.0,1.0,1.0,26.0,29.0,4.0,3.0,8.0,1.0,,2.0,170.0,5.0,10.0,3.0,2.0,11.0,6.0,98.0,131.0,54.0,1.0,12.0,1.0,12.0,1.0,2.0,2.0,1.0,2.0,25.0,14.0,2.0,29.0,7.0,15.0,17.0,1.0,228.0,0.0,147.0,6.0,1.0,,3.0,35.0,89.0,7.0,57.0,1.0,18.0,15.0,4.0,1.0,2.0,,,131.0,4.0,2.0,14.0,110.0,657.0,8.0,8.0,21.0,,17.0,340.0,25.0,3.0,15.0,3.0,2.0,1.0,4.0,4.0,22.0,401.0,59.0,3.0,1.0,8758,6.0,144.0,3.0,13.0,1.0,1.0,162.0,4.0,9.0,16.0,56.0,7.0,4.0,7.0,2.0,11.0,8.0,10.0,,40.0,367.0,12.0,16.0,9.0,1.0,48.0,1.0,0.0,3.0,8.0,,2.0,6.0,4.0,0.0,5.0,3.0,3.0,47.6,20.0,1.0,2.0,7.0,2.0,28.0,8.0,1.0,435.0,1.0,17.0,,11.0,9.0,4.0,34.0,4.0,298.0,6.0,13.0,10.0,118.0,16.0,,3.0,15.0,22.0,5.0,10.0,3.0,21.0,,3.0,9.0,8.0,,,,,,,1.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,
17,695061,2013-12-23 20:00:00,"Emirates Stadium, London",60039,Home,Arsenal,Chelsea,0,0,D,0,0,0,0,,1.0,,56.0,,2.0,2.0,38.0,42.0,2.0,4.0,5.0,4.0,,,214.0,4.0,6.0,,1.0,5.0,2.0,120.0,146.0,53.0,,7.0,1.0,27.0,2.0,,,1.0,2.0,25.0,12.0,,42.0,8.0,27.0,38.0,,238.0,0.0,152.0,7.0,3.0,1.0,,49.0,100.0,4.0,93.0,,17.0,9.0,2.0,,2.0,1.0,,146.0,2.0,2.0,8.0,124.0,760.0,4.0,14.0,21.0,,13.0,445.0,22.0,7.0,29.0,,,2.0,4.0,1.0,25.0,529.0,73.0,1.0,1.0,8758,3.0,228.0,2.0,15.0,,,240.0,3.0,4.0,7.0,61.0,2.0,3.0,10.0,,11.0,5.0,5.0,,57.0,462.0,11.0,10.0,15.0,1.0,76.0,1.0,0.0,,6.0,2.0,,,6.0,0.0,3.0,,1.0,61.4,20.0,,,10.0,3.0,48.0,8.0,,551.0,,13.0,,8.0,17.0,2.0,36.0,1.0,336.0,2.0,20.0,19.0,100.0,21.0,,,29.0,17.0,,6.0,,15.0,,,4.0,8.0,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,695087,2013-12-29 13:30:00,"St. James' Park, Newcastle",52161,Away,Arsenal,Newcastle United,1,0,W,0,0,0,0,,2.0,1.0,60.0,1.0,2.0,,35.0,55.0,7.0,4.0,4.0,2.0,,2.0,177.0,,8.0,1.0,2.0,7.0,5.0,126.0,150.0,55.0,,11.0,1.0,27.0,2.0,1.0,,2.0,3.0,11.0,15.0,2.0,55.0,,31.0,36.0,,252.0,0.0,157.0,8.0,1.0,1.0,,50.0,93.0,4.0,77.0,,11.0,21.0,7.0,,,4.0,,150.0,1.0,,4.0,164.0,772.0,6.0,13.0,13.0,1.0,13.0,429.0,21.0,8.0,30.0,1.0,1.0,3.0,3.0,3.0,29.0,516.0,74.0,1.0,2.0,92372,3.0,196.0,2.0,11.0,,,213.0,3.0,11.0,13.0,67.0,4.0,1.0,4.0,,11.0,7.0,7.0,2.0,60.0,448.0,10.0,9.0,22.0,,80.0,,0.0,2.0,4.0,1.0,1.0,,3.0,0.0,,1.0,1.0,52.7,23.0,,7.0,4.0,1.0,50.0,1.0,,544.0,,13.0,,14.0,16.0,5.0,23.0,1.0,342.0,6.0,29.0,18.0,104.0,25.0,1.0,3.0,30.0,20.0,,9.0,3.0,17.0,,3.0,11.0,1.0,,,,,,,,,2.0,,,,,1.0,,2.0,,,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
20,695091,2014-01-01 15:00:00,"Emirates Stadium, London",60004,Home,Arsenal,Cardiff City,2,0,W,0,0,0,0,,1.0,2.0,53.0,,,6.0,32.0,35.0,10.0,9.0,18.0,2.0,,2.0,198.0,14.0,15.0,2.0,3.0,22.0,6.0,179.0,120.0,51.0,2.0,28.0,2.0,8.0,2.0,1.0,1.0,,5.0,34.0,7.0,2.0,35.0,12.0,27.0,21.0,1.0,342.0,0.0,234.0,6.0,2.0,1.0,1.0,70.0,97.0,12.0,100.0,3.0,22.0,17.0,10.0,2.0,2.0,6.0,,120.0,4.0,2.0,3.0,153.0,863.0,17.0,10.0,59.0,2.0,14.0,541.0,17.0,2.0,21.0,1.0,1.0,1.0,3.0,10.0,22.0,612.0,68.0,4.0,1.0,92372,7.0,228.0,3.0,19.0,,,241.0,3.0,4.0,6.0,30.0,9.0,3.0,9.0,2.0,8.0,5.0,5.0,3.0,49.0,556.0,11.0,4.0,11.0,7.0,58.0,2.0,0.0,1.0,2.0,2.0,2.0,,3.0,0.0,7.0,1.0,7.0,68.1,21.0,2.0,5.0,9.0,8.0,46.0,12.0,,630.0,,14.0,1.0,5.0,11.0,14.0,56.0,6.0,423.0,12.0,26.0,19.0,184.0,22.0,,3.0,21.0,9.0,,19.0,3.0,23.0,,3.0,4.0,12.0,,,1.0,3.0,,,1.0,1.0,,1.0,4.0,1.0,1.0,,5.0,,7.0,3.0,1.0,,,4.0,,,1.0,2.0,,,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,2.0,,,,2.0,2.0,1.0,,2.0,,,1.0,,,,,,
21,695101,2014-01-13 20:00:00,"Villa Park, Birmingham",36097,Away,Arsenal,Aston Villa,2,1,W,2,0,0,0,,1.0,,64.0,2.0,3.0,,59.0,54.0,3.0,6.0,5.0,4.0,2.0,1.0,218.0,1.0,9.0,2.0,1.0,8.0,4.0,180.0,150.0,63.0,,8.0,2.0,19.0,1.0,,2.0,,2.0,15.0,21.0,1.0,54.0,2.0,18.0,32.0,,373.0,0.0,243.0,9.0,1.0,,1.0,89.0,151.0,6.0,104.0,,13.0,12.0,3.0,,1.0,,,150.0,,,4.0,180.0,898.0,6.0,14.0,21.0,,10.0,571.0,31.0,7.0,35.0,2.0,,2.0,2.0,2.0,21.0,654.0,103.0,1.0,1.0,8597,4.0,220.0,,11.0,,,237.0,2.0,3.0,6.0,52.0,2.0,5.0,1.0,2.0,14.0,7.0,2.0,,80.0,592.0,12.0,2.0,22.0,1.0,94.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,4.0,0.0,1.0,2.0,1.0,64.0,17.0,1.0,3.0,1.0,2.0,66.0,5.0,,682.0,,10.0,,10.0,22.0,2.0,26.0,2.0,460.0,1.0,16.0,18.0,193.0,24.0,1.0,2.0,35.0,25.0,1.0,7.0,3.0,21.0,,2.0,3.0,5.0,,,,1.0,,,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
22,695111,2014-01-18 15:00:00,"Emirates Stadium, London",60000,Home,Arsenal,Fulham,2,0,W,0,0,0,0,,4.0,,59.0,2.0,2.0,3.0,33.0,26.0,10.0,13.0,12.0,2.0,1.0,2.0,204.0,4.0,13.0,2.0,4.0,15.0,8.0,193.0,108.0,51.0,2.0,22.0,4.0,9.0,4.0,3.0,1.0,1.0,2.0,18.0,12.0,2.0,26.0,2.0,23.0,15.0,1.0,457.0,0.0,293.0,5.0,,3.0,1.0,87.0,103.0,9.0,111.0,1.0,16.0,17.0,10.0,2.0,3.0,3.0,,108.0,1.0,,3.0,184.0,900.0,13.0,12.0,35.0,1.0,21.0,615.0,17.0,5.0,14.0,1.0,3.0,0.0,4.0,6.0,11.0,675.0,81.0,1.0,4.0,8597,4.0,177.0,3.0,12.0,1.0,,183.0,2.0,8.0,8.0,34.0,3.0,1.0,7.0,2.0,15.0,5.0,7.0,2.0,38.0,630.0,7.0,4.0,10.0,,75.0,,0.0,,4.0,,1.0,,10.0,0.0,3.0,1.0,1.0,58.7,11.0,1.0,,7.0,7.0,66.0,4.0,,692.0,,21.0,,10.0,7.0,7.0,29.0,4.0,527.0,8.0,20.0,14.0,247.0,32.0,,6.0,14.0,18.0,,16.0,2.0,19.0,,6.0,8.0,4.0,,,,3.0,,1.0,,2.0,2.0,,1.0,,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,2.0,2.0,,,,1.0,,,,,,,1.0,1.0,4.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
23,695126,2014-01-28 19:45:00,"St. Mary's Stadium, Southampton",31284,Away,Arsenal,Southampton,2,2,D,0,1,1,0,,1.0,,67.0,,,1.0,30.0,35.0,2.0,4.0,5.0,4.0,1.0,,183.0,3.0,12.0,2.0,2.0,5.0,4.0,108.0,154.0,51.0,,7.0,,16.0,2.0,,2.0,1.0,,19.0,15.0,,35.0,4.0,16.0,27.0,,216.0,0.0,133.0,4.0,2.0,,1.0,83.0,93.0,4.0,68.0,,15.0,19.0,2.0,,5.0,1.0,,154.0,,2.0,11.0,126.0,725.0,3.0,13.0,22.0,1.0,17.0,374.0,40.0,6.0,18.0,2.0,1.0,1.0,5.0,1.0,33.0,461.0,74.0,1.0,2.0,8758,1.0,176.0,,9.0,,,196.0,3.0,7.0,5.0,62.0,2.0,2.0,6.0,2.0,7.0,2.0,1.0,1.0,58.0,389.0,11.0,14.0,22.0,3.0,75.0,,0.0,2.0,7.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,47.4,31.0,,5.0,6.0,1.0,40.0,5.0,,485.0,,17.0,,15.0,16.0,2.0,27.0,1.0,308.0,2.0,15.0,10.0,91.0,12.0,1.0,7.0,18.0,18.0,2.0,4.0,3.0,26.0,2.0,7.0,7.0,5.0,,2.0,1.0,,,,1.0,1.0,2.0,,,1.0,,,2.0,2.0,1.0,,,,3.0,,,,,1.0,3.0,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
24,695131,2014-02-02 16:00:00,"Emirates Stadium, London",60005,Home,Arsenal,Crystal Palace,2,0,W,0,0,0,0,,2.0,1.0,47.0,1.0,,1.0,31.0,33.0,4.0,5.0,7.0,2.0,1.0,,247.0,,6.0,2.0,3.0,7.0,6.0,225.0,130.0,58.0,1.0,11.0,,9.0,3.0,,2.0,,1.0,12.0,14.0,1.0,33.0,6.0,45.0,30.0,1.0,451.0,0.0,242.0,9.0,1.0,2.0,,108.0,77.0,5.0,113.0,1.0,6.0,19.0,4.0,1.0,3.0,3.0,,130.0,1.0,,5.0,212.0,1012.0,3.0,7.0,19.0,,11.0,701.0,16.0,2.0,20.0,2.0,,1.0,2.0,2.0,23.0,768.0,97.0,2.0,,8758,3.0,275.0,,3.0,,,284.0,1.0,9.0,12.0,55.0,5.0,,4.0,2.0,15.0,5.0,9.0,1.0,43.0,726.0,14.0,7.0,4.0,3.0,80.0,1.0,0.0,1.0,5.0,2.0,2.0,,3.0,0.0,,1.0,2.0,73.0,23.0,,4.0,4.0,1.0,68.0,6.0,,797.0,,11.0,1.0,21.0,17.0,4.0,32.0,1.0,525.0,4.0,42.0,18.0,198.0,23.0,,6.0,20.0,22.0,,5.0,3.0,16.0,,6.0,9.0,6.0,,,,,,1.0,,2.0,1.0,,2.0,,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,2.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
25,695144,2014-02-08 12:45:00,"Anfield, Liverpool",44701,Away,Arsenal,Liverpool,1,5,L,0,4,0,0,,1.0,1.0,48.0,,3.0,,27.0,38.0,7.0,2.0,4.0,7.0,,3.0,161.0,4.0,18.0,1.0,7.0,7.0,6.0,139.0,135.0,61.0,2.0,11.0,4.0,10.0,2.0,2.0,,2.0,,20.0,12.0,3.0,38.0,6.0,22.0,12.0,,289.0,0.0,177.0,14.0,5.0,1.0,4.0,65.0,87.0,6.0,82.0,1.0,14.0,15.0,7.0,2.0,,,,135.0,,,15.0,124.0,755.0,6.0,9.0,19.0,,11.0,417.0,16.0,3.0,21.0,,2.0,2.0,1.0,1.0,34.0,480.0,83.0,,,8758,4.0,153.0,,10.0,,,161.0,5.0,8.0,9.0,71.0,2.0,,6.0,,9.0,7.0,5.0,,44.0,438.0,14.0,13.0,14.0,1.0,63.0,,0.0,3.0,6.0,4.0,1.0,5.0,2.0,0.0,2.0,,2.0,57.3,30.0,1.0,2.0,6.0,4.0,42.0,6.0,,506.0,,11.0,,11.0,5.0,1.0,23.0,1.0,365.0,7.0,19.0,14.0,135.0,23.0,,,21.0,16.0,4.0,6.0,3.0,42.0,,,8.0,6.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,2.0,,,,,3.0,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,
26,695151,2014-02-12 19:45:00,"Emirates Stadium, London",60021,Home,Arsenal,Manchester United,0,0,D,0,0,0,0,,1.0,,73.0,,,2.0,30.0,39.0,9.0,3.0,8.0,2.0,,2.0,206.0,7.0,12.0,,5.0,16.0,5.0,142.0,160.0,76.0,2.0,17.0,5.0,16.0,3.0,2.0,,1.0,1.0,22.0,18.0,2.0,39.0,5.0,20.0,28.0,,320.0,0.0,234.0,10.0,1.0,1.0,2.0,97.0,84.0,10.0,75.0,1.0,17.0,21.0,9.0,2.0,5.0,2.0,,160.0,2.0,,4.0,146.0,815.0,12.0,14.0,16.0,,15.0,458.0,31.0,11.0,27.0,,2.0,1.0,1.0,5.0,31.0,550.0,85.0,1.0,1.0,8758,8.0,157.0,2.0,10.0,,,174.0,5.0,11.0,6.0,62.0,1.0,1.0,4.0,,14.0,2.0,2.0,,50.0,470.0,13.0,10.0,23.0,3.0,76.0,,0.0,1.0,5.0,2.0,,,4.0,0.0,3.0,,6.0,57.4,28.0,3.0,3.0,4.0,7.0,52.0,5.0,,569.0,,15.0,,15.0,10.0,5.0,37.0,3.0,417.0,8.0,16.0,33.0,170.0,33.0,,4.0,27.0,23.0,,12.0,1.0,24.0,,4.0,11.0,5.0,,,,,,1.0,1.0,,,,3.0,,2.0,1.0,,,4.0,,1.0,1.0,,,,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,695170,2014-02-22 15:00:00,"Emirates Stadium, London",60012,Home,Arsenal,Sunderland,4,1,W,3,0,0,0,,3.0,4.0,51.0,1.0,,,32.0,16.0,6.0,6.0,6.0,2.0,2.0,2.0,175.0,3.0,8.0,4.0,3.0,10.0,9.0,207.0,111.0,44.0,,12.0,2.0,6.0,1.0,1.0,1.0,3.0,,17.0,11.0,4.0,16.0,6.0,38.0,31.0,3.0,407.0,0.0,268.0,10.0,2.0,1.0,1.0,110.0,80.0,9.0,103.0,,11.0,16.0,6.0,,,,,111.0,3.0,,3.0,212.0,848.0,6.0,14.0,27.0,,12.0,608.0,24.0,5.0,6.0,2.0,1.0,0.0,1.0,1.0,16.0,673.0,55.0,2.0,,8758,4.0,223.0,1.0,10.0,,,235.0,6.0,5.0,6.0,36.0,7.0,,3.0,3.0,9.0,4.0,3.0,1.0,50.0,627.0,11.0,5.0,11.0,3.0,60.0,,0.0,1.0,3.0,2.0,4.0,1.0,4.0,0.0,1.0,2.0,2.0,64.8,14.0,1.0,3.0,3.0,2.0,47.0,7.0,,697.0,,12.0,,9.0,21.0,1.0,26.0,1.0,479.0,4.0,35.0,12.0,230.0,18.0,2.0,1.0,6.0,13.0,,8.0,3.0,14.0,,1.0,5.0,7.0,,2.0,1.0,1.0,,,1.0,1.0,2.0,,2.0,1.0,,,1.0,2.0,2.0,,,1.0,3.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
