gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attOboxGoal,midfielderGoals,attSvLowLeft,interceptionsInBox,subsGoals,attMissHighLeft,accurateThroughBall,attRfGoal,totalPullBack,totalThroughBall,totalOffside,punches,accurateFlickOn,attGoalLowCentre,shotFastbreak,goalFastbreak,attOneOnOne,totalFastbreak,secondYellow,fastestPlayer_topSpeed,totalDistance,attFastbreak,goalsConceded,goalsConcededIbox,ptsDroppedWinningPos,savedObox,goalAssistDeadball,accurateKeeperSweeper,attSvHighRight,attGoalHighCentre,attHdTarget,totalKeeperSweeper,defenderGoals,ptsGainedLosingPos,attCmissHigh,attGoalHighLeft,shieldBallOop,goalsConcededObox,attGoalLowLeft,expectedGoalsOnTarget,postScoringAtt,attIboxPost,expectedGoalsOnTargetConceded,attMissHighRight,winningGoal,keeperGoals,contentiousDecision,hitWoodwork,expectedAssists,ownGoals,attPenGoal,attObpGoal,attFreekickGoal,attCmissHighRight,attPostRight,expectedGoals,penaltyConceded,foulThrowIn,penaltyFaced,penGoalsConceded,accurateFreekickCross,attFreekickTotal,penaltyWon,freekickTotal,attFreekickMiss,handBall,attPostLeft,attHdPost,attPostHigh,expectedGoalsFreekick,attOboxPost,attCmissHighLeft,attFreekickTarget,errorLeadToGoal
11,2444572,2024-11-10 16:30:00,"Stamford Bridge, London",39780,Away,Arsenal,Chelsea,1,1,D,0,0,0,0,1.0,1.0,43.0,,3.0,,15.0,17.0,5.0,5.0,8.0,2.0,,,139.0,2.0,8.0,1.0,3.0,10.0,,3.0,114.0,103.0,43.0,13.0,3.0,9.0,2.0,2.0,1.0,1.0,2.0,17.0,6.0,,,17.0,2.0,4.0,20.0,181.0,,0.0,108.0,12.0,1.0,2.0,4.0,57.0,70.0,6.0,58.0,2.0,15.0,13.0,5.0,4.0,2.0,103.0,3.0,5.0,114.0,605.0,9.0,2.0,19.0,6.0,357.0,10.0,5.0,6.0,1.0,2.0,8.0,4.0,18.0,406.0,54.0,1.0,85955,3.0,196.0,3.0,9.0,,,205.0,3.0,6.0,7.0,47.0,7.0,1.0,10.0,12.0,7.0,,31.0,375.0,12.0,7.0,,12.0,2.0,45.0,1.0,1.0,0.0,,4.0,1.0,1.0,0.0,1.0,1.0,1.0,50.7,16.0,,5.0,1.0,,7.0,6.0,25.0,3.0,4.0,425.0,6.0,16.0,11.0,4.0,24.0,1.0,2.0,237.0,7.0,4.0,10.0,84.0,19.0,1.0,,6.0,13.0,,11.0,3.0,11.0,,6.0,3.0,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,7.0,1.0,1.0,,,,,,,,,,1.0,,2.0,1.0,,4.0,,,1.0,4.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2444581,2024-11-23 15:00:00,"Emirates Stadium, London",60298,Home,Arsenal,Nottingham Forest,3,0,W,1,0,0,0,1.0,,39.0,1.0,3.0,,20.0,14.0,5.0,10.0,14.0,,2.0,3.0,151.0,3.0,8.0,3.0,1.0,18.0,1.0,7.0,187.0,100.0,45.0,19.0,2.0,14.0,4.0,6.0,3.0,2.0,3.0,18.0,13.0,,,14.0,8.0,6.0,17.0,255.0,1.0,0.0,170.0,10.0,,,1.0,50.0,83.0,12.0,82.0,1.0,10.0,11.0,5.0,1.0,2.0,100.0,1.0,5.0,167.0,758.0,14.0,2.0,48.0,4.0,520.0,16.0,3.0,11.0,3.0,3.0,1.0,6.0,15.0,567.0,54.0,,85955,7.0,284.0,1.0,9.0,,,291.0,8.0,5.0,6.0,44.0,7.0,3.0,12.0,2.0,5.0,1.0,34.0,536.0,11.0,4.0,1.0,12.0,4.0,58.0,1.0,,0.0,1.0,1.0,,2.0,0.0,2.0,1.0,,66.1,14.0,,5.0,1.0,,7.0,5.0,44.0,8.0,1.0,587.0,4.0,6.0,10.0,7.0,41.0,1.0,5.0,314.0,9.0,6.0,11.0,139.0,10.0,1.0,,11.0,15.0,,15.0,5.0,18.0,,5.0,8.0,1.0,1.0,,1.0,1.0,2.0,,,1.0,3.0,,4.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2444598,2024-11-30 17:30:00,"London Stadium, London",62475,Away,Arsenal,West Ham United,5,2,W,5,2,0,0,1.0,5.0,44.0,1.0,3.0,1.0,22.0,14.0,3.0,7.0,13.0,3.0,3.0,,157.0,6.0,5.0,5.0,4.0,12.0,1.0,7.0,124.0,133.0,42.0,16.0,1.0,17.0,1.0,2.0,2.0,1.0,3.0,19.0,6.0,,1.0,14.0,10.0,4.0,29.0,214.0,,0.0,160.0,13.0,1.0,1.0,,75.0,88.0,8.0,81.0,1.0,9.0,15.0,3.0,3.0,1.0,133.0,3.0,8.0,117.0,649.0,6.0,4.0,32.0,6.0,392.0,16.0,2.0,8.0,3.0,1.0,4.0,4.0,23.0,465.0,56.0,1.0,85955,5.0,192.0,,5.0,,1.0,215.0,5.0,1.0,4.0,57.0,4.0,2.0,10.0,4.0,3.0,,43.0,400.0,10.0,5.0,3.0,17.0,3.0,46.0,,3.0,0.0,,2.0,2.0,5.0,0.0,2.0,3.0,4.0,59.9,15.0,1.0,2.0,1.0,,4.0,4.0,24.0,10.0,,479.0,6.0,14.0,21.0,5.0,32.0,4.0,4.0,283.0,5.0,4.0,11.0,119.0,21.0,3.0,,8.0,17.0,1.0,9.0,5.0,13.0,,1.0,10.0,,,1.0,1.0,,,,3.0,1.0,1.0,4.0,1.0,,,2.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,1.0,2.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,
14,2444601,2024-12-04 20:15:00,"Emirates Stadium, London",60256,Home,Arsenal,Manchester United,2,0,W,0,0,0,0,2.0,2.0,45.0,,4.0,2.0,25.0,8.0,1.0,6.0,13.0,2.0,,1.0,130.0,7.0,7.0,2.0,,10.0,1.0,6.0,127.0,112.0,42.0,14.0,1.0,9.0,4.0,,,,1.0,23.0,11.0,,,8.0,13.0,7.0,32.0,177.0,1.0,0.0,110.0,12.0,1.0,1.0,,35.0,71.0,8.0,79.0,1.0,10.0,10.0,1.0,4.0,,112.0,4.0,3.0,127.0,617.0,6.0,1.0,36.0,3.0,390.0,12.0,3.0,4.0,2.0,1.0,,2.0,16.0,448.0,51.0,1.0,85955,6.0,233.0,3.0,5.0,,,247.0,7.0,5.0,4.0,48.0,4.0,,10.0,2.0,4.0,1.0,46.0,403.0,8.0,8.0,2.0,13.0,7.0,45.0,1.0,1.0,0.0,,,2.0,2.0,0.0,1.0,2.0,4.0,50.3,11.0,2.0,6.0,3.0,1.0,4.0,5.0,28.0,13.0,,463.0,3.0,9.0,20.0,3.0,31.0,6.0,3.0,239.0,3.0,6.0,12.0,78.0,22.0,,1.0,4.0,15.0,1.0,6.0,3.0,17.0,1.0,5.0,13.0,1.0,,,2.0,,,,1.0,,1.0,3.0,2.0,,,1.0,,,,,,,,,,,,,1.0,2.0,,,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
15,2444614,2024-12-08 14:00:00,"Craven Cottage, London",26954,Away,Arsenal,Fulham,1,1,D,0,1,0,0,,1.0,55.0,,,1.0,19.0,11.0,2.0,3.0,10.0,1.0,1.0,3.0,172.0,8.0,8.0,1.0,5.0,9.0,4.0,4.0,152.0,135.0,36.0,12.0,,6.0,2.0,1.0,,2.0,2.0,33.0,6.0,,1.0,11.0,6.0,10.0,28.0,312.0,,0.0,199.0,9.0,,7.0,1.0,67.0,130.0,3.0,87.0,4.0,27.0,18.0,2.0,4.0,1.0,135.0,4.0,2.0,176.0,767.0,5.0,1.0,36.0,6.0,515.0,13.0,3.0,5.0,1.0,2.0,,6.0,23.0,580.0,69.0,,85955,2.0,218.0,3.0,16.0,,2.0,227.0,4.0,7.0,2.0,47.0,4.0,,12.0,,2.0,,37.0,522.0,9.0,5.0,3.0,9.0,4.0,53.0,1.0,,0.0,2.0,,1.0,1.0,0.0,5.0,,3.0,66.2,22.0,3.0,9.0,2.0,,4.0,,42.0,6.0,1.0,587.0,6.0,13.0,14.0,8.0,45.0,3.0,7.0,393.0,5.0,10.0,10.0,151.0,29.0,,,5.0,9.0,,6.0,4.0,22.0,,7.0,6.0,,,,,,,1.0,1.0,,2.0,4.0,3.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,3.0,,,,3.0,1.0,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
16,2444621,2024-12-14 15:00:00,"Emirates Stadium, London",60176,Home,Arsenal,Everton,0,0,D,0,0,0,0,3.0,,54.0,,4.0,,19.0,7.0,2.0,8.0,11.0,,,,180.0,7.0,13.0,,2.0,13.0,1.0,5.0,208.0,128.0,54.0,13.0,1.0,9.0,5.0,,,1.0,1.0,28.0,10.0,,,7.0,8.0,5.0,29.0,381.0,1.0,0.0,253.0,6.0,,1.0,1.0,89.0,108.0,10.0,97.0,1.0,20.0,5.0,2.0,5.0,1.0,128.0,1.0,1.0,199.0,887.0,11.0,3.0,49.0,,618.0,22.0,4.0,5.0,,0.0,2.0,3.0,23.0,670.0,79.0,,462424,8.0,257.0,1.0,14.0,,,264.0,1.0,3.0,1.0,53.0,6.0,,18.0,1.0,1.0,1.0,33.0,631.0,9.0,10.0,2.0,6.0,2.0,54.0,2.0,,0.0,,2.0,,,0.0,4.0,,2.0,76.6,22.0,,4.0,2.0,1.0,6.0,5.0,43.0,8.0,1.0,684.0,,16.0,15.0,3.0,45.0,3.0,2.0,448.0,2.0,5.0,15.0,214.0,21.0,,,5.0,18.0,,11.0,5.0,26.0,,3.0,8.0,1.0,,,1.0,,,,,,2.0,1.0,5.0,,1.0,,1.0,,,1.0,,32.38,114800.5,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,
17,2444632,2024-12-21 17:30:00,"Selhurst Park, London",25167,Away,Arsenal,Crystal Palace,5,1,W,3,1,0,0,1.0,3.0,41.0,1.0,4.0,1.0,17.0,15.0,1.0,3.0,13.0,5.0,,,143.0,9.0,8.0,5.0,,11.0,,6.0,169.0,129.0,49.0,14.0,1.0,13.0,1.0,,3.0,,,17.0,10.0,1.0,,15.0,3.0,4.0,20.0,194.0,,0.0,129.0,8.0,4.0,,2.0,64.0,67.0,8.0,88.0,1.0,14.0,18.0,1.0,2.0,,129.0,4.0,10.0,152.0,747.0,5.0,6.0,34.0,11.0,466.0,10.0,5.0,8.0,4.0,2.0,3.0,3.0,21.0,533.0,52.0,3.0,444145,8.0,294.0,2.0,12.0,2.0,,311.0,3.0,7.0,5.0,50.0,3.0,4.0,17.0,5.0,3.0,,39.0,479.0,8.0,4.0,2.0,20.0,3.0,55.0,,,0.0,2.0,3.0,4.0,5.0,0.0,7.0,1.0,5.0,58.4,18.0,1.0,2.0,1.0,,3.0,5.0,32.0,3.0,2.0,552.0,11.0,11.0,14.0,3.0,21.0,2.0,1.0,258.0,6.0,4.0,19.0,85.0,21.0,3.0,1.0,8.0,14.0,,10.0,5.0,22.0,1.0,7.0,3.0,,,1.0,1.0,,1.0,,1.0,5.0,1.0,1.0,,,1.0,,1.0,,,1.0,,32.1,116873.75,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,3.0,,2.0,2.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,1.0,2.0,1.0,,,,,
18,2444641,2024-12-27 20:15:00,"Emirates Stadium, London",60271,Home,Arsenal,Ipswich Town,1,0,W,1,0,0,0,2.0,1.0,40.0,,4.0,,9.0,14.0,4.0,4.0,9.0,,,2.0,139.0,5.0,7.0,1.0,3.0,12.0,1.0,5.0,211.0,111.0,54.0,13.0,1.0,15.0,3.0,3.0,1.0,3.0,,18.0,13.0,,1.0,14.0,5.0,10.0,20.0,369.0,1.0,0.0,238.0,7.0,,1.0,2.0,77.0,139.0,9.0,93.0,1.0,14.0,11.0,4.0,4.0,2.0,111.0,3.0,,227.0,840.0,9.0,3.0,40.0,4.0,592.0,10.0,2.0,9.0,1.0,1.0,3.0,3.0,16.0,654.0,65.0,,85955,2.0,240.0,2.0,9.0,1.0,,246.0,2.0,7.0,1.0,44.0,2.0,1.0,9.0,3.0,1.0,1.0,26.0,604.0,10.0,6.0,2.0,9.0,2.0,48.0,,,0.0,1.0,1.0,,1.0,0.0,3.0,1.0,1.0,67.8,13.0,1.0,6.0,2.0,1.0,2.0,5.0,31.0,5.0,2.0,670.0,4.0,9.0,10.0,3.0,31.0,3.0,1.0,442.0,8.0,10.0,13.0,195.0,20.0,,,9.0,24.0,,10.0,2.0,16.0,,7.0,5.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,
19,2444651,2025-01-01 17:30:00,"Gtech Community Stadium, Brentford",17190,Away,Arsenal,Brentford,3,1,W,1,1,0,0,,2.0,57.0,1.0,4.0,,13.0,22.0,3.0,4.0,11.0,1.0,1.0,2.0,161.0,6.0,8.0,3.0,,10.0,,5.0,127.0,123.0,48.0,14.0,1.0,12.0,1.0,,,1.0,2.0,20.0,9.0,,1.0,22.0,3.0,5.0,26.0,249.0,,0.0,208.0,8.0,,,2.0,68.0,61.0,6.0,60.0,1.0,17.0,11.0,3.0,5.0,1.0,123.0,,4.0,117.0,625.0,10.0,5.0,47.0,6.0,379.0,23.0,3.0,18.0,,2.0,1.0,4.0,8.0,450.0,55.0,,85955,9.0,145.0,,12.0,,,160.0,5.0,5.0,6.0,34.0,6.0,2.0,10.0,1.0,3.0,,37.0,388.0,6.0,4.0,,16.0,2.0,52.0,1.0,1.0,0.0,4.0,4.0,1.0,3.0,0.0,5.0,,3.0,49.5,7.0,1.0,9.0,,,7.0,5.0,23.0,3.0,2.0,465.0,6.0,5.0,9.0,4.0,36.0,1.0,3.0,325.0,7.0,5.0,19.0,167.0,16.0,2.0,1.0,18.0,16.0,1.0,12.0,5.0,13.0,1.0,5.0,3.0,,,1.0,,2.0,,1.0,2.0,1.0,,3.0,6.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2444662,2025-01-04 17:30:00,"American Express Stadium, Falmer",31714,Away,Arsenal,Brighton and Hove Albion,1,1,D,1,0,0,0,,1.0,55.0,,,,22.0,8.0,3.0,2.0,6.0,3.0,1.0,2.0,165.0,3.0,7.0,1.0,4.0,9.0,,3.0,139.0,112.0,50.0,9.0,2.0,13.0,1.0,2.0,1.0,2.0,1.0,15.0,7.0,,1.0,8.0,5.0,7.0,22.0,187.0,,0.0,132.0,14.0,,2.0,,63.0,57.0,5.0,85.0,,10.0,8.0,3.0,4.0,,112.0,5.0,6.0,130.0,670.0,5.0,6.0,23.0,5.0,440.0,15.0,9.0,4.0,1.0,3.0,3.0,4.0,10.0,496.0,60.0,1.0,85955,2.0,272.0,4.0,4.0,,2.0,290.0,6.0,1.0,5.0,49.0,7.0,1.0,17.0,5.0,5.0,2.0,43.0,456.0,17.0,12.0,3.0,23.0,1.0,49.0,,,0.0,2.0,2.0,2.0,1.0,0.0,2.0,,2.0,55.1,7.0,2.0,10.0,1.0,,8.0,2.0,28.0,5.0,,519.0,5.0,5.0,12.0,4.0,24.0,1.0,4.0,244.0,5.0,5.0,13.0,103.0,17.0,1.0,1.0,4.0,14.0,,6.0,2.0,13.0,1.0,1.0,5.0,,,,,,,,2.0,,,3.0,3.0,,3.0,1.0,,,,,,,,,1.0,1.0,2.0,1.0,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,
21,2444670,2025-01-15 20:00:00,"Emirates Stadium, London",60287,Home,Arsenal,Tottenham Hotspur,2,1,W,2,1,0,0,1.0,,47.0,1.0,5.0,,20.0,14.0,3.0,6.0,11.0,1.0,1.0,1.0,146.0,6.0,9.0,2.0,5.0,9.0,1.0,4.0,100.0,128.0,53.0,14.0,1.0,8.0,2.0,1.0,1.0,2.0,1.0,25.0,13.0,,1.0,14.0,9.0,5.0,26.0,236.0,,0.0,186.0,16.0,1.0,4.0,2.0,46.0,113.0,7.0,76.0,2.0,16.0,16.0,3.0,4.0,1.0,128.0,4.0,8.0,104.0,611.0,7.0,4.0,48.0,9.0,344.0,17.0,3.0,8.0,1.0,3.0,3.0,2.0,12.0,407.0,63.0,1.0,85955,6.0,127.0,4.0,8.0,,,135.0,9.0,8.0,8.0,50.0,3.0,1.0,15.0,2.0,2.0,,38.0,357.0,9.0,6.0,1.0,10.0,1.0,44.0,,,0.0,,4.0,1.0,2.0,0.0,3.0,,2.0,53.2,12.0,1.0,4.0,3.0,,3.0,6.0,27.0,10.0,2.0,426.0,9.0,11.0,18.0,4.0,40.0,3.0,3.0,316.0,6.0,4.0,14.0,142.0,17.0,1.0,,8.0,21.0,,13.0,4.0,19.0,,8.0,10.0,,,,1.0,1.0,,1.0,1.0,,1.0,3.0,3.0,,1.0,,2.0,1.0,,3.0,,,,2.0,1.0,1.0,,,,1.0,,,1.0,1.0,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,
22,2444680,2025-01-18 17:30:00,"Emirates Stadium, London",60067,Home,Arsenal,Aston Villa,2,2,D,1,0,0,0,1.0,2.0,42.0,1.0,2.0,,21.0,10.0,7.0,7.0,11.0,2.0,1.0,3.0,138.0,9.0,7.0,2.0,2.0,11.0,2.0,6.0,128.0,125.0,51.0,18.0,3.0,13.0,3.0,3.0,2.0,1.0,1.0,41.0,7.0,,1.0,10.0,10.0,6.0,20.0,292.0,,0.0,208.0,10.0,1.0,3.0,,76.0,117.0,6.0,87.0,4.0,31.0,8.0,7.0,9.0,3.0,125.0,2.0,5.0,130.0,674.0,8.0,4.0,37.0,8.0,407.0,7.0,9.0,7.0,2.0,2.0,1.0,5.0,12.0,461.0,82.0,1.0,85955,5.0,146.0,,19.0,,1.0,151.0,5.0,3.0,3.0,45.0,4.0,2.0,15.0,3.0,3.0,1.0,34.0,429.0,17.0,6.0,1.0,13.0,4.0,51.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,7.0,2.0,1.0,66.0,9.0,1.0,7.0,1.0,,4.0,5.0,41.0,10.0,,483.0,8.0,7.0,9.0,7.0,51.0,2.0,4.0,373.0,10.0,5.0,16.0,166.0,24.0,2.0,,7.0,12.0,,13.0,1.0,17.0,,3.0,10.0,,,,2.0,1.0,,1.0,2.0,1.0,,3.0,3.0,,1.0,1.0,,,,,,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,
23,2444699,2025-01-25 15:00:00,"Molineux Stadium, Wolverhampton",31503,Away,Arsenal,Wolverhampton Wanderers,1,0,W,0,0,1,1,,,48.0,1.0,1.0,,14.0,14.0,3.0,4.0,6.0,4.0,1.0,1.0,132.0,4.0,8.0,1.0,4.0,7.0,1.0,3.0,100.0,132.0,57.0,9.0,2.0,14.0,2.0,1.0,,1.0,,23.0,11.0,,,14.0,4.0,5.0,27.0,188.0,1.0,0.0,148.0,10.0,3.0,4.0,1.0,65.0,84.0,4.0,57.0,1.0,19.0,14.0,3.0,7.0,1.0,132.0,3.0,4.0,108.0,608.0,6.0,4.0,20.0,8.0,308.0,15.0,4.0,8.0,,1.0,1.0,3.0,27.0,370.0,55.0,,444145,3.0,145.0,3.0,8.0,1.0,2.0,157.0,4.0,6.0,9.0,56.0,4.0,1.0,9.0,5.0,5.0,1.0,39.0,329.0,20.0,7.0,1.0,16.0,,46.0,,,0.0,4.0,1.0,1.0,1.0,1.0,4.0,,3.0,48.4,22.0,2.0,8.0,1.0,1.0,4.0,3.0,22.0,5.0,1.0,397.0,8.0,10.0,15.0,3.0,29.0,,2.0,263.0,2.0,4.0,7.0,112.0,19.0,,1.0,8.0,22.0,,6.0,2.0,25.0,1.0,6.0,5.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,33.83,108599.47,,,,,3.0,,1.0,,,1.0,1.0,,,1.0,,3.0,,,0.7187,,,0.7386,1.0,,,,,0.621819,,,,,,,0.9974,,,,,1.0,1.0,,1.0,,1.0,,,,0.1681,,,,
24,2444701,2025-02-02 16:30:00,"Emirates Stadium, London",60355,Home,Arsenal,Manchester City,5,1,W,1,0,0,0,1.0,1.0,43.0,,2.0,,17.0,20.0,4.0,7.0,8.0,3.0,3.0,1.0,122.0,1.0,9.0,5.0,2.0,9.0,2.0,7.0,91.0,90.0,38.0,12.0,1.0,7.0,1.0,1.0,4.0,,,12.0,8.0,1.0,1.0,20.0,4.0,3.0,20.0,179.0,,0.0,117.0,6.0,2.0,1.0,,62.0,57.0,7.0,73.0,2.0,8.0,11.0,4.0,2.0,,90.0,2.0,5.0,112.0,540.0,4.0,4.0,17.0,5.0,335.0,11.0,2.0,13.0,4.0,2.0,,2.0,14.0,384.0,39.0,,444145,5.0,169.0,1.0,5.0,,,178.0,5.0,5.0,4.0,29.0,3.0,5.0,9.0,2.0,3.0,,37.0,347.0,7.0,2.0,1.0,11.0,3.0,52.0,,,0.0,,2.0,2.0,3.0,0.0,,3.0,1.0,45.7,12.0,1.0,8.0,1.0,,3.0,3.0,33.0,5.0,,398.0,5.0,12.0,7.0,2.0,21.0,1.0,2.0,232.0,4.0,3.0,7.0,91.0,20.0,1.0,2.0,13.0,16.0,,9.0,4.0,11.0,2.0,5.0,5.0,,2.0,2.0,2.0,,1.0,,1.0,2.0,,1.0,3.0,,2.0,,2.0,1.0,,3.0,,33.24,110167.77,2.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,4.0,3.0067,,,1.0507,,,,,,0.651162,,,,,,,1.0028,,,,,,,,,,,,,,,,,,
25,2444714,2025-02-15 12:30:00,"King Power Stadium, Leicester",31968,Away,Arsenal,Leicester City,2,0,W,0,0,0,0,1.0,2.0,49.0,1.0,,,15.0,22.0,5.0,5.0,6.0,2.0,1.0,2.0,160.0,4.0,14.0,2.0,1.0,8.0,,5.0,154.0,131.0,53.0,11.0,3.0,12.0,3.0,1.0,2.0,1.0,1.0,18.0,11.0,,,22.0,7.0,4.0,25.0,231.0,1.0,0.0,158.0,10.0,,1.0,2.0,68.0,61.0,6.0,50.0,1.0,11.0,11.0,5.0,4.0,1.0,131.0,3.0,4.0,127.0,692.0,6.0,1.0,34.0,5.0,408.0,11.0,3.0,11.0,2.0,1.0,2.0,2.0,23.0,477.0,54.0,,499169,4.0,193.0,1.0,6.0,,1.0,210.0,4.0,7.0,4.0,53.0,6.0,2.0,16.0,2.0,3.0,,33.0,420.0,9.0,9.0,,14.0,,52.0,,,0.0,,3.0,1.0,2.0,0.0,3.0,2.0,2.0,60.3,20.0,1.0,5.0,,,6.0,3.0,39.0,7.0,2.0,491.0,5.0,15.0,13.0,3.0,33.0,1.0,1.0,299.0,4.0,4.0,15.0,119.0,26.0,,2.0,11.0,15.0,1.0,10.0,4.0,22.0,2.0,7.0,7.0,,,,1.0,,2.0,,3.0,,,6.0,4.0,1.0,1.0,,2.0,1.0,,3.0,,32.04,112499.71,2.0,,,,1.0,,2.0,1.0,,,2.0,,,,,2.0,,1.0,1.9706,1.0,,0.1452,,,,,2.0,1.72947,,,,,,,1.383,,,,,,,,,,,,,1.0,,1.0,,,
26,2444721,2025-02-22 15:00:00,"Emirates Stadium, London",60262,Home,Arsenal,West Ham United,0,1,L,0,1,1,0,1.0,,38.0,,7.0,,12.0,6.0,6.0,9.0,14.0,1.0,,1.0,178.0,7.0,7.0,,4.0,17.0,2.0,2.0,199.0,120.0,50.0,20.0,3.0,20.0,1.0,3.0,,,2.0,30.0,5.0,,1.0,6.0,2.0,3.0,22.0,369.0,,0.0,265.0,16.0,,1.0,2.0,77.0,132.0,10.0,84.0,3.0,28.0,11.0,6.0,15.0,2.0,120.0,1.0,5.0,181.0,808.0,15.0,3.0,42.0,8.0,551.0,10.0,3.0,4.0,,1.0,,7.0,16.0,619.0,71.0,,154561,6.0,212.0,1.0,12.0,,4.0,226.0,8.0,5.0,6.0,53.0,4.0,,12.0,,6.0,1.0,25.0,574.0,14.0,6.0,2.0,9.0,2.0,40.0,,1.0,0.0,2.0,,1.0,,1.0,7.0,,2.0,67.8,15.0,1.0,2.0,3.0,1.0,4.0,10.0,27.0,2.0,2.0,642.0,8.0,8.0,10.0,8.0,46.0,,6.0,446.0,9.0,3.0,17.0,223.0,21.0,,,4.0,12.0,,13.0,4.0,11.0,,5.0,2.0,,,,1.0,1.0,,2.0,,,1.0,,2.0,,3.0,,,,,,,32.65,117935.69,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,0.138,,,1.0177,,,,1.0,,1.56786,,,,,,,1.2212,,,,,1.0,1.0,,1.0,,,,,,0.1362,,1.0,,
