gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,goalFastbreak,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,attRfTarget,attGoalLowCentre,attMissLeft,attGoalHighRight,divingSave,penaltyConceded,attMissHigh,attSvLowRight,shieldBallOop,attSvHighCentre,penaltyFaced,penGoalsConceded,accuratePullBack,attSvHighRight,totalPullBack,errorLeadToGoal,fouledFinalThird,attCmissRight,attBxRight,freekickCross,attObxdRight,accurateFreekickCross,attBxCentre,ownGoals,goalsOpenplay,foulThrowIn,attIboxOwnGoal,attOpenplay,postScoringAtt,attIboxPost,attPostLeft,attHdTarget,attAssistSetplay,accurateCornersIntobox,cleanSheet,attGoalHighCentre,sixYardBlock,attOboxPost,attFreekickMiss,punches,attHdPost,attPostHigh,goalsConcededObox,expectedGoalsOnTarget,attemptsIbox,saves,expectedGoalsOnTargetConceded,winningGoal,totalFastbreak,attemptsObox,keeperGoals,subsGoals,touchesInOppBox,successfulOpenPlayPass,expectedAssists,openPlayPass,expectedGoalsFreekick,attPenGoal,attCorner,attObpGoal,attCmissLeft,attFreekickGoal,attBxLeft,ptsDroppedWinningPos,expectedGoals,attCmissHigh,attPenTarget,penaltyWon,attPostRight,penaltySave,attLgCentre,errorLeadToShot,attCmissHighRight,attObxLeft
29,284280,2010-03-06 15:00:00,"Emirates Stadium, London",60043.0,Home,Arsenal,Burnley,3,1,W,1,0,0,0,2.0,1.0,64.0,1.0,1.0,3.0,5.0,,,20.0,18.0,5.0,8.0,2.0,10.0,25.0,3.0,26.0,10.0,146.0,67.0,,28.0,2.0,9.0,4.0,1.0,2.0,3.0,1.0,,31.0,14.0,3.0,10.0,6.0,18.0,24.0,263.0,,,0.0,182.0,9.0,,3.0,2.0,1.0,87.0,73.0,16.0,,3.0,25.0,,1.0,,138.0,4.0,831.0,22.0,9.0,,19.0,18.0,,3.0,9.0,3.0,2.0,0.0,,10.0,24.0,69.0,7.0,8597,194.0,23.0,,214.0,1.0,7.0,41.0,15.0,,2.0,15.0,5.0,4.0,31.0,447.0,12.0,6.0,10.0,80.0,1.0,,0.0,,2.0,2.0,3.0,1.0,1.0,0.0,9.0,1.0,2.0,64.8,21.0,2.0,5.0,15.0,7.0,,53.0,8.0,1.0,537.0,19.0,11.0,11.0,11.0,19.0,11.0,354.0,18.0,15.0,8.0,135.0,24.0,,3.0,6.0,22.0,,1.0,3.0,33.0,3.0,8.0,6.0,1.0,5.0,,2.0,,3.0,3.0,1.0,1.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
30,284294,2010-03-13 17:30:00,"The MKM Stadium, Hull",25023.0,Away,Arsenal,Hull City,2,1,W,1,1,0,1,,1.0,61.0,,,,2.0,,,34.0,19.0,6.0,4.0,,8.0,9.0,2.0,15.0,4.0,168.0,71.0,,18.0,3.0,13.0,,,,1.0,1.0,,36.0,17.0,2.0,14.0,7.0,20.0,24.0,274.0,4.0,,0.0,186.0,13.0,,1.0,,2.0,65.0,92.0,7.0,1.0,2.0,29.0,,7.0,1.0,163.0,2.0,792.0,10.0,12.0,,13.0,21.0,1.0,7.0,13.0,1.0,,2.0,2.0,8.0,22.0,69.0,1.0,66587,146.0,19.0,3.0,167.0,2.0,8.0,61.0,6.0,,2.0,5.0,7.0,4.0,56.0,412.0,16.0,5.0,20.0,99.0,,,0.0,,2.0,,2.0,1.0,5.0,0.0,5.0,1.0,4.0,67.1,22.0,4.0,1.0,5.0,5.0,,63.0,8.0,2.0,511.0,13.0,21.0,10.0,9.0,31.0,8.0,380.0,10.0,17.0,24.0,135.0,30.0,1.0,3.0,8.0,22.0,,1.0,2.0,18.0,3.0,8.0,1.0,2.0,2.0,,,1.0,,,3.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,284300,2010-03-20 17:30:00,"Emirates Stadium, London",60077.0,Home,Arsenal,West Ham United,2,0,W,1,0,1,0,,,71.0,1.0,1.0,2.0,1.0,,,29.0,10.0,4.0,2.0,,3.0,11.0,2.0,9.0,4.0,150.0,74.0,1.0,11.0,1.0,17.0,2.0,,,1.0,,,19.0,23.0,,6.0,4.0,32.0,28.0,240.0,,1.0,0.0,167.0,10.0,,2.0,1.0,2.0,53.0,61.0,5.0,1.0,2.0,15.0,1.0,4.0,2.0,146.0,4.0,788.0,8.0,15.0,,20.0,27.0,1.0,4.0,6.0,1.0,,1.0,2.0,4.0,16.0,70.0,5.0,8597,203.0,7.0,,215.0,2.0,7.0,66.0,13.0,,1.0,6.0,6.0,3.0,52.0,440.0,23.0,4.0,16.0,82.0,,,0.0,,2.0,1.0,1.0,,6.0,1.0,2.0,1.0,1.0,55.7,12.0,1.0,6.0,7.0,2.0,,49.0,4.0,2.0,525.0,20.0,25.0,15.0,5.0,32.0,3.0,329.0,8.0,28.0,10.0,118.0,26.0,,,4.0,30.0,,,3.0,21.0,,4.0,2.0,,2.0,,3.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,
32,284310,2010-03-27 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",27039.0,Away,Arsenal,Birmingham City,1,1,D,0,0,0,0,,1.0,61.0,1.0,,2.0,1.0,,,28.0,20.0,8.0,1.0,,7.0,15.0,1.0,11.0,8.0,190.0,70.0,1.0,15.0,2.0,17.0,2.0,,1.0,1.0,3.0,,31.0,13.0,5.0,12.0,6.0,19.0,21.0,213.0,1.0,1.0,0.0,185.0,14.0,,1.0,1.0,,62.0,64.0,8.0,,,25.0,1.0,9.0,1.0,182.0,4.0,711.0,9.0,17.0,,16.0,22.0,,4.0,11.0,1.0,1.0,2.0,,3.0,28.0,83.0,2.0,8597,119.0,14.0,1.0,136.0,1.0,11.0,71.0,6.0,,2.0,7.0,5.0,1.0,61.0,325.0,13.0,8.0,23.0,85.0,,,0.0,1.0,2.0,1.0,,1.0,7.0,0.0,5.0,,2.0,56.3,20.0,2.0,2.0,7.0,3.0,,37.0,6.0,,431.0,16.0,20.0,8.0,4.0,31.0,3.0,326.0,12.0,15.0,21.0,125.0,23.0,,2.0,8.0,21.0,,1.0,2.0,27.0,2.0,6.0,6.0,,2.0,,3.0,,1.0,1.0,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
33,284320,2010-04-03 15:00:00,"Emirates Stadium, London",60067.0,Home,Arsenal,Wolverhampton Wanderers,1,0,W,0,0,0,1,1.0,1.0,59.0,,1.0,2.0,5.0,,,30.0,13.0,9.0,5.0,,15.0,9.0,1.0,22.0,9.0,153.0,47.0,2.0,26.0,2.0,7.0,7.0,1.0,1.0,1.0,3.0,,57.0,14.0,1.0,10.0,9.0,17.0,16.0,329.0,2.0,,0.0,238.0,12.0,,,1.0,,50.0,116.0,14.0,1.0,2.0,48.0,2.0,13.0,6.0,150.0,1.0,804.0,19.0,4.0,,9.0,23.0,2.0,2.0,6.0,1.0,1.0,0.0,1.0,8.0,21.0,72.0,3.0,8597,142.0,33.0,1.0,163.0,,6.0,54.0,5.0,,,6.0,4.0,2.0,47.0,456.0,13.0,3.0,12.0,60.0,1.0,,0.0,,4.0,1.0,1.0,,,0.0,14.0,1.0,3.0,64.6,20.0,1.0,3.0,6.0,7.0,1.0,39.0,10.0,,526.0,8.0,20.0,7.0,10.0,30.0,4.0,420.0,15.0,15.0,9.0,205.0,25.0,1.0,3.0,3.0,16.0,1.0,,3.0,22.0,3.0,10.0,6.0,,4.0,,,,,2.0,1.0,1.0,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,284336,2010-04-14 20:00:00,"White Hart Lane, London",36041.0,Away,Arsenal,Tottenham Hotspur,1,2,L,0,1,0,0,,3.0,70.0,,,1.0,6.0,,,33.0,28.0,8.0,9.0,,5.0,16.0,1.0,16.0,6.0,181.0,70.0,2.0,23.0,2.0,16.0,3.0,,1.0,1.0,,,27.0,17.0,2.0,15.0,5.0,19.0,20.0,320.0,,,0.0,223.0,10.0,2.0,,,2.0,83.0,94.0,9.0,2.0,3.0,22.0,2.0,7.0,4.0,168.0,7.0,883.0,14.0,6.0,1.0,22.0,26.0,1.0,5.0,20.0,1.0,1.0,1.0,7.0,7.0,26.0,76.0,3.0,8597,151.0,14.0,1.0,170.0,1.0,9.0,64.0,8.0,,2.0,7.0,8.0,5.0,53.0,466.0,13.0,11.0,19.0,88.0,,,0.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0,2.0,65.9,25.0,1.0,3.0,8.0,8.0,,50.0,6.0,2.0,577.0,21.0,19.0,12.0,9.0,29.0,5.0,434.0,11.0,16.0,17.0,166.0,27.0,1.0,1.0,11.0,24.0,,1.0,3.0,24.0,1.0,6.0,,1.0,4.0,,2.0,,1.0,2.0,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,284349,2010-04-18 13:30:00,"The Brick Community Stadium, Wigan",22113.0,Away,Arsenal,Wigan Athletic,2,3,L,1,0,0,0,2.0,1.0,69.0,2.0,,3.0,1.0,1.0,1.0,16.0,28.0,4.0,3.0,1.0,3.0,9.0,2.0,8.0,7.0,167.0,68.0,1.0,12.0,1.0,15.0,3.0,,,1.0,1.0,,8.0,21.0,2.0,17.0,3.0,11.0,20.0,160.0,,,0.0,116.0,16.0,,1.0,1.0,,62.0,41.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,155.0,7.0,680.0,4.0,10.0,,23.0,23.0,,3.0,16.0,2.0,,1.0,7.0,3.0,21.0,55.0,4.0,8597,139.0,3.0,1.0,163.0,,12.0,77.0,12.0,1.0,2.0,9.0,12.0,3.0,42.0,296.0,15.0,15.0,26.0,95.0,,,0.0,1.0,8.0,2.0,2.0,3.0,,0.0,1.0,2.0,2.0,50.1,16.0,1.0,4.0,9.0,2.0,1.0,45.0,3.0,1.0,397.0,21.0,19.0,11.0,3.0,17.0,2.0,242.0,7.0,10.0,16.0,71.0,27.0,,,10.0,28.0,1.0,2.0,3.0,23.0,1.0,3.0,4.0,,2.0,,3.0,,,2.0,1.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,284350,2010-04-24 17:30:00,"Emirates Stadium, London",60086.0,Home,Arsenal,Manchester City,0,0,D,0,0,0,0,,2.0,66.0,,,1.0,1.0,,,25.0,10.0,6.0,5.0,,3.0,11.0,,11.0,4.0,161.0,57.0,1.0,13.0,1.0,7.0,2.0,,1.0,,1.0,,28.0,13.0,2.0,6.0,4.0,25.0,25.0,264.0,1.0,,0.0,194.0,14.0,,,1.0,1.0,50.0,97.0,6.0,1.0,2.0,24.0,1.0,4.0,3.0,157.0,1.0,778.0,8.0,9.0,,26.0,22.0,2.0,6.0,4.0,,1.0,4.0,1.0,5.0,29.0,74.0,5.0,8597,148.0,15.0,1.0,170.0,,5.0,60.0,6.0,,2.0,13.0,2.0,3.0,46.0,409.0,14.0,7.0,18.0,76.0,,,0.0,,1.0,,,,2.0,0.0,1.0,,2.0,59.3,23.0,2.0,1.0,13.0,2.0,,43.0,4.0,1.0,498.0,26.0,25.0,10.0,7.0,34.0,4.0,356.0,5.0,25.0,12.0,145.0,29.0,,3.0,3.0,20.0,,,2.0,18.0,3.0,5.0,2.0,,1.0,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,284361,2010-05-03 17:00:00,"Ewood Park, Blackburn",26138.0,Away,Arsenal,Blackburn Rovers,1,2,L,1,1,0,0,1.0,1.0,42.0,,,2.0,1.0,,,29.0,39.0,2.0,3.0,,4.0,10.0,1.0,5.0,3.0,145.0,52.0,2.0,7.0,1.0,13.0,1.0,,1.0,1.0,,,26.0,10.0,1.0,23.0,8.0,14.0,18.0,242.0,,,0.0,165.0,16.0,,,1.0,5.0,55.0,90.0,3.0,2.0,1.0,18.0,2.0,5.0,,129.0,6.0,707.0,4.0,7.0,,17.0,12.0,,2.0,23.0,1.0,1.0,2.0,2.0,2.0,29.0,62.0,,66587,146.0,12.0,,158.0,,6.0,49.0,2.0,,2.0,8.0,5.0,2.0,50.0,384.0,19.0,1.0,17.0,59.0,,,0.0,1.0,5.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,70.1,27.0,,3.0,9.0,2.0,,27.0,8.0,6.0,462.0,16.0,14.0,6.0,2.0,17.0,2.0,330.0,3.0,13.0,8.0,119.0,13.0,1.0,,10.0,15.0,1.0,2.0,2.0,16.0,,8.0,1.0,,1.0,1.0,3.0,,,,3.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,284370,2010-05-09 16:00:00,"Emirates Stadium, London",60039.0,Home,Arsenal,Fulham,4,0,W,3,0,0,0,1.0,3.0,62.0,1.0,2.0,,2.0,,,52.0,14.0,5.0,10.0,2.0,7.0,18.0,4.0,13.0,6.0,144.0,61.0,1.0,18.0,4.0,12.0,3.0,4.0,2.0,1.0,,1.0,27.0,13.0,,7.0,1.0,27.0,33.0,280.0,1.0,,0.0,163.0,13.0,,1.0,1.0,1.0,102.0,102.0,8.0,,1.0,26.0,1.0,8.0,1.0,137.0,1.0,863.0,11.0,2.0,2.0,23.0,17.0,1.0,1.0,6.0,1.0,3.0,2.0,2.0,5.0,23.0,70.0,3.0,66587,290.0,16.0,,309.0,1.0,4.0,52.0,13.0,,6.0,8.0,2.0,3.0,65.0,563.0,10.0,2.0,10.0,82.0,4.0,,0.0,,2.0,,4.0,,,0.0,7.0,1.0,,64.3,23.0,,5.0,8.0,6.0,,61.0,5.0,1.0,646.0,23.0,15.0,22.0,6.0,25.0,4.0,364.0,8.0,27.0,15.0,117.0,31.0,2.0,1.0,2.0,18.0,,,3.0,30.0,1.0,5.0,,,1.0,,,,1.0,2.0,1.0,,,,,,,,4.0,1.0,2.0,2.0,,,6.0,,3.0,,,14.0,1.0,1.0,,,1.0,,1.0,,,,,3.0,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
