gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,bigChanceScored,attGoalLowLeft,attGoalLowRight,attLfGoal,attGoalLowCentre,fouledFinalThird,attFreekickTotal,attOboxBlocked,goalAssistOpenplay,attOboxGoal,ptsGainedLosingPos,freekickTotal,contentiousDecision,attHdTarget,hitWoodwork,attMissHighLeft,accurateThroughBall,errorLeadToShot,sixYardBlock,attRfGoal,defenderGoals,attCmissHighLeft,goalsOpenplay,attAssistSetplay,attCorner,goalsConceded,possessionPercentage,accurateCornersIntobox,attMissHighRight,penaltyWon,attSvHighLeft,interceptionsInBox,attPenGoal,attSvLowRight,attFreekickTarget,attSvHighCentre,goalsConcededIbox,attGoalHighRight,errorLeadToGoal,postScoringAtt,attIboxPost,attSvHighRight,attGoalHighCentre,attPostLeft,attHdPost,attOboxPost,attPostHigh,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,midfielderGoals,attLgCentre,shotFastbreak,totalFastbreak,attFastbreak,foulThrowIn,attOneOnOne,winningGoal,keeperGoals,subsGoals,ownGoals,attObpGoal,attFreekickGoal,attFreekickMiss,clearanceOffLine,attPostRight,attObxdLeft,attIboxOwnGoal,attFreekickPost,attPenTarget
11,2128388,2020-12-05 12:30:00,"Turf Moor, Burnley",,Away,Everton,Burnley,1,1,D,1,1,0,0,,3.0,38.0,74.0,,3.0,,,33.0,22.0,5.0,8.0,8.0,2.0,2.0,182.0,19.0,2.0,13.0,1.0,11.0,,,6.0,169.0,153.0,59.0,13.0,18.0,4.0,2.0,,2.0,2.0,18.0,15.0,1.0,22.0,3.0,9.0,48.0,188.0,,0.0,126.0,9.0,2.0,1.0,,1.0,58.0,67.0,10.0,91.0,,15.0,16.0,5.0,4.0,3.0,153.0,4.0,5.0,139.0,767.0,10.0,1.0,24.0,12.0,473.0,30.0,4.0,10.0,1.0,,0.0,3.0,1.0,20.0,569.0,40.0,,66838,1.0,294.0,3.0,11.0,,322.0,5.0,2.0,16.0,3.0,59.0,,1.0,3.0,6.0,14.0,3.0,,,63.0,480.0,6.0,17.0,17.0,82.0,,1.0,2.0,0.0,1.0,8.0,2.0,1.0,1.0,0.0,2.0,1.0,,,18.0,,4.0,3.0,7.0,4.0,45.0,4.0,1.0,581.0,12.0,5.0,21.0,3.0,29.0,,277.0,5.0,8.0,22.0,91.0,33.0,1.0,2.0,10.0,19.0,,12.0,3.0,23.0,2.0,5.0,5.0,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,58.6,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
12,2128398,2020-12-12 20:00:00,"Goodison Park, Liverpool",2000.0,Home,Everton,Chelsea,1,0,W,1,0,0,0,1.0,1.0,41.0,59.0,2.0,2.0,,,21.0,33.0,1.0,1.0,8.0,3.0,2.0,114.0,21.0,4.0,16.0,1.0,7.0,,,4.0,49.0,149.0,62.0,9.0,20.0,3.0,,,1.0,,17.0,7.0,,33.0,5.0,1.0,18.0,92.0,1.0,0.0,83.0,10.0,2.0,2.0,2.0,1.0,54.0,31.0,5.0,35.0,,12.0,17.0,1.0,1.0,1.0,149.0,,4.0,43.0,479.0,5.0,11.0,16.0,26.0,152.0,30.0,5.0,17.0,,,2.0,3.0,2.0,24.0,220.0,42.0,,66838,4.0,74.0,,9.0,,97.0,6.0,,17.0,6.0,60.0,1.0,,4.0,3.0,24.0,6.0,3.0,2.0,55.0,162.0,11.0,15.0,22.0,55.0,0.0,,2.0,0.0,1.0,6.0,1.0,1.0,4.0,0.0,2.0,,,2.0,14.0,2.0,2.0,3.0,3.0,2.0,22.0,6.0,1.0,241.0,26.0,13.0,8.0,3.0,22.0,2.0,161.0,5.0,1.0,22.0,52.0,19.0,,3.0,17.0,13.0,0.0,4.0,3.0,20.0,3.0,9.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,,,0.0,,1.0,1.0,,,1.0,,,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,28.0,2.0,,1.0,,3.0,1.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
13,2128410,2020-12-16 18:00:00,"King Power Stadium, Leicester",,Away,Everton,Leicester City,2,0,W,1,0,0,0,,1.0,32.0,71.0,1.0,3.0,,,36.0,16.0,2.0,2.0,9.0,2.0,,136.0,18.0,4.0,11.0,2.0,8.0,,,6.0,81.0,137.0,48.0,11.0,9.0,4.0,,,2.0,,16.0,7.0,,16.0,6.0,4.0,30.0,109.0,1.0,0.0,79.0,9.0,1.0,1.0,2.0,,55.0,52.0,7.0,61.0,,10.0,12.0,2.0,3.0,,137.0,,5.0,66.0,526.0,3.0,10.0,15.0,7.0,254.0,33.0,6.0,3.0,1.0,,3.0,7.0,1.0,19.0,323.0,40.0,1.0,66838,6.0,160.0,1.0,5.0,2.0,178.0,7.0,,12.0,6.0,50.0,,,2.0,2.0,17.0,9.0,3.0,,67.0,265.0,12.0,11.0,21.0,61.0,,,,0.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,,1.0,3.0,14.0,,5.0,,2.0,4.0,28.0,6.0,,344.0,7.0,16.0,16.0,1.0,18.0,1.0,182.0,5.0,3.0,12.0,45.0,25.0,1.0,2.0,3.0,13.0,,3.0,3.0,16.0,2.0,7.0,6.0,,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,3.0,1.0,,,,1.0,1.0,1.0,,1.0,4.0,6.0,,39.0,2.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
14,2128420,2020-12-19 17:30:00,"Goodison Park, Liverpool",2000.0,Home,Everton,Arsenal,2,1,W,2,1,0,0,,1.0,29.0,48.0,,,1.0,1.0,28.0,17.0,6.0,1.0,3.0,1.0,,136.0,13.0,5.0,7.0,2.0,5.0,,,2.0,105.0,120.0,42.0,9.0,10.0,,,,,2.0,18.0,6.0,1.0,17.0,3.0,1.0,25.0,162.0,,0.0,95.0,9.0,,,,,53.0,66.0,2.0,66.0,1.0,15.0,15.0,6.0,5.0,2.0,120.0,1.0,9.0,94.0,553.0,3.0,5.0,13.0,11.0,311.0,30.0,7.0,9.0,1.0,,1.0,4.0,3.0,17.0,376.0,46.0,,66838,2.0,167.0,1.0,10.0,1.0,192.0,6.0,1.0,15.0,13.0,37.0,,,1.0,2.0,17.0,4.0,5.0,,66.0,324.0,9.0,9.0,27.0,56.0,1.0,1.0,,0.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,3.0,16.0,2.0,3.0,,2.0,3.0,30.0,4.0,1.0,401.0,11.0,4.0,15.0,4.0,23.0,2.0,227.0,5.0,1.0,14.0,61.0,10.0,,1.0,9.0,12.0,1.0,4.0,3.0,12.0,1.0,4.0,4.0,,,,,,,1.0,1.0,3.0,,,,1.0,,,,,,,,,1.0,,,1.0,3.0,1.0,42.2,2.0,1.0,,1.0,2.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
15,2128433,2020-12-26 20:00:00,"Bramall Lane, Sheffield",,Away,Everton,Sheffield United,1,0,W,0,0,0,0,,1.0,26.0,73.0,,1.0,,,41.0,23.0,3.0,1.0,4.0,1.0,1.0,175.0,13.0,3.0,18.0,1.0,6.0,,1.0,3.0,154.0,169.0,74.0,7.0,20.0,1.0,,,1.0,1.0,13.0,9.0,1.0,23.0,2.0,7.0,34.0,168.0,1.0,0.0,126.0,10.0,1.0,,2.0,1.0,56.0,48.0,3.0,82.0,1.0,11.0,25.0,3.0,6.0,2.0,169.0,1.0,9.0,134.0,741.0,5.0,6.0,20.0,8.0,417.0,39.0,9.0,9.0,1.0,,4.0,4.0,3.0,24.0,527.0,55.0,,66838,4.0,267.0,1.0,3.0,1.0,315.0,5.0,,25.0,5.0,54.0,,,2.0,3.0,17.0,1.0,3.0,,79.0,432.0,11.0,7.0,32.0,75.0,,1.0,,0.0,3.0,6.0,2.0,1.0,2.0,0.0,2.0,1.0,,,18.0,,1.0,,3.0,1.0,40.0,3.0,1.0,545.0,8.0,10.0,14.0,3.0,27.0,1.0,243.0,6.0,6.0,32.0,84.0,27.0,,1.0,9.0,13.0,,6.0,3.0,26.0,1.0,11.0,3.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,56.2,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
16,2128440,2021-02-17 20:15:00,"Goodison Park, Liverpool",,Home,Everton,Manchester City,1,3,L,1,1,0,0,,1.0,22.0,60.0,2.0,,,,25.0,28.0,,2.0,3.0,4.0,,125.0,9.0,2.0,5.0,1.0,2.0,,,2.0,65.0,117.0,46.0,3.0,14.0,1.0,,2.0,,,12.0,11.0,,28.0,,3.0,37.0,82.0,,0.0,81.0,8.0,2.0,,1.0,1.0,30.0,41.0,1.0,47.0,,12.0,16.0,,4.0,,117.0,,10.0,76.0,469.0,2.0,6.0,9.0,14.0,210.0,27.0,2.0,15.0,,2.0,2.0,5.0,1.0,6.0,285.0,51.0,,78007,1.0,149.0,,7.0,,171.0,4.0,,16.0,11.0,48.0,,,,5.0,12.0,6.0,7.0,,67.0,229.0,8.0,15.0,18.0,60.0,,,2.0,0.0,,10.0,2.0,1.0,,0.0,2.0,,,,6.0,,4.0,,5.0,,26.0,,1.0,313.0,14.0,5.0,16.0,1.0,14.0,,154.0,1.0,2.0,16.0,40.0,18.0,1.0,,15.0,18.0,,3.0,3.0,11.0,,10.0,,2.0,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,3.0,29.6,,,,,4.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
17,2128450,2021-01-01 17:30:00,"Goodison Park, Liverpool",,Home,Everton,West Ham United,0,1,L,0,0,0,0,,,19.0,68.0,2.0,1.0,,,24.0,16.0,5.0,2.0,5.0,4.0,2.0,192.0,9.0,5.0,7.0,,7.0,,,2.0,156.0,149.0,48.0,10.0,21.0,1.0,1.0,1.0,1.0,2.0,23.0,10.0,1.0,16.0,5.0,14.0,37.0,239.0,,0.0,158.0,9.0,2.0,1.0,3.0,,61.0,81.0,3.0,95.0,2.0,18.0,19.0,5.0,3.0,2.0,149.0,,7.0,146.0,763.0,6.0,8.0,18.0,11.0,482.0,36.0,4.0,7.0,,1.0,2.0,1.0,4.0,18.0,577.0,78.0,,66838,3.0,258.0,,12.0,2.0,280.0,5.0,,19.0,6.0,48.0,,1.0,2.0,7.0,14.0,4.0,4.0,,51.0,492.0,6.0,4.0,13.0,60.0,,,,0.0,1.0,4.0,2.0,,2.0,0.0,4.0,,1.0,3.0,17.0,3.0,5.0,1.0,7.0,3.0,42.0,5.0,,589.0,11.0,10.0,13.0,5.0,31.0,3.0,332.0,5.0,14.0,20.0,105.0,20.0,,2.0,7.0,15.0,,5.0,3.0,13.0,2.0,8.0,5.0,,,,,,,3.0,,2.0,,,,,,,,1.0,1.0,1.0,,,,,,1.0,3.0,1.0,60.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2128463,2021-01-12 20:15:00,"Molineux Stadium, Wolverhampton",,Away,Everton,Wolverhampton Wanderers,2,1,W,1,1,0,0,2.0,,28.0,40.0,1.0,1.0,1.0,,25.0,23.0,,,5.0,2.0,1.0,123.0,12.0,2.0,11.0,2.0,5.0,1.0,,3.0,144.0,103.0,44.0,5.0,8.0,1.0,1.0,,1.0,,20.0,7.0,,23.0,3.0,3.0,35.0,188.0,,0.0,112.0,11.0,1.0,,,,61.0,69.0,4.0,82.0,,17.0,15.0,,4.0,,103.0,1.0,7.0,151.0,663.0,2.0,1.0,13.0,10.0,429.0,19.0,1.0,14.0,2.0,,2.0,3.0,1.0,18.0,481.0,44.0,,66838,3.0,258.0,1.0,13.0,,272.0,5.0,2.0,15.0,10.0,40.0,,1.0,1.0,6.0,10.0,5.0,8.0,,38.0,444.0,6.0,9.0,4.0,60.0,,,1.0,0.0,1.0,6.0,1.0,2.0,,0.0,1.0,2.0,1.0,2.0,15.0,1.0,3.0,,6.0,1.0,48.0,5.0,,500.0,10.0,7.0,24.0,1.0,26.0,1.0,248.0,3.0,3.0,16.0,84.0,12.0,,2.0,14.0,11.0,1.0,3.0,3.0,18.0,2.0,7.0,5.0,,,2.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,2.0,1.0,47.2,1.0,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
19,2128467,2021-05-13 18:00:00,"Villa Park, Birmingham",,Away,Everton,Aston Villa,0,0,D,0,0,0,0,,,,60.0,2.0,,,,30.0,17.0,5.0,2.0,10.0,2.0,2.0,124.0,,6.0,6.0,,12.0,,,5.0,103.0,109.0,45.0,15.0,16.0,4.0,1.0,,1.0,3.0,18.0,4.0,1.0,17.0,1.0,2.0,46.0,151.0,1.0,0.0,100.0,12.0,1.0,,,,54.0,33.0,5.0,47.0,1.0,17.0,11.0,5.0,4.0,3.0,109.0,,7.0,88.0,514.0,9.0,4.0,25.0,8.0,278.0,27.0,2.0,10.0,,,1.0,3.0,7.0,11.0,341.0,44.0,,78007,5.0,150.0,,13.0,3.0,165.0,8.0,,11.0,11.0,47.0,,2.0,2.0,5.0,16.0,6.0,10.0,2.0,49.0,295.0,8.0,12.0,6.0,65.0,,,,0.0,2.0,9.0,,,1.0,0.0,6.0,,,6.0,8.0,3.0,2.0,,5.0,1.0,42.0,1.0,1.0,362.0,8.0,5.0,29.0,9.0,31.0,6.0,215.0,7.0,1.0,22.0,68.0,24.0,,2.0,10.0,9.0,,10.0,2.0,8.0,2.0,6.0,1.0,,,,,,,3.0,1.0,1.0,,,,1.0,,3.0,,2.0,1.0,,,,,,,3.0,,,42.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2128478,2021-01-27 20:15:00,"Goodison Park, Liverpool",,Home,Everton,Leicester City,1,1,D,1,0,0,0,,,28.0,58.0,1.0,2.0,,,20.0,23.0,3.0,3.0,5.0,5.0,,105.0,17.0,5.0,12.0,1.0,4.0,,,2.0,76.0,131.0,51.0,8.0,19.0,1.0,,,,2.0,22.0,9.0,,23.0,4.0,2.0,28.0,96.0,,0.0,98.0,12.0,3.0,1.0,1.0,,59.0,30.0,2.0,37.0,,18.0,22.0,3.0,5.0,2.0,131.0,,7.0,80.0,502.0,3.0,4.0,15.0,11.0,214.0,34.0,1.0,10.0,,,1.0,10.0,2.0,17.0,275.0,43.0,,60025,3.0,136.0,,12.0,,158.0,7.0,,22.0,9.0,59.0,,,2.0,2.0,13.0,12.0,6.0,2.0,52.0,227.0,10.0,9.0,12.0,46.0,,2.0,2.0,0.0,1.0,11.0,4.0,,1.0,0.0,4.0,,1.0,3.0,10.0,2.0,6.0,1.0,2.0,2.0,20.0,5.0,,298.0,11.0,11.0,9.0,4.0,25.0,2.0,162.0,1.0,2.0,15.0,59.0,13.0,1.0,3.0,10.0,14.0,,4.0,3.0,20.0,3.0,11.0,5.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,4.0,1.0,35.0,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,
21,2128490,2021-01-30 12:30:00,"Goodison Park, Liverpool",,Home,Everton,Newcastle United,0,2,L,0,0,0,0,,1.0,43.0,59.0,,1.0,,,35.0,26.0,3.0,3.0,8.0,1.0,2.0,147.0,26.0,2.0,6.0,,7.0,,1.0,3.0,135.0,131.0,49.0,11.0,12.0,2.0,1.0,,1.0,,25.0,12.0,1.0,26.0,6.0,7.0,31.0,185.0,,0.0,119.0,13.0,1.0,1.0,1.0,,74.0,38.0,4.0,63.0,2.0,19.0,19.0,3.0,10.0,1.0,131.0,,9.0,143.0,679.0,6.0,10.0,24.0,9.0,398.0,33.0,6.0,18.0,,,3.0,5.0,3.0,14.0,471.0,43.0,,60025,5.0,231.0,,8.0,2.0,248.0,11.0,,19.0,8.0,46.0,,1.0,4.0,7.0,13.0,4.0,8.0,1.0,57.0,414.0,5.0,8.0,14.0,69.0,,,1.0,0.0,1.0,12.0,1.0,,4.0,0.0,1.0,,,3.0,13.0,3.0,2.0,2.0,7.0,2.0,44.0,7.0,,488.0,9.0,11.0,20.0,6.0,35.0,5.0,265.0,5.0,5.0,21.0,86.0,16.0,,4.0,18.0,17.0,,6.0,1.0,9.0,4.0,15.0,7.0,,,,,,,1.0,,1.0,,,,,,,,2.0,1.0,,,,,1.0,,1.0,2.0,2.0,60.9,1.0,1.0,,,1.0,,1.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
22,2128499,2021-02-03 19:30:00,"Elland Road, Leeds",,Away,Everton,Leeds United,2,1,W,2,0,0,0,,2.0,38.0,59.0,2.0,,1.0,,22.0,33.0,4.0,2.0,6.0,6.0,2.0,131.0,23.0,3.0,14.0,2.0,7.0,,,6.0,72.0,136.0,63.0,10.0,11.0,3.0,,,2.0,1.0,12.0,7.0,1.0,33.0,1.0,6.0,18.0,124.0,,0.0,96.0,12.0,4.0,,2.0,1.0,43.0,31.0,4.0,61.0,3.0,11.0,30.0,4.0,3.0,3.0,136.0,3.0,12.0,67.0,543.0,4.0,7.0,14.0,10.0,239.0,30.0,10.0,18.0,2.0,,3.0,3.0,3.0,21.0,306.0,49.0,,78007,4.0,129.0,1.0,6.0,1.0,147.0,4.0,,30.0,11.0,48.0,,1.0,1.0,1.0,17.0,4.0,5.0,,53.0,250.0,12.0,9.0,22.0,59.0,,,,0.0,3.0,7.0,4.0,2.0,3.0,0.0,2.0,1.0,2.0,1.0,12.0,,6.0,1.0,1.0,,30.0,1.0,1.0,331.0,10.0,10.0,4.0,4.0,19.0,1.0,196.0,6.0,6.0,24.0,57.0,20.0,1.0,1.0,18.0,13.0,1.0,7.0,3.0,20.0,1.0,17.0,1.0,,2.0,,1.0,,1.0,2.0,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,1.0,2.0,1.0,36.8,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,2.0,2.0,2.0,,,,,,,,,,,,,,,
23,2128511,2021-02-06 20:00:00,"Old Trafford, Manchester",,Away,Everton,Manchester United,3,3,D,0,2,0,0,1.0,,30.0,49.0,,,1.0,,25.0,21.0,,4.0,5.0,2.0,,154.0,15.0,2.0,5.0,3.0,4.0,,2.0,3.0,84.0,118.0,46.0,6.0,11.0,,,,,,15.0,10.0,,21.0,1.0,5.0,35.0,97.0,,0.0,76.0,10.0,2.0,,3.0,1.0,43.0,26.0,2.0,72.0,2.0,14.0,24.0,1.0,3.0,1.0,118.0,1.0,9.0,87.0,573.0,2.0,8.0,18.0,10.0,304.0,31.0,4.0,11.0,2.0,,1.0,3.0,2.0,20.0,375.0,41.0,1.0,78007,2.0,227.0,1.0,8.0,1.0,260.0,5.0,,24.0,7.0,45.0,,,4.0,3.0,9.0,5.0,7.0,,49.0,322.0,14.0,11.0,15.0,56.0,,,,0.0,,5.0,2.0,3.0,4.0,0.0,2.0,2.0,,,17.0,,3.0,1.0,3.0,,39.0,1.0,1.0,397.0,10.0,10.0,20.0,3.0,22.0,1.0,152.0,2.0,4.0,11.0,51.0,11.0,1.0,,11.0,16.0,,5.0,3.0,9.0,,10.0,1.0,1.0,2.0,,2.0,3.0,1.0,2.0,,,1.0,,1.0,,,,1.0,,,,,,,,2.0,,,3.0,38.0,,,,,1.0,,,,,2.0,,,1.0,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,
24,2128520,2021-02-14 19:00:00,"Goodison Park, Liverpool",,Home,Everton,Fulham,0,2,L,0,0,0,0,,,,55.0,1.0,2.0,,,29.0,14.0,3.0,1.0,4.0,1.0,1.0,161.0,,3.0,8.0,,5.0,,,2.0,149.0,136.0,56.0,7.0,9.0,1.0,,,1.0,1.0,21.0,11.0,1.0,14.0,4.0,7.0,39.0,139.0,,0.0,88.0,7.0,1.0,,5.0,,59.0,40.0,2.0,71.0,1.0,17.0,20.0,3.0,5.0,1.0,136.0,,8.0,153.0,700.0,5.0,,8.0,5.0,429.0,32.0,5.0,7.0,,,1.0,3.0,3.0,21.0,512.0,46.0,,78007,4.0,310.0,,7.0,,338.0,6.0,,20.0,6.0,34.0,,,3.0,1.0,14.0,4.0,4.0,,59.0,446.0,16.0,8.0,18.0,64.0,,,1.0,0.0,1.0,4.0,,,,0.0,3.0,,,2.0,19.0,1.0,2.0,,1.0,2.0,33.0,5.0,,534.0,5.0,10.0,20.0,3.0,24.0,1.0,217.0,3.0,6.0,15.0,55.0,20.0,,,7.0,17.0,,5.0,3.0,8.0,,9.0,5.0,,,,,,,5.0,,,,,,,,,1.0,,,1.0,,,,,,,2.0,2.0,49.7,,,,,1.0,,,,1.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
25,2128531,2021-02-20 17:30:00,"Anfield, Liverpool",,Away,Everton,Liverpool,2,0,W,1,0,0,0,,2.0,22.0,67.0,4.0,,,,23.0,32.0,5.0,4.0,4.0,6.0,1.0,128.0,8.0,2.0,3.0,2.0,3.0,,,6.0,47.0,135.0,50.0,9.0,14.0,2.0,,,3.0,2.0,8.0,12.0,2.0,32.0,2.0,4.0,43.0,87.0,1.0,0.0,81.0,10.0,4.0,,,1.0,33.0,41.0,3.0,53.0,1.0,6.0,13.0,5.0,3.0,3.0,135.0,2.0,8.0,51.0,452.0,2.0,1.0,9.0,8.0,178.0,38.0,3.0,14.0,1.0,,1.0,2.0,,15.0,247.0,47.0,,78007,3.0,105.0,2.0,3.0,,135.0,2.0,,13.0,11.0,56.0,,1.0,2.0,3.0,12.0,7.0,1.0,,67.0,190.0,10.0,16.0,17.0,65.0,,,1.0,0.0,,7.0,2.0,2.0,,0.0,1.0,1.0,,1.0,5.0,,1.0,1.0,3.0,,22.0,2.0,1.0,279.0,8.0,10.0,16.0,3.0,13.0,,152.0,4.0,2.0,16.0,47.0,13.0,1.0,3.0,14.0,21.0,,5.0,3.0,9.0,3.0,4.0,2.0,,2.0,2.0,,,,3.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,2.0,,,1.0,,2.0,,28.6,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
26,2128538,2021-03-01 20:00:00,"Goodison Park, Liverpool",,Home,Everton,Southampton,1,0,W,1,0,0,0,,,,61.0,,3.0,,,34.0,23.0,1.0,2.0,6.0,1.0,,153.0,,3.0,14.0,1.0,5.0,1.0,,1.0,92.0,165.0,81.0,7.0,14.0,,,,,1.0,13.0,10.0,,23.0,4.0,5.0,36.0,104.0,1.0,0.0,92.0,13.0,,,3.0,,63.0,31.0,3.0,66.0,1.0,9.0,18.0,1.0,2.0,,165.0,2.0,6.0,99.0,617.0,1.0,9.0,14.0,12.0,296.0,25.0,3.0,14.0,1.0,,0.0,4.0,2.0,22.0,395.0,50.0,3.0,78007,5.0,205.0,1.0,4.0,4.0,240.0,5.0,1.0,18.0,8.0,57.0,,3.0,4.0,3.0,14.0,3.0,5.0,,64.0,306.0,9.0,4.0,14.0,64.0,,,3.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,16.0,1.0,4.0,,3.0,4.0,36.0,4.0,,410.0,12.0,10.0,19.0,2.0,22.0,2.0,183.0,3.0,3.0,38.0,50.0,27.0,1.0,2.0,14.0,20.0,,2.0,2.0,30.0,2.0,12.0,4.0,,1.0,,,,1.0,5.0,1.0,1.0,1.0,,,1.0,1.0,,,,2.0,,1.0,1.0,,,1.0,3.0,,,46.6,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
