gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,handBall,attGoalLowLeft,attLfGoal,attGoalLowCentre,attCmissRight,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attGoalHighRight,attMissHighRight,attOboxGoal,attSvHighLeft,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,attRfGoal,totalPullBack,attCmissHigh,totalOffside,attCmissHighLeft,goalsOpenplay,attFastbreak,overrun,goalsConceded,forwardGoals,errorLeadToGoal,attSvLowLeft,goalsConcededIbox,accuratePullBack,contentiousDecision,defenderGoals,attCmissLeft,attOboxPost,attPostRight,goalFastbreak,attOneOnOne,attGoalHighLeft,attGoalHighCentre,attHdPost,accurateThroughBall,penaltyWon,attPenGoal,secondYellow,attOboxOwnGoal,ownGoals,attIboxOwnGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attemptsIbox,saves,ptsGainedLosingPos,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attObpGoal,attFreekickPost,attFreekickGoal,attObxdLeft,foulThrowIn,attObxLeft,attCmissHighRight,attObxdRight,attLgCentre
11,442102,2012-11-10 15:00:00,"Goodison Park, Liverpool",35999,Home,Everton,Sunderland,2,1,W,0,1,0,0,,1.0,63.0,1.0,,4.0,,,36.0,27.0,6.0,5.0,2.0,187.0,11.0,11.0,2.0,6.0,16.0,6.0,142.0,169.0,58.0,,18.0,2.0,21.0,3.0,,,,31.0,,12.0,1.0,14.0,4.0,18.0,30.0,292.0,1.0,,0.0,221.0,14.0,2.0,,1.0,6.0,2.0,104.0,48.0,12.0,75.0,,4.0,27.0,,5.0,3.0,156.0,2.0,8.0,,133.0,739.0,11.0,11.0,2.0,,10.0,30.0,1.0,7.0,19.0,2.0,1.0,2.0,4.0,27.0,86.0,3.0,8402,8.0,159.0,16.0,,2.0,173.0,5.0,58.0,1.0,10.0,10.0,1.0,2.0,1.0,60.0,440.0,14.0,5.0,3.0,23.0,82.0,1.0,1.0,0.0,,2.0,2.0,2.0,,4.0,0.0,9.0,1.0,1.0,3.0,62.6,24.0,1.0,2.0,,1.0,10.0,6.0,,49.0,6.0,2.0,537.0,9.0,,5.0,16.0,6.0,31.0,2.0,3.0,395.0,10.0,17.0,17.0,159.0,20.0,2.0,9.0,16.0,,13.0,3.0,24.0,2.0,6.0,,,1.0,,,,,3.0,,2.0,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,,4.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,442116,2012-11-17 15:00:00,"Select Car Leasing Stadium, Reading",24184,Away,Everton,Reading,1,2,L,1,0,0,0,3.0,1.0,45.0,,,2.0,,,32.0,36.0,6.0,9.0,2.0,157.0,10.0,1.0,1.0,2.0,15.0,7.0,98.0,172.0,42.0,,21.0,2.0,16.0,4.0,1.0,2.0,3.0,37.0,1.0,12.0,2.0,21.0,12.0,9.0,34.0,218.0,,,0.0,143.0,13.0,1.0,2.0,,1.0,3.0,68.0,48.0,6.0,58.0,2.0,1.0,25.0,,9.0,2.0,157.0,2.0,7.0,1.0,89.0,619.0,10.0,12.0,1.0,1.0,16.0,18.0,,12.0,16.0,,2.0,1.0,9.0,24.0,80.0,,92476,9.0,113.0,15.0,,,133.0,15.0,46.0,,3.0,14.0,7.0,5.0,5.0,56.0,321.0,10.0,4.0,5.0,34.0,82.0,2.0,1.0,0.0,,7.0,1.0,1.0,,3.0,0.0,5.0,,1.0,5.0,60.4,18.0,3.0,2.0,1.0,2.0,3.0,4.0,,47.0,13.0,3.0,402.0,13.0,,6.0,18.0,10.0,26.0,5.0,7.0,306.0,7.0,9.0,17.0,96.0,19.0,5.0,7.0,14.0,,13.0,2.0,9.0,5.0,13.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,3.0,,,1.0,4.0,,1.0,,1.0,2.0,1.0,,,2.0,,2.0,,1.0,,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
13,442121,2012-11-24 15:00:00,"Goodison Park, Liverpool",34502,Home,Everton,Norwich City,1,1,D,1,0,0,0,5.0,1.0,59.0,,1.0,,,,36.0,34.0,5.0,8.0,,152.0,2.0,10.0,1.0,1.0,9.0,7.0,112.0,159.0,53.0,1.0,14.0,1.0,24.0,4.0,,2.0,3.0,16.0,,7.0,2.0,17.0,3.0,21.0,31.0,216.0,,,0.0,154.0,12.0,1.0,,,2.0,2.0,83.0,49.0,6.0,62.0,4.0,,13.0,1.0,4.0,2.0,142.0,1.0,5.0,,117.0,613.0,8.0,3.0,1.0,,14.0,25.0,1.0,12.0,25.0,1.0,1.0,2.0,3.0,19.0,72.0,,92476,6.0,136.0,7.0,,,150.0,8.0,53.0,2.0,4.0,8.0,4.0,2.0,2.0,66.0,350.0,18.0,3.0,,40.0,90.0,2.0,,0.0,,2.0,2.0,1.0,,1.0,0.0,1.0,1.0,1.0,2.0,57.9,15.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,43.0,4.0,2.0,443.0,11.0,1.0,8.0,13.0,6.0,22.0,1.0,4.0,309.0,4.0,19.0,15.0,104.0,24.0,1.0,14.0,10.0,,12.0,1.0,16.0,1.0,4.0,,,,,,,,2.0,,1.0,1.0,,,,,,1.0,1.0,,1.0,3.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,442138,2012-11-28 19:45:00,"Goodison Park, Liverpool",37141,Home,Everton,Arsenal,1,1,D,1,1,0,0,2.0,,60.0,,2.0,1.0,,,33.0,30.0,7.0,6.0,3.0,157.0,5.0,5.0,1.0,2.0,9.0,9.0,92.0,165.0,58.0,1.0,14.0,1.0,18.0,4.0,,4.0,1.0,26.0,,20.0,4.0,13.0,6.0,7.0,34.0,159.0,,,0.0,141.0,15.0,1.0,,,1.0,1.0,61.0,41.0,6.0,47.0,1.0,,20.0,1.0,3.0,1.0,165.0,1.0,5.0,,92.0,616.0,8.0,5.0,3.0,1.0,20.0,19.0,1.0,9.0,16.0,,2.0,5.0,3.0,22.0,65.0,,9007,5.0,141.0,16.0,,,160.0,5.0,70.0,1.0,5.0,12.0,6.0,4.0,1.0,58.0,295.0,9.0,14.0,1.0,22.0,80.0,,2.0,0.0,1.0,6.0,,,,2.0,0.0,4.0,,,3.0,42.6,14.0,,2.0,1.0,2.0,5.0,2.0,,43.0,6.0,1.0,388.0,15.0,,15.0,16.0,3.0,42.0,1.0,2.0,254.0,5.0,7.0,14.0,92.0,30.0,6.0,9.0,30.0,,11.0,2.0,13.0,6.0,6.0,,,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,6.0,,1.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,7.0,2.0,1.0,7.0,21.0,285.0,373.0,2.0,,,,,,,,,
15,442142,2012-12-01 15:00:00,"Etihad Stadium, Manchester",47386,Away,Everton,Manchester City,1,1,D,1,1,0,0,,1.0,35.0,,,,,,32.0,34.0,6.0,2.0,1.0,150.0,2.0,2.0,1.0,2.0,5.0,4.0,85.0,145.0,51.0,1.0,9.0,2.0,16.0,2.0,,,2.0,18.0,,8.0,1.0,10.0,2.0,2.0,20.0,203.0,1.0,,0.0,134.0,12.0,1.0,,1.0,1.0,3.0,58.0,71.0,2.0,63.0,1.0,1.0,16.0,1.0,9.0,3.0,121.0,,8.0,,82.0,552.0,5.0,6.0,2.0,,12.0,12.0,,15.0,9.0,,1.0,2.0,3.0,25.0,76.0,,9007,2.0,99.0,6.0,,1.0,117.0,6.0,46.0,1.0,7.0,7.0,2.0,4.0,,53.0,300.0,16.0,3.0,,28.0,79.0,1.0,1.0,0.0,1.0,5.0,3.0,1.0,,3.0,0.0,2.0,,,2.0,40.8,24.0,,,,,7.0,2.0,,50.0,2.0,3.0,380.0,9.0,,15.0,10.0,3.0,21.0,,,281.0,5.0,2.0,21.0,89.0,12.0,6.0,4.0,12.0,,7.0,2.0,2.0,6.0,2.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
16,442151,2012-12-09 15:00:00,"Goodison Park, Liverpool",36494,Home,Everton,Tottenham Hotspur,2,1,W,0,0,0,0,1.0,1.0,65.0,1.0,3.0,4.0,,,33.0,27.0,7.0,5.0,,162.0,5.0,3.0,2.0,3.0,15.0,4.0,92.0,165.0,53.0,1.0,20.0,3.0,13.0,1.0,,1.0,3.0,25.0,,17.0,1.0,11.0,4.0,8.0,44.0,196.0,,,0.0,180.0,12.0,1.0,,1.0,2.0,,75.0,70.0,8.0,59.0,1.0,4.0,21.0,1.0,5.0,3.0,149.0,2.0,4.0,,85.0,603.0,11.0,12.0,1.0,,11.0,18.0,,11.0,18.0,2.0,3.0,6.0,7.0,25.0,80.0,,88894,7.0,118.0,14.0,,2.0,130.0,3.0,52.0,1.0,5.0,13.0,8.0,3.0,1.0,55.0,309.0,11.0,7.0,2.0,25.0,76.0,,,0.0,,5.0,1.0,2.0,,2.0,0.0,3.0,1.0,,3.0,49.6,24.0,1.0,3.0,3.0,,5.0,7.0,,49.0,4.0,,398.0,7.0,,12.0,21.0,9.0,28.0,2.0,6.0,293.0,12.0,8.0,17.0,120.0,35.0,2.0,8.0,22.0,1.0,15.0,3.0,13.0,2.0,4.0,1.0,2.0,1.0,,,1.0,,2.0,1.0,2.0,,1.0,,,1.0,,1.0,1.0,2.0,,4.0,,2.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,442166,2012-12-15 15:00:00,"bet365 Stadium, Stoke",27008,Away,Everton,Stoke City,1,1,D,1,0,0,0,,,59.0,,1.0,2.0,,,17.0,41.0,1.0,,2.0,144.0,4.0,3.0,1.0,1.0,8.0,2.0,81.0,182.0,65.0,,10.0,1.0,42.0,2.0,,1.0,4.0,19.0,,22.0,,18.0,6.0,7.0,32.0,148.0,,,0.0,130.0,13.0,2.0,1.0,,1.0,2.0,52.0,56.0,3.0,44.0,,1.0,13.0,,6.0,,159.0,1.0,6.0,,69.0,550.0,5.0,9.0,,,13.0,17.0,,8.0,27.0,,0.0,2.0,5.0,27.0,69.0,,88894,6.0,103.0,6.0,1.0,,114.0,18.0,71.0,,5.0,15.0,7.0,5.0,,50.0,247.0,12.0,2.0,3.0,25.0,93.0,,3.0,0.0,,4.0,3.0,1.0,,2.0,0.0,,,1.0,3.0,51.3,18.0,3.0,1.0,2.0,,5.0,3.0,1.0,34.0,8.0,2.0,338.0,10.0,,7.0,11.0,5.0,22.0,4.0,5.0,243.0,7.0,7.0,25.0,82.0,34.0,3.0,12.0,25.0,,5.0,1.0,10.0,3.0,8.0,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,442177,2012-12-22 15:00:00,"Boleyn Ground, London",35005,Away,Everton,West Ham United,2,1,W,0,1,1,1,1.0,,57.0,1.0,,,,,26.0,37.0,11.0,4.0,4.0,161.0,4.0,4.0,2.0,2.0,12.0,7.0,111.0,164.0,49.0,2.0,18.0,3.0,25.0,1.0,,2.0,6.0,29.0,,12.0,4.0,17.0,5.0,10.0,21.0,228.0,1.0,,0.0,150.0,8.0,,,1.0,1.0,3.0,83.0,60.0,7.0,67.0,1.0,1.0,24.0,2.0,10.0,4.0,144.0,2.0,4.0,,113.0,653.0,10.0,7.0,,,14.0,29.0,,7.0,26.0,1.0,0.0,1.0,5.0,23.0,69.0,1.0,88894,4.0,144.0,13.0,,1.0,159.0,9.0,49.0,,7.0,10.0,2.0,5.0,1.0,58.0,368.0,12.0,5.0,1.0,32.0,88.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,,3.0,1.0,3.0,1.0,1.0,3.0,62.3,19.0,2.0,1.0,1.0,1.0,7.0,3.0,,42.0,5.0,3.0,452.0,12.0,1.0,7.0,7.0,8.0,26.0,1.0,4.0,322.0,10.0,9.0,19.0,108.0,18.0,1.0,12.0,14.0,1.0,13.0,3.0,8.0,1.0,5.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,3.0,,,,6.0,,2.0,,,1.0,1.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
19,442181,2012-12-26 15:00:00,"Goodison Park, Liverpool",38749,Home,Everton,Wigan Athletic,2,1,W,0,0,0,0,,,61.0,,2.0,4.0,1.0,,27.0,18.0,8.0,6.0,1.0,167.0,8.0,6.0,2.0,2.0,12.0,3.0,88.0,148.0,62.0,1.0,17.0,3.0,12.0,1.0,1.0,,1.0,29.0,,11.0,,11.0,10.0,25.0,18.0,208.0,,,0.0,172.0,10.0,1.0,,1.0,1.0,1.0,75.0,55.0,8.0,64.0,3.0,2.0,19.0,1.0,9.0,3.0,141.0,1.0,3.0,,79.0,612.0,9.0,12.0,,1.0,20.0,26.0,2.0,11.0,8.0,2.0,1.0,6.0,4.0,15.0,88.0,,88894,6.0,110.0,9.0,1.0,1.0,124.0,10.0,36.0,6.0,8.0,11.0,8.0,7.0,,49.0,310.0,11.0,3.0,1.0,28.0,78.0,1.0,1.0,0.0,,2.0,,1.0,1.0,4.0,0.0,7.0,1.0,,3.0,47.3,12.0,2.0,2.0,1.0,,8.0,7.0,,39.0,11.0,2.0,398.0,16.0,,9.0,9.0,7.0,21.0,1.0,3.0,303.0,8.0,21.0,23.0,120.0,19.0,,5.0,22.0,1.0,14.0,3.0,8.0,,11.0,,,,1.0,1.0,,,2.0,6.0,1.0,1.0,1.0,1.0,,6.0,,1.0,,1.0,,2.0,1.0,1.0,,2.0,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,442191,2012-12-30 13:30:00,"Goodison Park, Liverpool",39485,Home,Everton,Chelsea,1,2,L,1,1,0,0,2.0,1.0,46.0,,1.0,,,,15.0,41.0,5.0,2.0,3.0,150.0,7.0,6.0,1.0,4.0,8.0,6.0,68.0,193.0,56.0,1.0,14.0,1.0,13.0,4.0,3.0,2.0,,39.0,2.0,11.0,1.0,18.0,6.0,9.0,19.0,158.0,1.0,,0.0,164.0,14.0,3.0,1.0,1.0,4.0,1.0,102.0,43.0,3.0,48.0,3.0,1.0,33.0,1.0,13.0,2.0,170.0,1.0,8.0,2.0,83.0,586.0,8.0,11.0,,3.0,18.0,11.0,,8.0,18.0,,2.0,7.0,5.0,30.0,72.0,,88894,5.0,101.0,16.0,,2.0,116.0,8.0,50.0,1.0,8.0,9.0,9.0,3.0,2.0,35.0,252.0,12.0,7.0,,29.0,79.0,1.0,,0.0,,7.0,2.0,1.0,1.0,4.0,0.0,7.0,,1.0,4.0,48.0,26.0,2.0,3.0,2.0,,8.0,1.0,,39.0,7.0,1.0,349.0,13.0,,11.0,9.0,7.0,23.0,,2.0,272.0,8.0,8.0,24.0,105.0,21.0,,8.0,14.0,,9.0,3.0,11.0,,7.0,,,,,1.0,,1.0,,2.0,,,1.0,,,2.0,,1.0,1.0,,,5.0,,1.0,1.0,2.0,2.0,,,1.0,2.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
21,442202,2013-01-02 20:00:00,"St. James' Park, Newcastle",49391,Away,Everton,Newcastle United,2,1,W,1,1,0,0,4.0,1.0,50.0,,1.0,2.0,,,26.0,42.0,7.0,9.0,,146.0,2.0,4.0,2.0,9.0,7.0,6.0,71.0,164.0,69.0,3.0,13.0,3.0,31.0,3.0,,3.0,,24.0,,14.0,1.0,25.0,6.0,15.0,28.0,184.0,,,0.0,160.0,10.0,1.0,2.0,,4.0,1.0,77.0,44.0,7.0,52.0,1.0,2.0,18.0,3.0,6.0,2.0,147.0,5.0,9.0,,86.0,568.0,6.0,8.0,,,15.0,13.0,,14.0,28.0,1.0,2.0,8.0,,18.0,73.0,,8402,4.0,92.0,8.0,,,103.0,10.0,74.0,2.0,4.0,9.0,8.0,7.0,,43.0,274.0,21.0,12.0,,36.0,89.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,,3.0,0.0,2.0,1.0,1.0,,49.5,15.0,,2.0,1.0,,4.0,5.0,,52.0,6.0,1.0,355.0,13.0,1.0,18.0,16.0,2.0,27.0,,,276.0,4.0,15.0,29.0,113.0,26.0,,14.0,15.0,,10.0,2.0,9.0,,6.0,,2.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,4.0,1.0,,,5.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
22,442211,2013-01-12 15:00:00,"Goodison Park, Liverpool",35782,Home,Everton,Swansea City,0,0,D,0,0,0,0,,,70.0,,2.0,3.0,,,40.0,25.0,4.0,2.0,4.0,193.0,8.0,5.0,,3.0,16.0,5.0,119.0,169.0,65.0,,18.0,2.0,17.0,3.0,,2.0,3.0,34.0,,9.0,2.0,12.0,5.0,15.0,24.0,272.0,,1.0,0.0,210.0,13.0,,1.0,,3.0,1.0,99.0,54.0,8.0,71.0,1.0,,29.0,,13.0,,156.0,4.0,1.0,,130.0,712.0,12.0,15.0,1.0,,20.0,15.0,2.0,14.0,15.0,,1.0,,8.0,17.0,82.0,1.0,92476,9.0,159.0,13.0,1.0,2.0,166.0,4.0,54.0,,12.0,16.0,3.0,3.0,3.0,56.0,423.0,9.0,8.0,4.0,23.0,83.0,3.0,,0.0,,1.0,1.0,,,4.0,0.0,5.0,,2.0,6.0,55.3,15.0,5.0,6.0,1.0,,13.0,5.0,,57.0,7.0,1.0,513.0,16.0,,7.0,12.0,8.0,39.0,3.0,8.0,381.0,9.0,14.0,40.0,148.0,36.0,,7.0,11.0,,11.0,2.0,15.0,,7.0,,1.0,,,,,,3.0,1.0,,,,,,1.0,,4.0,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,442223,2013-01-21 20:00:00,"St. Mary's Stadium, Southampton",28359,Away,Everton,Southampton,0,0,D,0,0,0,0,1.0,,60.0,,,,,,28.0,26.0,3.0,4.0,3.0,168.0,5.0,5.0,,,7.0,5.0,92.0,193.0,55.0,,9.0,2.0,20.0,4.0,,2.0,1.0,25.0,,15.0,1.0,16.0,6.0,4.0,32.0,159.0,,1.0,0.0,123.0,11.0,2.0,1.0,,1.0,1.0,71.0,54.0,5.0,45.0,3.0,1.0,19.0,,5.0,,183.0,5.0,9.0,,82.0,608.0,6.0,13.0,1.0,,20.0,20.0,,14.0,13.0,,1.0,9.0,2.0,25.0,80.0,,8402,3.0,115.0,13.0,,1.0,149.0,8.0,59.0,3.0,7.0,10.0,7.0,6.0,,48.0,269.0,14.0,7.0,1.0,44.0,82.0,,,0.0,,10.0,4.0,,,4.0,0.0,3.0,,,2.0,46.6,16.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,40.0,6.0,1.0,387.0,17.0,,13.0,17.0,2.0,20.0,2.0,2.0,263.0,3.0,3.0,16.0,69.0,27.0,6.0,9.0,20.0,,5.0,2.0,13.0,6.0,6.0,,,,,,,,1.0,3.0,,,,,1.0,3.0,,5.0,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,442237,2013-01-30 19:45:00,"Goodison Park, Liverpool",31376,Home,Everton,West Bromwich Albion,2,1,W,2,0,0,0,1.0,1.0,53.0,1.0,,2.0,,,33.0,23.0,6.0,6.0,3.0,160.0,3.0,5.0,2.0,3.0,8.0,6.0,126.0,163.0,53.0,1.0,16.0,1.0,19.0,2.0,2.0,1.0,1.0,19.0,2.0,13.0,2.0,15.0,2.0,5.0,30.0,228.0,,,0.0,197.0,10.0,,1.0,,,,97.0,65.0,4.0,74.0,,,17.0,1.0,6.0,4.0,155.0,,3.0,1.0,132.0,687.0,7.0,4.0,,2.0,20.0,20.0,2.0,8.0,10.0,1.0,0.0,3.0,4.0,26.0,81.0,,8402,3.0,182.0,11.0,1.0,,193.0,7.0,56.0,2.0,2.0,15.0,4.0,3.0,1.0,59.0,407.0,15.0,2.0,,30.0,83.0,,,0.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,3.0,,,,55.9,20.0,,4.0,4.0,2.0,2.0,3.0,1.0,45.0,5.0,,492.0,17.0,,16.0,14.0,7.0,24.0,,1.0,318.0,10.0,3.0,17.0,140.0,27.0,4.0,5.0,16.0,,12.0,2.0,14.0,4.0,5.0,,,,2.0,,,1.0,1.0,,1.0,,1.0,,,1.0,,2.0,,,1.0,2.0,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,
25,442240,2013-02-02 15:00:00,"Goodison Park, Liverpool",38121,Home,Everton,Aston Villa,3,3,D,1,2,0,0,1.0,3.0,41.0,2.0,,2.0,1.0,1.0,24.0,29.0,12.0,7.0,4.0,188.0,8.0,5.0,3.0,8.0,17.0,8.0,100.0,194.0,72.0,1.0,21.0,2.0,18.0,2.0,,2.0,4.0,42.0,,13.0,3.0,14.0,13.0,8.0,35.0,224.0,1.0,,0.0,215.0,7.0,,,2.0,8.0,1.0,86.0,42.0,11.0,56.0,,2.0,29.0,1.0,6.0,7.0,179.0,4.0,7.0,,82.0,646.0,11.0,7.0,,,12.0,12.0,2.0,12.0,23.0,3.0,1.0,2.0,6.0,25.0,77.0,1.0,8402,8.0,107.0,15.0,1.0,3.0,116.0,5.0,47.0,1.0,9.0,13.0,1.0,5.0,,55.0,323.0,23.0,4.0,3.0,34.0,88.0,1.0,,0.0,,2.0,,3.0,,2.0,0.0,4.0,2.0,,3.0,68.3,21.0,2.0,2.0,,,9.0,4.0,,43.0,15.0,1.0,426.0,11.0,1.0,15.0,16.0,9.0,38.0,4.0,2.0,352.0,11.0,7.0,26.0,146.0,17.0,,12.0,18.0,1.0,13.0,3.0,9.0,,15.0,,1.0,,1.0,1.0,2.0,,,,2.0,,1.0,,1.0,,1.0,1.0,1.0,,,5.0,,2.0,,1.0,3.0,1.0,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,442252,2013-02-10 16:00:00,"Old Trafford, Manchester",75525,Away,Everton,Manchester United,0,2,L,0,2,0,0,1.0,,51.0,,1.0,4.0,,,28.0,22.0,5.0,2.0,1.0,171.0,5.0,2.0,,2.0,6.0,2.0,120.0,159.0,49.0,,11.0,2.0,9.0,,,,1.0,20.0,,15.0,2.0,10.0,6.0,17.0,38.0,229.0,1.0,,0.0,182.0,11.0,3.0,,,3.0,4.0,58.0,69.0,4.0,75.0,2.0,2.0,14.0,,2.0,1.0,147.0,,7.0,,124.0,692.0,4.0,8.0,,,21.0,13.0,,3.0,6.0,,2.0,2.0,2.0,26.0,81.0,2.0,97299,3.0,176.0,9.0,1.0,,193.0,6.0,45.0,,7.0,14.0,4.0,4.0,,56.0,400.0,12.0,7.0,2.0,20.0,81.0,1.0,2.0,0.0,,7.0,3.0,,,2.0,0.0,3.0,,,1.0,53.0,23.0,1.0,6.0,,,7.0,6.0,1.0,48.0,6.0,4.0,490.0,12.0,,16.0,13.0,3.0,14.0,2.0,2.0,317.0,7.0,16.0,13.0,121.0,24.0,6.0,2.0,22.0,,4.0,2.0,6.0,6.0,6.0,,2.0,,,,,,2.0,1.0,,,,,,1.0,,,,2.0,,1.0,,,,1.0,2.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
27,442264,2013-02-23 15:00:00,"Carrow Road, Norwich",26828,Away,Everton,Norwich City,1,2,L,1,0,0,0,,1.0,58.0,,1.0,,,,43.0,45.0,8.0,7.0,2.0,164.0,4.0,5.0,1.0,2.0,13.0,3.0,136.0,175.0,63.0,,15.0,2.0,19.0,1.0,,1.0,2.0,26.0,,15.0,1.0,24.0,5.0,15.0,35.0,250.0,,,0.0,193.0,10.0,2.0,1.0,1.0,2.0,5.0,80.0,70.0,5.0,66.0,,1.0,21.0,,8.0,7.0,154.0,2.0,7.0,,136.0,709.0,12.0,11.0,,,12.0,21.0,2.0,13.0,25.0,1.0,1.0,3.0,8.0,17.0,94.0,1.0,8402,4.0,157.0,11.0,,,169.0,3.0,52.0,,7.0,9.0,3.0,3.0,3.0,69.0,403.0,16.0,6.0,,37.0,79.0,,1.0,0.0,,7.0,2.0,1.0,,2.0,0.0,4.0,1.0,,2.0,55.2,14.0,1.0,2.0,,,7.0,2.0,,42.0,5.0,5.0,502.0,9.0,,13.0,19.0,10.0,25.0,,3.0,359.0,6.0,15.0,23.0,133.0,23.0,7.0,14.0,19.0,1.0,13.0,2.0,9.0,7.0,5.0,,,,,1.0,,,,,1.0,,2.0,,,,,1.0,,,1.0,2.0,,1.0,,2.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,
