gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowRight,savedObox,attCmissRight,attBxRight,attMissHighRight,cleanSheet,penaltyWon,goodHighClaim,interceptionsInBox,attOboxMiss,attMissHigh,attPenGoal,attAssistSetplay,attCorner,overrun,attCmissHighRight,goalAssistIntentional,foulThrowIn,attHdMiss,attSvHighCentre,totalHighClaim,accurateCornersIntobox,attGoalLowCentre,attMissLeft,attSvLowLeft,freekickCross,attLgCentre,attHdTarget,accurateFreekickCross,attSetpiece,attCmissHigh,attSvLowRight,attCmissLeft,shieldBallOop,attFreekickMiss,goalsConcededObox,accurateKeeperSweeper,totalKeeperSweeper,attGoalHighLeft,attLfGoal,postScoringAtt,contentiousDecision,hitWoodwork,attMissHighLeft,sixYardBlock,penaltyConceded,punches,attOboxPost,attPostHigh,penaltyFaced,penGoalsConceded,goalAssistSetplay,goalAssistDeadball,attObxLeft,shotFastbreak,attGoalHighRight,totalFastbreak,defenderGoals,attFastbreak,attIboxPost,attHdPost,ptsDroppedWinningPos,errorLeadToGoal,attSvHighRight,secondYellow,attPostRight,attGoalHighCentre,ptsGainedLosingPos,attPostLeft,attFreekickPost,attObxdLeft,ownGoals,attFreekickGoal,attIboxOwnGoal,attPenTarget,penaltySave,goalFastbreak,attObxdRight,clearanceOffLine
11,855280,2016-11-06 15:00:00,"Swansea.com Stadium, Swansea",20938,Away,Manchester United,Swansea City,3,1,W,3,0,0,0,,1.0,64.0,1.0,1.0,40.0,33.0,2.0,5.0,7.0,,,211.0,2.0,11.0,3.0,4.0,7.0,1.0,3.0,195.0,117.0,57.0,,9.0,,9.0,,2.0,,11.0,16.0,,33.0,,33.0,40.0,,362.0,2.0,0.0,173.0,16.0,1.0,,1.0,132.0,93.0,3.0,162.0,4.0,11.0,20.0,2.0,,4.0,117.0,1.0,3.0,196.0,950.0,5.0,6.0,24.0,17.0,684.0,25.0,11.0,17.0,2.0,2.0,3.0,4.0,20.0,749.0,57.0,1.0,,9808,3.0,336.0,,6.0,347.0,10.0,2.0,1.0,20.0,5.0,50.0,2.0,1.0,2.0,3.0,19.0,4.0,3.0,63.0,696.0,9.0,9.0,24.0,95.0,0.0,,2.0,,1.0,1.0,4.0,0.0,2.0,,62.9,19.0,9.0,3.0,2.0,1.0,74.0,,764.0,17.0,10.0,27.0,5.0,19.0,5.0,428.0,4.0,31.0,18.0,138.0,28.0,2.0,1.0,17.0,19.0,,1.0,9.0,3.0,18.0,1.0,8.0,,,,,3.0,1.0,1.0,,,1.0,1.0,,,,,,2.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
12,855284,2016-11-19 12:30:00,"Old Trafford, Manchester",75264,Home,Manchester United,Arsenal,1,1,D,0,0,0,0,2.0,,67.0,1.0,2.0,35.0,32.0,6.0,4.0,6.0,,2.0,168.0,7.0,10.0,1.0,5.0,9.0,1.0,5.0,89.0,160.0,54.0,1.0,12.0,,24.0,1.0,1.0,2.0,30.0,15.0,3.0,32.0,8.0,25.0,33.0,,218.0,,0.0,170.0,14.0,,,,109.0,64.0,6.0,90.0,1.0,22.0,21.0,6.0,1.0,5.0,160.0,,2.0,97.0,683.0,7.0,8.0,21.0,24.0,331.0,28.0,9.0,16.0,1.0,3.0,1.0,3.0,30.0,417.0,68.0,,,76359,4.0,141.0,,17.0,156.0,8.0,,1.0,21.0,12.0,71.0,1.0,3.0,,1.0,13.0,3.0,9.0,72.0,352.0,9.0,11.0,34.0,79.0,0.0,,4.0,,1.0,1.0,3.0,0.0,5.0,3.0,45.5,26.0,5.0,2.0,,2.0,36.0,10.0,444.0,24.0,12.0,18.0,5.0,33.0,2.0,318.0,5.0,23.0,12.0,123.0,33.0,1.0,2.0,16.0,23.0,,1.0,6.0,3.0,21.0,2.0,14.0,10.0,1.0,,,,,,,,1.0,1.0,3.0,1.0,,1.0,4.0,2.0,,1.0,,2.0,1.0,1.0,2.0,,3.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
13,855298,2016-11-27 16:30:00,"Old Trafford, Manchester",75313,Home,Manchester United,West Ham United,1,1,D,1,1,0,0,1.0,1.0,56.0,1.0,2.0,49.0,34.0,4.0,2.0,13.0,1.0,6.0,169.0,13.0,9.0,1.0,3.0,15.0,,8.0,169.0,137.0,64.0,,17.0,,10.0,5.0,1.0,1.0,36.0,11.0,2.0,34.0,8.0,31.0,36.0,1.0,347.0,,0.0,217.0,16.0,,,,96.0,108.0,8.0,104.0,3.0,28.0,13.0,4.0,,12.0,137.0,3.0,3.0,169.0,834.0,12.0,7.0,42.0,14.0,518.0,23.0,9.0,16.0,1.0,3.0,,6.0,25.0,586.0,92.0,2.0,,9808,9.0,206.0,2.0,16.0,213.0,10.0,,,13.0,5.0,52.0,2.0,4.0,,1.0,16.0,3.0,3.0,72.0,540.0,16.0,12.0,21.0,75.0,0.0,,4.0,1.0,1.0,1.0,2.0,0.0,11.0,5.0,68.4,22.0,9.0,2.0,,2.0,51.0,8.0,611.0,14.0,7.0,23.0,7.0,52.0,5.0,434.0,10.0,30.0,25.0,172.0,23.0,1.0,3.0,16.0,16.0,1.0,1.0,14.0,3.0,18.0,3.0,7.0,8.0,1.0,,,,1.0,1.0,,,1.0,,2.0,1.0,,1.0,3.0,4.0,,1.0,,4.0,1.0,1.0,2.0,,1.0,3.0,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
14,855304,2016-12-04 16:00:00,"Goodison Park, Liverpool",39550,Away,Manchester United,Everton,1,1,D,1,0,0,0,,,74.0,,3.0,35.0,45.0,5.0,3.0,5.0,5.0,1.0,187.0,3.0,12.0,1.0,3.0,6.0,,2.0,103.0,170.0,74.0,1.0,10.0,1.0,22.0,,1.0,1.0,17.0,16.0,1.0,45.0,2.0,30.0,30.0,,198.0,1.0,0.0,168.0,11.0,,,,72.0,55.0,4.0,71.0,,15.0,19.0,5.0,1.0,3.0,170.0,,8.0,103.0,700.0,5.0,15.0,21.0,19.0,331.0,33.0,11.0,24.0,1.0,3.0,2.0,2.0,28.0,438.0,78.0,1.0,,9808,2.0,152.0,,11.0,180.0,6.0,1.0,,19.0,7.0,62.0,4.0,4.0,6.0,1.0,12.0,5.0,4.0,77.0,347.0,12.0,11.0,36.0,76.0,0.0,,6.0,4.0,,1.0,6.0,0.0,3.0,1.0,54.5,23.0,3.0,2.0,6.0,4.0,45.0,3.0,464.0,19.0,8.0,14.0,4.0,31.0,1.0,301.0,6.0,29.0,26.0,105.0,28.0,1.0,3.0,24.0,24.0,,1.0,8.0,2.0,22.0,3.0,10.0,3.0,,1.0,1.0,,1.0,,,,1.0,1.0,2.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,,1.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,
15,855318,2016-12-11 14:15:00,"Old Trafford, Manchester",75271,Home,Manchester United,Tottenham Hotspur,1,0,W,1,0,0,0,1.0,1.0,63.0,,2.0,43.0,38.0,6.0,3.0,8.0,4.0,3.0,135.0,5.0,5.0,1.0,6.0,7.0,,5.0,52.0,152.0,61.0,1.0,14.0,3.0,13.0,3.0,1.0,1.0,18.0,14.0,1.0,38.0,3.0,9.0,31.0,,146.0,,0.0,124.0,19.0,2.0,,,84.0,38.0,6.0,46.0,,15.0,16.0,6.0,1.0,4.0,152.0,1.0,3.0,55.0,527.0,6.0,14.0,28.0,24.0,181.0,29.0,13.0,18.0,1.0,3.0,4.0,1.0,23.0,264.0,55.0,1.0,,9808,6.0,57.0,,7.0,78.0,11.0,1.0,,16.0,9.0,67.0,2.0,1.0,1.0,1.0,18.0,9.0,6.0,76.0,198.0,16.0,16.0,36.0,69.0,0.0,,8.0,,1.0,,5.0,0.0,5.0,2.0,40.2,18.0,6.0,1.0,1.0,5.0,40.0,3.0,288.0,24.0,15.0,20.0,4.0,28.0,2.0,228.0,9.0,9.0,20.0,84.0,25.0,1.0,4.0,18.0,21.0,,,10.0,3.0,12.0,4.0,10.0,3.0,,,4.0,,,1.0,1.0,,2.0,2.0,1.0,,,,2.0,3.0,,1.0,,1.0,,2.0,,,1.0,2.0,4.0,,,2.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,
16,855323,2016-12-14 20:00:00,"Selhurst Park, London",25547,Away,Manchester United,Crystal Palace,2,1,W,1,0,0,0,2.0,1.0,70.0,1.0,1.0,38.0,29.0,6.0,4.0,10.0,2.0,2.0,184.0,9.0,7.0,2.0,2.0,11.0,,6.0,171.0,157.0,68.0,1.0,16.0,2.0,18.0,3.0,1.0,1.0,24.0,17.0,1.0,29.0,7.0,35.0,33.0,,339.0,,0.0,210.0,10.0,1.0,1.0,1.0,122.0,77.0,7.0,89.0,2.0,17.0,20.0,6.0,1.0,7.0,157.0,,4.0,181.0,836.0,8.0,11.0,29.0,14.0,508.0,25.0,12.0,20.0,1.0,3.0,,4.0,19.0,599.0,88.0,2.0,,9808,5.0,199.0,,9.0,217.0,3.0,1.0,,20.0,6.0,56.0,2.0,1.0,3.0,1.0,20.0,2.0,4.0,65.0,529.0,16.0,11.0,27.0,85.0,0.0,,1.0,1.0,2.0,1.0,3.0,0.0,6.0,3.0,60.9,15.0,6.0,3.0,3.0,3.0,59.0,8.0,625.0,14.0,13.0,18.0,7.0,38.0,4.0,432.0,9.0,32.0,24.0,153.0,32.0,1.0,2.0,20.0,23.0,,1.0,11.0,3.0,13.0,2.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,3.0,3.0,,2.0,3.0,2.0,,1.0,,3.0,,,3.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,855340,2016-12-17 17:30:00,"The Hawthorns, West Bromwich",26308,Away,Manchester United,West Bromwich Albion,2,0,W,1,0,0,0,,1.0,54.0,1.0,1.0,47.0,44.0,4.0,,5.0,1.0,3.0,186.0,4.0,4.0,2.0,2.0,8.0,,5.0,140.0,134.0,45.0,,10.0,,22.0,,2.0,1.0,8.0,9.0,3.0,44.0,2.0,25.0,48.0,,246.0,,0.0,151.0,13.0,,1.0,,94.0,63.0,5.0,114.0,2.0,6.0,13.0,5.0,,1.0,134.0,2.0,5.0,134.0,760.0,5.0,14.0,16.0,22.0,463.0,24.0,14.0,26.0,2.0,3.0,2.0,3.0,20.0,552.0,69.0,,1.0,9808,1.0,232.0,1.0,5.0,248.0,6.0,1.0,,13.0,6.0,56.0,2.0,2.0,2.0,2.0,10.0,5.0,1.0,94.0,474.0,9.0,10.0,42.0,110.0,0.0,,2.0,,2.0,,4.0,0.0,3.0,2.0,57.9,15.0,1.0,2.0,2.0,1.0,58.0,3.0,574.0,22.0,6.0,29.0,4.0,24.0,2.0,334.0,8.0,25.0,17.0,98.0,24.0,2.0,7.0,26.0,15.0,1.0,,10.0,3.0,11.0,7.0,10.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,2.0,2.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,855348,2016-12-26 15:00:00,"Old Trafford, Manchester",75325,Home,Manchester United,Sunderland,3,1,W,1,0,0,0,2.0,1.0,64.0,1.0,2.0,24.0,25.0,13.0,8.0,13.0,3.0,4.0,180.0,7.0,11.0,3.0,3.0,20.0,,9.0,164.0,111.0,32.0,2.0,26.0,4.0,4.0,2.0,3.0,1.0,24.0,6.0,4.0,25.0,5.0,23.0,34.0,1.0,322.0,,0.0,225.0,6.0,1.0,,,73.0,85.0,12.0,102.0,3.0,19.0,14.0,13.0,2.0,4.0,111.0,2.0,4.0,161.0,793.0,16.0,7.0,40.0,10.0,526.0,27.0,4.0,15.0,3.0,1.0,2.0,8.0,14.0,591.0,70.0,5.0,,9808,9.0,222.0,1.0,15.0,236.0,3.0,2.0,1.0,14.0,4.0,27.0,9.0,4.0,8.0,3.0,8.0,5.0,3.0,52.0,537.0,9.0,6.0,16.0,71.0,0.0,2.0,5.0,1.0,3.0,1.0,3.0,0.0,6.0,3.0,62.2,14.0,3.0,2.0,8.0,6.0,44.0,5.0,607.0,10.0,9.0,18.0,11.0,48.0,6.0,395.0,15.0,22.0,5.0,185.0,25.0,1.0,5.0,15.0,8.0,,,21.0,3.0,13.0,5.0,6.0,6.0,,2.0,2.0,1.0,2.0,,,,2.0,1.0,5.0,6.0,,1.0,3.0,1.0,,3.0,,3.0,1.0,2.0,1.0,,1.0,2.0,,,,,,4.0,2.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
19,855358,2016-12-31 15:00:00,"Old Trafford, Manchester",75314,Home,Manchester United,Middlesbrough,2,1,W,0,0,0,0,2.0,,63.0,,6.0,39.0,20.0,8.0,9.0,24.0,1.0,6.0,162.0,15.0,22.0,2.0,2.0,23.0,,12.0,183.0,148.0,63.0,1.0,32.0,2.0,10.0,8.0,2.0,7.0,51.0,7.0,2.0,20.0,11.0,23.0,39.0,,367.0,,0.0,234.0,9.0,,,1.0,100.0,86.0,16.0,78.0,2.0,40.0,15.0,8.0,1.0,12.0,148.0,1.0,3.0,187.0,831.0,18.0,2.0,65.0,8.0,514.0,21.0,6.0,11.0,2.0,1.0,3.0,7.0,15.0,587.0,67.0,2.0,1.0,9808,19.0,180.0,2.0,27.0,188.0,6.0,1.0,1.0,15.0,5.0,48.0,5.0,5.0,3.0,2.0,10.0,6.0,3.0,60.0,532.0,13.0,17.0,16.0,79.0,0.0,,2.0,,2.0,1.0,2.0,0.0,13.0,5.0,65.5,12.0,10.0,2.0,3.0,8.0,51.0,12.0,610.0,8.0,7.0,27.0,12.0,61.0,7.0,473.0,18.0,21.0,21.0,185.0,26.0,1.0,1.0,11.0,7.0,1.0,1.0,23.0,3.0,27.0,1.0,6.0,12.0,,1.0,1.0,,2.0,,,,,,3.0,5.0,,3.0,7.0,4.0,,2.0,,2.0,,,2.0,,3.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,1.0,,,,,,2.0,1.0,2.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,3.0,2.0,,,,,,,,,,
20,855371,2017-01-02 17:15:00,"London Stadium, London",56996,Away,Manchester United,West Ham United,2,0,W,0,0,0,1,,,55.0,1.0,,46.0,25.0,5.0,4.0,8.0,2.0,4.0,190.0,2.0,6.0,2.0,3.0,11.0,1.0,6.0,200.0,112.0,40.0,1.0,13.0,2.0,8.0,4.0,2.0,,14.0,13.0,,25.0,1.0,20.0,43.0,,381.0,,0.0,240.0,13.0,2.0,,,128.0,83.0,7.0,117.0,1.0,13.0,16.0,5.0,1.0,5.0,112.0,1.0,3.0,206.0,883.0,9.0,3.0,27.0,19.0,628.0,24.0,3.0,13.0,2.0,2.0,1.0,4.0,12.0,695.0,80.0,,,9808,3.0,263.0,2.0,8.0,275.0,7.0,1.0,1.0,16.0,8.0,46.0,2.0,5.0,2.0,2.0,10.0,5.0,6.0,65.0,642.0,8.0,13.0,12.0,74.0,0.0,,2.0,1.0,2.0,,,0.0,2.0,,63.8,12.0,6.0,1.0,2.0,2.0,54.0,1.0,713.0,19.0,9.0,34.0,5.0,36.0,1.0,452.0,9.0,17.0,8.0,197.0,23.0,1.0,,13.0,18.0,,,12.0,3.0,10.0,,10.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,3.0,1.0,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,3.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
21,855376,2017-01-15 16:00:00,"Old Trafford, Manchester",75276,Home,Manchester United,Liverpool,1,1,D,0,1,0,0,1.0,,67.0,1.0,,47.0,32.0,4.0,3.0,5.0,3.0,1.0,179.0,4.0,10.0,1.0,2.0,6.0,,3.0,106.0,185.0,69.0,1.0,9.0,1.0,23.0,1.0,1.0,1.0,26.0,17.0,1.0,32.0,5.0,14.0,37.0,,198.0,,0.0,145.0,17.0,2.0,,,83.0,62.0,2.0,73.0,2.0,21.0,10.0,4.0,1.0,10.0,185.0,1.0,11.0,129.0,726.0,5.0,11.0,16.0,15.0,360.0,24.0,20.0,17.0,1.0,1.0,7.0,4.0,33.0,466.0,76.0,2.0,1.0,9808,1.0,179.0,1.0,9.0,202.0,9.0,,,10.0,3.0,70.0,2.0,4.0,5.0,1.0,11.0,2.0,2.0,98.0,373.0,13.0,4.0,49.0,85.0,0.0,1.0,7.0,3.0,1.0,1.0,2.0,0.0,4.0,2.0,55.9,28.0,6.0,1.0,5.0,1.0,52.0,5.0,487.0,15.0,22.0,20.0,5.0,35.0,2.0,311.0,4.0,12.0,22.0,87.0,27.0,1.0,1.0,17.0,25.0,1.0,1.0,8.0,3.0,16.0,1.0,5.0,5.0,1.0,,,2.0,,,,,2.0,,2.0,,,,,1.0,,1.0,,,,2.0,,,2.0,1.0,2.0,,,,,,,,2.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,
22,855390,2017-01-21 15:00:00,"bet365 Stadium, Stoke",27423,Away,Manchester United,Stoke City,1,1,D,0,1,0,0,,,64.0,,4.0,34.0,34.0,10.0,5.0,14.0,1.0,6.0,185.0,12.0,12.0,1.0,6.0,22.0,,8.0,165.0,152.0,56.0,1.0,25.0,5.0,26.0,4.0,,4.0,37.0,9.0,3.0,34.0,6.0,21.0,31.0,,335.0,1.0,0.0,225.0,12.0,1.0,,,58.0,83.0,14.0,84.0,2.0,31.0,20.0,11.0,1.0,11.0,152.0,2.0,4.0,157.0,815.0,19.0,3.0,37.0,6.0,486.0,30.0,8.0,17.0,,0.0,2.0,7.0,31.0,578.0,62.0,2.0,1.0,9808,11.0,176.0,2.0,16.0,195.0,5.0,1.0,,20.0,2.0,57.0,4.0,6.0,3.0,,11.0,3.0,2.0,51.0,499.0,10.0,5.0,20.0,77.0,0.0,,1.0,,,1.0,2.0,0.0,9.0,3.0,65.1,29.0,2.0,1.0,3.0,9.0,59.0,7.0,591.0,6.0,12.0,18.0,8.0,49.0,6.0,433.0,17.0,19.0,20.0,174.0,29.0,,,17.0,14.0,,1.0,16.0,3.0,16.0,,9.0,7.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,3.0,,2.0,5.0,,,,,2.0,2.0,,3.0,,1.0,,4.0,,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,
23,855395,2017-02-01 20:00:00,"Old Trafford, Manchester",75297,Home,Manchester United,Hull City,0,0,D,0,0,0,0,3.0,,68.0,,2.0,31.0,22.0,5.0,6.0,11.0,2.0,2.0,186.0,10.0,9.0,,1.0,14.0,,6.0,177.0,154.0,62.0,,16.0,4.0,15.0,5.0,,1.0,39.0,13.0,1.0,22.0,5.0,20.0,33.0,,316.0,,0.0,224.0,20.0,1.0,2.0,,109.0,89.0,11.0,93.0,1.0,34.0,20.0,5.0,,16.0,154.0,2.0,3.0,178.0,852.0,14.0,9.0,40.0,13.0,515.0,24.0,4.0,13.0,,1.0,,3.0,33.0,608.0,85.0,2.0,,9808,7.0,232.0,2.0,18.0,243.0,9.0,,,20.0,4.0,56.0,3.0,6.0,6.0,,5.0,3.0,4.0,62.0,538.0,16.0,9.0,25.0,90.0,0.0,,1.0,1.0,,,5.0,0.0,8.0,2.0,67.1,33.0,2.0,2.0,6.0,6.0,59.0,7.0,634.0,13.0,7.0,21.0,4.0,48.0,4.0,430.0,8.0,18.0,19.0,164.0,34.0,,1.0,13.0,18.0,,,13.0,3.0,18.0,1.0,11.0,7.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,,,3.0,2.0,,,,1.0,,1.0,2.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
24,855406,2017-02-05 16:00:00,"King Power Stadium, Leicester",32072,Away,Manchester United,Leicester City,3,0,W,2,0,0,0,3.0,2.0,55.0,,1.0,48.0,52.0,3.0,6.0,13.0,1.0,2.0,184.0,7.0,11.0,3.0,,16.0,,9.0,166.0,142.0,78.0,,16.0,2.0,16.0,5.0,3.0,3.0,16.0,13.0,1.0,52.0,2.0,31.0,38.0,1.0,311.0,,0.0,179.0,13.0,1.0,,2.0,83.0,116.0,12.0,115.0,,14.0,18.0,3.0,,6.0,142.0,3.0,6.0,179.0,855.0,12.0,5.0,30.0,7.0,524.0,19.0,7.0,36.0,3.0,4.0,4.0,4.0,31.0,619.0,70.0,2.0,,9808,9.0,238.0,1.0,8.0,263.0,5.0,2.0,,18.0,9.0,55.0,3.0,2.0,2.0,3.0,13.0,5.0,5.0,92.0,542.0,12.0,14.0,40.0,103.0,0.0,,10.0,,3.0,,4.0,0.0,5.0,3.0,67.6,30.0,2.0,4.0,2.0,3.0,65.0,3.0,644.0,7.0,7.0,28.0,4.0,27.0,4.0,397.0,7.0,30.0,39.0,138.0,30.0,1.0,4.0,36.0,17.0,,,15.0,3.0,18.0,4.0,3.0,3.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,2.0,1.0,1.0,3.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,855416,2017-02-11 15:00:00,"Old Trafford, Manchester",75301,Home,Manchester United,Watford,2,0,W,1,0,0,0,1.0,2.0,81.0,1.0,2.0,29.0,32.0,10.0,7.0,12.0,3.0,7.0,197.0,3.0,17.0,2.0,2.0,20.0,1.0,11.0,146.0,139.0,72.0,,22.0,2.0,9.0,3.0,2.0,4.0,14.0,25.0,6.0,32.0,4.0,30.0,24.0,,282.0,,0.0,182.0,10.0,1.0,,2.0,71.0,88.0,15.0,79.0,2.0,10.0,21.0,10.0,,2.0,139.0,4.0,3.0,165.0,808.0,18.0,15.0,36.0,11.0,480.0,31.0,5.0,18.0,2.0,1.0,1.0,5.0,15.0,565.0,57.0,,,9808,8.0,217.0,2.0,7.0,234.0,6.0,1.0,1.0,21.0,8.0,45.0,5.0,5.0,6.0,2.0,12.0,6.0,5.0,58.0,496.0,12.0,10.0,23.0,82.0,0.0,,1.0,2.0,2.0,,7.0,0.0,3.0,1.0,57.9,13.0,9.0,2.0,6.0,4.0,58.0,5.0,587.0,11.0,6.0,15.0,7.0,30.0,5.0,367.0,14.0,29.0,15.0,130.0,34.0,,3.0,18.0,28.0,,,22.0,3.0,28.0,3.0,14.0,5.0,,,1.0,1.0,1.0,,1.0,,,1.0,2.0,3.0,,,,1.0,,1.0,,,,,,1.0,2.0,4.0,1.0,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,855427,2017-04-27 20:00:00,"Etihad Stadium, Manchester",54176,Away,Manchester United,Manchester City,0,0,D,0,0,1,0,,,56.0,,,20.0,26.0,1.0,,2.0,6.0,1.0,140.0,2.0,12.0,,1.0,2.0,,1.0,52.0,134.0,50.0,,3.0,1.0,11.0,1.0,,1.0,9.0,10.0,,26.0,4.0,14.0,21.0,,97.0,,0.0,71.0,8.0,2.0,,,63.0,43.0,1.0,43.0,1.0,5.0,28.0,1.0,,,134.0,1.0,8.0,53.0,477.0,1.0,5.0,7.0,16.0,182.0,32.0,5.0,10.0,,1.0,5.0,1.0,23.0,259.0,45.0,,,59846,1.0,104.0,1.0,4.0,122.0,6.0,,,28.0,14.0,52.0,3.0,1.0,2.0,,10.0,11.0,7.0,58.0,199.0,10.0,14.0,27.0,81.0,0.0,,7.0,2.0,,,1.0,1.0,2.0,1.0,30.8,18.0,2.0,,2.0,1.0,34.0,4.0,288.0,16.0,8.0,7.0,1.0,9.0,1.0,175.0,2.0,14.0,7.0,36.0,16.0,,2.0,10.0,21.0,,,2.0,3.0,23.0,2.0,13.0,4.0,,,4.0,1.0,,,1.0,,,1.0,,,,1.0,,3.0,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
