gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,accuratePullBack,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,attHdPost,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,subsMade,totalContest,blockedCross,wonCorners,attemptsIbox,saves,fouledFinalThird,attCmissRight,attPenTarget,attBxRight,accurateKeeperSweeper,penaltyWon,freekickCross,interceptionsInBox,attemptsObox,touchesInOppBox,successfulOpenPlayPass,totalKeeperSweeper,openPlayPass,accurateFreekickCross,attBxCentre,attCmissHigh,attCorner,goalsConceded,attCmissHighRight,shieldBallOop,attBxLeft,goalsConcededIbox,attOpenplay,handBall,attGoalLowLeft,attGoalLowRight,attLfGoal,goalAssistOpenplay,attOboxGoal,midfielderGoals,goalAssist,attFreekickGoal,goalAssistIntentional,attSvHighCentre,attFreekickMiss,attHdGoal,goalsConcededObox,attLgCentre,attSetpiece,attPenGoal,attCmissLeft,foulThrowIn,goalFastbreak,attGoalHighRight,secondYellow,attObxRight,goalAssistSetplay,goalAssistDeadball,attMissHighLeft,sixYardBlock,errorLeadToGoal,defenderGoals,goalsOpenplay,totalFastbreak,errorLeadToShot,attFreekickTarget,attPostHigh,attGoalHighLeft,attOboxPost,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighCentre,attObxdLeft,attObxLeft,attObpGoal,attObxdRight
11,284106,2009-10-31 17:30:00,"Old Trafford, Manchester",74658,Home,Manchester United,Blackburn Rovers,2,0,W,0,0,0,0,1.0,53.0,1.0,3.0,38.0,24.0,11.0,5.0,2.0,,6.0,3.0,2.0,21.0,,6.0,168.0,55.0,1.0,25.0,3.0,25.0,3.0,1.0,,2.0,7.0,32.0,,12.0,1.0,7.0,6.0,24.0,43.0,284.0,1.0,,1.0,0.0,200.0,11.0,1.0,,,1.0,90.0,70.0,12.0,3.0,26.0,1.0,4.0,7.0,151.0,2.0,,795.0,16.0,5.0,1.0,,11.0,20.0,2.0,17.0,0.0,1.0,9.0,30.0,93.0,1.0,8595,174.0,19.0,192.0,1.0,1.0,7.0,52.0,6.0,3.0,4.0,1.0,5.0,1.0,65.0,452.0,20.0,,3.0,21.0,89.0,1.0,1.0,1.0,0.0,2.0,,2.0,2.0,0.0,3.0,2.0,65.6,28.0,1.0,1.0,5.0,6.0,,49.0,7.0,1.0,553.0,11.0,8.0,23.0,13.0,,21.0,3.0,6.0,393.0,18.0,24.0,15.0,137.0,25.0,2.0,,6.0,17.0,2.0,11.0,,7.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,2.0,,,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12,284112,2009-11-08 16:00:00,"Stamford Bridge, London",41836,Away,Manchester United,Chelsea,0,1,L,0,0,0,0,,60.0,3.0,3.0,36.0,26.0,11.0,3.0,2.0,,6.0,5.0,,17.0,,2.0,154.0,50.0,1.0,18.0,4.0,8.0,,,,,3.0,23.0,,14.0,2.0,9.0,7.0,15.0,21.0,200.0,,1.0,,0.0,172.0,15.0,3.0,,1.0,,66.0,61.0,8.0,,16.0,1.0,5.0,5.0,137.0,5.0,,671.0,15.0,12.0,,,11.0,25.0,4.0,15.0,3.0,3.0,9.0,20.0,86.0,1.0,54771,156.0,10.0,177.0,,,7.0,43.0,5.0,2.0,8.0,7.0,5.0,5.0,64.0,350.0,13.0,8.0,2.0,18.0,81.0,,,,0.0,,2.0,,3.0,0.0,2.0,2.0,52.6,19.0,2.0,2.0,8.0,7.0,,45.0,7.0,,453.0,11.0,6.0,9.0,9.0,,18.0,4.0,4.0,299.0,13.0,14.0,15.0,110.0,23.0,,1.0,4.0,17.0,2.0,11.0,1.0,7.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13,284126,2009-11-21 17:30:00,"Old Trafford, Manchester",75169,Home,Manchester United,Everton,3,0,W,1,0,0,0,2.0,62.0,2.0,3.0,45.0,16.0,9.0,4.0,,,5.0,10.0,3.0,16.0,,5.0,167.0,56.0,,18.0,3.0,12.0,1.0,,1.0,1.0,1.0,35.0,,21.0,1.0,7.0,7.0,23.0,31.0,335.0,1.0,,1.0,0.0,230.0,5.0,3.0,,1.0,,103.0,79.0,10.0,1.0,29.0,,8.0,3.0,158.0,5.0,,940.0,11.0,16.0,,1.0,16.0,28.0,7.0,8.0,2.0,1.0,6.0,16.0,93.0,2.0,54772,253.0,20.0,262.0,2.0,,10.0,52.0,5.0,1.0,7.0,7.0,6.0,2.0,67.0,583.0,8.0,5.0,2.0,17.0,104.0,,,,0.0,4.0,3.0,2.0,8.0,0.0,2.0,,65.8,15.0,,3.0,8.0,6.0,,74.0,13.0,,674.0,16.0,21.0,17.0,7.0,,28.0,4.0,3.0,447.0,14.0,22.0,14.0,166.0,22.0,,2.0,4.0,24.0,3.0,19.0,2.0,13.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,3.0,1.0,3.0,3.0,,3.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,
14,284136,2009-11-28 15:00:00,"Fratton Park, Portsmouth",20482,Away,Manchester United,Portsmouth,4,1,W,1,1,0,0,1.0,42.0,3.0,,32.0,22.0,8.0,5.0,,,4.0,10.0,4.0,11.0,,5.0,131.0,52.0,1.0,14.0,5.0,13.0,1.0,,,,2.0,27.0,,14.0,,9.0,6.0,14.0,17.0,192.0,,,,0.0,141.0,13.0,5.0,,1.0,2.0,32.0,81.0,7.0,,22.0,1.0,4.0,2.0,118.0,15.0,,699.0,8.0,5.0,,,16.0,19.0,2.0,10.0,3.0,6.0,4.0,18.0,53.0,4.0,9089,215.0,14.0,229.0,2.0,,12.0,46.0,7.0,2.0,7.0,9.0,10.0,2.0,54.0,403.0,16.0,4.0,2.0,12.0,81.0,,,,0.0,4.0,4.0,3.0,2.0,0.0,3.0,,59.5,14.0,,2.0,8.0,5.0,,49.0,8.0,2.0,472.0,16.0,13.0,9.0,4.0,,17.0,2.0,2.0,270.0,9.0,14.0,7.0,109.0,11.0,3.0,2.0,2.0,19.0,1.0,14.0,2.0,8.0,,,,,,,3.0,2.0,,2.0,,,,3.0,,,,,,1.0,,,,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,
15,284147,2009-12-05 15:00:00,"Boleyn Ground, London",34980,Away,Manchester United,West Ham United,4,0,W,1,0,0,0,1.0,58.0,2.0,1.0,32.0,18.0,8.0,6.0,,1.0,9.0,11.0,4.0,13.0,,5.0,135.0,47.0,,16.0,2.0,10.0,1.0,2.0,,,2.0,33.0,,12.0,,9.0,5.0,28.0,27.0,222.0,,,1.0,0.0,155.0,16.0,1.0,,,2.0,80.0,61.0,7.0,2.0,28.0,,6.0,4.0,126.0,4.0,,773.0,10.0,7.0,,,22.0,23.0,5.0,11.0,1.0,4.0,6.0,27.0,80.0,1.0,9089,236.0,21.0,252.0,3.0,2.0,5.0,45.0,7.0,2.0,12.0,7.0,2.0,3.0,57.0,449.0,8.0,5.0,,16.0,76.0,2.0,1.0,,0.0,2.0,1.0,2.0,5.0,0.0,8.0,2.0,57.8,22.0,2.0,3.0,13.0,3.0,,47.0,7.0,2.0,526.0,19.0,9.0,13.0,8.0,,19.0,1.0,4.0,307.0,8.0,25.0,11.0,109.0,17.0,1.0,,5.0,17.0,3.0,16.0,,8.0,,,,,,,1.0,,,3.0,,,,1.0,,,,,,,,3.0,,,,,1.0,,1.0,3.0,2.0,3.0,3.0,,3.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,
16,284156,2009-12-12 17:30:00,"Old Trafford, Manchester",75130,Home,Manchester United,Aston Villa,0,1,L,0,1,0,0,,62.0,2.0,4.0,39.0,22.0,9.0,3.0,4.0,,7.0,16.0,,14.0,1.0,5.0,178.0,70.0,1.0,19.0,3.0,11.0,1.0,,1.0,1.0,3.0,41.0,1.0,20.0,4.0,14.0,8.0,26.0,22.0,324.0,,,,0.0,217.0,6.0,1.0,,2.0,3.0,71.0,82.0,9.0,1.0,33.0,1.0,14.0,2.0,170.0,4.0,,915.0,12.0,9.0,1.0,1.0,19.0,31.0,4.0,15.0,1.0,2.0,5.0,31.0,105.0,2.0,9089,198.0,18.0,218.0,,1.0,4.0,51.0,6.0,,7.0,4.0,2.0,2.0,61.0,515.0,15.0,6.0,2.0,16.0,93.0,,1.0,1.0,0.0,4.0,,,2.0,0.0,5.0,1.0,67.2,31.0,,4.0,7.0,7.0,,63.0,9.0,3.0,620.0,19.0,22.0,13.0,7.0,,36.0,2.0,4.0,443.0,15.0,21.0,14.0,155.0,18.0,,1.0,8.0,25.0,3.0,23.0,1.0,9.0,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
17,284164,2009-12-15 20:00:00,"Old Trafford, Manchester",73709,Home,Manchester United,Wolverhampton Wanderers,3,0,W,2,0,0,0,1.0,63.0,,2.0,31.0,19.0,4.0,1.0,6.0,,6.0,7.0,3.0,16.0,,10.0,159.0,51.0,,19.0,2.0,16.0,6.0,,,5.0,,31.0,,9.0,1.0,10.0,7.0,26.0,34.0,292.0,1.0,,1.0,0.0,202.0,11.0,,,1.0,3.0,97.0,85.0,11.0,1.0,24.0,,6.0,1.0,149.0,3.0,,849.0,13.0,14.0,,,21.0,31.0,9.0,9.0,1.0,2.0,5.0,20.0,96.0,3.0,9089,214.0,18.0,226.0,2.0,,5.0,50.0,9.0,,7.0,2.0,3.0,2.0,58.0,500.0,13.0,3.0,1.0,28.0,99.0,,1.0,2.0,0.0,3.0,,3.0,5.0,0.0,4.0,3.0,58.3,16.0,2.0,2.0,7.0,4.0,,55.0,8.0,4.0,598.0,20.0,16.0,18.0,5.0,,21.0,2.0,4.0,403.0,15.0,24.0,18.0,147.0,19.0,1.0,2.0,4.0,13.0,3.0,11.0,3.0,8.0,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,2.0,,2.0,,,1.0,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,
18,284174,2009-12-19 15:00:00,"Craven Cottage, London",25700,Away,Manchester United,Fulham,0,3,L,0,1,0,0,,66.0,2.0,,48.0,23.0,10.0,3.0,2.0,,2.0,8.0,,13.0,,2.0,190.0,54.0,1.0,16.0,2.0,13.0,1.0,,,2.0,4.0,21.0,,23.0,1.0,17.0,2.0,22.0,49.0,251.0,1.0,,,0.0,184.0,9.0,2.0,,,3.0,78.0,72.0,3.0,5.0,19.0,1.0,7.0,9.0,184.0,6.0,,873.0,12.0,6.0,,,16.0,22.0,4.0,11.0,1.0,2.0,10.0,27.0,113.0,3.0,9089,241.0,12.0,263.0,,1.0,5.0,44.0,5.0,1.0,7.0,5.0,,2.0,85.0,490.0,10.0,2.0,1.0,9.0,117.0,,,1.0,0.0,5.0,1.0,,3.0,0.0,2.0,1.0,58.4,18.0,1.0,2.0,7.0,2.0,,64.0,2.0,3.0,620.0,15.0,17.0,18.0,12.0,,29.0,,3.0,378.0,12.0,21.0,10.0,112.0,31.0,,2.0,8.0,26.0,3.0,11.0,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,3.0,,1.0,,2.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
19,284184,2009-12-27 16:00:00,"The MKM Stadium, Hull",24627,Away,Manchester United,Hull City,3,1,W,1,0,0,0,2.0,61.0,2.0,1.0,22.0,37.0,10.0,6.0,1.0,2.0,6.0,6.0,3.0,15.0,1.0,6.0,184.0,58.0,1.0,20.0,3.0,12.0,3.0,2.0,1.0,,2.0,21.0,,20.0,1.0,21.0,7.0,23.0,31.0,199.0,1.0,,,0.0,169.0,18.0,3.0,1.0,,2.0,53.0,76.0,9.0,5.0,15.0,1.0,5.0,5.0,168.0,8.0,,675.0,11.0,10.0,,1.0,19.0,22.0,5.0,21.0,2.0,3.0,6.0,23.0,74.0,4.0,9089,144.0,9.0,173.0,1.0,1.0,9.0,53.0,7.0,1.0,6.0,6.0,3.0,1.0,55.0,337.0,13.0,8.0,2.0,22.0,91.0,2.0,2.0,1.0,0.0,5.0,1.0,3.0,3.0,0.0,5.0,1.0,59.6,22.0,1.0,5.0,6.0,4.0,,45.0,7.0,2.0,466.0,19.0,16.0,11.0,10.0,,17.0,2.0,4.0,314.0,11.0,21.0,16.0,109.0,26.0,2.0,1.0,15.0,23.0,2.0,6.0,1.0,7.0,,,2.0,2.0,,,1.0,,1.0,,,,,1.0,,,5.0,1.0,,1.0,,,2.0,1.0,17.0,1.0,,,1.0,2.0,,,2.0,,2.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,2.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,
20,284195,2009-12-30 20:00:00,"Old Trafford, Manchester",74560,Home,Manchester United,Wigan Athletic,5,0,W,3,0,0,0,1.0,69.0,1.0,2.0,32.0,15.0,7.0,3.0,5.0,,6.0,8.0,5.0,16.0,2.0,11.0,151.0,47.0,1.0,23.0,3.0,6.0,5.0,,2.0,3.0,1.0,27.0,2.0,15.0,1.0,6.0,6.0,20.0,32.0,308.0,2.0,,1.0,0.0,211.0,7.0,2.0,,1.0,1.0,79.0,74.0,12.0,1.0,21.0,1.0,5.0,3.0,142.0,3.0,1.0,870.0,12.0,9.0,,2.0,17.0,33.0,1.0,11.0,0.0,3.0,4.0,20.0,82.0,6.0,8595,223.0,16.0,235.0,4.0,2.0,4.0,45.0,14.0,3.0,2.0,8.0,2.0,1.0,49.0,525.0,13.0,6.0,1.0,10.0,85.0,,1.0,,0.0,3.0,2.0,5.0,4.0,0.0,5.0,1.0,62.1,18.0,,4.0,2.0,5.0,,56.0,7.0,1.0,613.0,17.0,21.0,16.0,7.0,1.0,23.0,1.0,2.0,405.0,19.0,20.0,6.0,154.0,29.0,2.0,2.0,6.0,20.0,3.0,13.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,3.0,,2.0,3.0,,3.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
21,284201,2010-01-09 17:30:00,"St. Andrew's @ Knighthead Park, Birmingham",28907,Away,Manchester United,Birmingham City,1,1,D,0,1,1,0,1.0,57.0,,9.0,36.0,34.0,6.0,4.0,2.0,,7.0,9.0,1.0,13.0,,3.0,230.0,60.0,2.0,21.0,4.0,14.0,3.0,,,,2.0,37.0,,18.0,,14.0,10.0,21.0,33.0,232.0,1.0,1.0,,0.0,193.0,13.0,1.0,,2.0,1.0,94.0,72.0,8.0,2.0,27.0,2.0,12.0,2.0,210.0,6.0,,789.0,10.0,6.0,,,23.0,21.0,1.0,18.0,1.0,2.0,5.0,42.0,92.0,2.0,61858,161.0,14.0,197.0,,1.0,7.0,57.0,4.0,5.0,1.0,1.0,,,70.0,386.0,11.0,3.0,3.0,17.0,90.0,,,,0.0,2.0,3.0,1.0,4.0,1.0,4.0,3.0,62.8,38.0,3.0,6.0,1.0,13.0,,36.0,12.0,1.0,523.0,23.0,24.0,13.0,5.0,,24.0,3.0,3.0,363.0,12.0,19.0,13.0,123.0,24.0,,1.0,7.0,27.0,2.0,12.0,1.0,12.0,,,3.0,1.0,,3.0,,,1.0,1.0,,,,,,,11.0,,,1.0,1.0,1.0,1.0,1.0,14.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,
22,284215,2010-01-16 15:00:00,"Old Trafford, Manchester",75120,Home,Manchester United,Burnley,3,0,W,0,0,0,0,1.0,66.0,3.0,2.0,43.0,25.0,6.0,5.0,4.0,,20.0,4.0,3.0,25.0,,10.0,147.0,40.0,,27.0,1.0,6.0,4.0,2.0,,3.0,5.0,46.0,,13.0,3.0,11.0,7.0,20.0,43.0,272.0,1.0,,1.0,0.0,204.0,13.0,3.0,,4.0,1.0,63.0,82.0,11.0,4.0,39.0,,8.0,2.0,133.0,5.0,,707.0,23.0,16.0,2.0,,13.0,23.0,3.0,18.0,0.0,3.0,14.0,18.0,77.0,4.0,8595,145.0,30.0,165.0,1.0,,11.0,40.0,6.0,3.0,14.0,8.0,8.0,1.0,65.0,397.0,7.0,7.0,,16.0,84.0,2.0,,,0.0,1.0,1.0,3.0,8.0,0.0,18.0,7.0,59.9,17.0,4.0,2.0,14.0,3.0,,57.0,7.0,1.0,485.0,13.0,9.0,32.0,14.0,,53.0,2.0,12.0,366.0,15.0,20.0,10.0,155.0,23.0,2.0,1.0,7.0,19.0,3.0,10.0,1.0,7.0,21.0,4.0,1.0,2.0,,2.0,2.0,,1.0,,6.0,61.0,380.0,2.0,465.0,,17.0,,,,,1.0,1.0,,27.0,1.0,1.0,2.0,1.0,2.0,,,2.0,,2.0,,,1.0,,,,,1.0,,1.0,,,,,,3.0,,,,3.0,2.0,,,,,,,,,,,,,
23,284221,2010-01-23 15:00:00,"Old Trafford, Manchester",73933,Home,Manchester United,Hull City,4,0,W,1,0,0,0,,63.0,,3.0,18.0,32.0,8.0,1.0,4.0,1.0,9.0,14.0,4.0,18.0,,10.0,168.0,56.0,3.0,25.0,2.0,17.0,4.0,1.0,,1.0,6.0,35.0,,12.0,2.0,19.0,10.0,28.0,32.0,232.0,1.0,1.0,1.0,0.0,149.0,6.0,1.0,,2.0,2.0,55.0,50.0,10.0,1.0,25.0,3.0,8.0,4.0,155.0,4.0,,796.0,11.0,3.0,2.0,1.0,14.0,27.0,2.0,15.0,1.0,2.0,8.0,22.0,66.0,4.0,8595,197.0,15.0,217.0,3.0,,9.0,55.0,10.0,2.0,7.0,4.0,6.0,1.0,35.0,420.0,10.0,7.0,4.0,13.0,100.0,1.0,,1.0,0.0,8.0,2.0,4.0,1.0,0.0,6.0,6.0,59.2,19.0,3.0,3.0,7.0,5.0,,62.0,12.0,2.0,516.0,14.0,15.0,15.0,10.0,,26.0,3.0,6.0,334.0,18.0,26.0,17.0,102.0,24.0,4.0,6.0,9.0,15.0,3.0,24.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,3.0,,,3.0,,3.0,2.0,2.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,
24,284230,2010-01-31 16:00:00,"Emirates Stadium, London",60091,Away,Manchester United,Arsenal,3,1,W,2,0,0,0,,55.0,2.0,2.0,23.0,31.0,4.0,1.0,1.0,,1.0,9.0,3.0,10.0,1.0,4.0,171.0,62.0,,13.0,1.0,15.0,,4.0,,,3.0,16.0,,28.0,1.0,15.0,2.0,19.0,33.0,208.0,1.0,,,0.0,164.0,12.0,1.0,,,3.0,53.0,103.0,7.0,2.0,14.0,,3.0,2.0,155.0,12.0,,696.0,7.0,17.0,,,21.0,22.0,3.0,19.0,0.0,4.0,3.0,20.0,90.0,5.0,8595,111.0,11.0,134.0,3.0,2.0,16.0,63.0,6.0,,7.0,8.0,5.0,,52.0,318.0,9.0,18.0,,17.0,91.0,4.0,1.0,,0.0,8.0,,3.0,8.0,0.0,1.0,,46.3,16.0,,1.0,7.0,3.0,,49.0,5.0,3.0,425.0,21.0,16.0,21.0,6.0,,18.0,,4.0,307.0,12.0,19.0,8.0,105.0,21.0,1.0,4.0,9.0,36.0,3.0,11.0,4.0,5.0,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,2.0,,,3.0,,2.0,3.0,,3.0,,,,1.0,,,,,,2.0,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,
25,284246,2010-02-06 15:00:00,"Old Trafford, Manchester",74684,Home,Manchester United,Portsmouth,5,0,W,2,0,0,0,,62.0,1.0,1.0,44.0,15.0,9.0,2.0,2.0,,11.0,11.0,5.0,18.0,1.0,5.0,132.0,54.0,,21.0,3.0,8.0,1.0,,,,,44.0,,19.0,1.0,11.0,7.0,26.0,44.0,283.0,2.0,,1.0,0.0,218.0,9.0,2.0,,,,52.0,87.0,7.0,7.0,37.0,,16.0,3.0,128.0,5.0,,733.0,15.0,8.0,,,16.0,22.0,3.0,3.0,1.0,4.0,11.0,15.0,89.0,5.0,8595,185.0,18.0,196.0,1.0,1.0,6.0,36.0,10.0,1.0,1.0,3.0,6.0,3.0,64.0,457.0,11.0,5.0,2.0,11.0,73.0,,2.0,,0.0,1.0,2.0,3.0,5.0,0.0,9.0,4.0,58.8,14.0,3.0,7.0,1.0,4.0,1.0,53.0,14.0,,536.0,15.0,9.0,26.0,12.0,,41.0,2.0,9.0,384.0,15.0,25.0,11.0,163.0,31.0,2.0,,1.0,21.0,3.0,16.0,,12.0,,,3.0,2.0,,1.0,1.0,,3.0,,,,,1.0,,,8.0,2.0,,,,,1.0,,15.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,1.0,,,,
26,284256,2010-02-10 19:45:00,"Villa Park, Birmingham",42788,Away,Manchester United,Aston Villa,1,1,D,1,1,1,0,,62.0,,1.0,15.0,31.0,5.0,3.0,3.0,,7.0,10.0,1.0,12.0,1.0,3.0,170.0,58.0,1.0,14.0,3.0,15.0,1.0,,,,1.0,19.0,,19.0,2.0,14.0,8.0,20.0,41.0,219.0,,1.0,,0.0,144.0,11.0,1.0,1.0,,2.0,29.0,97.0,6.0,2.0,11.0,1.0,2.0,,153.0,6.0,,686.0,10.0,10.0,,,17.0,25.0,1.0,15.0,1.0,3.0,6.0,25.0,82.0,,9089,158.0,9.0,172.0,,1.0,6.0,57.0,6.0,2.0,3.0,4.0,3.0,4.0,52.0,370.0,9.0,5.0,2.0,19.0,104.0,,,1.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,52.2,22.0,2.0,2.0,4.0,4.0,,56.0,8.0,2.0,475.0,17.0,23.0,15.0,7.0,,12.0,5.0,7.0,322.0,9.0,19.0,13.0,88.0,26.0,,2.0,7.0,26.0,2.0,14.0,2.0,7.0,,,2.0,1.0,,1.0,2.0,,,2.0,,,,2.0,,,4.0,1.0,,1.0,,2.0,2.0,1.0,7.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
27,284263,2010-02-20 12:45:00,"Goodison Park, Liverpool",39448,Away,Manchester United,Everton,1,3,L,1,1,0,0,,45.0,1.0,,29.0,39.0,4.0,1.0,1.0,,16.0,10.0,1.0,11.0,1.0,2.0,164.0,56.0,1.0,13.0,2.0,8.0,,1.0,,,5.0,40.0,,11.0,1.0,19.0,10.0,15.0,34.0,207.0,,,,0.0,143.0,11.0,,,1.0,3.0,57.0,88.0,2.0,3.0,30.0,1.0,11.0,1.0,144.0,5.0,,681.0,9.0,12.0,,,13.0,16.0,3.0,27.0,1.0,2.0,9.0,24.0,82.0,3.0,9089,130.0,18.0,144.0,1.0,1.0,7.0,41.0,4.0,,7.0,7.0,2.0,,54.0,321.0,12.0,5.0,2.0,22.0,95.0,1.0,,,0.0,4.0,1.0,1.0,5.0,0.0,10.0,5.0,53.9,18.0,5.0,2.0,7.0,2.0,,48.0,12.0,3.0,413.0,13.0,14.0,22.0,9.0,,30.0,6.0,8.0,309.0,7.0,13.0,12.0,95.0,15.0,1.0,3.0,14.0,22.0,3.0,13.0,3.0,12.0,,,,,,,2.0,,,1.0,,,,2.0,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,
28,284276,2010-02-23 20:00:00,"Old Trafford, Manchester",73797,Home,Manchester United,West Ham United,3,0,W,1,0,0,0,1.0,71.0,3.0,1.0,35.0,31.0,5.0,1.0,6.0,1.0,7.0,13.0,3.0,15.0,,10.0,147.0,58.0,,16.0,,13.0,3.0,,1.0,2.0,1.0,19.0,1.0,17.0,4.0,14.0,5.0,24.0,39.0,239.0,,1.0,1.0,0.0,150.0,13.0,2.0,,2.0,1.0,57.0,92.0,11.0,1.0,14.0,,3.0,2.0,130.0,5.0,,798.0,11.0,7.0,,1.0,21.0,30.0,3.0,19.0,0.0,2.0,4.0,12.0,77.0,4.0,9089,204.0,11.0,224.0,1.0,,8.0,54.0,7.0,3.0,9.0,8.0,5.0,2.0,58.0,436.0,13.0,6.0,1.0,14.0,77.0,,1.0,1.0,0.0,7.0,1.0,3.0,2.0,0.0,5.0,3.0,53.8,11.0,1.0,6.0,9.0,1.0,,45.0,6.0,1.0,522.0,21.0,17.0,23.0,5.0,,18.0,2.0,2.0,317.0,11.0,22.0,12.0,106.0,25.0,3.0,3.0,8.0,20.0,3.0,21.0,3.0,6.0,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,3.0,,1.0,,3.0,,,3.0,,3.0,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,
