gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,handBall,bigChanceScored,attGoalLowLeft,savedObox,saves,fouledFinalThird,attFreekickTotal,attBxRight,accurateKeeperSweeper,attMissLeft,divingSave,attSvLowLeft,freekickTotal,totalKeeperSweeper,penaltyConceded,totalPullBack,attCmissHigh,attMissHigh,attAssistSetplay,attSvLowRight,attCmissLeft,savedIbox,goalsConceded,shieldBallOop,attHdTotal,attHdMiss,attBxLeft,penaltyFaced,penGoalsConceded,accurateCornersIntobox,goalsConcededIbox,attLfGoal,goalFastbreak,attGoalHighRight,penaltyWon,ptsGainedLosingPos,attSvHighLeft,attMissRight,accurateThroughBall,accurateFreekickCross,attSetpiece,totalThroughBall,attPenGoal,punches,accurateFlickOn,effectiveBlockedCross,blockedCross,attGoalLowRight,attCmissRight,attOboxMiss,ptsDroppedWinningPos,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,attPenTarget,attHdTarget,ownGoals,defenderGoals,foulThrowIn,forwardGoals,attIboxOwnGoal,attHdGoal,accuratePullBack,errorLeadToShot,sixYardBlock,attMissHighRight,hitWoodwork,attOneOnOne,attFreekickTarget,attFreekickMiss,attObxLeft,attGoalHighLeft,goalsConcededObox,postScoringAtt,attIboxPost,attOboxGoal,attPostLeft,winningGoal,attGoalHighCentre,keeperGoals,subsGoals,attObpGoal,attFreekickGoal,goodHighClaim,totalHighClaim,attCmissHighRight,attOboxPost,attPostRight,attCmissHighLeft,attObxdLeft
11,2128395,2020-12-05 17:30:00,"London Stadium, London",2000.0,Away,Manchester United,West Ham United,3,1,W,0,1,0,0,,33.0,62.0,1.0,32.0,18.0,5.0,5.0,10.0,3.0,202.0,2.0,16.0,2.0,6.0,3.0,14.0,6.0,163.0,127.0,43.0,15.0,2.0,14.0,1.0,1.0,3.0,1.0,10.0,8.0,2.0,18.0,3.0,11.0,31.0,241.0,,,0.0,103.0,10.0,2.0,2.0,1.0,97.0,57.0,8.0,89.0,,7.0,18.0,5.0,3.0,127.0,3.0,1.0,14.0,177.0,805.0,11.0,5.0,16.0,9.0,524.0,27.0,,2.0,11.0,3.0,0.0,4.0,6.0,15.0,608.0,51.0,95658,6.0,305.0,2.0,3.0,335.0,6.0,2.0,18.0,8.0,42.0,3.0,8.0,3.0,17.0,5.0,6.0,57.0,544.0,9.0,7.0,12.0,,82.0,1.0,0.0,,5.0,2.0,0.0,1.0,2.0,60.7,15.0,2.0,,8.0,3.0,59.0,4.0,631.0,9.0,6.0,18.0,6.0,21.0,5.0,306.0,10.0,9.0,16.0,76.0,25.0,11.0,12.0,15.0,3.0,12.0,10.0,4.0,1.0,1.0,,4.0,5.0,1.0,,,1.0,2.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,3.0,,,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,3.0,2.0,,,2.0,,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12,2128402,2020-12-12 17:30:00,"Old Trafford, Manchester",,Home,Manchester United,Manchester City,0,0,D,0,0,0,0,,29.0,56.0,1.0,19.0,13.0,4.0,5.0,7.0,2.0,149.0,0.0,16.0,3.0,10.0,0.0,10.0,2.0,135.0,101.0,49.0,11.0,2.0,8.0,1.0,,,1.0,6.0,16.0,1.0,13.0,4.0,5.0,38.0,129.0,,1.0,0.0,72.0,13.0,,0.0,,43.0,43.0,4.0,69.0,1.0,2.0,9.0,4.0,1.0,101.0,,1.0,6.0,149.0,647.0,7.0,3.0,9.0,11.0,410.0,33.0,,,7.0,,1.0,4.0,6.0,14.0,483.0,41.0,95658,3.0,301.0,,1.0,329.0,7.0,0.0,9.0,10.0,40.0,2.0,2.0,0.0,12.0,3.0,9.0,47.0,427.0,6.0,14.0,16.0,3.0,56.0,,0.0,1.0,3.0,0.0,0.0,,,46.1,12.0,3.0,,2.0,3.0,34.0,4.0,502.0,11.0,2.0,23.0,6.0,12.0,5.0,179.0,3.0,5.0,10.0,44.0,17.0,7.0,23.0,7.0,1.0,14.0,7.0,4.0,1.0,,0.0,,2.0,1.0,1.0,2.0,1.0,4.0,1.0,,1.0,1.0,,1.0,,1.0,3.0,1.0,,2.0,0.0,1.0,3.0,3.0,1.0,,,3.0,0.0,0.0,,0.0,,,,,,,,,0.0,,1.0,1.0,1.0,0.0,,1.0,,,,,,,0.0,0.0,,,,0.0,,,,1.0,,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
13,2128411,2020-12-17 20:00:00,"Bramall Lane, Sheffield",,Away,Manchester United,Sheffield United,3,2,W,2,1,0,0,2.0,24.0,58.0,1.0,30.0,22.0,6.0,4.0,9.0,4.0,165.0,3.0,12.0,2.0,8.0,3.0,10.0,9.0,141.0,141.0,65.0,15.0,1.0,20.0,5.0,1.0,2.0,4.0,8.0,11.0,1.0,22.0,3.0,4.0,52.0,214.0,1.0,,0.0,133.0,8.0,1.0,2.0,3.0,81.0,63.0,7.0,89.0,1.0,5.0,15.0,6.0,2.0,141.0,2.0,,9.0,162.0,759.0,6.0,5.0,16.0,5.0,445.0,34.0,,,12.0,2.0,2.0,1.0,3.0,23.0,531.0,61.0,95658,6.0,253.0,3.0,,286.0,4.0,3.0,15.0,8.0,53.0,4.0,5.0,3.0,18.0,3.0,7.0,66.0,465.0,17.0,7.0,18.0,2.0,70.0,1.0,0.0,,6.0,1.0,0.0,1.0,2.0,59.9,22.0,4.0,,5.0,2.0,38.0,3.0,557.0,5.0,10.0,30.0,4.0,22.0,2.0,279.0,9.0,4.0,22.0,97.0,15.0,12.0,18.0,11.0,3.0,18.0,8.0,3.0,2.0,1.0,,1.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2.0,,,3.0,2.0,2.0,2.0,2.0,,,,1.0,2.0,,,,,3.0,,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,2.0,,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,
14,2128421,2020-12-20 16:30:00,"Old Trafford, Manchester",,Home,Manchester United,Leeds United,6,2,W,4,1,0,0,3.0,32.0,68.0,3.0,14.0,30.0,7.0,6.0,19.0,4.0,136.0,3.0,15.0,5.0,19.0,6.0,19.0,14.0,87.0,124.0,61.0,26.0,3.0,18.0,6.0,2.0,3.0,7.0,12.0,12.0,2.0,30.0,11.0,2.0,29.0,141.0,,,0.0,118.0,6.0,2.0,5.0,,59.0,29.0,14.0,46.0,3.0,1.0,19.0,7.0,,124.0,5.0,,14.0,85.0,568.0,10.0,4.0,34.0,10.0,257.0,38.0,,3.0,18.0,4.0,1.0,7.0,5.0,15.0,331.0,39.0,95658,14.0,137.0,3.0,1.0,161.0,3.0,4.0,19.0,10.0,43.0,2.0,3.0,4.0,10.0,3.0,5.0,33.0,273.0,6.0,4.0,7.0,8.0,42.0,2.0,0.0,4.0,13.0,5.0,0.0,,2.0,41.5,11.0,6.0,,3.0,6.0,24.0,11.0,354.0,10.0,9.0,14.0,6.0,30.0,5.0,205.0,15.0,2.0,17.0,83.0,20.0,18.0,19.0,17.0,3.0,26.0,10.0,11.0,,4.0,,,2.0,2.0,,1.0,,2.0,1.0,1.0,,,,1.0,,1.0,5.0,,1.0,2.0,2.0,,4.0,3.0,2.0,,,5.0,1.0,2.0,1.0,,1.0,,,3.0,1.0,,,2.0,1.0,1.0,,6.0,6.0,3.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,
15,2128430,2020-12-26 12:30:00,"King Power Stadium, Leicester",,Away,Manchester United,Leicester City,2,2,D,1,1,0,0,,35.0,67.0,1.0,17.0,17.0,1.0,1.0,8.0,2.0,143.0,,14.0,4.0,11.0,2.0,9.0,4.0,117.0,143.0,51.0,9.0,,12.0,1.0,,2.0,,7.0,11.0,1.0,17.0,,5.0,24.0,124.0,,,0.0,85.0,17.0,,2.0,2.0,47.0,41.0,5.0,56.0,1.0,7.0,22.0,1.0,2.0,143.0,5.0,1.0,6.0,123.0,623.0,5.0,1.0,16.0,9.0,334.0,33.0,,3.0,12.0,2.0,1.0,2.0,4.0,24.0,422.0,43.0,95658,8.0,231.0,3.0,3.0,264.0,10.0,2.0,22.0,5.0,55.0,4.0,3.0,2.0,19.0,5.0,5.0,33.0,351.0,10.0,10.0,9.0,,48.0,,0.0,4.0,5.0,2.0,0.0,4.0,2.0,45.6,16.0,5.0,1.0,3.0,1.0,33.0,,439.0,9.0,11.0,12.0,4.0,14.0,4.0,182.0,5.0,4.0,10.0,51.0,26.0,12.0,20.0,7.0,3.0,17.0,10.0,,1.0,2.0,1.0,,1.0,2.0,,,1.0,,,,,1.0,,,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,3.0,3.0,,,,,1.0,,,,,,,1.0,1.0,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,2.0,,,,,,1.0,,,,1.0,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
16,2128441,2020-12-29 20:00:00,"Old Trafford, Manchester",,Home,Manchester United,Wolverhampton Wanderers,1,0,W,0,0,0,0,,34.0,68.0,1.0,30.0,5.0,4.0,2.0,6.0,2.0,200.0,,23.0,4.0,11.0,1.0,9.0,3.0,150.0,130.0,46.0,11.0,2.0,9.0,1.0,,1.0,1.0,18.0,4.0,1.0,5.0,1.0,9.0,45.0,339.0,,1.0,0.0,255.0,11.0,,1.0,1.0,165.0,80.0,5.0,90.0,,17.0,18.0,5.0,7.0,130.0,2.0,,7.0,171.0,787.0,7.0,5.0,31.0,15.0,520.0,24.0,,,3.0,1.0,1.0,2.0,4.0,19.0,596.0,71.0,95658,4.0,199.0,3.0,9.0,210.0,8.0,,18.0,5.0,43.0,4.0,5.0,1.0,13.0,2.0,5.0,44.0,534.0,7.0,7.0,2.0,1.0,67.0,,0.0,5.0,2.0,1.0,0.0,3.0,,58.2,18.0,5.0,,5.0,3.0,55.0,2.0,611.0,15.0,7.0,24.0,5.0,40.0,3.0,419.0,6.0,8.0,13.0,202.0,34.0,3.0,15.0,10.0,3.0,20.0,10.0,2.0,,,,2.0,5.0,3.0,,,,,2.0,,,,,,,1.0,1.0,1.0,,3.0,,,2.0,2.0,,,,1.0,,1.0,,,,,,3.0,,,,,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
17,2128451,2021-01-01 20:00:00,"Old Trafford, Manchester",,Home,Manchester United,Aston Villa,2,1,W,1,0,0,0,2.0,34.0,62.0,3.0,27.0,25.0,7.0,4.0,12.0,4.0,162.0,1.0,21.0,3.0,9.0,2.0,15.0,9.0,100.0,119.0,51.0,19.0,2.0,15.0,4.0,,1.0,3.0,17.0,6.0,3.0,25.0,5.0,,29.0,184.0,,,0.0,141.0,22.0,,1.0,,69.0,53.0,11.0,54.0,,12.0,21.0,7.0,3.0,119.0,2.0,1.0,12.0,91.0,588.0,12.0,4.0,40.0,15.0,320.0,34.0,,3.0,13.0,1.0,4.0,4.0,4.0,14.0,387.0,41.0,95658,8.0,156.0,1.0,9.0,174.0,11.0,1.0,21.0,8.0,65.0,1.0,1.0,1.0,10.0,3.0,6.0,40.0,337.0,9.0,10.0,7.0,5.0,58.0,,0.0,2.0,10.0,2.0,0.0,1.0,1.0,48.4,10.0,6.0,2.0,1.0,5.0,36.0,5.0,407.0,15.0,11.0,19.0,5.0,30.0,3.0,250.0,12.0,,22.0,109.0,21.0,13.0,11.0,13.0,3.0,16.0,9.0,5.0,,2.0,1.0,1.0,4.0,1.0,,,,1.0,3.0,,,,,,2.0,2.0,2.0,1.0,1.0,3.0,1.0,,2.0,,3.0,,,2.0,1.0,,,,1.0,,1.0,2.0,,,,,1.0,1.0,2.0,,,,2.0,2.0,,,,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
18,2128458,2021-01-20 20:15:00,"Craven Cottage, London",,Away,Manchester United,Fulham,2,1,W,1,1,0,0,,,62.0,3.0,34.0,15.0,5.0,5.0,10.0,1.0,183.0,,,5.0,10.0,2.0,9.0,5.0,179.0,148.0,44.0,15.0,1.0,11.0,2.0,,,,28.0,11.0,1.0,15.0,6.0,6.0,43.0,329.0,,,0.0,203.0,10.0,,1.0,1.0,113.0,126.0,5.0,102.0,1.0,22.0,18.0,5.0,4.0,148.0,2.0,,8.0,172.0,841.0,8.0,3.0,26.0,11.0,535.0,25.0,,3.0,9.0,,1.0,3.0,4.0,32.0,620.0,63.0,95658,7.0,222.0,2.0,17.0,244.0,6.0,,18.0,7.0,44.0,2.0,6.0,2.0,15.0,4.0,3.0,61.0,546.0,6.0,11.0,12.0,3.0,73.0,,0.0,3.0,2.0,1.0,0.0,3.0,,61.6,30.0,4.0,,7.0,4.0,56.0,8.0,636.0,11.0,9.0,23.0,6.0,39.0,4.0,420.0,4.0,6.0,10.0,154.0,26.0,9.0,18.0,11.0,3.0,13.0,7.0,8.0,,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,2.0,,3.0,1.0,,5.0,3.0,1.0,,,2.0,1.0,2.0,,,,3.0,,1.0,,,,1.0,,,2.0,,,,,1.0,,,,,,2.0,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,
19,2128471,2021-01-17 16:30:00,"Anfield, Liverpool",,Away,Manchester United,Liverpool,0,0,D,0,0,0,0,,25.0,63.0,2.0,23.0,33.0,3.0,1.0,5.0,3.0,144.0,,8.0,4.0,13.0,,5.0,4.0,67.0,137.0,61.0,8.0,1.0,5.0,3.0,,,3.0,11.0,10.0,1.0,33.0,3.0,4.0,44.0,91.0,,1.0,0.0,83.0,6.0,,,1.0,51.0,22.0,5.0,54.0,1.0,8.0,14.0,3.0,2.0,137.0,1.0,,9.0,79.0,549.0,3.0,3.0,18.0,8.0,234.0,35.0,1.0,4.0,13.0,,1.0,8.0,,21.0,320.0,35.0,95658,4.0,165.0,2.0,5.0,191.0,3.0,,14.0,10.0,42.0,8.0,6.0,,9.0,8.0,9.0,53.0,252.0,15.0,15.0,19.0,2.0,50.0,,0.0,1.0,7.0,,0.0,2.0,,34.3,18.0,4.0,,6.0,3.0,23.0,3.0,344.0,8.0,12.0,23.0,1.0,22.0,,164.0,5.0,4.0,13.0,42.0,17.0,13.0,20.0,4.0,2.0,17.0,4.0,3.0,,,,1.0,3.0,2.0,2.0,,,,1.0,,2.0,,,2.0,,,2.0,1.0,,2.0,,,2.0,,,,,2.0,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,
20,2128479,2021-01-27 20:15:00,"Old Trafford, Manchester",,Home,Manchester United,Sheffield United,1,2,L,0,1,0,0,1.0,30.0,59.0,3.0,64.0,8.0,6.0,4.0,10.0,1.0,206.0,,12.0,4.0,17.0,1.0,10.0,4.0,242.0,143.0,72.0,16.0,4.0,5.0,1.0,,,1.0,23.0,11.0,2.0,8.0,6.0,10.0,42.0,398.0,1.0,,0.0,251.0,10.0,,,,153.0,114.0,7.0,108.0,,17.0,17.0,6.0,9.0,143.0,1.0,,5.0,247.0,986.0,8.0,1.0,28.0,4.0,690.0,29.0,,1.0,6.0,1.0,1.0,1.0,3.0,23.0,782.0,81.0,95658,6.0,317.0,1.0,8.0,336.0,7.0,,17.0,2.0,33.0,,2.0,,15.0,,2.0,80.0,711.0,12.0,3.0,6.0,4.0,76.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,75.8,23.0,4.0,1.0,2.0,7.0,57.0,7.0,803.0,4.0,7.0,30.0,5.0,42.0,5.0,490.0,8.0,10.0,23.0,195.0,24.0,6.0,21.0,10.0,3.0,25.0,8.0,7.0,,,,,1.0,2.0,2.0,2.0,1.0,3.0,1.0,,2.0,1.0,,,,1.0,1.0,,1.0,1.0,2.0,,4.0,2.0,2.0,,,3.0,2.0,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
21,2128486,2021-01-30 17:30:00,"Emirates Stadium, London",,Away,Manchester United,Arsenal,0,0,D,0,0,0,0,1.0,32.0,55.0,1.0,21.0,13.0,6.0,3.0,8.0,1.0,152.0,,18.0,6.0,6.0,,10.0,3.0,168.0,126.0,37.0,14.0,2.0,10.0,1.0,,,,24.0,4.0,2.0,13.0,6.0,7.0,31.0,273.0,2.0,1.0,0.0,150.0,16.0,,,,86.0,76.0,2.0,89.0,,18.0,21.0,6.0,9.0,126.0,2.0,,8.0,157.0,748.0,9.0,4.0,31.0,16.0,468.0,20.0,,3.0,7.0,,3.0,6.0,8.0,25.0,545.0,54.0,95658,4.0,219.0,2.0,9.0,248.0,12.0,,21.0,11.0,45.0,2.0,3.0,,11.0,9.0,10.0,40.0,486.0,9.0,6.0,13.0,3.0,45.0,,0.0,2.0,4.0,,0.0,5.0,,56.7,25.0,7.0,1.0,3.0,3.0,32.0,7.0,566.0,16.0,6.0,21.0,8.0,34.0,6.0,342.0,9.0,6.0,12.0,116.0,25.0,7.0,10.0,10.0,2.0,13.0,6.0,7.0,,,,1.0,3.0,1.0,1.0,1.0,,2.0,1.0,,1.0,,,,,,1.0,,,2.0,,1.0,2.0,1.0,2.0,,,1.0,,,,,,,,6.0,,,,,,,2.0,,,,3.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2128500,2021-02-02 20:15:00,"Old Trafford, Manchester",,Home,Manchester United,Southampton,9,0,W,4,0,0,2,2.0,28.0,52.0,2.0,26.0,4.0,10.0,3.0,14.0,4.0,168.0,3.0,12.0,4.0,7.0,9.0,18.0,14.0,180.0,128.0,38.0,24.0,3.0,8.0,2.0,,5.0,2.0,22.0,10.0,4.0,4.0,4.0,8.0,33.0,424.0,,1.0,0.0,308.0,11.0,,3.0,,133.0,86.0,13.0,80.0,1.0,18.0,13.0,10.0,4.0,128.0,6.0,2.0,1.0,198.0,784.0,12.0,3.0,55.0,8.0,542.0,17.0,,3.0,3.0,5.0,2.0,,5.0,18.0,616.0,58.0,95658,7.0,132.0,1.0,14.0,144.0,5.0,7.0,13.0,3.0,40.0,3.0,1.0,7.0,11.0,2.0,3.0,38.0,552.0,6.0,3.0,7.0,2.0,56.0,,0.0,1.0,3.0,8.0,0.0,3.0,5.0,74.6,17.0,10.0,,1.0,5.0,42.0,5.0,626.0,8.0,12.0,20.0,5.0,47.0,3.0,504.0,19.0,8.0,12.0,266.0,24.0,3.0,13.0,20.0,3.0,15.0,7.0,5.0,1.0,7.0,3.0,1.0,1.0,3.0,1.0,2.0,,1.0,,2.0,1.0,,,,,,1.0,2.0,,,,1.0,2.0,1.0,2.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,1.0,,1.0,,1.0,,,1.0,3.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
23,2128511,2021-02-06 20:00:00,"Old Trafford, Manchester",,Home,Manchester United,Everton,3,3,D,2,0,0,0,2.0,30.0,47.0,1.0,25.0,9.0,5.0,3.0,9.0,,182.0,1.0,15.0,5.0,11.0,3.0,11.0,5.0,183.0,114.0,45.0,14.0,2.0,11.0,2.0,,2.0,1.0,22.0,7.0,,9.0,5.0,13.0,22.0,337.0,1.0,,0.0,177.0,14.0,,2.0,3.0,116.0,84.0,6.0,97.0,,17.0,22.0,5.0,11.0,114.0,3.0,,5.0,191.0,820.0,6.0,3.0,22.0,8.0,567.0,18.0,,2.0,6.0,3.0,2.0,,5.0,14.0,631.0,48.0,95658,6.0,253.0,2.0,3.0,265.0,9.0,1.0,22.0,8.0,46.0,,3.0,2.0,9.0,1.0,7.0,38.0,585.0,9.0,5.0,9.0,2.0,68.0,,0.0,4.0,1.0,2.0,0.0,3.0,2.0,62.0,14.0,5.0,,3.0,3.0,51.0,5.0,653.0,8.0,10.0,14.0,6.0,28.0,4.0,410.0,7.0,12.0,11.0,145.0,20.0,6.0,14.0,10.0,2.0,17.0,12.0,5.0,,1.0,,,,4.0,1.0,1.0,,3.0,,,1.0,,,,2.0,2.0,2.0,,,,3.0,1.0,4.0,1.0,,,,2.0,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,1.0,,2.0,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,
24,2128524,2021-02-14 14:00:00,"The Hawthorns, West Bromwich",,Away,Manchester United,West Bromwich Albion,1,1,D,1,1,0,0,2.0,28.0,47.0,2.0,28.0,9.0,4.0,3.0,6.0,3.0,202.0,,13.0,6.0,10.0,1.0,9.0,7.0,229.0,153.0,52.0,10.0,1.0,14.0,3.0,,1.0,3.0,26.0,7.0,3.0,9.0,5.0,9.0,39.0,392.0,2.0,,0.0,280.0,10.0,,1.0,1.0,106.0,108.0,9.0,93.0,,21.0,26.0,4.0,6.0,153.0,,1.0,6.0,183.0,873.0,7.0,6.0,38.0,2.0,587.0,19.0,,,4.0,1.0,0.0,,,28.0,684.0,73.0,95658,5.0,223.0,,14.0,252.0,5.0,,26.0,8.0,42.0,3.0,2.0,1.0,15.0,1.0,8.0,48.0,609.0,12.0,6.0,7.0,3.0,56.0,,0.0,1.0,4.0,1.0,0.0,3.0,1.0,73.1,26.0,4.0,,2.0,3.0,42.0,5.0,707.0,2.0,5.0,15.0,,48.0,,481.0,5.0,7.0,20.0,224.0,22.0,4.0,10.0,7.0,2.0,19.0,9.0,5.0,,,,,2.0,4.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,2.0,1.0,1.0,2.0,,,,,3.0,1.0,1.0,,,,1.0,,,,,,,,,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
25,2128532,2021-02-21 19:00:00,"Old Trafford, Manchester",,Home,Manchester United,Newcastle United,3,1,W,1,1,0,0,1.0,26.0,59.0,3.0,20.0,12.0,6.0,4.0,9.0,2.0,186.0,,15.0,5.0,12.0,3.0,14.0,7.0,201.0,134.0,52.0,15.0,1.0,9.0,2.0,,2.0,1.0,16.0,6.0,2.0,12.0,6.0,17.0,26.0,311.0,,,0.0,197.0,9.0,,3.0,1.0,137.0,65.0,10.0,119.0,,10.0,22.0,6.0,4.0,134.0,1.0,,3.0,186.0,861.0,9.0,3.0,26.0,5.0,585.0,29.0,,,7.0,2.0,1.0,1.0,4.0,16.0,675.0,68.0,95658,3.0,294.0,,5.0,325.0,6.0,3.0,22.0,5.0,42.0,2.0,6.0,2.0,10.0,7.0,4.0,42.0,600.0,11.0,8.0,10.0,3.0,68.0,,0.0,2.0,4.0,3.0,0.0,,,71.6,16.0,3.0,3.0,7.0,4.0,47.0,6.0,692.0,5.0,13.0,16.0,4.0,27.0,1.0,383.0,8.0,15.0,18.0,160.0,20.0,7.0,11.0,11.0,3.0,15.0,6.0,6.0,,2.0,2.0,4.0,5.0,3.0,,4.0,1.0,,4.0,,,1.0,,,1.0,1.0,3.0,,,1.0,1.0,,3.0,1.0,1.0,,,5.0,1.0,,,,1.0,,,2.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,,,,,1.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
26,2128536,2021-02-28 16:30:00,"Stamford Bridge, London",,Away,Manchester United,Chelsea,0,0,D,0,0,0,0,1.0,30.0,53.0,,22.0,17.0,9.0,2.0,2.0,3.0,128.0,,18.0,,6.0,,9.0,4.0,116.0,137.0,37.0,11.0,5.0,6.0,2.0,,,,13.0,5.0,2.0,17.0,4.0,11.0,31.0,163.0,,1.0,0.0,139.0,12.0,,,1.0,59.0,52.0,7.0,76.0,1.0,9.0,22.0,9.0,4.0,137.0,,1.0,8.0,123.0,634.0,9.0,2.0,10.0,6.0,344.0,17.0,1.0,,8.0,,2.0,5.0,2.0,26.0,422.0,39.0,95658,1.0,201.0,,4.0,226.0,8.0,,9.0,10.0,58.0,3.0,7.0,,15.0,10.0,10.0,39.0,364.0,11.0,16.0,8.0,,31.0,,0.0,2.0,3.0,,0.0,,,42.5,25.0,11.0,2.0,7.0,5.0,18.0,4.0,443.0,6.0,14.0,18.0,2.0,20.0,,230.0,9.0,10.0,6.0,102.0,17.0,8.0,14.0,9.0,1.0,16.0,9.0,4.0,,,,4.0,6.0,2.0,1.0,,,,2.0,1.0,1.0,,,1.0,,,,1.0,,2.0,,2.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,
