gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,handBall,attLfTotal,attLfGoal,attPenTarget,attFreekickTotal,attIboxTarget,attObxLeft,attSvLowLeft,freekickTotal,attGoalHighCentre,bigChanceMissed,attAssistSetplay,attCorner,goalsConceded,attFreekickMiss,ptsDroppedWinningPos,attPenPost,attBxRight,postScoringAtt,attIboxPost,attGoalHighRight,goodHighClaim,attPostLeft,attHdTarget,hitWoodwork,attMissHighLeft,accurateFreekickCross,sixYardBlock,attSetpiece,attCmissHigh,attMissHigh,goalsConcededIbox,attLfTarget,attCmissRight,attMissRight,attSvLowRight,punches,attCmissHighRight,shieldBallOop,attSvHighCentre,attSvHighLeft,attFreekickPost,errorLeadToShot,attFreekickTarget,attOboxPost,attPostHigh,attCmissLeft,attSvHighRight,totalPullBack,errorLeadToGoal,attGoalLowCentre,attOneOnOne,attPostRight,accuratePullBack,accurateKeeperSweeper,totalKeeperSweeper,ptsGainedLosingPos,attHdPost,defenderGoals,attHdGoal,attObxRight,attObxdLeft,ownGoals,attIboxOwnGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdRight,goalAssistSetplay,foulThrowIn,goalAssistDeadball,attCmissHighLeft,attLgCentre,attFreekickGoal
11,1059802,2019-11-02 12:30:00,"Vitality Stadium, Bournemouth",10669.0,Away,Manchester United,Bournemouth,0,1,L,0,1,0,0,,61.0,,,,1.0,22.0,11.0,10.0,5.0,5.0,3.0,186.0,5.0,10.0,,2.0,14.0,4.0,128.0,168.0,47.0,15.0,4.0,15.0,1.0,,4.0,,1.0,23.0,11.0,4.0,11.0,9.0,2.0,37.0,222.0,,,,,0.0,163.0,12.0,1.0,1.0,,1.0,50.0,93.0,9.0,61.0,,14.0,25.0,10.0,3.0,2.0,168.0,1.0,1.0,9.0,113.0,700.0,13.0,3.0,17.0,12.0,364.0,26.0,5.0,5.0,,3.0,3.0,5.0,27.0,464.0,59.0,,95658,2.0,166.0,10.0,196.0,5.0,,25.0,7.0,44.0,2.0,4.0,3.0,,21.0,4.0,4.0,,60.0,383.0,13.0,5.0,18.0,72.0,1.0,,0.0,,4.0,5.0,,1.0,0.0,3.0,,1.0,57.4,20.0,1.0,1.0,1.0,3.0,5.0,32.0,10.0,,488.0,12.0,7.0,10.0,6.0,35.0,2.0,3.0,315.0,10.0,2.0,7.0,116.0,30.0,,1.0,5.0,18.0,12.0,3.0,16.0,1.0,12.0,10.0,,,4.0,,,,,,,,,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,1059816,2019-11-10 14:00:00,"Old Trafford, Manchester",73556.0,Home,Manchester United,Brighton and Hove Albion,3,1,W,2,0,0,0,2.0,71.0,1.0,,,2.0,18.0,11.0,9.0,12.0,1.0,6.0,129.0,2.0,18.0,3.0,5.0,17.0,11.0,84.0,139.0,67.0,21.0,3.0,14.0,3.0,3.0,3.0,,2.0,17.0,14.0,4.0,11.0,5.0,4.0,29.0,140.0,,,,,0.0,115.0,10.0,,3.0,3.0,3.0,54.0,50.0,13.0,52.0,1.0,12.0,17.0,9.0,2.0,2.0,139.0,5.0,2.0,5.0,93.0,577.0,13.0,5.0,33.0,10.0,268.0,29.0,1.0,7.0,3.0,2.0,1.0,4.0,15.0,335.0,35.0,2.0,95658,6.0,149.0,7.0,174.0,10.0,1.0,17.0,6.0,61.0,3.0,,3.0,2.0,18.0,1.0,6.0,,42.0,287.0,14.0,9.0,11.0,54.0,3.0,1.0,0.0,4.0,2.0,1.0,3.0,3.0,0.0,1.0,2.0,1.0,42.7,12.0,1.0,10.0,2.0,3.0,5.0,30.0,5.0,,358.0,10.0,20.0,13.0,5.0,23.0,1.0,3.0,201.0,14.0,4.0,11.0,89.0,27.0,,4.0,7.0,24.0,17.0,3.0,26.0,4.0,6.0,5.0,,,6.0,2.0,,2.0,4.0,,2.0,2.0,,3.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,,1.0,,2.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13,1059829,2019-11-24 16:30:00,"Bramall Lane, Sheffield",32024.0,Away,Manchester United,Sheffield United,3,3,D,0,1,0,0,2.0,68.0,1.0,1.0,3.0,1.0,25.0,21.0,4.0,7.0,5.0,1.0,185.0,2.0,9.0,3.0,1.0,9.0,5.0,167.0,160.0,55.0,11.0,1.0,22.0,,2.0,,,2.0,11.0,6.0,1.0,21.0,2.0,8.0,45.0,248.0,1.0,,,,0.0,150.0,10.0,2.0,,1.0,1.0,66.0,86.0,6.0,63.0,,9.0,14.0,4.0,,2.0,160.0,2.0,,5.0,172.0,789.0,7.0,6.0,17.0,9.0,452.0,33.0,2.0,13.0,2.0,2.0,1.0,3.0,26.0,559.0,61.0,,95658,5.0,230.0,8.0,268.0,5.0,1.0,14.0,7.0,52.0,,1.0,6.0,3.0,20.0,7.0,6.0,,52.0,476.0,13.0,8.0,11.0,75.0,,,0.0,3.0,6.0,2.0,3.0,1.0,0.0,2.0,2.0,,59.4,24.0,,1.0,1.0,7.0,2.0,43.0,3.0,1.0,587.0,9.0,4.0,18.0,4.0,21.0,,2.0,330.0,7.0,7.0,23.0,106.0,26.0,1.0,7.0,13.0,10.0,10.0,3.0,18.0,7.0,8.0,3.0,1.0,1.0,4.0,2.0,,,1.0,,1.0,,,,,1.0,3.0,,2.0,,,,,,1.0,,,,,,,,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
14,1059836,2019-12-01 16:30:00,"Old Trafford, Manchester",73381.0,Home,Manchester United,Aston Villa,2,2,D,1,1,0,0,,53.0,,,1.0,,21.0,15.0,6.0,10.0,1.0,3.0,186.0,3.0,8.0,2.0,2.0,11.0,6.0,145.0,141.0,36.0,16.0,3.0,8.0,,,2.0,,,29.0,3.0,,15.0,7.0,4.0,32.0,248.0,1.0,,,,0.0,185.0,16.0,,,,2.0,73.0,81.0,7.0,68.0,1.0,22.0,17.0,6.0,6.0,3.0,141.0,1.0,1.0,7.0,126.0,714.0,10.0,5.0,37.0,10.0,431.0,28.0,2.0,7.0,,4.0,1.0,4.0,23.0,503.0,54.0,1.0,95658,3.0,207.0,14.0,231.0,8.0,,17.0,7.0,55.0,3.0,1.0,4.0,,15.0,2.0,7.0,,42.0,452.0,7.0,10.0,7.0,63.0,,,0.0,2.0,9.0,,2.0,1.0,0.0,2.0,,4.0,62.3,21.0,1.0,2.0,,4.0,3.0,42.0,9.0,,525.0,10.0,7.0,18.0,7.0,35.0,1.0,3.0,323.0,6.0,4.0,15.0,153.0,19.0,,4.0,7.0,6.0,13.0,3.0,23.0,4.0,6.0,9.0,,,6.0,,,,5.0,,,,,3.0,1.0,3.0,2.0,,2.0,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
15,1059845,2019-12-04 19:30:00,"Old Trafford, Manchester",73252.0,Home,Manchester United,Tottenham Hotspur,2,1,W,1,1,0,0,1.0,72.0,1.0,1.0,1.0,2.0,20.0,15.0,4.0,7.0,4.0,5.0,167.0,2.0,13.0,2.0,2.0,7.0,7.0,98.0,156.0,53.0,12.0,,16.0,1.0,,1.0,,2.0,10.0,12.0,3.0,15.0,4.0,5.0,35.0,168.0,,,,1.0,0.0,131.0,9.0,3.0,1.0,2.0,,80.0,52.0,6.0,67.0,1.0,6.0,17.0,5.0,1.0,2.0,156.0,,,5.0,109.0,638.0,7.0,5.0,25.0,16.0,324.0,28.0,1.0,9.0,,0.0,2.0,1.0,28.0,423.0,53.0,1.0,95658,2.0,169.0,5.0,205.0,4.0,2.0,17.0,5.0,65.0,2.0,1.0,6.0,1.0,12.0,3.0,4.0,1.0,58.0,335.0,9.0,22.0,18.0,72.0,1.0,,0.0,2.0,3.0,3.0,2.0,1.0,0.0,1.0,,,46.6,19.0,,6.0,3.0,6.0,2.0,35.0,4.0,,441.0,16.0,7.0,10.0,3.0,20.0,1.0,1.0,246.0,11.0,3.0,11.0,90.0,28.0,,3.0,9.0,20.0,10.0,2.0,24.0,3.0,9.0,4.0,,,1.0,,,1.0,2.0,,,1.0,,,,,1.0,1.0,,,2.0,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,3.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16,1059856,2019-12-07 17:30:00,"Etihad Stadium, Manchester",54403.0,Away,Manchester United,Manchester City,2,1,W,2,0,0,0,1.0,53.0,,2.0,3.0,1.0,10.0,39.0,2.0,9.0,4.0,3.0,113.0,1.0,8.0,2.0,3.0,10.0,7.0,58.0,110.0,48.0,11.0,1.0,12.0,2.0,1.0,3.0,,,9.0,12.0,,39.0,1.0,1.0,24.0,87.0,,,,1.0,0.0,70.0,10.0,2.0,2.0,1.0,3.0,41.0,24.0,8.0,31.0,4.0,8.0,17.0,2.0,3.0,,110.0,,1.0,17.0,63.0,475.0,9.0,2.0,16.0,11.0,184.0,33.0,,18.0,1.0,2.0,10.0,2.0,14.0,239.0,28.0,,95658,5.0,113.0,2.0,140.0,5.0,1.0,17.0,14.0,48.0,,,3.0,1.0,11.0,5.0,10.0,1.0,34.0,199.0,10.0,13.0,10.0,42.0,2.0,,0.0,4.0,16.0,1.0,2.0,,0.0,1.0,1.0,,28.1,8.0,,2.0,1.0,4.0,2.0,16.0,3.0,,265.0,11.0,7.0,13.0,2.0,17.0,,1.0,134.0,8.0,1.0,11.0,50.0,11.0,1.0,7.0,18.0,19.0,10.0,3.0,15.0,7.0,8.0,3.0,,1.0,3.0,1.0,,,5.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,2.0,,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,1059868,2019-12-15 14:00:00,"Old Trafford, Manchester",63328.0,Home,Manchester United,Everton,1,1,D,0,1,0,0,,50.0,,1.0,2.0,3.0,18.0,18.0,13.0,9.0,3.0,6.0,179.0,5.0,13.0,1.0,5.0,17.0,8.0,144.0,145.0,69.0,24.0,5.0,18.0,,1.0,4.0,,2.0,31.0,11.0,5.0,18.0,6.0,4.0,25.0,248.0,3.0,,1.0,,0.0,174.0,10.0,1.0,,,3.0,114.0,65.0,12.0,60.0,1.0,25.0,12.0,15.0,3.0,4.0,145.0,,2.0,3.0,146.0,759.0,15.0,2.0,24.0,7.0,434.0,23.0,,7.0,1.0,1.0,,5.0,30.0,509.0,68.0,1.0,95658,6.0,211.0,19.0,234.0,7.0,,12.0,8.0,51.0,5.0,2.0,3.0,1.0,17.0,6.0,8.0,,40.0,454.0,12.0,4.0,9.0,70.0,,,0.0,2.0,5.0,1.0,,2.0,0.0,2.0,,,66.5,28.0,,2.0,2.0,3.0,8.0,45.0,6.0,,529.0,7.0,11.0,11.0,8.0,37.0,3.0,4.0,326.0,16.0,3.0,30.0,143.0,22.0,,3.0,7.0,14.0,18.0,2.0,23.0,3.0,6.0,6.0,,,6.0,1.0,,2.0,2.0,,1.0,2.0,,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,2.0,,,1.0,,,1.0,,,,,,,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,
18,1059880,2019-12-22 14:00:00,"Vicarage Road, Watford",21488.0,Away,Manchester United,Watford,0,2,L,0,0,0,0,,63.0,,,1.0,2.0,24.0,22.0,6.0,10.0,1.0,5.0,180.0,3.0,17.0,,4.0,14.0,8.0,171.0,138.0,73.0,17.0,1.0,11.0,,,2.0,,1.0,14.0,8.0,3.0,22.0,3.0,10.0,34.0,268.0,1.0,,,,0.0,178.0,11.0,1.0,,,2.0,121.0,44.0,10.0,69.0,,11.0,13.0,7.0,4.0,3.0,138.0,3.0,,8.0,142.0,767.0,12.0,4.0,23.0,9.0,447.0,30.0,3.0,16.0,,1.0,4.0,4.0,17.0,536.0,63.0,5.0,95658,5.0,208.0,5.0,241.0,5.0,,13.0,4.0,53.0,7.0,4.0,5.0,,9.0,3.0,4.0,,45.0,473.0,14.0,13.0,12.0,53.0,,,0.0,5.0,3.0,,,1.0,0.0,2.0,,3.0,63.9,16.0,1.0,3.0,3.0,5.0,3.0,40.0,5.0,,562.0,9.0,8.0,19.0,6.0,30.0,1.0,3.0,335.0,10.0,8.0,25.0,138.0,25.0,,,16.0,18.0,12.0,3.0,28.0,,5.0,5.0,,1.0,4.0,,,2.0,5.0,,3.0,2.0,,3.0,2.0,2.0,2.0,1.0,,,,,,,,,2.0,,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,2.0,1.0,,,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,
19,1059888,2019-12-26 17:30:00,"Old Trafford, Manchester",73206.0,Home,Manchester United,Newcastle United,4,1,W,3,1,0,0,2.0,57.0,1.0,1.0,,2.0,33.0,2.0,13.0,8.0,1.0,3.0,180.0,4.0,13.0,4.0,5.0,15.0,10.0,255.0,131.0,49.0,22.0,3.0,17.0,1.0,2.0,2.0,,2.0,16.0,12.0,4.0,2.0,3.0,14.0,35.0,447.0,1.0,,1.0,,0.0,244.0,10.0,,1.0,2.0,1.0,104.0,121.0,9.0,116.0,,13.0,18.0,14.0,5.0,5.0,131.0,2.0,,5.0,264.0,986.0,12.0,2.0,24.0,10.0,716.0,18.0,1.0,1.0,2.0,2.0,,6.0,18.0,799.0,69.0,1.0,95658,4.0,289.0,7.0,311.0,6.0,2.0,18.0,7.0,56.0,2.0,1.0,1.0,4.0,14.0,2.0,7.0,,47.0,732.0,6.0,10.0,8.0,76.0,1.0,1.0,0.0,1.0,,1.0,3.0,1.0,0.0,3.0,2.0,1.0,73.3,18.0,,8.0,2.0,1.0,5.0,64.0,5.0,,815.0,10.0,11.0,21.0,7.0,33.0,1.0,1.0,520.0,10.0,14.0,14.0,199.0,30.0,2.0,,1.0,17.0,16.0,3.0,22.0,,10.0,5.0,,1.0,10.0,1.0,,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,4.0,1.0,,,,2.0,1.0,,,,,,1.0,1.0,,,,,2.0,1.0,3.0,,,,,,1.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,3.0,,,1.0,,1.0,,,,,,,,,,,,
20,1059894,2019-12-28 19:45:00,"Turf Moor, Burnley",21924.0,Away,Manchester United,Burnley,2,0,W,1,0,0,0,2.0,56.0,,1.0,1.0,2.0,19.0,20.0,7.0,6.0,1.0,3.0,168.0,1.0,14.0,2.0,5.0,8.0,5.0,135.0,138.0,55.0,14.0,4.0,21.0,1.0,2.0,1.0,1.0,1.0,8.0,3.0,1.0,20.0,1.0,5.0,37.0,203.0,,1.0,,,0.0,152.0,10.0,1.0,2.0,1.0,1.0,80.0,61.0,7.0,73.0,,7.0,13.0,8.0,2.0,2.0,138.0,2.0,,4.0,125.0,675.0,6.0,6.0,25.0,2.0,387.0,27.0,2.0,13.0,2.0,3.0,2.0,1.0,21.0,470.0,57.0,3.0,95658,3.0,205.0,4.0,230.0,4.0,2.0,13.0,9.0,49.0,4.0,2.0,5.0,2.0,15.0,4.0,4.0,,52.0,407.0,17.0,7.0,15.0,78.0,1.0,,0.0,2.0,5.0,,2.0,3.0,0.0,1.0,2.0,,61.4,16.0,,2.0,1.0,5.0,6.0,39.0,4.0,,501.0,2.0,8.0,15.0,3.0,21.0,,,279.0,11.0,3.0,20.0,108.0,22.0,1.0,4.0,13.0,6.0,9.0,2.0,19.0,4.0,4.0,4.0,,1.0,3.0,,,3.0,2.0,,1.0,3.0,,1.0,,2.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,2.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,
21,1059902,2020-01-01 20:00:00,"Emirates Stadium, London",60328.0,Away,Manchester United,Arsenal,0,2,L,0,2,0,0,,55.0,,,,1.0,11.0,7.0,5.0,5.0,2.0,3.0,168.0,2.0,19.0,,3.0,8.0,4.0,148.0,135.0,51.0,10.0,2.0,7.0,,,4.0,,1.0,16.0,5.0,2.0,7.0,3.0,10.0,34.0,243.0,,,,,0.0,150.0,15.0,1.0,,,2.0,88.0,72.0,6.0,80.0,1.0,13.0,20.0,5.0,2.0,1.0,135.0,1.0,,8.0,146.0,729.0,7.0,3.0,24.0,10.0,444.0,19.0,1.0,1.0,,0.0,1.0,2.0,27.0,524.0,50.0,2.0,95658,1.0,221.0,9.0,251.0,12.0,,20.0,6.0,54.0,2.0,,5.0,,13.0,2.0,6.0,,32.0,462.0,11.0,13.0,8.0,58.0,,,0.0,6.0,1.0,2.0,,1.0,0.0,2.0,,1.0,51.2,24.0,,2.0,2.0,5.0,3.0,44.0,4.0,,542.0,10.0,10.0,15.0,3.0,23.0,,2.0,307.0,6.0,10.0,9.0,109.0,29.0,,2.0,1.0,12.0,8.0,3.0,28.0,2.0,6.0,4.0,,,3.0,,,1.0,2.0,,,1.0,,1.0,1.0,,2.0,1.0,,,1.0,,,,,,1.0,,,1.0,,1.0,,2.0,2.0,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1059918,2020-01-11 15:00:00,"Old Trafford, Manchester",73271.0,Home,Manchester United,Norwich City,4,0,W,1,0,0,0,3.0,69.0,1.0,3.0,2.0,3.0,39.0,8.0,4.0,9.0,3.0,2.0,181.0,3.0,17.0,4.0,2.0,9.0,6.0,159.0,152.0,55.0,13.0,,6.0,,1.0,1.0,,1.0,16.0,12.0,1.0,8.0,1.0,11.0,38.0,359.0,,1.0,1.0,1.0,0.0,258.0,18.0,2.0,,2.0,,98.0,113.0,5.0,108.0,,15.0,24.0,4.0,6.0,2.0,152.0,3.0,,1.0,198.0,847.0,7.0,2.0,42.0,14.0,541.0,24.0,1.0,4.0,2.0,0.0,3.0,4.0,23.0,633.0,70.0,1.0,95658,4.0,198.0,9.0,219.0,10.0,1.0,24.0,3.0,64.0,2.0,2.0,5.0,2.0,18.0,7.0,3.0,1.0,56.0,554.0,7.0,19.0,9.0,47.0,,,0.0,2.0,2.0,1.0,3.0,,0.0,3.0,2.0,1.0,59.6,21.0,,6.0,2.0,5.0,3.0,34.0,4.0,,646.0,14.0,12.0,23.0,4.0,35.0,,2.0,443.0,7.0,11.0,10.0,206.0,34.0,1.0,2.0,4.0,21.0,11.0,3.0,27.0,2.0,12.0,4.0,,1.0,5.0,2.0,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,3.0,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,
23,1059925,2020-01-19 16:30:00,"Anfield, Liverpool",52916.0,Away,Manchester United,Liverpool,0,2,L,0,1,0,0,,69.0,,,2.0,,10.0,34.0,5.0,4.0,3.0,1.0,170.0,3.0,9.0,,2.0,5.0,4.0,110.0,153.0,44.0,9.0,1.0,16.0,1.0,,3.0,,3.0,18.0,8.0,3.0,34.0,4.0,1.0,30.0,162.0,,,,,0.0,105.0,10.0,2.0,1.0,,2.0,81.0,43.0,2.0,57.0,,14.0,14.0,5.0,3.0,1.0,153.0,2.0,,12.0,118.0,659.0,5.0,6.0,18.0,13.0,344.0,28.0,2.0,16.0,,3.0,5.0,3.0,22.0,432.0,33.0,,95658,2.0,201.0,9.0,237.0,5.0,,14.0,9.0,64.0,,3.0,4.0,,8.0,4.0,8.0,,37.0,360.0,7.0,16.0,16.0,56.0,1.0,,0.0,2.0,11.0,1.0,,1.0,0.0,2.0,,,46.8,14.0,,2.0,1.0,4.0,1.0,22.0,5.0,,455.0,13.0,17.0,13.0,4.0,27.0,1.0,3.0,236.0,5.0,1.0,13.0,82.0,32.0,,1.0,16.0,16.0,7.0,3.0,14.0,1.0,6.0,5.0,,,4.0,,,,1.0,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,1.0,,,1.0,1.0,2.0,3.0,,,,1.0,,1.0,1.0,,,,,,,3.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
24,1059936,2020-01-22 20:15:00,"Old Trafford, Manchester",73198.0,Home,Manchester United,Burnley,0,2,L,0,1,0,0,,67.0,,,,2.0,25.0,13.0,13.0,11.0,,3.0,188.0,4.0,10.0,,2.0,20.0,7.0,200.0,157.0,61.0,24.0,5.0,25.0,,,2.0,,3.0,24.0,8.0,3.0,13.0,2.0,6.0,39.0,339.0,2.0,,,,0.0,253.0,11.0,,,,1.0,88.0,84.0,12.0,95.0,,22.0,15.0,13.0,9.0,5.0,157.0,,1.0,4.0,209.0,880.0,18.0,3.0,35.0,7.0,579.0,33.0,2.0,8.0,,0.0,1.0,8.0,34.0,677.0,63.0,,95658,9.0,257.0,12.0,295.0,3.0,,15.0,2.0,48.0,,2.0,7.0,,16.0,1.0,1.0,,49.0,592.0,7.0,1.0,13.0,61.0,,,0.0,1.0,2.0,,,2.0,0.0,3.0,,3.0,72.2,29.0,1.0,2.0,1.0,7.0,7.0,39.0,5.0,,692.0,7.0,8.0,18.0,10.0,41.0,1.0,5.0,421.0,12.0,5.0,34.0,208.0,23.0,,1.0,8.0,10.0,21.0,3.0,15.0,1.0,2.0,5.0,,,9.0,,,1.0,4.0,,2.0,1.0,,,2.0,1.0,2.0,1.0,,,,,,,,,2.0,,,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,,,2.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,1059947,2020-02-01 17:30:00,"Old Trafford, Manchester",73363.0,Home,Manchester United,Wolverhampton Wanderers,0,0,D,0,0,0,0,,62.0,,,,1.0,26.0,12.0,10.0,6.0,4.0,4.0,167.0,5.0,13.0,,4.0,9.0,5.0,196.0,140.0,55.0,16.0,2.0,8.0,,,2.0,,3.0,23.0,11.0,4.0,12.0,2.0,5.0,30.0,390.0,,1.0,,,0.0,266.0,14.0,,,,2.0,97.0,137.0,5.0,88.0,,21.0,16.0,10.0,4.0,4.0,140.0,1.0,,13.0,182.0,851.0,8.0,2.0,29.0,5.0,539.0,20.0,2.0,1.0,,3.0,6.0,4.0,26.0,611.0,67.0,,95658,4.0,175.0,15.0,186.0,9.0,,16.0,6.0,66.0,,,3.0,,18.0,2.0,6.0,,37.0,560.0,14.0,16.0,3.0,55.0,,,0.0,1.0,6.0,4.0,,2.0,0.0,5.0,,2.0,63.7,24.0,2.0,5.0,1.0,3.0,3.0,44.0,4.0,,633.0,5.0,20.0,15.0,8.0,40.0,,4.0,470.0,10.0,4.0,9.0,224.0,34.0,,1.0,1.0,19.0,12.0,3.0,21.0,1.0,6.0,4.0,,,3.0,,,1.0,1.0,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,,2.0,,,,1.0,3.0,5.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1059955,2020-02-17 20:00:00,"Stamford Bridge, London",40504.0,Away,Manchester United,Chelsea,2,0,W,1,0,0,0,,62.0,1.0,1.0,,2.0,19.0,27.0,2.0,7.0,1.0,1.0,126.0,4.0,10.0,2.0,2.0,7.0,3.0,96.0,130.0,45.0,9.0,,15.0,,1.0,1.0,,1.0,16.0,6.0,,27.0,6.0,4.0,31.0,156.0,,1.0,,,0.0,98.0,11.0,1.0,,,2.0,91.0,36.0,5.0,55.0,4.0,10.0,19.0,2.0,4.0,1.0,130.0,1.0,,11.0,105.0,568.0,5.0,5.0,13.0,15.0,289.0,27.0,3.0,17.0,2.0,3.0,10.0,2.0,16.0,361.0,38.0,,95658,4.0,152.0,4.0,171.0,8.0,,19.0,7.0,54.0,,,1.0,1.0,15.0,6.0,6.0,,43.0,304.0,9.0,10.0,13.0,57.0,,,0.0,5.0,9.0,1.0,2.0,,0.0,3.0,2.0,2.0,38.8,15.0,,2.0,2.0,1.0,2.0,33.0,8.0,,382.0,15.0,15.0,17.0,4.0,18.0,1.0,2.0,227.0,6.0,2.0,16.0,70.0,30.0,1.0,2.0,17.0,12.0,5.0,3.0,13.0,2.0,10.0,8.0,,,1.0,,,1.0,1.0,,,1.0,,1.0,,3.0,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,1.0,2.0,,,,,,,,,1.0,1.0,1.0,,,
