gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,penaltySave,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,fouledFinalThird,attOneOnOne,attMissHighRight,freekickCross,contentiousDecision,totalFlickOn,attHdTarget,accurateFreekickCross,bigChanceMissed,attSetpiece,overrun,attBxLeft,penGoalsConceded,attGoalLowCentre,attFreekickTotal,attBxRight,attSvLowLeft,goodHighClaim,interceptionsInBox,freekickTotal,errorLeadToShot,attRfGoal,accurateFlickOn,attSvHighCentre,totalHighClaim,attFreekickMiss,goalsConcededObox,attLfTarget,attOboxTarget,errorLeadToGoal,ptsGainedLosingPos,attSvHighLeft,attSvLowRight,goalAssistSetplay,attGoalHighRight,attSvHighRight,attOboxGoal,midfielderGoals,attCmissHighLeft,secondYellow,punches,accurateKeeperSweeper,totalKeeperSweeper,attGoalHighLeft,sixYardBlock,goalAssistDeadball,attLfGoal,ownGoals,attIboxOwnGoal,penaltyWon,attGoalHighCentre,attPenGoal,attCmissHighRight,cleanSheet,attFreekickTarget,attLgLeft,attObxLeft,postScoringAtt,attIboxPost,attPostRight,attLgCentre,attFreekickGoal,attPostLeft,attHdPost,attPostHigh,foulThrowIn,goalFastbreak
11,2210373,2021-11-06 17:30:00,"American Express Stadium, Falmer",31267,Away,Newcastle United,Brighton and Hove Albion,1,1,D,0,1,0,1,,,19.0,43.0,,,,1.0,18.0,9.0,2.0,1.0,4.0,4.0,,108.0,11.0,2.0,4.0,1.0,4.0,,,1.0,75.0,117.0,51.0,6.0,,11.0,,,,,3.0,18.0,15.0,9.0,5.0,2.0,20.0,88.0,0.0,64.0,10.0,1.0,,25.0,55.0,2.0,51.0,,13.0,14.0,2.0,3.0,2.0,117.0,,10.0,92.0,499.0,2.0,17.0,,9.0,241.0,21.0,,5.0,5.0,1.0,4.0,3.0,2.0,20.0,300.0,36.0,,90105,3.0,173.0,10.0,1.0,199.0,5.0,,14.0,6.0,36.0,,,,1.0,9.0,,15.0,4.0,5.0,,43.0,259.0,15.0,1.0,1.0,17.0,2.0,47.0,,1.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,,1.0,34.3,17.0,1.0,2.0,9.0,1.0,,29.0,5.0,1.0,326.0,9.0,10.0,5.0,4.0,25.0,1.0,2.0,145.0,4.0,2.0,9.0,39.0,10.0,,1.0,5.0,23.0,,1.0,1.0,2.0,9.0,,1.0,6.0,5.0,1.0,1.0,,1.0,,,2.0,,,,3.0,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2210386,2021-11-20 15:00:00,"St. James' Park, Newcastle",52131,Home,Newcastle United,Brentford,3,3,D,2,2,0,0,,2.0,34.0,61.0,3.0,,1.0,1.0,32.0,18.0,7.0,3.0,16.0,1.0,2.0,131.0,14.0,10.0,12.0,3.0,20.0,,3.0,9.0,75.0,167.0,62.0,23.0,4.0,15.0,5.0,,1.0,1.0,4.0,31.0,6.0,18.0,7.0,3.0,38.0,148.0,0.0,114.0,13.0,1.0,,47.0,55.0,11.0,57.0,4.0,24.0,18.0,7.0,13.0,2.0,167.0,3.0,7.0,91.0,582.0,16.0,37.0,,10.0,242.0,27.0,,4.0,9.0,2.0,2.0,3.0,9.0,32.0,330.0,51.0,,90105,11.0,118.0,9.0,,152.0,7.0,2.0,18.0,6.0,50.0,,1.0,1.0,,1.0,2.0,23.0,4.0,3.0,,71.0,256.0,11.0,2.0,2.0,21.0,3.0,68.0,,,0.0,2.0,1.0,3.0,3.0,0.0,7.0,2.0,,9.0,52.2,31.0,5.0,5.0,1.0,5.0,1.0,30.0,8.0,,354.0,10.0,9.0,14.0,9.0,41.0,3.0,7.0,233.0,11.0,2.0,26.0,78.0,26.0,2.0,,9.0,13.0,1.0,3.0,17.0,2.0,24.0,2.0,,9.0,8.0,1.0,3.0,,1.0,2.0,,3.0,3.0,,2.0,3.0,3.0,1.0,,,,2.0,4.0,,2.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13,2210391,2021-11-27 12:30:00,"Emirates Stadium, London",59886,Away,Newcastle United,Arsenal,0,2,L,0,0,0,0,,,24.0,54.0,,,1.0,,17.0,20.0,6.0,,3.0,4.0,5.0,116.0,9.0,2.0,9.0,,5.0,,,5.0,80.0,114.0,32.0,9.0,2.0,12.0,2.0,,,2.0,,14.0,9.0,20.0,4.0,1.0,27.0,104.0,0.0,75.0,12.0,3.0,,30.0,39.0,4.0,54.0,1.0,10.0,14.0,6.0,5.0,1.0,114.0,,14.0,78.0,494.0,4.0,15.0,1.0,11.0,250.0,24.0,,1.0,10.0,,3.0,6.0,1.0,5.0,307.0,29.0,1.0,90105,,160.0,5.0,,176.0,4.0,,14.0,12.0,52.0,,1.0,,3.0,8.0,,17.0,10.0,7.0,1.0,45.0,262.0,5.0,15.0,1.0,10.0,1.0,58.0,,,0.0,4.0,3.0,,2.0,0.0,,,1.0,1.0,34.4,4.0,1.0,3.0,8.0,2.0,,25.0,4.0,,328.0,11.0,7.0,12.0,2.0,23.0,2.0,1.0,166.0,8.0,1.0,5.0,56.0,12.0,,2.0,10.0,13.0,,2.0,8.0,3.0,16.0,,2.0,11.0,4.0,,,,,,,3.0,,,,,1.0,2.0,,,,,,1.0,1.0,,,,,1.0,1.0,,,,3.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2210408,2021-11-30 19:30:00,"St. James' Park, Newcastle",50757,Home,Newcastle United,Norwich City,1,1,D,0,0,1,0,,1.0,30.0,55.0,,,2.0,1.0,19.0,14.0,4.0,2.0,5.0,5.0,,125.0,15.0,2.0,8.0,1.0,8.0,,,1.0,54.0,125.0,33.0,9.0,1.0,15.0,,1.0,,,1.0,7.0,6.0,14.0,2.0,3.0,38.0,88.0,0.0,71.0,8.0,2.0,1.0,27.0,46.0,2.0,30.0,,5.0,14.0,4.0,2.0,3.0,125.0,,10.0,53.0,420.0,7.0,9.0,,10.0,169.0,32.0,1.0,4.0,9.0,,0.0,5.0,6.0,23.0,233.0,40.0,,90105,3.0,95.0,2.0,,115.0,4.0,,14.0,13.0,45.0,,1.0,,,4.0,,15.0,6.0,5.0,1.0,59.0,181.0,10.0,5.0,1.0,19.0,1.0,67.0,1.0,,0.0,5.0,3.0,1.0,1.0,1.0,,,1.0,1.0,31.4,17.0,,,4.0,2.0,,29.0,2.0,,262.0,10.0,10.0,17.0,6.0,15.0,2.0,3.0,154.0,6.0,3.0,7.0,40.0,14.0,1.0,1.0,9.0,8.0,,1.0,7.0,3.0,15.0,2.0,1.0,6.0,2.0,,2.0,,3.0,1.0,1.0,6.0,,,,,1.0,,,,,1.0,,1.0,2.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
15,2210415,2021-12-04 15:00:00,"St. James' Park, Newcastle",51948,Home,Newcastle United,Burnley,1,0,W,1,0,0,0,,1.0,25.0,54.0,,,,9.0,31.0,24.0,7.0,8.0,12.0,1.0,2.0,158.0,14.0,3.0,9.0,1.0,11.0,,,4.0,55.0,162.0,58.0,19.0,2.0,31.0,,2.0,1.0,1.0,1.0,20.0,9.0,24.0,9.0,1.0,36.0,108.0,0.0,110.0,11.0,1.0,2.0,37.0,36.0,10.0,41.0,1.0,11.0,13.0,7.0,5.0,2.0,162.0,1.0,6.0,68.0,501.0,8.0,29.0,,2.0,202.0,29.0,,8.0,11.0,1.0,1.0,4.0,1.0,19.0,296.0,51.0,1.0,83314,4.0,109.0,6.0,,142.0,5.0,1.0,13.0,13.0,64.0,,2.0,,,,,17.0,4.0,6.0,1.0,81.0,214.0,9.0,7.0,2.0,33.0,5.0,70.0,2.0,,0.0,3.0,1.0,1.0,,0.0,,,2.0,2.0,47.8,14.0,,6.0,,11.0,,26.0,10.0,,322.0,2.0,13.0,12.0,4.0,29.0,3.0,2.0,200.0,9.0,,27.0,68.0,14.0,1.0,1.0,11.0,13.0,,,14.0,2.0,11.0,,1.0,2.0,10.0,,,,1.0,,,7.0,,,1.0,,,1.0,,,,7.0,,,,,,1.0,,1.0,1.0,,,1.0,3.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,
16,2210427,2021-12-12 14:00:00,"King Power Stadium, Leicester",31959,Away,Newcastle United,Leicester City,0,4,L,0,1,0,0,,,20.0,53.0,,,,4.0,32.0,12.0,5.0,4.0,7.0,1.0,1.0,148.0,7.0,6.0,11.0,,7.0,,,3.0,108.0,144.0,62.0,12.0,2.0,14.0,1.0,,,1.0,2.0,23.0,16.0,12.0,6.0,5.0,41.0,184.0,0.0,128.0,16.0,,,70.0,70.0,4.0,65.0,,17.0,11.0,5.0,3.0,1.0,144.0,,5.0,110.0,621.0,7.0,35.0,,4.0,331.0,21.0,,5.0,6.0,,3.0,1.0,3.0,19.0,410.0,53.0,,90105,2.0,166.0,12.0,1.0,195.0,8.0,,11.0,9.0,53.0,,1.0,,1.0,3.0,,16.0,3.0,4.0,1.0,68.0,344.0,9.0,4.0,,15.0,1.0,66.0,,1.0,0.0,4.0,1.0,,4.0,0.0,4.0,,3.0,1.0,52.7,19.0,,5.0,3.0,6.0,,39.0,6.0,1.0,431.0,4.0,12.0,11.0,3.0,27.0,2.0,2.0,259.0,7.0,5.0,16.0,85.0,24.0,,1.0,6.0,26.0,,4.0,10.0,3.0,19.0,,1.0,4.0,6.0,1.0,1.0,,,2.0,,1.0,1.0,1.0,,1.0,3.0,2.0,1.0,,,2.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
17,2210439,2021-12-16 20:00:00,"Anfield, Liverpool",52951,Away,Newcastle United,Liverpool,1,3,L,1,2,0,0,,,20.0,76.0,1.0,,1.0,,22.0,28.0,4.0,1.0,,6.0,2.0,150.0,14.0,1.0,6.0,1.0,1.0,,,3.0,37.0,141.0,48.0,5.0,,16.0,,1.0,,1.0,2.0,6.0,20.0,28.0,,1.0,66.0,64.0,0.0,50.0,4.0,4.0,1.0,43.0,36.0,,36.0,,6.0,5.0,5.0,1.0,2.0,141.0,,16.0,35.0,433.0,1.0,6.0,,22.0,147.0,51.0,,4.0,19.0,,3.0,6.0,1.0,9.0,229.0,38.0,,90105,,92.0,5.0,,130.0,4.0,,5.0,14.0,40.0,,,,1.0,2.0,1.0,19.0,7.0,3.0,,72.0,155.0,9.0,8.0,,14.0,,72.0,1.0,2.0,0.0,11.0,4.0,,3.0,0.0,1.0,,,,25.8,9.0,,,2.0,,,26.0,,,258.0,22.0,8.0,20.0,2.0,11.0,,,134.0,4.0,1.0,9.0,24.0,16.0,,,19.0,24.0,,2.0,3.0,3.0,10.0,3.0,,2.0,,,1.0,,,,,3.0,,,,,1.0,,,,2.0,,1.0,,10.0,2.0,,1.0,,,1.0,1.0,1.0,,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
18,2210445,2021-12-19 14:00:00,"St. James' Park, Newcastle",52127,Home,Newcastle United,Manchester City,0,4,L,0,2,0,0,,,18.0,41.0,,,,,23.0,16.0,3.0,1.0,2.0,3.0,,106.0,6.0,2.0,9.0,,4.0,,,1.0,54.0,102.0,40.0,5.0,,8.0,1.0,,,,1.0,12.0,7.0,16.0,2.0,3.0,27.0,84.0,0.0,72.0,9.0,2.0,,43.0,21.0,1.0,40.0,1.0,10.0,11.0,3.0,2.0,3.0,102.0,,16.0,65.0,424.0,3.0,12.0,,11.0,199.0,11.0,1.0,2.0,7.0,,1.0,2.0,3.0,14.0,245.0,38.0,1.0,90105,1.0,133.0,6.0,,142.0,5.0,,11.0,8.0,48.0,,1.0,,4.0,7.0,,13.0,2.0,6.0,1.0,41.0,215.0,6.0,11.0,1.0,5.0,1.0,47.0,,1.0,0.0,6.0,3.0,,4.0,0.0,1.0,,,2.0,28.1,10.0,1.0,7.0,7.0,,,29.0,3.0,,265.0,11.0,12.0,14.0,4.0,20.0,1.0,1.0,135.0,2.0,3.0,12.0,46.0,15.0,,,7.0,13.0,,3.0,3.0,3.0,18.0,,,7.0,3.0,1.0,3.0,,,2.0,,7.0,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2210456,2021-12-27 20:00:00,"St. James' Park, Newcastle",52178,Home,Newcastle United,Manchester United,1,1,D,1,0,0,0,,,23.0,59.0,,,1.0,1.0,25.0,20.0,7.0,4.0,5.0,2.0,3.0,140.0,9.0,,12.0,1.0,9.0,,2.0,8.0,39.0,147.0,47.0,13.0,1.0,16.0,2.0,1.0,1.0,2.0,,9.0,10.0,20.0,2.0,6.0,21.0,95.0,0.0,92.0,11.0,1.0,1.0,60.0,35.0,8.0,33.0,2.0,7.0,16.0,8.0,1.0,2.0,147.0,1.0,8.0,47.0,472.0,8.0,18.0,1.0,17.0,156.0,20.0,,6.0,11.0,1.0,3.0,7.0,1.0,28.0,236.0,43.0,,90105,1.0,72.0,4.0,,92.0,6.0,,16.0,12.0,55.0,,,,2.0,3.0,1.0,20.0,5.0,5.0,,62.0,167.0,8.0,11.0,,23.0,,59.0,1.0,,0.0,3.0,2.0,1.0,1.0,0.0,,,1.0,,31.4,22.0,,3.0,3.0,2.0,1.0,19.0,2.0,,259.0,17.0,9.0,8.0,3.0,23.0,,,176.0,9.0,5.0,9.0,51.0,31.0,,2.0,11.0,18.0,,1.0,13.0,3.0,20.0,2.0,2.0,9.0,2.0,,2.0,,,2.0,,4.0,,,1.0,,1.0,2.0,,,,1.0,1.0,,2.0,,1.0,1.0,3.0,1.0,1.0,,,4.0,5.0,,,1.0,2.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,
20,2210465,2022-03-17 19:45:00,"Goodison Park, Liverpool",39068,Away,Newcastle United,Everton,0,1,L,0,0,0,1,,,21.0,56.0,,,1.0,1.0,34.0,11.0,8.0,2.0,8.0,2.0,5.0,171.0,13.0,6.0,6.0,,11.0,,1.0,6.0,95.0,163.0,68.0,17.0,4.0,31.0,4.0,1.0,,2.0,2.0,19.0,11.0,11.0,7.0,3.0,47.0,192.0,0.0,128.0,11.0,1.0,1.0,69.0,59.0,7.0,70.0,2.0,12.0,14.0,9.0,2.0,3.0,163.0,,5.0,111.0,643.0,9.0,26.0,,2.0,331.0,27.0,,3.0,6.0,,1.0,3.0,4.0,27.0,426.0,61.0,,90105,5.0,158.0,9.0,,189.0,3.0,,14.0,6.0,66.0,,,,1.0,4.0,,24.0,4.0,4.0,1.0,73.0,344.0,12.0,7.0,2.0,15.0,4.0,81.0,1.0,1.0,0.0,5.0,1.0,,1.0,0.0,3.0,,,3.0,61.7,23.0,2.0,2.0,4.0,5.0,,44.0,7.0,,447.0,2.0,6.0,20.0,6.0,34.0,3.0,3.0,277.0,12.0,3.0,35.0,85.0,21.0,,,6.0,15.0,,1.0,10.0,3.0,18.0,,,7.0,7.0,,2.0,,1.0,1.0,,10.0,1.0,,,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,4.0,1.0,2.0,,,,2.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,
21,2210479,2022-03-10 19:30:00,"St. Mary's Stadium, Southampton",31016,Away,Newcastle United,Southampton,2,1,W,1,1,0,0,,1.0,16.0,75.0,1.0,,1.0,2.0,34.0,28.0,3.0,1.0,5.0,4.0,1.0,143.0,11.0,5.0,8.0,2.0,6.0,1.0,,4.0,57.0,149.0,54.0,8.0,1.0,19.0,,,1.0,1.0,,17.0,7.0,28.0,5.0,2.0,35.0,108.0,0.0,91.0,7.0,2.0,,51.0,34.0,5.0,41.0,,12.0,20.0,3.0,5.0,,149.0,2.0,11.0,65.0,509.0,4.0,22.0,,12.0,194.0,32.0,1.0,10.0,11.0,2.0,1.0,5.0,1.0,14.0,290.0,50.0,,90105,4.0,107.0,6.0,,137.0,4.0,1.0,20.0,5.0,53.0,,1.0,,1.0,4.0,1.0,21.0,3.0,5.0,,66.0,210.0,5.0,12.0,,25.0,1.0,69.0,,,0.0,12.0,3.0,2.0,1.0,0.0,3.0,2.0,,3.0,32.2,12.0,1.0,5.0,4.0,3.0,,39.0,5.0,,306.0,12.0,9.0,14.0,1.0,21.0,2.0,1.0,186.0,4.0,2.0,20.0,51.0,29.0,1.0,1.0,11.0,21.0,1.0,1.0,6.0,3.0,14.0,,1.0,9.0,5.0,,,,,1.0,,11.0,,1.0,1.0,1.0,2.0,,,,,1.0,,,1.0,,1.0,1.0,2.0,,,,,1.0,2.0,,3.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
22,2210486,2022-01-15 15:00:00,"St. James' Park, Newcastle",52223,Home,Newcastle United,Watford,1,1,D,0,0,0,0,,,27.0,53.0,1.0,,,3.0,25.0,10.0,4.0,5.0,8.0,4.0,,145.0,11.0,6.0,11.0,1.0,7.0,,1.0,1.0,99.0,161.0,81.0,12.0,,27.0,,,,,1.0,21.0,18.0,10.0,3.0,2.0,35.0,167.0,0.0,101.0,13.0,,,74.0,81.0,1.0,68.0,1.0,18.0,11.0,4.0,6.0,4.0,161.0,1.0,10.0,95.0,617.0,4.0,22.0,1.0,10.0,295.0,12.0,2.0,5.0,8.0,,3.0,7.0,6.0,29.0,385.0,50.0,,90105,4.0,147.0,9.0,,165.0,6.0,,11.0,6.0,70.0,2.0,,,1.0,5.0,1.0,19.0,8.0,5.0,4.0,64.0,308.0,12.0,12.0,3.0,26.0,3.0,68.0,,1.0,0.0,6.0,4.0,1.0,1.0,0.0,4.0,,1.0,4.0,52.0,22.0,3.0,3.0,5.0,3.0,,34.0,4.0,,407.0,10.0,15.0,12.0,8.0,30.0,2.0,4.0,263.0,3.0,2.0,31.0,59.0,29.0,1.0,,8.0,27.0,,1.0,7.0,2.0,15.0,2.0,,8.0,4.0,,3.0,,,3.0,,10.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
23,2210496,2022-01-22 15:00:00,"Elland Road, Leeds",36405,Away,Newcastle United,Leeds United,1,0,W,0,0,0,0,,,22.0,75.0,,1.0,1.0,4.0,27.0,28.0,9.0,6.0,6.0,4.0,,135.0,13.0,5.0,9.0,1.0,9.0,,,3.0,55.0,142.0,66.0,15.0,4.0,14.0,1.0,1.0,,,2.0,14.0,9.0,28.0,6.0,5.0,36.0,119.0,0.0,122.0,9.0,1.0,1.0,41.0,33.0,5.0,28.0,1.0,8.0,15.0,9.0,1.0,3.0,142.0,1.0,8.0,59.0,494.0,9.0,33.0,,16.0,174.0,38.0,,4.0,15.0,,2.0,5.0,4.0,22.0,257.0,60.0,,90105,4.0,72.0,7.0,,92.0,3.0,,15.0,9.0,56.0,,1.0,,,5.0,,14.0,5.0,4.0,,65.0,186.0,9.0,13.0,,22.0,1.0,58.0,1.0,1.0,0.0,6.0,3.0,,,0.0,1.0,,,,37.0,16.0,,4.0,5.0,8.0,,33.0,7.0,,277.0,16.0,10.0,16.0,4.0,29.0,4.0,1.0,199.0,9.0,4.0,30.0,68.0,19.0,,,15.0,18.0,,,12.0,3.0,20.0,,,8.0,7.0,1.0,1.0,,1.0,,,19.0,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,5.0,1.0,,1.0,5.0,,1.0,,,2.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
24,2210509,2022-02-08 19:45:00,"St. James' Park, Newcastle",52186,Home,Newcastle United,Everton,3,1,W,1,1,0,0,,1.0,24.0,62.0,,1.0,1.0,5.0,29.0,12.0,4.0,4.0,16.0,2.0,3.0,139.0,15.0,6.0,21.0,3.0,12.0,1.0,,9.0,47.0,151.0,84.0,20.0,,23.0,5.0,3.0,,4.0,2.0,14.0,7.0,12.0,5.0,4.0,52.0,96.0,0.0,83.0,13.0,1.0,3.0,43.0,42.0,8.0,52.0,1.0,9.0,21.0,4.0,3.0,1.0,151.0,1.0,8.0,54.0,509.0,8.0,33.0,2.0,17.0,174.0,21.0,,3.0,8.0,,2.0,6.0,4.0,26.0,268.0,48.0,,90105,11.0,101.0,2.0,,131.0,3.0,1.0,21.0,11.0,69.0,1.0,,1.0,1.0,2.0,1.0,14.0,4.0,8.0,1.0,61.0,191.0,12.0,14.0,4.0,13.0,6.0,69.0,3.0,,0.0,2.0,2.0,2.0,1.0,0.0,1.0,,,6.0,39.3,20.0,2.0,5.0,2.0,5.0,1.0,36.0,6.0,,292.0,17.0,10.0,28.0,6.0,24.0,5.0,3.0,175.0,10.0,2.0,30.0,45.0,32.0,1.0,,8.0,21.0,,1.0,11.0,3.0,30.0,,,10.0,6.0,,6.0,,,4.0,,11.0,2.0,,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,2.0,,,,,2.0,2.0,,3.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,2.0,2.0,,,1.0,1.0,1.0,1.0,,
25,2210517,2022-02-13 14:00:00,"St. James' Park, Newcastle",52207,Home,Newcastle United,Aston Villa,1,0,W,1,0,0,0,,,22.0,55.0,,,1.0,3.0,25.0,13.0,5.0,1.0,5.0,1.0,1.0,126.0,10.0,4.0,9.0,1.0,7.0,,,2.0,55.0,129.0,61.0,10.0,1.0,12.0,1.0,,,1.0,2.0,11.0,8.0,13.0,3.0,3.0,24.0,96.0,0.0,93.0,22.0,,,48.0,37.0,4.0,24.0,,8.0,15.0,5.0,3.0,3.0,129.0,,5.0,44.0,424.0,6.0,14.0,,12.0,153.0,20.0,,10.0,7.0,,3.0,4.0,3.0,17.0,221.0,50.0,,90105,3.0,77.0,5.0,,92.0,8.0,,15.0,10.0,56.0,,,1.0,3.0,2.0,,18.0,6.0,7.0,1.0,56.0,169.0,15.0,9.0,1.0,23.0,2.0,57.0,,,0.0,6.0,,,,0.0,2.0,,,2.0,37.0,12.0,1.0,6.0,2.0,4.0,,27.0,3.0,,249.0,12.0,4.0,9.0,4.0,14.0,2.0,1.0,168.0,7.0,2.0,22.0,52.0,23.0,,1.0,7.0,15.0,,,7.0,3.0,19.0,,1.0,9.0,3.0,1.0,1.0,,1.0,,1.0,15.0,,,,,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,4.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,
26,2210529,2022-02-19 12:30:00,"London Stadium, London",59949,Away,Newcastle United,West Ham United,1,1,D,1,1,0,0,,,30.0,56.0,,,,4.0,30.0,14.0,6.0,2.0,8.0,2.0,1.0,141.0,11.0,7.0,7.0,1.0,10.0,,1.0,3.0,114.0,148.0,40.0,14.0,2.0,25.0,1.0,,,1.0,2.0,28.0,7.0,14.0,5.0,7.0,41.0,165.0,0.0,129.0,7.0,1.0,,73.0,47.0,7.0,70.0,1.0,23.0,11.0,6.0,9.0,3.0,148.0,1.0,10.0,106.0,613.0,8.0,33.0,,6.0,327.0,25.0,,3.0,8.0,,3.0,6.0,3.0,22.0,416.0,61.0,,90105,6.0,181.0,14.0,,203.0,1.0,2.0,11.0,6.0,46.0,,,,1.0,4.0,1.0,15.0,1.0,4.0,,63.0,339.0,3.0,3.0,2.0,16.0,6.0,62.0,,1.0,0.0,3.0,2.0,1.0,1.0,0.0,6.0,,,2.0,53.0,16.0,1.0,3.0,4.0,6.0,,31.0,7.0,,431.0,6.0,8.0,19.0,5.0,37.0,1.0,2.0,256.0,10.0,6.0,18.0,83.0,23.0,,3.0,8.0,12.0,,1.0,7.0,2.0,10.0,,3.0,7.0,7.0,,,,2.0,,,4.0,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,
