gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attObxCentre,attRfTarget,postScoringAtt,attSvLowCentre,attIboxPost,attOboxTarget,attMissHighRight,cleanSheet,attemptsObox,crosses18yardplus,attOboxMiss,bigChanceCreated,hitWoodwork,attMissHighLeft,bigChanceMissed,attSetpiece,attCmissHigh,attAssistSetplay,attHdMiss,attPostRight,bigChanceScored,attGoalLowLeft,goals,attCmissRight,attOboxBlocked,goalAssistOpenplay,ptsGainedLosingPos,midfielderGoals,attMissRight,goalAssist,errorLeadToShot,attRfGoal,totalPullBack,goalsOpenplay,attIboxGoal,goalAssistIntentional,shieldBallOop,attBxLeft,attGoalLowRight,attLfGoal,accuratePullBack,attFreekickTotal,attGoalHighRight,penaltyWon,attSvLowLeft,freekickTotal,contentiousDecision,sixYardBlock,attPenGoal,attFreekickMiss,forwardGoals,attOneOnOne,attPostLeft,attHdPost,attSvLowRight,ptsDroppedWinningPos,attCmissLeft,attPostHigh,attHdGoal,errorLeadToGoal,shotFastbreak,goalFastbreak,totalFastbreak,attGoalHighCentre,attFastbreak,attSvHighCentre,clearanceOffLine,attGoalLowCentre,attSvHighLeft,defenderGoals,goalAssistSetplay,penaltyConceded,penaltyFaced,penGoalsConceded,goalAssistDeadball,attOboxGoal,attFreekickTarget,attGoalHighLeft,secondYellow,attCmissHighLeft,attFreekickGoal,penaltySave,ownGoals,attIboxOwnGoal,attPenMiss,attPenTarget,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,attObpGoal,expectedGoals
11,2210375,2021-11-06 15:00:00,"Selhurst Park, London",24390,Home,Crystal Palace,Wolverhampton Wanderers,2,0,W,0,0,0,0,,25.0,61.0,1.0,2.0,24.0,12.0,6.0,12.0,2.0,175.0,15.0,4.0,14.0,2.0,11.0,6.0,142.0,150.0,70.0,13.0,11.0,4.0,,1.0,1.0,12.0,14.0,12.0,3.0,1.0,44.0,184.0,,0.0,128.0,14.0,1.0,1.0,,70.0,67.0,7.0,82.0,1.0,9.0,14.0,150.0,2.0,148.0,772.0,7.0,3.0,25.0,1.0,13.0,445.0,27.0,3.0,7.0,1.0,2.0,,4.0,30.0,530.0,54.0,1.0,1.0,86417,8.0,279.0,5.0,303.0,10.0,14.0,2.0,65.0,2.0,1.0,2.0,17.0,2.0,1.0,2.0,53.0,459.0,13.0,9.0,14.0,2.0,85.0,1.0,0.0,1.0,6.0,1.0,,2.0,0.0,2.0,3.0,59.7,27.0,8.0,2.0,2.0,52.0,4.0,,547.0,13.0,26.0,20.0,5.0,25.0,2.0,4.0,256.0,4.0,1.0,16.0,84.0,24.0,,7.0,28.0,,10.0,3.0,20.0,,5.0,4.0,1.0,1.0,1.0,2.0,,2.0,,,1.0,1.0,1.0,3.0,1.0,3.0,,,2.0,1.0,,3.0,2.0,,1.0,,2.0,,,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,,1.0,2.0,1.0,2.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2210382,2021-11-20 15:00:00,"Turf Moor, Burnley",18028,Away,Crystal Palace,Burnley,3,3,D,3,2,0,0,,22.0,68.0,2.0,2.0,21.0,26.0,6.0,12.0,6.0,164.0,9.0,6.0,6.0,3.0,14.0,8.0,130.0,140.0,42.0,18.0,31.0,4.0,1.0,1.0,2.0,20.0,2.0,26.0,5.0,5.0,34.0,189.0,,0.0,123.0,15.0,4.0,1.0,,62.0,65.0,10.0,74.0,1.0,15.0,14.0,140.0,10.0,120.0,676.0,10.0,3.0,28.0,1.0,3.0,368.0,28.0,6.0,14.0,1.0,3.0,2.0,4.0,21.0,462.0,48.0,2.0,,86417,8.0,209.0,6.0,236.0,7.0,14.0,8.0,66.0,3.0,,9.0,13.0,5.0,8.0,1.0,58.0,392.0,14.0,5.0,30.0,5.0,79.0,1.0,0.0,,3.0,4.0,3.0,1.0,0.0,3.0,3.0,60.5,19.0,3.0,9.0,4.0,39.0,6.0,,488.0,3.0,7.0,13.0,6.0,30.0,3.0,3.0,272.0,9.0,5.0,16.0,95.0,28.0,3.0,14.0,6.0,3.0,12.0,3.0,14.0,3.0,7.0,6.0,,3.0,6.0,1.0,,2.0,,1.0,,,6.0,8.0,3.0,2.0,1.0,,1.0,,1.0,2.0,1.0,,1.0,1.0,3.0,2.0,2.0,2.0,1.0,,3.0,2.0,,2.0,,2.0,3.0,2.0,,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,2.0,,,,1.0,2.0,1.0,,,,2.0,,2.0,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,2210396,2021-11-27 15:00:00,"Selhurst Park, London",25203,Home,Crystal Palace,Aston Villa,1,2,L,0,1,0,0,1.0,24.0,65.0,,1.0,45.0,6.0,3.0,7.0,1.0,182.0,15.0,5.0,8.0,3.0,7.0,3.0,146.0,143.0,51.0,8.0,12.0,2.0,,,,30.0,15.0,6.0,5.0,4.0,49.0,231.0,,0.0,171.0,12.0,,1.0,,75.0,111.0,4.0,95.0,,25.0,23.0,143.0,5.0,154.0,770.0,6.0,2.0,28.0,,9.0,485.0,28.0,3.0,2.0,,3.0,2.0,3.0,28.0,557.0,58.0,,,86417,6.0,275.0,18.0,292.0,9.0,23.0,5.0,55.0,2.0,1.0,3.0,12.0,5.0,5.0,1.0,64.0,501.0,10.0,8.0,8.0,2.0,73.0,,0.0,2.0,3.0,1.0,2.0,2.0,0.0,4.0,1.0,63.3,25.0,7.0,3.0,1.0,56.0,7.0,,577.0,9.0,12.0,28.0,4.0,37.0,1.0,3.0,315.0,4.0,4.0,13.0,132.0,26.0,1.0,2.0,20.0,1.0,5.0,3.0,20.0,1.0,4.0,7.0,1.0,,1.0,2.0,,1.0,,,,,1.0,6.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,2.0,,,,,2.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,2210403,2021-11-30 20:15:00,"Elland Road, Leeds",35558,Away,Crystal Palace,Leeds United,0,1,L,0,0,0,0,,29.0,65.0,1.0,2.0,23.0,17.0,2.0,4.0,2.0,133.0,15.0,2.0,18.0,4.0,5.0,1.0,65.0,163.0,63.0,9.0,12.0,1.0,,1.0,1.0,16.0,9.0,17.0,4.0,6.0,34.0,86.0,,0.0,73.0,15.0,,4.0,,29.0,26.0,2.0,37.0,1.0,12.0,15.0,163.0,8.0,51.0,522.0,4.0,4.0,19.0,,13.0,184.0,38.0,7.0,10.0,1.0,3.0,8.0,3.0,22.0,261.0,44.0,1.0,1.0,86417,1.0,115.0,6.0,148.0,8.0,15.0,9.0,53.0,2.0,,4.0,30.0,7.0,5.0,,63.0,199.0,15.0,4.0,26.0,,53.0,,0.0,1.0,7.0,1.0,1.0,,0.0,1.0,1.0,38.1,14.0,1.0,4.0,4.0,25.0,4.0,,286.0,13.0,15.0,17.0,4.0,22.0,1.0,1.0,154.0,6.0,5.0,9.0,43.0,19.0,1.0,10.0,21.0,1.0,7.0,3.0,26.0,1.0,6.0,4.0,1.0,1.0,5.0,,,1.0,,,,,5.0,2.0,3.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,2.0,,,,2.0,,,,,,,,1.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,3.0,,3.0,,3.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
15,2210414,2021-12-05 14:00:00,"Old Trafford, Manchester",73172,Away,Crystal Palace,Manchester United,0,1,L,0,0,0,0,1.0,25.0,62.0,1.0,2.0,21.0,22.0,3.0,4.0,2.0,137.0,12.0,4.0,6.0,4.0,6.0,2.0,77.0,146.0,66.0,8.0,17.0,1.0,,,1.0,13.0,15.0,22.0,5.0,,37.0,75.0,,0.0,70.0,9.0,1.0,3.0,,40.0,32.0,5.0,42.0,1.0,8.0,12.0,146.0,8.0,75.0,529.0,4.0,13.0,9.0,,8.0,216.0,30.0,6.0,10.0,,2.0,6.0,1.0,20.0,301.0,36.0,1.0,2.0,86417,1.0,165.0,4.0,197.0,6.0,12.0,10.0,55.0,1.0,,6.0,14.0,8.0,8.0,,54.0,236.0,16.0,5.0,19.0,2.0,57.0,1.0,0.0,2.0,9.0,1.0,1.0,2.0,0.0,2.0,2.0,38.7,18.0,4.0,6.0,3.0,25.0,6.0,,331.0,8.0,20.0,13.0,3.0,18.0,2.0,1.0,147.0,3.0,,21.0,33.0,21.0,1.0,10.0,23.0,,3.0,3.0,10.0,1.0,7.0,6.0,,1.0,4.0,1.0,,1.0,,1.0,,,4.0,1.0,2.0,2.0,,1.0,2.0,3.0,,2.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2210426,2021-12-12 16:30:00,"Selhurst Park, London",24066,Home,Crystal Palace,Everton,3,1,W,1,0,0,0,,26.0,55.0,3.0,5.0,25.0,19.0,3.0,12.0,5.0,168.0,16.0,5.0,10.0,2.0,11.0,6.0,125.0,148.0,65.0,17.0,14.0,2.0,1.0,,,18.0,12.0,19.0,5.0,4.0,38.0,167.0,,0.0,126.0,15.0,2.0,,,80.0,56.0,7.0,84.0,,13.0,19.0,148.0,5.0,110.0,709.0,8.0,10.0,27.0,,4.0,384.0,30.0,3.0,12.0,,0.0,5.0,4.0,31.0,462.0,52.0,1.0,,86417,6.0,244.0,12.0,277.0,9.0,19.0,5.0,66.0,2.0,1.0,6.0,22.0,7.0,5.0,1.0,47.0,406.0,13.0,12.0,14.0,5.0,65.0,,0.0,4.0,2.0,2.0,1.0,3.0,0.0,3.0,3.0,61.2,29.0,2.0,6.0,6.0,47.0,8.0,,487.0,4.0,16.0,22.0,5.0,29.0,2.0,3.0,228.0,11.0,4.0,27.0,91.0,15.0,2.0,12.0,15.0,1.0,11.0,3.0,19.0,2.0,11.0,8.0,,1.0,5.0,2.0,,1.0,,1.0,1.0,,5.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,2.0,,1.0,1.0,3.0,2.0,1.0,1.0,,2.0,3.0,2.0,1.0,3.0,,2.0,2.0,2.0,,2.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
17,2210435,2021-12-15 19:30:00,"Selhurst Park, London",22861,Home,Crystal Palace,Southampton,2,2,D,1,2,0,0,2.0,24.0,68.0,,1.0,38.0,30.0,2.0,9.0,2.0,163.0,9.0,3.0,11.0,3.0,5.0,6.0,113.0,176.0,75.0,9.0,22.0,4.0,1.0,1.0,,20.0,10.0,30.0,3.0,1.0,36.0,124.0,,0.0,105.0,16.0,,4.0,1.0,55.0,51.0,3.0,69.0,1.0,17.0,17.0,176.0,6.0,103.0,679.0,4.0,3.0,20.0,,10.0,307.0,33.0,5.0,18.0,1.0,2.0,4.0,2.0,32.0,417.0,50.0,,,86417,4.0,212.0,9.0,259.0,9.0,17.0,7.0,67.0,1.0,1.0,4.0,15.0,9.0,6.0,,81.0,333.0,20.0,7.0,29.0,,70.0,,0.0,1.0,6.0,2.0,2.0,1.0,0.0,3.0,,59.7,29.0,5.0,4.0,1.0,32.0,4.0,1.0,448.0,10.0,13.0,19.0,2.0,28.0,,2.0,209.0,7.0,1.0,24.0,65.0,25.0,2.0,18.0,20.0,,8.0,3.0,22.0,2.0,8.0,4.0,2.0,2.0,,2.0,,2.0,,,,,,4.0,,2.0,,1.0,3.0,1.0,,,,,1.0,1.0,2.0,,,1.0,1.0,,1.0,1.0,,2.0,,2.0,2.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2210448,2022-02-23 19:30:00,"Vicarage Road, Watford",20012,Away,Crystal Palace,Watford,4,1,W,2,1,0,0,,27.0,63.0,,,26.0,20.0,5.0,6.0,,161.0,13.0,3.0,7.0,1.0,6.0,5.0,162.0,136.0,52.0,7.0,10.0,1.0,,,,13.0,14.0,20.0,3.0,3.0,52.0,183.0,,0.0,111.0,9.0,,1.0,,68.0,75.0,4.0,91.0,1.0,10.0,19.0,136.0,6.0,142.0,743.0,3.0,7.0,16.0,,6.0,450.0,30.0,2.0,9.0,,1.0,3.0,2.0,18.0,533.0,68.0,1.0,,86417,4.0,289.0,7.0,306.0,5.0,19.0,7.0,36.0,1.0,1.0,2.0,20.0,2.0,6.0,,71.0,469.0,12.0,7.0,21.0,,77.0,3.0,0.0,5.0,6.0,,1.0,2.0,0.0,3.0,,54.7,16.0,10.0,2.0,,42.0,4.0,,556.0,6.0,6.0,21.0,2.0,20.0,,1.0,263.0,2.0,2.0,10.0,68.0,21.0,1.0,9.0,23.0,1.0,7.0,3.0,12.0,1.0,11.0,4.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,1.0,1.0,,1.0,,,,,,,1.0,,4.0,,,3.0,,1.0,1.0,3.0,,2.0,,4.0,4.0,2.0,,2.0,1.0,2.0,,,,,,,,,,,3.0,,,,1.0,,,,,,1.0,1.0,2.0,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
19,2210458,2021-12-26 15:00:00,"Tottenham Hotspur Stadium, London",40539,Away,Crystal Palace,Tottenham Hotspur,0,3,L,0,2,1,0,,28.0,57.0,2.0,1.0,22.0,7.0,2.0,3.0,3.0,129.0,12.0,4.0,6.0,1.0,4.0,,103.0,119.0,48.0,4.0,15.0,,,,,12.0,10.0,7.0,2.0,5.0,22.0,135.0,,0.0,78.0,9.0,1.0,1.0,,50.0,56.0,2.0,74.0,3.0,10.0,4.0,119.0,11.0,100.0,571.0,3.0,2.0,9.0,,12.0,313.0,23.0,2.0,2.0,,1.0,5.0,2.0,13.0,369.0,29.0,,1.0,86417,3.0,205.0,6.0,228.0,6.0,4.0,14.0,56.0,,,4.0,14.0,6.0,8.0,,58.0,336.0,15.0,9.0,21.0,,54.0,1.0,0.0,1.0,4.0,1.0,3.0,,1.0,4.0,1.0,40.3,10.0,7.0,4.0,2.0,25.0,2.0,,406.0,12.0,11.0,11.0,2.0,17.0,,2.0,190.0,1.0,4.0,9.0,57.0,18.0,,2.0,18.0,3.0,3.0,3.0,18.0,,,2.0,,,1.0,,,,,,1.0,,1.0,3.0,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
20,2210464,2021-12-28 15:00:00,"Selhurst Park, London",24433,Home,Crystal Palace,Norwich City,3,0,W,3,0,0,0,,18.0,52.0,1.0,7.0,35.0,14.0,12.0,17.0,2.0,144.0,7.0,6.0,9.0,6.0,12.0,6.0,109.0,136.0,68.0,19.0,14.0,3.0,,,4.0,21.0,16.0,14.0,8.0,8.0,29.0,113.0,,0.0,87.0,9.0,1.0,5.0,,51.0,43.0,8.0,52.0,,13.0,15.0,136.0,6.0,86.0,598.0,6.0,11.0,33.0,1.0,6.0,294.0,25.0,10.0,11.0,,1.0,8.0,4.0,30.0,377.0,42.0,,1.0,86417,10.0,199.0,6.0,231.0,2.0,15.0,3.0,45.0,,1.0,2.0,12.0,6.0,3.0,,66.0,306.0,13.0,6.0,32.0,4.0,62.0,,0.0,1.0,8.0,2.0,,3.0,0.0,3.0,4.0,50.9,24.0,4.0,2.0,7.0,29.0,8.0,,391.0,6.0,11.0,15.0,6.0,28.0,3.0,4.0,181.0,3.0,8.0,20.0,55.0,21.0,3.0,11.0,26.0,,10.0,3.0,14.0,3.0,5.0,8.0,,2.0,2.0,,,2.0,,,,1.0,2.0,2.0,2.0,,,1.0,1.0,4.0,,4.0,1.0,,1.0,1.0,3.0,,,2.0,,1.0,1.0,2.0,1.0,1.0,,2.0,3.0,1.0,,4.0,2.0,2.0,,,,1.0,1.0,,,1.0,1.0,,2.0,,,,,,2.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2210474,2022-01-01 17:30:00,"Selhurst Park, London",24351,Home,Crystal Palace,West Ham United,2,3,L,0,3,0,0,,36.0,55.0,,5.0,36.0,17.0,7.0,16.0,2.0,168.0,15.0,12.0,5.0,5.0,18.0,6.0,163.0,156.0,54.0,22.0,13.0,3.0,1.0,,2.0,38.0,12.0,17.0,7.0,5.0,45.0,218.0,,0.0,144.0,6.0,1.0,3.0,2.0,59.0,46.0,9.0,87.0,1.0,31.0,14.0,156.0,9.0,140.0,799.0,17.0,7.0,38.0,1.0,6.0,460.0,25.0,6.0,6.0,,0.0,1.0,9.0,31.0,531.0,61.0,,1.0,86417,10.0,281.0,16.0,304.0,1.0,14.0,8.0,55.0,,,7.0,24.0,1.0,8.0,1.0,57.0,487.0,15.0,7.0,10.0,1.0,69.0,1.0,0.0,,1.0,2.0,3.0,3.0,0.0,12.0,3.0,62.7,27.0,7.0,7.0,5.0,47.0,9.0,2.0,558.0,6.0,16.0,27.0,11.0,53.0,,5.0,292.0,12.0,5.0,19.0,111.0,16.0,,6.0,15.0,3.0,19.0,3.0,20.0,,7.0,9.0,2.0,,6.0,3.0,2.0,2.0,2.0,1.0,,,6.0,12.0,4.0,4.0,2.0,2.0,3.0,,,,2.0,,1.0,1.0,2.0,,,1.0,,,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,,,2.0,2.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,,
22,2210482,2022-01-14 20:00:00,"American Express Stadium, Falmer",30675,Away,Crystal Palace,Brighton and Hove Albion,1,1,D,0,0,0,0,,24.0,57.0,,,17.0,24.0,,1.0,4.0,134.0,12.0,,9.0,,3.0,1.0,83.0,149.0,46.0,3.0,19.0,,,,,7.0,11.0,24.0,,5.0,36.0,113.0,,0.0,88.0,7.0,2.0,,1.0,43.0,47.0,2.0,46.0,1.0,7.0,16.0,149.0,14.0,74.0,536.0,2.0,4.0,8.0,,6.0,229.0,32.0,4.0,12.0,,2.0,5.0,1.0,23.0,312.0,38.0,,,86417,1.0,133.0,6.0,180.0,3.0,16.0,11.0,55.0,,2.0,5.0,22.0,6.0,9.0,,51.0,246.0,10.0,8.0,28.0,,45.0,2.0,0.0,,9.0,4.0,1.0,,0.0,,,36.7,17.0,2.0,5.0,1.0,20.0,,1.0,337.0,6.0,10.0,18.0,1.0,8.0,,,164.0,3.0,4.0,10.0,61.0,18.0,3.0,12.0,17.0,1.0,3.0,3.0,20.0,3.0,8.0,,,,2.0,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
23,2210494,2022-01-23 14:00:00,"Selhurst Park, London",25002,Home,Crystal Palace,Liverpool,1,3,L,0,2,0,0,,23.0,76.0,4.0,,26.0,25.0,4.0,6.0,4.0,156.0,11.0,1.0,6.0,2.0,5.0,5.0,105.0,148.0,49.0,8.0,16.0,3.0,1.0,1.0,3.0,12.0,8.0,25.0,2.0,3.0,58.0,72.0,,0.0,71.0,12.0,2.0,3.0,1.0,39.0,27.0,3.0,69.0,,10.0,18.0,148.0,7.0,101.0,611.0,4.0,3.0,17.0,,10.0,310.0,25.0,4.0,13.0,1.0,4.0,,2.0,14.0,412.0,49.0,3.0,,86417,2.0,257.0,3.0,291.0,8.0,18.0,7.0,40.0,3.0,5.0,16.0,19.0,7.0,6.0,,60.0,328.0,10.0,6.0,11.0,,64.0,,0.0,2.0,5.0,,3.0,,0.0,1.0,1.0,43.4,13.0,5.0,16.0,,30.0,2.0,1.0,431.0,10.0,7.0,21.0,3.0,20.0,,2.0,152.0,3.0,3.0,20.0,32.0,29.0,,13.0,13.0,3.0,8.0,3.0,6.0,,10.0,2.0,1.0,1.0,2.0,3.0,,3.0,,1.0,,,2.0,4.0,1.0,3.0,,,2.0,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
24,2210504,2022-02-09 19:45:00,"Carrow Road, Norwich",26652,Away,Crystal Palace,Norwich City,1,1,D,0,1,0,0,,23.0,70.0,,3.0,22.0,8.0,4.0,8.0,,203.0,9.0,,11.0,2.0,6.0,5.0,181.0,158.0,58.0,13.0,11.0,3.0,4.0,,2.0,25.0,9.0,8.0,4.0,4.0,46.0,273.0,,0.0,167.0,16.0,,,,102.0,94.0,4.0,114.0,,21.0,16.0,158.0,4.0,172.0,849.0,5.0,2.0,21.0,,10.0,556.0,23.0,3.0,3.0,,2.0,2.0,2.0,15.0,651.0,77.0,2.0,,86417,2.0,302.0,11.0,324.0,10.0,16.0,5.0,45.0,4.0,2.0,5.0,20.0,1.0,5.0,,55.0,575.0,11.0,4.0,15.0,3.0,82.0,,0.0,,4.0,,1.0,,0.0,,,71.7,14.0,9.0,5.0,4.0,49.0,6.0,,670.0,10.0,9.0,17.0,4.0,39.0,,2.0,371.0,9.0,3.0,21.0,119.0,33.0,1.0,3.0,15.0,1.0,8.0,3.0,17.0,1.0,9.0,6.0,,,5.0,4.0,,1.0,,1.0,,,5.0,10.0,2.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,3.0,1.0,,,1.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,
25,2210511,2022-02-12 15:00:00,"Gtech Community Stadium, Brentford",16958,Away,Crystal Palace,Brentford,0,0,D,0,0,0,0,,28.0,71.0,,1.0,33.0,16.0,2.0,4.0,2.0,180.0,14.0,4.0,15.0,1.0,6.0,3.0,123.0,194.0,58.0,6.0,24.0,2.0,1.0,3.0,,26.0,11.0,16.0,9.0,5.0,41.0,239.0,1.0,0.0,164.0,10.0,1.0,2.0,,84.0,97.0,4.0,75.0,,17.0,24.0,194.0,8.0,126.0,718.0,6.0,5.0,17.0,,6.0,380.0,18.0,5.0,4.0,3.0,0.0,2.0,2.0,29.0,489.0,66.0,,1.0,86417,1.0,155.0,9.0,190.0,8.0,24.0,5.0,76.0,,,6.0,20.0,1.0,2.0,,65.0,390.0,10.0,11.0,17.0,1.0,80.0,,0.0,2.0,3.0,2.0,,1.0,0.0,3.0,,57.4,24.0,8.0,6.0,1.0,48.0,9.0,,504.0,6.0,16.0,15.0,2.0,30.0,1.0,1.0,340.0,4.0,4.0,16.0,118.0,38.0,3.0,4.0,17.0,,4.0,3.0,30.0,3.0,7.0,9.0,,1.0,2.0,2.0,,,,1.0,,1.0,2.0,6.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2210524,2022-02-19 15:00:00,"Selhurst Park, London",25109,Home,Crystal Palace,Chelsea,0,1,L,0,0,0,0,,27.0,62.0,1.0,2.0,27.0,18.0,2.0,5.0,2.0,145.0,15.0,4.0,8.0,3.0,6.0,,68.0,138.0,58.0,7.0,9.0,,1.0,,1.0,20.0,14.0,18.0,3.0,7.0,33.0,122.0,,0.0,100.0,4.0,2.0,4.0,,59.0,53.0,2.0,75.0,1.0,17.0,15.0,138.0,5.0,85.0,574.0,5.0,8.0,14.0,,10.0,272.0,33.0,6.0,9.0,,1.0,3.0,4.0,19.0,344.0,45.0,1.0,1.0,86417,1.0,178.0,7.0,208.0,2.0,15.0,7.0,40.0,1.0,1.0,2.0,24.0,4.0,6.0,1.0,57.0,296.0,19.0,10.0,21.0,1.0,55.0,,0.0,,4.0,1.0,1.0,2.0,0.0,2.0,2.0,42.6,16.0,8.0,2.0,2.0,25.0,4.0,,373.0,10.0,7.0,17.0,5.0,20.0,2.0,3.0,185.0,3.0,6.0,9.0,72.0,19.0,,9.0,22.0,1.0,6.0,3.0,18.0,,8.0,4.0,,,2.0,,,,,,1.0,,2.0,6.0,2.0,1.0,,,1.0,,,1.0,,,,,,2.0,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
