gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,attFreekickGoal,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attIboxBlocked,attGoalLowCentre,shotFastbreak,accurateKeeperSweeper,attSvHighRight,totalFastbreak,interceptionsInBox,attMissRight,bigChanceCreated,totalFlickOn,hitWoodwork,totalKeeperSweeper,bigChanceMissed,sixYardBlock,attSetpiece,attCmissHigh,attemptsConcededObox,attFastbreak,attGoalHighLeft,goalAssistIntentional,shieldBallOop,attHdMiss,accurateCornersIntobox,goalAssistSetplay,goalAssistDeadball,goodHighClaim,penaltyConceded,totalOffside,goalsConceded,accurateFlickOn,penaltyFaced,totalHighClaim,penGoalsConceded,attHdGoal,goalsConcededIbox,ptsDroppedWinningPos,attCmissRight,attOneOnOne,attLgCentre,errorLeadToShot,punches,attCmissHighRight,attSvHighCentre,attGoalLowRight,attSvHighLeft,attAssistSetplay,clearanceOffLine,attLgLeft,postScoringAtt,attIboxPost,contentiousDecision,attSvLowRight,attPostRight,attMissHighLeft,attCmissHighLeft,penaltyWon,attPenGoal,accurateFreekickCross,attPostHigh,ptsGainedLosingPos,errorLeadToGoal,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,subsGoals,expectedAssists,expectedGoals,goalsConcededObox,ownGoals,attIboxOwnGoal,attObxdRight,attObxRight,attObxLeft,attPostLeft,attHdPost,attPenTarget
11,2210374,2021-11-06 15:00:00,"Stamford Bridge, London",39798.0,Home,Chelsea,Burnley,1,1,D,1,0,0,0,,1.0,1.0,18.0,57.0,1.0,34.0,3.0,5.0,7.0,20.0,1.0,,1.0,219.0,9.0,11.0,11.0,1.0,2.0,22.0,,4.0,160.0,143.0,51.0,,25.0,3.0,15.0,3.0,3.0,1.0,2.0,3.0,24.0,5.0,,,3.0,8.0,5.0,36.0,309.0,,,,0.0,218.0,6.0,,,,1.0,63.0,88.0,13.0,122.0,16.0,19.0,5.0,,,8.0,2.0,143.0,3.0,159.0,833.0,18.0,54.0,1.0,4.0,546.0,30.0,4.0,3.0,1.0,1.0,1.0,9.0,21.0,633.0,64.0,,89335,12.0,272.0,7.0,306.0,5.0,,,1.0,19.0,6.0,39.0,1.0,,2.0,1.0,21.0,6.0,5.0,58.0,570.0,9.0,1.0,18.0,11.0,68.0,2.0,,0.0,,1.0,2.0,1.0,1.0,0.0,5.0,6.0,69.9,21.0,6.0,2.0,2.0,11.0,51.0,14.0,660.0,4.0,,13.0,19.0,10.0,56.0,7.0,378.0,11.0,5.0,23.0,175.0,18.0,1.0,1.0,3.0,8.0,14.0,3.0,15.0,1.0,9.0,14.0,,8.0,,2.0,,1.0,2.0,,,5.0,8.0,1.0,,4.0,1.0,,1.0,2.0,2.0,,1.0,2.0,3.0,6.0,,,1.0,,1.0,1.0,5.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,3.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
12,2210383,2021-11-20 12:30:00,"King Power Stadium, Leicester",32192.0,Away,Chelsea,Leicester City,3,0,W,2,0,0,0,,1.0,2.0,30.0,71.0,,27.0,10.0,7.0,5.0,9.0,3.0,1.0,2.0,214.0,13.0,3.0,13.0,3.0,3.0,12.0,1.0,7.0,144.0,147.0,56.0,2.0,16.0,2.0,8.0,3.0,,2.0,1.0,1.0,12.0,13.0,,1.0,10.0,5.0,11.0,44.0,237.0,1.0,1.0,1.0,0.0,135.0,8.0,2.0,1.0,1.0,1.0,41.0,108.0,7.0,89.0,7.0,24.0,7.0,2.0,1.0,3.0,3.0,147.0,1.0,160.0,803.0,8.0,22.0,,4.0,496.0,25.0,3.0,5.0,3.0,1.0,,5.0,24.0,586.0,52.0,2.0,88894,4.0,282.0,3.0,316.0,6.0,,1.0,1.0,24.0,4.0,44.0,3.0,1.0,4.0,2.0,22.0,3.0,2.0,47.0,516.0,15.0,8.0,12.0,1.0,82.0,,,0.0,,,3.0,,2.0,0.0,2.0,1.0,61.7,23.0,6.0,3.0,4.0,2.0,61.0,5.0,607.0,4.0,1.0,13.0,26.0,7.0,20.0,3.0,303.0,9.0,10.0,13.0,102.0,35.0,,,5.0,15.0,11.0,3.0,20.0,,13.0,5.0,3.0,,,,,,,,2.0,5.0,7.0,1.0,,3.0,,2.0,2.0,3.0,,,2.0,,,1.0,1.0,1.0,,,4.0,,3.0,,,,1.0,,,1.0,,,,,,,2.0,,1.0,,,1.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,
13,2210395,2021-11-28 16:30:00,"Stamford Bridge, London",40041.0,Home,Chelsea,Manchester United,1,1,D,0,0,0,0,,,1.0,28.0,74.0,1.0,30.0,6.0,7.0,5.0,17.0,1.0,,5.0,208.0,17.0,11.0,8.0,1.0,6.0,13.0,,6.0,133.0,153.0,49.0,,24.0,4.0,11.0,4.0,2.0,,1.0,2.0,37.0,11.0,,1.0,6.0,15.0,1.0,32.0,267.0,3.0,,,0.0,180.0,13.0,,1.0,2.0,4.0,77.0,115.0,7.0,108.0,22.0,19.0,7.0,,,4.0,2.0,153.0,1.0,137.0,799.0,11.0,46.0,,12.0,491.0,19.0,1.0,3.0,,2.0,,6.0,17.0,572.0,46.0,,89335,13.0,249.0,14.0,274.0,10.0,,1.0,1.0,19.0,2.0,54.0,,,5.0,,21.0,2.0,2.0,50.0,505.0,14.0,9.0,11.0,5.0,61.0,,,0.0,,1.0,2.0,,1.0,0.0,6.0,3.0,65.7,16.0,9.0,2.0,5.0,8.0,44.0,15.0,586.0,12.0,,10.0,21.0,10.0,45.0,8.0,349.0,15.0,1.0,11.0,143.0,41.0,,1.0,3.0,16.0,17.0,3.0,19.0,1.0,7.0,15.0,1.0,4.0,,,,,,,3.0,,3.0,1.0,,1.0,,1.0,2.0,2.0,,,,,2.0,5.0,,,,,2.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,2.0,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
14,2210405,2021-12-01 19:30:00,"Vicarage Road, Watford",20388.0,Away,Chelsea,Watford,2,1,W,1,1,0,0,,1.0,1.0,23.0,79.0,1.0,31.0,40.0,2.0,3.0,6.0,6.0,1.0,,171.0,10.0,3.0,9.0,2.0,5.0,5.0,,4.0,93.0,167.0,73.0,,8.0,1.0,29.0,2.0,,2.0,1.0,2.0,8.0,6.0,,,40.0,,7.0,49.0,142.0,,,,0.0,94.0,16.0,3.0,,,3.0,51.0,41.0,4.0,60.0,8.0,14.0,2.0,,1.0,2.0,1.0,167.0,6.0,98.0,641.0,3.0,19.0,1.0,15.0,285.0,44.0,9.0,19.0,2.0,3.0,4.0,1.0,18.0,398.0,52.0,1.0,89335,4.0,165.0,3.0,219.0,6.0,,1.0,,5.0,4.0,63.0,1.0,,4.0,2.0,22.0,3.0,,60.0,304.0,18.0,8.0,24.0,,67.0,,,0.0,,1.0,6.0,3.0,2.0,0.0,3.0,1.0,50.2,12.0,2.0,1.0,4.0,1.0,39.0,,422.0,15.0,,8.0,27.0,3.0,16.0,1.0,211.0,4.0,5.0,34.0,63.0,27.0,1.0,3.0,19.0,12.0,7.0,3.0,11.0,3.0,5.0,,2.0,,,,,,,,,1.0,5.0,1.0,,,,1.0,,8.0,,,2.0,1.0,,,,,2.0,,5.0,1.0,2.0,,2.0,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,1.0,,,,,1.0,,,,0.7596,1.3171,1.0,0.681191,0.9165,,,,,,,,,
15,2210419,2021-12-04 12:30:00,"London Stadium, London",59942.0,Away,Chelsea,West Ham United,2,3,L,2,1,0,0,1.0,,1.0,24.0,50.0,,20.0,9.0,7.0,4.0,12.0,1.0,,4.0,168.0,14.0,8.0,9.0,2.0,3.0,15.0,,7.0,158.0,135.0,39.0,,19.0,3.0,17.0,2.0,2.0,1.0,4.0,1.0,33.0,5.0,1.0,3.0,9.0,9.0,3.0,39.0,323.0,,,,0.0,215.0,10.0,1.0,,1.0,3.0,88.0,93.0,11.0,99.0,24.0,18.0,7.0,,,3.0,1.0,135.0,9.0,163.0,759.0,12.0,46.0,1.0,6.0,487.0,7.0,,5.0,2.0,3.0,1.0,4.0,16.0,566.0,54.0,,89335,9.0,192.0,18.0,219.0,7.0,,1.0,1.0,18.0,8.0,45.0,,1.0,5.0,1.0,13.0,6.0,2.0,48.0,507.0,10.0,6.0,15.0,3.0,53.0,,,0.0,,,1.0,2.0,2.0,0.0,5.0,5.0,63.8,14.0,3.0,1.0,5.0,8.0,31.0,9.0,588.0,6.0,,7.0,23.0,4.0,39.0,3.0,402.0,10.0,3.0,14.0,179.0,34.0,1.0,2.0,5.0,6.0,15.0,3.0,15.0,2.0,9.0,9.0,,5.0,,1.0,1.0,,1.0,,,1.0,2.0,,1.0,,2.0,1.0,1.0,2.0,1.0,,2.0,,2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,,1.0,4.0,1.0,1.0,2.0,3.0,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,
16,2210425,2021-12-11 15:00:00,"Stamford Bridge, London",39959.0,Home,Chelsea,Leeds United,3,2,W,1,1,0,0,,2.0,3.0,36.0,50.0,1.0,24.0,12.0,6.0,7.0,10.0,3.0,1.0,,154.0,26.0,5.0,8.0,3.0,6.0,8.0,,6.0,98.0,122.0,57.0,2.0,16.0,3.0,8.0,3.0,2.0,1.0,,2.0,16.0,13.0,,,12.0,5.0,3.0,30.0,199.0,1.0,,,0.0,147.0,9.0,2.0,2.0,,4.0,48.0,49.0,6.0,65.0,11.0,19.0,6.0,2.0,,2.0,3.0,122.0,8.0,98.0,638.0,5.0,25.0,1.0,12.0,334.0,14.0,6.0,7.0,1.0,2.0,6.0,2.0,31.0,399.0,51.0,,89335,7.0,154.0,5.0,168.0,5.0,,2.0,,19.0,2.0,50.0,2.0,,7.0,1.0,17.0,2.0,1.0,36.0,348.0,15.0,10.0,13.0,3.0,51.0,1.0,,0.0,,1.0,2.0,1.0,3.0,0.0,1.0,3.0,57.8,29.0,7.0,1.0,7.0,5.0,35.0,5.0,415.0,12.0,2.0,15.0,14.0,5.0,33.0,2.0,263.0,6.0,3.0,16.0,111.0,22.0,1.0,2.0,7.0,18.0,9.0,3.0,16.0,2.0,10.0,5.0,2.0,2.0,,,,,,,1.0,2.0,4.0,,,1.0,,,1.0,4.0,,1.0,1.0,2.0,1.0,4.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,2.0,1.0,,2.0,,,,,2.0,1.0,,,,2.0,2.0,,,3.0,,,,,,,,,,,,,,,
17,2210438,2021-12-16 19:45:00,"Stamford Bridge, London",39933.0,Home,Chelsea,Everton,1,1,D,0,0,0,0,,2.0,1.0,33.0,64.0,,17.0,7.0,6.0,7.0,16.0,2.0,,5.0,203.0,17.0,8.0,13.0,1.0,7.0,16.0,1.0,10.0,245.0,137.0,52.0,2.0,23.0,2.0,14.0,7.0,2.0,1.0,2.0,4.0,22.0,8.0,,2.0,7.0,7.0,6.0,19.0,442.0,,,,0.0,245.0,11.0,1.0,,2.0,2.0,53.0,110.0,9.0,70.0,15.0,13.0,7.0,2.0,,3.0,3.0,137.0,2.0,259.0,978.0,9.0,30.0,2.0,2.0,685.0,25.0,4.0,2.0,1.0,2.0,1.0,7.0,31.0,764.0,84.0,1.0,89335,9.0,264.0,10.0,289.0,7.0,1.0,1.0,1.0,13.0,2.0,53.0,2.0,,9.0,1.0,24.0,2.0,4.0,36.0,698.0,10.0,9.0,11.0,5.0,58.0,2.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,80.1,31.0,3.0,,9.0,3.0,46.0,7.0,777.0,2.0,,8.0,8.0,10.0,47.0,7.0,510.0,10.0,5.0,18.0,201.0,26.0,1.0,,2.0,11.0,10.0,3.0,24.0,,8.0,7.0,1.0,1.0,,,,1.0,,1.0,2.0,5.0,3.0,,,5.0,,6.0,3.0,3.0,,,1.0,,3.0,4.0,,,,,,1.0,,,,,,1.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,,6.0,,,,,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,
18,2210450,2021-12-19 14:00:00,"Molineux Stadium, Wolverhampton",30631.0,Away,Chelsea,Wolverhampton Wanderers,0,0,D,0,0,0,0,2.0,1.0,,28.0,62.0,,23.0,18.0,2.0,1.0,6.0,1.0,,,188.0,17.0,4.0,14.0,,3.0,7.0,,1.0,221.0,151.0,52.0,,8.0,2.0,11.0,1.0,1.0,,1.0,,30.0,9.0,,,18.0,8.0,,28.0,373.0,,1.0,,0.0,242.0,7.0,1.0,,,1.0,81.0,162.0,6.0,116.0,22.0,30.0,2.0,,,4.0,,151.0,1.0,214.0,936.0,5.0,23.0,,16.0,637.0,20.0,4.0,8.0,,2.0,2.0,1.0,22.0,726.0,69.0,2.0,91651,5.0,280.0,17.0,295.0,4.0,,,1.0,30.0,1.0,37.0,2.0,,3.0,,10.0,1.0,1.0,46.0,649.0,9.0,4.0,17.0,2.0,73.0,,,0.0,,2.0,4.0,1.0,,0.0,1.0,2.0,63.1,20.0,6.0,,3.0,6.0,58.0,9.0,739.0,16.0,,8.0,14.0,1.0,46.0,1.0,474.0,5.0,,14.0,191.0,33.0,,2.0,8.0,16.0,5.0,2.0,23.0,2.0,8.0,9.0,,4.0,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,3.0,,,,1.0,1.0,3.0,,,1.0,,4.0,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2210451,2021-12-26 17:30:00,"Villa Park, Birmingham",41907.0,Away,Chelsea,Aston Villa,3,1,W,1,1,0,0,,,2.0,26.0,55.0,,40.0,18.0,1.0,1.0,9.0,1.0,,1.0,177.0,13.0,3.0,10.0,3.0,4.0,7.0,,4.0,162.0,117.0,43.0,1.0,10.0,,7.0,1.0,2.0,1.0,1.0,,21.0,10.0,,,18.0,5.0,1.0,41.0,325.0,,,,0.0,199.0,11.0,,2.0,,1.0,90.0,121.0,5.0,92.0,16.0,15.0,1.0,1.0,,6.0,1.0,117.0,6.0,178.0,800.0,6.0,32.0,,16.0,531.0,26.0,1.0,7.0,1.0,1.0,4.0,2.0,23.0,599.0,75.0,,91651,7.0,219.0,9.0,238.0,5.0,,2.0,,15.0,2.0,44.0,,,6.0,1.0,9.0,2.0,1.0,59.0,541.0,8.0,9.0,7.0,,67.0,,,0.0,,,2.0,,3.0,0.0,3.0,1.0,57.9,20.0,5.0,,6.0,3.0,50.0,5.0,609.0,16.0,1.0,11.0,25.0,3.0,39.0,2.0,392.0,8.0,,8.0,163.0,18.0,,1.0,7.0,17.0,7.0,3.0,16.0,1.0,5.0,5.0,1.0,3.0,1.0,1.0,2.0,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,,,3.0,1.0,,1.0,,,,,,1.0,,2.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,,3.0,,,,,,,,1.0,1.0,,,,,,
20,2210463,2021-12-29 19:30:00,"Stamford Bridge, London",40080.0,Home,Chelsea,Brighton and Hove Albion,1,1,D,1,0,0,0,2.0,,,24.0,73.0,1.0,22.0,26.0,2.0,2.0,9.0,5.0,,2.0,163.0,15.0,5.0,7.0,1.0,3.0,8.0,,5.0,101.0,144.0,57.0,,11.0,1.0,14.0,4.0,2.0,,1.0,3.0,20.0,15.0,,,26.0,9.0,5.0,35.0,207.0,,,,0.0,130.0,14.0,1.0,,,1.0,49.0,67.0,7.0,59.0,11.0,21.0,2.0,,,2.0,1.0,144.0,10.0,107.0,640.0,6.0,32.0,2.0,10.0,328.0,25.0,3.0,10.0,1.0,4.0,4.0,1.0,17.0,408.0,60.0,,91651,3.0,141.0,8.0,166.0,11.0,,,,21.0,10.0,63.0,1.0,,7.0,,12.0,6.0,,50.0,343.0,7.0,14.0,15.0,5.0,63.0,,,0.0,,3.0,8.0,1.0,1.0,0.0,2.0,3.0,47.7,14.0,4.0,2.0,7.0,3.0,34.0,10.0,430.0,10.0,,16.0,15.0,3.0,30.0,2.0,284.0,6.0,3.0,20.0,100.0,34.0,1.0,,10.0,23.0,6.0,3.0,14.0,,7.0,10.0,4.0,2.0,,,1.0,,,,,,6.0,1.0,1.0,,,,,8.0,,,1.0,2.0,,3.0,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,,1.0,1.0,2.0,,,,,1.0,,1.0,,,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,
21,2210473,2022-01-02 16:30:00,"Stamford Bridge, London",40072.0,Home,Chelsea,Liverpool,2,2,D,2,2,0,0,,3.0,1.0,26.0,80.0,,37.0,16.0,4.0,7.0,9.0,4.0,1.0,1.0,199.0,15.0,5.0,13.0,2.0,4.0,9.0,,6.0,147.0,158.0,55.0,3.0,15.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,24.0,11.0,2.0,3.0,16.0,5.0,1.0,50.0,232.0,1.0,,1.0,0.0,175.0,5.0,3.0,1.0,1.0,,62.0,104.0,5.0,106.0,19.0,17.0,6.0,3.0,,8.0,1.0,158.0,7.0,122.0,782.0,7.0,30.0,,17.0,455.0,36.0,7.0,8.0,1.0,1.0,2.0,4.0,14.0,554.0,66.0,1.0,91651,5.0,246.0,11.0,281.0,2.0,,1.0,,17.0,3.0,44.0,2.0,,4.0,1.0,19.0,3.0,,79.0,473.0,13.0,10.0,33.0,1.0,72.0,1.0,,0.0,2.0,1.0,7.0,2.0,1.0,0.0,4.0,1.0,55.3,11.0,10.0,3.0,4.0,4.0,42.0,6.0,574.0,17.0,,8.0,28.0,5.0,30.0,4.0,317.0,7.0,1.0,10.0,125.0,30.0,1.0,,8.0,19.0,9.0,2.0,17.0,,10.0,6.0,2.0,3.0,,,4.0,2.0,,,1.0,2.0,2.0,,4.0,1.0,,2.0,,3.0,,,1.0,,1.0,1.0,,,,,3.0,2.0,1.0,,,,,2.0,,,1.0,,1.0,,,,,,1.0,,,,,2.0,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,
22,2210485,2022-01-15 12:30:00,"Etihad Stadium, Manchester",53319.0,Away,Chelsea,Manchester City,0,1,L,0,0,0,0,,1.0,,24.0,59.0,,11.0,24.0,2.0,3.0,2.0,5.0,,,160.0,17.0,2.0,7.0,,1.0,3.0,1.0,1.0,103.0,113.0,46.0,,4.0,,16.0,,,,,,11.0,13.0,,1.0,24.0,1.0,4.0,38.0,138.0,,,,0.0,88.0,6.0,,,1.0,1.0,42.0,52.0,2.0,93.0,10.0,19.0,2.0,,,3.0,1.0,113.0,8.0,103.0,639.0,3.0,7.0,,11.0,374.0,26.0,,12.0,,2.0,2.0,1.0,12.0,436.0,43.0,1.0,91651,1.0,252.0,6.0,268.0,4.0,,,1.0,19.0,8.0,46.0,3.0,,9.0,,19.0,4.0,1.0,45.0,388.0,11.0,16.0,12.0,,54.0,,,0.0,,1.0,9.0,4.0,,0.0,1.0,,44.3,11.0,1.0,1.0,9.0,1.0,24.0,1.0,459.0,11.0,,5.0,14.0,2.0,14.0,1.0,202.0,1.0,4.0,6.0,59.0,23.0,,,12.0,22.0,4.0,3.0,10.0,,9.0,1.0,1.0,1.0,,1.0,2.0,,1.0,3.0,,1.0,1.0,,2.0,1.0,,,,3.0,1.0,,,,,1.0,,,1.0,,4.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
23,2210493,2022-01-23 16:30:00,"Stamford Bridge, London",40020.0,Home,Chelsea,Tottenham Hotspur,2,0,W,0,0,0,0,,3.0,,23.0,58.0,,24.0,12.0,6.0,7.0,9.0,3.0,1.0,2.0,188.0,10.0,6.0,6.0,2.0,3.0,13.0,,7.0,168.0,125.0,48.0,,15.0,1.0,8.0,2.0,,1.0,2.0,1.0,26.0,11.0,,3.0,12.0,10.0,5.0,36.0,239.0,,1.0,1.0,0.0,154.0,17.0,3.0,,2.0,3.0,72.0,102.0,8.0,89.0,16.0,18.0,6.0,,,6.0,1.0,125.0,4.0,161.0,779.0,9.0,23.0,,10.0,511.0,22.0,2.0,4.0,2.0,2.0,1.0,5.0,18.0,589.0,59.0,,91651,5.0,293.0,7.0,310.0,12.0,,,,18.0,4.0,47.0,,1.0,8.0,1.0,9.0,2.0,4.0,38.0,526.0,14.0,8.0,5.0,2.0,80.0,1.0,,0.0,,1.0,3.0,2.0,1.0,0.0,3.0,4.0,64.6,17.0,4.0,2.0,8.0,3.0,66.0,10.0,606.0,10.0,,7.0,20.0,5.0,37.0,4.0,322.0,4.0,4.0,13.0,109.0,24.0,1.0,,4.0,15.0,12.0,3.0,13.0,,5.0,10.0,1.0,2.0,,1.0,,,1.0,,,1.0,3.0,,,1.0,,1.0,,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
24,2210502,2022-01-18 20:00:00,"American Express Stadium, Falmer",30880.0,Away,Chelsea,Brighton and Hove Albion,1,1,D,1,0,0,0,,1.0,,27.0,64.0,,27.0,26.0,8.0,8.0,7.0,1.0,1.0,1.0,174.0,8.0,2.0,4.0,1.0,1.0,9.0,,3.0,153.0,131.0,39.0,1.0,15.0,3.0,8.0,2.0,3.0,1.0,,,24.0,7.0,,,26.0,7.0,4.0,40.0,235.0,3.0,,1.0,0.0,182.0,5.0,1.0,1.0,,,58.0,59.0,8.0,86.0,17.0,17.0,8.0,1.0,,7.0,4.0,131.0,7.0,166.0,765.0,8.0,27.0,,10.0,489.0,34.0,3.0,13.0,1.0,2.0,5.0,1.0,19.0,565.0,53.0,1.0,91651,2.0,270.0,10.0,299.0,2.0,,,1.0,17.0,5.0,36.0,2.0,,6.0,1.0,14.0,5.0,1.0,45.0,503.0,6.0,7.0,9.0,2.0,56.0,,,0.0,,1.0,5.0,1.0,,0.0,2.0,1.0,56.8,17.0,3.0,1.0,6.0,7.0,40.0,7.0,579.0,10.0,,8.0,26.0,5.0,33.0,1.0,304.0,6.0,3.0,15.0,153.0,21.0,,,13.0,14.0,12.0,3.0,12.0,,8.0,7.0,,4.0,,,1.0,1.0,,,,,4.0,,1.0,,,,,3.0,,,,,,,,,,,,1.0,3.0,,,,,1.0,2.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,2210513,2022-04-20 19:45:00,"Stamford Bridge, London",32249.0,Home,Chelsea,Arsenal,2,4,L,2,2,0,0,,,,27.0,60.0,2.0,23.0,5.0,2.0,5.0,9.0,,,,189.0,17.0,3.0,8.0,2.0,2.0,8.0,,2.0,205.0,153.0,49.0,,11.0,1.0,14.0,,2.0,1.0,,2.0,20.0,13.0,,,5.0,6.0,9.0,35.0,329.0,,,1.0,0.0,198.0,7.0,,1.0,,1.0,110.0,92.0,3.0,112.0,14.0,27.0,2.0,,,1.0,,153.0,10.0,198.0,879.0,7.0,30.0,,10.0,587.0,24.0,2.0,1.0,1.0,3.0,3.0,5.0,21.0,682.0,72.0,,89335,3.0,279.0,12.0,312.0,6.0,,2.0,,27.0,8.0,48.0,3.0,,4.0,2.0,14.0,6.0,,49.0,605.0,4.0,7.0,10.0,1.0,66.0,1.0,,0.0,,1.0,1.0,,1.0,0.0,1.0,,68.0,20.0,10.0,4.0,4.0,4.0,39.0,6.0,704.0,10.0,,14.0,14.0,5.0,34.0,5.0,412.0,6.0,8.0,14.0,154.0,22.0,1.0,2.0,1.0,23.0,10.0,3.0,14.0,2.0,10.0,6.0,,3.0,,,,,,,1.0,,6.0,,,,1.0,,,4.0,,,1.0,,,2.0,,,,1.0,1.0,4.0,2.0,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,
