gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,savedObox,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attIboxBlocked,attLfTotal,fouledFinalThird,attFreekickTotal,attOboxBlocked,attOboxTarget,attSvHighRight,attSvHighLeft,freekickCross,attFreekickPost,freekickTotal,attObxdRight,attMissHighLeft,attSetpiece,attCmissHigh,attCmissLeft,attOboxPost,attPostHigh,attSvHighCentre,blockedScoringAtt,goalsConcededObox,goalAssistSetplay,attGoalHighRight,overrun,goalsConceded,goalAssistIntentional,forwardGoals,ptsDroppedWinningPos,attMissHighRight,attLgCentre,attCmissHighLeft,goalsConcededIbox,attGoalLowRight,attLfGoal,penaltyWon,secondYellow,contentiousDecision,attPenGoal,attGoalLowCentre,shotFastbreak,attOneOnOne,ptsGainedLosingPos,totalFastbreak,attSvLowLeft,sixYardBlock,defenderGoals,attFastbreak,clearanceOffLine,attHdTarget,accurateFreekickCross,attSvLowRight,punches,attPostLeft,goalAssistDeadball,errorLeadToShot,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdLeft,attFreekickMiss,ownGoals,foulThrowIn,attIboxOwnGoal,accuratePullBack,attLgRight,attObxLeft,attOboxGoal,errorLeadToGoal,goalFastbreak,attGoalHighLeft,attHdPost,attFreekickTarget
11,2210372,2021-11-06 15:00:00,"Gtech Community Stadium, Brentford",16837,Home,Brentford,Norwich City,1,2,L,0,2,0,0,1.0,21.0,70.0,,2.0,45.0,10.0,2.0,17.0,4.0,2.0,208.0,12.0,11.0,10.0,1.0,15.0,,7.0,139.0,190.0,77.0,19.0,23.0,6.0,2.0,,1.0,1.0,2.0,2.0,35.0,,14.0,10.0,6.0,3.0,60.0,242.0,,0.0,193.0,12.0,2.0,1.0,,99.0,56.0,11.0,92.0,1.0,1.0,29.0,15.0,2.0,,14.0,,190.0,3.0,4.0,120.0,774.0,7.0,12.0,44.0,,3.0,413.0,23.0,8.0,5.0,1.0,1.0,2.0,1.0,4.0,28.0,536.0,88.0,,61810,8.0,204.0,2.0,14.0,225.0,11.0,,,15.0,3.0,60.0,,2.0,3.0,1.0,20.0,5.0,3.0,,77.0,435.0,13.0,10.0,7.0,25.0,7.0,86.0,0.0,2.0,1.0,1.0,3.0,0.0,7.0,,7.0,64.5,25.0,2.0,6.0,2.0,3.0,53.0,6.0,,559.0,3.0,11.0,28.0,5.0,,51.0,4.0,5.0,369.0,7.0,3.0,35.0,122.0,34.0,1.0,5.0,19.0,,6.0,3.0,15.0,1.0,3.0,6.0,,2.0,5.0,5.0,2.0,,2.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,7.0,1.0,,,1.0,2.0,1.0,,,1.0,,,1.0,,1.0,,,1.0,,1.0,,,,,1.0,1.0,,,,2.0,1.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
12,2210386,2021-11-20 15:00:00,"St. James' Park, Newcastle",52131,Away,Brentford,Newcastle United,3,3,D,2,2,0,0,1.0,34.0,58.0,2.0,1.0,32.0,35.0,3.0,6.0,6.0,1.0,158.0,20.0,1.0,2.0,3.0,7.0,1.0,4.0,59.0,153.0,50.0,10.0,26.0,1.0,2.0,,2.0,2.0,,,11.0,,13.0,35.0,2.0,3.0,47.0,113.0,,0.0,92.0,11.0,1.0,1.0,1.0,48.0,24.0,4.0,56.0,,2.0,9.0,14.0,4.0,,2.0,2.0,153.0,1.0,16.0,62.0,541.0,5.0,11.0,21.0,1.0,7.0,206.0,16.0,8.0,18.0,2.0,2.0,2.0,6.0,3.0,23.0,306.0,40.0,,61810,2.0,114.0,1.0,7.0,142.0,7.0,1.0,,14.0,8.0,62.0,,2.0,7.0,2.0,12.0,7.0,5.0,1.0,77.0,226.0,12.0,12.0,,35.0,1.0,70.0,0.0,8.0,5.0,3.0,3.0,0.0,1.0,,1.0,47.8,17.0,,3.0,1.0,7.0,30.0,2.0,1.0,335.0,7.0,7.0,22.0,4.0,,29.0,,2.0,204.0,6.0,1.0,15.0,55.0,27.0,3.0,18.0,21.0,1.0,8.0,3.0,8.0,3.0,6.0,2.0,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,2.0,,,,1.0,3.0,2.0,1.0,2.0,1.0,,,3.0,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,
13,2210392,2021-11-28 14:00:00,"Gtech Community Stadium, Brentford",16957,Home,Brentford,Everton,1,0,W,1,0,0,0,1.0,29.0,83.0,1.0,1.0,21.0,18.0,1.0,5.0,5.0,2.0,166.0,9.0,,16.0,1.0,3.0,,4.0,77.0,174.0,58.0,6.0,25.0,2.0,,,,,1.0,,11.0,,11.0,18.0,2.0,4.0,46.0,79.0,1.0,0.0,84.0,8.0,1.0,,3.0,39.0,35.0,3.0,48.0,1.0,,9.0,15.0,1.0,,6.0,,174.0,,10.0,68.0,560.0,2.0,7.0,14.0,,11.0,228.0,46.0,5.0,10.0,,,4.0,4.0,,23.0,332.0,50.0,1.0,61810,4.0,165.0,,2.0,198.0,4.0,1.0,,15.0,7.0,65.0,1.0,,6.0,,16.0,4.0,4.0,2.0,68.0,244.0,11.0,13.0,1.0,27.0,,75.0,0.0,3.0,4.0,1.0,4.0,0.0,,,1.0,39.7,12.0,,2.0,1.0,6.0,32.0,3.0,3.0,359.0,11.0,8.0,13.0,2.0,,25.0,,2.0,172.0,5.0,4.0,12.0,37.0,22.0,1.0,10.0,19.0,,3.0,3.0,27.0,1.0,6.0,3.0,,,,,4.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,2.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,2210410,2021-12-02 19:30:00,"Tottenham Hotspur Stadium, London",54202,Away,Brentford,Tottenham Hotspur,0,2,L,0,1,0,0,,32.0,68.0,,1.0,31.0,20.0,2.0,4.0,5.0,,156.0,18.0,3.0,4.0,,4.0,,2.0,136.0,154.0,46.0,6.0,25.0,2.0,,,,,2.0,,21.0,,5.0,20.0,5.0,2.0,47.0,149.0,,0.0,110.0,11.0,3.0,,,63.0,39.0,3.0,93.0,,1.0,16.0,23.0,2.0,,4.0,2.0,154.0,,11.0,136.0,701.0,4.0,10.0,20.0,,15.0,400.0,22.0,2.0,6.0,,,0.0,2.0,1.0,22.0,502.0,63.0,1.0,61810,2.0,270.0,,11.0,303.0,5.0,,,23.0,4.0,50.0,1.0,,5.0,,12.0,1.0,3.0,2.0,67.0,416.0,13.0,8.0,,20.0,1.0,60.0,0.0,11.0,4.0,,2.0,0.0,1.0,1.0,1.0,53.0,12.0,,3.0,1.0,5.0,31.0,5.0,,521.0,15.0,6.0,19.0,3.0,,33.0,2.0,1.0,239.0,1.0,2.0,19.0,61.0,38.0,2.0,6.0,10.0,,3.0,3.0,6.0,2.0,10.0,5.0,,2.0,1.0,4.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
15,2210413,2021-12-05 14:00:00,"Elland Road, Leeds",35639,Away,Brentford,Leeds United,2,2,D,0,1,0,0,1.0,21.0,65.0,1.0,3.0,12.0,28.0,2.0,7.0,4.0,1.0,143.0,11.0,4.0,9.0,2.0,7.0,,3.0,64.0,155.0,57.0,9.0,18.0,1.0,1.0,,,1.0,,,13.0,,7.0,28.0,1.0,4.0,38.0,108.0,,0.0,102.0,9.0,3.0,1.0,,33.0,43.0,5.0,37.0,2.0,,12.0,16.0,2.0,1.0,4.0,,155.0,2.0,7.0,64.0,499.0,6.0,7.0,23.0,,15.0,195.0,26.0,1.0,14.0,1.0,,3.0,3.0,2.0,18.0,284.0,50.0,,61810,4.0,106.0,1.0,6.0,134.0,5.0,1.0,1.0,16.0,5.0,52.0,,,2.0,2.0,16.0,6.0,3.0,,47.0,210.0,11.0,8.0,,13.0,,60.0,0.0,5.0,1.0,2.0,,0.0,3.0,,1.0,36.9,7.0,1.0,9.0,1.0,2.0,25.0,1.0,1.0,308.0,15.0,11.0,12.0,2.0,,25.0,1.0,2.0,187.0,3.0,2.0,19.0,58.0,21.0,1.0,14.0,18.0,,8.0,3.0,16.0,1.0,8.0,1.0,1.0,,2.0,5.0,4.0,1.0,2.0,,,,2.0,,1.0,,2.0,,,,,,1.0,4.0,,,,3.0,2.0,1.0,1.0,2.0,,,1.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,
16,2210422,2021-12-10 20:00:00,"Gtech Community Stadium, Brentford",16861,Home,Brentford,Watford,2,1,W,0,1,0,0,2.0,18.0,66.0,1.0,,30.0,9.0,3.0,11.0,1.0,1.0,192.0,8.0,3.0,6.0,2.0,9.0,2.0,5.0,101.0,188.0,68.0,14.0,36.0,2.0,1.0,,,,1.0,1.0,28.0,,12.0,9.0,7.0,,43.0,179.0,,0.0,140.0,12.0,1.0,,,66.0,61.0,6.0,73.0,,2.0,21.0,10.0,3.0,,2.0,1.0,188.0,1.0,4.0,106.0,671.0,6.0,7.0,30.0,,11.0,332.0,27.0,4.0,4.0,1.0,,4.0,1.0,3.0,34.0,451.0,73.0,,61810,8.0,174.0,,16.0,211.0,5.0,,,10.0,4.0,71.0,,1.0,5.0,,16.0,2.0,3.0,,71.0,350.0,18.0,6.0,2.0,19.0,2.0,80.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,,4.0,63.4,27.0,2.0,4.0,,5.0,47.0,8.0,,472.0,11.0,10.0,18.0,4.0,,46.0,,3.0,289.0,6.0,,25.0,80.0,30.0,1.0,4.0,20.0,1.0,7.0,3.0,13.0,1.0,3.0,8.0,,2.0,4.0,4.0,5.0,,1.0,1.0,,,3.0,,,,,1.0,,,,,1.0,5.0,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,2210432,2022-01-19 20:00:00,"Gtech Community Stadium, Brentford",17094,Home,Brentford,Manchester United,1,3,L,0,0,0,0,1.0,25.0,74.0,1.0,2.0,22.0,30.0,4.0,13.0,2.0,3.0,162.0,10.0,4.0,5.0,1.0,12.0,1.0,9.0,79.0,173.0,46.0,18.0,31.0,6.0,,,1.0,1.0,1.0,1.0,19.0,,11.0,30.0,6.0,2.0,51.0,157.0,,0.0,133.0,7.0,1.0,,,61.0,55.0,10.0,68.0,,1.0,13.0,15.0,5.0,,7.0,2.0,173.0,4.0,7.0,96.0,604.0,9.0,8.0,33.0,,7.0,275.0,28.0,4.0,15.0,1.0,1.0,0.0,5.0,2.0,16.0,383.0,60.0,3.0,61810,9.0,138.0,3.0,6.0,162.0,6.0,1.0,2.0,15.0,8.0,70.0,3.0,3.0,3.0,,16.0,6.0,6.0,1.0,62.0,291.0,7.0,14.0,2.0,19.0,4.0,70.0,0.0,9.0,,1.0,2.0,0.0,2.0,1.0,3.0,43.7,10.0,,9.0,1.0,3.0,33.0,6.0,1.0,405.0,7.0,13.0,18.0,4.0,,39.0,2.0,2.0,262.0,9.0,2.0,17.0,76.0,31.0,,15.0,17.0,,11.0,3.0,11.0,,8.0,6.0,1.0,2.0,4.0,6.0,2.0,,1.0,2.0,2.0,1.0,,,,,,1.0,,,,,1.0,5.0,,,,,3.0,,1.0,,1.0,,,3.0,,,,,,,,3.0,,,3.0,1.0,3.0,,3.0,,3.0,,2.0,,,,,,,,,,,,,2.0,1.0,,,,,,,
18,2210446,2022-01-11 19:45:00,"St. Mary's Stadium, Southampton",27383,Away,Brentford,Southampton,1,4,L,1,2,0,0,,28.0,65.0,1.0,,22.0,14.0,1.0,4.0,3.0,1.0,178.0,8.0,4.0,10.0,1.0,4.0,,4.0,105.0,168.0,54.0,5.0,17.0,2.0,1.0,,,1.0,,,13.0,,6.0,14.0,2.0,6.0,45.0,152.0,,0.0,101.0,8.0,2.0,1.0,1.0,54.0,54.0,4.0,47.0,,,11.0,21.0,1.0,,4.0,,168.0,1.0,9.0,98.0,619.0,3.0,9.0,17.0,,7.0,296.0,31.0,3.0,7.0,1.0,,1.0,2.0,,27.0,407.0,50.0,1.0,61810,1.0,165.0,1.0,6.0,208.0,3.0,,,21.0,6.0,49.0,3.0,1.0,6.0,1.0,21.0,4.0,6.0,,57.0,313.0,9.0,8.0,,21.0,2.0,58.0,0.0,5.0,3.0,1.0,2.0,0.0,4.0,1.0,,51.1,22.0,,6.0,,6.0,28.0,2.0,1.0,428.0,7.0,9.0,21.0,,,23.0,,,233.0,2.0,5.0,20.0,63.0,19.0,2.0,7.0,15.0,,3.0,3.0,17.0,2.0,8.0,2.0,,2.0,1.0,3.0,4.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,1.0,4.0,1.0,,,,,,4.0,,1.0,,,,,,,,,,1.0,,,,,,,2.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,
19,2210452,2021-12-26 20:00:00,"American Express Stadium, Falmer",30141,Away,Brentford,Brighton and Hove Albion,0,2,L,0,2,0,0,,17.0,64.0,,2.0,19.0,21.0,4.0,12.0,3.0,3.0,181.0,8.0,4.0,15.0,,13.0,1.0,6.0,102.0,157.0,53.0,16.0,20.0,4.0,3.0,,,,4.0,1.0,24.0,,9.0,21.0,9.0,7.0,32.0,149.0,,0.0,104.0,10.0,1.0,,1.0,45.0,59.0,9.0,70.0,2.0,4.0,15.0,24.0,4.0,,9.0,1.0,157.0,1.0,4.0,97.0,654.0,12.0,8.0,31.0,,12.0,325.0,29.0,7.0,12.0,,,3.0,3.0,4.0,19.0,424.0,48.0,,61810,7.0,203.0,1.0,6.0,241.0,4.0,,,24.0,10.0,51.0,,3.0,7.0,,15.0,11.0,10.0,,50.0,348.0,8.0,9.0,1.0,25.0,5.0,56.0,0.0,6.0,1.0,,1.0,0.0,3.0,1.0,4.0,49.6,15.0,1.0,7.0,2.0,7.0,35.0,9.0,1.0,450.0,12.0,10.0,13.0,6.0,,31.0,1.0,5.0,233.0,12.0,7.0,15.0,63.0,17.0,,12.0,16.0,,9.0,3.0,18.0,,10.0,9.0,,,3.0,,1.0,,1.0,2.0,1.0,,,,,,,,,1.0,,,,4.0,2.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
20,2210462,2021-12-29 20:15:00,"Gtech Community Stadium, Brentford",17009,Home,Brentford,Manchester City,0,1,L,0,1,0,0,,19.0,51.0,,1.0,16.0,17.0,2.0,3.0,2.0,1.0,108.0,12.0,1.0,2.0,,3.0,,2.0,40.0,115.0,44.0,6.0,18.0,2.0,,,1.0,,2.0,1.0,10.0,,6.0,17.0,3.0,,25.0,42.0,,0.0,49.0,12.0,,,,47.0,11.0,3.0,24.0,2.0,1.0,8.0,10.0,3.0,,3.0,2.0,115.0,,7.0,45.0,357.0,3.0,7.0,10.0,,16.0,125.0,26.0,2.0,9.0,,1.0,0.0,4.0,,10.0,190.0,32.0,,61810,1.0,95.0,,3.0,115.0,7.0,,1.0,10.0,11.0,48.0,,,3.0,,8.0,5.0,4.0,,59.0,136.0,10.0,7.0,,24.0,2.0,53.0,0.0,5.0,1.0,,1.0,0.0,,2.0,,23.7,4.0,,3.0,1.0,3.0,14.0,3.0,,217.0,16.0,7.0,12.0,2.0,,15.0,2.0,,112.0,4.0,,15.0,23.0,14.0,2.0,9.0,17.0,,4.0,3.0,6.0,2.0,4.0,3.0,,1.0,1.0,2.0,2.0,,1.0,,,,2.0,,,,,,,,,,,2.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2210472,2022-01-02 14:00:00,"Gtech Community Stadium, Brentford",16876,Home,Brentford,Aston Villa,2,1,W,1,1,0,0,,26.0,54.0,1.0,,15.0,19.0,3.0,6.0,4.0,2.0,149.0,11.0,2.0,4.0,2.0,7.0,,4.0,102.0,141.0,45.0,10.0,15.0,1.0,1.0,,,1.0,1.0,2.0,13.0,,15.0,19.0,3.0,5.0,34.0,98.0,,0.0,85.0,17.0,2.0,1.0,,50.0,34.0,3.0,48.0,,2.0,10.0,16.0,4.0,,8.0,2.0,141.0,,10.0,101.0,572.0,4.0,4.0,11.0,1.0,8.0,282.0,24.0,2.0,8.0,1.0,,2.0,5.0,4.0,19.0,374.0,51.0,,61810,3.0,203.0,,2.0,238.0,13.0,,,16.0,8.0,52.0,,,5.0,2.0,11.0,6.0,7.0,1.0,48.0,299.0,11.0,9.0,2.0,18.0,1.0,57.0,0.0,7.0,4.0,1.0,,0.0,1.0,,3.0,45.4,14.0,3.0,3.0,1.0,5.0,24.0,3.0,,400.0,8.0,6.0,11.0,6.0,,18.0,1.0,4.0,175.0,4.0,4.0,10.0,51.0,20.0,1.0,8.0,20.0,,7.0,3.0,9.0,1.0,8.0,3.0,,,,3.0,2.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,2.0,1.0,,1.0,,,,,1.0,,2.0,,,,,1.0,1.0,,3.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,
22,2210484,2022-01-16 14:00:00,"Anfield, Liverpool",52824,Away,Brentford,Liverpool,0,3,L,0,1,0,0,,31.0,85.0,,4.0,16.0,32.0,2.0,4.0,10.0,,165.0,12.0,,6.0,,5.0,,1.0,67.0,160.0,52.0,6.0,24.0,1.0,,,,,,2.0,4.0,,9.0,32.0,,2.0,67.0,93.0,,0.0,80.0,6.0,2.0,,,52.0,19.0,3.0,47.0,3.0,,4.0,21.0,2.0,,3.0,2.0,160.0,,18.0,61.0,525.0,4.0,7.0,8.0,,15.0,199.0,36.0,4.0,17.0,,,1.0,6.0,2.0,12.0,317.0,44.0,3.0,61810,4.0,120.0,,1.0,164.0,3.0,,,21.0,9.0,47.0,4.0,7.0,3.0,,11.0,9.0,4.0,1.0,70.0,213.0,6.0,9.0,1.0,22.0,,75.0,0.0,9.0,6.0,,3.0,0.0,,,,31.7,11.0,,7.0,,3.0,22.0,,,340.0,15.0,3.0,18.0,3.0,,14.0,,1.0,180.0,3.0,2.0,19.0,41.0,30.0,4.0,17.0,21.0,,6.0,3.0,12.0,4.0,16.0,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,2.0,,,,2.0,,,,1.0,3.0,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
23,2210492,2022-01-22 15:00:00,"Gtech Community Stadium, Brentford",16982,Home,Brentford,Wolverhampton Wanderers,1,2,L,0,0,0,0,,30.0,60.0,,,19.0,14.0,4.0,7.0,,,179.0,12.0,5.0,11.0,1.0,7.0,1.0,1.0,105.0,181.0,59.0,11.0,14.0,,,,1.0,,,,22.0,,9.0,14.0,5.0,2.0,54.0,142.0,,0.0,144.0,6.0,,,,53.0,55.0,4.0,72.0,1.0,3.0,17.0,18.0,4.0,,7.0,2.0,181.0,,3.0,99.0,640.0,5.0,11.0,27.0,,10.0,318.0,23.0,2.0,6.0,1.0,1.0,2.0,1.0,3.0,29.0,436.0,60.0,1.0,61810,2.0,198.0,,9.0,236.0,1.0,1.0,,18.0,5.0,58.0,2.0,,3.0,,12.0,4.0,5.0,2.0,55.0,335.0,7.0,16.0,1.0,14.0,3.0,61.0,0.0,3.0,,1.0,2.0,0.0,5.0,1.0,2.0,49.5,22.0,,5.0,2.0,3.0,29.0,6.0,,455.0,10.0,19.0,18.0,5.0,,45.0,,3.0,241.0,6.0,2.0,25.0,88.0,28.0,,6.0,16.0,,2.0,5.0,14.0,,6.0,6.0,,,3.0,3.0,4.0,1.0,2.0,,,,1.0,,1.0,,,2.0,,,,,,5.0,1.0,1.0,,3.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
24,2210508,2022-02-09 19:45:00,"Etihad Stadium, Manchester",51658,Away,Brentford,Manchester City,0,2,L,0,1,0,0,,22.0,55.0,,2.0,15.0,30.0,2.0,4.0,5.0,1.0,124.0,12.0,3.0,3.0,,4.0,,2.0,31.0,129.0,30.0,6.0,19.0,2.0,,,1.0,,1.0,,8.0,,8.0,30.0,3.0,2.0,23.0,58.0,,0.0,55.0,13.0,3.0,,1.0,35.0,28.0,2.0,38.0,2.0,2.0,5.0,16.0,2.0,,1.0,1.0,129.0,1.0,11.0,34.0,383.0,4.0,3.0,10.0,,11.0,124.0,22.0,8.0,18.0,,1.0,0.0,2.0,2.0,14.0,204.0,39.0,1.0,61810,3.0,80.0,1.0,4.0,115.0,8.0,,,16.0,8.0,47.0,1.0,10.0,3.0,,11.0,4.0,2.0,,57.0,135.0,6.0,9.0,,30.0,2.0,51.0,0.0,9.0,3.0,,,0.0,2.0,,1.0,24.4,10.0,,6.0,1.0,3.0,21.0,3.0,1.0,227.0,11.0,2.0,5.0,2.0,,11.0,1.0,1.0,120.0,4.0,2.0,8.0,24.0,17.0,1.0,18.0,13.0,,4.0,3.0,8.0,1.0,8.0,3.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,2.0,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,
25,2210511,2022-02-12 15:00:00,"Gtech Community Stadium, Brentford",16958,Home,Brentford,Crystal Palace,0,0,D,0,0,0,0,,28.0,77.0,,1.0,27.0,25.0,1.0,8.0,3.0,,163.0,14.0,3.0,11.0,,7.0,1.0,2.0,79.0,167.0,76.0,9.0,16.0,2.0,1.0,,,,1.0,1.0,13.0,,18.0,25.0,3.0,9.0,43.0,135.0,1.0,0.0,124.0,10.0,1.0,,1.0,41.0,66.0,4.0,63.0,,1.0,12.0,23.0,1.0,,4.0,1.0,167.0,3.0,4.0,72.0,592.0,6.0,6.0,24.0,,11.0,245.0,28.0,3.0,16.0,,,1.0,1.0,3.0,19.0,358.0,55.0,1.0,61810,3.0,128.0,3.0,8.0,162.0,5.0,,2.0,23.0,4.0,58.0,1.0,,8.0,,19.0,2.0,3.0,,73.0,260.0,10.0,15.0,1.0,32.0,1.0,69.0,0.0,9.0,2.0,,1.0,0.0,3.0,1.0,3.0,42.6,15.0,2.0,3.0,1.0,8.0,29.0,3.0,1.0,377.0,11.0,12.0,27.0,5.0,,28.0,2.0,4.0,228.0,3.0,8.0,24.0,71.0,34.0,4.0,16.0,31.0,,7.0,3.0,16.0,4.0,13.0,3.0,,1.0,2.0,3.0,1.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,2.0,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
26,2210521,2022-02-19 15:00:00,"Emirates Stadium, London",60015,Away,Brentford,Arsenal,1,2,L,0,0,0,0,1.0,23.0,54.0,,3.0,20.0,45.0,3.0,3.0,5.0,1.0,136.0,10.0,1.0,6.0,1.0,4.0,,2.0,59.0,117.0,46.0,6.0,11.0,,2.0,,1.0,1.0,1.0,1.0,8.0,,6.0,45.0,,4.0,25.0,90.0,,0.0,62.0,5.0,3.0,1.0,1.0,22.0,48.0,4.0,42.0,2.0,,8.0,11.0,3.0,,3.0,,117.0,1.0,17.0,57.0,492.0,3.0,9.0,9.0,,12.0,199.0,32.0,4.0,29.0,1.0,1.0,1.0,9.0,,15.0,274.0,39.0,1.0,61810,1.0,124.0,,2.0,155.0,3.0,,1.0,11.0,8.0,35.0,1.0,2.0,7.0,,10.0,7.0,5.0,,56.0,213.0,9.0,7.0,,24.0,,50.0,0.0,14.0,3.0,1.0,2.0,0.0,1.0,1.0,,33.6,13.0,,2.0,,7.0,22.0,,1.0,294.0,12.0,9.0,8.0,1.0,,17.0,,1.0,147.0,2.0,3.0,17.0,31.0,12.0,4.0,29.0,14.0,,4.0,3.0,11.0,4.0,7.0,,1.0,,1.0,4.0,1.0,,2.0,1.0,,,3.0,,,,,2.0,,,,,,3.0,,,,1.0,2.0,,,,,,,2.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
