gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attIboxBlocked,attGoalLowCentre,midfielderGoals,contentiousDecision,attRfGoal,punches,goalsConceded,goalsConcededIbox,errorLeadToGoal,attGoalLowLeft,attOneOnOne,freekickCross,attOboxMiss,bigChanceCreated,attMissHighLeft,bigChanceMissed,penaltyConceded,attMissHigh,attAssistSetplay,attCorner,attGoalHighLeft,attCmissLeft,penaltyFaced,penGoalsConceded,accurateCornersIntobox,postScoringAtt,attIboxPost,goodHighClaim,attHdPost,hitWoodwork,sixYardBlock,attPostHigh,attHdTotal,attHdMiss,totalHighClaim,handBall,attSetpiece,attCmissHigh,attSvHighCentre,accuratePullBack,attMissHighRight,ptsGainedLosingPos,ownGoals,attCmissHighRight,attIboxOwnGoal,attOboxGoal,accurateFreekickCross,ptsDroppedWinningPos,goalsConcededObox,attGoalLowRight,attFreekickTotal,attGoalHighRight,freekickTotal,defenderGoals,goalFastbreak,attSvHighRight,attFreekickTarget,foulThrowIn,goalAssistSetplay,goalAssistDeadball,attCmissHighLeft,attHdGoal,attSvHighLeft,attHdTarget,penaltyWon,attPenGoal,attFreekickMiss,clearanceOffLine,penaltySave,attLgCentre,attFreekickGoal
11,2210377,2021-11-07 14:00:00,"Elland Road, Leeds",36478,Away,Leicester City,Leeds United,1,1,D,1,1,0,0,,38.0,74.0,2.0,17.0,32.0,2.0,2.0,7.0,4.0,,2.0,159.0,16.0,1.0,5.0,1.0,2.0,5.0,,3.0,67.0,151.0,65.0,9.0,,7.0,2.0,,1.0,,1.0,1.0,3.0,10.0,18.0,,32.0,5.0,5.0,29.0,95.0,,0.0,93.0,5.0,3.0,,,51.0,22.0,2.0,44.0,3.0,1.0,5.0,22.0,2.0,,,151.0,10.0,86.0,554.0,4.0,5.0,18.0,9.0,235.0,30.0,2.0,14.0,1.0,,1.0,4.0,3.0,11.0,326.0,48.0,1.0,,95463,4.0,159.0,3.0,190.0,4.0,,22.0,14.0,35.0,2.0,2.0,6.0,1.0,19.0,8.0,10.0,55.0,253.0,12.0,11.0,14.0,61.0,,1.0,0.0,2.0,10.0,2.0,1.0,3.0,0.0,,,,44.2,7.0,7.0,2.0,6.0,,24.0,5.0,356.0,9.0,5.0,9.0,6.0,23.0,4.0,176.0,6.0,4.0,15.0,49.0,28.0,1.0,4.0,14.0,33.0,6.0,3.0,12.0,4.0,7.0,5.0,,,,,1.0,1.0,,1.0,,,,1.0,2.0,2.0,,,1.0,,2.0,,3.0,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
12,2210383,2021-11-20 12:30:00,"King Power Stadium, Leicester",32192,Home,Leicester City,Chelsea,0,3,L,0,2,0,0,2.0,30.0,60.0,1.0,13.0,11.0,3.0,2.0,1.0,4.0,,1.0,148.0,17.0,2.0,8.0,,,3.0,,3.0,94.0,142.0,44.0,4.0,,13.0,,,,,,1.0,,6.0,9.0,3.0,11.0,2.0,2.0,34.0,97.0,,0.0,86.0,15.0,2.0,,,33.0,43.0,2.0,50.0,,,4.0,23.0,3.0,,3.0,142.0,9.0,82.0,553.0,2.0,4.0,4.0,13.0,258.0,19.0,2.0,5.0,,,3.0,2.0,1.0,30.0,350.0,43.0,,,95463,1.0,179.0,1.0,210.0,12.0,,23.0,7.0,56.0,,3.0,7.0,,16.0,7.0,6.0,45.0,274.0,8.0,13.0,15.0,52.0,,,0.0,1.0,5.0,3.0,,1.0,0.0,2.0,,,38.3,27.0,9.0,,7.0,,20.0,3.0,374.0,13.0,7.0,10.0,1.0,12.0,1.0,170.0,1.0,2.0,8.0,48.0,22.0,,1.0,5.0,20.0,4.0,3.0,16.0,1.0,10.0,3.0,,,,,,,1.0,3.0,2.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,
13,2210397,2021-11-28 14:00:00,"King Power Stadium, Leicester",32020,Home,Leicester City,Watford,4,2,W,3,1,0,0,,23.0,69.0,1.0,24.0,17.0,5.0,3.0,13.0,3.0,1.0,4.0,174.0,14.0,5.0,10.0,4.0,,16.0,,8.0,93.0,173.0,80.0,18.0,4.0,23.0,3.0,,2.0,,1.0,1.0,1.0,15.0,14.0,1.0,17.0,7.0,5.0,44.0,135.0,,0.0,111.0,5.0,1.0,,,49.0,63.0,12.0,54.0,2.0,2.0,8.0,21.0,5.0,,3.0,173.0,13.0,89.0,621.0,12.0,5.0,26.0,11.0,265.0,33.0,2.0,9.0,3.0,,0.0,4.0,4.0,18.0,371.0,59.0,3.0,,95463,3.0,155.0,5.0,196.0,4.0,,21.0,11.0,51.0,9.0,5.0,3.0,2.0,15.0,4.0,8.0,78.0,285.0,18.0,9.0,30.0,76.0,,3.0,0.0,,6.0,2.0,4.0,1.0,0.0,2.0,3.0,2.0,56.7,15.0,4.0,2.0,4.0,6.0,27.0,8.0,410.0,11.0,11.0,14.0,4.0,32.0,4.0,229.0,12.0,5.0,30.0,62.0,25.0,2.0,1.0,9.0,22.0,12.0,2.0,13.0,1.0,12.0,8.0,3.0,2.0,1.0,2.0,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,,1.0,5.0,,1.0,1.0,1.0,3.0,,,1.0,,,1.0,,3.0,2.0,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,
14,2210409,2021-12-01 19:30:00,"St. Mary's Stadium, Southampton",26951,Away,Leicester City,Southampton,2,2,D,1,2,0,0,2.0,37.0,67.0,2.0,35.0,15.0,6.0,5.0,9.0,5.0,,2.0,179.0,15.0,3.0,12.0,2.0,1.0,9.0,,6.0,96.0,167.0,72.0,15.0,2.0,23.0,3.0,,,,1.0,1.0,1.0,19.0,8.0,1.0,15.0,4.0,2.0,39.0,118.0,,0.0,88.0,11.0,1.0,,3.0,54.0,48.0,5.0,61.0,1.0,2.0,15.0,12.0,6.0,,4.0,167.0,11.0,107.0,645.0,7.0,2.0,27.0,7.0,314.0,32.0,9.0,9.0,1.0,,3.0,4.0,4.0,24.0,416.0,35.0,,1.0,95463,6.0,215.0,10.0,257.0,6.0,,12.0,6.0,60.0,,2.0,3.0,1.0,21.0,4.0,3.0,71.0,330.0,14.0,14.0,30.0,79.0,,,0.0,,2.0,3.0,2.0,1.0,0.0,3.0,1.0,,55.5,21.0,4.0,2.0,3.0,3.0,42.0,4.0,443.0,7.0,7.0,26.0,6.0,21.0,3.0,205.0,9.0,2.0,35.0,60.0,23.0,,3.0,9.0,11.0,10.0,3.0,17.0,3.0,5.0,4.0,1.0,1.0,,1.0,,2.0,,2.0,2.0,,1.0,,1.0,3.0,1.0,1.0,2.0,,2.0,1.0,4.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
15,2210411,2021-12-05 16:30:00,"Villa Park, Birmingham",41572,Away,Leicester City,Aston Villa,1,2,L,1,1,0,0,1.0,30.0,60.0,,29.0,11.0,3.0,3.0,9.0,2.0,,2.0,195.0,15.0,3.0,8.0,1.0,,9.0,,5.0,117.0,153.0,53.0,12.0,1.0,15.0,4.0,,1.0,,1.0,,1.0,18.0,7.0,,11.0,6.0,4.0,37.0,252.0,,0.0,180.0,25.0,1.0,,2.0,111.0,76.0,6.0,71.0,,1.0,13.0,10.0,3.0,,5.0,153.0,11.0,141.0,707.0,8.0,2.0,33.0,12.0,410.0,30.0,3.0,5.0,1.0,,1.0,5.0,3.0,29.0,504.0,66.0,,,95463,6.0,175.0,8.0,197.0,17.0,,10.0,5.0,70.0,,,2.0,1.0,16.0,2.0,1.0,53.0,424.0,8.0,9.0,9.0,65.0,,1.0,0.0,1.0,3.0,2.0,1.0,,0.0,3.0,1.0,,58.9,29.0,4.0,1.0,2.0,2.0,41.0,6.0,524.0,12.0,15.0,15.0,5.0,31.0,3.0,345.0,6.0,4.0,21.0,123.0,22.0,,,5.0,16.0,11.0,3.0,14.0,,,6.0,,1.0,,1.0,,1.0,2.0,2.0,2.0,,,,,2.0,1.0,,1.0,,2.0,,1.0,,1.0,,,1.0,,,,,,,,3.0,1.0,,,,1.0,,,1.0,,,,,,,3.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,
16,2210427,2021-12-12 14:00:00,"King Power Stadium, Leicester",31959,Home,Leicester City,Newcastle United,4,0,W,1,0,0,0,,20.0,54.0,2.0,23.0,26.0,3.0,1.0,5.0,3.0,1.0,,152.0,13.0,1.0,4.0,4.0,4.0,5.0,,5.0,87.0,139.0,53.0,8.0,1.0,16.0,1.0,1.0,,,3.0,1.0,,9.0,13.0,,26.0,1.0,3.0,18.0,164.0,1.0,0.0,89.0,9.0,,2.0,,70.0,41.0,4.0,64.0,,1.0,8.0,11.0,3.0,,1.0,139.0,7.0,97.0,589.0,2.0,6.0,15.0,6.0,301.0,21.0,6.0,18.0,3.0,,2.0,6.0,1.0,21.0,371.0,38.0,1.0,,95463,4.0,154.0,6.0,176.0,6.0,,11.0,8.0,62.0,2.0,,1.0,3.0,17.0,5.0,3.0,58.0,317.0,15.0,11.0,24.0,64.0,1.0,,0.0,,6.0,1.0,4.0,2.0,0.0,1.0,3.0,,47.3,16.0,5.0,,1.0,1.0,35.0,4.0,400.0,6.0,22.0,7.0,2.0,19.0,,233.0,6.0,3.0,14.0,59.0,23.0,1.0,1.0,18.0,20.0,5.0,3.0,8.0,1.0,6.0,4.0,3.0,,1.0,3.0,,3.0,1.0,,,,,,1.0,2.0,2.0,,,,1.0,,,2.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,
17,2210436,2022-01-19 19:30:00,"King Power Stadium, Leicester",31986,Home,Leicester City,Tottenham Hotspur,2,3,L,1,1,0,0,,22.0,55.0,3.0,22.0,20.0,6.0,6.0,8.0,5.0,1.0,2.0,156.0,10.0,2.0,8.0,2.0,3.0,7.0,,4.0,161.0,121.0,46.0,14.0,3.0,14.0,1.0,2.0,1.0,,1.0,,1.0,10.0,12.0,1.0,20.0,2.0,3.0,29.0,181.0,,0.0,126.0,6.0,4.0,2.0,,78.0,44.0,5.0,90.0,2.0,2.0,8.0,15.0,6.0,,1.0,121.0,17.0,162.0,742.0,5.0,,20.0,11.0,474.0,21.0,1.0,5.0,1.0,,1.0,8.0,2.0,9.0,542.0,37.0,,1.0,95463,5.0,312.0,5.0,337.0,2.0,,15.0,11.0,55.0,2.0,1.0,4.0,2.0,14.0,10.0,9.0,45.0,491.0,12.0,16.0,8.0,60.0,2.0,1.0,0.0,,8.0,4.0,2.0,,0.0,1.0,1.0,,48.8,9.0,6.0,,4.0,5.0,41.0,3.0,569.0,11.0,12.0,10.0,5.0,21.0,3.0,242.0,7.0,2.0,10.0,93.0,22.0,1.0,,5.0,17.0,10.0,3.0,16.0,,6.0,3.0,2.0,2.0,1.0,1.0,,1.0,2.0,3.0,3.0,,,,2.0,2.0,2.0,,1.0,,1.0,1.0,3.0,,,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,
18,2210442,2022-04-20 19:45:00,"Goodison Park, Liverpool",39153,Away,Leicester City,Everton,1,1,D,1,0,0,0,,22.0,54.0,1.0,26.0,15.0,4.0,4.0,7.0,2.0,,2.0,207.0,9.0,2.0,6.0,1.0,1.0,8.0,,3.0,161.0,152.0,43.0,11.0,3.0,21.0,1.0,,1.0,,,2.0,1.0,13.0,5.0,1.0,15.0,4.0,3.0,36.0,250.0,,0.0,125.0,17.0,2.0,,,119.0,55.0,7.0,107.0,,,9.0,24.0,4.0,,2.0,152.0,8.0,156.0,786.0,7.0,3.0,25.0,4.0,502.0,23.0,6.0,6.0,,,2.0,2.0,1.0,23.0,609.0,62.0,,,95463,6.0,269.0,7.0,319.0,10.0,2.0,24.0,11.0,62.0,,1.0,2.0,1.0,10.0,5.0,7.0,61.0,517.0,8.0,10.0,15.0,74.0,,,0.0,,5.0,1.0,1.0,1.0,0.0,1.0,,,63.3,21.0,4.0,,2.0,7.0,43.0,4.0,631.0,4.0,6.0,11.0,1.0,21.0,1.0,325.0,6.0,3.0,19.0,86.0,24.0,,3.0,6.0,11.0,10.0,3.0,14.0,3.0,8.0,4.0,,4.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
19,2210455,2021-12-26 15:00:00,"Etihad Stadium, Manchester",53226,Away,Leicester City,Manchester City,3,6,L,0,4,0,0,3.0,20.0,33.0,1.0,15.0,25.0,4.0,6.0,10.0,2.0,2.0,2.0,95.0,8.0,3.0,12.0,3.0,2.0,11.0,,8.0,80.0,65.0,41.0,14.0,,2.0,3.0,1.0,1.0,,2.0,3.0,2.0,10.0,10.0,2.0,25.0,4.0,1.0,19.0,56.0,,0.0,46.0,9.0,2.0,2.0,,14.0,18.0,7.0,47.0,2.0,1.0,6.0,11.0,4.0,,3.0,65.0,12.0,67.0,438.0,8.0,1.0,17.0,9.0,229.0,15.0,2.0,12.0,2.0,,2.0,5.0,4.0,3.0,265.0,22.0,2.0,,93100,6.0,198.0,3.0,212.0,7.0,1.0,11.0,5.0,34.0,2.0,1.0,2.0,3.0,11.0,5.0,4.0,34.0,251.0,11.0,16.0,14.0,32.0,1.0,,0.0,1.0,14.0,2.0,3.0,,0.0,3.0,2.0,,28.2,3.0,1.0,2.0,2.0,1.0,19.0,4.0,289.0,9.0,5.0,13.0,5.0,14.0,3.0,87.0,6.0,1.0,3.0,29.0,15.0,2.0,,12.0,15.0,12.0,2.0,14.0,,5.0,4.0,3.0,1.0,,1.0,,1.0,,6.0,6.0,1.0,2.0,,,2.0,4.0,,2.0,2.0,2.0,1.0,,,,2.0,2.0,,,,,,2.0,,,2.0,2.0,,,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,
20,2210467,2021-12-28 20:00:00,"King Power Stadium, Leicester",32230,Home,Leicester City,Liverpool,1,0,W,0,0,0,0,,34.0,58.0,1.0,29.0,38.0,1.0,2.0,5.0,4.0,,,149.0,19.0,1.0,8.0,1.0,,6.0,,1.0,87.0,137.0,55.0,6.0,,17.0,,1.0,,,1.0,,1.0,4.0,9.0,,38.0,1.0,,40.0,111.0,1.0,0.0,69.0,8.0,3.0,1.0,,61.0,31.0,4.0,50.0,9.0,,3.0,15.0,1.0,,2.0,137.0,17.0,72.0,570.0,5.0,4.0,14.0,31.0,245.0,39.0,5.0,24.0,1.0,,0.0,5.0,2.0,15.0,330.0,26.0,,,95463,2.0,152.0,1.0,191.0,5.0,,15.0,14.0,51.0,,3.0,4.0,1.0,15.0,4.0,7.0,62.0,262.0,10.0,11.0,20.0,63.0,1.0,,0.0,,12.0,3.0,1.0,1.0,0.0,1.0,,1.0,36.6,10.0,3.0,1.0,4.0,3.0,33.0,1.0,358.0,31.0,8.0,21.0,2.0,12.0,1.0,171.0,4.0,,20.0,44.0,10.0,,2.0,24.0,17.0,6.0,3.0,15.0,2.0,10.0,1.0,,3.0,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,2.0,,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
21,2210477,2022-05-11 19:45:00,"King Power Stadium, Leicester",30892,Home,Leicester City,Norwich City,3,0,W,0,0,0,0,2.0,24.0,58.0,1.0,41.0,11.0,9.0,6.0,11.0,5.0,2.0,3.0,170.0,11.0,5.0,9.0,3.0,2.0,14.0,,8.0,184.0,132.0,53.0,20.0,6.0,5.0,4.0,,3.0,2.0,2.0,,2.0,33.0,17.0,1.0,11.0,9.0,1.0,39.0,269.0,1.0,0.0,148.0,10.0,1.0,,3.0,84.0,88.0,10.0,98.0,,,24.0,24.0,9.0,2.0,5.0,132.0,6.0,188.0,844.0,12.0,,45.0,4.0,566.0,23.0,1.0,3.0,2.0,2.0,0.0,,4.0,25.0,633.0,59.0,1.0,,95463,5.0,309.0,18.0,322.0,6.0,1.0,24.0,2.0,42.0,1.0,1.0,4.0,3.0,17.0,3.0,2.0,61.0,573.0,5.0,8.0,10.0,73.0,,,0.0,,2.0,4.0,3.0,,0.0,4.0,1.0,,64.9,25.0,2.0,3.0,4.0,7.0,54.0,10.0,640.0,4.0,7.0,24.0,5.0,43.0,3.0,351.0,13.0,1.0,15.0,115.0,29.0,2.0,,3.0,24.0,20.0,1.0,21.0,,12.0,10.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,2.0,3.0,1.0,3.0,,2.0,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,
22,2210483,2022-03-01 19:45:00,"Turf Moor, Burnley",17825,Away,Leicester City,Burnley,2,0,W,0,0,0,0,1.0,23.0,71.0,,17.0,27.0,8.0,8.0,14.0,2.0,1.0,3.0,192.0,12.0,4.0,5.0,2.0,1.0,12.0,,6.0,98.0,180.0,48.0,22.0,4.0,25.0,4.0,1.0,3.0,1.0,2.0,1.0,4.0,18.0,10.0,,27.0,6.0,6.0,45.0,158.0,1.0,0.0,126.0,13.0,1.0,1.0,1.0,97.0,41.0,11.0,57.0,1.0,,12.0,19.0,8.0,,1.0,180.0,7.0,96.0,648.0,10.0,1.0,33.0,8.0,298.0,27.0,3.0,19.0,2.0,1.0,1.0,3.0,1.0,26.0,415.0,54.0,,,95463,5.0,164.0,11.0,209.0,8.0,,19.0,11.0,71.0,,3.0,3.0,2.0,12.0,2.0,7.0,55.0,318.0,10.0,13.0,14.0,74.0,1.0,1.0,0.0,1.0,6.0,2.0,1.0,,0.0,2.0,1.0,1.0,55.2,21.0,7.0,4.0,3.0,10.0,29.0,8.0,443.0,8.0,13.0,14.0,6.0,24.0,3.0,252.0,12.0,5.0,21.0,87.0,33.0,,4.0,19.0,12.0,13.0,3.0,12.0,4.0,7.0,8.0,1.0,6.0,,,,,,,,,1.0,,,3.0,1.0,,1.0,,2.0,,6.0,,,,,2.0,,,1.0,,,,,2.0,,1.0,,2.0,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,
23,2210497,2022-01-23 14:00:00,"King Power Stadium, Leicester",31231,Home,Leicester City,Brighton and Hove Albion,1,1,D,0,0,0,0,2.0,32.0,85.0,,20.0,30.0,5.0,5.0,9.0,3.0,,2.0,174.0,17.0,,10.0,1.0,2.0,8.0,1.0,5.0,94.0,157.0,45.0,15.0,3.0,9.0,3.0,,2.0,,,2.0,1.0,10.0,7.0,1.0,30.0,3.0,1.0,32.0,162.0,,0.0,134.0,6.0,2.0,,2.0,55.0,47.0,7.0,84.0,2.0,2.0,7.0,23.0,6.0,,1.0,157.0,7.0,108.0,675.0,8.0,3.0,26.0,9.0,351.0,47.0,3.0,15.0,,,0.0,6.0,1.0,14.0,439.0,44.0,,,95463,5.0,202.0,5.0,239.0,3.0,,23.0,5.0,46.0,1.0,3.0,6.0,1.0,23.0,7.0,3.0,61.0,364.0,8.0,9.0,22.0,53.0,,,0.0,1.0,5.0,4.0,1.0,,0.0,,,,43.8,12.0,6.0,,6.0,7.0,23.0,4.0,460.0,9.0,9.0,12.0,3.0,22.0,1.0,231.0,10.0,1.0,9.0,98.0,21.0,1.0,4.0,15.0,18.0,11.0,3.0,23.0,4.0,11.0,4.0,1.0,4.0,1.0,,,1.0,,1.0,1.0,,,,1.0,2.0,1.0,,2.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,
24,2210507,2022-02-10 19:45:00,"Anfield, Liverpool",53050,Away,Leicester City,Liverpool,0,2,L,0,1,0,0,1.0,34.0,70.0,2.0,25.0,35.0,2.0,2.0,3.0,9.0,,,167.0,10.0,1.0,8.0,,1.0,4.0,,1.0,70.0,168.0,52.0,5.0,1.0,24.0,1.0,,,,,,2.0,9.0,9.0,,35.0,4.0,1.0,33.0,107.0,,0.0,88.0,7.0,1.0,,,71.0,43.0,1.0,54.0,2.0,1.0,5.0,19.0,2.0,,,168.0,16.0,71.0,592.0,2.0,9.0,11.0,12.0,237.0,36.0,9.0,16.0,,,0.0,4.0,3.0,27.0,335.0,41.0,1.0,1.0,95463,,151.0,5.0,191.0,5.0,,19.0,9.0,66.0,2.0,4.0,4.0,,25.0,6.0,5.0,58.0,257.0,11.0,18.0,28.0,60.0,,,0.0,1.0,7.0,7.0,,3.0,0.0,,,,35.0,20.0,3.0,2.0,4.0,1.0,28.0,6.0,362.0,12.0,12.0,14.0,3.0,18.0,2.0,180.0,2.0,1.0,10.0,50.0,24.0,,2.0,16.0,23.0,3.0,3.0,14.0,2.0,6.0,6.0,,,,,,,1.0,2.0,2.0,,,,,1.0,1.0,,1.0,,,2.0,1.0,,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
25,2210515,2022-02-13 16:30:00,"King Power Stadium, Leicester",32061,Home,Leicester City,West Ham United,2,2,D,1,1,0,0,,26.0,59.0,,18.0,18.0,4.0,4.0,9.0,1.0,,,168.0,13.0,2.0,9.0,2.0,2.0,10.0,1.0,2.0,141.0,136.0,48.0,13.0,,23.0,,,3.0,1.0,1.0,,,15.0,8.0,,18.0,4.0,10.0,39.0,182.0,,0.0,119.0,10.0,,,,62.0,55.0,4.0,94.0,,3.0,11.0,13.0,4.0,,5.0,136.0,6.0,147.0,727.0,9.0,3.0,20.0,14.0,442.0,21.0,2.0,9.0,1.0,1.0,1.0,2.0,6.0,19.0,534.0,57.0,,,95463,4.0,273.0,5.0,306.0,8.0,,13.0,4.0,54.0,1.0,,1.0,1.0,11.0,2.0,2.0,59.0,453.0,8.0,7.0,22.0,73.0,,,0.0,,4.0,1.0,2.0,,0.0,2.0,1.0,,55.4,18.0,7.0,2.0,1.0,4.0,36.0,5.0,550.0,14.0,7.0,15.0,7.0,23.0,3.0,259.0,8.0,9.0,10.0,78.0,28.0,,3.0,9.0,21.0,11.0,3.0,16.0,3.0,6.0,5.0,1.0,4.0,,1.0,,1.0,,2.0,2.0,,1.0,,1.0,4.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,,2.0,1.0,,,,,1.0,2.0,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,
26,2210530,2022-02-20 16:30:00,"Molineux Stadium, Wolverhampton",31497,Away,Leicester City,Wolverhampton Wanderers,1,2,L,1,1,0,0,,18.0,58.0,,22.0,10.0,8.0,3.0,9.0,1.0,1.0,5.0,161.0,5.0,2.0,14.0,1.0,9.0,10.0,,7.0,149.0,141.0,55.0,17.0,2.0,17.0,3.0,,3.0,,1.0,1.0,2.0,34.0,14.0,3.0,10.0,8.0,1.0,39.0,237.0,,0.0,180.0,9.0,,,2.0,87.0,102.0,6.0,105.0,,1.0,26.0,25.0,8.0,,7.0,141.0,7.0,152.0,775.0,9.0,5.0,33.0,6.0,482.0,24.0,1.0,6.0,1.0,,4.0,3.0,4.0,28.0,552.0,57.0,,,95463,3.0,262.0,11.0,274.0,6.0,,25.0,5.0,55.0,1.0,2.0,2.0,1.0,13.0,4.0,5.0,37.0,497.0,11.0,7.0,6.0,55.0,,2.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,2.0,1.0,,63.7,27.0,13.0,2.0,2.0,4.0,45.0,10.0,567.0,6.0,16.0,24.0,6.0,36.0,3.0,327.0,13.0,1.0,8.0,138.0,19.0,1.0,2.0,6.0,22.0,13.0,2.0,20.0,2.0,4.0,10.0,1.0,2.0,1.0,,,,,2.0,,,,1.0,8.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,1.0,,,,,2.0,,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,
