gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,fouledFinalThird,attFreekickTotal,postScoringAtt,attIboxPost,ptsGainedLosingPos,freekickCross,interceptionsInBox,freekickTotal,crosses18yardplus,attHdTarget,hitWoodwork,accurateLaunches,accurateFreekickCross,errorLeadToShot,sixYardBlock,attSetpiece,attOboxOwnGoal,attCmissHigh,ownGoals,attMissHigh,punches,savedIbox,attPostHigh,accurateCrossNocorner,attGoalLowLeft,accurateKeeperSweeper,cleanSheet,totalKeeperSweeper,attSvHighCentre,clearanceOffLine,attObxLeft,attGoalHighRight,attMissHighRight,attOboxGoal,attGoalHighLeft,attObxRight,attLgLeft,goalsConcededIbox,penaltySave,attOneOnOne,goodHighClaim,contentiousDecision,penaltyConceded,penaltyFaced,totalHighClaim,penaltyWon,attMissHighLeft,attPenMiss,attCmissHighRight,ptsDroppedWinningPos,errorLeadToGoal,attSvHighLeft,attIboxOwnGoal,secondYellow,attHdGoal,penGoalsConceded,accuratePullBack,attPenGoal,attFreekickPost,attObxdRight,attOboxPost,attFreekickMiss,attObxdLeft,attFreekickTarget,attHdPost,goalAssistSetplay,goalAssistDeadball,attSvHighRight,defenderGoals,attPostLeft,attFreekickGoal,attPenPost,foulThrowIn,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,expectedGoalsFreekick,attObpGoal,expectedGoals
11,2210378,2021-11-06 12:30:00,"Old Trafford, Manchester",73086,Home,Manchester United,Manchester City,0,2,L,0,2,0,0,,,1.0,,23.0,44.0,,1.0,,17.0,22.0,2.0,2.0,3.0,5.0,,,117.0,,9.0,2.0,4.0,,3.0,1.0,1.0,125.0,110.0,43.0,5.0,1.0,10.0,1.0,,,,1.0,,,9.0,11.0,,22.0,1.0,2.0,30.0,142.0,0.0,73.0,9.0,4.0,,,,65.0,29.0,1.0,56.0,3.0,8.0,20.0,2.0,,1.0,110.0,,13.0,102.0,547.0,2.0,,4.0,6.0,310.0,25.0,13.0,,1.0,3.0,2.0,14.0,375.0,31.0,,95658,3.0,186.0,1.0,4.0,223.0,7.0,,,20.0,11.0,42.0,,4.0,2.0,,10.0,4.0,5.0,42.0,326.0,12.0,11.0,1.0,8.0,,48.0,,,,0.0,1.0,9.0,,2.0,,0.0,,,1.0,32.6,12.0,1.0,2.0,,2.0,1.0,27.0,1.0,400.0,6.0,6.0,11.0,3.0,9.0,,2.0,186.0,2.0,2.0,9.0,54.0,15.0,,1.0,13.0,18.0,4.0,4.0,10.0,1.0,7.0,1.0,2.0,,,,,2.0,,,2.0,,,1.0,1.0,,,1.0,,,1.0,,,3.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2210389,2021-11-20 15:00:00,"Vicarage Road, Watford",21087,Away,Manchester United,Watford,1,4,L,0,2,1,0,,,,1.0,31.0,64.0,,,1.0,30.0,18.0,1.0,2.0,8.0,3.0,,2.0,185.0,1.0,17.0,3.0,11.0,1.0,8.0,3.0,3.0,137.0,160.0,51.0,9.0,,15.0,2.0,1.0,3.0,1.0,1.0,,,12.0,8.0,,18.0,3.0,5.0,44.0,155.0,0.0,88.0,5.0,1.0,1.0,,1.0,52.0,65.0,3.0,83.0,3.0,9.0,12.0,1.0,,1.0,160.0,3.0,15.0,148.0,727.0,7.0,1.0,20.0,7.0,425.0,43.0,7.0,1.0,1.0,7.0,5.0,19.0,530.0,43.0,3.0,95658,3.0,290.0,2.0,6.0,341.0,4.0,,,12.0,11.0,46.0,3.0,4.0,2.0,1.0,12.0,5.0,7.0,60.0,442.0,7.0,4.0,,20.0,,74.0,1.0,,,0.0,1.0,9.0,1.0,4.0,1.0,1.0,1.0,,2.0,61.3,18.0,1.0,2.0,1.0,2.0,1.0,42.0,3.0,553.0,7.0,13.0,24.0,5.0,20.0,,4.0,224.0,5.0,5.0,20.0,57.0,17.0,,,7.0,13.0,9.0,4.0,20.0,,6.0,3.0,1.0,,,,,,,,3.0,,,3.0,,1.0,,,,1.0,,2.0,,3.0,,3.0,,,,,,,,,,,,,,4.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2210395,2021-11-28 16:30:00,"Stamford Bridge, London",40041,Away,Manchester United,Chelsea,1,1,D,0,0,0,0,,,1.0,1.0,28.0,60.0,1.0,1.0,,15.0,38.0,2.0,1.0,1.0,5.0,,,135.0,,11.0,,9.0,1.0,1.0,,2.0,72.0,133.0,54.0,3.0,,11.0,,1.0,,,,1.0,1.0,8.0,15.0,1.0,38.0,2.0,5.0,19.0,89.0,0.0,71.0,14.0,2.0,1.0,,,54.0,36.0,,46.0,,6.0,20.0,2.0,,1.0,133.0,,17.0,65.0,517.0,1.0,5.0,7.0,9.0,218.0,32.0,18.0,,5.0,8.0,1.0,17.0,285.0,35.0,1.0,76359,1.0,147.0,,5.0,168.0,9.0,1.0,,20.0,14.0,49.0,2.0,1.0,2.0,1.0,20.0,7.0,6.0,51.0,236.0,13.0,8.0,,15.0,,54.0,1.0,,,0.0,2.0,15.0,1.0,1.0,2.0,0.0,,,,34.3,13.0,,6.0,,2.0,,18.0,2.0,318.0,9.0,6.0,8.0,1.0,6.0,,,158.0,2.0,4.0,11.0,41.0,18.0,1.0,,18.0,21.0,3.0,3.0,19.0,,12.0,2.0,2.0,,,,,,2.0,,1.0,,,2.0,,1.0,,,,,,,,4.0,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2210404,2021-12-02 20:15:00,"Old Trafford, Manchester",73123,Home,Manchester United,Arsenal,3,2,W,1,1,0,0,1.0,1.0,3.0,2.0,24.0,59.0,,2.0,1.0,20.0,18.0,5.0,4.0,9.0,5.0,,3.0,157.0,1.0,16.0,2.0,4.0,3.0,13.0,,10.0,98.0,114.0,54.0,14.0,,16.0,4.0,1.0,1.0,2.0,3.0,,1.0,12.0,13.0,3.0,18.0,2.0,4.0,42.0,198.0,0.0,155.0,9.0,4.0,1.0,1.0,1.0,63.0,53.0,10.0,67.0,1.0,10.0,9.0,5.0,1.0,2.0,114.0,2.0,12.0,109.0,584.0,10.0,6.0,21.0,9.0,338.0,21.0,14.0,2.0,1.0,4.0,3.0,16.0,409.0,66.0,,95658,5.0,158.0,1.0,3.0,178.0,6.0,3.0,2.0,9.0,7.0,48.0,,,2.0,2.0,11.0,5.0,5.0,41.0,354.0,10.0,14.0,1.0,8.0,1.0,48.0,1.0,2.0,,0.0,1.0,8.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,44.5,11.0,,7.0,2.0,2.0,1.0,24.0,3.0,431.0,9.0,5.0,19.0,3.0,26.0,1.0,1.0,265.0,9.0,4.0,22.0,116.0,27.0,2.0,1.0,14.0,18.0,12.0,3.0,9.0,1.0,8.0,3.0,1.0,,,,3.0,,1.0,,7.0,1.0,,1.0,,1.0,,,,,,1.0,,4.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15,2210414,2021-12-05 14:00:00,"Old Trafford, Manchester",73172,Home,Manchester United,Crystal Palace,1,0,W,0,0,0,0,,,1.0,,25.0,65.0,,1.0,5.0,37.0,14.0,7.0,7.0,8.0,2.0,,1.0,162.0,,13.0,5.0,5.0,1.0,14.0,1.0,3.0,132.0,150.0,55.0,16.0,1.0,21.0,1.0,,,1.0,,,,20.0,11.0,1.0,14.0,7.0,12.0,47.0,290.0,0.0,211.0,16.0,1.0,,1.0,2.0,122.0,61.0,9.0,84.0,2.0,13.0,13.0,8.0,,4.0,150.0,,4.0,152.0,735.0,11.0,5.0,33.0,8.0,424.0,23.0,7.0,1.0,2.0,3.0,5.0,30.0,517.0,76.0,1.0,95658,5.0,151.0,,6.0,177.0,10.0,1.0,2.0,13.0,4.0,66.0,1.0,3.0,4.0,1.0,14.0,4.0,4.0,59.0,436.0,9.0,6.0,2.0,8.0,2.0,59.0,,,,0.0,,6.0,,,2.0,0.0,1.0,,2.0,61.3,29.0,1.0,12.0,2.0,4.0,6.0,42.0,9.0,530.0,8.0,14.0,24.0,7.0,39.0,2.0,2.0,373.0,7.0,12.0,17.0,167.0,25.0,,,7.0,24.0,12.0,3.0,14.0,,5.0,9.0,3.0,2.0,1.0,,,2.0,,2.0,5.0,,1.0,4.0,,,2.0,,,,,2.0,,1.0,1.0,3.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
16,2210430,2021-12-11 17:30:00,"Carrow Road, Norwich",27066,Away,Manchester United,Norwich City,1,0,W,0,0,0,0,,,3.0,1.0,17.0,70.0,,,,21.0,21.0,5.0,5.0,7.0,5.0,,,160.0,,9.0,3.0,9.0,1.0,8.0,,5.0,140.0,138.0,57.0,13.0,4.0,15.0,3.0,1.0,1.0,,2.0,,3.0,14.0,10.0,1.0,21.0,5.0,4.0,36.0,245.0,0.0,167.0,17.0,4.0,1.0,,,87.0,45.0,4.0,68.0,,9.0,15.0,6.0,,1.0,138.0,1.0,8.0,133.0,688.0,8.0,1.0,27.0,8.0,399.0,25.0,12.0,,1.0,5.0,4.0,18.0,489.0,71.0,1.0,95658,5.0,167.0,1.0,4.0,190.0,11.0,1.0,1.0,15.0,6.0,49.0,1.0,1.0,8.0,,17.0,3.0,5.0,45.0,409.0,6.0,8.0,,12.0,1.0,63.0,1.0,,2.0,0.0,5.0,8.0,1.0,,,0.0,,,2.0,52.8,15.0,1.0,5.0,1.0,8.0,4.0,38.0,6.0,501.0,8.0,3.0,18.0,4.0,30.0,,3.0,325.0,6.0,4.0,21.0,118.0,31.0,1.0,,12.0,21.0,9.0,3.0,15.0,,9.0,6.0,3.0,2.0,,,,,,2.0,5.0,1.0,1.0,3.0,,,,,,1.0,,1.0,,5.0,,3.0,1.0,,1.0,,2.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
17,2210432,2022-01-19 20:00:00,"Gtech Community Stadium, Brentford",17094,Away,Manchester United,Brentford,3,1,W,0,0,0,0,,2.0,,3.0,25.0,81.0,1.0,2.0,3.0,18.0,35.0,6.0,3.0,7.0,8.0,,2.0,182.0,1.0,15.0,4.0,14.0,3.0,9.0,1.0,5.0,103.0,162.0,70.0,13.0,3.0,17.0,,1.0,2.0,3.0,1.0,1.0,,27.0,12.0,2.0,35.0,8.0,2.0,39.0,248.0,0.0,140.0,9.0,,2.0,2.0,,92.0,56.0,7.0,91.0,1.0,19.0,15.0,6.0,,1.0,162.0,4.0,13.0,143.0,727.0,5.0,2.0,25.0,12.0,401.0,34.0,24.0,3.0,0.0,5.0,2.0,8.0,501.0,62.0,2.0,95658,2.0,167.0,1.0,8.0,209.0,5.0,2.0,1.0,15.0,4.0,46.0,3.0,,5.0,3.0,12.0,5.0,1.0,56.0,411.0,6.0,5.0,1.0,19.0,3.0,68.0,1.0,1.0,,0.0,1.0,6.0,3.0,1.0,,0.0,3.0,,3.0,56.3,7.0,,6.0,1.0,5.0,6.0,41.0,9.0,519.0,12.0,8.0,23.0,2.0,41.0,1.0,,337.0,7.0,1.0,31.0,102.0,31.0,,,24.0,19.0,9.0,3.0,23.0,,7.0,9.0,3.0,,1.0,1.0,,3.0,2.0,,8.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,6.0,1.0,3.0,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
18,2210444,2022-02-15 20:15:00,"Old Trafford, Manchester",73012,Home,Manchester United,Brighton and Hove Albion,2,0,W,0,0,0,1,,,1.0,1.0,21.0,66.0,1.0,,1.0,30.0,14.0,12.0,4.0,7.0,3.0,,3.0,150.0,,9.0,4.0,18.0,2.0,15.0,,7.0,155.0,146.0,59.0,19.0,7.0,6.0,4.0,,,1.0,1.0,,1.0,21.0,10.0,1.0,14.0,7.0,2.0,40.0,224.0,0.0,183.0,8.0,1.0,,1.0,2.0,64.0,63.0,11.0,64.0,,15.0,22.0,12.0,1.0,3.0,146.0,5.0,5.0,143.0,696.0,13.0,,33.0,8.0,396.0,33.0,7.0,2.0,3.0,1.0,4.0,13.0,488.0,51.0,,95658,3.0,198.0,4.0,10.0,236.0,3.0,2.0,,22.0,10.0,36.0,3.0,1.0,4.0,1.0,13.0,5.0,8.0,55.0,418.0,9.0,5.0,,13.0,4.0,35.0,,,1.0,0.0,1.0,2.0,1.0,,,0.0,1.0,2.0,2.0,50.0,10.0,1.0,8.0,2.0,4.0,8.0,24.0,10.0,512.0,8.0,11.0,25.0,4.0,25.0,2.0,1.0,297.0,13.0,2.0,14.0,144.0,21.0,1.0,2.0,7.0,18.0,11.0,3.0,24.0,2.0,7.0,10.0,2.0,2.0,,,,,1.0,2.0,5.0,1.0,,2.0,,,,2.0,,,,2.0,,3.0,,3.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
19,2210456,2021-12-27 20:00:00,"St. James' Park, Newcastle",52178,Away,Manchester United,Newcastle United,1,1,D,0,1,0,0,,,2.0,,23.0,60.0,1.0,5.0,4.0,30.0,19.0,5.0,3.0,8.0,7.0,,1.0,183.0,,14.0,6.0,11.0,1.0,11.0,1.0,4.0,145.0,167.0,55.0,13.0,2.0,9.0,2.0,,,,1.0,,1.0,23.0,10.0,1.0,19.0,3.0,6.0,58.0,261.0,0.0,139.0,8.0,6.0,,,,71.0,74.0,9.0,76.0,2.0,20.0,18.0,5.0,,2.0,167.0,3.0,5.0,162.0,764.0,8.0,,18.0,10.0,439.0,29.0,7.0,,3.0,2.0,2.0,32.0,545.0,74.0,1.0,95658,6.0,200.0,3.0,12.0,237.0,5.0,1.0,,18.0,7.0,47.0,2.0,3.0,3.0,1.0,15.0,8.0,2.0,67.0,455.0,11.0,12.0,3.0,10.0,2.0,77.0,,1.0,,0.0,2.0,2.0,1.0,1.0,,0.0,,1.0,2.0,68.6,31.0,,4.0,,3.0,6.0,48.0,3.0,566.0,10.0,4.0,31.0,3.0,33.0,2.0,1.0,352.0,8.0,4.0,16.0,93.0,24.0,,,7.0,17.0,9.0,3.0,25.0,,7.0,3.0,2.0,,,,1.0,1.0,,,7.0,,,3.0,1.0,,1.0,2.0,,,,,,2.0,,4.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2210468,2021-12-30 20:15:00,"Old Trafford, Manchester",73121,Home,Manchester United,Burnley,3,1,W,3,1,0,0,,,2.0,1.0,19.0,50.0,1.0,,2.0,28.0,14.0,7.0,6.0,11.0,2.0,,2.0,173.0,1.0,10.0,6.0,6.0,3.0,13.0,1.0,6.0,107.0,154.0,45.0,18.0,1.0,25.0,1.0,,4.0,1.0,1.0,,3.0,26.0,5.0,3.0,14.0,6.0,1.0,57.0,197.0,0.0,140.0,5.0,,,1.0,,72.0,77.0,7.0,81.0,3.0,20.0,17.0,7.0,,2.0,154.0,2.0,9.0,123.0,652.0,12.0,3.0,31.0,5.0,362.0,24.0,8.0,1.0,0.0,3.0,6.0,20.0,457.0,54.0,2.0,95658,4.0,186.0,2.0,13.0,226.0,3.0,2.0,,17.0,8.0,45.0,2.0,2.0,3.0,2.0,9.0,1.0,3.0,68.0,377.0,10.0,1.0,,8.0,3.0,66.0,,,1.0,0.0,,5.0,2.0,1.0,1.0,0.0,,,2.0,57.3,18.0,2.0,2.0,2.0,3.0,3.0,36.0,7.0,484.0,5.0,11.0,21.0,9.0,32.0,,7.0,284.0,10.0,1.0,21.0,96.0,17.0,1.0,4.0,8.0,8.0,14.0,3.0,9.0,4.0,4.0,7.0,1.0,1.0,,,,1.0,1.0,1.0,6.0,,1.0,1.0,,,,,,,,2.0,,2.0,,6.0,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
21,2210478,2022-01-03 17:30:00,"Old Trafford, Manchester",73045,Home,Manchester United,Wolverhampton Wanderers,0,1,L,0,0,0,0,1.0,,1.0,,31.0,56.0,,1.0,2.0,26.0,14.0,5.0,4.0,4.0,5.0,,1.0,160.0,,15.0,3.0,14.0,,7.0,,2.0,127.0,144.0,52.0,9.0,1.0,12.0,,2.0,,,1.0,,,21.0,10.0,2.0,14.0,3.0,9.0,38.0,206.0,0.0,148.0,9.0,3.0,2.0,,,65.0,93.0,4.0,78.0,1.0,18.0,21.0,5.0,,2.0,144.0,1.0,8.0,123.0,685.0,7.0,6.0,17.0,12.0,373.0,24.0,9.0,,3.0,6.0,3.0,23.0,464.0,60.0,,90152,2.0,188.0,1.0,12.0,212.0,5.0,,1.0,21.0,13.0,46.0,,2.0,5.0,,13.0,11.0,9.0,50.0,391.0,8.0,12.0,,12.0,,61.0,2.0,,,0.0,1.0,8.0,,1.0,2.0,0.0,,1.0,,51.3,23.0,,4.0,2.0,5.0,3.0,45.0,3.0,488.0,12.0,7.0,17.0,4.0,28.0,1.0,1.0,297.0,5.0,8.0,13.0,96.0,22.0,,1.0,9.0,17.0,8.0,3.0,20.0,1.0,10.0,3.0,2.0,1.0,1.0,1.0,,,3.0,1.0,6.0,,1.0,4.0,,,,,,,,1.0,,4.0,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
22,2210481,2022-01-15 17:30:00,"Villa Park, Birmingham",41968,Away,Manchester United,Aston Villa,2,2,D,1,0,0,0,,,3.0,1.0,21.0,64.0,,2.0,1.0,23.0,19.0,4.0,6.0,8.0,7.0,,1.0,132.0,,7.0,4.0,7.0,2.0,8.0,1.0,6.0,127.0,129.0,50.0,13.0,2.0,14.0,3.0,2.0,1.0,1.0,2.0,,3.0,13.0,11.0,1.0,19.0,5.0,5.0,32.0,159.0,0.0,71.0,13.0,1.0,2.0,2.0,,89.0,43.0,6.0,73.0,1.0,8.0,16.0,5.0,,1.0,129.0,1.0,11.0,119.0,648.0,6.0,1.0,16.0,15.0,352.0,27.0,9.0,2.0,2.0,,2.0,23.0,431.0,27.0,,95658,3.0,213.0,1.0,5.0,243.0,10.0,2.0,2.0,16.0,7.0,57.0,,1.0,4.0,1.0,16.0,2.0,5.0,52.0,368.0,8.0,13.0,,17.0,,62.0,2.0,,3.0,0.0,3.0,3.0,1.0,2.0,,0.0,1.0,,1.0,45.4,23.0,1.0,3.0,3.0,4.0,3.0,40.0,6.0,451.0,15.0,12.0,16.0,4.0,20.0,,3.0,221.0,6.0,4.0,12.0,45.0,26.0,,,9.0,23.0,10.0,3.0,12.0,,8.0,6.0,3.0,1.0,,,,1.0,1.0,1.0,2.0,,,2.0,,,,2.0,,,,,,5.0,,4.0,1.0,,,,1.0,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,2.0,,1.0,,,,,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
23,2210498,2022-01-22 15:00:00,"Old Trafford, Manchester",73130,Home,Manchester United,West Ham United,1,0,W,0,0,0,0,,,2.0,1.0,28.0,56.0,1.0,,4.0,22.0,15.0,5.0,9.0,13.0,2.0,,,176.0,,10.0,3.0,10.0,1.0,15.0,,3.0,159.0,146.0,55.0,18.0,2.0,15.0,2.0,,2.0,1.0,1.0,,5.0,17.0,11.0,,15.0,3.0,10.0,44.0,233.0,0.0,164.0,9.0,1.0,,,,99.0,47.0,7.0,84.0,,14.0,12.0,5.0,,3.0,146.0,1.0,5.0,129.0,731.0,13.0,,28.0,4.0,441.0,27.0,8.0,1.0,1.0,2.0,8.0,25.0,532.0,78.0,,95658,6.0,223.0,,5.0,251.0,4.0,1.0,,12.0,7.0,42.0,1.0,4.0,3.0,1.0,18.0,1.0,6.0,51.0,453.0,8.0,9.0,1.0,12.0,1.0,74.0,,,2.0,0.0,1.0,3.0,1.0,,,0.0,1.0,1.0,2.0,56.9,20.0,2.0,5.0,4.0,3.0,6.0,43.0,3.0,548.0,4.0,6.0,28.0,9.0,28.0,1.0,6.0,314.0,7.0,9.0,20.0,122.0,20.0,,3.0,8.0,17.0,15.0,3.0,13.0,3.0,7.0,3.0,2.0,1.0,,,,1.0,,1.0,8.0,,,,,,,1.0,,1.0,,3.0,1.0,1.0,,2.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2210503,2022-02-08 20:00:00,"Turf Moor, Burnley",21233,Away,Manchester United,Burnley,1,1,D,1,0,0,0,,,,,28.0,58.0,,2.0,7.0,32.0,16.0,6.0,3.0,16.0,2.0,,3.0,171.0,,10.0,4.0,4.0,1.0,18.0,,5.0,118.0,164.0,51.0,22.0,5.0,11.0,4.0,,4.0,1.0,,,1.0,23.0,11.0,,16.0,4.0,1.0,42.0,239.0,0.0,160.0,10.0,1.0,,1.0,1.0,109.0,64.0,13.0,90.0,1.0,20.0,12.0,6.0,,1.0,164.0,,4.0,139.0,717.0,16.0,5.0,42.0,1.0,402.0,26.0,7.0,1.0,1.0,1.0,5.0,28.0,492.0,48.0,1.0,95658,5.0,187.0,1.0,13.0,216.0,5.0,1.0,3.0,12.0,6.0,53.0,2.0,1.0,4.0,1.0,17.0,5.0,3.0,60.0,422.0,10.0,7.0,1.0,14.0,5.0,73.0,,3.0,1.0,0.0,1.0,2.0,1.0,1.0,,0.0,1.0,,3.0,64.1,23.0,2.0,3.0,5.0,4.0,12.0,39.0,10.0,518.0,1.0,14.0,22.0,5.0,40.0,2.0,4.0,325.0,15.0,1.0,22.0,121.0,24.0,,1.0,7.0,15.0,17.0,3.0,15.0,1.0,6.0,10.0,4.0,,,,,2.0,,,5.0,1.0,,2.0,1.0,,2.0,,,,,2.0,1.0,,,3.0,,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,2210516,2022-02-12 12:30:00,"Old Trafford, Manchester",73084,Home,Manchester United,Southampton,1,1,D,1,0,0,0,,,2.0,1.0,32.0,63.0,,1.0,1.0,39.0,13.0,1.0,2.0,11.0,3.0,,4.0,150.0,,17.0,2.0,10.0,1.0,10.0,,8.0,119.0,138.0,53.0,12.0,1.0,12.0,7.0,1.0,3.0,1.0,4.0,,2.0,13.0,7.0,,13.0,,5.0,45.0,178.0,0.0,131.0,12.0,2.0,1.0,1.0,,69.0,56.0,8.0,65.0,,13.0,16.0,1.0,,,138.0,4.0,6.0,135.0,646.0,6.0,3.0,24.0,6.0,361.0,36.0,10.0,1.0,4.0,3.0,2.0,21.0,445.0,61.0,2.0,95658,5.0,206.0,3.0,3.0,231.0,9.0,1.0,,16.0,9.0,53.0,2.0,7.0,2.0,1.0,14.0,7.0,8.0,62.0,382.0,11.0,12.0,3.0,13.0,1.0,69.0,1.0,2.0,,0.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,,2.0,52.3,21.0,,4.0,2.0,2.0,2.0,43.0,1.0,469.0,6.0,7.0,25.0,2.0,32.0,,2.0,251.0,8.0,4.0,18.0,93.0,20.0,,,10.0,14.0,7.0,2.0,20.0,,7.0,1.0,4.0,,,,,2.0,,,8.0,1.0,,2.0,2.0,,,4.0,,,,,,2.0,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
