gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attOboxBlocked,accurateKeeperSweeper,attMissHighRight,cleanSheet,divingSave,attOboxMiss,totalFlickOn,attMissHighLeft,totalKeeperSweeper,defenderGoals,totalOffside,attGoalHighLeft,attCmissLeft,attHdGoal,penaltyConceded,attCmissHigh,penaltyFaced,penGoalsConceded,attGoalLowRight,accurateThroughBall,handBall,penaltyWon,midfielderGoals,contentiousDecision,accurateFreekickCross,attSetpiece,attPenGoal,accurateFlickOn,attFreekickMiss,attOboxGoal,attSvHighLeft,foulThrowIn,hitWoodwork,errorLeadToShot,clearanceOffLine,goalsConcededObox,attGoalHighCentre,ptsDroppedWinningPos,postScoringAtt,attIboxPost,attPostLeft,shotFastbreak,totalFastbreak,attFastbreak,attObxdRight,attCmissHighRight,attObxLeft,attCmissHighLeft,attOboxPost,attPostHigh,attGoalHighRight,attObxdLeft,attPenTarget,attSvHighRight,attLfGoal,attPenMiss,attPenPost,goalFastbreak,attObpGoal
11,2210373,2021-11-06 17:30:00,"American Express Stadium, Falmer",31267,Home,Brighton and Hove Albion,Newcastle United,1,1,D,1,0,1,0,,1.0,19.0,45.0,,,28.0,23.0,4.0,3.0,10.0,1.0,2.0,154.0,,8.0,7.0,1.0,1.0,1.0,12.0,1.0,,5.0,201.0,107.0,36.0,,14.0,9.0,4.0,2.0,,1.0,2.0,17.0,12.0,,23.0,2.0,4.0,25.0,,297.0,0.0,143.0,16.0,,2.0,,2.0,91.0,93.0,6.0,99.0,,3.0,15.0,13.0,4.0,,2.0,107.0,,4.0,200.0,824.0,11.0,26.0,2.0,6.0,578.0,9.0,,12.0,,3.0,1.0,6.0,21.0,637.0,70.0,83299,7.0,301.0,,13.0,,320.0,5.0,1.0,1.0,13.0,3.0,51.0,,6.0,,8.0,2.0,3.0,,51.0,591.0,9.0,4.0,1.0,11.0,1.0,74.0,1.0,,0.0,,1.0,5.0,,1.0,1.0,1.0,6.0,,,3.0,65.7,20.0,1.0,,2.0,1.0,,6.0,3.0,54.0,2.0,2.0,654.0,6.0,16.0,13.0,6.0,21.0,1.0,5.0,351.0,7.0,4.0,11.0,109.0,25.0,1.0,2.0,12.0,15.0,1.0,12.0,3.0,8.0,2.0,6.0,2.0,,,,3.0,,1.0,,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,,,1.0,1.0,,2.0,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12,2210381,2021-11-20 15:00:00,"Villa Park, Birmingham",41925,Away,Brighton and Hove Albion,Aston Villa,0,2,L,0,0,0,0,1.0,,25.0,53.0,,1.0,33.0,21.0,3.0,2.0,3.0,3.0,1.0,172.0,,8.0,3.0,17.0,,,4.0,,,2.0,169.0,115.0,56.0,,6.0,9.0,2.0,,,1.0,,24.0,11.0,,21.0,6.0,,36.0,,215.0,0.0,136.0,13.0,,,1.0,,62.0,116.0,4.0,101.0,,,18.0,20.0,3.0,,3.0,115.0,1.0,7.0,166.0,786.0,4.0,12.0,,3.0,529.0,25.0,1.0,10.0,,3.0,3.0,,20.0,592.0,68.0,83299,2.0,331.0,1.0,14.0,,350.0,7.0,,,20.0,6.0,46.0,,2.0,,12.0,2.0,4.0,,53.0,543.0,7.0,8.0,,7.0,,60.0,,1.0,0.0,,,5.0,3.0,,2.0,0.0,2.0,,1.0,,63.0,19.0,,,4.0,,,2.0,4.0,42.0,6.0,,608.0,3.0,6.0,19.0,,24.0,1.0,,282.0,4.0,,16.0,102.0,21.0,,3.0,10.0,16.0,2.0,6.0,3.0,27.0,3.0,7.0,7.0,,,,3.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2210393,2021-11-27 17:30:00,"American Express Stadium, Falmer",31166,Home,Brighton and Hove Albion,Leeds United,0,0,D,0,0,0,0,2.0,,30.0,80.0,1.0,2.0,21.0,13.0,8.0,9.0,12.0,4.0,2.0,187.0,,12.0,4.0,16.0,,4.0,15.0,,1.0,4.0,113.0,181.0,58.0,,20.0,14.0,1.0,3.0,,2.0,3.0,19.0,8.0,3.0,13.0,6.0,5.0,28.0,,186.0,0.0,151.0,12.0,,,4.0,,56.0,70.0,5.0,87.0,,4.0,13.0,17.0,8.0,,,181.0,2.0,7.0,109.0,710.0,15.0,38.0,,11.0,368.0,31.0,3.0,9.0,,1.0,2.0,10.0,20.0,475.0,63.0,83299,5.0,205.0,2.0,9.0,,233.0,6.0,,,17.0,9.0,60.0,7.0,2.0,,22.0,4.0,8.0,3.0,49.0,387.0,14.0,7.0,,16.0,,69.0,1.0,,0.0,,,1.0,3.0,,,0.0,3.0,,,,56.5,15.0,,,6.0,2.0,1.0,2.0,2.0,39.0,6.0,,496.0,11.0,13.0,14.0,14.0,41.0,1.0,7.0,282.0,11.0,5.0,17.0,103.0,41.0,,1.0,9.0,11.0,,19.0,3.0,31.0,1.0,8.0,6.0,,,,,,2.0,1.0,1.0,5.0,6.0,,,,2.0,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,3.0,2.0,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
14,2210406,2021-12-01 19:30:00,"London Stadium, London",59626,Away,Brighton and Hove Albion,West Ham United,1,1,D,0,1,0,0,,,23.0,54.0,2.0,,26.0,28.0,3.0,2.0,6.0,4.0,1.0,170.0,,11.0,4.0,8.0,1.0,3.0,7.0,1.0,,3.0,142.0,130.0,53.0,1.0,9.0,11.0,2.0,,1.0,2.0,3.0,18.0,12.0,,28.0,5.0,6.0,35.0,,230.0,0.0,142.0,8.0,1.0,,2.0,1.0,75.0,85.0,4.0,85.0,,,13.0,21.0,3.0,1.0,,130.0,2.0,8.0,143.0,736.0,4.0,28.0,1.0,5.0,447.0,15.0,,14.0,1.0,1.0,3.0,3.0,18.0,524.0,47.0,83299,6.0,236.0,2.0,11.0,,255.0,4.0,1.0,2.0,21.0,7.0,42.0,1.0,10.0,1.0,23.0,6.0,6.0,,40.0,462.0,10.0,11.0,2.0,4.0,3.0,59.0,,2.0,0.0,,,9.0,3.0,1.0,1.0,0.0,2.0,1.0,,2.0,65.7,16.0,1.0,,8.0,,,10.0,2.0,42.0,5.0,1.0,540.0,5.0,5.0,18.0,4.0,29.0,2.0,3.0,303.0,5.0,6.0,16.0,104.0,18.0,1.0,,14.0,19.0,1.0,5.0,3.0,16.0,,8.0,5.0,,,,2.0,,,,3.0,1.0,6.0,1.0,,,,1.0,2.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15,2210416,2021-12-04 15:00:00,"St. Mary's Stadium, Southampton",28706,Away,Brighton and Hove Albion,Southampton,1,1,D,0,1,0,0,1.0,1.0,20.0,61.0,,3.0,35.0,22.0,7.0,3.0,7.0,3.0,2.0,169.0,,13.0,3.0,6.0,1.0,3.0,8.0,,,4.0,92.0,168.0,59.0,1.0,14.0,19.0,1.0,1.0,,1.0,3.0,12.0,11.0,2.0,22.0,2.0,2.0,30.0,,125.0,0.0,111.0,12.0,1.0,,2.0,,83.0,45.0,8.0,59.0,,,10.0,20.0,7.0,1.0,3.0,168.0,2.0,10.0,90.0,604.0,7.0,13.0,,6.0,275.0,28.0,6.0,13.0,1.0,2.0,4.0,,37.0,384.0,48.0,78916,6.0,163.0,1.0,5.0,1.0,202.0,7.0,1.0,,20.0,10.0,55.0,,2.0,,14.0,4.0,3.0,1.0,83.0,285.0,15.0,12.0,,30.0,2.0,74.0,2.0,,0.0,,2.0,6.0,3.0,1.0,1.0,0.0,1.0,,,2.0,55.6,31.0,1.0,,6.0,,,2.0,6.0,32.0,2.0,,410.0,6.0,10.0,11.0,4.0,24.0,2.0,2.0,220.0,9.0,1.0,17.0,59.0,23.0,1.0,2.0,13.0,21.0,1.0,9.0,3.0,8.0,2.0,8.0,2.0,1.0,1.0,,3.0,,,,,2.0,8.0,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2210423,2022-03-16 19:30:00,"American Express Stadium, Falmer",31144,Home,Brighton and Hove Albion,Tottenham Hotspur,0,2,L,0,1,0,0,,,26.0,58.0,2.0,3.0,14.0,12.0,6.0,3.0,9.0,5.0,,143.0,,10.0,5.0,6.0,,3.0,10.0,,1.0,,136.0,126.0,41.0,,15.0,11.0,,1.0,,,2.0,23.0,10.0,,12.0,6.0,4.0,29.0,,237.0,0.0,152.0,11.0,,,2.0,,75.0,87.0,5.0,93.0,1.0,4.0,17.0,11.0,6.0,,8.0,126.0,1.0,10.0,124.0,676.0,7.0,29.0,,11.0,414.0,15.0,1.0,6.0,,2.0,5.0,5.0,16.0,479.0,51.0,83299,7.0,192.0,1.0,7.0,1.0,205.0,6.0,,,11.0,7.0,37.0,,5.0,,18.0,7.0,2.0,,42.0,424.0,9.0,4.0,3.0,11.0,3.0,55.0,,,0.0,,1.0,3.0,3.0,,2.0,0.0,2.0,,,4.0,48.2,13.0,3.0,,8.0,1.0,,5.0,8.0,32.0,6.0,,496.0,11.0,10.0,13.0,7.0,32.0,3.0,6.0,314.0,8.0,4.0,10.0,114.0,30.0,,,6.0,16.0,2.0,12.0,3.0,7.0,,3.0,6.0,,,,5.0,,,,3.0,1.0,2.0,1.0,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,
17,2210433,2021-12-15 19:30:00,"American Express Stadium, Falmer",30362,Home,Brighton and Hove Albion,Wolverhampton Wanderers,0,1,L,0,1,0,0,,,26.0,71.0,1.0,,15.0,10.0,4.0,4.0,7.0,4.0,2.0,183.0,,15.0,3.0,8.0,,7.0,8.0,,,2.0,141.0,145.0,48.0,2.0,12.0,11.0,2.0,2.0,,2.0,2.0,25.0,8.0,,10.0,6.0,4.0,32.0,,241.0,0.0,193.0,11.0,,,5.0,1.0,76.0,92.0,2.0,79.0,2.0,,19.0,18.0,5.0,2.0,3.0,145.0,2.0,5.0,121.0,724.0,6.0,16.0,,10.0,428.0,18.0,2.0,5.0,,2.0,1.0,6.0,23.0,509.0,74.0,78916,1.0,203.0,2.0,11.0,1.0,219.0,7.0,,,18.0,3.0,56.0,,7.0,,20.0,3.0,2.0,3.0,37.0,441.0,15.0,17.0,2.0,9.0,1.0,52.0,,,0.0,,,4.0,3.0,,1.0,0.0,3.0,,,,59.3,21.0,,,8.0,1.0,,7.0,3.0,31.0,7.0,1.0,524.0,10.0,10.0,14.0,7.0,30.0,,5.0,330.0,8.0,4.0,9.0,144.0,38.0,,,5.0,16.0,1.0,4.0,3.0,15.0,,4.0,7.0,,,,3.0,,2.0,,1.0,2.0,6.0,,,,1.0,,1.0,,,1.0,,,,,,,,,2.0,5.0,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
18,2210444,2022-02-15 20:15:00,"Old Trafford, Manchester",73012,Away,Brighton and Hove Albion,Manchester United,0,2,L,0,0,1,0,,,21.0,72.0,1.0,,27.0,17.0,4.0,,5.0,5.0,2.0,163.0,,12.0,4.0,5.0,,,8.0,,,3.0,129.0,136.0,36.0,,10.0,14.0,3.0,,,1.0,1.0,16.0,7.0,,17.0,1.0,3.0,49.0,,191.0,0.0,133.0,10.0,,,,,78.0,56.0,4.0,96.0,6.0,1.0,15.0,22.0,5.0,,2.0,136.0,3.0,7.0,128.0,728.0,8.0,15.0,1.0,22.0,421.0,27.0,2.0,12.0,,1.0,8.0,4.0,21.0,497.0,54.0,83299,4.0,248.0,3.0,13.0,,278.0,3.0,,,22.0,5.0,59.0,2.0,5.0,,19.0,12.0,3.0,1.0,54.0,435.0,8.0,18.0,,11.0,1.0,58.0,1.0,,0.0,,1.0,10.0,4.0,,2.0,1.0,4.0,,2.0,3.0,50.0,17.0,2.0,,8.0,,,5.0,1.0,39.0,2.0,,516.0,22.0,9.0,23.0,6.0,32.0,,2.0,254.0,7.0,1.0,6.0,98.0,30.0,,2.0,12.0,17.0,1.0,9.0,3.0,14.0,2.0,13.0,2.0,,,,1.0,,1.0,,4.0,3.0,4.0,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,1.0,2.0,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
19,2210452,2021-12-26 20:00:00,"American Express Stadium, Falmer",30141,Home,Brighton and Hove Albion,Brentford,2,0,W,2,0,0,0,,1.0,17.0,74.0,2.0,1.0,21.0,23.0,11.0,1.0,4.0,5.0,3.0,173.0,,9.0,4.0,9.0,2.0,3.0,9.0,,1.0,5.0,108.0,152.0,51.0,3.0,15.0,15.0,1.0,1.0,2.0,1.0,2.0,16.0,7.0,2.0,23.0,5.0,4.0,28.0,1.0,195.0,0.0,165.0,8.0,,,,1.0,104.0,40.0,6.0,84.0,1.0,2.0,11.0,21.0,11.0,3.0,1.0,152.0,1.0,12.0,102.0,685.0,6.0,24.0,,11.0,366.0,25.0,3.0,16.0,2.0,1.0,5.0,3.0,15.0,451.0,72.0,78916,1.0,184.0,,10.0,,204.0,4.0,2.0,1.0,21.0,4.0,53.0,5.0,6.0,2.0,23.0,4.0,2.0,2.0,55.0,375.0,9.0,15.0,1.0,17.0,1.0,54.0,1.0,1.0,0.0,1.0,3.0,9.0,4.0,,,0.0,3.0,1.0,,1.0,50.4,11.0,,,7.0,1.0,,6.0,3.0,28.0,6.0,1.0,467.0,11.0,9.0,14.0,7.0,30.0,1.0,2.0,279.0,13.0,4.0,20.0,114.0,34.0,2.0,3.0,16.0,13.0,,11.0,3.0,16.0,3.0,11.0,6.0,1.0,,,2.0,,1.0,1.0,1.0,5.0,4.0,,,,2.0,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
20,2210463,2021-12-29 19:30:00,"Stamford Bridge, London",40080,Away,Brighton and Hove Albion,Chelsea,1,1,D,0,1,0,0,2.0,,24.0,73.0,,3.0,18.0,19.0,7.0,6.0,10.0,4.0,3.0,161.0,,9.0,6.0,14.0,1.0,5.0,13.0,1.0,2.0,6.0,109.0,152.0,63.0,1.0,18.0,20.0,1.0,1.0,1.0,1.0,3.0,23.0,14.0,4.0,19.0,5.0,4.0,33.0,,186.0,0.0,155.0,7.0,1.0,1.0,2.0,,84.0,40.0,7.0,67.0,1.0,2.0,18.0,21.0,8.0,1.0,4.0,152.0,,9.0,136.0,708.0,12.0,28.0,,9.0,358.0,31.0,3.0,6.0,1.0,1.0,3.0,6.0,25.0,452.0,50.0,78916,9.0,199.0,,12.0,,226.0,4.0,,1.0,21.0,4.0,57.0,3.0,6.0,1.0,11.0,2.0,4.0,2.0,47.0,379.0,12.0,7.0,,14.0,4.0,58.0,,,0.0,1.0,,10.0,4.0,1.0,1.0,0.0,5.0,1.0,,2.0,52.3,18.0,,,7.0,,1.0,6.0,4.0,33.0,8.0,1.0,473.0,9.0,16.0,11.0,8.0,38.0,1.0,4.0,270.0,10.0,4.0,14.0,103.0,28.0,,,6.0,23.0,1.0,13.0,3.0,21.0,,14.0,8.0,1.0,,,1.0,,,,,3.0,4.0,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,2.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,
21,2210475,2022-01-02 14:00:00,"Goodison Park, Liverpool",38203,Away,Brighton and Hove Albion,Everton,3,2,W,2,0,0,0,,2.0,29.0,70.0,1.0,1.0,18.0,33.0,8.0,4.0,4.0,4.0,1.0,180.0,,17.0,6.0,10.0,3.0,,7.0,,,5.0,89.0,162.0,58.0,,12.0,24.0,1.0,,2.0,,2.0,10.0,15.0,1.0,33.0,5.0,10.0,33.0,1.0,145.0,0.0,137.0,12.0,,1.0,,2.0,61.0,51.0,6.0,70.0,1.0,,5.0,17.0,8.0,,2.0,162.0,2.0,12.0,86.0,620.0,3.0,19.0,1.0,6.0,301.0,30.0,6.0,17.0,3.0,1.0,4.0,1.0,20.0,398.0,63.0,78916,3.0,168.0,,3.0,,189.0,7.0,2.0,,17.0,13.0,69.0,,,2.0,14.0,5.0,2.0,1.0,68.0,307.0,4.0,16.0,1.0,23.0,3.0,84.0,,,0.0,,1.0,8.0,3.0,2.0,2.0,0.0,3.0,3.0,1.0,2.0,50.1,14.0,,,7.0,,1.0,,4.0,28.0,5.0,2.0,425.0,6.0,8.0,11.0,3.0,29.0,3.0,,246.0,6.0,8.0,19.0,75.0,28.0,,,17.0,25.0,1.0,9.0,3.0,19.0,,11.0,5.0,1.0,1.0,,3.0,,,,2.0,3.0,8.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,2.0,1.0,,,,5.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,
22,2210482,2022-01-14 20:00:00,"American Express Stadium, Falmer",30675,Home,Brighton and Hove Albion,Crystal Palace,1,1,D,0,0,0,0,1.0,,24.0,58.0,,2.0,24.0,10.0,6.0,6.0,13.0,1.0,2.0,164.0,,12.0,8.0,8.0,1.0,2.0,11.0,,,4.0,167.0,158.0,55.0,,19.0,10.0,4.0,3.0,,1.0,3.0,33.0,12.0,,10.0,8.0,8.0,40.0,1.0,247.0,0.0,190.0,11.0,1.0,2.0,2.0,,59.0,110.0,4.0,91.0,,2.0,25.0,20.0,6.0,,7.0,158.0,2.0,1.0,147.0,763.0,8.0,29.0,1.0,9.0,456.0,20.0,,,,0.0,1.0,7.0,24.0,555.0,83.0,78916,7.0,231.0,3.0,16.0,,247.0,3.0,,3.0,20.0,5.0,46.0,3.0,1.0,,13.0,2.0,5.0,2.0,55.0,470.0,7.0,9.0,3.0,15.0,6.0,67.0,,,0.0,,,,,1.0,1.0,0.0,5.0,,,4.0,63.3,21.0,3.0,,7.0,2.0,1.0,1.0,5.0,37.0,9.0,,569.0,9.0,7.0,19.0,10.0,47.0,3.0,6.0,355.0,9.0,8.0,19.0,135.0,30.0,,,,21.0,1.0,12.0,3.0,18.0,,9.0,9.0,,,,3.0,,1.0,,,3.0,4.0,1.0,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,
23,2210497,2022-01-23 14:00:00,"King Power Stadium, Leicester",31231,Away,Brighton and Hove Albion,Leicester City,1,1,D,0,0,0,0,1.0,1.0,32.0,88.0,1.0,1.0,37.0,13.0,7.0,4.0,7.0,4.0,1.0,155.0,,15.0,3.0,9.0,1.0,,11.0,,,5.0,169.0,170.0,46.0,,14.0,9.0,4.0,,1.0,,1.0,26.0,15.0,,13.0,5.0,1.0,42.0,,256.0,0.0,201.0,8.0,1.0,2.0,,,57.0,103.0,9.0,76.0,1.0,1.0,21.0,26.0,7.0,,8.0,170.0,3.0,9.0,177.0,787.0,9.0,31.0,2.0,7.0,462.0,33.0,3.0,5.0,1.0,1.0,7.0,2.0,21.0,562.0,64.0,83299,7.0,221.0,2.0,13.0,,241.0,7.0,,,26.0,2.0,45.0,,8.0,1.0,20.0,6.0,2.0,,61.0,474.0,6.0,10.0,1.0,16.0,2.0,61.0,1.0,1.0,0.0,,,4.0,3.0,1.0,1.0,0.0,2.0,1.0,,3.0,56.2,18.0,,,13.0,,,8.0,5.0,39.0,5.0,,577.0,7.0,11.0,24.0,4.0,30.0,1.0,1.0,362.0,7.0,1.0,9.0,142.0,32.0,,1.0,5.0,22.0,1.0,12.0,3.0,16.0,1.0,11.0,5.0,1.0,,,4.0,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
24,2210502,2022-01-18 20:00:00,"American Express Stadium, Falmer",30880,Home,Brighton and Hove Albion,Chelsea,1,1,D,0,1,0,0,,,27.0,66.0,,3.0,26.0,19.0,3.0,1.0,7.0,2.0,1.0,163.0,,19.0,6.0,7.0,1.0,2.0,8.0,,,2.0,109.0,141.0,36.0,,10.0,15.0,1.0,,,,1.0,21.0,11.0,,19.0,5.0,6.0,35.0,,208.0,0.0,159.0,8.0,1.0,,2.0,1.0,70.0,60.0,5.0,71.0,1.0,,16.0,15.0,3.0,,,141.0,1.0,7.0,95.0,636.0,7.0,27.0,,17.0,350.0,28.0,4.0,10.0,1.0,1.0,6.0,3.0,25.0,426.0,57.0,78916,6.0,158.0,1.0,14.0,,181.0,4.0,,1.0,15.0,7.0,39.0,4.0,5.0,,24.0,8.0,6.0,,51.0,360.0,5.0,4.0,,16.0,1.0,52.0,,1.0,0.0,,1.0,7.0,2.0,1.0,1.0,0.0,4.0,1.0,,2.0,43.2,17.0,,,4.0,1.0,,5.0,5.0,32.0,5.0,1.0,438.0,17.0,7.0,17.0,3.0,41.0,2.0,2.0,278.0,7.0,5.0,8.0,116.0,29.0,,2.0,10.0,16.0,,9.0,3.0,14.0,2.0,7.0,5.0,,1.0,1.0,2.0,1.0,1.0,,,1.0,5.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,2.0,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
25,2210520,2022-02-12 15:00:00,"Vicarage Road, Watford",20795,Away,Brighton and Hove Albion,Watford,2,0,W,1,0,0,0,1.0,,32.0,80.0,,3.0,24.0,17.0,1.0,2.0,10.0,1.0,3.0,201.0,,17.0,7.0,9.0,2.0,1.0,7.0,,,6.0,142.0,176.0,74.0,,11.0,8.0,3.0,,1.0,1.0,1.0,20.0,11.0,1.0,17.0,5.0,3.0,37.0,,247.0,0.0,165.0,9.0,,3.0,2.0,2.0,84.0,113.0,5.0,106.0,2.0,,15.0,24.0,1.0,,7.0,176.0,2.0,6.0,143.0,794.0,4.0,28.0,,10.0,454.0,29.0,6.0,10.0,1.0,2.0,2.0,2.0,22.0,568.0,72.0,83299,7.0,229.0,2.0,6.0,1.0,260.0,4.0,1.0,,24.0,6.0,45.0,,5.0,1.0,16.0,3.0,3.0,1.0,61.0,469.0,16.0,12.0,2.0,21.0,3.0,83.0,,,0.0,,,4.0,1.0,2.0,,0.0,4.0,1.0,,2.0,64.8,18.0,2.0,,4.0,,,6.0,3.0,39.0,5.0,3.0,592.0,10.0,8.0,10.0,2.0,31.0,3.0,2.0,352.0,7.0,2.0,29.0,112.0,39.0,1.0,,10.0,21.0,,5.0,3.0,19.0,,6.0,5.0,,,,,,,1.0,,,6.0,,,1.0,1.0,1.0,,,,1.0,,,,,2.0,,,,,2.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
26,2210523,2022-02-19 15:00:00,"American Express Stadium, Falmer",29921,Home,Brighton and Hove Albion,Burnley,0,3,L,0,2,0,0,1.0,,25.0,62.0,,2.0,30.0,23.0,5.0,2.0,6.0,1.0,,153.0,,14.0,6.0,3.0,,3.0,8.0,,3.0,1.0,165.0,149.0,40.0,,11.0,13.0,,,,1.0,,34.0,8.0,1.0,23.0,3.0,5.0,33.0,,256.0,0.0,154.0,12.0,,,4.0,2.0,99.0,75.0,4.0,95.0,,3.0,31.0,21.0,5.0,,11.0,149.0,,6.0,166.0,769.0,6.0,19.0,,5.0,474.0,24.0,5.0,14.0,,1.0,4.0,4.0,22.0,559.0,61.0,61933,5.0,242.0,,16.0,,269.0,9.0,,,21.0,4.0,47.0,1.0,4.0,,13.0,4.0,3.0,1.0,60.0,492.0,12.0,6.0,2.0,18.0,,58.0,,,0.0,,1.0,4.0,1.0,,3.0,0.0,6.0,,1.0,3.0,68.9,20.0,2.0,,4.0,1.0,,4.0,4.0,34.0,4.0,2.0,579.0,5.0,12.0,16.0,6.0,37.0,,4.0,344.0,6.0,4.0,12.0,114.0,29.0,,,14.0,13.0,3.0,9.0,3.0,8.0,,8.0,4.0,,,,2.0,,2.0,,,2.0,3.0,,,,1.0,,,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
