gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,attGoalLowLeft,savedObox,attCmissRight,attSvLowCentre,penaltyWon,attSvHighLeft,interceptionsInBox,contentiousDecision,attHdTarget,attMissHighLeft,attObxdLeft,attPenGoal,attAssistSetplay,accurateFlickOn,accurateCornersIntobox,ptsDroppedWinningPos,cleanSheet,totalPullBack,shieldBallOop,effectiveBlockedCross,blockedCross,attGoalLowCentre,goalFastbreak,attOneOnOne,attMissHighRight,attSvHighRight,attOboxGoal,accurateFreekickCross,attSetpiece,defenderGoals,totalOffside,attGoalHighLeft,sixYardBlock,attCmissHigh,ownGoals,attCmissHighLeft,attCmissLeft,attIboxOwnGoal,attCmissHighRight,goalsConcededObox,attObxdRight,attFreekickTarget,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,errorLeadToShot,attSvHighCentre,hitWoodwork,goalAssistDeadball,accuratePullBack,postScoringAtt,attIboxPost,attPostLeft,attPenPost,attPostHigh,foulThrowIn,secondYellow,attFreekickPost,attOboxPost,clearanceOffLine,attObpGoal,subsGoals
11,2210376,2021-11-07 14:00:00,"Goodison Park, Liverpool",39059,Home,Everton,Tottenham Hotspur,0,0,D,0,0,1,0,,,,30.0,57.0,,4.0,,28.0,13.0,4.0,,8.0,,,2.0,147.0,13.0,5.0,13.0,,2.0,8.0,2.0,113.0,127.0,57.0,,12.0,2.0,19.0,,1.0,2.0,1.0,,,15.0,13.0,,2.0,13.0,4.0,5.0,42.0,196.0,0.0,153.0,13.0,,,1.0,,1.0,,,79.0,65.0,4.0,56.0,2.0,11.0,14.0,4.0,,,5.0,,127.0,,5.0,112.0,627.0,8.0,3.0,21.0,15.0,329.0,23.0,,7.0,,1.0,2.0,4.0,4.0,22.0,405.0,79.0,,66838,4.0,155.0,,6.0,173.0,11.0,,14.0,3.0,60.0,1.0,5.0,,11.0,3.0,2.0,1.0,64.0,346.0,17.0,11.0,15.0,1.0,66.0,1.0,,,0.0,1.0,2.0,,,,1.0,4.0,,2.0,44.8,17.0,2.0,5.0,1.0,5.0,6.0,32.0,4.0,,428.0,15.0,8.0,16.0,4.0,23.0,4.0,270.0,10.0,5.0,5.0,104.0,23.0,,7.0,22.0,,,9.0,3.0,22.0,,6.0,4.0,,,,1.0,,,1.0,2.0,,,,,,,1.0,,1.0,,1.0,3.0,3.0,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2210385,2021-11-21 14:00:00,"Etihad Stadium, Manchester",52571,Away,Everton,Manchester City,0,3,L,0,1,0,0,,1.0,,19.0,48.0,,3.0,,15.0,17.0,,1.0,3.0,4.0,,,113.0,10.0,4.0,10.0,,2.0,2.0,1.0,46.0,117.0,38.0,1.0,4.0,,15.0,,,1.0,,,,13.0,7.0,,1.0,17.0,1.0,,35.0,79.0,0.0,66.0,7.0,,1.0,,,,1.0,1.0,29.0,39.0,2.0,44.0,,12.0,16.0,1.0,1.0,,2.0,,117.0,,12.0,44.0,401.0,2.0,1.0,11.0,6.0,162.0,33.0,2.0,6.0,,,1.0,4.0,,9.0,224.0,25.0,,66838,,97.0,,9.0,126.0,7.0,,16.0,13.0,45.0,,2.0,,15.0,5.0,3.0,,55.0,172.0,5.0,8.0,19.0,,52.0,,,1.0,0.0,,7.0,2.0,,3.0,0.0,4.0,,,22.7,8.0,,1.0,1.0,2.0,3.0,22.0,1.0,2.0,247.0,6.0,7.0,15.0,,16.0,,134.0,3.0,,5.0,46.0,7.0,,6.0,18.0,,2.0,3.0,3.0,18.0,1.0,7.0,1.0,,2.0,,1.0,,,2.0,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,2.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13,2210392,2021-11-28 14:00:00,"Gtech Community Stadium, Brentford",16957,Away,Everton,Brentford,0,1,L,0,1,0,0,,2.0,,29.0,84.0,,3.0,,25.0,26.0,4.0,5.0,10.0,3.0,,1.0,209.0,20.0,8.0,13.0,,3.0,10.0,5.0,116.0,162.0,65.0,1.0,14.0,2.0,12.0,4.0,,,1.0,,1.0,30.0,14.0,,1.0,26.0,3.0,2.0,53.0,293.0,0.0,200.0,11.0,,2.0,,,1.0,2.0,1.0,100.0,113.0,7.0,89.0,1.0,27.0,15.0,4.0,1.0,,10.0,1.0,162.0,1.0,5.0,122.0,751.0,9.0,8.0,29.0,7.0,435.0,24.0,3.0,11.0,,1.0,3.0,,3.0,20.0,525.0,88.0,,66838,7.0,160.0,1.0,15.0,185.0,3.0,,15.0,2.0,58.0,,4.0,,22.0,1.0,1.0,,50.0,445.0,8.0,16.0,10.0,2.0,76.0,,,3.0,0.0,2.0,3.0,2.0,,1.0,0.0,7.0,,5.0,60.3,17.0,1.0,6.0,1.0,4.0,5.0,39.0,3.0,1.0,536.0,7.0,8.0,23.0,4.0,35.0,3.0,381.0,4.0,1.0,25.0,157.0,47.0,,11.0,19.0,,1.0,11.0,1.0,24.0,,8.0,3.0,,1.0,1.0,3.0,,,1.0,,2.0,2.0,,,1.0,3.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,,3.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14,2210402,2021-12-01 20:15:00,"Goodison Park, Liverpool",39641,Home,Everton,Liverpool,1,4,L,1,2,0,0,2.0,,1.0,23.0,70.0,,2.0,,27.0,18.0,4.0,2.0,4.0,3.0,1.0,,146.0,10.0,2.0,8.0,1.0,3.0,6.0,2.0,44.0,163.0,47.0,1.0,8.0,2.0,22.0,1.0,,1.0,3.0,1.0,,12.0,6.0,,,18.0,3.0,,41.0,86.0,0.0,87.0,8.0,,3.0,,1.0,,2.0,,43.0,32.0,4.0,32.0,1.0,9.0,18.0,4.0,1.0,,2.0,2.0,163.0,1.0,10.0,47.0,463.0,5.0,5.0,12.0,16.0,152.0,29.0,4.0,10.0,1.0,3.0,4.0,4.0,2.0,23.0,239.0,60.0,,66838,2.0,84.0,,5.0,110.0,4.0,,18.0,9.0,49.0,1.0,4.0,1.0,24.0,6.0,2.0,,67.0,168.0,15.0,8.0,20.0,,74.0,,,2.0,0.0,2.0,11.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,31.3,15.0,,3.0,1.0,4.0,4.0,28.0,3.0,1.0,269.0,16.0,7.0,21.0,2.0,24.0,,171.0,5.0,,15.0,47.0,32.0,,10.0,9.0,,4.0,7.0,3.0,16.0,1.0,9.0,3.0,,2.0,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,3.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
15,2210412,2021-12-06 20:00:00,"Goodison Park, Liverpool",38906,Home,Everton,Arsenal,2,1,W,0,1,0,0,,1.0,1.0,32.0,66.0,1.0,2.0,,22.0,12.0,4.0,2.0,7.0,2.0,,2.0,149.0,15.0,4.0,6.0,2.0,2.0,7.0,5.0,61.0,157.0,46.0,,11.0,1.0,14.0,2.0,1.0,,,1.0,2.0,13.0,7.0,,1.0,12.0,2.0,1.0,32.0,115.0,0.0,114.0,8.0,3.0,,1.0,1.0,,1.0,,56.0,57.0,5.0,52.0,,11.0,21.0,4.0,,,1.0,1.0,157.0,1.0,8.0,67.0,519.0,5.0,6.0,16.0,11.0,213.0,20.0,6.0,6.0,1.0,,2.0,3.0,2.0,28.0,307.0,57.0,,66838,5.0,117.0,1.0,9.0,147.0,5.0,1.0,21.0,7.0,52.0,2.0,3.0,2.0,17.0,2.0,4.0,,50.0,228.0,12.0,11.0,18.0,1.0,65.0,1.0,,,0.0,,3.0,1.0,1.0,1.0,0.0,3.0,,2.0,36.1,22.0,1.0,7.0,2.0,3.0,3.0,39.0,3.0,,329.0,11.0,11.0,12.0,3.0,20.0,2.0,195.0,7.0,1.0,16.0,63.0,33.0,1.0,6.0,13.0,1.0,1.0,10.0,3.0,14.0,,11.0,3.0,,1.0,,2.0,,,2.0,3.0,,,,,1.0,2.0,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,,,5.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
16,2210426,2021-12-12 16:30:00,"Selhurst Park, London",24066,Away,Everton,Crystal Palace,1,3,L,0,1,0,0,1.0,1.0,1.0,26.0,58.0,1.0,2.0,,19.0,25.0,7.0,1.0,5.0,3.0,,4.0,136.0,10.0,2.0,12.0,1.0,4.0,6.0,6.0,56.0,142.0,66.0,1.0,12.0,3.0,27.0,2.0,1.0,1.0,,,,15.0,16.0,,3.0,25.0,2.0,3.0,37.0,118.0,0.0,122.0,14.0,,1.0,1.0,,,1.0,1.0,58.0,57.0,6.0,47.0,,13.0,20.0,7.0,1.0,,1.0,1.0,142.0,,12.0,67.0,513.0,6.0,1.0,11.0,5.0,200.0,21.0,3.0,9.0,,,2.0,6.0,,26.0,278.0,67.0,,60252,3.0,99.0,,11.0,120.0,8.0,1.0,20.0,8.0,65.0,,2.0,1.0,15.0,5.0,4.0,,67.0,215.0,15.0,10.0,22.0,,56.0,1.0,,1.0,0.0,,8.0,2.0,1.0,3.0,0.0,2.0,,,38.8,19.0,,8.0,,3.0,5.0,20.0,2.0,1.0,306.0,5.0,8.0,10.0,1.0,23.0,,201.0,11.0,3.0,14.0,69.0,22.0,,9.0,25.0,,2.0,11.0,2.0,19.0,2.0,7.0,2.0,,1.0,,4.0,,,,,,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
17,2210438,2021-12-16 19:45:00,"Stamford Bridge, London",39933,Away,Everton,Chelsea,1,1,D,0,0,0,0,,1.0,1.0,33.0,65.0,1.0,,1.0,19.0,22.0,3.0,2.0,2.0,9.0,,1.0,104.0,16.0,2.0,9.0,1.0,2.0,3.0,3.0,35.0,128.0,53.0,,5.0,1.0,18.0,1.0,,,,,,5.0,8.0,,1.0,22.0,1.0,1.0,37.0,54.0,0.0,80.0,11.0,1.0,5.0,,,2.0,2.0,,44.0,16.0,3.0,28.0,,4.0,12.0,3.0,,,1.0,1.0,128.0,1.0,16.0,27.0,355.0,2.0,4.0,11.0,9.0,100.0,29.0,5.0,7.0,1.0,,3.0,3.0,,11.0,166.0,54.0,,59949,1.0,56.0,,1.0,73.0,10.0,1.0,12.0,13.0,52.0,,2.0,,18.0,7.0,2.0,1.0,62.0,108.0,11.0,13.0,24.0,,55.0,,,1.0,0.0,1.0,7.0,7.0,1.0,1.0,0.0,2.0,1.0,,19.9,4.0,,4.0,,2.0,1.0,15.0,1.0,,194.0,9.0,7.0,13.0,1.0,11.0,,126.0,3.0,,14.0,35.0,18.0,,7.0,19.0,,1.0,4.0,3.0,13.0,,4.0,1.0,,2.0,,,,,,1.0,,,,,,,,,,1.0,1.0,2.0,2.0,,,,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
18,2210442,2022-04-20 19:45:00,"Goodison Park, Liverpool",39153,Home,Everton,Leicester City,1,1,D,0,1,0,0,,,,22.0,60.0,,1.0,,28.0,13.0,5.0,1.0,8.0,2.0,,1.0,139.0,13.0,6.0,10.0,1.0,2.0,12.0,3.0,81.0,138.0,62.0,,13.0,1.0,19.0,1.0,,,1.0,1.0,2.0,16.0,9.0,,1.0,13.0,4.0,2.0,27.0,133.0,0.0,122.0,8.0,1.0,1.0,,,1.0,1.0,,53.0,33.0,4.0,53.0,2.0,12.0,26.0,5.0,,,4.0,3.0,138.0,2.0,7.0,80.0,548.0,8.0,7.0,24.0,13.0,240.0,20.0,8.0,8.0,1.0,1.0,4.0,7.0,8.0,23.0,326.0,59.0,,59949,8.0,132.0,2.0,7.0,156.0,2.0,1.0,26.0,5.0,43.0,,5.0,1.0,15.0,4.0,2.0,3.0,58.0,259.0,17.0,6.0,19.0,3.0,52.0,,,1.0,0.0,3.0,4.0,1.0,1.0,1.0,0.0,4.0,,5.0,36.7,18.0,4.0,9.0,,5.0,2.0,25.0,5.0,,353.0,13.0,7.0,10.0,8.0,24.0,5.0,213.0,7.0,2.0,21.0,70.0,23.0,1.0,8.0,14.0,,1.0,9.0,2.0,14.0,,15.0,5.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,3.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
19,2210453,2022-04-06 19:30:00,"Turf Moor, Burnley",19830,Away,Everton,Burnley,2,3,L,2,1,0,0,1.0,,2.0,28.0,62.0,1.0,5.0,,20.0,35.0,4.0,1.0,12.0,1.0,,2.0,140.0,18.0,5.0,12.0,2.0,2.0,11.0,4.0,69.0,175.0,63.0,,16.0,3.0,30.0,1.0,1.0,2.0,1.0,,1.0,28.0,11.0,1.0,1.0,35.0,6.0,4.0,32.0,156.0,0.0,163.0,16.0,,,1.0,,1.0,,,65.0,53.0,7.0,41.0,,22.0,16.0,4.0,,,7.0,,175.0,,10.0,74.0,543.0,10.0,5.0,36.0,9.0,198.0,28.0,4.0,20.0,,1.0,2.0,3.0,4.0,25.0,299.0,53.0,1.0,59949,7.0,56.0,,15.0,90.0,7.0,2.0,16.0,8.0,64.0,1.0,,,17.0,3.0,3.0,2.0,65.0,207.0,11.0,8.0,24.0,1.0,62.0,1.0,,1.0,0.0,,9.0,1.0,2.0,3.0,0.0,3.0,,2.0,49.1,18.0,2.0,9.0,3.0,,8.0,21.0,6.0,,324.0,9.0,6.0,12.0,4.0,37.0,3.0,262.0,13.0,4.0,21.0,101.0,20.0,2.0,20.0,19.0,,3.0,13.0,2.0,17.0,1.0,6.0,6.0,,,,1.0,2.0,,1.0,1.0,,,,2.0,1.0,1.0,2.0,3.0,,,1.0,7.0,7.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,
20,2210465,2022-03-17 19:45:00,"Goodison Park, Liverpool",39068,Home,Everton,Newcastle United,1,0,W,0,0,1,0,1.0,,1.0,21.0,59.0,,1.0,,24.0,28.0,4.0,2.0,5.0,6.0,1.0,1.0,146.0,8.0,6.0,7.0,1.0,2.0,5.0,3.0,42.0,149.0,66.0,1.0,9.0,2.0,35.0,1.0,,,1.0,1.0,1.0,15.0,9.0,,1.0,28.0,5.0,3.0,28.0,103.0,0.0,78.0,13.0,,3.0,,1.0,,2.0,,64.0,30.0,3.0,35.0,1.0,10.0,13.0,4.0,1.0,,2.0,1.0,149.0,1.0,8.0,53.0,466.0,3.0,10.0,12.0,3.0,168.0,22.0,4.0,13.0,1.0,1.0,2.0,5.0,2.0,21.0,248.0,51.0,,60252,4.0,86.0,,6.0,99.0,3.0,,13.0,11.0,68.0,,,1.0,22.0,9.0,5.0,,68.0,183.0,11.0,6.0,27.0,3.0,76.0,,,1.0,0.0,4.0,7.0,4.0,1.0,,1.0,5.0,1.0,1.0,38.3,17.0,,3.0,,1.0,3.0,32.0,5.0,1.0,276.0,3.0,6.0,14.0,3.0,19.0,2.0,192.0,6.0,3.0,31.0,40.0,26.0,,13.0,18.0,,,5.0,3.0,16.0,,7.0,5.0,,2.0,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
21,2210475,2022-01-02 14:00:00,"Goodison Park, Liverpool",38203,Home,Everton,Brighton and Hove Albion,2,3,L,0,2,0,0,1.0,1.0,,29.0,75.0,1.0,4.0,,28.0,11.0,5.0,5.0,12.0,2.0,1.0,2.0,175.0,12.0,8.0,16.0,2.0,4.0,11.0,6.0,85.0,180.0,69.0,,17.0,,19.0,3.0,,2.0,1.0,2.0,3.0,29.0,11.0,,1.0,11.0,6.0,3.0,35.0,155.0,0.0,129.0,5.0,,1.0,,2.0,,1.0,,75.0,75.0,7.0,57.0,1.0,23.0,18.0,5.0,,,9.0,3.0,180.0,,4.0,82.0,622.0,8.0,9.0,30.0,9.0,270.0,35.0,7.0,6.0,2.0,1.0,1.0,4.0,4.0,29.0,374.0,56.0,,59949,6.0,141.0,1.0,13.0,170.0,3.0,1.0,18.0,5.0,58.0,,5.0,2.0,16.0,8.0,4.0,1.0,70.0,288.0,12.0,10.0,28.0,3.0,77.0,,2.0,,0.0,,5.0,1.0,1.0,3.0,0.0,8.0,1.0,2.0,49.9,24.0,1.0,2.0,3.0,5.0,4.0,26.0,8.0,,399.0,9.0,11.0,14.0,7.0,36.0,3.0,258.0,10.0,2.0,24.0,84.0,30.0,,6.0,17.0,,2.0,11.0,2.0,30.0,,7.0,8.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,,,,,2.0,,,,,,,1.0,1.0,1.0,,2.0,,1.0,,2.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,
22,2210487,2022-01-15 15:00:00,"Carrow Road, Norwich",26629,Away,Everton,Norwich City,1,2,L,0,2,0,0,,1.0,,34.0,60.0,,3.0,,19.0,20.0,3.0,1.0,9.0,2.0,,2.0,151.0,18.0,5.0,10.0,1.0,7.0,6.0,5.0,114.0,150.0,49.0,1.0,12.0,3.0,21.0,4.0,,2.0,1.0,,,29.0,13.0,1.0,,20.0,8.0,3.0,41.0,171.0,0.0,130.0,14.0,,1.0,,,2.0,5.0,,66.0,66.0,6.0,50.0,,21.0,15.0,3.0,1.0,,6.0,,150.0,,7.0,120.0,640.0,4.0,4.0,28.0,8.0,335.0,27.0,2.0,10.0,,1.0,1.0,5.0,,20.0,418.0,55.0,,60252,5.0,180.0,,10.0,203.0,6.0,1.0,15.0,2.0,61.0,,2.0,,16.0,8.0,1.0,,53.0,346.0,11.0,8.0,10.0,3.0,77.0,,,1.0,0.0,1.0,8.0,,1.0,2.0,0.0,4.0,,2.0,59.6,19.0,,3.0,1.0,2.0,6.0,43.0,8.0,,435.0,8.0,11.0,14.0,1.0,41.0,1.0,261.0,9.0,3.0,10.0,88.0,25.0,,10.0,18.0,,2.0,7.0,2.0,17.0,,9.0,8.0,,2.0,,2.0,,,,,1.0,,,,2.0,1.0,1.0,,,1.0,,7.0,7.0,,,,1.0,,,1.0,1.0,,1.0,,2.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
23,2210495,2022-01-22 12:30:00,"Goodison Park, Liverpool",38203,Home,Everton,Aston Villa,0,1,L,0,1,0,0,1.0,,,30.0,65.0,,3.0,,35.0,7.0,4.0,4.0,11.0,2.0,,,154.0,16.0,10.0,12.0,,3.0,11.0,1.0,71.0,174.0,81.0,2.0,15.0,4.0,30.0,1.0,,1.0,1.0,,1.0,25.0,16.0,,,7.0,9.0,4.0,49.0,128.0,0.0,111.0,14.0,,2.0,,,,3.0,,43.0,73.0,5.0,50.0,1.0,16.0,22.0,4.0,2.0,,4.0,,174.0,1.0,4.0,63.0,555.0,8.0,11.0,21.0,7.0,215.0,30.0,4.0,3.0,,1.0,5.0,1.0,6.0,35.0,317.0,62.0,,60252,7.0,110.0,1.0,9.0,138.0,4.0,,22.0,7.0,83.0,,2.0,,13.0,4.0,5.0,1.0,76.0,228.0,16.0,14.0,23.0,5.0,91.0,,,,0.0,1.0,2.0,1.0,,1.0,0.0,6.0,,7.0,49.6,29.0,5.0,3.0,1.0,2.0,7.0,43.0,9.0,,338.0,7.0,13.0,20.0,7.0,30.0,7.0,225.0,4.0,4.0,29.0,58.0,25.0,,3.0,24.0,,1.0,8.0,3.0,25.0,,11.0,9.0,,1.0,,1.0,,,,,1.0,2.0,,,3.0,6.0,4.0,,,,1.0,,,,,,2.0,,,1.0,,,3.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
24,2210509,2022-02-08 19:45:00,"St. James' Park, Newcastle",52186,Away,Everton,Newcastle United,1,3,L,1,1,0,0,1.0,2.0,,24.0,67.0,,2.0,,11.0,14.0,4.0,3.0,7.0,7.0,,1.0,179.0,9.0,3.0,14.0,1.0,2.0,9.0,3.0,89.0,153.0,69.0,1.0,11.0,3.0,30.0,2.0,,1.0,,,2.0,13.0,9.0,,1.0,14.0,1.0,3.0,39.0,161.0,0.0,97.0,13.0,,2.0,,,,2.0,,50.0,66.0,6.0,73.0,1.0,12.0,21.0,4.0,1.0,,2.0,,153.0,1.0,17.0,113.0,659.0,7.0,5.0,13.0,4.0,337.0,26.0,3.0,7.0,,,3.0,5.0,3.0,19.0,431.0,48.0,,60252,1.0,192.0,1.0,8.0,221.0,8.0,,21.0,4.0,84.0,,8.0,,13.0,4.0,1.0,,46.0,350.0,13.0,21.0,14.0,2.0,73.0,,,,0.0,1.0,6.0,5.0,1.0,3.0,0.0,2.0,,2.0,60.7,16.0,2.0,3.0,4.0,8.0,5.0,32.0,2.0,,454.0,4.0,11.0,12.0,3.0,19.0,3.0,246.0,6.0,3.0,23.0,57.0,27.0,,7.0,19.0,,2.0,6.0,3.0,24.0,,11.0,2.0,,2.0,1.0,2.0,,,,,,,,,2.0,3.0,1.0,3.0,,,,,,,,,,1.0,,,2.0,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
25,2210514,2022-02-12 15:00:00,"Goodison Park, Liverpool",39150,Home,Everton,Leeds United,3,0,W,2,0,0,0,,1.0,1.0,24.0,67.0,1.0,3.0,1.0,27.0,15.0,10.0,3.0,11.0,,,6.0,152.0,8.0,3.0,7.0,3.0,,17.0,10.0,72.0,154.0,55.0,,21.0,6.0,14.0,4.0,,2.0,1.0,1.0,1.0,7.0,16.0,,3.0,15.0,3.0,7.0,48.0,169.0,0.0,140.0,8.0,,,,1.0,,,,55.0,56.0,15.0,60.0,1.0,4.0,24.0,10.0,,,1.0,1.0,154.0,1.0,2.0,60.0,567.0,15.0,8.0,29.0,13.0,241.0,23.0,4.0,8.0,2.0,1.0,1.0,3.0,2.0,30.0,319.0,55.0,1.0,66838,6.0,89.0,3.0,3.0,100.0,4.0,1.0,24.0,13.0,61.0,1.0,2.0,2.0,26.0,5.0,8.0,,57.0,255.0,9.0,10.0,18.0,1.0,67.0,,1.0,,0.0,1.0,3.0,,3.0,,0.0,1.0,1.0,2.0,41.7,26.0,,8.0,2.0,2.0,9.0,36.0,5.0,,344.0,13.0,16.0,22.0,2.0,24.0,1.0,251.0,16.0,7.0,17.0,89.0,32.0,,8.0,22.0,2.0,,20.0,3.0,20.0,,19.0,5.0,1.0,,,6.0,,,1.0,,,,,,,,2.0,,1.0,,3.0,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
26,2210528,2022-02-19 15:00:00,"St. Mary's Stadium, Southampton",31312,Away,Everton,Southampton,0,2,L,0,0,0,0,,,,27.0,82.0,,1.0,,37.0,16.0,7.0,1.0,2.0,9.0,,,182.0,13.0,,8.0,,1.0,4.0,,76.0,183.0,47.0,,9.0,3.0,24.0,,,1.0,,,3.0,14.0,11.0,,,16.0,3.0,2.0,40.0,190.0,0.0,155.0,9.0,,5.0,,,,1.0,2.0,83.0,60.0,3.0,55.0,2.0,11.0,13.0,7.0,,,4.0,4.0,183.0,,15.0,88.0,599.0,4.0,7.0,17.0,12.0,267.0,30.0,11.0,7.0,,,2.0,3.0,1.0,25.0,374.0,70.0,1.0,60252,,92.0,,6.0,123.0,4.0,,13.0,6.0,67.0,2.0,1.0,,21.0,4.0,2.0,,66.0,282.0,6.0,13.0,20.0,,80.0,,,1.0,0.0,2.0,4.0,7.0,,2.0,0.0,,,1.0,44.2,21.0,1.0,7.0,1.0,1.0,4.0,44.0,4.0,3.0,401.0,12.0,12.0,19.0,5.0,27.0,1.0,292.0,7.0,1.0,13.0,99.0,32.0,,7.0,20.0,,2.0,9.0,3.0,17.0,,4.0,4.0,,2.0,,,,,1.0,,,,,,,2.0,,,,,,2.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
