gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,attLfGoal,attBxRight,attMissHighRight,ptsGainedLosingPos,midfielderGoals,attSvLowLeft,hitWoodwork,sixYardBlock,penaltyConceded,attIboxGoal,goalAssistIntentional,shieldBallOop,attBxLeft,penaltyFaced,penGoalsConceded,accurateCornersIntobox,forwardGoals,attIboxTarget,attSvLowCentre,interceptionsInBox,effectiveBlockedCross,blockedCross,accuratePullBack,attLgCentre,attHdTarget,clearanceOffLine,shotFastbreak,totalFastbreak,contentiousDecision,attObxdRight,accurateThroughBall,errorLeadToShot,attFastbreak,attObxRight,ptsDroppedWinningPos,postScoringAtt,attSvHighRight,attPostLeft,ownGoals,attOboxPost,attIboxOwnGoal,handBall,attGoalLowRight,attFreekickTotal,attIboxPost,cleanSheet,freekickTotal,attCmissHigh,attPostHigh,foulThrowIn,attFreekickMiss,attOneOnOne,penaltyWon,attSvHighLeft,attPenGoal,attFreekickGoal,attLgRight,attFreekickTarget,attGoalLowCentre,attCmissHighRight,attGoalHighCentre,goalsConcededObox,errorLeadToGoal,attGoalHighRight,attHdGoal,attFreekickPost,attPostRight,attObxdLeft,attCmissHighLeft
11,2210377,2021-11-07 14:00:00,"Elland Road, Leeds",36478,Home,Leeds United,Leicester City,1,1,D,1,1,0,0,2.0,38.0,81.0,,24.0,14.0,7.0,12.0,10.0,2.0,1.0,168.0,22.0,4.0,11.0,1.0,2.0,11.0,1.0,5.0,107.0,180.0,35.0,18.0,3.0,15.0,,,3.0,31.0,9.0,2.0,14.0,9.0,4.0,39.0,155.0,1.0,0.0,149.0,12.0,1.0,1.0,1.0,71.0,50.0,6.0,55.0,2.0,22.0,25.0,8.0,9.0,2.0,180.0,3.0,7.0,101.0,675.0,8.0,,27.0,18.0,318.0,27.0,1.0,2.0,5.0,,,1.0,,5.0,25.0,413.0,53.0,,87873,2.0,183.0,3.0,12.0,,210.0,11.0,,,25.0,10.0,65.0,1.0,,1.0,7.0,,20.0,2.0,9.0,3.0,52.0,334.0,5.0,5.0,3.0,10.0,9.0,65.0,,,1.0,1.0,0.0,1.0,5.0,2.0,1.0,,0.0,2.0,2.0,55.8,24.0,1.0,7.0,1.0,7.0,4.0,40.0,10.0,1.0,431.0,18.0,14.0,13.0,9.0,44.0,7.0,252.0,4.0,3.0,7.0,103.0,40.0,5.0,12.0,1.0,8.0,2.0,30.0,15.0,10.0,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,4.0,,,2.0,,2.0,1.0,2.0,,,,,1.0,,,,,,,1.0,,1.0,2.0,,2.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,
12,2210388,2021-11-21 16:30:00,"Tottenham Hotspur Stadium, London",58989,Away,Leeds United,Tottenham Hotspur,1,2,L,1,0,0,0,3.0,33.0,64.0,,21.0,19.0,8.0,6.0,9.0,2.0,3.0,169.0,15.0,3.0,13.0,1.0,1.0,12.0,,7.0,137.0,149.0,56.0,18.0,2.0,21.0,,1.0,4.0,21.0,13.0,3.0,19.0,5.0,1.0,35.0,179.0,,0.0,133.0,12.0,1.0,,1.0,80.0,85.0,7.0,84.0,2.0,16.0,13.0,9.0,1.0,4.0,149.0,1.0,8.0,131.0,738.0,9.0,6.0,24.0,14.0,409.0,27.0,,1.0,7.0,1.0,,4.0,6.0,5.0,26.0,498.0,43.0,,87873,4.0,254.0,,15.0,,275.0,11.0,1.0,,13.0,3.0,63.0,,,1.0,6.0,1.0,18.0,5.0,2.0,1.0,54.0,430.0,11.0,12.0,2.0,13.0,7.0,70.0,,,2.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0,1.0,2.0,56.8,24.0,2.0,3.0,,6.0,4.0,38.0,8.0,1.0,521.0,14.0,7.0,11.0,7.0,22.0,3.0,267.0,10.0,1.0,12.0,95.0,28.0,7.0,20.0,2.0,10.0,3.0,24.0,6.0,8.0,1.0,,2.0,,,3.0,,,,3.0,1.0,,,1.0,1.0,1.0,1.0,,,2.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,
13,2210393,2021-11-27 17:30:00,"American Express Stadium, Falmer",31166,Away,Leeds United,Brighton and Hove Albion,0,0,D,0,0,0,0,2.0,30.0,81.0,3.0,19.0,18.0,4.0,8.0,7.0,4.0,2.0,157.0,18.0,1.0,7.0,,1.0,8.0,,4.0,84.0,167.0,60.0,11.0,2.0,17.0,,,1.0,11.0,14.0,1.0,18.0,1.0,3.0,59.0,98.0,,0.0,99.0,14.0,4.0,,,49.0,48.0,5.0,53.0,1.0,10.0,18.0,4.0,4.0,1.0,167.0,,12.0,85.0,582.0,8.0,1.0,19.0,15.0,256.0,32.0,2.0,4.0,11.0,,,3.0,2.0,3.0,14.0,353.0,51.0,,87873,3.0,169.0,,6.0,1.0,199.0,7.0,,,18.0,12.0,58.0,,,1.0,6.0,,25.0,8.0,4.0,1.0,66.0,266.0,12.0,16.0,,15.0,1.0,71.0,,1.0,,,0.0,2.0,6.0,1.0,,1.0,0.0,1.0,,43.5,11.0,,5.0,1.0,8.0,2.0,25.0,1.0,1.0,379.0,15.0,6.0,15.0,5.0,17.0,4.0,191.0,3.0,2.0,14.0,58.0,36.0,11.0,28.0,,8.0,3.0,12.0,9.0,1.0,,,,,,2.0,,,,2.0,,,,,,,1.0,,,,,3.0,,1.0,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14,2210403,2021-11-30 20:15:00,"Elland Road, Leeds",35558,Home,Leeds United,Crystal Palace,1,0,W,0,0,0,0,,29.0,67.0,,19.0,18.0,7.0,5.0,8.0,1.0,2.0,175.0,14.0,3.0,4.0,1.0,4.0,9.0,1.0,3.0,124.0,158.0,53.0,15.0,4.0,9.0,,,,18.0,9.0,1.0,18.0,7.0,2.0,37.0,158.0,,0.0,142.0,15.0,1.0,2.0,,85.0,50.0,7.0,60.0,1.0,11.0,15.0,7.0,1.0,2.0,158.0,1.0,4.0,115.0,677.0,6.0,3.0,17.0,12.0,357.0,24.0,,,9.0,,,5.0,4.0,1.0,13.0,451.0,75.0,,87873,3.0,223.0,1.0,8.0,1.0,249.0,12.0,,,15.0,10.0,63.0,,,2.0,4.0,,20.0,5.0,10.0,1.0,45.0,378.0,14.0,18.0,2.0,12.0,2.0,70.0,,1.0,,1.0,0.0,3.0,4.0,1.0,,1.0,0.0,,1.0,61.9,13.0,,5.0,1.0,5.0,9.0,50.0,7.0,,474.0,12.0,7.0,17.0,3.0,23.0,1.0,243.0,9.0,1.0,12.0,88.0,33.0,9.0,23.0,,11.0,3.0,18.0,9.0,7.0,1.0,,5.0,,1.0,2.0,1.0,,1.0,,,1.0,,1.0,,1.0,2.0,,,3.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,
15,2210413,2021-12-05 14:00:00,"Elland Road, Leeds",35639,Home,Leeds United,Brentford,2,2,D,1,0,0,0,,21.0,73.0,,30.0,18.0,6.0,4.0,7.0,1.0,3.0,166.0,10.0,5.0,8.0,2.0,4.0,12.0,,6.0,129.0,170.0,52.0,13.0,1.0,19.0,2.0,1.0,1.0,34.0,11.0,3.0,18.0,5.0,4.0,42.0,246.0,,0.0,169.0,11.0,,2.0,,105.0,95.0,8.0,90.0,1.0,29.0,16.0,6.0,14.0,2.0,170.0,2.0,7.0,125.0,716.0,7.0,3.0,21.0,16.0,394.0,24.0,1.0,3.0,7.0,2.0,2.0,5.0,4.0,4.0,21.0,494.0,66.0,1.0,87873,4.0,166.0,,13.0,3.0,198.0,5.0,1.0,,16.0,5.0,57.0,1.0,,7.0,7.0,1.0,12.0,2.0,3.0,1.0,65.0,407.0,8.0,9.0,3.0,13.0,2.0,64.0,,1.0,,,0.0,,1.0,1.0,2.0,2.0,0.0,4.0,3.0,63.1,21.0,1.0,7.0,,8.0,3.0,32.0,5.0,,510.0,16.0,11.0,15.0,4.0,36.0,2.0,346.0,6.0,4.0,18.0,123.0,33.0,7.0,18.0,2.0,8.0,3.0,15.0,7.0,5.0,2.0,,2.0,1.0,1.0,,,1.0,,,,1.0,,2.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,
16,2210425,2021-12-11 15:00:00,"Stamford Bridge, London",39959,Away,Leeds United,Chelsea,2,3,L,1,1,0,0,2.0,36.0,55.0,,17.0,13.0,4.0,6.0,8.0,3.0,1.0,131.0,10.0,2.0,10.0,2.0,4.0,7.0,,5.0,52.0,132.0,50.0,12.0,2.0,16.0,,1.0,1.0,10.0,11.0,2.0,13.0,2.0,3.0,38.0,92.0,,0.0,73.0,15.0,,1.0,2.0,44.0,27.0,6.0,55.0,,8.0,21.0,4.0,1.0,,132.0,1.0,10.0,66.0,493.0,6.0,3.0,16.0,9.0,211.0,24.0,,1.0,7.0,1.0,,5.0,4.0,1.0,28.0,285.0,39.0,,87873,3.0,133.0,,6.0,1.0,168.0,11.0,1.0,,21.0,7.0,57.0,,,4.0,6.0,1.0,13.0,6.0,6.0,,49.0,223.0,9.0,8.0,,9.0,1.0,42.0,,,,,0.0,1.0,5.0,3.0,3.0,1.0,0.0,2.0,,42.2,21.0,,2.0,,6.0,6.0,18.0,2.0,2.0,304.0,9.0,10.0,15.0,1.0,16.0,1.0,146.0,5.0,3.0,8.0,49.0,20.0,7.0,23.0,3.0,7.0,3.0,18.0,9.0,2.0,2.0,,4.0,,1.0,,,,,1.0,,,2.0,2.0,1.0,1.0,4.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,3.0,,1.0,,,,,,,2.0,,,2.0,,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,
17,2210440,2021-12-14 20:00:00,"Etihad Stadium, Manchester",52401,Away,Leeds United,Manchester City,0,7,L,0,3,0,0,1.0,18.0,39.0,4.0,16.0,13.0,3.0,2.0,2.0,8.0,2.0,123.0,10.0,1.0,8.0,,,4.0,,3.0,83.0,98.0,31.0,6.0,,8.0,,,,6.0,8.0,2.0,13.0,2.0,5.0,40.0,56.0,,0.0,52.0,9.0,5.0,,,15.0,39.0,3.0,52.0,,4.0,18.0,4.0,2.0,1.0,98.0,,17.0,80.0,487.0,4.0,3.0,10.0,7.0,253.0,18.0,,1.0,9.0,,,1.0,7.0,1.0,16.0,313.0,21.0,,87873,1.0,218.0,,2.0,,248.0,3.0,,,18.0,12.0,46.0,,,,8.0,,9.0,14.0,9.0,1.0,41.0,273.0,5.0,17.0,,7.0,,26.0,,1.0,,,0.0,5.0,6.0,4.0,7.0,,0.0,,,35.8,14.0,,,1.0,8.0,1.0,13.0,2.0,,338.0,7.0,9.0,18.0,2.0,12.0,,96.0,4.0,4.0,4.0,29.0,11.0,9.0,15.0,5.0,5.0,3.0,11.0,7.0,2.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,2.0,,1.0,,,,,,,,2.0,,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,2.0,1.0,,,,,,
18,2210443,2021-12-18 17:30:00,"Elland Road, Leeds",36166,Home,Leeds United,Arsenal,1,4,L,0,3,0,0,,26.0,59.0,3.0,24.0,15.0,4.0,4.0,4.0,8.0,1.0,165.0,7.0,3.0,11.0,1.0,1.0,6.0,1.0,2.0,98.0,136.0,37.0,9.0,1.0,11.0,2.0,,,9.0,4.0,1.0,15.0,1.0,3.0,58.0,119.0,,0.0,87.0,11.0,3.0,,,35.0,64.0,2.0,75.0,3.0,8.0,17.0,5.0,2.0,3.0,136.0,1.0,14.0,67.0,582.0,5.0,3.0,16.0,9.0,295.0,24.0,1.0,1.0,4.0,,2.0,3.0,5.0,4.0,27.0,388.0,35.0,,87873,3.0,196.0,1.0,6.0,,232.0,6.0,,1.0,17.0,5.0,41.0,1.0,,,6.0,,18.0,7.0,5.0,1.0,49.0,312.0,6.0,6.0,1.0,9.0,1.0,53.0,,1.0,,,0.0,2.0,4.0,5.0,4.0,1.0,0.0,2.0,1.0,50.9,23.0,1.0,4.0,,6.0,1.0,26.0,1.0,,405.0,9.0,9.0,25.0,6.0,20.0,3.0,182.0,4.0,3.0,6.0,62.0,23.0,4.0,14.0,4.0,7.0,3.0,15.0,7.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,
19,2210454,2022-02-23 19:45:00,"Anfield, Liverpool",53018,Away,Leeds United,Liverpool,0,6,L,0,3,0,0,1.0,32.0,82.0,2.0,21.0,9.0,2.0,2.0,1.0,8.0,1.0,131.0,11.0,,11.0,,1.0,2.0,,2.0,99.0,138.0,38.0,3.0,,9.0,1.0,,,6.0,10.0,2.0,9.0,,4.0,39.0,69.0,,0.0,63.0,11.0,2.0,,,40.0,31.0,1.0,61.0,1.0,6.0,16.0,2.0,2.0,,138.0,,16.0,87.0,543.0,2.0,4.0,4.0,15.0,265.0,35.0,,,2.0,,1.0,3.0,3.0,1.0,11.0,354.0,39.0,,87873,1.0,211.0,,4.0,,242.0,8.0,,,16.0,10.0,47.0,1.0,,6.0,12.0,,18.0,7.0,4.0,,65.0,280.0,5.0,20.0,,16.0,,61.0,,,,,0.0,1.0,4.0,7.0,6.0,3.0,0.0,,,36.3,10.0,,4.0,1.0,12.0,,22.0,,,378.0,15.0,7.0,15.0,1.0,17.0,1.0,142.0,1.0,3.0,1.0,26.0,28.0,2.0,21.0,6.0,3.0,3.0,12.0,13.0,,,,,,,,,,,,,,2.0,,,,,2.0,2.0,,,,1.0,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2210466,2022-03-10 19:45:00,"Elland Road, Leeds",36400,Home,Leeds United,Aston Villa,0,3,L,0,1,0,0,1.0,24.0,58.0,4.0,31.0,12.0,2.0,3.0,2.0,6.0,,149.0,10.0,,15.0,,4.0,3.0,,1.0,102.0,144.0,57.0,4.0,,9.0,1.0,,,17.0,18.0,1.0,12.0,3.0,1.0,57.0,139.0,,0.0,116.0,17.0,3.0,3.0,,33.0,58.0,2.0,56.0,,14.0,17.0,2.0,4.0,1.0,144.0,,9.0,112.0,603.0,3.0,1.0,13.0,6.0,309.0,25.0,,,5.0,,1.0,5.0,4.0,1.0,20.0,397.0,59.0,,87873,1.0,190.0,,7.0,,215.0,12.0,,,17.0,5.0,59.0,,,3.0,4.0,,18.0,6.0,5.0,1.0,58.0,329.0,11.0,18.0,,3.0,,51.0,,,,,0.0,,5.0,2.0,3.0,,0.0,,,50.9,19.0,,5.0,,4.0,1.0,30.0,3.0,,419.0,6.0,4.0,28.0,2.0,29.0,1.0,221.0,1.0,1.0,6.0,63.0,24.0,5.0,25.0,3.0,4.0,3.0,26.0,6.0,3.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2210476,2022-01-02 14:00:00,"Elland Road, Leeds",36083,Home,Leeds United,Burnley,3,1,W,1,0,0,0,1.0,27.0,72.0,,30.0,21.0,8.0,9.0,13.0,1.0,3.0,160.0,12.0,8.0,11.0,3.0,1.0,18.0,1.0,7.0,85.0,156.0,59.0,22.0,5.0,34.0,,1.0,,23.0,11.0,,21.0,7.0,4.0,43.0,125.0,1.0,0.0,113.0,11.0,1.0,1.0,,44.0,70.0,12.0,40.0,2.0,18.0,13.0,9.0,5.0,2.0,156.0,3.0,4.0,75.0,574.0,15.0,5.0,23.0,10.0,238.0,31.0,,4.0,7.0,2.0,,2.0,2.0,6.0,21.0,337.0,48.0,,87873,6.0,138.0,2.0,12.0,,179.0,6.0,1.0,,13.0,9.0,63.0,4.0,,5.0,6.0,2.0,15.0,4.0,7.0,2.0,71.0,255.0,7.0,5.0,1.0,16.0,4.0,64.0,,1.0,,2.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,8.0,2.0,55.3,21.0,1.0,4.0,,6.0,9.0,30.0,9.0,,360.0,10.0,7.0,17.0,6.0,42.0,3.0,204.0,11.0,4.0,23.0,71.0,30.0,7.0,18.0,,18.0,2.0,18.0,7.0,9.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,2.0,2.0,1.0,3.0,,,2.0,1.0,4.0,2.0,,2.0,2.0,,1.0,,,2.0,2.0,,,,,2.0,,,1.0,,,,1.0,,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,
22,2210489,2022-01-16 14:00:00,"London Stadium, London",59951,Away,Leeds United,West Ham United,3,2,W,2,1,0,0,,35.0,79.0,1.0,24.0,21.0,4.0,10.0,14.0,3.0,2.0,169.0,18.0,6.0,6.0,3.0,3.0,15.0,3.0,5.0,110.0,171.0,52.0,18.0,2.0,24.0,,2.0,,16.0,13.0,,21.0,3.0,8.0,39.0,127.0,,0.0,92.0,9.0,2.0,1.0,,65.0,61.0,8.0,68.0,5.0,13.0,21.0,4.0,3.0,1.0,171.0,3.0,13.0,95.0,652.0,10.0,1.0,31.0,10.0,309.0,34.0,1.0,8.0,12.0,3.0,,2.0,4.0,7.0,24.0,422.0,30.0,1.0,87873,9.0,201.0,1.0,9.0,2.0,248.0,7.0,,2.0,21.0,11.0,67.0,2.0,,1.0,3.0,2.0,16.0,2.0,7.0,2.0,73.0,322.0,6.0,13.0,2.0,34.0,2.0,68.0,1.0,,,,0.0,1.0,4.0,2.0,2.0,1.0,0.0,4.0,4.0,52.6,23.0,4.0,4.0,,3.0,4.0,26.0,3.0,,442.0,10.0,10.0,17.0,9.0,23.0,7.0,210.0,4.0,6.0,17.0,66.0,34.0,12.0,23.0,2.0,12.0,3.0,18.0,12.0,3.0,2.0,,2.0,1.0,3.0,1.0,,,3.0,,1.0,1.0,,3.0,2.0,,2.0,,,2.0,,2.0,2.0,,4.0,4.0,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,,1.0,2.0,,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,
23,2210496,2022-01-22 15:00:00,"Elland Road, Leeds",36405,Home,Leeds United,Newcastle United,0,1,L,0,0,0,0,2.0,22.0,71.0,1.0,24.0,20.0,5.0,6.0,8.0,2.0,2.0,158.0,9.0,3.0,13.0,,,6.0,,4.0,126.0,153.0,56.0,13.0,2.0,30.0,1.0,,1.0,22.0,13.0,1.0,20.0,5.0,1.0,41.0,188.0,,0.0,169.0,9.0,2.0,,,71.0,58.0,4.0,47.0,1.0,17.0,14.0,5.0,8.0,2.0,153.0,1.0,6.0,146.0,676.0,6.0,3.0,38.0,7.0,361.0,34.0,1.0,1.0,10.0,,1.0,4.0,8.0,2.0,24.0,460.0,55.0,,87873,3.0,192.0,2.0,9.0,,216.0,4.0,,1.0,14.0,5.0,66.0,3.0,,,5.0,,15.0,9.0,5.0,1.0,53.0,377.0,8.0,9.0,,9.0,4.0,63.0,,3.0,,1.0,0.0,1.0,7.0,1.0,1.0,,0.0,3.0,2.0,63.0,24.0,1.0,6.0,1.0,5.0,5.0,42.0,6.0,,477.0,7.0,6.0,17.0,4.0,38.0,2.0,283.0,5.0,1.0,14.0,109.0,26.0,10.0,21.0,,9.0,2.0,25.0,6.0,6.0,,,3.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,3.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
24,2210501,2022-02-09 20:00:00,"Villa Park, Birmingham",41927,Away,Leeds United,Aston Villa,3,3,D,2,3,0,1,2.0,30.0,58.0,1.0,22.0,15.0,5.0,4.0,11.0,2.0,2.0,150.0,14.0,3.0,4.0,3.0,2.0,11.0,,8.0,122.0,138.0,23.0,16.0,2.0,15.0,,1.0,3.0,26.0,2.0,2.0,15.0,9.0,,31.0,164.0,,0.0,103.0,9.0,2.0,2.0,1.0,82.0,63.0,8.0,67.0,1.0,17.0,18.0,5.0,3.0,,138.0,1.0,8.0,117.0,639.0,9.0,3.0,22.0,10.0,357.0,24.0,,1.0,4.0,1.0,,3.0,2.0,3.0,21.0,433.0,45.0,,87873,2.0,217.0,1.0,12.0,,239.0,6.0,1.0,1.0,18.0,7.0,55.0,,1.0,2.0,8.0,2.0,12.0,4.0,7.0,,41.0,378.0,10.0,9.0,1.0,7.0,6.0,68.0,,2.0,,2.0,0.0,1.0,6.0,,3.0,1.0,0.0,1.0,6.0,60.5,21.0,3.0,1.0,,8.0,3.0,47.0,11.0,1.0,456.0,10.0,6.0,13.0,5.0,33.0,4.0,243.0,6.0,,6.0,70.0,21.0,4.0,3.0,3.0,10.0,1.0,20.0,8.0,11.0,2.0,1.0,1.0,,1.0,2.0,,1.0,,,1.0,1.0,,3.0,1.0,,2.0,,,2.0,2.0,3.0,3.0,1.0,,,,,1.0,,,,,,,,,,2.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,
25,2210514,2022-02-12 15:00:00,"Goodison Park, Liverpool",39150,Away,Leeds United,Everton,0,3,L,0,2,0,0,,24.0,71.0,3.0,22.0,19.0,5.0,6.0,2.0,7.0,,161.0,16.0,1.0,10.0,,,6.0,,,126.0,163.0,61.0,7.0,2.0,17.0,,,,12.0,16.0,,19.0,1.0,5.0,29.0,139.0,,0.0,95.0,9.0,4.0,,,51.0,64.0,2.0,56.0,,11.0,24.0,5.0,1.0,1.0,163.0,,11.0,124.0,715.0,6.0,2.0,13.0,13.0,352.0,27.0,1.0,3.0,5.0,,,1.0,7.0,4.0,34.0,445.0,40.0,,87873,1.0,236.0,,10.0,,280.0,5.0,,,24.0,7.0,55.0,1.0,,,15.0,,32.0,10.0,7.0,1.0,45.0,374.0,8.0,7.0,,13.0,1.0,64.0,,,,,0.0,2.0,5.0,4.0,3.0,,0.0,1.0,,58.3,31.0,,2.0,,15.0,3.0,43.0,3.0,,467.0,13.0,4.0,13.0,4.0,22.0,1.0,199.0,1.0,3.0,14.0,68.0,27.0,5.0,29.0,3.0,6.0,3.0,28.0,5.0,3.0,,,1.0,,,1.0,,,,,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
26,2210525,2022-02-20 14:00:00,"Elland Road, Leeds",36715,Home,Leeds United,Manchester United,2,4,L,0,2,0,0,2.0,35.0,80.0,2.0,16.0,16.0,5.0,8.0,10.0,5.0,2.0,159.0,19.0,2.0,8.0,2.0,3.0,14.0,,6.0,81.0,142.0,54.0,16.0,2.0,7.0,,2.0,1.0,10.0,12.0,1.0,16.0,2.0,3.0,57.0,124.0,1.0,0.0,106.0,13.0,2.0,1.0,,51.0,30.0,8.0,64.0,1.0,8.0,17.0,6.0,1.0,2.0,142.0,1.0,11.0,105.0,615.0,12.0,1.0,18.0,17.0,292.0,29.0,2.0,1.0,5.0,2.0,,6.0,4.0,6.0,14.0,379.0,51.0,,87873,6.0,198.0,,6.0,1.0,232.0,9.0,,,17.0,4.0,54.0,1.0,,4.0,9.0,2.0,22.0,4.0,4.0,1.0,43.0,320.0,18.0,15.0,,4.0,,52.0,,1.0,,,0.0,,3.0,3.0,4.0,1.0,0.0,2.0,,54.5,14.0,,9.0,1.0,9.0,4.0,30.0,3.0,,409.0,17.0,8.0,25.0,6.0,21.0,4.0,187.0,7.0,2.0,4.0,67.0,33.0,5.0,24.0,4.0,15.0,3.0,19.0,8.0,3.0,1.0,,2.0,,2.0,1.0,1.0,,,2.0,,,,1.0,1.0,1.0,2.0,,,,1.0,3.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0
