gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,goalFastbreak,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,saves,attOboxBlocked,attMissLeft,divingSave,attMissRight,crosses18yardplus,errorLeadToShot,totalOffside,attSvLowRight,punches,savedIbox,attCmissHighRight,shieldBallOop,effectiveBlockedCross,blockedCross,savedObox,accuratePullBack,attFreekickTotal,freekickTotal,sixYardBlock,attSvHighCentre,attFreekickMiss,handBall,accurateKeeperSweeper,totalKeeperSweeper,ownGoals,totalThroughBall,attIboxOwnGoal,bigChanceScored,attGoalLowLeft,attOneOnOne,contentiousDecision,accurateThroughBall,attHdGoal,goalAssistSetplay,ptsGainedLosingPos,foulThrowIn,clearanceOffLine,attCmissRight,hitWoodwork,goalAssistDeadball,attLfGoal,attGoalHighCentre,attFreekickTarget,penaltySave,expectedGoalsOnTargetConceded,secondYellow,expectedAssists,attObxdLeft,attCmissLeft,expectedGoals,attPenTarget,penaltyWon,attHdTarget,attCmissHigh,attPenGoal,errorLeadToGoal,expectedGoalsOnTarget,expectedGoalsFreekick,postScoringAtt,attIboxPost,attPostLeft,attOboxPost,attPostRight,ptsDroppedWinningPos,cleanSheet,attLgCentre,attGoalHighRight,attSvHighLeft,attPostHigh,defenderGoals
11,2210371,2021-11-07 14:00:00,"Emirates Stadium, London",59833,Away,Watford,Arsenal,0,1,L,0,0,1,0,1.0,20.0,63.0,,3.0,20.0,22.0,2.0,3.0,4.0,1.0,126.0,,11.0,5.0,8.0,,2.0,6.0,1.0,71.0,149.0,38.0,7.0,18.0,,,,,1.0,,15.0,10.0,1.0,22.0,1.0,3.0,37.0,110.0,,,0.0,88.0,19.0,,,,1.0,,51.0,45.0,4.0,56.0,,14.0,10.0,3.0,1.0,149.0,1.0,6.0,64.0,504.0,6.0,7.0,14.0,11.0,221.0,30.0,,5.0,15.0,,2.0,3.0,2.0,23.0,301.0,50.0,,9089,3.0,123.0,1.0,6.0,,1.0,146.0,11.0,,,4.0,5.0,73.0,4.0,,18.0,8.0,1.0,,62.0,228.0,6.0,15.0,,27.0,1.0,71.0,,,0.0,1.0,4.0,,1.0,3.0,1.0,5.0,,,39.4,17.0,,3.0,1.0,4.0,4.0,38.0,2.0,1.0,,317.0,,11.0,13.0,16.0,2.0,24.0,,1.0,186.0,4.0,2.0,9.0,47.0,19.0,,15.0,15.0,,6.0,3.0,17.0,4.0,2.0,,5.0,1.0,2.0,2.0,,7.0,,3.0,,,3.0,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.7067,1.0,0.181612,1.0,1.0,0.501,,,,,,,,,,,,,,,,,,,,
12,2210389,2021-11-20 15:00:00,"Vicarage Road, Watford",21087,Home,Watford,Manchester United,4,1,W,2,0,0,1,,31.0,69.0,1.0,4.0,28.0,13.0,5.0,3.0,15.0,2.0,152.0,1.0,14.0,8.0,4.0,4.0,4.0,13.0,7.0,69.0,155.0,46.0,20.0,20.0,3.0,1.0,2.0,4.0,2.0,,23.0,13.0,,13.0,6.0,2.0,25.0,145.0,1.0,,0.0,146.0,7.0,1.0,2.0,,1.0,,53.0,66.0,10.0,61.0,1.0,17.0,12.0,5.0,2.0,155.0,2.0,8.0,53.0,505.0,5.0,5.0,35.0,12.0,216.0,21.0,,7.0,6.0,4.0,2.0,1.0,3.0,21.0,318.0,68.0,,9089,9.0,87.0,2.0,8.0,,,99.0,5.0,3.0,1.0,12.0,6.0,51.0,,4.0,9.0,1.0,3.0,1.0,68.0,224.0,5.0,11.0,4.0,33.0,4.0,72.0,1.0,,0.0,1.0,3.0,4.0,1.0,3.0,0.0,4.0,3.0,4.0,38.7,16.0,2.0,8.0,2.0,,7.0,22.0,8.0,,,335.0,,12.0,6.0,14.0,6.0,31.0,4.0,4.0,259.0,13.0,1.0,15.0,84.0,36.0,1.0,6.0,22.0,1.0,13.0,3.0,11.0,6.0,9.0,,2.0,3.0,4.0,1.0,,8.0,,1.0,,1.0,2.0,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,1.0,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
13,2210397,2021-11-28 14:00:00,"King Power Stadium, Leicester",32020,Away,Watford,Leicester City,2,4,L,1,3,0,0,,23.0,72.0,1.0,2.0,18.0,12.0,4.0,1.0,13.0,3.0,160.0,1.0,9.0,8.0,9.0,2.0,3.0,12.0,5.0,50.0,184.0,51.0,17.0,30.0,2.0,,1.0,,1.0,,23.0,9.0,1.0,12.0,6.0,3.0,36.0,116.0,1.0,,0.0,109.0,20.0,,1.0,1.0,3.0,,64.0,33.0,5.0,47.0,1.0,17.0,21.0,4.0,1.0,184.0,2.0,13.0,46.0,496.0,8.0,9.0,29.0,13.0,176.0,18.0,,6.0,7.0,,0.0,5.0,7.0,28.0,281.0,58.0,2.0,85624,10.0,77.0,2.0,6.0,3.0,,111.0,11.0,2.0,,21.0,6.0,80.0,2.0,1.0,15.0,5.0,2.0,1.0,64.0,185.0,5.0,10.0,4.0,28.0,2.0,78.0,,,0.0,,8.0,2.0,4.0,4.0,0.0,7.0,,5.0,43.3,16.0,4.0,6.0,,2.0,4.0,28.0,6.0,,,303.0,,13.0,16.0,16.0,8.0,29.0,1.0,7.0,215.0,11.0,3.0,23.0,59.0,40.0,1.0,7.0,14.0,4.0,10.0,3.0,15.0,8.0,6.0,,4.0,2.0,4.0,3.0,2.0,8.0,,2.0,1.0,,3.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,2.0,1.0,1.0,,,,2.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,4.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
14,2210405,2021-12-01 19:30:00,"Vicarage Road, Watford",20388,Home,Watford,Chelsea,1,2,L,1,1,0,0,,23.0,81.0,,1.0,30.0,9.0,8.0,6.0,6.0,3.0,174.0,,13.0,4.0,8.0,1.0,7.0,10.0,6.0,94.0,198.0,63.0,14.0,34.0,3.0,2.0,2.0,1.0,3.0,1.0,30.0,6.0,2.0,9.0,6.0,9.0,44.0,185.0,,,0.0,199.0,18.0,3.0,1.0,,3.0,2.0,51.0,115.0,7.0,69.0,3.0,24.0,17.0,8.0,3.0,198.0,1.0,6.0,62.0,614.0,8.0,9.0,19.0,15.0,263.0,26.0,1.0,15.0,5.0,1.0,4.0,1.0,3.0,35.0,376.0,75.0,,85624,3.0,95.0,1.0,11.0,2.0,,119.0,9.0,1.0,1.0,9.0,2.0,73.0,1.0,1.0,20.0,2.0,1.0,,77.0,276.0,16.0,9.0,1.0,39.0,,73.0,2.0,,0.0,3.0,,1.0,2.0,3.0,0.0,4.0,1.0,1.0,49.8,25.0,1.0,11.0,1.0,2.0,4.0,27.0,6.0,,2.0,399.0,,15.0,6.0,14.0,4.0,36.0,,1.0,310.0,7.0,7.0,29.0,131.0,39.0,,5.0,10.0,2.0,10.0,3.0,14.0,9.0,6.0,2.0,2.0,3.0,1.0,1.0,2.0,10.0,,3.0,1.0,,2.0,,1.0,,,,1.0,2.0,2.0,1.0,1.0,,,,,,4.0,,,1.0,,,3.0,,,,,,,,,,,1.0,,0.7596,,0.840037,,,1.0166,,,,,,,1.3171,0.0943,,,,,,,,,,,,
15,2210418,2021-12-04 17:30:00,"Vicarage Road, Watford",20673,Home,Watford,Manchester City,1,3,L,0,2,0,0,,20.0,59.0,1.0,1.0,25.0,19.0,5.0,2.0,6.0,1.0,118.0,,12.0,4.0,4.0,1.0,1.0,10.0,4.0,47.0,124.0,37.0,11.0,12.0,1.0,,2.0,,,,14.0,6.0,2.0,19.0,4.0,2.0,46.0,89.0,1.0,,0.0,74.0,11.0,,,1.0,,2.0,32.0,33.0,4.0,35.0,4.0,10.0,7.0,5.0,3.0,124.0,,22.0,39.0,399.0,7.0,7.0,15.0,11.0,142.0,27.0,,3.0,9.0,,3.0,5.0,6.0,11.0,209.0,38.0,,85624,3.0,72.0,,7.0,,,100.0,9.0,1.0,,7.0,10.0,46.0,2.0,1.0,15.0,4.0,2.0,1.0,63.0,157.0,7.0,8.0,3.0,11.0,2.0,61.0,,,0.0,1.0,11.0,1.0,3.0,3.0,0.0,2.0,,1.0,22.9,10.0,1.0,6.0,,2.0,1.0,31.0,5.0,,2.0,239.0,,11.0,6.0,23.0,6.0,18.0,2.0,2.0,153.0,8.0,2.0,11.0,45.0,14.0,,9.0,15.0,3.0,8.0,3.0,13.0,3.0,5.0,2.0,9.0,,1.0,7.0,2.0,3.0,,,2.0,,9.0,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
16,2210422,2021-12-10 20:00:00,"Gtech Community Stadium, Brentford",16861,Away,Watford,Brentford,1,2,L,1,0,0,0,,18.0,67.0,,1.0,18.0,35.0,2.0,,4.0,1.0,159.0,,10.0,5.0,6.0,1.0,3.0,5.0,2.0,53.0,174.0,71.0,6.0,25.0,1.0,1.0,,,,,11.0,9.0,,35.0,2.0,4.0,32.0,88.0,,,0.0,86.0,18.0,1.0,,1.0,2.0,,52.0,55.0,3.0,32.0,1.0,9.0,9.0,2.0,1.0,174.0,1.0,11.0,37.0,476.0,3.0,12.0,8.0,8.0,152.0,34.0,,7.0,16.0,1.0,0.0,5.0,2.0,26.0,256.0,55.0,,85624,3.0,80.0,1.0,2.0,,1.0,112.0,11.0,,,9.0,8.0,68.0,,,23.0,3.0,1.0,1.0,61.0,163.0,12.0,6.0,1.0,33.0,2.0,72.0,1.0,1.0,0.0,,8.0,1.0,2.0,6.0,0.0,3.0,1.0,3.0,36.6,19.0,1.0,2.0,1.0,,1.0,25.0,2.0,1.0,,281.0,1.0,8.0,11.0,16.0,3.0,16.0,2.0,1.0,180.0,3.0,2.0,36.0,41.0,25.0,1.0,16.0,17.0,2.0,3.0,3.0,15.0,5.0,2.0,,3.0,,,2.0,1.0,5.0,,,,,2.0,,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,2.0,2.0,,1.0,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,3.0,,,,,,
17,2210434,2022-02-05 18:00:00,"Turf Moor, Burnley",19527,Away,Watford,Burnley,0,0,D,0,0,0,0,,29.0,75.0,,1.0,26.0,28.0,4.0,2.0,7.0,1.0,156.0,,13.0,6.0,8.0,,,11.0,5.0,70.0,172.0,62.0,11.0,24.0,4.0,,,,,,22.0,11.0,1.0,28.0,7.0,9.0,28.0,142.0,1.0,,0.0,109.0,9.0,,,3.0,3.0,1.0,46.0,64.0,7.0,59.0,1.0,16.0,17.0,4.0,2.0,172.0,1.0,7.0,74.0,581.0,10.0,6.0,26.0,19.0,233.0,26.0,,12.0,20.0,,2.0,4.0,4.0,20.0,334.0,63.0,1.0,9089,4.0,109.0,1.0,8.0,,,133.0,4.0,,,17.0,7.0,57.0,2.0,,23.0,6.0,4.0,,78.0,245.0,16.0,11.0,1.0,46.0,1.0,93.0,,,0.0,1.0,4.0,,,2.0,0.0,4.0,,3.0,48.4,16.0,1.0,2.0,2.0,2.0,2.0,36.0,7.0,,1.0,359.0,,19.0,6.0,12.0,4.0,29.0,2.0,2.0,248.0,6.0,6.0,23.0,59.0,38.0,,20.0,16.0,,10.0,2.0,16.0,9.0,7.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,,,,,1.0,,,,,1.0,,,,,2.0,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,,
18,2210448,2022-02-23 19:30:00,"Vicarage Road, Watford",20012,Home,Watford,Crystal Palace,1,4,L,1,2,0,0,,27.0,64.0,,2.0,31.0,13.0,2.0,1.0,6.0,,148.0,,14.0,4.0,7.0,1.0,1.0,8.0,1.0,117.0,148.0,36.0,8.0,10.0,,,,,,,16.0,6.0,,13.0,6.0,5.0,45.0,141.0,2.0,,0.0,104.0,12.0,,1.0,,,,56.0,69.0,4.0,71.0,,10.0,20.0,2.0,1.0,148.0,3.0,6.0,120.0,623.0,6.0,5.0,12.0,8.0,349.0,37.0,,6.0,5.0,1.0,2.0,,4.0,23.0,437.0,64.0,,9089,3.0,226.0,2.0,4.0,1.0,,259.0,6.0,,,20.0,4.0,52.0,1.0,,16.0,1.0,3.0,1.0,68.0,363.0,8.0,7.0,1.0,26.0,3.0,60.0,,,0.0,1.0,4.0,1.0,4.0,2.0,0.0,2.0,1.0,3.0,45.3,22.0,1.0,2.0,1.0,1.0,3.0,31.0,6.0,,,456.0,,8.0,9.0,21.0,4.0,26.0,2.0,3.0,213.0,4.0,5.0,10.0,63.0,21.0,,5.0,11.0,4.0,4.0,2.0,21.0,8.0,6.0,,1.0,1.0,,,1.0,6.0,,2.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2210460,2022-03-10 19:30:00,"Molineux Stadium, Wolverhampton",29658,Away,Watford,Wolverhampton Wanderers,0,4,L,0,3,0,0,1.0,19.0,55.0,,3.0,18.0,17.0,3.0,2.0,5.0,,125.0,,8.0,3.0,11.0,,3.0,5.0,,84.0,108.0,46.0,9.0,18.0,,,,,,,9.0,7.0,,17.0,2.0,3.0,27.0,116.0,,,0.0,66.0,10.0,,,,2.0,,39.0,53.0,2.0,67.0,,7.0,6.0,4.0,3.0,108.0,,7.0,67.0,491.0,5.0,4.0,10.0,7.0,257.0,24.0,1.0,3.0,7.0,,2.0,1.0,3.0,14.0,324.0,40.0,,9089,5.0,156.0,,3.0,1.0,,178.0,5.0,,,6.0,5.0,43.0,6.0,,13.0,4.0,3.0,2.0,57.0,269.0,10.0,6.0,,29.0,,59.0,,,0.0,,5.0,,4.0,1.0,0.0,3.0,,2.0,34.2,13.0,1.0,3.0,,6.0,4.0,28.0,2.0,,1.0,343.0,,7.0,5.0,16.0,5.0,13.0,,2.0,174.0,5.0,3.0,12.0,38.0,20.0,,7.0,13.0,3.0,6.0,3.0,16.0,3.0,2.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,,,1.0,,,2.0,2.0,1.0,,2.0,2.0,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,
20,2210470,2021-12-28 15:00:00,"Vicarage Road, Watford",20073,Home,Watford,West Ham United,1,4,L,1,2,0,0,,27.0,70.0,,3.0,24.0,20.0,3.0,4.0,11.0,3.0,151.0,,12.0,6.0,11.0,1.0,1.0,8.0,5.0,60.0,165.0,63.0,14.0,19.0,4.0,,2.0,1.0,2.0,,19.0,12.0,,20.0,4.0,1.0,32.0,124.0,,,0.0,109.0,12.0,,,1.0,3.0,,30.0,69.0,5.0,50.0,1.0,15.0,18.0,3.0,2.0,165.0,2.0,10.0,55.0,536.0,5.0,5.0,25.0,13.0,197.0,35.0,2.0,9.0,7.0,1.0,0.0,4.0,3.0,25.0,293.0,61.0,1.0,78007,7.0,91.0,2.0,9.0,3.0,1.0,121.0,7.0,,,18.0,5.0,55.0,1.0,1.0,21.0,3.0,1.0,1.0,62.0,209.0,11.0,9.0,2.0,28.0,2.0,69.0,,,0.0,2.0,5.0,1.0,4.0,,0.0,4.0,1.0,5.0,43.0,18.0,2.0,9.0,1.0,1.0,4.0,33.0,4.0,1.0,,316.0,1.0,13.0,8.0,15.0,5.0,30.0,2.0,3.0,214.0,5.0,1.0,25.0,59.0,21.0,1.0,7.0,16.0,4.0,9.0,3.0,18.0,13.0,4.0,,2.0,1.0,1.0,2.0,1.0,3.0,,,,1.0,2.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,1.0,1.0,,
21,2210480,2022-01-01 15:00:00,"Vicarage Road, Watford",20391,Home,Watford,Tottenham Hotspur,0,1,L,0,0,0,0,,27.0,67.0,,,25.0,40.0,3.0,2.0,3.0,2.0,122.0,,10.0,1.0,10.0,,2.0,4.0,4.0,39.0,132.0,59.0,6.0,22.0,2.0,,1.0,,2.0,,9.0,8.0,2.0,40.0,3.0,4.0,28.0,53.0,,,0.0,57.0,6.0,,,1.0,2.0,,29.0,35.0,3.0,44.0,3.0,6.0,11.0,3.0,1.0,132.0,,12.0,46.0,446.0,3.0,9.0,6.0,8.0,153.0,39.0,,6.0,22.0,,0.0,6.0,1.0,10.0,224.0,48.0,,78007,2.0,116.0,,1.0,,,136.0,5.0,,,11.0,9.0,57.0,5.0,,19.0,9.0,6.0,2.0,70.0,168.0,9.0,13.0,1.0,29.0,2.0,63.0,,,0.0,2.0,7.0,,1.0,1.0,0.0,,,1.0,25.8,7.0,1.0,2.0,,5.0,,23.0,3.0,,,251.0,,8.0,7.0,10.0,2.0,14.0,1.0,1.0,124.0,3.0,3.0,24.0,20.0,14.0,,22.0,16.0,1.0,3.0,3.0,19.0,8.0,3.0,2.0,9.0,,,2.0,,3.0,1.0,1.0,1.0,,3.0,,2.0,4.0,4.0,5.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
22,2210486,2022-01-15 15:00:00,"St. James' Park, Newcastle",52223,Away,Watford,Newcastle United,1,1,D,0,0,0,0,,27.0,57.0,,1.0,26.0,28.0,8.0,3.0,10.0,2.0,155.0,,16.0,5.0,12.0,1.0,2.0,13.0,5.0,86.0,138.0,70.0,18.0,31.0,4.0,3.0,,1.0,3.0,,15.0,11.0,,28.0,6.0,7.0,41.0,119.0,,,0.0,73.0,13.0,3.0,,,,,40.0,47.0,9.0,51.0,3.0,9.0,11.0,8.0,2.0,138.0,2.0,8.0,89.0,601.0,12.0,7.0,25.0,17.0,285.0,25.0,1.0,10.0,16.0,1.0,2.0,3.0,4.0,20.0,358.0,35.0,,9089,6.0,187.0,2.0,3.0,2.0,,220.0,7.0,,,11.0,9.0,81.0,3.0,1.0,15.0,4.0,6.0,1.0,62.0,301.0,13.0,11.0,,26.0,3.0,65.0,3.0,,0.0,,4.0,1.0,1.0,3.0,0.0,3.0,,4.0,48.0,15.0,1.0,3.0,4.0,3.0,7.0,37.0,6.0,,,381.0,,17.0,17.0,17.0,6.0,24.0,2.0,4.0,176.0,11.0,6.0,27.0,50.0,25.0,1.0,16.0,19.0,1.0,11.0,3.0,22.0,3.0,6.0,,,6.0,3.0,,1.0,6.0,,1.0,,1.0,,,,,,,,2.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,
23,2210500,2022-01-21 20:00:00,"Vicarage Road, Watford",20782,Home,Watford,Norwich City,0,3,L,0,0,1,0,,28.0,67.0,,,42.0,5.0,7.0,5.0,8.0,2.0,182.0,,15.0,5.0,22.0,,1.0,11.0,4.0,167.0,155.0,67.0,15.0,16.0,4.0,,1.0,,4.0,,22.0,10.0,,5.0,4.0,6.0,52.0,226.0,,,0.0,171.0,16.0,,,,1.0,,83.0,79.0,6.0,72.0,,18.0,14.0,7.0,2.0,155.0,1.0,5.0,144.0,740.0,9.0,4.0,23.0,9.0,448.0,25.0,,4.0,2.0,,0.0,3.0,5.0,17.0,544.0,61.0,1.0,85624,3.0,243.0,2.0,11.0,2.0,,271.0,9.0,,,14.0,5.0,55.0,1.0,,16.0,3.0,3.0,3.0,74.0,464.0,11.0,7.0,2.0,21.0,2.0,76.0,,,0.0,2.0,1.0,,3.0,2.0,1.0,3.0,,3.0,68.5,15.0,1.0,2.0,3.0,1.0,4.0,49.0,5.0,,,565.0,,9.0,9.0,29.0,7.0,25.0,2.0,4.0,316.0,7.0,5.0,20.0,126.0,38.0,,2.0,14.0,3.0,11.0,3.0,29.0,4.0,5.0,,,4.0,2.0,,1.0,6.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,2.0,2.0,,1.0,,,1.0,,,1.0,,,,,,,1.0,
24,2210505,2022-02-08 19:45:00,"London Stadium, London",59581,Away,Watford,West Ham United,0,1,L,0,0,0,0,1.0,28.0,58.0,,,16.0,28.0,4.0,2.0,2.0,1.0,144.0,,17.0,4.0,14.0,,,5.0,1.0,72.0,156.0,57.0,6.0,42.0,,1.0,,,,,16.0,12.0,1.0,28.0,6.0,3.0,29.0,125.0,,1.0,0.0,101.0,6.0,1.0,,,,,51.0,51.0,2.0,54.0,,10.0,17.0,4.0,2.0,156.0,,8.0,65.0,527.0,5.0,7.0,18.0,12.0,229.0,28.0,1.0,6.0,15.0,,0.0,3.0,3.0,21.0,319.0,49.0,,9089,2.0,114.0,,4.0,,,144.0,2.0,,,17.0,10.0,73.0,,,18.0,1.0,1.0,,53.0,235.0,1.0,9.0,,20.0,,59.0,1.0,,0.0,1.0,5.0,,1.0,,0.0,3.0,,1.0,35.7,13.0,1.0,2.0,,,1.0,23.0,6.0,,,335.0,,12.0,7.0,14.0,4.0,21.0,1.0,2.0,207.0,3.0,3.0,25.0,63.0,27.0,,15.0,17.0,,6.0,3.0,23.0,9.0,6.0,,1.0,1.0,2.0,1.0,1.0,6.0,,1.0,,,2.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,2210520,2022-02-12 15:00:00,"Vicarage Road, Watford",20795,Home,Watford,Brighton and Hove Albion,0,2,L,0,1,0,0,,32.0,78.0,,2.0,17.0,21.0,3.0,1.0,6.0,1.0,135.0,,15.0,2.0,12.0,,3.0,6.0,1.0,66.0,170.0,45.0,9.0,29.0,1.0,,2.0,,,,18.0,13.0,,21.0,4.0,2.0,25.0,112.0,1.0,,0.0,94.0,16.0,,,1.0,2.0,1.0,44.0,51.0,3.0,42.0,,14.0,24.0,3.0,2.0,170.0,,10.0,72.0,537.0,6.0,4.0,18.0,11.0,208.0,42.0,,5.0,7.0,,3.0,4.0,3.0,20.0,298.0,41.0,,9089,4.0,106.0,,8.0,2.0,,135.0,9.0,,,24.0,5.0,74.0,3.0,,25.0,1.0,1.0,1.0,57.0,216.0,7.0,9.0,,30.0,2.0,66.0,,,0.0,3.0,5.0,,2.0,1.0,0.0,2.0,,1.0,35.2,15.0,1.0,3.0,,3.0,3.0,28.0,4.0,,1.0,315.0,,11.0,13.0,12.0,5.0,25.0,,2.0,198.0,7.0,2.0,8.0,59.0,27.0,,7.0,18.0,2.0,4.0,3.0,20.0,18.0,4.0,,3.0,1.0,1.0,2.0,1.0,4.0,,1.0,,,3.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,
26,2210522,2022-02-19 15:00:00,"Villa Park, Birmingham",41936,Away,Watford,Aston Villa,1,0,W,0,0,0,0,,31.0,51.0,1.0,,25.0,36.0,3.0,,5.0,3.0,148.0,,19.0,1.0,8.0,1.0,,7.0,4.0,92.0,147.0,54.0,8.0,16.0,3.0,3.0,1.0,1.0,1.0,,12.0,8.0,,36.0,4.0,6.0,42.0,120.0,1.0,,0.0,86.0,7.0,3.0,,2.0,1.0,,63.0,47.0,5.0,61.0,3.0,8.0,16.0,3.0,2.0,147.0,4.0,8.0,82.0,601.0,6.0,12.0,14.0,14.0,275.0,22.0,,3.0,24.0,1.0,2.0,7.0,2.0,26.0,357.0,47.0,,9089,3.0,169.0,3.0,2.0,,,196.0,5.0,,,16.0,13.0,49.0,8.0,1.0,12.0,12.0,5.0,1.0,72.0,288.0,12.0,7.0,,26.0,,80.0,3.0,,0.0,2.0,10.0,1.0,,2.0,0.0,1.0,1.0,1.0,40.4,19.0,,1.0,1.0,8.0,1.0,36.0,5.0,,,383.0,,14.0,7.0,18.0,3.0,25.0,,1.0,199.0,7.0,6.0,17.0,49.0,17.0,1.0,24.0,17.0,,8.0,3.0,20.0,4.0,5.0,,1.0,1.0,,,1.0,5.0,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
