gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,attLfGoal,shotFastbreak,accurateKeeperSweeper,goalFastbreak,totalFastbreak,goodHighClaim,interceptionsInBox,attMissRight,totalKeeperSweeper,accurateThroughBall,defenderGoals,attFastbreak,punches,attCmissHighRight,totalHighClaim,savedObox,attFreekickTotal,attOboxGoal,freekickTotal,sixYardBlock,attSvLowRight,errorLeadToGoal,attOneOnOne,divingSave,forwardGoals,goalsConcededObox,attCmissRight,ptsGainedLosingPos,attLgCentre,clearanceOffLine,accurateFreekickCross,ownGoals,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attCmissHigh,ptsDroppedWinningPos,attFreekickPost,attPostHigh,attSvHighRight,contentiousDecision,attFreekickTarget,errorLeadToShot,attFreekickMiss,attGoalHighRight,attCmissHighLeft,attSvHighLeft,foulThrowIn,attGoalHighCentre,attHdPost,cleanSheet,attPenTarget
11,2367640,2023-11-04 15:00:00,"Goodison Park, Liverpool",38683,Away,Brighton and Hove Albion,Everton,1,1,D,0,1,0,0,,,,51.0,,1.0,25.0,12.0,2.0,4.0,5.0,3.0,2.0,258.0,,2.0,9.0,1.0,4.0,5.0,,2.0,219.0,136.0,43.0,7.0,,17.0,1.0,,,,1.0,,17.0,,4.0,1.0,12.0,3.0,11.0,41.0,358.0,,,0.0,189.0,5.0,,,1.0,108.0,89.0,2.0,143.0,14.0,10.0,2.0,3.0,1.0,136.0,,6.0,,,246.0,1023.0,5.0,3.0,29.0,,,3.0,760.0,21.0,2.0,,4.0,,2.0,2.0,3.0,22.0,846.0,105.0,83299,2.0,422.0,,10.0,,,441.0,3.0,,,1.0,4.0,6.0,43.0,5.0,3.0,6.0,,10.0,4.0,6.0,,,45.0,778.0,15.0,5.0,,5.0,,82.0,,,0.0,3.0,3.0,3.0,1.0,,1.0,2.0,0.0,1.0,,,1.0,79.9,21.0,1.0,3.0,1.0,,6.0,1.0,60.0,3.0,,866.0,,3.0,8.0,23.0,4.0,,33.0,1.0,3.0,442.0,2.0,11.0,15.0,139.0,21.0,1.0,4.0,6.0,,1.0,6.0,5.0,17.0,1.0,4.0,3.0,,,,,,,,1.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
12,2367651,2023-11-12 14:00:00,"American Express Stadium, Falmer",31367,Home,Brighton and Hove Albion,Sheffield United,1,1,D,1,0,1,0,,1.0,1.0,50.0,,,24.0,13.0,3.0,1.0,8.0,1.0,4.0,201.0,,4.0,11.0,1.0,4.0,7.0,,6.0,157.0,136.0,54.0,11.0,1.0,11.0,3.0,,,1.0,3.0,1.0,14.0,,7.0,2.0,13.0,5.0,19.0,29.0,203.0,,,0.0,114.0,13.0,1.0,1.0,4.0,71.0,33.0,4.0,128.0,9.0,21.0,3.0,,,136.0,1.0,5.0,,,141.0,806.0,4.0,4.0,29.0,,,3.0,520.0,26.0,,3.0,6.0,1.0,3.0,2.0,3.0,16.0,601.0,47.0,60307,6.0,345.0,,5.0,2.0,,375.0,7.0,,1.0,1.0,11.0,9.0,57.0,3.0,3.0,4.0,1.0,12.0,5.0,8.0,2.0,,45.0,544.0,16.0,6.0,2.0,13.0,4.0,73.0,,,0.0,1.0,3.0,,1.0,,1.0,3.0,1.0,3.0,1.0,,2.0,61.4,16.0,2.0,4.0,,1.0,4.0,1.0,54.0,6.0,,627.0,,3.0,12.0,21.0,4.0,,25.0,1.0,4.0,266.0,8.0,19.0,14.0,79.0,15.0,1.0,6.0,13.0,,1.0,5.0,4.0,26.0,1.0,11.0,6.0,1.0,,,1.0,,,,,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,2.0,1.0,1.0,,,,2.0,,,,,,1.0,,,,,,,,,
13,2367665,2023-11-25 15:00:00,"The City Ground, Nottingham",29404,Away,Brighton and Hove Albion,Nottingham Forest,3,2,W,2,1,1,0,,,1.0,51.0,2.0,1.0,32.0,31.0,4.0,,6.0,3.0,1.0,172.0,,4.0,4.0,3.0,4.0,7.0,,5.0,140.0,117.0,44.0,10.0,1.0,18.0,2.0,,,2.0,,,16.0,,8.0,,31.0,4.0,6.0,23.0,178.0,2.0,1.0,0.0,111.0,7.0,,,1.0,58.0,62.0,6.0,100.0,12.0,17.0,4.0,4.0,3.0,117.0,,14.0,2.0,,139.0,733.0,3.0,2.0,20.0,1.0,,9.0,460.0,16.0,1.0,3.0,18.0,2.0,6.0,8.0,1.0,7.0,526.0,47.0,83299,5.0,305.0,,7.0,,1.0,331.0,5.0,,2.0,,8.0,11.0,43.0,,,6.0,2.0,15.0,4.0,9.0,,1.0,53.0,479.0,12.0,5.0,2.0,11.0,3.0,64.0,,,0.0,,6.0,2.0,3.0,,2.0,1.0,1.0,2.0,2.0,1.0,3.0,53.3,2.0,,5.0,,1.0,6.0,2.0,44.0,4.0,1.0,551.0,1.0,9.0,8.0,14.0,3.0,,23.0,2.0,,236.0,7.0,5.0,15.0,83.0,21.0,3.0,18.0,13.0,1.0,2.0,5.0,5.0,9.0,3.0,8.0,4.0,1.0,,1.0,,,1.0,1.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,2.0,1.0,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
14,2367672,2023-12-03 14:00:00,"Stamford Bridge, London",39647,Away,Brighton and Hove Albion,Chelsea,2,3,L,1,2,0,1,,3.0,,50.0,,1.0,14.0,10.0,9.0,5.0,9.0,2.0,3.0,189.0,,8.0,9.0,2.0,4.0,15.0,1.0,9.0,174.0,119.0,53.0,18.0,3.0,11.0,4.0,2.0,,1.0,1.0,1.0,27.0,,9.0,3.0,10.0,6.0,9.0,25.0,308.0,1.0,,0.0,201.0,12.0,1.0,2.0,,94.0,70.0,10.0,107.0,21.0,11.0,9.0,8.0,3.0,119.0,,5.0,1.0,,175.0,833.0,12.0,1.0,49.0,1.0,,9.0,555.0,18.0,,,3.0,2.0,5.0,1.0,5.0,20.0,618.0,72.0,60307,4.0,280.0,,13.0,1.0,1.0,294.0,7.0,,,5.0,4.0,4.0,41.0,2.0,3.0,2.0,1.0,16.0,3.0,4.0,1.0,,27.0,580.0,16.0,5.0,1.0,7.0,5.0,61.0,,,0.0,2.0,5.0,1.0,2.0,,3.0,1.0,0.0,5.0,1.0,1.0,3.0,67.6,19.0,,2.0,1.0,,2.0,4.0,50.0,8.0,1.0,645.0,1.0,9.0,5.0,14.0,5.0,,42.0,3.0,2.0,378.0,10.0,8.0,9.0,162.0,26.0,1.0,3.0,20.0,1.0,3.0,11.0,5.0,17.0,1.0,4.0,8.0,1.0,1.0,,,,,,2.0,2.0,,,,,,,,1.0,1.0,,1.0,,3.0,,,1.0,,,2.0,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,
15,2367679,2023-12-06 19:30:00,"American Express Stadium, Falmer",30760,Home,Brighton and Hove Albion,Brentford,2,1,W,1,1,0,0,,2.0,,62.0,1.0,2.0,34.0,20.0,6.0,7.0,12.0,,1.0,190.0,,4.0,10.0,2.0,,13.0,3.0,7.0,143.0,137.0,58.0,18.0,2.0,13.0,3.0,1.0,,2.0,1.0,,12.0,,9.0,2.0,20.0,7.0,5.0,39.0,333.0,1.0,,0.0,206.0,10.0,,1.0,,115.0,39.0,9.0,122.0,5.0,13.0,6.0,2.0,2.0,137.0,1.0,8.0,,,153.0,793.0,8.0,7.0,35.0,2.0,,8.0,513.0,14.0,3.0,5.0,13.0,2.0,3.0,4.0,4.0,17.0,591.0,68.0,60307,7.0,197.0,1.0,3.0,,1.0,219.0,9.0,,,3.0,6.0,2.0,58.0,2.0,1.0,3.0,2.0,17.0,,1.0,1.0,,56.0,526.0,8.0,7.0,3.0,13.0,6.0,69.0,,,0.0,,3.0,1.0,2.0,,1.0,4.0,0.0,1.0,2.0,,5.0,61.6,16.0,1.0,7.0,2.0,,3.0,4.0,50.0,7.0,1.0,608.0,1.0,8.0,13.0,23.0,7.0,,36.0,3.0,5.0,401.0,6.0,5.0,25.0,164.0,33.0,1.0,13.0,15.0,1.0,1.0,12.0,5.0,25.0,1.0,6.0,7.0,1.0,1.0,,,,,1.0,1.0,2.0,,1.0,2.0,,1.0,1.0,1.0,,,,,1.0,2.0,,,,,,1.0,3.0,,1.0,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,
16,2367689,2023-12-09 15:00:00,"American Express Stadium, Falmer",31511,Home,Brighton and Hove Albion,Burnley,1,1,D,0,1,0,0,,,1.0,65.0,,5.0,16.0,2.0,6.0,3.0,23.0,2.0,6.0,214.0,,9.0,8.0,1.0,2.0,22.0,2.0,11.0,206.0,139.0,47.0,29.0,2.0,15.0,9.0,1.0,,1.0,2.0,1.0,31.0,,6.0,1.0,2.0,7.0,9.0,29.0,381.0,2.0,,0.0,229.0,5.0,1.0,2.0,,135.0,59.0,12.0,131.0,24.0,10.0,6.0,13.0,3.0,139.0,3.0,5.0,,,226.0,979.0,20.0,4.0,62.0,4.0,,5.0,689.0,20.0,,,,1.0,0.0,2.0,10.0,19.0,761.0,76.0,83299,12.0,333.0,3.0,11.0,,,355.0,3.0,,,4.0,4.0,5.0,55.0,,2.0,11.0,1.0,11.0,1.0,5.0,2.0,,27.0,705.0,8.0,7.0,1.0,3.0,4.0,72.0,,1.0,0.0,4.0,1.0,2.0,1.0,,1.0,2.0,0.0,7.0,1.0,,10.0,72.0,19.0,5.0,7.0,7.0,1.0,11.0,7.0,60.0,9.0,,777.0,,5.0,18.0,15.0,11.0,,54.0,2.0,8.0,453.0,15.0,8.0,19.0,194.0,27.0,2.0,,13.0,1.0,,23.0,5.0,18.0,2.0,4.0,9.0,1.0,,1.0,,,1.0,2.0,,6.0,,,,1.0,,1.0,2.0,,2.0,,2.0,1.0,2.0,,,1.0,,1.0,3.0,1.0,,,,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,
17,2367699,2023-12-17 14:00:00,"Emirates Stadium, London",60257,Away,Brighton and Hove Albion,Arsenal,0,2,L,0,0,0,0,,,,39.0,,2.0,15.0,21.0,1.0,1.0,5.0,6.0,,144.0,,2.0,4.0,,,6.0,,1.0,158.0,94.0,42.0,6.0,,8.0,1.0,,,,,1.0,10.0,,7.0,,21.0,1.0,7.0,36.0,179.0,,,0.0,93.0,9.0,,,,33.0,35.0,3.0,93.0,9.0,15.0,1.0,3.0,1.0,94.0,1.0,20.0,,,155.0,708.0,6.0,2.0,13.0,1.0,,3.0,472.0,20.0,,1.0,10.0,,3.0,10.0,3.0,11.0,526.0,44.0,83299,4.0,318.0,1.0,6.0,,,349.0,9.0,,,,10.0,9.0,40.0,1.0,1.0,4.0,,17.0,6.0,9.0,1.0,,37.0,495.0,10.0,11.0,,11.0,,30.0,,1.0,0.0,,10.0,6.0,,,2.0,1.0,0.0,2.0,,1.0,2.0,51.2,10.0,1.0,1.0,1.0,1.0,4.0,2.0,18.0,1.0,,550.0,,3.0,6.0,17.0,3.0,,15.0,,2.0,211.0,3.0,7.0,10.0,77.0,10.0,,10.0,18.0,,2.0,6.0,5.0,10.0,,10.0,1.0,,,,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
18,2367709,2023-12-21 20:00:00,"Selhurst Park, London",24171,Away,Brighton and Hove Albion,Crystal Palace,1,1,D,0,1,0,0,,,,60.0,,2.0,22.0,10.0,8.0,3.0,10.0,2.0,5.0,192.0,,4.0,6.0,1.0,2.0,13.0,,6.0,215.0,129.0,51.0,18.0,3.0,10.0,3.0,3.0,,1.0,3.0,1.0,14.0,,11.0,2.0,10.0,1.0,18.0,39.0,344.0,1.0,,0.0,193.0,11.0,,,1.0,77.0,55.0,8.0,125.0,13.0,22.0,8.0,7.0,3.0,129.0,3.0,10.0,1.0,,227.0,958.0,10.0,1.0,32.0,,,7.0,673.0,19.0,,,3.0,1.0,2.0,5.0,5.0,11.0,739.0,81.0,83299,4.0,352.0,3.0,5.0,1.0,,365.0,11.0,,,1.0,10.0,6.0,57.0,,2.0,9.0,1.0,17.0,1.0,6.0,2.0,,39.0,692.0,12.0,8.0,2.0,4.0,1.0,58.0,,,0.0,3.0,3.0,1.0,1.0,,1.0,,0.0,3.0,1.0,,3.0,65.9,10.0,1.0,6.0,2.0,,9.0,5.0,46.0,1.0,,759.0,,7.0,12.0,20.0,7.0,,39.0,1.0,4.0,408.0,12.0,18.0,13.0,151.0,26.0,1.0,3.0,20.0,1.0,1.0,16.0,4.0,22.0,1.0,10.0,1.0,,,,,,,,,3.0,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,
19,2367721,2023-12-28 19:30:00,"American Express Stadium, Falmer",31675,Home,Brighton and Hove Albion,Tottenham Hotspur,4,2,W,2,0,0,0,,1.0,3.0,68.0,1.0,3.0,22.0,29.0,2.0,3.0,13.0,1.0,3.0,158.0,,4.0,6.0,4.0,3.0,8.0,1.0,9.0,114.0,122.0,36.0,15.0,,8.0,5.0,,2.0,1.0,3.0,,11.0,1.0,12.0,,29.0,6.0,7.0,21.0,143.0,,2.0,0.0,88.0,18.0,,,1.0,63.0,41.0,7.0,88.0,5.0,14.0,2.0,1.0,,122.0,3.0,14.0,1.0,,99.0,658.0,3.0,3.0,24.0,1.0,2.0,13.0,360.0,30.0,,8.0,11.0,2.0,3.0,8.0,1.0,13.0,435.0,40.0,83299,8.0,240.0,4.0,3.0,1.0,,276.0,18.0,,3.0,1.0,8.0,11.0,55.0,2.0,2.0,1.0,1.0,14.0,5.0,8.0,,2.0,54.0,379.0,6.0,13.0,3.0,28.0,5.0,52.0,,,0.0,2.0,6.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,,3.0,45.2,12.0,,6.0,2.0,,1.0,3.0,29.0,7.0,,459.0,,13.0,8.0,15.0,3.0,2.0,23.0,3.0,1.0,194.0,9.0,7.0,8.0,65.0,24.0,2.0,11.0,16.0,,2.0,7.0,5.0,14.0,2.0,8.0,7.0,1.0,1.0,,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,,2.0,,,,,,1.0,,,1.0,1.0,,,,,2.0,1.0,,,,1.0,,,,1.0,1.0,,
20,2367736,2024-01-02 19:30:00,"London Stadium, London",62462,Away,Brighton and Hove Albion,West Ham United,0,0,D,0,0,0,0,,1.0,,55.0,,3.0,23.0,15.0,5.0,6.0,17.0,2.0,5.0,210.0,,4.0,3.0,,1.0,19.0,2.0,8.0,254.0,114.0,30.0,22.0,2.0,8.0,6.0,1.0,,,6.0,4.0,13.0,,6.0,2.0,15.0,,10.0,39.0,437.0,2.0,,0.0,225.0,6.0,,1.0,,118.0,84.0,11.0,148.0,13.0,14.0,5.0,1.0,1.0,114.0,2.0,4.0,,,253.0,1028.0,18.0,2.0,41.0,2.0,,8.0,782.0,22.0,,,9.0,,0.0,,7.0,20.0,849.0,78.0,60307,13.0,365.0,3.0,12.0,2.0,,388.0,6.0,,,2.0,7.0,8.0,37.0,2.0,1.0,6.0,,16.0,2.0,8.0,2.0,,34.0,798.0,4.0,5.0,,5.0,,65.0,,1.0,0.0,1.0,2.0,1.0,,,,,0.0,4.0,,1.0,5.0,68.6,18.0,3.0,5.0,1.0,,6.0,5.0,55.0,,,865.0,,8.0,10.0,29.0,9.0,,27.0,,8.0,490.0,11.0,10.0,11.0,194.0,19.0,1.0,9.0,12.0,,,20.0,3.0,11.0,1.0,7.0,,,,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,
21,2367741,2024-01-22 19:45:00,"American Express Stadium, Falmer",31505,Home,Brighton and Hove Albion,Wolverhampton Wanderers,0,0,D,0,0,0,0,,1.0,,55.0,,3.0,19.0,7.0,3.0,1.0,8.0,3.0,1.0,242.0,,8.0,6.0,,2.0,11.0,,4.0,191.0,135.0,43.0,11.0,3.0,4.0,4.0,,,,2.0,1.0,32.0,,10.0,,7.0,6.0,15.0,29.0,389.0,,,0.0,246.0,10.0,,,2.0,115.0,51.0,10.0,150.0,26.0,13.0,3.0,11.0,,135.0,2.0,4.0,,,208.0,966.0,8.0,5.0,43.0,2.0,1.0,7.0,695.0,16.0,,,4.0,,1.0,,1.0,18.0,769.0,83.0,83299,5.0,336.0,2.0,13.0,2.0,,352.0,9.0,,,,7.0,7.0,39.0,2.0,3.0,5.0,,12.0,4.0,7.0,,,41.0,717.0,13.0,5.0,3.0,10.0,3.0,64.0,,,0.0,2.0,2.0,2.0,,,,3.0,0.0,5.0,,1.0,5.0,71.8,18.0,1.0,8.0,1.0,,5.0,6.0,44.0,8.0,,791.0,,7.0,14.0,12.0,1.0,,42.0,3.0,1.0,471.0,5.0,13.0,11.0,209.0,24.0,,4.0,13.0,,,6.0,5.0,12.0,,7.0,8.0,,,,2.0,,,,,,3.0,1.0,,,,,,1.0,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,
22,2367751,2024-01-30 19:45:00,"Kenilworth Road, Luton",10994,Away,Brighton and Hove Albion,Luton Town,0,4,L,0,3,0,0,,,,79.0,,3.0,16.0,17.0,2.0,2.0,7.0,4.0,1.0,203.0,,2.0,8.0,,1.0,5.0,,2.0,112.0,173.0,60.0,9.0,,14.0,2.0,1.0,,,1.0,,6.0,,13.0,,17.0,3.0,13.0,37.0,118.0,,,0.0,112.0,14.0,,,,34.0,32.0,2.0,100.0,3.0,26.0,2.0,3.0,2.0,173.0,2.0,13.0,,,127.0,728.0,3.0,4.0,13.0,1.0,,5.0,393.0,41.0,,1.0,11.0,,2.0,8.0,2.0,25.0,514.0,56.0,83299,2.0,299.0,4.0,,,,336.0,14.0,,,,9.0,3.0,61.0,3.0,1.0,3.0,,19.0,5.0,3.0,2.0,,63.0,415.0,13.0,18.0,1.0,27.0,2.0,74.0,,,0.0,1.0,7.0,4.0,,,4.0,1.0,0.0,,,1.0,1.0,59.1,21.0,,8.0,2.0,,3.0,3.0,27.0,4.0,,542.0,,5.0,13.0,17.0,4.0,,20.0,2.0,2.0,212.0,6.0,10.0,13.0,57.0,22.0,1.0,11.0,26.0,,4.0,7.0,5.0,12.0,1.0,9.0,4.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,
23,2367761,2024-02-03 15:00:00,"American Express Stadium, Falmer",31345,Home,Brighton and Hove Albion,Crystal Palace,4,1,W,3,0,0,0,,,3.0,55.0,1.0,3.0,28.0,3.0,4.0,1.0,9.0,4.0,,183.0,,5.0,8.0,4.0,3.0,11.0,,6.0,276.0,95.0,50.0,13.0,4.0,3.0,2.0,1.0,,3.0,1.0,,10.0,,15.0,,3.0,2.0,23.0,40.0,267.0,,,0.0,113.0,8.0,1.0,,,75.0,46.0,11.0,178.0,8.0,15.0,4.0,3.0,,95.0,3.0,3.0,,,233.0,1039.0,6.0,2.0,17.0,1.0,,11.0,797.0,21.0,,4.0,2.0,4.0,1.0,1.0,,15.0,850.0,43.0,83299,5.0,555.0,,5.0,2.0,,578.0,7.0,,1.0,,6.0,1.0,33.0,1.0,2.0,5.0,3.0,16.0,4.0,1.0,,,34.0,817.0,14.0,6.0,1.0,6.0,1.0,53.0,,,0.0,1.0,2.0,2.0,4.0,,1.0,2.0,0.0,4.0,4.0,,3.0,68.9,14.0,,3.0,2.0,,5.0,7.0,44.0,3.0,,870.0,,11.0,9.0,34.0,,,17.0,1.0,,302.0,8.0,22.0,5.0,93.0,23.0,2.0,2.0,23.0,2.0,1.0,10.0,5.0,15.0,2.0,6.0,3.0,3.0,1.0,,,,,1.0,,,,1.0,1.0,,,,1.0,2.0,,,,,,,,3.0,2.0,,,,,,,,,1.0,1.0,,,,,1.0,,,2.0,,,,,1.0,,,,
24,2367775,2024-02-10 15:00:00,"Tottenham Hotspur Stadium, London",61445,Away,Brighton and Hove Albion,Tottenham Hotspur,1,2,L,1,0,0,0,,1.0,1.0,59.0,,1.0,20.0,24.0,1.0,3.0,5.0,4.0,1.0,144.0,,3.0,8.0,1.0,3.0,3.0,1.0,3.0,122.0,134.0,41.0,6.0,1.0,10.0,2.0,1.0,,,,,17.0,,10.0,,24.0,6.0,3.0,34.0,146.0,,1.0,0.0,94.0,13.0,1.0,,3.0,45.0,35.0,2.0,81.0,11.0,22.0,1.0,2.0,,134.0,1.0,10.0,,,128.0,683.0,3.0,2.0,24.0,,,13.0,377.0,23.0,,4.0,8.0,,3.0,6.0,1.0,22.0,454.0,32.0,83299,3.0,251.0,1.0,6.0,,,280.0,12.0,,1.0,1.0,14.0,5.0,44.0,2.0,6.0,5.0,,18.0,6.0,5.0,,1.0,40.0,394.0,14.0,11.0,,15.0,,48.0,,,0.0,2.0,9.0,3.0,1.0,,2.0,,0.0,2.0,,,,47.5,19.0,,8.0,1.0,,5.0,2.0,23.0,6.0,,475.0,,13.0,6.0,19.0,1.0,,24.0,1.0,1.0,212.0,3.0,3.0,3.0,65.0,18.0,1.0,8.0,16.0,,2.0,5.0,5.0,12.0,1.0,14.0,6.0,1.0,,,2.0,,,,4.0,1.0,2.0,,,,,,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,
25,2367786,2024-02-18 14:00:00,"Bramall Lane, Sheffield",29522,Away,Brighton and Hove Albion,Sheffield United,5,0,W,2,0,0,1,1.0,2.0,2.0,46.0,1.0,5.0,17.0,13.0,5.0,6.0,19.0,1.0,1.0,199.0,1.0,10.0,2.0,5.0,2.0,17.0,,10.0,254.0,108.0,37.0,24.0,4.0,7.0,6.0,3.0,,1.0,4.0,,40.0,,10.0,,13.0,9.0,14.0,24.0,545.0,,,0.0,317.0,5.0,3.0,,1.0,123.0,90.0,14.0,155.0,31.0,14.0,5.0,12.0,1.0,108.0,3.0,3.0,,,263.0,1044.0,12.0,,50.0,3.0,,4.0,806.0,17.0,,,8.0,2.0,4.0,3.0,3.0,13.0,858.0,100.0,83299,11.0,284.0,3.0,18.0,1.0,,298.0,5.0,,2.0,1.0,7.0,7.0,28.0,2.0,2.0,4.0,3.0,16.0,3.0,7.0,3.0,,24.0,819.0,3.0,9.0,3.0,2.0,5.0,55.0,,,0.0,,5.0,1.0,5.0,,,,0.0,7.0,2.0,3.0,5.0,79.4,13.0,1.0,5.0,2.0,1.0,4.0,9.0,44.0,10.0,,871.0,,4.0,5.0,17.0,5.0,,51.0,3.0,4.0,613.0,13.0,13.0,17.0,289.0,19.0,,8.0,15.0,,,18.0,5.0,5.0,,7.0,10.0,1.0,2.0,,,,,1.0,,2.0,,1.0,,,,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,
26,2367791,2024-02-24 15:00:00,"American Express Stadium, Falmer",31646,Home,Brighton and Hove Albion,Everton,1,1,D,0,0,1,0,,,,53.0,,9.0,24.0,12.0,6.0,4.0,17.0,1.0,3.0,192.0,,7.0,13.0,1.0,2.0,20.0,1.0,7.0,162.0,116.0,61.0,23.0,2.0,11.0,4.0,,,,3.0,2.0,26.0,,8.0,2.0,12.0,10.0,12.0,34.0,249.0,,,0.0,164.0,9.0,,1.0,1.0,72.0,62.0,16.0,111.0,16.0,10.0,6.0,7.0,2.0,116.0,1.0,5.0,,,173.0,825.0,16.0,1.0,40.0,3.0,,4.0,549.0,17.0,,1.0,6.0,1.0,2.0,2.0,4.0,11.0,613.0,66.0,83299,11.0,331.0,1.0,8.0,2.0,,349.0,8.0,,,2.0,4.0,7.0,44.0,,1.0,9.0,,16.0,1.0,7.0,2.0,,40.0,573.0,14.0,12.0,3.0,8.0,5.0,56.0,,1.0,0.0,1.0,3.0,2.0,1.0,,1.0,1.0,1.0,3.0,1.0,,5.0,64.6,10.0,1.0,5.0,6.0,,9.0,11.0,44.0,11.0,,638.0,,4.0,8.0,20.0,5.0,,36.0,4.0,3.0,315.0,14.0,10.0,18.0,130.0,20.0,,6.0,16.0,1.0,1.0,15.0,5.0,18.0,,4.0,11.0,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,2.0,1.0,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,
