gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,attGoalLowCentre,fouledFinalThird,accuratePullBack,attIboxTarget,shotFastbreak,postScoringAtt,cleanSheet,penaltyWon,totalFastbreak,freekickCross,goodHighClaim,contentiousDecision,attPostLeft,hitWoodwork,attMissHighLeft,attRfGoal,goalKicks,totalOffside,accurateGoalKicks,attMissHigh,attPenGoal,attFastbreak,punches,attIboxGoal,attOboxPost,goalAssistIntentional,totalHighClaim,handBall,attIboxPost,attSvHighLeft,midfielderGoals,attGoalHighCentre,attHdTarget,accurateFreekickCross,errorLeadToShot,ownGoals,attPostHigh,attPostRight,attIboxOwnGoal,attHdGoal,ptsDroppedWinningPos,attFreekickTotal,freekickTotal,shieldBallOop,attSvHighCentre,attFreekickMiss,errorLeadToGoal,ptsGainedLosingPos,attCmissHigh,attSvLowRight,foulThrowIn,accurateKeeperSweeper,totalKeeperSweeper,attCmissHighLeft,attGoalHighRight,attOneOnOne,secondYellow,attCmissRight,attPenMiss,attFreekickTarget,winningGoal,keeperGoals,subsGoals,defenderGoals,attGoalHighLeft,attObpGoal,attFreekickGoal,attSvHighRight,attHdPost,attLgCentre,goalAssistSetplay,goalAssistDeadball,clearanceOffLine,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,attPenPost,attObxLeft,attObxdRight
27,2128547,2021-03-06 20:00:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Leicester City,1,2,L,1,0,0,0,,38.0,72.0,1.0,1.0,1.0,18.0,5.0,1.0,4.0,6.0,2.0,,,133.0,18.0,4.0,7.0,1.0,6.0,2.0,88.0,161.0,53.0,7.0,1.0,13.0,1.0,1.0,,,16.0,20.0,,5.0,6.0,4.0,41.0,131.0,,,0.0,114.0,14.0,1.0,1.0,40.0,51.0,3.0,41.0,2.0,2.0,10.0,23.0,1.0,1.0,,161.0,1.0,5.0,78.0,549.0,3.0,3.0,26.0,9.0,241.0,25.0,1.0,2.0,1.0,0.0,,3.0,22.0,319.0,50.0,1.0,83299,4.0,129.0,,7.0,,2.0,,155.0,6.0,,23.0,57.0,1.0,8.0,1.0,26.0,3.0,45.0,256.0,7.0,11.0,2.0,12.0,1.0,53.0,,0.0,2.0,6.0,1.0,2.0,,0.0,3.0,1.0,36.6,14.0,,12.0,1.0,10.0,2.0,31.0,6.0,,340.0,,9.0,9.0,24.0,3.0,27.0,1.0,2.0,201.0,2.0,4.0,9.0,71.0,22.0,1.0,,2.0,30.0,2.0,4.0,3.0,21.0,,13.0,6.0,1.0,1.0,,,2.0,,1.0,,1.0,,,,2.0,2.0,,1.0,1.0,,1.0,8.0,4.0,5.0,,,,,1.0,,1.0,2.0,4.0,1.0,,,,,2.0,,,,,,,3.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
28,2128564,2021-03-14 12:00:00,"St. Mary's Stadium, Southampton",,Away,Brighton and Hove Albion,Southampton,2,1,W,1,1,0,0,,,63.0,,,,31.0,22.0,2.0,3.0,5.0,3.0,,1.0,155.0,,2.0,5.0,2.0,5.0,6.0,57.0,164.0,59.0,8.0,2.0,17.0,,1.0,1.0,,18.0,9.0,1.0,22.0,5.0,4.0,36.0,131.0,,,0.0,121.0,10.0,1.0,1.0,60.0,42.0,5.0,49.0,,,13.0,15.0,3.0,3.0,,164.0,2.0,5.0,69.0,535.0,2.0,8.0,14.0,11.0,213.0,14.0,9.0,11.0,2.0,0.0,3.0,,29.0,312.0,68.0,,83299,3.0,97.0,1.0,8.0,,,,117.0,6.0,1.0,15.0,45.0,,4.0,1.0,22.0,4.0,64.0,226.0,11.0,5.0,1.0,31.0,1.0,62.0,,0.0,1.0,4.0,3.0,1.0,4.0,0.0,,1.0,40.6,22.0,,10.0,1.0,4.0,2.0,31.0,5.0,,330.0,,11.0,8.0,21.0,,33.0,2.0,,231.0,4.0,2.0,19.0,62.0,30.0,,3.0,11.0,24.0,1.0,5.0,3.0,10.0,3.0,6.0,5.0,3.0,1.0,1.0,,3.0,,3.0,,,,,,2.0,1.0,,,,,1.0,4.0,1.0,3.0,,,,,2.0,,2.0,1.0,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,
29,2128566,2021-03-20 20:00:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Newcastle United,3,0,W,1,0,0,0,,17.0,62.0,1.0,1.0,4.0,34.0,4.0,3.0,3.0,8.0,1.0,,2.0,193.0,6.0,4.0,12.0,3.0,10.0,6.0,205.0,115.0,43.0,11.0,,13.0,1.0,3.0,1.0,,10.0,8.0,1.0,4.0,2.0,3.0,43.0,232.0,,2.0,0.0,158.0,12.0,1.0,1.0,58.0,72.0,9.0,113.0,,,8.0,13.0,3.0,1.0,,115.0,1.0,2.0,217.0,867.0,6.0,1.0,23.0,10.0,638.0,24.0,1.0,2.0,3.0,0.0,,1.0,20.0,718.0,65.0,,83299,5.0,419.0,1.0,7.0,2.0,,,437.0,7.0,1.0,13.0,43.0,2.0,3.0,3.0,12.0,1.0,65.0,647.0,5.0,8.0,1.0,10.0,1.0,70.0,,0.0,1.0,1.0,,,1.0,0.0,3.0,1.0,65.3,18.0,,3.0,2.0,3.0,4.0,46.0,3.0,,728.0,,10.0,6.0,21.0,1.0,29.0,1.0,1.0,301.0,7.0,2.0,10.0,112.0,31.0,3.0,,2.0,16.0,,10.0,3.0,17.0,,8.0,3.0,1.0,,2.0,,,1.0,2.0,,,1.0,,,,,,,,1.0,3.0,2.0,2.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2128582,2021-04-04 19:30:00,"Old Trafford, Manchester",,Away,Brighton and Hove Albion,Manchester United,1,2,L,1,0,0,0,,30.0,64.0,,4.0,2.0,13.0,19.0,,,5.0,5.0,,,153.0,12.0,3.0,8.0,1.0,3.0,3.0,108.0,150.0,48.0,5.0,,18.0,,,1.0,,18.0,8.0,,19.0,6.0,2.0,47.0,136.0,,,0.0,97.0,7.0,1.0,,69.0,46.0,3.0,70.0,3.0,,12.0,23.0,,2.0,,150.0,2.0,9.0,105.0,631.0,2.0,5.0,15.0,19.0,321.0,33.0,,12.0,,2.0,2.0,,18.0,412.0,44.0,,83299,4.0,203.0,2.0,7.0,,1.0,,232.0,3.0,,23.0,50.0,,8.0,1.0,15.0,6.0,47.0,336.0,13.0,12.0,1.0,11.0,2.0,67.0,,0.0,,5.0,1.0,2.0,1.0,0.0,3.0,3.0,42.3,13.0,,3.0,,8.0,2.0,35.0,6.0,,436.0,,19.0,9.0,12.0,,25.0,,,222.0,2.0,1.0,7.0,57.0,19.0,1.0,1.0,12.0,20.0,2.0,2.0,3.0,12.0,1.0,11.0,6.0,,1.0,,1.0,2.0,,2.0,,,,,,3.0,2.0,,,1.0,,,9.0,2.0,6.0,,,,,1.0,,,2.0,,,,,,2.0,1.0,1.0,,,,,1.0,3.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2128586,2021-04-12 20:15:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Everton,0,0,D,0,0,0,0,,25.0,60.0,,,5.0,31.0,16.0,8.0,7.0,15.0,1.0,,1.0,160.0,13.0,2.0,6.0,,15.0,3.0,130.0,132.0,42.0,23.0,5.0,16.0,1.0,,1.0,3.0,16.0,12.0,,16.0,10.0,5.0,30.0,179.0,1.0,,0.0,153.0,12.0,,,52.0,52.0,9.0,82.0,,1.0,7.0,20.0,8.0,1.0,3.0,132.0,,3.0,131.0,676.0,14.0,4.0,34.0,11.0,396.0,23.0,2.0,11.0,,1.0,1.0,6.0,18.0,488.0,58.0,,83299,8.0,233.0,,6.0,,1.0,,261.0,8.0,,20.0,43.0,,,,16.0,5.0,53.0,410.0,7.0,9.0,1.0,12.0,5.0,56.0,1.0,0.0,,3.0,1.0,,,0.0,1.0,2.0,55.2,16.0,1.0,6.0,6.0,,10.0,37.0,10.0,,503.0,,11.0,6.0,12.0,10.0,39.0,2.0,7.0,258.0,14.0,5.0,11.0,105.0,31.0,,2.0,11.0,18.0,,15.0,2.0,7.0,2.0,13.0,10.0,1.0,,,,2.0,,3.0,,,1.0,,,,,,,,1.0,,7.0,,6.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,2.0,2.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2128598,2021-04-20 20:15:00,"Stamford Bridge, London",,Away,Brighton and Hove Albion,Chelsea,0,0,D,0,0,1,0,,44.0,59.0,,1.0,3.0,28.0,6.0,6.0,2.0,5.0,4.0,,2.0,139.0,19.0,,6.0,,7.0,2.0,107.0,136.0,53.0,11.0,2.0,10.0,1.0,,,2.0,9.0,12.0,1.0,6.0,3.0,7.0,36.0,134.0,1.0,,0.0,115.0,9.0,1.0,1.0,78.0,33.0,4.0,62.0,,,6.0,17.0,6.0,1.0,2.0,136.0,,6.0,102.0,583.0,7.0,5.0,13.0,15.0,299.0,18.0,,5.0,,0.0,1.0,3.0,23.0,388.0,57.0,,83299,4.0,179.0,,4.0,,2.0,,206.0,6.0,,17.0,41.0,,2.0,,18.0,1.0,66.0,313.0,8.0,15.0,,14.0,,62.0,,0.0,,,3.0,,1.0,1.0,,,35.6,19.0,,11.0,,2.0,5.0,27.0,3.0,,410.0,,15.0,4.0,16.0,4.0,22.0,,1.0,213.0,9.0,7.0,14.0,64.0,22.0,,,5.0,25.0,,8.0,3.0,10.0,,10.0,3.0,,,,,2.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,7.0,,7.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
33,2128613,2021-04-24 20:00:00,"Bramall Lane, Sheffield",,Away,Brighton and Hove Albion,Sheffield United,0,1,L,0,1,0,0,,24.0,65.0,,,4.0,42.0,11.0,4.0,4.0,12.0,2.0,,2.0,161.0,15.0,6.0,21.0,,15.0,4.0,199.0,145.0,60.0,17.0,1.0,10.0,3.0,,2.0,4.0,24.0,4.0,1.0,11.0,9.0,8.0,49.0,245.0,2.0,,0.0,165.0,7.0,1.0,1.0,83.0,66.0,8.0,102.0,,,15.0,15.0,5.0,3.0,3.0,145.0,3.0,5.0,178.0,844.0,14.0,5.0,28.0,8.0,539.0,26.0,1.0,3.0,,0.0,3.0,7.0,26.0,623.0,54.0,,83299,6.0,317.0,3.0,9.0,,1.0,,341.0,2.0,1.0,15.0,49.0,,4.0,,16.0,2.0,67.0,556.0,13.0,9.0,1.0,8.0,2.0,61.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,2.0,3.0,68.5,26.0,3.0,2.0,1.0,4.0,5.0,36.0,12.0,,640.0,,8.0,14.0,22.0,8.0,40.0,4.0,5.0,323.0,10.0,8.0,16.0,125.0,33.0,,1.0,3.0,10.0,1.0,14.0,3.0,31.0,1.0,6.0,12.0,2.0,,,,1.0,,3.0,,,,,,3.0,,1.0,,,,,2.0,1.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
34,2128616,2021-05-01 15:00:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Leeds United,2,0,W,1,0,0,0,,23.0,65.0,1.0,,1.0,33.0,25.0,5.0,5.0,12.0,2.0,1.0,1.0,151.0,15.0,5.0,13.0,2.0,13.0,5.0,68.0,114.0,47.0,17.0,3.0,13.0,,,2.0,,11.0,6.0,1.0,25.0,2.0,4.0,33.0,145.0,,,0.0,101.0,17.0,,,50.0,51.0,6.0,71.0,,4.0,9.0,15.0,5.0,2.0,1.0,114.0,3.0,6.0,61.0,535.0,11.0,6.0,24.0,11.0,272.0,27.0,3.0,17.0,,1.0,4.0,7.0,16.0,334.0,54.0,,83299,9.0,141.0,3.0,4.0,,2.0,,150.0,8.0,1.0,15.0,58.0,1.0,,1.0,17.0,5.0,55.0,281.0,6.0,14.0,2.0,10.0,,58.0,,0.0,2.0,9.0,2.0,,2.0,0.0,4.0,2.0,41.9,14.0,2.0,6.0,3.0,,4.0,37.0,2.0,,351.0,,11.0,8.0,18.0,8.0,24.0,1.0,7.0,212.0,10.0,2.0,17.0,63.0,26.0,1.0,2.0,17.0,11.0,,14.0,3.0,22.0,2.0,10.0,2.0,2.0,1.0,1.0,,3.0,1.0,2.0,,,1.0,1.0,,3.0,1.0,,,,,1.0,8.0,,4.0,4.0,1.0,,,2.0,,,1.0,2.0,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,3.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
35,2128635,2021-05-09 12:00:00,"Molineux Stadium, Wolverhampton",,Away,Brighton and Hove Albion,Wolverhampton Wanderers,1,2,L,1,0,2,0,,37.0,46.0,,3.0,1.0,31.0,27.0,,1.0,5.0,4.0,,,106.0,21.0,3.0,10.0,1.0,5.0,3.0,112.0,115.0,54.0,5.0,,5.0,,,,,10.0,10.0,,27.0,5.0,5.0,35.0,152.0,,,0.0,117.0,7.0,3.0,,47.0,54.0,4.0,58.0,1.0,,5.0,19.0,,4.0,,115.0,,9.0,97.0,567.0,2.0,6.0,20.0,12.0,286.0,25.0,2.0,16.0,1.0,2.0,7.0,1.0,15.0,345.0,35.0,,83299,5.0,158.0,,1.0,,,,175.0,4.0,1.0,19.0,38.0,,3.0,,19.0,7.0,55.0,307.0,11.0,12.0,2.0,13.0,3.0,49.0,,0.0,6.0,10.0,1.0,2.0,4.0,2.0,,3.0,39.3,14.0,,1.0,,3.0,1.0,33.0,5.0,,373.0,,12.0,8.0,25.0,1.0,25.0,3.0,1.0,208.0,1.0,4.0,18.0,84.0,12.0,,1.0,16.0,15.0,2.0,2.0,3.0,16.0,1.0,10.0,5.0,,,1.0,,,,2.0,,,,,,,,,,,,,8.0,2.0,7.0,1.0,,,,1.0,,1.0,,,,,,,2.0,,1.0,,,,,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,
36,2128636,2021-05-15 20:00:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,West Ham United,1,1,D,0,0,0,0,1.0,27.0,55.0,,1.0,1.0,29.0,18.0,8.0,3.0,2.0,1.0,,,168.0,8.0,1.0,7.0,1.0,7.0,2.0,170.0,116.0,26.0,10.0,5.0,15.0,1.0,1.0,,2.0,8.0,4.0,1.0,18.0,2.0,7.0,23.0,219.0,,1.0,0.0,150.0,7.0,,1.0,54.0,52.0,6.0,89.0,1.0,,6.0,15.0,8.0,1.0,1.0,116.0,1.0,7.0,168.0,732.0,6.0,2.0,12.0,12.0,492.0,35.0,6.0,11.0,1.0,1.0,5.0,1.0,9.0,574.0,58.0,1.0,93284,1.0,290.0,1.0,5.0,,,,313.0,4.0,1.0,15.0,42.0,1.0,4.0,1.0,14.0,8.0,57.0,508.0,4.0,14.0,,20.0,,58.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,,51.1,8.0,,1.0,,4.0,6.0,32.0,3.0,,595.0,,12.0,5.0,12.0,2.0,25.0,,1.0,290.0,7.0,7.0,6.0,108.0,13.0,1.0,3.0,11.0,9.0,,10.0,3.0,8.0,3.0,7.0,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,10.0,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,
37,2128646,2021-05-18 19:00:00,"American Express Stadium, Falmer",7945.0,Home,Brighton and Hove Albion,Manchester City,3,2,W,0,1,0,1,,24.0,56.0,1.0,1.0,3.0,27.0,10.0,9.0,3.0,10.0,2.0,,1.0,174.0,9.0,4.0,12.0,3.0,12.0,6.0,175.0,114.0,53.0,19.0,6.0,12.0,2.0,,2.0,2.0,14.0,9.0,1.0,10.0,3.0,5.0,38.0,251.0,1.0,,0.0,164.0,13.0,1.0,1.0,81.0,74.0,9.0,93.0,1.0,,11.0,10.0,9.0,3.0,2.0,114.0,,7.0,165.0,782.0,9.0,3.0,41.0,7.0,523.0,14.0,1.0,4.0,1.0,3.0,2.0,3.0,17.0,588.0,61.0,1.0,78916,8.0,293.0,,8.0,,1.0,,300.0,7.0,3.0,10.0,50.0,1.0,2.0,2.0,17.0,1.0,46.0,540.0,11.0,10.0,2.0,4.0,2.0,71.0,,0.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,3.0,62.7,17.0,2.0,10.0,,2.0,9.0,51.0,5.0,,607.0,,7.0,10.0,24.0,4.0,34.0,3.0,2.0,321.0,13.0,5.0,13.0,118.0,29.0,,,4.0,18.0,2.0,15.0,3.0,17.0,,6.0,5.0,2.0,,1.0,,2.0,,2.0,1.0,,,,1.0,,,,,,,2.0,2.0,3.0,1.0,1.0,,1.0,,3.0,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,3.0,,,1.0,,,,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,
38,2128656,2021-05-23 16:00:00,"Emirates Stadium, London",10000.0,Away,Brighton and Hove Albion,Arsenal,0,2,L,0,0,0,0,,24.0,64.0,,3.0,1.0,32.0,18.0,3.0,1.0,2.0,3.0,,1.0,149.0,11.0,,3.0,,2.0,1.0,132.0,107.0,33.0,5.0,,7.0,,,,1.0,10.0,12.0,1.0,18.0,3.0,2.0,34.0,162.0,1.0,,0.0,108.0,8.0,,1.0,50.0,54.0,2.0,84.0,4.0,1.0,7.0,19.0,3.0,5.0,2.0,107.0,,7.0,124.0,645.0,2.0,1.0,9.0,13.0,406.0,31.0,4.0,8.0,,0.0,4.0,,5.0,466.0,40.0,,83299,1.0,262.0,,2.0,,,,281.0,6.0,,19.0,35.0,,9.0,,17.0,9.0,58.0,424.0,10.0,6.0,,8.0,,49.0,,0.0,,11.0,,2.0,,0.0,,,46.1,5.0,,8.0,1.0,9.0,1.0,26.0,3.0,,489.0,,13.0,11.0,16.0,3.0,22.0,,1.0,218.0,4.0,2.0,4.0,78.0,13.0,,1.0,8.0,17.0,2.0,5.0,3.0,6.0,1.0,11.0,3.0,,,,,,,,,,,,,,1.0,,,,,,6.0,1.0,5.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
