gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attObxRight,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,goalsConcededObox,attLfTarget,bigChanceScored,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attRfTarget,goals,attSvLowCentre,attOboxTarget,attOneOnOne,midfielderGoals,contentiousDecision,goalAssist,accurateThroughBall,attRfGoal,totalThroughBall,totalOffside,goalsOpenplay,attObpGoal,attSvLowRight,attIboxGoal,goalAssistIntentional,attBxLeft,forwardGoals,effectiveBlockedCross,attHdGoal,blockedCross,cleanSheet,attSvLowLeft,attAssistSetplay,attFreekickTarget,accurateFlickOn,shieldBallOop,handBall,attLfGoal,goalAssistOpenplay,attMissHighRight,punches,attHdMiss,accuratePullBack,totalPullBack,attGoalLowCentre,postScoringAtt,attIboxPost,attSvHighRight,attOboxGoal,attPostLeft,attHdPost,hitWoodwork,attMissHighLeft,accurateFreekickCross,defenderGoals,attGoalHighLeft,errorLeadToShot,attSvHighLeft,sixYardBlock,errorLeadToGoal,clearanceOffLine,attObxdRight,attObxLeft,attOboxPost,attPostHigh,attemptsIbox,attemptsObox,touchesInOppBox,attCmissLeft,attCmissHigh,attCmissHighRight,attGoalHighRight,penaltyWon,penaltyConceded,attPenGoal,foulThrowIn,penaltyFaced,penGoalsConceded
11,695001,2013-11-09 15:00:00,"Villa Park, Birmingham",35809,Away,Cardiff City,Aston Villa,0,2,L,0,0,0,0,48.0,3.0,1.0,27.0,37.0,2.0,2.0,4.0,181.0,4.0,3.0,5.0,6.0,,2.0,104.0,169.0,52.0,2.0,8.0,,26.0,1.0,,,,1.0,19.0,12.0,37.0,2.0,9.0,37.0,176.0,0.0,116.0,3.0,3.0,,3.0,3.0,87.0,63.0,2.0,82.0,1.0,1.0,17.0,21.0,2.0,6.0,2.0,169.0,,6.0,94.0,695.0,5.0,10.0,,11.0,353.0,19.0,7.0,21.0,,1.0,4.0,4.0,41.0,447.0,71.0,77877,4.0,190.0,,8.0,,218.0,,21.0,7.0,58.0,5.0,13.0,11.0,5.0,2.0,57.0,362.0,10.0,8.0,34.0,81.0,,0.0,2.0,5.0,1.0,2.0,0.0,3.0,1.0,56.9,32.0,,2.0,,5.0,1.0,38.0,3.0,3.0,461.0,11.0,1.0,17.0,20.0,5.0,15.0,1.0,3.0,262.0,4.0,8.0,26.0,77.0,19.0,21.0,15.0,1.0,5.0,3.0,8.0,9.0,3.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,7.0,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,2.0,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
12,695011,2013-11-24 16:00:00,"Cardiff City Stadium, Cardiff",28016,Home,Cardiff City,Manchester United,2,2,D,1,2,0,0,56.0,,,33.0,25.0,4.0,5.0,3.0,155.0,11.0,8.0,2.0,10.0,,4.0,77.0,153.0,58.0,,14.0,1.0,24.0,1.0,,,1.0,1.0,26.0,16.0,25.0,2.0,8.0,40.0,162.0,0.0,109.0,15.0,2.0,,4.0,2.0,42.0,67.0,4.0,73.0,,1.0,24.0,9.0,,11.0,2.0,153.0,1.0,15.0,78.0,598.0,6.0,6.0,1.0,8.0,286.0,15.0,6.0,16.0,1.0,4.0,3.0,6.0,21.0,366.0,57.0,77877,8.0,142.0,,9.0,5.0,162.0,2.0,9.0,9.0,61.0,5.0,16.0,1.0,3.0,4.0,67.0,293.0,12.0,3.0,28.0,84.0,,0.0,1.0,8.0,3.0,2.0,0.0,11.0,4.0,49.9,18.0,,4.0,,5.0,1.0,37.0,2.0,2.0,383.0,8.0,,17.0,19.0,9.0,25.0,,6.0,247.0,5.0,7.0,19.0,67.0,29.0,16.0,20.0,2.0,9.0,3.0,13.0,6.0,2.0,,1.0,1.0,2.0,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,,2.0,,,1.0,,,1.0,1.0,,2.0,,,,1.0,,,,,,1.0,1.0,3.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
13,695022,2013-11-30 15:00:00,"Cardiff City Stadium, Cardiff",27948,Home,Cardiff City,Arsenal,0,3,L,0,1,0,0,57.0,1.0,,39.0,18.0,6.0,3.0,2.0,173.0,3.0,10.0,2.0,6.0,,4.0,106.0,155.0,40.0,,10.0,2.0,18.0,1.0,,,,3.0,17.0,11.0,18.0,3.0,6.0,46.0,162.0,0.0,115.0,6.0,,,1.0,1.0,52.0,69.0,3.0,68.0,,1.0,14.0,18.0,,3.0,1.0,155.0,1.0,9.0,84.0,598.0,5.0,5.0,1.0,15.0,308.0,22.0,6.0,4.0,,0.0,5.0,3.0,25.0,406.0,70.0,77877,3.0,161.0,1.0,10.0,3.0,186.0,1.0,8.0,9.0,51.0,1.0,8.0,6.0,3.0,,75.0,320.0,6.0,12.0,18.0,85.0,,0.0,2.0,3.0,2.0,3.0,0.0,3.0,2.0,43.5,24.0,,3.0,,1.0,2.0,46.0,3.0,1.0,431.0,15.0,,12.0,13.0,4.0,26.0,,3.0,262.0,5.0,4.0,13.0,57.0,26.0,4.0,11.0,3.0,7.0,3.0,15.0,8.0,3.0,,1.0,,,,,,2.0,,3.0,3.0,,,,,,,2.0,2.0,,,1.0,,,,,3.0,,3.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,4.0,6.0,10.0,1.0,,,,,,,,,
14,695036,2013-12-04 19:45:00,"bet365 Stadium, Stoke",25014,Away,Cardiff City,Stoke City,0,0,D,0,0,0,0,58.0,,2.0,16.0,47.0,7.0,7.0,2.0,141.0,3.0,5.0,5.0,10.0,,3.0,63.0,167.0,60.0,1.0,14.0,5.0,42.0,1.0,,1.0,,,21.0,11.0,47.0,5.0,15.0,32.0,115.0,0.0,91.0,12.0,,,3.0,3.0,40.0,64.0,7.0,42.0,4.0,4.0,16.0,15.0,1.0,4.0,,167.0,,10.0,74.0,556.0,6.0,8.0,1.0,20.0,212.0,27.0,6.0,25.0,,2.0,4.0,3.0,26.0,303.0,60.0,77877,5.0,108.0,,9.0,2.0,130.0,1.0,15.0,11.0,77.0,3.0,16.0,7.0,2.0,,52.0,220.0,11.0,10.0,32.0,81.0,,0.0,2.0,2.0,2.0,,0.0,,2.0,40.8,22.0,,3.0,,3.0,7.0,24.0,5.0,3.0,320.0,20.0,,10.0,11.0,4.0,17.0,3.0,4.0,211.0,5.0,14.0,28.0,48.0,21.0,25.0,16.0,,7.0,1.0,10.0,7.0,5.0,,1.0,,,,,,1.0,,,2.0,,,,,,,,3.0,,,2.0,,,1.0,,3.0,,3.0,1.0,1.0,4.0,1.0,2.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,695042,2013-12-07 15:00:00,"Selhurst Park, London",23705,Away,Cardiff City,Crystal Palace,0,2,L,0,1,0,0,40.0,2.0,1.0,30.0,58.0,4.0,4.0,3.0,170.0,3.0,10.0,2.0,6.0,1.0,2.0,80.0,172.0,65.0,,10.0,,34.0,1.0,,1.0,1.0,2.0,19.0,8.0,58.0,3.0,10.0,51.0,139.0,0.0,126.0,12.0,2.0,,2.0,,48.0,65.0,2.0,61.0,1.0,5.0,16.0,15.0,,4.0,3.0,172.0,3.0,10.0,70.0,609.0,6.0,11.0,1.0,12.0,260.0,19.0,5.0,30.0,1.0,0.0,3.0,4.0,28.0,367.0,79.0,77877,2.0,134.0,3.0,10.0,1.0,166.0,,15.0,10.0,76.0,2.0,14.0,9.0,7.0,,70.0,270.0,9.0,10.0,21.0,83.0,,0.0,,8.0,1.0,2.0,0.0,3.0,3.0,56.3,23.0,,2.0,,2.0,1.0,32.0,3.0,,381.0,12.0,,17.0,17.0,7.0,23.0,,4.0,234.0,3.0,9.0,33.0,71.0,13.0,30.0,13.0,2.0,9.0,3.0,15.0,5.0,3.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,,1.0,,3.0,,3.0,,,,,4.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,695052,2013-12-14 15:00:00,"Cardiff City Stadium, Cardiff",26632,Home,Cardiff City,West Bromwich Albion,1,0,W,0,0,0,0,55.0,,1.0,20.0,42.0,7.0,4.0,2.0,135.0,4.0,11.0,4.0,6.0,1.0,3.0,75.0,167.0,54.0,2.0,11.0,3.0,21.0,,,,,,31.0,11.0,42.0,8.0,8.0,35.0,115.0,0.0,119.0,16.0,2.0,,1.0,3.0,45.0,57.0,4.0,46.0,,1.0,23.0,9.0,2.0,6.0,2.0,167.0,,6.0,51.0,521.0,4.0,4.0,,11.0,200.0,13.0,6.0,25.0,,2.0,4.0,2.0,18.0,281.0,63.0,77877,4.0,99.0,,16.0,,126.0,4.0,9.0,5.0,66.0,4.0,2.0,6.0,,3.0,57.0,210.0,11.0,6.0,29.0,72.0,,0.0,3.0,6.0,2.0,,0.0,1.0,1.0,48.2,14.0,,4.0,,4.0,4.0,24.0,8.0,3.0,307.0,11.0,,18.0,16.0,4.0,15.0,3.0,2.0,212.0,5.0,6.0,21.0,69.0,22.0,25.0,13.0,,4.0,3.0,17.0,3.0,8.0,,1.0,,1.0,,,,1.0,1.0,,2.0,,1.0,1.0,1.0,,,,5.0,1.0,,,1.0,1.0,,,2.0,1.0,2.0,1.0,,1.0,2.0,2.0,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
17,695064,2013-12-21 12:45:00,"Anfield, Liverpool",44621,Away,Cardiff City,Liverpool,1,3,L,0,3,0,0,44.0,,,19.0,28.0,3.0,2.0,4.0,122.0,8.0,10.0,5.0,8.0,,3.0,61.0,147.0,64.0,,10.0,1.0,22.0,1.0,1.0,,,3.0,18.0,20.0,28.0,5.0,4.0,33.0,105.0,0.0,88.0,13.0,4.0,1.0,5.0,,47.0,43.0,4.0,42.0,3.0,2.0,13.0,11.0,,2.0,2.0,147.0,1.0,15.0,41.0,484.0,3.0,6.0,1.0,14.0,179.0,20.0,3.0,5.0,,0.0,6.0,4.0,21.0,252.0,63.0,77877,5.0,90.0,,6.0,2.0,106.0,4.0,11.0,16.0,72.0,2.0,12.0,12.0,2.0,,46.0,187.0,11.0,16.0,17.0,80.0,1.0,0.0,4.0,9.0,4.0,3.0,0.0,4.0,6.0,31.1,15.0,,2.0,2.0,2.0,1.0,28.0,5.0,,266.0,14.0,,14.0,13.0,6.0,13.0,4.0,4.0,178.0,2.0,4.0,17.0,47.0,16.0,5.0,28.0,2.0,5.0,3.0,17.0,6.0,5.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,4.0,,1.0,,,,,1.0,,4.0,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
19,695082,2013-12-28 17:30:00,"Cardiff City Stadium, Cardiff",27247,Home,Cardiff City,Sunderland,2,2,D,1,0,0,0,54.0,3.0,,30.0,30.0,8.0,7.0,7.0,155.0,11.0,6.0,4.0,12.0,,7.0,87.0,144.0,40.0,1.0,16.0,2.0,9.0,1.0,,,,2.0,25.0,11.0,30.0,6.0,7.0,22.0,141.0,0.0,103.0,14.0,5.0,,3.0,1.0,54.0,45.0,6.0,60.0,2.0,1.0,19.0,11.0,1.0,4.0,2.0,144.0,2.0,13.0,65.0,563.0,8.0,11.0,1.0,17.0,268.0,25.0,4.0,15.0,,3.0,4.0,6.0,19.0,351.0,63.0,77877,6.0,146.0,1.0,12.0,1.0,169.0,,11.0,10.0,37.0,2.0,13.0,8.0,3.0,2.0,58.0,276.0,10.0,4.0,24.0,79.0,,0.0,2.0,6.0,4.0,2.0,0.0,9.0,6.0,44.1,15.0,,3.0,,2.0,2.0,37.0,6.0,1.0,367.0,17.0,,9.0,12.0,7.0,13.0,2.0,5.0,223.0,3.0,7.0,12.0,61.0,18.0,15.0,12.0,2.0,13.0,3.0,10.0,2.0,7.0,,4.0,1.0,,2.0,,,,2.0,2.0,4.0,,1.0,,2.0,,2.0,,,2.0,,1.0,1.0,1.0,,1.0,4.0,,4.0,,,2.0,1.0,4.0,,,,2.0,1.0,,5.0,,,,,,2.0,1.0,,,,1.0,2.0,,,,,,,,1.0,,,,,,,2.0,1.0,1.0,,,,,,,
20,695091,2014-01-01 15:00:00,"Emirates Stadium, London",60004,Away,Cardiff City,Arsenal,0,2,L,0,0,0,0,40.0,2.0,,28.0,32.0,5.0,2.0,4.0,122.0,2.0,4.0,,4.0,,2.0,78.0,114.0,30.0,,8.0,3.0,19.0,2.0,,,,,9.0,9.0,32.0,2.0,6.0,19.0,92.0,0.0,85.0,11.0,2.0,,,,27.0,53.0,2.0,47.0,3.0,,7.0,16.0,,3.0,2.0,114.0,,18.0,58.0,466.0,4.0,4.0,,16.0,209.0,14.0,5.0,14.0,,2.0,7.0,2.0,18.0,272.0,58.0,77877,1.0,130.0,,4.0,1.0,145.0,4.0,12.0,17.0,51.0,1.0,6.0,10.0,2.0,2.0,72.0,220.0,6.0,15.0,27.0,72.0,,0.0,,12.0,2.0,2.0,0.0,2.0,,31.9,14.0,,3.0,,1.0,3.0,27.0,2.0,,305.0,16.0,,3.0,12.0,3.0,18.0,,1.0,169.0,6.0,5.0,8.0,41.0,14.0,14.0,13.0,2.0,7.0,3.0,10.0,12.0,2.0,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,3.0,,,1.0,,,1.0,,6.0,,6.0,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,3.0,5.0,9.0,,,,,,,,,,
21,695102,2014-01-11 15:00:00,"Cardiff City Stadium, Cardiff",27750,Home,Cardiff City,West Ham United,0,2,L,0,1,0,1,34.0,,1.0,28.0,41.0,10.0,6.0,1.0,153.0,11.0,11.0,5.0,16.0,,7.0,136.0,135.0,60.0,1.0,19.0,3.0,27.0,2.0,,,,2.0,37.0,6.0,41.0,6.0,10.0,30.0,261.0,0.0,178.0,7.0,1.0,,2.0,2.0,49.0,83.0,9.0,69.0,1.0,3.0,31.0,8.0,1.0,12.0,2.0,135.0,1.0,6.0,126.0,705.0,12.0,5.0,,10.0,392.0,11.0,3.0,30.0,,1.0,,7.0,22.0,463.0,62.0,78008,7.0,160.0,1.0,17.0,2.0,182.0,1.0,8.0,11.0,54.0,3.0,13.0,4.0,7.0,3.0,50.0,410.0,15.0,8.0,13.0,64.0,,0.0,2.0,7.0,1.0,2.0,0.0,8.0,6.0,63.0,21.0,,2.0,1.0,3.0,4.0,36.0,8.0,2.0,484.0,10.0,1.0,11.0,14.0,8.0,25.0,3.0,6.0,339.0,7.0,9.0,29.0,140.0,16.0,30.0,7.0,2.0,14.0,3.0,14.0,4.0,8.0,,2.0,,,,,,5.0,,5.0,5.0,,,3.0,,,,,1.0,,,1.0,,,1.0,,3.0,,3.0,,,4.0,,2.0,,,,,,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
22,695115,2014-01-18 15:00:00,"Etihad Stadium, Manchester",47213,Away,Cardiff City,Manchester City,2,4,L,1,2,0,0,45.0,,,28.0,34.0,5.0,4.0,6.0,126.0,3.0,13.0,1.0,5.0,,6.0,79.0,121.0,43.0,,7.0,1.0,18.0,,,,,,20.0,12.0,34.0,7.0,7.0,36.0,111.0,0.0,60.0,5.0,5.0,,1.0,1.0,27.0,58.0,5.0,68.0,5.0,,13.0,12.0,,3.0,,121.0,2.0,19.0,67.0,542.0,3.0,4.0,,11.0,264.0,28.0,2.0,15.0,,0.0,4.0,,14.0,327.0,38.0,78008,1.0,168.0,,9.0,,190.0,2.0,12.0,13.0,50.0,5.0,10.0,5.0,7.0,,52.0,276.0,6.0,12.0,14.0,66.0,,0.0,1.0,10.0,5.0,4.0,0.0,1.0,,37.8,10.0,,,,5.0,1.0,28.0,7.0,1.0,340.0,11.0,,15.0,16.0,,4.0,2.0,,170.0,3.0,7.0,7.0,35.0,10.0,15.0,17.0,4.0,5.0,3.0,14.0,7.0,7.0,,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,4.0,,1.0,2.0,2.0,,,1.0,3.0,1.0,,2.0,2.0,1.0,,1.0,6.0,,6.0,,,,,1.0,,,2.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
23,695124,2014-01-28 19:45:00,"Old Trafford, Manchester",75301,Away,Cardiff City,Manchester United,0,2,L,0,1,0,0,55.0,,1.0,40.0,21.0,4.0,4.0,3.0,170.0,7.0,8.0,,5.0,,1.0,145.0,118.0,37.0,,7.0,2.0,9.0,,,,,2.0,21.0,6.0,21.0,5.0,9.0,33.0,175.0,0.0,104.0,9.0,3.0,,1.0,3.0,55.0,62.0,2.0,89.0,,,16.0,5.0,,5.0,1.0,118.0,,10.0,128.0,710.0,4.0,3.0,,14.0,459.0,24.0,5.0,11.0,,1.0,4.0,3.0,12.0,517.0,48.0,78008,2.0,302.0,,10.0,,315.0,3.0,5.0,11.0,48.0,8.0,9.0,7.0,7.0,1.0,58.0,470.0,8.0,9.0,14.0,73.0,,0.0,2.0,5.0,3.0,2.0,0.0,5.0,2.0,53.8,10.0,,1.0,,8.0,3.0,45.0,5.0,3.0,532.0,14.0,,13.0,19.0,3.0,14.0,2.0,2.0,238.0,,8.0,11.0,67.0,21.0,11.0,10.0,1.0,6.0,3.0,18.0,1.0,5.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,3.0,,3.0,,,1.0,,1.0,1.0,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
24,695132,2014-02-01 15:00:00,"Cardiff City Stadium, Cardiff",26748,Home,Cardiff City,Norwich City,2,1,W,0,1,0,0,52.0,2.0,1.0,33.0,52.0,4.0,8.0,4.0,161.0,6.0,9.0,2.0,10.0,,4.0,77.0,160.0,62.0,1.0,13.0,,20.0,1.0,,1.0,,2.0,26.0,20.0,52.0,4.0,8.0,29.0,170.0,0.0,132.0,8.0,3.0,,1.0,2.0,48.0,86.0,3.0,65.0,1.0,3.0,22.0,11.0,1.0,4.0,3.0,160.0,3.0,16.0,80.0,640.0,8.0,11.0,,9.0,280.0,22.0,4.0,37.0,,1.0,13.0,7.0,27.0,365.0,52.0,82403,5.0,129.0,2.0,17.0,1.0,156.0,5.0,11.0,10.0,58.0,3.0,13.0,11.0,5.0,2.0,48.0,293.0,8.0,12.0,16.0,72.0,,0.0,4.0,14.0,3.0,1.0,0.0,5.0,2.0,49.2,19.0,,6.0,,3.0,1.0,39.0,7.0,2.0,383.0,9.0,1.0,15.0,16.0,8.0,18.0,1.0,4.0,253.0,2.0,6.0,22.0,96.0,14.0,37.0,23.0,1.0,9.0,3.0,12.0,5.0,7.0,,1.0,2.0,,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,3.0,,5.0,2.0,1.0,,,2.0,1.0,,2.0,5.0,,5.0,,1.0,1.0,,5.0,1.0,,2.0,1.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,
25,695149,2014-02-08 17:30:00,"Swansea.com Stadium, Swansea",20402,Away,Cardiff City,Swansea City,0,3,L,0,0,0,0,58.0,1.0,,24.0,20.0,4.0,4.0,3.0,145.0,1.0,9.0,3.0,4.0,,1.0,83.0,147.0,53.0,,7.0,1.0,13.0,,,,1.0,2.0,8.0,17.0,20.0,1.0,4.0,33.0,140.0,0.0,114.0,7.0,,,2.0,3.0,42.0,60.0,1.0,55.0,2.0,,7.0,13.0,,1.0,1.0,147.0,,8.0,76.0,557.0,3.0,7.0,,16.0,261.0,22.0,6.0,7.0,1.0,1.0,4.0,3.0,23.0,344.0,68.0,82403,3.0,132.0,,4.0,2.0,152.0,5.0,13.0,12.0,54.0,3.0,10.0,9.0,8.0,1.0,58.0,271.0,7.0,6.0,23.0,81.0,,0.0,2.0,5.0,2.0,3.0,0.0,1.0,1.0,38.0,17.0,,2.0,,3.0,1.0,37.0,1.0,3.0,359.0,16.0,,23.0,8.0,5.0,15.0,,3.0,215.0,2.0,4.0,18.0,67.0,20.0,7.0,18.0,3.0,5.0,3.0,14.0,6.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,1.0,,,,,5.0,,5.0,,,1.0,,4.0,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
26,695152,2014-02-11 19:45:00,"Cardiff City Stadium, Cardiff",27597,Home,Cardiff City,Aston Villa,0,0,D,0,0,0,0,58.0,2.0,1.0,23.0,49.0,5.0,4.0,6.0,170.0,7.0,9.0,2.0,12.0,,3.0,60.0,185.0,61.0,,12.0,2.0,38.0,3.0,,1.0,1.0,2.0,26.0,11.0,49.0,7.0,3.0,37.0,133.0,0.0,123.0,5.0,2.0,,1.0,4.0,46.0,66.0,6.0,41.0,1.0,,19.0,10.0,,2.0,3.0,185.0,1.0,9.0,54.0,591.0,10.0,17.0,2.0,15.0,211.0,20.0,12.0,26.0,1.0,0.0,4.0,6.0,24.0,310.0,68.0,82403,4.0,92.0,1.0,16.0,1.0,108.0,2.0,10.0,14.0,75.0,6.0,18.0,9.0,8.0,1.0,46.0,218.0,9.0,9.0,23.0,93.0,,0.0,3.0,9.0,4.0,,0.0,3.0,4.0,45.4,20.0,,3.0,,6.0,3.0,38.0,7.0,4.0,325.0,15.0,,19.0,15.0,6.0,16.0,4.0,3.0,243.0,3.0,3.0,28.0,70.0,19.0,26.0,16.0,,9.0,2.0,14.0,3.0,7.0,,1.0,,,,,,,,2.0,,1.0,,1.0,,1.0,,2.0,4.0,,,1.0,,,2.0,,4.0,,4.0,1.0,,2.0,,9.0,,,,,2.0,,2.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,695161,2014-02-22 15:00:00,"Cardiff City Stadium, Cardiff",26167,Home,Cardiff City,Hull City,0,4,L,0,2,0,0,54.0,1.0,4.0,39.0,19.0,8.0,5.0,2.0,164.0,13.0,11.0,1.0,17.0,,5.0,117.0,161.0,60.0,1.0,23.0,5.0,14.0,3.0,,2.0,,5.0,46.0,8.0,19.0,8.0,10.0,49.0,233.0,0.0,180.0,4.0,1.0,,3.0,,56.0,76.0,12.0,52.0,,1.0,38.0,19.0,1.0,11.0,1.0,161.0,,6.0,111.0,688.0,12.0,11.0,,13.0,352.0,19.0,5.0,15.0,,1.0,,5.0,32.0,427.0,81.0,82403,10.0,147.0,,24.0,2.0,162.0,,19.0,9.0,52.0,4.0,14.0,5.0,5.0,1.0,54.0,367.0,11.0,8.0,10.0,75.0,,0.0,1.0,2.0,1.0,4.0,0.0,8.0,7.0,56.2,28.0,,7.0,1.0,4.0,9.0,49.0,9.0,,444.0,13.0,,15.0,27.0,9.0,30.0,5.0,8.0,328.0,10.0,9.0,27.0,136.0,23.0,15.0,11.0,2.0,15.0,3.0,22.0,10.0,9.0,2.0,1.0,,,,,,3.0,,2.0,2.0,,,,,,,1.0,2.0,,,1.0,,,1.0,,3.0,,3.0,,,5.0,,7.0,1.0,,,,1.0,,7.0,,1.0,,,,1.0,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,
28,695180,2014-03-02 16:30:00,"White Hart Lane, London",35512,Away,Cardiff City,Tottenham Hotspur,0,1,L,0,1,0,0,53.0,2.0,2.0,27.0,32.0,3.0,2.0,5.0,139.0,2.0,4.0,2.0,5.0,,2.0,82.0,154.0,54.0,2.0,8.0,2.0,26.0,2.0,1.0,1.0,1.0,,16.0,14.0,32.0,7.0,4.0,40.0,116.0,0.0,104.0,12.0,1.0,1.0,,,15.0,67.0,4.0,52.0,3.0,,9.0,18.0,2.0,2.0,1.0,154.0,1.0,6.0,72.0,546.0,4.0,8.0,,14.0,245.0,27.0,3.0,18.0,1.0,3.0,3.0,1.0,21.0,331.0,59.0,82403,2.0,138.0,1.0,7.0,,162.0,6.0,18.0,7.0,69.0,7.0,12.0,9.0,2.0,1.0,51.0,252.0,11.0,13.0,16.0,61.0,1.0,0.0,3.0,4.0,3.0,1.0,0.0,1.0,1.0,39.6,18.0,,2.0,,7.0,4.0,22.0,7.0,,345.0,14.0,1.0,11.0,22.0,2.0,14.0,1.0,,199.0,5.0,4.0,21.0,59.0,16.0,18.0,19.0,1.0,4.0,3.0,12.0,11.0,7.0,,2.0,,,,,,,,,,,,,,,,,5.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
