gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,winningGoal,divingSave,totalFastbreak,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateThroughBall,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,attCmissHighRight,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,savedObox,attRfTarget,accuratePullBack,attOboxBlocked,attBxRight,accurateKeeperSweeper,totalCornersIntobox,cleanSheet,attSvLowLeft,freekickCross,attHdTarget,attMissHighLeft,totalKeeperSweeper,errorLeadToShot,sixYardBlock,attMissHigh,attCorner,punches,accurateFlickOn,shieldBallOop,attHdTotal,attHdMiss,accurateCornersIntobox,goalAssistSetplay,goalAssistOpenplay,attMissRight,goalAssist,goalAssistIntentional,attSvHighCentre,goalAssistDeadball,attOboxTarget,penaltyWon,overrun,clearanceOffLine,attSvHighRight,hitWoodwork,attSetpiece,ptsDroppedWinningPos,errorLeadToGoal,attObxdLeft,attCmissHigh,attFreekickTarget,postScoringAtt,attIboxPost,attPostLeft,attHdPost,attOboxPost,attPostRight,attCmissRight,secondYellow,attSvHighLeft,attOneOnOne,forwardGoals,goalFastbreak,accurateFreekickCross,attCmissHighLeft,attPostHigh,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickPost,attFreekickMiss,attObxLeft,attPenTarget,fastestPlayer,attIboxOwnGoal
25,2562144,2026-02-07 15:00:00,"Molineux Stadium, Wolverhampton",29762.0,Away,Chelsea,Wolverhampton Wanderers,3,1,W,3.0,0.0,0,0,0.0,1.0,1.0,3.0,47.0,1.0,1.0,3.0,3.0274,16.0,28.0,4.0,7.0,11.0,2.0,3.0,164.0,0.0,2.0,8.0,3.0,3.0,10.0,6.0,232.0,91.0,48.0,,15.0,9.0,3.0,,1.0,2.0,13.0,10.0,0.0,28.0,18.0,28.0,0.6971,290.0,,0.0,0.0,142.0,10.0,,0.0,,,3.0,1.0,66.0,65.0,8.0,115.0,2.0,9.0,17.0,4.0,,0.0,0.0,4.0,1.0,91.0,4.0,,9.0,0.0,236.0,924.0,9.0,3.0,28.0,10.0,680.0,12.0,1.0,13.0,1.0,4.0,2.0,1.30715,9.0,730.0,,51.0,3.0,32.23,493105,6.0,406.0,3.0,5.0,416.0,7.0,109406.88,0.0,2.0,9.0,6.0,43.0,0.0,8.0,0.0,1.0,7.0,1.0,12.0,2.0,4.0,2.0,30.0,694.0,9.0,13.0,,5.0,77.0,,1.0,0.0,,,0.0,0.0,3.0,2.0,3.0,1.0,,0.0,2.0,66.3,8.0,4.0,2.0,7.0,6.0,60.0,4.0,1.0,747.0,10.0,9.0,18.0,3.0,28.0,2.0,344.0,7.0,17.0,10.0,110.0,22.0,2.0,13.0,21.0,0.0,1.0,13.0,4.0,11.0,3.4388,2.0,9.0,4.0,,3.0,1.0,3.0,3.0,2.0,4.0,,1.0,,,,2.0,,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
26,2562147,2026-02-10 19:30:00,"Stamford Bridge, London",39253.0,Home,Chelsea,Leeds United,2,2,D,1.0,0.0,0,0,0.0,,1.0,2.0,36.0,0.0,1.0,5.0,1.4537,18.0,22.0,5.0,9.0,14.0,,2.0,143.0,0.0,6.0,5.0,2.0,4.0,16.0,4.0,206.0,99.0,46.0,1.0,19.0,17.0,,,1.0,2.0,19.0,6.0,0.0,22.0,18.0,24.0,1.7439,266.0,1.0,0.0,0.0,158.0,9.0,,0.0,,,1.0,1.0,46.0,54.0,9.0,99.0,,16.0,11.0,5.0,1.0,1.0,0.0,7.0,1.0,99.0,4.0,,2.0,0.0,196.0,832.0,14.0,5.0,34.0,7.0,575.0,11.0,5.0,13.0,4.0,2.0,7.0,2.65338,20.0,625.0,0.0241,54.0,4.0,32.84,624773,9.0,333.0,3.0,8.0,344.0,4.0,105834.58,0.0,,6.0,2.0,38.0,0.0,12.0,0.0,4.0,5.0,1.0,20.0,2.0,2.0,1.0,34.0,593.0,13.0,2.0,1.0,11.0,62.0,,0.0,0.0,,1.0,0.0,0.0,1.0,,2.0,2.0,,0.0,5.0,65.8,20.0,1.0,1.0,5.0,7.0,42.0,4.0,1.0,644.0,7.0,5.0,13.0,8.0,34.0,7.0,319.0,7.0,15.0,14.0,123.0,19.0,,13.0,14.0,0.0,2.0,11.0,4.0,11.0,3.1297,,6.0,4.0,,1.0,,2.0,1.0,,3.0,,1.0,1.0,,,,,1.0,3.0,5.0,,2.0,,3.0,2.0,1.0,,1.0,3.0,1.0,1.0,,,2.0,1.0,,,,,1.0,2.0,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,
27,2562157,2026-02-21 15:00:00,"Stamford Bridge, London",39603.0,Home,Chelsea,Burnley,1,1,D,1.0,0.0,1,0,0.0,,1.0,1.0,44.0,0.0,1.0,3.0,1.1619,23.0,13.0,6.0,8.0,6.0,3.0,1.0,152.0,0.0,2.0,8.0,1.0,2.0,8.0,2.0,172.0,112.0,43.0,,12.0,11.0,,2.0,,2.0,18.0,8.0,0.0,13.0,13.0,14.0,1.1153,327.0,,0.0,0.0,191.0,13.0,,0.0,,2.0,0.0,,92.0,57.0,5.0,98.0,2.0,10.0,9.0,6.0,,0.0,0.0,4.0,3.0,112.0,2.0,,9.0,0.0,183.0,748.0,6.0,6.0,25.0,9.0,517.0,14.0,4.0,6.0,2.0,2.0,3.0,1.34974,13.0,582.0,,72.0,1.0,33.06,247632,3.0,208.0,2.0,5.0,226.0,7.0,100472.62,0.0,,6.0,4.0,36.0,0.0,2.0,0.0,2.0,2.0,1.0,13.0,3.0,2.0,0.0,46.0,533.0,11.0,4.0,1.0,19.0,50.0,2.0,0.0,0.0,,,0.0,0.0,5.0,2.0,1.0,1.0,,1.0,1.0,66.5,13.0,10.0,1.0,2.0,5.0,32.0,9.0,,605.0,9.0,1.0,10.0,5.0,30.0,2.0,397.0,3.0,11.0,11.0,155.0,14.0,1.0,6.0,13.0,0.0,1.0,10.0,5.0,16.0,1.9875,1.0,6.0,9.0,1.0,,,2.0,,,8.0,,1.0,1.0,,,,,,3.0,2.0,,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
28,2562166,2026-03-01 16:30:00,"Emirates Stadium, London",60296.0,Away,Chelsea,Arsenal,1,2,L,1.0,1.0,1,0,0.0,,,,44.0,0.0,0.0,1.0,1.0925,19.0,22.0,4.0,5.0,5.0,3.0,0.0,130.0,0.0,4.0,3.0,1.0,1.0,8.0,3.0,138.0,109.0,49.0,,9.0,11.0,2.0,1.0,1.0,3.0,18.0,8.0,0.0,22.0,14.0,31.0,2.0828,141.0,1.0,0.0,0.0,76.0,14.0,,0.0,1.0,1.0,0.0,,23.0,46.0,4.0,70.0,2.0,9.0,7.0,4.0,,0.0,0.0,4.0,3.0,109.0,2.0,,7.0,0.0,144.0,654.0,7.0,4.0,13.0,13.0,404.0,26.0,2.0,10.0,3.0,3.0,4.0,0.810497,9.0,458.0,,29.0,1.0,35.21,247632,1.0,288.0,3.0,4.0,309.0,10.0,104719.19,0.0,,4.0,9.0,48.0,0.0,1.0,0.0,1.0,4.0,0.0,19.0,5.0,9.0,0.0,47.0,425.0,10.0,7.0,1.0,16.0,56.0,1.0,0.0,0.0,,,0.0,0.0,5.0,2.0,0.0,2.0,1.0,1.0,1.0,58.9,9.0,1.0,1.0,4.0,1.0,33.0,10.0,,482.0,13.0,10.0,19.0,5.0,19.0,2.0,191.0,1.0,13.0,16.0,59.0,10.0,,10.0,20.0,0.0,2.0,6.0,5.0,10.0,1.0712,,4.0,10.0,1.0,1.0,,,,,9.0,,1.0,1.0,2.0,1.0,,1.0,,1.0,2.0,,2.0,2.0,3.0,1.0,3.0,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
29,2562176,2026-03-04 19:30:00,"Villa Park, Birmingham",42084.0,Away,Chelsea,Aston Villa,4,1,W,2.0,1.0,0,0,0.0,,1.0,3.0,43.0,0.0,1.0,4.0,4.0965,13.0,15.0,1.0,3.0,14.0,3.0,2.0,143.0,3.0,3.0,6.0,4.0,1.0,13.0,8.0,155.0,97.0,37.0,,15.0,7.0,3.0,1.0,4.0,1.0,19.0,6.0,0.0,15.0,10.0,25.0,0.5393,159.0,,0.0,0.0,93.0,9.0,3.0,0.0,1.0,1.0,0.0,3.0,35.0,67.0,11.0,90.0,,14.0,20.0,1.0,,0.0,0.0,3.0,,97.0,5.0,,6.0,0.0,177.0,740.0,9.0,2.0,34.0,9.0,495.0,13.0,1.0,6.0,2.0,1.0,2.0,2.28909,20.0,541.0,,37.0,2.0,34.86,551210,8.0,359.0,2.0,11.0,377.0,8.0,115184.68,2.0,,8.0,6.0,29.0,0.0,3.0,0.0,2.0,6.0,4.0,14.0,3.0,3.0,0.0,28.0,515.0,10.0,2.0,1.0,7.0,55.0,1.0,0.0,0.0,,,0.0,0.0,3.0,3.0,4.0,1.0,,0.0,2.0,56.9,17.0,3.0,3.0,6.0,4.0,41.0,8.0,3.0,565.0,9.0,6.0,18.0,3.0,20.0,3.0,207.0,9.0,10.0,6.0,76.0,19.0,1.0,6.0,15.0,0.0,1.0,13.0,5.0,11.0,3.6008,1.0,8.0,8.0,,2.0,,,,1.0,5.0,,,,1.0,,1.0,,1.0,,2.0,,,1.0,3.0,1.0,1.0,,4.0,2.0,4.0,3.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,4.0,1.0,,,,,,,,,,,,
30,2562188,2026-03-14 17:30:00,"Stamford Bridge, London",39587.0,Home,Chelsea,Newcastle United,0,1,L,0.0,1.0,0,0,0.0,,1.0,,37.0,0.0,0.0,3.0,0.4396,17.0,22.0,12.0,7.0,10.0,4.0,0.0,137.0,0.0,7.0,5.0,0.0,3.0,18.0,3.0,221.0,114.0,41.0,2.0,22.0,16.0,1.0,2.0,1.0,3.0,28.0,6.0,0.0,22.0,19.0,27.0,1.4816,374.0,,0.0,0.0,233.0,9.0,,0.0,1.0,2.0,0.0,1.0,68.0,78.0,11.0,103.0,2.0,21.0,11.0,12.0,2.0,0.0,0.0,12.0,3.0,114.0,2.0,,3.0,0.0,214.0,887.0,17.0,3.0,33.0,9.0,606.0,15.0,5.0,12.0,2.0,1.0,7.0,1.31999,24.0,659.0,0.0728,55.0,2.0,35.59,551210,7.0,253.0,2.0,9.0,265.0,5.0,110115.71,0.0,1.0,5.0,5.0,47.0,0.0,6.0,0.0,,6.0,0.0,20.0,4.0,4.0,0.0,28.0,620.0,10.0,6.0,1.0,10.0,46.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,6.0,67.1,23.0,1.0,1.0,6.0,9.0,36.0,8.0,1.0,675.0,9.0,6.0,14.0,10.0,38.0,6.0,438.0,11.0,18.0,16.0,204.0,15.0,2.0,12.0,11.0,0.0,1.0,18.0,3.0,15.0,1.3865,2.0,5.0,8.0,3.0,2.0,,6.0,1.0,,7.0,,1.0,,,1.0,,1.0,1.0,3.0,2.0,,1.0,2.0,4.0,4.0,1.0,,,2.0,,,,,2.0,,1.0,,,1.0,,,,,2.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,
31,2562198,2026-03-21 17:30:00,"Hill Dickinson Stadium, Liverpool",52547.0,Away,Chelsea,Everton,0,3,L,0.0,1.0,0,0,0.0,1.0,,,48.0,0.0,0.0,3.0,1.0671,15.0,22.0,3.0,4.0,9.0,5.0,0.0,179.0,0.0,1.0,9.0,0.0,1.0,8.0,4.0,195.0,127.0,44.0,,12.0,13.0,4.0,,,3.0,24.0,7.0,0.0,22.0,13.0,20.0,2.0281,366.0,,0.0,0.0,198.0,7.0,,0.0,1.0,,0.0,,108.0,75.0,5.0,105.0,1.0,16.0,25.0,3.0,,0.0,0.0,6.0,2.0,127.0,1.0,,9.0,0.0,211.0,871.0,8.0,3.0,32.0,7.0,607.0,22.0,4.0,12.0,2.0,2.0,3.0,0.727901,15.0,679.0,,65.0,1.0,32.66,247632,4.0,252.0,2.0,9.0,270.0,4.0,105430.07,0.0,1.0,10.0,1.0,49.0,0.0,1.0,0.0,,5.0,0.0,8.0,1.0,1.0,0.0,32.0,617.0,6.0,8.0,,14.0,59.0,,0.0,0.0,1.0,,0.0,0.0,3.0,5.0,0.0,3.0,,0.0,1.0,63.6,15.0,3.0,3.0,5.0,4.0,48.0,9.0,,690.0,7.0,13.0,7.0,4.0,36.0,2.0,444.0,6.0,13.0,14.0,160.0,16.0,,12.0,15.0,0.0,3.0,4.0,5.0,18.0,0.9306,,10.0,9.0,1.0,4.0,,1.0,1.0,,8.0,,1.0,1.0,,,,2.0,,,7.0,1.0,1.0,1.0,2.0,2.0,,,,1.0,,,2.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
32,2562208,2026-04-12 16:30:00,"Stamford Bridge, London",39552.0,Home,Chelsea,Manchester City,0,3,L,0.0,0.0,0,0,0.0,,2.0,,46.0,0.0,0.0,2.0,1.1422,12.0,21.0,5.0,6.0,7.0,5.0,0.0,129.0,0.0,4.0,7.0,0.0,3.0,10.0,3.0,119.0,115.0,45.0,1.0,12.0,9.0,2.0,1.0,1.0,1.0,9.0,10.0,0.0,21.0,3.0,24.0,3.4995,133.0,,0.0,0.0,100.0,10.0,,0.0,2.0,1.0,0.0,,49.0,28.0,6.0,62.0,1.0,7.0,18.0,5.0,1.0,0.0,0.0,3.0,1.0,115.0,1.0,,14.0,0.0,97.0,595.0,9.0,3.0,15.0,5.0,320.0,15.0,2.0,7.0,3.0,6.0,4.0,0.850857,12.0,379.0,0.0964,42.0,1.0,33.8,244851,3.0,213.0,1.0,3.0,237.0,5.0,105430.92,0.0,,5.0,7.0,50.0,0.0,1.0,0.0,6.0,6.0,0.0,14.0,4.0,5.0,0.0,35.0,342.0,15.0,11.0,1.0,11.0,46.0,1.0,0.0,0.0,,1.0,0.0,0.0,12.0,4.0,0.0,3.0,,0.0,3.0,37.3,11.0,7.0,1.0,6.0,5.0,24.0,4.0,,407.0,5.0,12.0,12.0,4.0,16.0,3.0,179.0,3.0,1.0,3.0,77.0,15.0,3.0,7.0,21.0,0.0,3.0,10.0,5.0,15.0,1.1414,3.0,5.0,4.0,1.0,,,3.0,,,2.0,,2.0,1.0,1.0,,,1.0,,1.0,,,2.0,1.0,3.0,2.0,1.0,,,2.0,,,,,1.0,,4.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,
33,2562217,2026-04-18 20:00:00,"Stamford Bridge, London",39733.0,Home,Chelsea,Manchester United,0,1,L,0.0,1.0,0,0,0.0,,,,49.0,0.0,0.0,5.0,0.704,30.0,14.0,10.0,9.0,11.0,1.0,0.0,158.0,0.0,8.0,5.0,0.0,5.0,16.0,3.0,203.0,114.0,32.0,2.0,21.0,9.0,2.0,1.0,1.0,1.0,28.0,6.0,0.0,14.0,9.0,34.0,0.7931,276.0,,0.0,0.0,171.0,12.0,,0.0,1.0,1.0,0.0,,74.0,62.0,12.0,85.0,1.0,25.0,19.0,10.0,2.0,0.0,0.0,12.0,1.0,114.0,,,1.0,0.0,159.0,781.0,16.0,,40.0,10.0,523.0,21.0,2.0,8.0,1.0,2.0,4.0,1.45615,10.0,586.0,0.2558,75.0,1.0,34.41,551210,7.0,273.0,,10.0,288.0,8.0,108761.34,0.0,,9.0,5.0,38.0,0.0,3.0,0.0,2.0,4.0,0.0,11.0,3.0,5.0,0.0,51.0,541.0,12.0,2.0,,10.0,63.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,0.0,1.0,,0.0,7.0,58.7,9.0,2.0,1.0,4.0,13.0,47.0,7.0,,605.0,10.0,9.0,19.0,5.0,46.0,2.0,345.0,9.0,8.0,6.0,134.0,22.0,,8.0,10.0,0.0,1.0,14.0,4.0,12.0,1.5683,,9.0,7.0,,2.0,,8.0,3.0,1.0,3.0,,,3.0,1.0,,1.0,1.0,1.0,,3.0,,,2.0,3.0,1.0,1.0,,,2.0,,,1.0,,1.0,,,,,3.0,1.0,,,,,,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,
35,2562239,2026-05-04 15:00:00,"Stamford Bridge, London",39605.0,Home,Chelsea,Nottingham Forest,1,3,L,0.0,2.0,0,0,0.0,,2.0,1.0,49.0,0.0,0.0,3.0,1.6239,18.0,9.0,9.0,7.0,12.0,1.0,0.0,173.0,0.0,10.0,6.0,1.0,4.0,16.0,5.0,199.0,125.0,43.0,1.0,21.0,11.0,3.0,,,2.0,35.0,6.0,0.0,9.0,11.0,19.0,2.6447,344.0,1.0,0.0,0.0,216.0,12.0,,0.0,,,0.0,,76.0,103.0,9.0,94.0,,29.0,10.0,9.0,1.0,1.0,0.0,12.0,2.0,125.0,1.0,1.0,6.0,0.0,193.0,843.0,13.0,4.0,37.0,7.0,580.0,15.0,3.0,5.0,3.0,,7.0,0.976104,19.0,642.0,0.0313,57.0,1.0,32.43,486672,6.0,263.0,1.0,15.0,276.0,7.0,107476.14,1.0,1.0,4.0,1.0,49.0,0.0,3.0,0.0,1.0,3.0,1.0,14.0,1.0,1.0,0.0,33.0,597.0,9.0,4.0,2.0,11.0,65.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,,0.0,8.0,67.0,19.0,7.0,2.0,3.0,8.0,50.0,10.0,,659.0,7.0,11.0,12.0,8.0,42.0,5.0,418.0,12.0,11.0,15.0,182.0,24.0,1.0,5.0,14.0,0.0,3.0,13.0,4.0,17.0,2.1508,1.0,4.0,10.0,,2.0,,5.0,2.0,2.0,6.0,,2.0,2.0,,2.0,2.0,,,1.0,4.0,1.0,1.0,,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,1.0,,
36,2562249,2026-05-09 12:30:00,"Anfield, Liverpool",,Away,Chelsea,Liverpool,1,1,D,1.0,1.0,0,0,1.0,1.0,2.0,1.0,40.0,1.0,0.0,1.0,0.4105,11.0,14.0,2.0,3.0,4.0,2.0,0.0,157.0,0.0,2.0,9.0,1.0,2.0,4.0,3.0,133.0,102.0,55.0,1.0,6.0,8.0,2.0,1.0,1.0,1.0,7.0,10.0,0.0,14.0,7.0,18.0,0.5136,216.0,1.0,1.0,0.0,122.0,17.0,1.0,0.0,1.0,1.0,1.0,1.0,85.0,41.0,3.0,81.0,1.0,7.0,18.0,2.0,1.0,0.0,0.0,1.0,1.0,102.0,1.0,1.0,5.0,0.0,144.0,680.0,3.0,3.0,22.0,10.0,424.0,11.0,5.0,6.0,4.0,1.0,1.0,0.419942,17.0,485.0,0.0352,45.0,1.0,33.99,482609,1.0,232.0,1.0,6.0,241.0,10.0,103597.75,1.0,2.0,7.0,8.0,42.0,0.0,2.0,0.0,2.0,8.0,0.0,14.0,3.0,4.0,0.0,43.0,446.0,17.0,8.0,1.0,24.0,69.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,2.0,51.6,15.0,3.0,4.0,8.0,1.0,39.0,2.0,1.0,515.0,10.0,6.0,8.0,2.0,18.0,1.0,281.0,3.0,6.0,9.0,82.0,18.0,2.0,6.0,20.0,0.0,0.0,4.0,1.0,13.0,0.4956,2.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2562259,2026-05-19 20:15:00,"Stamford Bridge, London",,Home,Chelsea,Tottenham Hotspur,0,0,D,0.0,0.0,0,0,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2562272,2026-05-24 16:00:00,"Stadium of Light, Sunderland",,Away,Chelsea,Sunderland,0,0,D,,,0,0,0.0,,1.0,,45.0,0.0,1.0,1.0,0.4062,19.0,23.0,4.0,3.0,4.0,5.0,1.0,152.0,0.0,1.0,7.0,1.0,3.0,7.0,3.0,121.0,116.0,41.0,,8.0,6.0,1.0,,1.0,,9.0,3.0,0.0,23.0,6.0,32.0,1.273,163.0,,1.0,0.0,106.0,12.0,,0.0,2.0,,0.0,3.0,42.0,53.0,4.0,80.0,2.0,7.0,16.0,4.0,,0.0,0.0,3.0,1.0,116.0,2.0,,17.0,0.0,99.0,630.0,5.0,4.0,15.0,9.0,354.0,22.0,5.0,10.0,3.0,7.0,3.0,0.993297,19.0,426.0,,46.0,,35.5,482609,2.0,214.0,2.0,2.0,238.0,8.0,100459.65,0.0,,7.0,7.0,38.0,1.0,1.0,0.0,1.0,7.0,1.0,11.0,5.0,6.0,0.0,50.0,376.0,14.0,2.0,1.0,23.0,59.0,,0.0,0.0,1.0,,0.0,0.0,6.0,4.0,0.0,2.0,,1.0,1.0,56.1,17.0,,,7.0,2.0,32.0,2.0,3.0,452.0,9.0,8.0,18.0,3.0,19.0,2.0,223.0,3.0,4.0,13.0,70.0,10.0,3.0,10.0,7.0,0.0,2.0,6.0,4.0,17.0,0.888,3.0,7.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,2.0,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,1.0,2.0,1.0,,,,1.0,,,,,,2.0,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0
