gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,punches,redCard,attFreekickTarget,overrun,lostCorners,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,attGoalLowLeft,attLfGoal,goals,attCmissRight,goalAssistOpenplay,divingSave,attSvHighLeft,midfielderGoals,interceptionsInBox,goalAssist,accurateThroughBall,sixYardBlock,attRfGoal,attCmissHigh,goalsOpenplay,attMissHigh,attSvLowRight,savedIbox,attIboxGoal,goalsConceded,goalAssistIntentional,attHdMiss,attObxRight,forwardGoals,goalsConcededIbox,errorLeadToGoal,bigChanceScored,attGoalLowCentre,attOboxGoal,penaltyWon,attMissHighLeft,defenderGoals,attPenGoal,attFreekickMiss,postScoringAtt,attFreekickPost,errorLeadToShot,totalPullBack,attOboxPost,shieldBallOop,attPostRight,goalsConcededObox,penaltyConceded,clearanceOffLine,penaltyFaced,accuratePullBack,attPostHigh,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attHdGoal,saves,goalFastbreak,penGoalsConceded,attObxLeft,attGoalHighCentre,attPenTarget,attIboxPost,attGoalHighLeft,attPostLeft,secondYellow,attGoalHighRight,attHdPost,foulThrowIn,ownGoals,attObpGoal,attIboxOwnGoal
11,360571,2011-11-05 15:00:00,"Ewood Park, Blackburn",21985,Away,Chelsea,Blackburn Rovers,1,0,W,0,0,0,0,1.0,57.0,3.0,2.0,44.0,40.0,7.0,2.0,3.0,186.0,7.0,6.0,2.0,12.0,5.0,155.0,141.0,50.0,1.0,12.0,1.0,5.0,1.0,2.0,,1.0,3.0,,29.0,13.0,3.0,25.0,8.0,21.0,39.0,270.0,,,1.0,0.0,161.0,11.0,2.0,,1.0,1.0,85.0,70.0,8.0,74.0,1.0,21.0,1.0,9.0,3.0,126.0,3.0,4.0,134.0,739.0,,9.0,4.0,,,8.0,23.0,3.0,19.0,1.0,2.0,2.0,4.0,14.0,69.0,,78056,3.0,215.0,2.0,11.0,,234.0,6.0,32.0,4.0,3.0,8.0,10.0,8.0,4.0,58.0,478.0,12.0,2.0,2.0,9.0,80.0,2.0,,3.0,0.0,,2.0,5.0,1.0,,0.0,4.0,1.0,62.3,13.0,,1.0,1.0,8.0,3.0,56.0,8.0,2.0,549.0,7.0,10.0,26.0,4.0,23.0,3.0,1.0,344.0,8.0,21.0,14.0,122.0,22.0,1.0,13.0,18.0,10.0,3.0,11.0,1.0,8.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,3.0,,2.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
12,360579,2011-11-20 16:00:00,"Stamford Bridge, London",41820,Home,Chelsea,Liverpool,1,2,L,0,1,0,0,1.0,54.0,,1.0,40.0,21.0,6.0,8.0,,174.0,8.0,8.0,3.0,15.0,3.0,130.0,145.0,51.0,1.0,19.0,1.0,5.0,2.0,,1.0,2.0,1.0,3.0,27.0,16.0,,11.0,5.0,35.0,37.0,234.0,3.0,,,0.0,154.0,13.0,,,2.0,1.0,79.0,59.0,5.0,78.0,6.0,22.0,1.0,9.0,6.0,135.0,1.0,4.0,153.0,746.0,1.0,11.0,4.0,1.0,,25.0,20.0,1.0,7.0,2.0,3.0,,10.0,25.0,83.0,1.0,78056,6.0,239.0,,11.0,1.0,252.0,9.0,62.0,2.0,1.0,6.0,9.0,5.0,6.0,50.0,465.0,10.0,13.0,3.0,4.0,65.0,,,,0.0,,,5.0,1.0,,0.0,4.0,4.0,57.5,23.0,1.0,2.0,,6.0,2.0,40.0,6.0,1.0,535.0,17.0,28.0,19.0,14.0,29.0,4.0,8.0,310.0,7.0,33.0,10.0,111.0,27.0,,3.0,23.0,14.0,3.0,11.0,,6.0,,1.0,,1.0,2.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,3.0,,1.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,360591,2011-11-26 15:00:00,"Stamford Bridge, London",41648,Home,Chelsea,Wolverhampton Wanderers,3,0,W,3,0,0,0,4.0,52.0,1.0,1.0,49.0,18.0,12.0,8.0,3.0,168.0,6.0,9.0,3.0,14.0,10.0,116.0,131.0,39.0,1.0,21.0,3.0,6.0,3.0,,3.0,2.0,2.0,3.0,28.0,10.0,4.0,8.0,7.0,24.0,34.0,196.0,1.0,1.0,1.0,0.0,131.0,10.0,,4.0,,2.0,55.0,66.0,11.0,82.0,,21.0,1.0,7.0,5.0,121.0,1.0,5.0,116.0,664.0,,10.0,1.0,,,14.0,18.0,5.0,10.0,2.0,1.0,1.0,3.0,27.0,77.0,,78056,4.0,227.0,1.0,14.0,1.0,239.0,8.0,31.0,3.0,1.0,4.0,7.0,3.0,3.0,68.0,417.0,10.0,1.0,1.0,9.0,76.0,,2.0,,0.0,,,2.0,,,0.0,5.0,1.0,52.0,20.0,3.0,1.0,,4.0,4.0,48.0,9.0,2.0,482.0,11.0,9.0,20.0,7.0,12.0,1.0,2.0,271.0,12.0,24.0,5.0,92.0,23.0,2.0,3.0,15.0,16.0,3.0,14.0,2.0,9.0,,,2.0,3.0,,2.0,3.0,,,,3.0,,,,,2.0,3.0,,1.0,3.0,,3.0,,,2.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,
14,360604,2011-12-03 12:45:00,"St. James' Park, Newcastle",52305,Away,Chelsea,Newcastle United,3,0,W,1,0,0,0,3.0,78.0,,2.0,29.0,33.0,6.0,10.0,3.0,152.0,2.0,8.0,2.0,17.0,9.0,92.0,144.0,50.0,,22.0,3.0,7.0,5.0,2.0,3.0,,,2.0,16.0,21.0,1.0,16.0,4.0,16.0,32.0,140.0,,,1.0,0.0,95.0,6.0,2.0,1.0,1.0,4.0,34.0,44.0,11.0,64.0,5.0,12.0,,5.0,3.0,127.0,3.0,8.0,87.0,616.0,,14.0,5.0,,2.0,14.0,35.0,3.0,21.0,,3.0,7.0,6.0,14.0,61.0,,78056,10.0,190.0,4.0,6.0,1.0,203.0,7.0,51.0,8.0,2.0,3.0,11.0,8.0,4.0,61.0,328.0,7.0,12.0,,21.0,95.0,2.0,1.0,1.0,0.0,,1.0,6.0,3.0,,0.0,2.0,1.0,47.3,11.0,2.0,2.0,,3.0,5.0,55.0,5.0,5.0,395.0,11.0,19.0,18.0,8.0,19.0,,4.0,208.0,11.0,14.0,8.0,61.0,27.0,4.0,9.0,27.0,18.0,3.0,15.0,4.0,5.0,,2.0,1.0,3.0,2.0,2.0,1.0,,,1.0,3.0,5.0,,1.0,,2.0,,5.0,3.0,3.0,,2.0,,1.0,3.0,,,,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,
15,360611,2011-12-12 20:00:00,"Stamford Bridge, London",41730,Home,Chelsea,Manchester City,2,1,W,1,1,0,1,2.0,47.0,1.0,1.0,29.0,5.0,10.0,7.0,,168.0,3.0,18.0,9.0,14.0,4.0,108.0,138.0,55.0,1.0,16.0,5.0,2.0,1.0,,1.0,,,2.0,22.0,14.0,1.0,1.0,1.0,22.0,33.0,216.0,,,,0.0,152.0,11.0,,1.0,3.0,,72.0,71.0,9.0,76.0,1.0,21.0,1.0,6.0,5.0,134.0,1.0,3.0,111.0,640.0,,11.0,4.0,,,18.0,18.0,5.0,2.0,,4.0,1.0,5.0,21.0,77.0,,78056,3.0,170.0,,12.0,1.0,182.0,8.0,39.0,2.0,,5.0,13.0,4.0,5.0,50.0,383.0,18.0,9.0,2.0,21.0,81.0,,1.0,,0.0,,1.0,1.0,1.0,,0.0,3.0,,49.7,20.0,2.0,1.0,,5.0,6.0,53.0,5.0,,463.0,14.0,13.0,17.0,6.0,26.0,,1.0,303.0,9.0,21.0,3.0,107.0,20.0,3.0,,16.0,12.0,3.0,22.0,3.0,5.0,,,,2.0,,1.0,2.0,,2.0,2.0,1.0,,,2.0,1.0,1.0,3.0,1.0,,2.0,1.0,1.0,,1.0,,1.0,,2.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
16,360627,2011-12-17 17:30:00,"DW Stadium, Wigan",18320,Away,Chelsea,Wigan Athletic,1,1,D,0,0,0,0,1.0,54.0,2.0,1.0,47.0,24.0,6.0,5.0,,156.0,1.0,12.0,,10.0,2.0,124.0,139.0,43.0,,12.0,2.0,4.0,,,1.0,1.0,1.0,3.0,19.0,11.0,1.0,11.0,4.0,24.0,27.0,250.0,,,,0.0,147.0,6.0,,,,1.0,89.0,61.0,5.0,80.0,4.0,15.0,,7.0,3.0,126.0,,9.0,109.0,667.0,,9.0,7.0,,,26.0,24.0,5.0,10.0,1.0,0.0,3.0,5.0,21.0,71.0,,88821,2.0,147.0,,8.0,,162.0,12.0,37.0,3.0,1.0,4.0,9.0,5.0,10.0,67.0,396.0,9.0,12.0,,13.0,77.0,,3.0,,0.0,,4.0,7.0,,,0.0,1.0,1.0,49.2,18.0,2.0,2.0,,5.0,3.0,55.0,5.0,1.0,469.0,21.0,11.0,17.0,7.0,16.0,,4.0,326.0,6.0,21.0,6.0,109.0,20.0,1.0,4.0,16.0,,3.0,16.0,1.0,5.0,,1.0,,1.0,,1.0,2.0,,,3.0,1.0,1.0,,1.0,,,,,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
17,360630,2011-12-22 20:00:00,"White Hart Lane, London",36141,Away,Chelsea,Tottenham Hotspur,1,1,D,1,1,0,0,4.0,52.0,1.0,2.0,19.0,39.0,11.0,10.0,1.0,138.0,8.0,2.0,3.0,14.0,7.0,86.0,130.0,46.0,1.0,22.0,2.0,6.0,2.0,,1.0,2.0,,2.0,19.0,23.0,4.0,19.0,4.0,18.0,18.0,156.0,3.0,,,0.0,96.0,8.0,,,2.0,,57.0,42.0,6.0,78.0,3.0,15.0,1.0,6.0,6.0,110.0,4.0,12.0,84.0,582.0,,9.0,4.0,1.0,1.0,12.0,25.0,4.0,13.0,2.0,2.0,8.0,8.0,11.0,62.0,2.0,78056,7.0,175.0,4.0,7.0,1.0,187.0,10.0,42.0,1.0,4.0,2.0,10.0,4.0,2.0,42.0,323.0,14.0,15.0,4.0,16.0,78.0,,,,0.0,,,7.0,,,0.0,6.0,4.0,45.2,11.0,3.0,1.0,1.0,3.0,4.0,42.0,4.0,,386.0,8.0,10.0,7.0,11.0,20.0,2.0,4.0,218.0,8.0,16.0,3.0,55.0,16.0,3.0,8.0,27.0,16.0,3.0,5.0,3.0,4.0,,,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,
18,360641,2011-12-26 13:00:00,"Stamford Bridge, London",41548,Home,Chelsea,Fulham,1,1,D,0,0,0,0,2.0,62.0,2.0,1.0,27.0,10.0,10.0,10.0,6.0,168.0,13.0,11.0,3.0,22.0,12.0,146.0,138.0,56.0,1.0,25.0,2.0,6.0,7.0,,2.0,,6.0,3.0,36.0,19.0,4.0,3.0,8.0,7.0,34.0,295.0,,,,0.0,193.0,10.0,,,2.0,,62.0,65.0,13.0,59.0,3.0,28.0,1.0,9.0,4.0,131.0,1.0,6.0,140.0,713.0,,18.0,5.0,3.0,,23.0,24.0,2.0,5.0,,1.0,1.0,9.0,13.0,83.0,,88821,9.0,162.0,1.0,17.0,,168.0,7.0,51.0,,1.0,6.0,13.0,3.0,7.0,45.0,444.0,12.0,14.0,3.0,9.0,49.0,,1.0,2.0,0.0,1.0,3.0,3.0,1.0,,0.0,8.0,5.0,52.5,12.0,6.0,2.0,4.0,6.0,3.0,42.0,9.0,,513.0,19.0,13.0,13.0,10.0,33.0,5.0,6.0,381.0,10.0,7.0,10.0,143.0,29.0,1.0,1.0,23.0,19.0,3.0,19.0,1.0,9.0,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,,1.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
19,360651,2011-12-31 15:00:00,"Stamford Bridge, London",41332,Home,Chelsea,Aston Villa,1,3,L,1,1,0,0,1.0,62.0,2.0,2.0,43.0,12.0,11.0,6.0,,180.0,4.0,5.0,7.0,8.0,2.0,141.0,173.0,40.0,3.0,18.0,1.0,9.0,,,1.0,1.0,,1.0,40.0,10.0,1.0,6.0,9.0,14.0,40.0,266.0,2.0,1.0,,0.0,181.0,7.0,,,2.0,1.0,86.0,67.0,2.0,61.0,4.0,31.0,3.0,13.0,9.0,167.0,,8.0,133.0,724.0,1.0,6.0,8.0,,1.0,29.0,28.0,3.0,9.0,1.0,1.0,2.0,6.0,30.0,90.0,1.0,78056,4.0,167.0,,16.0,,174.0,5.0,49.0,3.0,,6.0,16.0,2.0,1.0,54.0,429.0,13.0,12.0,2.0,7.0,76.0,,1.0,,0.0,,2.0,2.0,1.0,,0.0,3.0,1.0,62.0,28.0,3.0,,,6.0,3.0,50.0,9.0,1.0,515.0,21.0,15.0,21.0,13.0,31.0,1.0,3.0,381.0,10.0,14.0,10.0,127.0,24.0,1.0,5.0,12.0,11.0,3.0,11.0,1.0,9.0,,,,1.0,1.0,,2.0,,,,,1.0,1.0,1.0,1.0,,4.0,,2.0,1.0,3.0,,1.0,,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
20,360668,2012-01-02 15:00:00,"Molineux Stadium, Wolverhampton",27289,Away,Chelsea,Wolverhampton Wanderers,2,1,W,0,0,0,0,1.0,67.0,1.0,1.0,44.0,24.0,6.0,4.0,4.0,212.0,6.0,5.0,2.0,13.0,7.0,140.0,161.0,41.0,2.0,17.0,3.0,1.0,3.0,,2.0,,3.0,,24.0,14.0,2.0,14.0,5.0,19.0,27.0,276.0,,,,0.0,175.0,9.0,,,,2.0,76.0,100.0,9.0,107.0,3.0,19.0,2.0,7.0,2.0,151.0,2.0,7.0,130.0,778.0,1.0,10.0,4.0,,,13.0,21.0,2.0,17.0,,2.0,1.0,4.0,21.0,87.0,,89085,5.0,224.0,1.0,12.0,,246.0,10.0,25.0,6.0,2.0,6.0,12.0,2.0,5.0,62.0,494.0,11.0,1.0,1.0,14.0,95.0,,,,0.0,,2.0,,1.0,,0.0,4.0,1.0,64.7,19.0,3.0,1.0,,6.0,4.0,60.0,5.0,2.0,589.0,11.0,11.0,17.0,6.0,26.0,2.0,4.0,367.0,12.0,17.0,7.0,120.0,36.0,2.0,9.0,18.0,12.0,1.0,9.0,2.0,5.0,1.0,,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
21,360671,2012-01-14 15:00:00,"Stamford Bridge, London",41696,Home,Chelsea,Sunderland,1,0,W,1,0,0,0,4.0,69.0,1.0,3.0,30.0,28.0,13.0,10.0,2.0,184.0,8.0,11.0,2.0,15.0,7.0,141.0,145.0,50.0,3.0,25.0,3.0,6.0,2.0,,2.0,,2.0,3.0,24.0,15.0,4.0,14.0,8.0,11.0,21.0,291.0,1.0,,1.0,0.0,180.0,11.0,,1.0,,4.0,87.0,61.0,8.0,87.0,2.0,16.0,3.0,5.0,6.0,131.0,,6.0,138.0,757.0,,13.0,6.0,,1.0,19.0,30.0,2.0,17.0,,3.0,1.0,7.0,17.0,85.0,,8442,8.0,195.0,,11.0,,213.0,7.0,45.0,6.0,2.0,5.0,9.0,3.0,4.0,43.0,478.0,9.0,9.0,2.0,6.0,67.0,,2.0,,0.0,1.0,6.0,2.0,4.0,,0.0,5.0,2.0,60.2,15.0,3.0,1.0,1.0,5.0,6.0,47.0,8.0,4.0,550.0,14.0,16.0,8.0,12.0,19.0,3.0,5.0,361.0,12.0,10.0,13.0,142.0,27.0,,10.0,17.0,16.0,2.0,16.0,,8.0,1.0,,,1.0,1.0,,,,1.0,,,2.0,2.0,1.0,,1.0,3.0,2.0,2.0,1.0,,,2.0,,,,,1.0,1.0,,,2.0,,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
22,360684,2012-01-21 12:45:00,"Carrow Road, Norwich",26792,Away,Chelsea,Norwich City,0,0,D,0,0,0,0,3.0,68.0,1.0,1.0,45.0,16.0,10.0,9.0,3.0,185.0,4.0,13.0,,12.0,6.0,164.0,163.0,39.0,,20.0,2.0,3.0,4.0,,3.0,1.0,3.0,1.0,39.0,15.0,2.0,11.0,9.0,19.0,29.0,272.0,3.0,1.0,1.0,0.0,193.0,6.0,,2.0,,3.0,77.0,85.0,6.0,79.0,3.0,30.0,,8.0,6.0,158.0,,3.0,130.0,768.0,,10.0,6.0,,,17.0,31.0,,5.0,1.0,0.0,1.0,6.0,22.0,88.0,,8442,4.0,204.0,1.0,22.0,,226.0,8.0,29.0,5.0,,8.0,10.0,3.0,3.0,70.0,472.0,5.0,3.0,2.0,15.0,75.0,,,,0.0,,2.0,1.0,,,0.0,2.0,,58.2,20.0,2.0,3.0,,8.0,3.0,48.0,11.0,3.0,558.0,13.0,11.0,17.0,11.0,28.0,2.0,5.0,371.0,11.0,18.0,3.0,140.0,23.0,,3.0,18.0,,3.0,20.0,,11.0,1.0,,,,3.0,,1.0,,,,,2.0,,,1.0,,3.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,360692,2012-01-31 19:45:00,"Liberty Stadium, Swansea",20526,Away,Chelsea,Swansea City,1,1,D,0,1,1,0,2.0,54.0,3.0,3.0,31.0,9.0,10.0,9.0,1.0,177.0,10.0,5.0,,15.0,4.0,117.0,162.0,44.0,,19.0,3.0,5.0,2.0,,1.0,1.0,2.0,1.0,43.0,19.0,2.0,5.0,10.0,15.0,31.0,295.0,,,,0.0,181.0,22.0,,1.0,,1.0,108.0,81.0,9.0,89.0,6.0,33.0,,6.0,5.0,158.0,,5.0,108.0,700.0,,12.0,5.0,1.0,,16.0,23.0,3.0,5.0,1.0,2.0,3.0,6.0,23.0,90.0,,8442,5.0,128.0,,24.0,,149.0,7.0,66.0,1.0,,2.0,12.0,3.0,3.0,45.0,413.0,10.0,11.0,3.0,15.0,69.0,,,,0.0,,2.0,1.0,1.0,,1.0,6.0,1.0,53.8,22.0,5.0,3.0,,2.0,6.0,48.0,11.0,2.0,491.0,13.0,17.0,19.0,9.0,17.0,4.0,4.0,385.0,8.0,13.0,5.0,140.0,23.0,1.0,3.0,24.0,,2.0,16.0,1.0,11.0,,,,1.0,3.0,,2.0,,,,,,,,2.0,,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,
24,360700,2012-02-05 16:00:00,"Stamford Bridge, London",41668,Home,Chelsea,Manchester United,3,3,D,1,0,0,0,3.0,62.0,4.0,,29.0,33.0,13.0,9.0,3.0,138.0,7.0,6.0,3.0,17.0,8.0,77.0,152.0,40.0,1.0,20.0,3.0,9.0,,,1.0,,,2.0,20.0,7.0,6.0,17.0,6.0,9.0,29.0,181.0,1.0,1.0,,0.0,131.0,16.0,,1.0,3.0,2.0,60.0,45.0,9.0,57.0,4.0,14.0,1.0,6.0,4.0,136.0,,7.0,74.0,572.0,,15.0,5.0,,,28.0,31.0,6.0,15.0,,2.0,3.0,8.0,22.0,67.0,1.0,8442,4.0,101.0,1.0,5.0,1.0,115.0,6.0,63.0,2.0,,5.0,14.0,9.0,2.0,50.0,275.0,14.0,9.0,,20.0,72.0,,1.0,1.0,0.0,1.0,,6.0,2.0,,0.0,4.0,3.0,44.2,17.0,3.0,2.0,2.0,5.0,3.0,40.0,6.0,2.0,346.0,23.0,19.0,19.0,9.0,20.0,3.0,5.0,251.0,8.0,8.0,12.0,94.0,18.0,5.0,8.0,8.0,16.0,1.0,16.0,5.0,6.0,,,1.0,3.0,,1.0,5.0,1.0,,3.0,2.0,1.0,,,,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,,1.0,3.0,,,,,,,1.0,,,,,,1.0,,1.0,,,2.0,,2.0,,,,1.0,1.0,1.0,,,2.0,,,,,1.0,,,1.0,,,,,
25,360712,2012-02-11 15:00:00,"Goodison Park, Liverpool",33924,Away,Chelsea,Everton,0,2,L,0,1,0,0,2.0,54.0,2.0,3.0,48.0,22.0,6.0,8.0,,170.0,4.0,6.0,4.0,6.0,4.0,157.0,149.0,33.0,1.0,14.0,6.0,6.0,4.0,,1.0,2.0,1.0,,33.0,7.0,,9.0,4.0,24.0,34.0,262.0,,,,0.0,171.0,13.0,,1.0,1.0,1.0,70.0,57.0,5.0,102.0,1.0,29.0,1.0,13.0,,136.0,,4.0,141.0,757.0,,6.0,5.0,2.0,,15.0,28.0,4.0,12.0,2.0,3.0,3.0,1.0,22.0,87.0,,8442,4.0,244.0,,15.0,1.0,258.0,6.0,48.0,2.0,1.0,4.0,11.0,5.0,4.0,69.0,502.0,13.0,9.0,,16.0,78.0,,,,0.0,,2.0,2.0,1.0,,0.0,4.0,2.0,66.9,20.0,1.0,1.0,,4.0,9.0,58.0,4.0,1.0,570.0,9.0,15.0,19.0,1.0,27.0,,1.0,345.0,4.0,23.0,4.0,130.0,18.0,3.0,5.0,10.0,11.0,3.0,12.0,3.0,4.0,1.0,,,,,,1.0,1.0,,2.0,,,1.0,,,,,1.0,,,2.0,,,,,2.0,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
26,360720,2012-02-25 15:00:00,"Stamford Bridge, London",40999,Home,Chelsea,Bolton Wanderers,3,0,W,0,0,0,0,3.0,57.0,,2.0,24.0,32.0,12.0,8.0,7.0,171.0,9.0,6.0,,20.0,13.0,116.0,155.0,51.0,,26.0,2.0,11.0,2.0,3.0,1.0,,5.0,2.0,29.0,16.0,8.0,21.0,12.0,21.0,30.0,188.0,,,1.0,0.0,121.0,8.0,,2.0,,1.0,42.0,54.0,13.0,63.0,1.0,17.0,,3.0,3.0,144.0,,4.0,108.0,688.0,,14.0,8.0,,2.0,26.0,29.0,4.0,18.0,,0.0,4.0,7.0,22.0,71.0,,8442,6.0,200.0,,14.0,1.0,216.0,9.0,40.0,5.0,4.0,3.0,17.0,7.0,7.0,35.0,379.0,12.0,6.0,4.0,12.0,67.0,3.0,,,0.0,,3.0,7.0,3.0,,0.0,3.0,5.0,59.1,21.0,1.0,4.0,1.0,3.0,4.0,42.0,14.0,1.0,458.0,23.0,8.0,16.0,9.0,22.0,6.0,4.0,271.0,13.0,20.0,11.0,77.0,24.0,2.0,10.0,22.0,,3.0,14.0,2.0,14.0,1.0,1.0,,3.0,,1.0,,,1.0,1.0,2.0,4.0,,2.0,,,3.0,2.0,1.0,3.0,,2.0,3.0,1.0,1.0,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,2.0,,1.0,,,1.0,2.0,,,
27,360737,2012-03-03 15:00:00,"The Hawthorns, West Bromwich",24838,Away,Chelsea,West Bromwich Albion,0,1,L,0,0,0,0,,59.0,5.0,2.0,32.0,40.0,5.0,6.0,2.0,160.0,5.0,5.0,4.0,9.0,2.0,119.0,159.0,40.0,,13.0,3.0,5.0,1.0,,,,,1.0,26.0,16.0,1.0,13.0,4.0,13.0,38.0,203.0,1.0,,,0.0,139.0,10.0,,,4.0,2.0,53.0,63.0,3.0,56.0,3.0,22.0,,10.0,3.0,132.0,3.0,13.0,105.0,658.0,,8.0,3.0,,1.0,17.0,23.0,2.0,20.0,,1.0,6.0,6.0,16.0,84.0,1.0,8442,5.0,176.0,3.0,8.0,,185.0,10.0,46.0,2.0,1.0,5.0,15.0,12.0,5.0,57.0,374.0,9.0,9.0,1.0,9.0,71.0,,,,0.0,,,14.0,2.0,,0.0,4.0,1.0,54.3,15.0,4.0,,,6.0,5.0,40.0,4.0,2.0,440.0,12.0,16.0,17.0,6.0,26.0,1.0,3.0,281.0,6.0,13.0,7.0,94.0,22.0,2.0,7.0,19.0,9.0,3.0,11.0,2.0,5.0,,,,,2.0,,1.0,,,2.0,,1.0,1.0,,,,,2.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
