gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,handBall,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attCmissRight,attBxRight,goalAssistOpenplay,attGoalHighRight,attMissRight,attMissHighLeft,goalAssist,attCmissHigh,defenderGoals,goalsOpenplay,attCmissLeft,goalsConceded,accurateFlickOn,goalAssistIntentional,goalsConcededIbox,ptsDroppedWinningPos,attLfTarget,savedObox,accuratePullBack,shotFastbreak,totalFastbreak,secondYellow,attFastbreak,attSvHighCentre,errorLeadToGoal,postScoringAtt,attIboxPost,attOboxGoal,contentiousDecision,hitWoodwork,attGoalHighLeft,attPostRight,forwardGoals,attSvHighRight,sixYardBlock,attLfGoal,ptsGainedLosingPos,errorLeadToShot,attObxdLeft,attFreekickTarget,attCmissHighRight,attOneOnOne,subsGoals,attCmissHighLeft,attGoalLowRight,attHdGoal,attGoalHighCentre,attFreekickGoal,attPostHigh,attHdPost,ownGoals,attIboxOwnGoal,attPostLeft,attObxLeft,goalFastbreak,penaltyConceded,penaltyFaced,penGoalsConceded,attObxRight
11,2292910,2022-10-16 14:00:00,"Villa Park, Birmingham",41754.0,Away,Chelsea,Aston Villa,2,0,W,1,0,0,0,1.0,17.0,59.0,,1.0,19.0,22.0,2.0,2.0,6.0,7.0,1.0,168.0,10.0,2.0,8.0,2.0,1.0,6.0,4.0,130.0,127.0,35.0,1.0,8.0,,12.0,2.0,1.0,2.0,,6.0,6.0,,22.0,,3.0,27.0,135.0,,1.0,,0.0,75.0,11.0,4.0,,,,,,72.0,39.0,3.0,107.0,1.0,6.0,10.0,2.0,1.0,2.0,1.0,127.0,2.0,13.0,143.0,720.0,6.0,2.0,15.0,,8.0,448.0,23.0,1.0,9.0,1.0,3.0,4.0,3.0,20.0,522.0,38.0,,,91651,5.0,335.0,2.0,4.0,,361.0,4.0,2.0,1.0,10.0,11.0,51.0,2.0,1.0,5.0,13.0,5.0,8.0,1.0,,48.0,468.0,12.0,5.0,,9.0,,69.0,,2.0,0.0,,7.0,5.0,1.0,0.0,2.0,3.0,1.0,58.9,15.0,1.0,2.0,,5.0,1.0,,39.0,1.0,,548.0,8.0,,18.0,9.0,3.0,11.0,,1.0,193.0,5.0,2.0,6.0,48.0,28.0,4.0,9.0,9.0,7.0,5.0,14.0,4.0,3.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,2.0,,,,,2.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,
12,2292922,2022-10-19 19:30:00,"Gtech Community Stadium, Brentford",17118.0,Away,Chelsea,Brentford,0,0,D,0,0,0,0,,18.0,64.0,,1.0,24.0,21.0,10.0,3.0,4.0,5.0,4.0,182.0,9.0,3.0,11.0,,,14.0,5.0,185.0,148.0,46.0,,14.0,5.0,12.0,2.0,,,,15.0,8.0,3.0,21.0,2.0,4.0,44.0,370.0,1.0,1.0,,0.0,239.0,7.0,2.0,,,3.0,,,77.0,105.0,10.0,107.0,2.0,13.0,12.0,10.0,,5.0,2.0,148.0,1.0,7.0,182.0,850.0,13.0,7.0,37.0,,6.0,548.0,29.0,1.0,10.0,,0.0,1.0,3.0,21.0,637.0,73.0,,,91651,1.0,192.0,1.0,8.0,,217.0,1.0,,,8.0,8.0,41.0,6.0,,5.0,13.0,1.0,2.0,1.0,,60.0,559.0,7.0,4.0,,19.0,,65.0,,1.0,0.0,4.0,6.0,4.0,,0.0,3.0,3.0,,66.3,19.0,,5.0,1.0,6.0,6.0,,38.0,2.0,,656.0,6.0,,4.0,24.0,3.0,46.0,,1.0,454.0,11.0,4.0,11.0,186.0,23.0,1.0,10.0,17.0,14.0,5.0,26.0,1.0,8.0,2.0,,1.0,,,,,1.0,,,1.0,,,,,,,,2.0,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2292931,2022-10-22 17:30:00,"Stamford Bridge, London",39503.0,Home,Chelsea,Manchester United,1,1,D,0,0,0,0,1.0,22.0,55.0,,,17.0,18.0,2.0,1.0,4.0,5.0,,144.0,14.0,4.0,7.0,1.0,2.0,3.0,2.0,106.0,150.0,41.0,,6.0,1.0,16.0,,1.0,1.0,2.0,20.0,5.0,1.0,18.0,4.0,4.0,42.0,143.0,,,1.0,0.0,118.0,8.0,4.0,,1.0,,,,47.0,61.0,1.0,68.0,1.0,16.0,15.0,2.0,,5.0,,150.0,1.0,6.0,96.0,585.0,2.0,5.0,19.0,,11.0,300.0,21.0,,5.0,1.0,1.0,1.0,2.0,20.0,386.0,50.0,,,91651,3.0,184.0,1.0,11.0,,211.0,5.0,1.0,,7.0,11.0,48.0,1.0,2.0,4.0,14.0,7.0,8.0,,1.0,50.0,323.0,10.0,6.0,1.0,12.0,2.0,50.0,,,0.0,2.0,4.0,2.0,1.0,0.0,3.0,2.0,2.0,47.9,13.0,1.0,4.0,,4.0,1.0,,26.0,6.0,,414.0,11.0,,5.0,18.0,3.0,28.0,1.0,2.0,223.0,3.0,2.0,14.0,74.0,25.0,,5.0,10.0,3.0,4.0,20.0,,7.0,6.0,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,2.0,1.0,3.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,
14,2292943,2022-10-29 15:00:00,"American Express Stadium, Falmer",31746.0,Away,Chelsea,Brighton and Hove Albion,1,4,L,0,3,0,0,1.0,16.0,54.0,1.0,,20.0,16.0,6.0,6.0,9.0,5.0,3.0,174.0,8.0,6.0,2.0,1.0,2.0,11.0,7.0,129.0,123.0,38.0,,15.0,3.0,11.0,4.0,2.0,,1.0,18.0,4.0,2.0,16.0,7.0,6.0,34.0,237.0,,,,0.0,144.0,6.0,1.0,,,2.0,1.0,,91.0,62.0,9.0,79.0,1.0,11.0,27.0,6.0,,3.0,1.0,123.0,1.0,17.0,131.0,708.0,10.0,10.0,33.0,1.0,7.0,414.0,17.0,1.0,7.0,2.0,2.0,5.0,2.0,23.0,483.0,54.0,,,91651,6.0,210.0,,7.0,,229.0,4.0,,,8.0,9.0,43.0,1.0,,5.0,18.0,4.0,8.0,,,36.0,441.0,16.0,8.0,,6.0,2.0,60.0,3.0,,0.0,1.0,8.0,5.0,1.0,0.0,3.0,2.0,2.0,59.0,21.0,,6.0,3.0,5.0,3.0,2.0,43.0,7.0,,513.0,7.0,,9.0,21.0,5.0,33.0,3.0,4.0,302.0,7.0,6.0,12.0,111.0,25.0,1.0,7.0,8.0,13.0,5.0,11.0,1.0,8.0,7.0,,,,,,1.0,,1.0,,3.0,1.0,1.0,,,1.0,,4.0,3.0,1.0,4.0,,2.0,2.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,1.0,,,,,2.0,2.0,,,,,,,
15,2292951,2022-11-06 12:00:00,"Stamford Bridge, London",40142.0,Home,Chelsea,Arsenal,0,1,L,0,0,0,0,,20.0,60.0,,2.0,19.0,19.0,1.0,2.0,4.0,1.0,1.0,145.0,11.0,1.0,5.0,,2.0,3.0,1.0,76.0,150.0,59.0,,5.0,1.0,13.0,1.0,1.0,,,15.0,13.0,,19.0,4.0,4.0,37.0,99.0,,,,0.0,87.0,19.0,1.0,,,,2.0,1.0,33.0,45.0,2.0,62.0,,11.0,18.0,1.0,,1.0,,150.0,,10.0,77.0,538.0,2.0,7.0,15.0,,9.0,243.0,35.0,2.0,14.0,1.0,5.0,3.0,1.0,17.0,332.0,51.0,,,91651,1.0,165.0,,8.0,,199.0,14.0,,1.0,10.0,15.0,59.0,,3.0,5.0,16.0,4.0,10.0,,,59.0,263.0,13.0,11.0,1.0,16.0,2.0,59.0,1.0,1.0,0.0,,6.0,1.0,,0.0,,,1.0,44.3,14.0,1.0,4.0,2.0,5.0,3.0,,27.0,4.0,1.0,360.0,9.0,,10.0,17.0,1.0,21.0,1.0,1.0,176.0,2.0,4.0,17.0,46.0,16.0,,14.0,24.0,3.0,4.0,12.0,,10.0,4.0,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2292965,2022-11-12 17:30:00,"St. James' Park, Newcastle",52264.0,Away,Chelsea,Newcastle United,0,1,L,0,0,0,0,,22.0,62.0,,,25.0,20.0,1.0,1.0,4.0,2.0,1.0,163.0,9.0,3.0,7.0,,2.0,5.0,2.0,108.0,134.0,49.0,,5.0,1.0,16.0,2.0,,,1.0,17.0,15.0,,20.0,3.0,2.0,46.0,151.0,,,,0.0,87.0,11.0,,,,1.0,2.0,2.0,50.0,70.0,3.0,84.0,2.0,14.0,9.0,1.0,,4.0,,134.0,,8.0,116.0,668.0,3.0,4.0,7.0,,13.0,376.0,30.0,2.0,10.0,,2.0,4.0,2.0,20.0,447.0,45.0,,1.0,91651,4.0,248.0,,8.0,,277.0,8.0,,,2.0,6.0,52.0,,,8.0,16.0,2.0,5.0,,,53.0,396.0,13.0,3.0,2.0,16.0,2.0,61.0,1.0,,0.0,2.0,5.0,2.0,,0.0,1.0,,2.0,51.1,16.0,2.0,3.0,,8.0,1.0,,37.0,3.0,2.0,471.0,13.0,,15.0,27.0,2.0,20.0,2.0,2.0,211.0,2.0,1.0,6.0,66.0,19.0,1.0,10.0,23.0,3.0,5.0,15.0,1.0,2.0,3.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2292973,2022-12-27 17:30:00,"Stamford Bridge, London",40046.0,Home,Chelsea,Bournemouth,2,0,W,2,0,0,0,1.0,19.0,63.0,1.0,2.0,31.0,24.0,4.0,4.0,11.0,4.0,3.0,179.0,15.0,3.0,6.0,2.0,3.0,14.0,5.0,145.0,114.0,41.0,,15.0,1.0,11.0,2.0,,,1.0,16.0,10.0,1.0,24.0,4.0,6.0,39.0,188.0,1.0,1.0,,0.0,125.0,8.0,,,1.0,1.0,1.0,,54.0,73.0,8.0,82.0,,13.0,10.0,4.0,,1.0,1.0,114.0,2.0,4.0,157.0,740.0,11.0,3.0,29.0,,6.0,481.0,27.0,,12.0,,0.0,1.0,6.0,11.0,544.0,38.0,,1.0,86129,6.0,312.0,1.0,11.0,1.0,344.0,6.0,1.0,1.0,4.0,6.0,44.0,,3.0,5.0,14.0,5.0,5.0,2.0,,52.0,497.0,10.0,8.0,1.0,12.0,2.0,47.0,1.0,,0.0,,8.0,1.0,1.0,0.0,3.0,1.0,2.0,60.3,10.0,2.0,8.0,,5.0,3.0,,33.0,6.0,,563.0,6.0,,8.0,26.0,7.0,28.0,1.0,6.0,235.0,9.0,6.0,8.0,102.0,22.0,4.0,12.0,17.0,12.0,4.0,15.0,4.0,4.0,6.0,,,,,,2.0,3.0,2.0,,2.0,1.0,2.0,,,2.0,1.0,,,2.0,,,,3.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
18,2292986,2023-01-01 16:30:00,"The City Ground, Nottingham",29229.0,Away,Chelsea,Nottingham Forest,1,1,D,1,0,0,0,1.0,21.0,48.0,,2.0,20.0,18.0,1.0,2.0,6.0,4.0,1.0,182.0,12.0,2.0,7.0,1.0,3.0,5.0,2.0,216.0,119.0,46.0,,7.0,1.0,6.0,1.0,,1.0,1.0,10.0,9.0,,18.0,2.0,5.0,31.0,281.0,,,,0.0,112.0,14.0,3.0,,,,2.0,2.0,70.0,93.0,3.0,107.0,,8.0,13.0,1.0,,2.0,,119.0,1.0,8.0,192.0,867.0,5.0,,17.0,,3.0,600.0,19.0,4.0,8.0,,2.0,3.0,2.0,20.0,673.0,56.0,,,91651,2.0,344.0,1.0,4.0,1.0,365.0,8.0,1.0,,6.0,6.0,41.0,2.0,2.0,7.0,17.0,4.0,5.0,,,42.0,623.0,16.0,3.0,,11.0,,67.0,,,0.0,,1.0,3.0,1.0,0.0,2.0,1.0,1.0,72.3,20.0,1.0,1.0,1.0,7.0,3.0,,47.0,2.0,2.0,697.0,3.0,,7.0,15.0,2.0,22.0,,2.0,342.0,4.0,5.0,7.0,79.0,21.0,2.0,8.0,16.0,6.0,5.0,18.0,2.0,6.0,2.0,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,1.0,2.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
19,2292993,2023-01-05 20:00:00,"Stamford Bridge, London",39998.0,Home,Chelsea,Manchester City,0,1,L,0,0,0,0,,25.0,67.0,,2.0,14.0,14.0,2.0,1.0,6.0,2.0,1.0,168.0,11.0,3.0,10.0,,1.0,7.0,2.0,154.0,133.0,55.0,,8.0,1.0,12.0,2.0,,,1.0,16.0,11.0,,14.0,3.0,4.0,27.0,182.0,1.0,,,0.0,129.0,9.0,1.0,,,1.0,2.0,2.0,41.0,64.0,4.0,75.0,2.0,13.0,12.0,2.0,,2.0,1.0,133.0,,7.0,156.0,730.0,7.0,6.0,13.0,1.0,13.0,458.0,35.0,,6.0,,2.0,3.0,3.0,16.0,535.0,38.0,,,91651,3.0,292.0,,9.0,,327.0,4.0,,1.0,1.0,7.0,47.0,,2.0,6.0,13.0,5.0,6.0,,,36.0,471.0,9.0,7.0,,8.0,1.0,49.0,,,0.0,1.0,2.0,,,0.0,3.0,1.0,1.0,47.7,14.0,,7.0,2.0,7.0,3.0,,29.0,3.0,2.0,553.0,13.0,,12.0,14.0,3.0,23.0,,2.0,242.0,6.0,3.0,8.0,98.0,16.0,,6.0,28.0,7.0,5.0,17.0,,1.0,3.0,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,2.0,1.0,2.0,2.0,,2.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,2293003,2023-01-15 14:00:00,"Stamford Bridge, London",40075.0,Home,Chelsea,Crystal Palace,1,0,W,0,0,0,0,,16.0,55.0,1.0,4.0,27.0,23.0,2.0,6.0,13.0,5.0,2.0,212.0,7.0,8.0,9.0,1.0,4.0,8.0,5.0,140.0,155.0,90.0,,15.0,1.0,16.0,4.0,1.0,1.0,2.0,28.0,18.0,,23.0,7.0,8.0,25.0,256.0,,1.0,,0.0,170.0,10.0,3.0,,,1.0,,,85.0,85.0,5.0,85.0,1.0,21.0,24.0,2.0,,3.0,1.0,155.0,3.0,5.0,142.0,816.0,6.0,3.0,34.0,,7.0,463.0,28.0,7.0,18.0,1.0,2.0,3.0,3.0,14.0,549.0,58.0,,,91651,7.0,242.0,4.0,18.0,2.0,269.0,7.0,,2.0,14.0,7.0,62.0,1.0,3.0,4.0,18.0,5.0,4.0,1.0,,46.0,490.0,17.0,12.0,1.0,16.0,4.0,73.0,1.0,1.0,0.0,,7.0,3.0,1.0,0.0,6.0,1.0,4.0,62.5,13.0,3.0,6.0,1.0,4.0,5.0,,55.0,11.0,,579.0,7.0,,15.0,15.0,5.0,40.0,2.0,4.0,338.0,5.0,7.0,31.0,124.0,17.0,2.0,18.0,33.0,9.0,4.0,18.0,2.0,14.0,11.0,,,1.0,,,1.0,3.0,,,2.0,,1.0,1.0,,,,,1.0,1.0,,,2.0,2.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,2293016,2023-01-21 12:30:00,"Anfield, Liverpool",53126.0,Away,Chelsea,Liverpool,0,0,D,0,0,0,0,,19.0,67.0,,2.0,16.0,32.0,2.0,6.0,9.0,3.0,1.0,182.0,12.0,5.0,5.0,,2.0,11.0,2.0,162.0,151.0,60.0,,11.0,1.0,12.0,1.0,1.0,2.0,3.0,15.0,8.0,1.0,32.0,2.0,6.0,58.0,132.0,,1.0,,0.0,108.0,9.0,2.0,,,,3.0,1.0,59.0,47.0,4.0,67.0,3.0,13.0,26.0,2.0,,5.0,,151.0,4.0,10.0,129.0,776.0,8.0,,25.0,1.0,18.0,410.0,26.0,2.0,17.0,1.0,1.0,6.0,6.0,20.0,509.0,46.0,1.0,2.0,86129,3.0,310.0,4.0,5.0,2.0,351.0,8.0,,,13.0,9.0,48.0,1.0,1.0,7.0,14.0,5.0,8.0,1.0,,42.0,437.0,16.0,9.0,2.0,8.0,1.0,55.0,,2.0,0.0,1.0,5.0,2.0,,0.0,4.0,,1.0,52.5,16.0,,4.0,2.0,7.0,3.0,,27.0,5.0,1.0,540.0,18.0,,13.0,25.0,6.0,29.0,1.0,5.0,204.0,3.0,3.0,18.0,69.0,29.0,2.0,17.0,21.0,8.0,4.0,10.0,2.0,13.0,5.0,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
22,2293023,2023-02-03 20:00:00,"Stamford Bridge, London",40041.0,Home,Chelsea,Fulham,0,0,D,0,0,0,0,,30.0,75.0,,1.0,38.0,14.0,4.0,3.0,8.0,4.0,1.0,202.0,13.0,2.0,7.0,,1.0,9.0,3.0,201.0,153.0,56.0,,12.0,1.0,12.0,3.0,,1.0,1.0,16.0,13.0,,14.0,6.0,5.0,33.0,200.0,1.0,1.0,,0.0,134.0,16.0,2.0,,,,,,57.0,86.0,5.0,85.0,,10.0,15.0,4.0,,7.0,3.0,153.0,1.0,5.0,174.0,874.0,7.0,4.0,21.0,1.0,9.0,549.0,30.0,3.0,8.0,,1.0,3.0,4.0,20.0,643.0,69.0,1.0,,86129,3.0,370.0,2.0,3.0,,406.0,9.0,,,11.0,6.0,60.0,1.0,3.0,8.0,21.0,5.0,6.0,,,54.0,568.0,12.0,14.0,2.0,9.0,2.0,71.0,1.0,,0.0,,2.0,2.0,,0.0,,,2.0,66.9,18.0,1.0,4.0,2.0,8.0,2.0,,55.0,6.0,,662.0,9.0,,12.0,21.0,7.0,26.0,2.0,3.0,272.0,7.0,4.0,13.0,98.0,33.0,4.0,8.0,24.0,10.0,5.0,14.0,4.0,11.0,6.0,,1.0,,,,2.0,3.0,,,4.0,,,,,,1.0,,2.0,,,,1.0,2.0,,2.0,2.0,,2.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
23,2293039,2023-02-11 12:30:00,"London Stadium, London",62471.0,Away,Chelsea,West Ham United,1,1,D,1,1,0,0,1.0,13.0,46.0,,2.0,21.0,17.0,6.0,4.0,6.0,1.0,2.0,156.0,8.0,4.0,13.0,1.0,3.0,7.0,4.0,196.0,123.0,61.0,2.0,12.0,2.0,15.0,1.0,1.0,,1.0,21.0,17.0,2.0,17.0,6.0,5.0,31.0,308.0,,,,0.0,164.0,11.0,,,1.0,1.0,1.0,1.0,45.0,107.0,5.0,93.0,2.0,15.0,14.0,6.0,2.0,3.0,2.0,123.0,1.0,8.0,215.0,847.0,4.0,2.0,26.0,,7.0,581.0,23.0,2.0,13.0,1.0,1.0,3.0,2.0,15.0,643.0,56.0,1.0,,520295,5.0,293.0,,11.0,,318.0,8.0,1.0,2.0,5.0,6.0,56.0,2.0,4.0,4.0,13.0,2.0,5.0,1.0,,35.0,597.0,9.0,7.0,2.0,9.0,2.0,55.0,2.0,1.0,0.0,3.0,5.0,1.0,1.0,0.0,2.0,1.0,3.0,71.8,15.0,2.0,4.0,,4.0,4.0,,46.0,6.0,1.0,660.0,7.0,,14.0,22.0,4.0,33.0,2.0,2.0,363.0,5.0,4.0,18.0,132.0,15.0,3.0,13.0,21.0,8.0,4.0,22.0,3.0,5.0,6.0,,,,,,1.0,1.0,1.0,,2.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,
24,2293043,2023-02-18 15:00:00,"Stamford Bridge, London",40152.0,Home,Chelsea,Southampton,0,1,L,0,1,0,0,,19.0,57.0,,3.0,27.0,5.0,6.0,3.0,10.0,3.0,4.0,167.0,9.0,2.0,17.0,,6.0,12.0,5.0,128.0,144.0,72.0,1.0,17.0,4.0,12.0,3.0,,2.0,3.0,20.0,13.0,2.0,5.0,6.0,5.0,38.0,170.0,,,,0.0,120.0,16.0,,,,2.0,3.0,,72.0,62.0,8.0,65.0,,14.0,23.0,7.0,1.0,4.0,1.0,144.0,2.0,4.0,144.0,734.0,12.0,3.0,32.0,1.0,8.0,402.0,27.0,2.0,2.0,,3.0,1.0,4.0,30.0,472.0,49.0,1.0,,91651,4.0,265.0,2.0,7.0,,286.0,9.0,,,13.0,6.0,67.0,1.0,3.0,5.0,17.0,4.0,6.0,,,40.0,433.0,25.0,9.0,,6.0,4.0,68.0,,,0.0,3.0,2.0,3.0,,0.0,2.0,1.0,2.0,61.3,29.0,1.0,9.0,,5.0,7.0,1.0,51.0,8.0,,504.0,8.0,,12.0,23.0,5.0,35.0,,4.0,238.0,12.0,4.0,13.0,86.0,15.0,,2.0,17.0,12.0,6.0,36.0,,13.0,8.0,1.0,,,,,,2.0,,,2.0,,,,,,1.0,1.0,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
25,2293058,2023-02-26 13:30:00,"Tottenham Hotspur Stadium, London",61613.0,Away,Chelsea,Tottenham Hotspur,0,2,L,0,0,0,0,,18.0,61.0,,,27.0,23.0,9.0,3.0,1.0,1.0,,169.0,8.0,,10.0,,1.0,7.0,2.0,157.0,124.0,50.0,,10.0,3.0,17.0,1.0,2.0,1.0,2.0,16.0,15.0,1.0,23.0,4.0,7.0,39.0,355.0,1.0,,,0.0,192.0,10.0,,,,,1.0,,137.0,87.0,5.0,88.0,1.0,12.0,27.0,9.0,,5.0,5.0,124.0,,4.0,182.0,800.0,7.0,2.0,18.0,1.0,12.0,517.0,27.0,,8.0,2.0,3.0,1.0,2.0,19.0,580.0,62.0,1.0,,86129,1.0,177.0,,6.0,,194.0,4.0,,,16.0,4.0,65.0,5.0,2.0,4.0,11.0,4.0,3.0,,,42.0,532.0,10.0,11.0,,5.0,1.0,46.0,,1.0,0.0,1.0,4.0,1.0,,0.0,,,1.0,58.8,17.0,,4.0,,4.0,3.0,,40.0,4.0,,596.0,12.0,,15.0,23.0,5.0,26.0,,,418.0,6.0,7.0,11.0,159.0,25.0,1.0,8.0,19.0,9.0,5.0,23.0,1.0,16.0,4.0,1.0,,,,,,,,,1.0,1.0,,,,,,2.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
26,2293064,2023-03-04 15:00:00,"Stamford Bridge, London",39905.0,Home,Chelsea,Leeds United,1,0,W,0,0,0,0,,22.0,67.0,,2.0,26.0,13.0,4.0,5.0,9.0,2.0,2.0,159.0,14.0,5.0,11.0,1.0,2.0,10.0,3.0,166.0,136.0,58.0,1.0,13.0,,16.0,1.0,,,1.0,19.0,17.0,1.0,13.0,5.0,8.0,41.0,270.0,1.0,1.0,,0.0,145.0,11.0,1.0,1.0,,1.0,1.0,,71.0,88.0,4.0,86.0,2.0,14.0,22.0,4.0,1.0,4.0,3.0,136.0,3.0,9.0,168.0,787.0,8.0,1.0,23.0,,12.0,494.0,26.0,2.0,7.0,,2.0,3.0,6.0,14.0,561.0,70.0,2.0,,91651,6.0,242.0,3.0,9.0,,260.0,9.0,,,13.0,10.0,61.0,3.0,2.0,4.0,20.0,2.0,7.0,3.0,,46.0,507.0,7.0,11.0,1.0,10.0,2.0,65.0,,,0.0,2.0,7.0,2.0,1.0,0.0,2.0,,3.0,57.2,11.0,2.0,8.0,,4.0,2.0,,49.0,5.0,,579.0,12.0,1.0,7.0,19.0,8.0,33.0,3.0,4.0,338.0,5.0,7.0,14.0,112.0,27.0,2.0,7.0,26.0,10.0,5.0,27.0,2.0,13.0,5.0,,,1.0,1.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,2.0,2.0,,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,
