gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowRight,attLfGoal,attRfTarget,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attIboxPost,attGoalHighRight,attOneOnOne,attOboxGoal,midfielderGoals,attPostLeft,attHdPost,hitWoodwork,attMissHighLeft,totalKeeperSweeper,accurateThroughBall,sixYardBlock,attSetpiece,attRfGoal,ownGoals,totalThroughBall,goalsOpenplay,attMissHigh,attAssistSetplay,attSvLowRight,attCmissLeft,goalsConceded,shieldBallOop,attHdMiss,effectiveBlockedCross,attIboxOwnGoal,goalsConcededIbox,blockedCross,attGoalLowLeft,shotFastbreak,totalFastbreak,contentiousDecision,errorLeadToShot,defenderGoals,attFastbreak,punches,attOboxTarget,ptsGainedLosingPos,goodHighClaim,attObxdLeft,attSvHighCentre,errorLeadToGoal,goalsConcededObox,attSvHighRight,attGoalHighCentre,attFreekickTarget,savedObox,attHdTarget,attCmissHighLeft,attCmissHigh,goalAssistDeadball,attGoalHighLeft,penaltyConceded,penaltyFaced,penGoalsConceded,goalFastbreak,penaltyWon,attPenGoal,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attSvHighLeft,expectedAssists,expectedGoalsFreekick,expectedGoals,clearanceOffLine,ptsDroppedWinningPos,foulThrowIn,attPostHigh,attOboxPost,attPostRight,attCmissHighRight,attObxLeft,subsGoals,attLgCentre,attPenMiss
11,2292913,2022-10-16 14:00:00,"Elland Road, Leeds",36700,Away,Arsenal,Leeds United,1,0,W,1,0,0,0,2.0,2.0,,16.0,66.0,2.0,,29.0,17.0,3.0,4.0,6.0,4.0,167.0,,8.0,2.0,16.0,1.0,2.0,7.0,,1.0,4.0,128.0,138.0,53.0,1.0,9.0,1.0,13.0,1.0,,,8.0,10.0,17.0,3.0,5.0,25.0,159.0,,1.0,0.0,93.0,11.0,2.0,,,47.0,61.0,5.0,77.0,2.0,1.0,5.0,18.0,3.0,1.0,2.0,,138.0,1.0,9.0,128.0,702.0,4.0,1.0,15.0,12.0,399.0,30.0,4.0,8.0,1.0,2.0,7.0,2.0,21.0,476.0,47.0,,84450,1.0,258.0,1.0,3.0,288.0,3.0,1.0,9.0,8.0,53.0,,5.0,16.0,7.0,3.0,66.0,415.0,10.0,6.0,26.0,2.0,81.0,0.0,,6.0,3.0,1.0,,0.0,,1.0,1.0,53.0,15.0,2.0,2.0,5.0,3.0,53.0,3.0,1.0,500.0,12.0,,11.0,12.0,2.0,17.0,2.0,2.0,220.0,4.0,5.0,10.0,57.0,25.0,1.0,8.0,17.0,,6.0,4.0,30.0,9.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,,,,,3.0,,,3.0,,,,1.0,1.0,,,2.0,2.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0387,1.2964,1.0,0.562874,0.006334,0.5496,,,,,,,,,,,
12,2292921,2023-02-15 19:30:00,"Emirates Stadium, London",60276,Home,Arsenal,Manchester City,1,3,L,1,1,0,0,1.0,,1.0,23.0,55.0,2.0,,25.0,7.0,3.0,5.0,7.0,2.0,173.0,,12.0,4.0,6.0,1.0,3.0,7.0,,,1.0,140.0,137.0,43.0,,10.0,3.0,14.0,,1.0,1.0,17.0,5.0,7.0,1.0,6.0,37.0,179.0,,,0.0,129.0,11.0,,,2.0,53.0,62.0,5.0,68.0,1.0,1.0,16.0,12.0,3.0,,5.0,,137.0,2.0,8.0,143.0,684.0,7.0,3.0,22.0,8.0,416.0,18.0,5.0,2.0,,2.0,2.0,2.0,21.0,502.0,51.0,,85955,4.0,260.0,2.0,9.0,290.0,4.0,,4.0,3.0,50.0,,7.0,15.0,1.0,1.0,53.0,435.0,13.0,9.0,15.0,1.0,62.0,0.0,2.0,3.0,3.0,1.0,3.0,0.0,3.0,,2.0,63.5,20.0,3.0,2.0,7.0,5.0,35.0,1.0,,524.0,8.0,,10.0,19.0,4.0,27.0,1.0,4.0,251.0,3.0,5.0,11.0,92.0,26.0,1.0,2.0,13.0,,8.0,3.0,13.0,4.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,4.0,,2.0,,,,3.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
13,2292936,2022-10-23 14:00:00,"St. Mary's Stadium, Southampton",31145,Away,Arsenal,Southampton,1,1,D,1,0,0,0,1.0,1.0,1.0,19.0,61.0,2.0,,19.0,25.0,5.0,6.0,7.0,2.0,175.0,,7.0,3.0,3.0,1.0,2.0,10.0,,1.0,3.0,141.0,124.0,40.0,,12.0,3.0,11.0,2.0,1.0,2.0,12.0,9.0,25.0,3.0,5.0,25.0,250.0,,,0.0,160.0,8.0,,,,64.0,62.0,7.0,83.0,,1.0,9.0,13.0,5.0,,3.0,2.0,124.0,3.0,5.0,142.0,719.0,8.0,,25.0,7.0,447.0,23.0,1.0,17.0,1.0,1.0,4.0,3.0,21.0,521.0,92.0,,84450,4.0,219.0,2.0,6.0,232.0,3.0,,13.0,2.0,41.0,3.0,5.0,15.0,5.0,2.0,42.0,466.0,10.0,3.0,14.0,1.0,68.0,0.0,,9.0,1.0,1.0,,0.0,3.0,1.0,1.0,59.3,20.0,5.0,1.0,5.0,5.0,48.0,4.0,,541.0,7.0,,13.0,15.0,4.0,24.0,,2.0,321.0,5.0,5.0,11.0,116.0,28.0,,17.0,16.0,,10.0,3.0,11.0,4.0,4.0,,,1.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,3.0,,1.0,3.0,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
14,2292941,2022-10-30 14:00:00,"Emirates Stadium, London",60263,Home,Arsenal,Nottingham Forest,5,0,W,1,0,0,0,,3.0,2.0,21.0,59.0,5.0,,15.0,11.0,6.0,10.0,18.0,2.0,178.0,,11.0,6.0,1.0,5.0,2.0,21.0,1.0,,10.0,175.0,125.0,32.0,1.0,24.0,4.0,13.0,5.0,2.0,2.0,23.0,9.0,11.0,7.0,4.0,32.0,338.0,1.0,1.0,0.0,230.0,9.0,,,1.0,69.0,83.0,17.0,99.0,1.0,,16.0,16.0,6.0,1.0,5.0,1.0,125.0,3.0,2.0,166.0,801.0,15.0,2.0,59.0,7.0,537.0,26.0,1.0,6.0,4.0,0.0,1.0,4.0,18.0,603.0,60.0,1.0,84450,13.0,219.0,3.0,10.0,235.0,4.0,1.0,16.0,4.0,51.0,1.0,7.0,13.0,3.0,3.0,32.0,551.0,7.0,4.0,10.0,4.0,56.0,0.0,,4.0,,4.0,2.0,0.0,5.0,4.0,4.0,69.1,16.0,6.0,1.0,7.0,9.0,48.0,9.0,1.0,618.0,7.0,,19.0,19.0,5.0,49.0,1.0,4.0,406.0,10.0,4.0,10.0,189.0,19.0,1.0,6.0,14.0,1.0,18.0,5.0,7.0,6.0,9.0,1.0,1.0,1.0,,,4.0,2.0,,1.0,,1.0,2.0,,,,1.0,,1.0,,1.0,3.0,,3.0,5.0,1.0,2.0,3.0,2.0,,1.0,1.0,,,,,1.0,,,,3.0,,,,,,1.0,,,,,,,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
15,2292951,2022-11-06 12:00:00,"Stamford Bridge, London",40142,Away,Arsenal,Chelsea,1,0,W,0,0,0,0,,,1.0,20.0,73.0,1.0,1.0,31.0,22.0,4.0,4.0,10.0,1.0,177.0,,9.0,4.0,11.0,1.0,6.0,9.0,,,2.0,114.0,152.0,59.0,,14.0,2.0,17.0,1.0,2.0,2.0,22.0,10.0,22.0,5.0,4.0,45.0,183.0,1.0,1.0,0.0,150.0,13.0,1.0,,4.0,64.0,41.0,3.0,56.0,1.0,3.0,17.0,17.0,4.0,,4.0,2.0,152.0,2.0,4.0,105.0,666.0,8.0,1.0,29.0,9.0,351.0,29.0,4.0,15.0,1.0,2.0,3.0,6.0,16.0,427.0,62.0,,84450,4.0,192.0,2.0,9.0,212.0,7.0,,7.0,5.0,59.0,,4.0,20.0,1.0,4.0,58.0,371.0,18.0,5.0,18.0,3.0,65.0,0.0,1.0,4.0,1.0,1.0,,0.0,3.0,1.0,3.0,55.7,9.0,11.0,1.0,4.0,3.0,39.0,6.0,,452.0,9.0,,17.0,24.0,9.0,40.0,1.0,7.0,262.0,7.0,4.0,13.0,108.0,29.0,,15.0,17.0,,10.0,3.0,18.0,7.0,6.0,,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,2.0,,1.0,1.0,,,3.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
16,2292969,2022-11-12 19:45:00,"Molineux Stadium, Wolverhampton",34624,Away,Arsenal,Wolverhampton Wanderers,2,0,W,0,0,0,0,,,1.0,22.0,54.0,2.0,,27.0,8.0,3.0,3.0,11.0,2.0,163.0,1.0,14.0,5.0,9.0,2.0,1.0,9.0,,,4.0,160.0,120.0,33.0,,14.0,1.0,20.0,2.0,1.0,4.0,23.0,5.0,8.0,4.0,6.0,26.0,315.0,,1.0,0.0,166.0,6.0,,1.0,1.0,70.0,133.0,4.0,85.0,1.0,2.0,19.0,8.0,3.0,,9.0,2.0,120.0,1.0,6.0,171.0,740.0,7.0,4.0,23.0,7.0,506.0,20.0,,5.0,1.0,2.0,3.0,5.0,12.0,565.0,89.0,,84450,7.0,207.0,1.0,9.0,221.0,2.0,1.0,5.0,6.0,52.0,1.0,7.0,16.0,5.0,3.0,45.0,517.0,5.0,9.0,7.0,2.0,69.0,0.0,1.0,6.0,1.0,2.0,1.0,0.0,3.0,1.0,4.0,62.6,8.0,3.0,2.0,7.0,3.0,52.0,4.0,1.0,579.0,7.0,,6.0,13.0,7.0,33.0,2.0,4.0,381.0,7.0,6.0,9.0,130.0,24.0,,5.0,10.0,,12.0,4.0,20.0,5.0,4.0,,1.0,1.0,1.0,,1.0,,1.0,,,,2.0,,,1.0,,,2.0,,,1.0,,2.0,2.0,,1.0,1.0,1.0,,1.0,3.0,2.0,,,2.0,1.0,,,,2.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
17,2292970,2022-12-26 20:00:00,"Emirates Stadium, London",60125,Home,Arsenal,West Ham United,3,1,W,0,1,0,0,,,2.0,22.0,65.0,2.0,,25.0,13.0,8.0,9.0,8.0,3.0,184.0,,14.0,4.0,6.0,3.0,5.0,14.0,,2.0,5.0,204.0,120.0,53.0,1.0,16.0,3.0,16.0,1.0,2.0,1.0,25.0,10.0,13.0,6.0,3.0,39.0,314.0,,,0.0,221.0,13.0,1.0,1.0,3.0,59.0,56.0,9.0,70.0,,4.0,19.0,13.0,8.0,1.0,6.0,4.0,120.0,3.0,4.0,199.0,827.0,9.0,1.0,35.0,4.0,569.0,21.0,3.0,8.0,3.0,0.0,,5.0,10.0,636.0,66.0,1.0,84450,2.0,278.0,1.0,10.0,290.0,8.0,2.0,7.0,5.0,42.0,3.0,4.0,12.0,4.0,4.0,47.0,588.0,17.0,,7.0,2.0,60.0,0.0,1.0,5.0,1.0,3.0,1.0,0.0,3.0,2.0,2.0,66.5,10.0,11.0,1.0,4.0,5.0,43.0,7.0,,657.0,4.0,,7.0,17.0,6.0,47.0,1.0,2.0,392.0,5.0,3.0,15.0,174.0,29.0,3.0,8.0,15.0,,12.0,3.0,13.0,7.0,7.0,,2.0,1.0,,2.0,3.0,,,,1.0,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,,4.0,3.0,,2.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,,,1.0,,1.0,3.0,,,1.0,,,,,,2.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
18,2292981,2022-12-31 17:30:00,"American Express Stadium, Falmer",31647,Away,Arsenal,Brighton and Hove Albion,4,2,W,2,0,0,0,1.0,3.0,3.0,22.0,50.0,4.0,,20.0,24.0,,6.0,14.0,3.0,130.0,2.0,12.0,1.0,5.0,4.0,,8.0,,2.0,7.0,53.0,108.0,38.0,,14.0,,12.0,3.0,,,6.0,9.0,24.0,3.0,1.0,35.0,111.0,,,0.0,100.0,11.0,2.0,1.0,1.0,53.0,32.0,6.0,51.0,,2.0,3.0,14.0,,,,,108.0,2.0,7.0,54.0,441.0,5.0,3.0,29.0,9.0,197.0,19.0,6.0,7.0,1.0,3.0,2.0,2.0,13.0,263.0,50.0,1.0,84450,10.0,99.0,2.0,2.0,119.0,9.0,,3.0,8.0,30.0,,3.0,14.0,2.0,3.0,55.0,209.0,6.0,,18.0,2.0,53.0,0.0,1.0,7.0,2.0,4.0,,0.0,1.0,1.0,1.0,32.2,12.0,5.0,2.0,3.0,4.0,19.0,4.0,2.0,288.0,9.0,,3.0,13.0,3.0,15.0,,3.0,175.0,7.0,1.0,8.0,62.0,20.0,3.0,7.0,19.0,,9.0,4.0,10.0,3.0,4.0,1.0,2.0,,,,1.0,2.0,,,,,1.0,,,,1.0,,2.0,,2.0,2.0,,3.0,3.0,,2.0,,,2.0,,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,2.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
19,2292990,2023-01-03 19:45:00,"Emirates Stadium, London",60319,Home,Arsenal,Newcastle United,0,0,D,0,0,0,0,,2.0,,20.0,54.0,3.0,,25.0,17.0,6.0,8.0,11.0,1.0,146.0,,11.0,3.0,2.0,,2.0,14.0,,2.0,4.0,171.0,127.0,43.0,,17.0,2.0,16.0,3.0,,2.0,16.0,8.0,17.0,5.0,6.0,37.0,275.0,,1.0,0.0,188.0,10.0,1.0,,2.0,79.0,61.0,8.0,62.0,,3.0,11.0,21.0,6.0,,3.0,3.0,127.0,,5.0,157.0,703.0,11.0,4.0,42.0,3.0,437.0,15.0,,7.0,,4.0,2.0,6.0,13.0,511.0,75.0,1.0,84450,4.0,188.0,,6.0,207.0,4.0,2.0,7.0,6.0,55.0,1.0,5.0,10.0,3.0,5.0,40.0,460.0,16.0,6.0,4.0,2.0,54.0,0.0,2.0,5.0,,,2.0,0.0,2.0,,3.0,66.8,12.0,4.0,4.0,6.0,5.0,38.0,5.0,,536.0,3.0,,13.0,18.0,8.0,30.0,1.0,5.0,345.0,6.0,6.0,12.0,145.0,29.0,,7.0,13.0,,12.0,1.0,12.0,7.0,5.0,,,1.0,,1.0,,3.0,,,,,,,,,1.0,1.0,1.0,,3.0,,,2.0,,2.0,3.0,1.0,2.0,,1.0,2.0,5.0,,,5.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2293008,2023-01-15 16:30:00,"Tottenham Hotspur Stadium, London",61870,Away,Arsenal,Tottenham Hotspur,2,0,W,2,0,0,0,2.0,2.0,,17.0,59.0,3.0,,18.0,29.0,6.0,6.0,8.0,7.0,146.0,,7.0,2.0,6.0,2.0,7.0,10.0,,,5.0,123.0,118.0,48.0,2.0,14.0,1.0,22.0,3.0,2.0,1.0,11.0,8.0,29.0,3.0,3.0,20.0,238.0,,1.0,0.0,175.0,15.0,3.0,,2.0,48.0,75.0,7.0,70.0,1.0,1.0,8.0,16.0,6.0,2.0,3.0,2.0,118.0,2.0,13.0,117.0,654.0,7.0,3.0,26.0,6.0,373.0,23.0,,18.0,1.0,2.0,6.0,3.0,19.0,435.0,74.0,,84450,3.0,148.0,2.0,3.0,163.0,6.0,,10.0,3.0,58.0,2.0,6.0,14.0,4.0,1.0,44.0,384.0,16.0,7.0,12.0,,58.0,0.0,1.0,4.0,6.0,1.0,1.0,0.0,2.0,,2.0,49.4,16.0,7.0,2.0,6.0,4.0,35.0,3.0,2.0,456.0,6.0,1.0,7.0,12.0,5.0,28.0,,2.0,304.0,6.0,3.0,13.0,131.0,19.0,,18.0,13.0,,10.0,4.0,16.0,10.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,1.0,1.0,,,1.0,,1.0,2.0,1.0,2.0,,,4.0,1.0,2.0,2.0,1.0,,,,1.0,2.0,,,2.0,,2.0,3.0,,,,2.0,1.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,
21,2293011,2023-01-22 16:30:00,"Emirates Stadium, London",60325,Home,Arsenal,Manchester United,3,2,W,1,1,0,0,,2.0,2.0,22.0,66.0,11.0,1.0,19.0,10.0,5.0,14.0,20.0,2.0,163.0,,10.0,5.0,11.0,3.0,1.0,17.0,,,5.0,136.0,153.0,52.0,,25.0,2.0,16.0,2.0,4.0,1.0,22.0,14.0,10.0,9.0,3.0,26.0,239.0,2.0,,0.0,185.0,8.0,2.0,,1.0,55.0,79.0,11.0,79.0,,4.0,13.0,21.0,5.0,,1.0,2.0,153.0,2.0,3.0,142.0,712.0,13.0,1.0,64.0,9.0,406.0,35.0,4.0,3.0,2.0,1.0,2.0,6.0,11.0,500.0,49.0,,84450,12.0,189.0,1.0,11.0,222.0,3.0,,9.0,2.0,51.0,1.0,1.0,14.0,3.0,2.0,40.0,423.0,9.0,7.0,17.0,5.0,48.0,0.0,,4.0,1.0,2.0,,0.0,3.0,1.0,3.0,57.2,8.0,5.0,,1.0,13.0,27.0,12.0,1.0,520.0,9.0,,13.0,12.0,7.0,34.0,2.0,5.0,320.0,8.0,3.0,11.0,139.0,24.0,3.0,3.0,21.0,1.0,19.0,3.0,19.0,9.0,12.0,2.0,1.0,,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,2.0,2.0,,2.0,1.0,1.0,2.0,2.0,1.0,,,1.0,,1.0,,,1.0,,,,,,3.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
22,2293024,2023-02-04 12:30:00,"Goodison Park, Liverpool",39314,Away,Arsenal,Everton,0,1,L,0,0,0,0,1.0,1.0,,22.0,63.0,5.0,,33.0,12.0,3.0,8.0,12.0,3.0,181.0,,9.0,2.0,12.0,,2.0,13.0,,,3.0,187.0,140.0,50.0,,15.0,,17.0,2.0,5.0,,16.0,11.0,12.0,4.0,5.0,31.0,286.0,3.0,,0.0,178.0,8.0,,1.0,1.0,81.0,81.0,7.0,86.0,,,13.0,15.0,3.0,,2.0,2.0,140.0,,7.0,185.0,823.0,11.0,,39.0,2.0,530.0,28.0,2.0,8.0,,1.0,3.0,6.0,23.0,612.0,65.0,1.0,85955,3.0,269.0,,10.0,303.0,5.0,2.0,3.0,7.0,49.0,,7.0,18.0,5.0,5.0,56.0,553.0,12.0,7.0,12.0,3.0,64.0,0.0,1.0,7.0,1.0,,,0.0,2.0,,,70.5,22.0,7.0,3.0,9.0,5.0,50.0,5.0,2.0,639.0,2.0,,9.0,18.0,7.0,31.0,1.0,5.0,352.0,7.0,2.0,12.0,141.0,18.0,,8.0,14.0,,11.0,4.0,21.0,3.0,5.0,,,2.0,,,,1.0,,,,,,,,,4.0,,,,1.0,,,1.0,,,2.0,1.0,,1.0,1.0,,6.0,,1.0,6.0,,,,,1.0,,,,1.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
23,2293031,2023-02-11 15:00:00,"Emirates Stadium, London",60254,Home,Arsenal,Brentford,1,1,D,0,0,0,0,,3.0,1.0,12.0,51.0,3.0,,14.0,16.0,9.0,14.0,13.0,1.0,196.0,,6.0,7.0,13.0,1.0,2.0,18.0,,1.0,7.0,178.0,133.0,45.0,,23.0,3.0,32.0,4.0,6.0,,36.0,6.0,16.0,4.0,6.0,21.0,381.0,3.0,,0.0,324.0,9.0,,2.0,2.0,87.0,87.0,12.0,78.0,1.0,3.0,32.0,18.0,10.0,,10.0,5.0,133.0,1.0,7.0,138.0,774.0,17.0,1.0,52.0,4.0,491.0,23.0,1.0,9.0,1.0,0.0,3.0,6.0,17.0,568.0,62.0,,85955,2.0,136.0,,20.0,157.0,3.0,1.0,6.0,8.0,58.0,1.0,5.0,9.0,2.0,8.0,32.0,510.0,9.0,5.0,9.0,1.0,41.0,0.0,,4.0,,1.0,1.0,0.0,6.0,1.0,1.0,69.2,15.0,4.0,2.0,5.0,6.0,22.0,7.0,,590.0,4.0,,8.0,9.0,10.0,55.0,1.0,5.0,469.0,8.0,6.0,13.0,277.0,18.0,,9.0,10.0,,22.0,2.0,17.0,6.0,7.0,,1.0,3.0,,,1.0,1.0,,,,,,,,,,,3.0,,,,,3.0,1.0,4.0,,3.0,,1.0,2.0,1.0,,,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,,
24,2293040,2023-02-18 12:30:00,"Villa Park, Birmingham",42066,Away,Arsenal,Aston Villa,4,2,W,1,2,0,0,1.0,1.0,1.0,21.0,46.0,3.0,1.0,25.0,6.0,8.0,8.0,12.0,3.0,187.0,1.0,9.0,6.0,10.0,4.0,6.0,14.0,,1.0,5.0,155.0,150.0,53.0,,20.0,4.0,12.0,1.0,2.0,2.0,30.0,10.0,6.0,3.0,5.0,33.0,285.0,,,0.0,213.0,4.0,2.0,,4.0,80.0,108.0,8.0,85.0,,1.0,27.0,30.0,8.0,,5.0,1.0,150.0,5.0,4.0,144.0,769.0,11.0,1.0,47.0,,469.0,19.0,,3.0,2.0,2.0,1.0,6.0,36.0,550.0,71.0,2.0,85955,6.0,210.0,4.0,18.0,227.0,2.0,1.0,5.0,2.0,50.0,2.0,4.0,11.0,3.0,2.0,41.0,489.0,12.0,11.0,1.0,5.0,50.0,0.0,1.0,2.0,2.0,3.0,,0.0,6.0,2.0,3.0,66.6,31.0,5.0,,4.0,7.0,34.0,9.0,,571.0,,,11.0,18.0,8.0,39.0,,5.0,374.0,9.0,4.0,13.0,166.0,17.0,1.0,3.0,18.0,,14.0,5.0,24.0,5.0,9.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,2.0,1.0,,2.0,3.0,1.0,1.0,,3.0,2.0,2.0,1.0,,,2.0,,2.0,2.0,,2.0,2.0,,1.0,2.0,,,1.0,1.0,,1.0,3.0,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,2.0,1.0,,,,1.0,,
25,2293055,2023-02-25 15:00:00,"King Power Stadium, Leicester",32227,Away,Arsenal,Leicester City,1,0,W,0,0,0,0,,1.0,1.0,21.0,62.0,2.0,,35.0,11.0,5.0,8.0,5.0,,186.0,,9.0,1.0,10.0,1.0,4.0,8.0,,,2.0,172.0,158.0,52.0,1.0,10.0,3.0,16.0,,2.0,,15.0,6.0,11.0,4.0,7.0,53.0,303.0,,1.0,0.0,240.0,9.0,,1.0,1.0,68.0,102.0,6.0,100.0,,,11.0,29.0,5.0,1.0,4.0,1.0,158.0,1.0,,155.0,766.0,7.0,5.0,28.0,6.0,484.0,24.0,3.0,4.0,1.0,1.0,,2.0,17.0,588.0,76.0,,85955,1.0,203.0,,6.0,228.0,5.0,1.0,10.0,5.0,49.0,4.0,5.0,15.0,1.0,4.0,58.0,505.0,13.0,12.0,9.0,1.0,68.0,0.0,1.0,,,1.0,1.0,0.0,,1.0,,65.9,13.0,9.0,1.0,5.0,5.0,43.0,8.0,,613.0,6.0,,9.0,30.0,3.0,38.0,1.0,2.0,400.0,2.0,7.0,18.0,183.0,24.0,1.0,4.0,11.0,,8.0,3.0,13.0,10.0,8.0,1.0,,,,,1.0,,,,,,,,,,2.0,,1.0,,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
