matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside,totalDistance
2444680,22,2025-01-18 17:30:00,"Emirates Stadium, London",60067,Home,Arsenal,Aston Villa,2,2,D,1,0,0,0,2.0,18.0,6.0,7.0,5.0,,,2.0,2.0,,1.0,,2.0,11.0,6.0,51.0,82.0,483.0,429.0,66.0,37.0,12.0,7.0,8.0,10.0,10.0,3.0,1.0,1.0,,6.0,7.0,125.0,2.0,2.0,,,,51.0,45.0,16.0,13.0,10.0,10.0,1.0,10.0,17.0,0.0,0.0,,,3.0,
2444699,23,2025-01-25 15:00:00,"Molineux Stadium, Wolverhampton",31503,Away,Arsenal,Wolves,1,0,W,0,0,1,1,1.0,9.0,3.0,3.0,3.0,0.9974,0.7187,3.0,,3.0,,0.621819,,7.0,4.0,29.0,55.0,397.0,329.0,48.4,20.0,22.0,11.0,8.0,14.0,14.0,6.0,1.0,,,7.0,10.0,132.0,4.0,,0.7386,1.0,,57.0,56.0,7.0,14.0,5.0,5.0,2.0,10.0,20.0,0.0,0.0,,,,108599.47
2444701,24,2025-02-02 16:30:00,"Emirates Stadium, London",60355,Home,Arsenal,Man City,5,1,W,1,0,0,0,5.0,12.0,7.0,2.0,3.0,1.0028,3.0067,2.0,1.0,1.0,,0.651162,4.0,9.0,7.0,21.0,39.0,398.0,347.0,45.7,17.0,16.0,8.0,5.0,20.0,20.0,5.0,,,,2.0,12.0,90.0,3.0,1.0,1.0507,,,38.0,29.0,7.0,7.0,5.0,5.0,,6.0,7.0,0.0,0.0,,,3.0,110167.77
2444714,25,2025-02-15 12:30:00,"King Power Stadium, Leicester",31968,Away,Arsenal,Leicester,2,0,W,0,0,0,0,2.0,11.0,5.0,3.0,3.0,1.383,1.9706,3.0,2.0,1.0,2.0,1.72947,2.0,8.0,6.0,33.0,54.0,491.0,420.0,60.3,34.0,15.0,11.0,5.0,22.0,22.0,7.0,2.0,,,9.0,15.0,131.0,2.0,,0.1452,1.0,,53.0,53.0,15.0,12.0,7.0,7.0,1.0,10.0,9.0,0.0,0.0,,,4.0,112499.71
2444721,26,2025-02-22 15:00:00,"Emirates Stadium, London",60262,Home,Arsenal,West Ham,0,1,L,0,1,1,0,,20.0,2.0,8.0,10.0,1.2212,0.138,1.0,,1.0,,1.56786,,17.0,10.0,46.0,71.0,642.0,574.0,67.8,42.0,12.0,5.0,8.0,6.0,6.0,5.0,,,,6.0,8.0,120.0,1.0,1.0,1.0177,,,50.0,53.0,17.0,20.0,2.0,2.0,4.0,16.0,14.0,0.0,0.0,,,2.0,117935.69
2444733,27,2025-02-26 19:30:00,"The City Ground, Nottingham",30200,Away,Arsenal,Nott'm Forest,0,0,D,0,0,0,0,,13.0,1.0,3.0,9.0,0.9869,0.3866,2.0,,2.0,1.0,0.900238,,12.0,9.0,49.0,61.0,502.0,438.0,65.1,30.0,14.0,9.0,5.0,22.0,22.0,6.0,3.0,1.0,,5.0,7.0,125.0,2.0,,0.3842,1.0,,51.0,52.0,16.0,14.0,11.0,11.0,,17.0,9.0,0.0,0.0,,,2.0,110023.82
2444745,28,2025-03-09 16:30:00,"Old Trafford, Manchester",73812,Away,Arsenal,Man Utd,1,1,D,0,1,0,0,1.0,17.0,6.0,6.0,5.0,1.6242,1.7718,1.0,,2.0,,1.27642,1.0,12.0,8.0,41.0,71.0,587.0,524.0,68.2,34.0,13.0,8.0,5.0,13.0,13.0,4.0,1.0,,,2.0,13.0,128.0,5.0,1.0,1.4683,,,38.0,51.0,10.0,14.0,9.0,9.0,1.0,11.0,6.0,0.0,0.0,,,1.0,115112.21
2444751,29,2025-03-16 13:30:00,"Emirates Stadium, London",60311,Home,Arsenal,Chelsea,1,0,W,1,0,0,0,1.0,12.0,4.0,6.0,2.0,0.7147,0.6746,,,,,0.724028,1.0,8.0,4.0,21.0,39.0,348.0,294.0,40.9,27.0,12.0,6.0,4.0,21.0,21.0,6.0,3.0,1.0,,4.0,6.0,100.0,2.0,,0.1957,1.0,,44.0,34.0,13.0,8.0,5.0,5.0,,10.0,13.0,0.0,0.0,,,2.0,106736.46
2444761,30,2025-04-01 19:45:00,"Emirates Stadium, London",60256,Home,Arsenal,Fulham,2,1,W,1,0,0,0,2.0,17.0,4.0,6.0,7.0,2.3762,1.8231,2.0,1.0,1.0,,1.27643,2.0,11.0,7.0,30.0,52.0,479.0,431.0,50.9,38.0,15.0,7.0,3.0,14.0,14.0,7.0,2.0,2.0,,7.0,8.0,104.0,2.0,1.0,1.0343,,,42.0,43.0,9.0,18.0,5.0,5.0,1.0,2.0,10.0,0.0,0.0,,,5.0,115885.1
2444773,31,2025-04-05 12:30:00,"Goodison Park, Liverpool",39316,Away,Arsenal,Everton,1,1,D,1,0,0,0,1.0,14.0,5.0,3.0,6.0,1.7916,0.65,1.0,,1.0,,0.85363,1.0,10.0,7.0,26.0,38.0,459.0,398.0,70.3,43.0,22.0,9.0,3.0,29.0,29.0,4.0,1.0,,,7.0,4.0,114.0,1.0,1.0,0.9572,,,65.0,44.0,18.0,7.0,8.0,8.0,,13.0,17.0,0.0,0.0,,,1.0,101405.58
2444781,32,2025-04-12 17:30:00,"Emirates Stadium, London",60184,Home,Arsenal,Brentford,1,1,D,0,0,0,0,1.0,14.0,3.0,5.0,6.0,0.9648,0.4181,1.0,1.0,,,0.944075,1.0,11.0,8.0,38.0,61.0,480.0,418.0,63.6,38.0,4.0,2.0,7.0,14.0,14.0,2.0,,,,2.0,11.0,114.0,1.0,1.0,0.2974,,,38.0,40.0,11.0,14.0,13.0,13.0,1.0,7.0,9.0,0.0,0.0,,,3.0,106933.88
2444795,33,2025-04-20 14:00:00,"Portman Road, Ipswich",29549,Away,Arsenal,Ipswich,4,0,W,2,0,0,1,4.0,24.0,7.0,8.0,9.0,2.5457,2.6314,2.0,1.0,2.0,1.0,2.24951,4.0,20.0,13.0,56.0,61.0,752.0,685.0,75.0,70.0,16.0,12.0,2.0,7.0,7.0,3.0,2.0,,,5.0,10.0,108.0,,,,1.0,,38.0,35.0,10.0,8.0,12.0,12.0,,7.0,10.0,0.0,0.0,,,1.0,109779.7
2444801,34,2025-04-23 20:00:00,"Emirates Stadium, London",60167,Home,Arsenal,Crystal Palace,2,2,D,2,1,0,0,2.0,12.0,6.0,4.0,2.0,1.184,1.8228,2.0,1.0,3.0,,0.76465,2.0,9.0,6.0,26.0,66.0,711.0,656.0,67.7,23.0,7.0,5.0,8.0,20.0,20.0,6.0,5.0,2.0,1.0,7.0,11.0,96.0,2.0,2.0,1.4694,,,18.0,36.0,1.0,9.0,3.0,3.0,3.0,4.0,6.0,0.0,0.0,,,1.0,112688.33
2444810,35,2025-05-03 17:30:00,"Emirates Stadium, London",60110,Home,Arsenal,Bournemouth,1,2,L,1,0,0,0,1.0,13.0,4.0,5.0,4.0,1.4174,1.6638,2.0,1.0,3.0,,1.09692,1.0,8.0,4.0,19.0,42.0,427.0,363.0,50.3,32.0,12.0,9.0,8.0,15.0,15.0,9.0,2.0,1.0,,7.0,4.0,108.0,,2.0,1.5213,,,47.0,35.0,9.0,9.0,2.0,2.0,,7.0,16.0,0.0,0.0,,,3.0,111248.67
2444823,36,2025-05-11 16:30:00,"Anfield, Liverpool",60324,Away,Arsenal,Liverpool,2,2,D,0,2,1,0,2.0,15.0,7.0,4.0,4.0,2.5759,2.4743,3.0,2.0,2.0,1.0,1.02942,1.0,11.0,8.0,30.0,48.0,447.0,384.0,55.6,36.0,20.0,12.0,5.0,17.0,17.0,6.0,1.0,1.0,,2.0,9.0,108.0,3.0,2.0,2.7008,,,45.0,36.0,5.0,8.0,1.0,1.0,2.0,10.0,13.0,0.0,0.0,,,1.0,109600.1
2444830,37,2025-05-18 16:30:00,"Emirates Stadium, London",60160,Home,Arsenal,Newcastle,1,0,W,0,0,0,0,1.0,12.0,4.0,3.0,5.0,0.6397,1.3465,1.0,,1.0,,0.560502,1.0,12.0,9.0,31.0,56.0,408.0,337.0,51.4,32.0,17.0,9.0,6.0,30.0,30.0,6.0,5.0,4.0,,4.0,13.0,123.0,5.0,,1.9414,1.0,,49.0,51.0,15.0,19.0,10.0,10.0,,9.0,9.0,0.0,0.0,,,,112373.86
2444847,38,2025-05-25 16:00:00,"St. Mary's Stadium, Southampton",31289,Away,Arsenal,Southampton,2,1,W,1,0,0,0,2.0,23.0,8.0,5.0,10.0,2.3876,1.4136,3.0,1.0,3.0,1.0,2.22423,2.0,20.0,15.0,44.0,67.0,533.0,486.0,61.8,38.0,18.0,4.0,2.0,23.0,23.0,6.0,3.0,1.0,,14.0,11.0,100.0,1.0,1.0,0.9922,,,49.0,52.0,14.0,13.0,8.0,8.0,,8.0,7.0,0.0,0.0,,,1.0,105813.58
