gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,attObxRight,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,handBall,bigChanceScored,attGoalLowLeft,goals,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,cleanSheet,goodHighClaim,bigChanceCreated,attHdTarget,hitWoodwork,goalAssist,totalKeeperSweeper,accurateThroughBall,attBxCentre,bigChanceMissed,attObxdLeft,attRfGoal,goalsOpenplay,attAssistSetplay,attFreekickTarget,attIboxGoal,attOboxPost,attPostHigh,goalAssistIntentional,attHdTotal,attHdMiss,totalHighClaim,attIboxMiss,forwardGoals,accuratePullBack,attCmissRight,attMissHighRight,errorLeadToShot,attSetpiece,totalPullBack,shieldBallOop,attLfTarget,attGoalLowRight,midfielderGoals,accurateFreekickCross,attSvLowRight,accurateCornersIntobox,attHdGoal,goalAssistSetplay,attGoalLowCentre,shotFastbreak,totalFastbreak,attLgCentre,sixYardBlock,defenderGoals,attFastbreak,punches,attPenTarget,penaltyWon,attGoalHighLeft,attGoalHighCentre,goalFastbreak,attSvHighLeft,ownGoals,attIboxOwnGoal,attIboxPost,attGoalHighRight,attPostLeft,penaltyConceded,penaltyFaced,penGoalsConceded,attSvHighRight,secondYellow,attPostRight,attPenGoal,goalAssistDeadball,attLfGoal,attOboxGoal,attFreekickGoal,attObxLeft,attHdPost,attSvHighCentre,attPenMiss,attCmissHighRight,foulThrowIn,attObxdRight,attCmissHighLeft
11,321766,2010-11-07 15:00:00,"The Hawthorns, West Bromwich",23013,Home,West Bromwich Albion,Manchester City,0,2,L,0,2,1,1,,40.0,,2.0,48.0,25.0,8.0,5.0,,124.0,4.0,6.0,,10.0,1.0,84.0,147.0,49.0,1.0,13.0,3.0,5.0,,28.0,14.0,1.0,17.0,5.0,7.0,25.0,155.0,0.0,118.0,15.0,1.0,,,58.0,56.0,5.0,45.0,4.0,3.0,23.0,1.0,10.0,3.0,139.0,7.0,94.0,549.0,7.0,8.0,23.0,23.0,,8.0,13.0,2.0,4.0,5.0,25.0,63.0,5750,129.0,13.0,140.0,7.0,50.0,,2.0,3.0,3.0,17.0,4.0,5.0,2.0,71.0,280.0,16.0,12.0,26.0,69.0,,0.0,6.0,1.0,1.0,2.0,4.0,1.0,2.0,39.7,23.0,,,1.0,3.0,5.0,,40.0,6.0,347.0,13.0,,5.0,14.0,7.0,19.0,235.0,5.0,6.0,10.0,85.0,12.0,,10.0,17.0,2.0,,3.0,19.0,,,6.0,,,,,,2.0,1.0,2.0,,,,,,,1.0,,2.0,,2.0,,,,,3.0,1.0,,1.0,,,2.0,2.0,,3.0,,,1.0,1.0,,3.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
12,321769,2010-11-10 19:45:00,"Boleyn Ground, London",33023,Away,West Bromwich Albion,West Ham United,2,2,D,1,1,0,0,1.0,51.0,,1.0,36.0,22.0,12.0,6.0,3.0,158.0,6.0,4.0,3.0,17.0,5.0,76.0,155.0,56.0,,20.0,4.0,21.0,5.0,22.0,12.0,2.0,13.0,7.0,10.0,16.0,156.0,0.0,109.0,6.0,1.0,,2.0,48.0,67.0,8.0,56.0,,2.0,15.0,,3.0,6.0,146.0,8.0,75.0,572.0,12.0,11.0,19.0,28.0,1.0,10.0,13.0,0.0,2.0,9.0,22.0,74.0,5750,133.0,10.0,146.0,7.0,62.0,,,1.0,5.0,11.0,2.0,4.0,1.0,64.0,283.0,13.0,8.0,29.0,92.0,2.0,0.0,1.0,6.0,3.0,2.0,4.0,0.0,3.0,49.6,18.0,,2.0,1.0,5.0,5.0,,49.0,7.0,365.0,16.0,,17.0,5.0,10.0,15.0,241.0,10.0,9.0,17.0,70.0,10.0,2.0,9.0,22.0,1.0,12.0,3.0,15.0,,2.0,7.0,1.0,1.0,,2.0,1.0,1.0,,,,2.0,,2.0,,,,1.0,,,5.0,,,1.0,,4.0,,2.0,,,1.0,4.0,3.0,2.0,4.0,1.0,,1.0,1.0,,2.0,,3.0,,1.0,,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,
13,321785,2010-11-13 15:00:00,"DW Stadium, Wigan",16085,Away,West Bromwich Albion,Wigan Athletic,0,1,L,0,0,0,0,,49.0,1.0,3.0,24.0,20.0,5.0,2.0,2.0,123.0,4.0,7.0,6.0,7.0,3.0,62.0,173.0,73.0,1.0,11.0,1.0,19.0,,22.0,26.0,1.0,10.0,5.0,5.0,14.0,112.0,0.0,103.0,14.0,,,4.0,48.0,38.0,4.0,31.0,,2.0,17.0,1.0,5.0,3.0,163.0,7.0,59.0,515.0,6.0,6.0,26.0,18.0,,4.0,15.0,1.0,2.0,3.0,35.0,67.0,5750,79.0,8.0,98.0,10.0,77.0,1.0,1.0,2.0,2.0,9.0,6.0,4.0,2.0,56.0,187.0,14.0,16.0,32.0,78.0,,0.0,2.0,5.0,1.0,1.0,1.0,0.0,3.0,39.3,26.0,,2.0,1.0,2.0,4.0,,35.0,5.0,275.0,22.0,,16.0,9.0,4.0,21.0,199.0,8.0,4.0,11.0,61.0,23.0,7.0,6.0,41.0,1.0,5.0,3.0,20.0,,7.0,5.0,1.0,,,,2.0,3.0,,,,,,1.0,,,,,,1.0,2.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,2.0,1.0,,1.0,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,321796,2010-11-20 15:00:00,"The Hawthorns, West Bromwich",24164,Home,West Bromwich Albion,Stoke City,0,3,L,0,0,0,0,,50.0,1.0,3.0,39.0,20.0,9.0,6.0,3.0,172.0,12.0,6.0,4.0,13.0,6.0,100.0,169.0,47.0,1.0,19.0,3.0,20.0,,34.0,13.0,2.0,11.0,5.0,14.0,41.0,183.0,0.0,126.0,10.0,1.0,,3.0,76.0,56.0,10.0,55.0,,1.0,29.0,1.0,7.0,4.0,160.0,5.0,92.0,611.0,9.0,6.0,6.0,19.0,,5.0,17.0,0.0,2.0,3.0,25.0,77.0,5750,150.0,19.0,175.0,7.0,56.0,1.0,1.0,,7.0,14.0,3.0,4.0,5.0,70.0,321.0,10.0,7.0,27.0,87.0,,0.0,4.0,3.0,1.0,3.0,2.0,0.0,10.0,64.6,25.0,,2.0,,7.0,6.0,,47.0,5.0,419.0,5.0,1.0,8.0,25.0,7.0,19.0,278.0,10.0,12.0,14.0,81.0,20.0,2.0,9.0,17.0,3.0,10.0,3.0,17.0,,2.0,8.0,,,,,4.0,3.0,,2.0,,2.0,,1.0,1.0,1.0,,,3.0,1.0,6.0,3.0,,,,4.0,,,,,,3.0,2.0,1.0,3.0,,,,1.0,,4.0,,1.0,2.0,,,2.0,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,
15,321799,2010-11-27 15:00:00,"Goodison Park, Liverpool",35237,Away,West Bromwich Albion,Everton,4,1,W,2,1,1,1,,68.0,1.0,1.0,35.0,20.0,4.0,5.0,1.0,169.0,1.0,11.0,1.0,6.0,5.0,78.0,183.0,51.0,1.0,9.0,,12.0,1.0,10.0,13.0,,10.0,2.0,14.0,36.0,158.0,0.0,128.0,19.0,2.0,1.0,,69.0,44.0,4.0,73.0,1.0,,8.0,1.0,2.0,3.0,173.0,5.0,89.0,626.0,3.0,3.0,27.0,32.0,1.0,4.0,9.0,2.0,2.0,2.0,28.0,64.0,5750,158.0,6.0,187.0,12.0,65.0,,3.0,4.0,,19.0,7.0,2.0,,68.0,315.0,12.0,4.0,32.0,93.0,,0.0,2.0,2.0,2.0,1.0,1.0,1.0,,53.4,24.0,,3.0,2.0,1.0,1.0,1.0,36.0,2.0,409.0,20.0,,15.0,17.0,3.0,17.0,232.0,3.0,14.0,10.0,87.0,26.0,2.0,4.0,18.0,1.0,6.0,3.0,26.0,,2.0,2.0,,1.0,,4.0,1.0,,,3.0,2.0,,,2.0,1.0,,,3.0,3.0,1.0,2.0,,,1.0,2.0,,,3.0,,,2.0,1.0,,2.0,,,,,1.0,,,1.0,1.0,,,4.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,2.0,,,,,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,
16,321815,2010-12-05 13:30:00,"The Hawthorns, West Bromwich",23486,Home,West Bromwich Albion,Newcastle United,3,1,W,1,0,0,0,,71.0,,3.0,47.0,17.0,8.0,7.0,2.0,179.0,5.0,9.0,2.0,17.0,6.0,97.0,157.0,53.0,,21.0,2.0,10.0,2.0,28.0,17.0,2.0,9.0,7.0,12.0,31.0,232.0,0.0,179.0,11.0,2.0,,2.0,76.0,101.0,8.0,85.0,1.0,3.0,21.0,,9.0,4.0,149.0,11.0,106.0,658.0,14.0,6.0,6.0,25.0,1.0,7.0,11.0,0.0,2.0,9.0,16.0,81.0,5750,159.0,10.0,174.0,8.0,47.0,,1.0,2.0,5.0,18.0,1.0,6.0,3.0,72.0,386.0,9.0,7.0,22.0,92.0,2.0,0.0,4.0,3.0,3.0,1.0,3.0,0.0,4.0,57.6,16.0,,5.0,2.0,5.0,5.0,,56.0,7.0,467.0,5.0,,16.0,20.0,10.0,18.0,321.0,12.0,12.0,15.0,131.0,32.0,2.0,5.0,20.0,1.0,17.0,2.0,12.0,,2.0,7.0,,2.0,1.0,3.0,1.0,4.0,,1.0,2.0,,,2.0,1.0,,,2.0,1.0,1.0,5.0,,,,3.0,1.0,,3.0,,,1.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
17,321817,2010-12-11 15:00:00,"Villa Park, Birmingham",37015,Away,West Bromwich Albion,Aston Villa,1,2,L,0,1,0,0,,36.0,,3.0,45.0,23.0,2.0,4.0,1.0,157.0,6.0,14.0,1.0,13.0,2.0,80.0,185.0,55.0,,17.0,2.0,10.0,3.0,30.0,11.0,,14.0,12.0,15.0,25.0,163.0,0.0,143.0,15.0,,,3.0,74.0,31.0,4.0,59.0,,3.0,18.0,,5.0,1.0,176.0,9.0,77.0,580.0,8.0,8.0,12.0,15.0,,17.0,13.0,2.0,4.0,9.0,36.0,77.0,5750,114.0,10.0,144.0,4.0,57.0,2.0,1.0,3.0,4.0,12.0,2.0,3.0,2.0,77.0,271.0,9.0,8.0,42.0,76.0,,0.0,2.0,6.0,,2.0,2.0,0.0,1.0,57.0,28.0,,,3.0,4.0,5.0,,41.0,12.0,373.0,9.0,,12.0,14.0,10.0,23.0,259.0,8.0,15.0,17.0,93.0,14.0,3.0,7.0,15.0,2.0,9.0,3.0,26.0,,3.0,13.0,,,1.0,1.0,1.0,3.0,1.0,,,1.0,,,2.0,,1.0,1.0,,,5.0,2.0,,,,4.0,,1.0,,1.0,1.0,4.0,3.0,,8.0,,,2.0,1.0,,,,,,,1.0,,,5.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,
18,321835,2011-02-20 12:00:00,"The Hawthorns, West Bromwich",26170,Home,West Bromwich Albion,Wolverhampton Wanderers,1,1,D,0,1,0,0,1.0,58.0,,3.0,30.0,26.0,7.0,5.0,3.0,167.0,6.0,6.0,1.0,14.0,8.0,59.0,178.0,33.0,,19.0,1.0,15.0,2.0,35.0,8.0,3.0,15.0,12.0,17.0,30.0,179.0,0.0,127.0,9.0,,3.0,,78.0,55.0,10.0,51.0,1.0,3.0,23.0,,9.0,3.0,165.0,2.0,79.0,563.0,9.0,11.0,13.0,23.0,1.0,4.0,14.0,0.0,1.0,4.0,25.0,58.0,5750,94.0,14.0,115.0,10.0,46.0,1.0,3.0,6.0,1.0,12.0,4.0,3.0,1.0,60.0,267.0,6.0,6.0,28.0,94.0,1.0,0.0,,1.0,,1.0,4.0,0.0,2.0,45.0,21.0,,5.0,3.0,1.0,4.0,,46.0,12.0,356.0,10.0,,9.0,19.0,7.0,27.0,276.0,9.0,16.0,8.0,94.0,27.0,2.0,7.0,13.0,,14.0,3.0,15.0,,4.0,12.0,2.0,1.0,,1.0,4.0,1.0,,,,1.0,,,1.0,2.0,,,,1.0,5.0,2.0,,1.0,1.0,5.0,,1.0,,,,4.0,2.0,,4.0,1.0,,1.0,,1.0,,,,2.0,,,,3.0,4.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,321841,2010-12-26 15:00:00,"Macron Stadium, Bolton",23413,Away,West Bromwich Albion,Bolton Wanderers,0,2,L,0,1,0,0,,66.0,2.0,3.0,50.0,21.0,6.0,8.0,2.0,181.0,5.0,6.0,1.0,11.0,4.0,94.0,196.0,40.0,1.0,16.0,3.0,14.0,4.0,30.0,11.0,2.0,13.0,6.0,25.0,33.0,185.0,0.0,143.0,10.0,1.0,1.0,1.0,56.0,68.0,7.0,65.0,2.0,,24.0,1.0,9.0,1.0,188.0,10.0,101.0,654.0,10.0,9.0,17.0,35.0,,9.0,13.0,1.0,2.0,4.0,25.0,82.0,5750,153.0,14.0,176.0,12.0,48.0,,4.0,3.0,,18.0,4.0,5.0,,87.0,333.0,8.0,3.0,34.0,96.0,4.0,0.0,2.0,5.0,2.0,2.0,2.0,0.0,3.0,55.2,22.0,,,4.0,,6.0,,45.0,7.0,441.0,10.0,1.0,14.0,17.0,6.0,25.0,295.0,7.0,25.0,13.0,93.0,25.0,2.0,7.0,13.0,2.0,12.0,2.0,14.0,,2.0,7.0,1.0,,,,2.0,3.0,1.0,,,1.0,,,2.0,,1.0,,,3.0,2.0,2.0,,,,1.0,,,,,,1.0,,,4.0,,1.0,,1.0,,1.0,1.0,,2.0,,,,1.0,2.0,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,
20,321854,2010-12-28 15:00:00,"The Hawthorns, West Bromwich",24440,Home,West Bromwich Albion,Blackburn Rovers,1,3,L,1,1,1,1,,56.0,,1.0,35.0,25.0,14.0,8.0,1.0,156.0,8.0,12.0,5.0,19.0,5.0,101.0,147.0,49.0,2.0,24.0,7.0,13.0,5.0,37.0,10.0,,13.0,6.0,21.0,34.0,218.0,0.0,167.0,11.0,1.0,1.0,3.0,49.0,69.0,11.0,63.0,1.0,1.0,31.0,2.0,8.0,7.0,135.0,6.0,110.0,634.0,16.0,3.0,13.0,22.0,,5.0,19.0,1.0,,8.0,16.0,68.0,5750,154.0,20.0,166.0,8.0,42.0,1.0,5.0,4.0,3.0,19.0,1.0,7.0,4.0,56.0,364.0,13.0,5.0,16.0,61.0,2.0,0.0,2.0,5.0,1.0,3.0,1.0,1.0,5.0,62.2,15.0,,,3.0,3.0,8.0,,45.0,8.0,430.0,11.0,1.0,10.0,23.0,11.0,33.0,301.0,12.0,21.0,13.0,125.0,27.0,4.0,9.0,11.0,3.0,19.0,2.0,15.0,,4.0,8.0,,,,1.0,4.0,,1.0,,1.0,1.0,,2.0,3.0,1.0,1.0,1.0,,1.0,5.0,5.0,,,1.0,2.0,,1.0,,1.0,1.0,4.0,2.0,2.0,3.0,,,,,,2.0,,2.0,2.0,,1.0,2.0,,3.0,,,,2.0,2.0,,1.0,,2.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,
21,321864,2011-01-01 12:45:00,"The Hawthorns, West Bromwich",25499,Home,West Bromwich Albion,Manchester United,1,2,L,1,1,0,0,,64.0,,2.0,32.0,19.0,15.0,8.0,2.0,172.0,6.0,7.0,4.0,13.0,3.0,84.0,165.0,42.0,1.0,21.0,5.0,9.0,6.0,23.0,12.0,2.0,13.0,4.0,14.0,35.0,185.0,0.0,157.0,9.0,2.0,1.0,3.0,66.0,61.0,7.0,72.0,2.0,1.0,19.0,1.0,7.0,7.0,159.0,5.0,74.0,604.0,11.0,4.0,25.0,26.0,3.0,8.0,9.0,1.0,,6.0,28.0,94.0,5750,128.0,9.0,145.0,7.0,44.0,1.0,,1.0,1.0,17.0,1.0,2.0,1.0,67.0,307.0,14.0,8.0,35.0,84.0,2.0,0.0,1.0,5.0,2.0,2.0,1.0,0.0,4.0,47.7,23.0,,5.0,3.0,1.0,7.0,,40.0,4.0,402.0,20.0,,10.0,16.0,11.0,14.0,280.0,12.0,14.0,5.0,100.0,27.0,4.0,8.0,16.0,2.0,14.0,3.0,15.0,,4.0,4.0,,,,1.0,,,,2.0,,1.0,,,1.0,,,,2.0,,3.0,2.0,,1.0,1.0,2.0,,,,,,1.0,1.0,,4.0,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
22,321875,2011-01-04 20:00:00,"Craven Cottage, London",23654,Away,West Bromwich Albion,Fulham,0,3,L,0,1,0,0,1.0,68.0,1.0,,44.0,38.0,14.0,6.0,2.0,179.0,3.0,4.0,2.0,11.0,3.0,90.0,185.0,51.0,,16.0,3.0,18.0,4.0,17.0,22.0,3.0,24.0,3.0,42.0,32.0,179.0,0.0,131.0,11.0,,,1.0,54.0,61.0,5.0,86.0,1.0,3.0,14.0,,6.0,8.0,171.0,7.0,89.0,681.0,11.0,4.0,21.0,41.0,,10.0,21.0,1.0,2.0,6.0,21.0,76.0,76358,181.0,7.0,203.0,10.0,72.0,2.0,5.0,2.0,3.0,20.0,6.0,5.0,3.0,81.0,357.0,7.0,6.0,34.0,86.0,1.0,0.0,1.0,7.0,1.0,3.0,2.0,0.0,3.0,49.2,16.0,,4.0,2.0,3.0,3.0,,42.0,4.0,444.0,14.0,,19.0,16.0,10.0,15.0,258.0,10.0,42.0,10.0,90.0,15.0,3.0,13.0,30.0,2.0,16.0,3.0,22.0,1.0,3.0,4.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,2.0,,,,,2.0,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
23,321884,2011-01-15 15:00:00,"The Hawthorns, West Bromwich",25316,Home,West Bromwich Albion,Blackpool,3,2,W,1,1,0,0,1.0,61.0,,2.0,32.0,26.0,8.0,10.0,2.0,165.0,7.0,12.0,3.0,20.0,7.0,62.0,163.0,51.0,,21.0,4.0,13.0,2.0,31.0,11.0,1.0,19.0,4.0,5.0,21.0,158.0,0.0,142.0,12.0,,,3.0,63.0,48.0,12.0,44.0,1.0,1.0,27.0,,5.0,3.0,156.0,9.0,75.0,563.0,18.0,7.0,15.0,31.0,1.0,13.0,10.0,1.0,2.0,8.0,21.0,74.0,5750,111.0,19.0,131.0,13.0,48.0,,11.0,7.0,4.0,11.0,4.0,4.0,2.0,54.0,262.0,9.0,8.0,39.0,81.0,1.0,0.0,2.0,4.0,,2.0,1.0,0.0,6.0,49.5,19.0,,4.0,1.0,4.0,6.0,,41.0,4.0,346.0,11.0,,13.0,12.0,8.0,15.0,246.0,10.0,5.0,8.0,96.0,20.0,5.0,8.0,22.0,1.0,20.0,3.0,16.0,,5.0,4.0,2.0,3.0,,3.0,3.0,4.0,,5.0,2.0,1.0,,,4.0,,,2.0,5.0,6.0,6.0,2.0,,1.0,3.0,,,3.0,,,1.0,1.0,1.0,,5.0,2.0,,,2.0,1.0,,1.0,,2.0,2.0,1.0,,3.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,
24,321889,2011-01-23 16:00:00,"Ewood Park, Blackburn",24057,Away,West Bromwich Albion,Blackburn Rovers,0,2,L,0,1,0,0,1.0,55.0,1.0,4.0,26.0,39.0,13.0,10.0,3.0,153.0,4.0,11.0,3.0,16.0,6.0,102.0,186.0,53.0,3.0,24.0,8.0,7.0,4.0,21.0,18.0,3.0,22.0,9.0,14.0,25.0,195.0,0.0,141.0,7.0,4.0,2.0,,70.0,47.0,10.0,52.0,1.0,,13.0,3.0,5.0,2.0,169.0,8.0,96.0,645.0,11.0,11.0,13.0,35.0,,6.0,18.0,1.0,4.0,6.0,34.0,60.0,5750,111.0,8.0,148.0,6.0,51.0,,3.0,2.0,6.0,12.0,11.0,1.0,1.0,48.0,302.0,4.0,10.0,26.0,76.0,1.0,0.0,,9.0,4.0,2.0,5.0,0.0,1.0,55.4,31.0,,2.0,2.0,6.0,12.0,,36.0,9.0,403.0,11.0,,18.0,12.0,6.0,15.0,276.0,10.0,12.0,12.0,107.0,10.0,2.0,10.0,26.0,1.0,14.0,2.0,21.0,,2.0,9.0,,,,,3.0,2.0,,2.0,,,,1.0,,1.0,,,2.0,1.0,6.0,,,,,5.0,,,,,,4.0,3.0,1.0,4.0,,,,1.0,2.0,1.0,,3.0,2.0,,,,3.0,4.0,,,,1.0,1.0,,,,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,
25,321903,2011-02-01 20:00:00,"The Hawthorns, West Bromwich",25358,Home,West Bromwich Albion,Wigan Athletic,2,2,D,1,2,0,0,2.0,69.0,,1.0,30.0,15.0,8.0,8.0,1.0,167.0,7.0,13.0,5.0,18.0,6.0,99.0,173.0,60.0,1.0,21.0,3.0,11.0,3.0,26.0,14.0,,11.0,7.0,7.0,24.0,182.0,0.0,146.0,14.0,3.0,1.0,2.0,58.0,53.0,7.0,54.0,,3.0,20.0,1.0,5.0,4.0,169.0,8.0,94.0,617.0,12.0,5.0,10.0,27.0,,9.0,6.0,4.0,3.0,11.0,20.0,77.0,5750,141.0,13.0,154.0,5.0,61.0,2.0,3.0,3.0,5.0,18.0,5.0,1.0,2.0,62.0,316.0,13.0,13.0,29.0,92.0,,0.0,,5.0,3.0,2.0,2.0,0.0,5.0,55.4,17.0,,2.0,3.0,5.0,4.0,,47.0,8.0,414.0,8.0,,18.0,9.0,11.0,25.0,286.0,9.0,7.0,16.0,93.0,31.0,2.0,4.0,18.0,,13.0,3.0,19.0,,2.0,8.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,,,,1.0,4.0,,2.0,2.0,,2.0,4.0,2.0,1.0,5.0,2.0,,1.0,1.0,1.0,4.0,,1.0,2.0,,,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,,1.0,
26,321910,2011-02-05 15:00:00,"Etihad Stadium, Manchester",46846,Away,West Bromwich Albion,Manchester City,0,3,L,0,3,0,0,,41.0,2.0,1.0,26.0,16.0,9.0,6.0,1.0,137.0,4.0,5.0,6.0,9.0,4.0,93.0,138.0,49.0,4.0,16.0,2.0,10.0,,25.0,13.0,2.0,6.0,7.0,13.0,25.0,192.0,0.0,136.0,11.0,3.0,2.0,2.0,68.0,62.0,3.0,56.0,2.0,6.0,18.0,4.0,8.0,6.0,127.0,12.0,103.0,570.0,7.0,5.0,19.0,19.0,2.0,1.0,8.0,2.0,4.0,6.0,18.0,67.0,5750,130.0,8.0,148.0,11.0,44.0,1.0,5.0,1.0,4.0,11.0,4.0,8.0,1.0,49.0,318.0,13.0,8.0,15.0,68.0,,0.0,2.0,8.0,3.0,3.0,1.0,0.0,2.0,47.5,16.0,,1.0,1.0,4.0,3.0,,36.0,8.0,389.0,12.0,2.0,13.0,11.0,9.0,20.0,266.0,7.0,13.0,13.0,103.0,15.0,1.0,3.0,18.0,3.0,8.0,3.0,8.0,,2.0,8.0,1.0,,,,2.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,3.0,4.0,1.0,,,,2.0,1.0,,,,,3.0,2.0,,3.0,,,4.0,,1.0,,,1.0,2.0,,,,,2.0,,,,1.0,1.0,,,,1.0,,,,,,,2.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,1.0,1.0
27,321926,2011-02-12 15:00:00,"The Hawthorns, West Bromwich",23916,Home,West Bromwich Albion,West Ham United,3,3,D,3,0,0,0,,64.0,1.0,2.0,42.0,42.0,10.0,8.0,4.0,137.0,2.0,10.0,2.0,14.0,10.0,56.0,148.0,50.0,,19.0,2.0,12.0,2.0,13.0,13.0,4.0,25.0,4.0,13.0,30.0,138.0,0.0,94.0,12.0,3.0,,2.0,54.0,34.0,10.0,46.0,1.0,2.0,9.0,,2.0,3.0,131.0,15.0,79.0,542.0,10.0,11.0,17.0,31.0,1.0,19.0,17.0,2.0,5.0,4.0,25.0,67.0,5750,109.0,5.0,130.0,7.0,59.0,,3.0,3.0,4.0,14.0,6.0,5.0,,68.0,245.0,14.0,11.0,41.0,76.0,,0.0,2.0,9.0,5.0,3.0,1.0,0.0,,40.9,23.0,,3.0,3.0,4.0,4.0,1.0,45.0,4.0,318.0,15.0,,14.0,23.0,5.0,11.0,201.0,9.0,13.0,10.0,62.0,24.0,6.0,12.0,16.0,3.0,16.0,3.0,20.0,1.0,6.0,4.0,,,,3.0,4.0,1.0,,,2.0,4.0,,1.0,2.0,1.0,,2.0,,1.0,4.0,3.0,,2.0,2.0,2.0,,2.0,,,1.0,2.0,1.0,1.0,2.0,,,,,,,,2.0,3.0,1.0,2.0,,4.0,2.0,,,,2.0,2.0,,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
