gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,attRfTarget,attGoalLowCentre,accurateCross,goals,attMissLeft,attOboxTarget,attSvHighRight,penaltyWon,attMissRight,attMissHighLeft,offtargetAttAssist,sixYardBlock,attSetpiece,attRfGoal,attPenGoal,attAssistSetplay,attSvLowRight,attIboxGoal,accurateCrossNocorner,shieldBallOop,attHdTotal,attHdMiss,accurateCornersIntobox,attIboxMiss,forwardGoals,errorLeadToGoal,handBall,shotFastbreak,postScoringAtt,cleanSheet,divingSave,goodHighClaim,attHdTarget,hitWoodwork,attFastbreak,punches,attOboxPost,attPostHigh,totalHighClaim,attGoalLowLeft,attGoalLowRight,attLfGoal,goalAssistOpenplay,goalFastbreak,midfielderGoals,goalAssist,errorLeadToShot,goalAssistIntentional,attHdGoal,attMissHighRight,defenderGoals,attSvHighCentre,clearanceOffLine,attIboxPost,attSvHighLeft,attHdPost,attPostRight,attemptsIbox,saves,fouledFinalThird,attBxRight,totalFastbreak,freekickCross,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateFreekickCross,attCmissLeft,attOpenplay,attObxLeft,attPostLeft,attLgCentre,penaltyConceded,penaltyFaced,penGoalsConceded,goalsConcededObox,attOboxGoal,foulThrowIn,fwdPass,attFreekickPost,attBxCentre,ptsDroppedWinningPos,attGoalHighRight,attObxdLeft,attFreekickTarget,attGoalHighCentre,goalsOpenplay,attBxLeft,attPenTarget,attObxdRight,attFreekickGoal,attCmissRight,attObxRight
11,266353,2008-11-01 15:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Blackburn Rovers,2,2,D,0,1,0,1,2.0,78.0,4.0,,41.0,24.0,10.0,7.0,4.0,15.0,7.0,166.0,51.0,1.0,20.0,5.0,12.0,3.0,1.0,36.0,12.0,15.0,2.0,21.0,41.0,271.0,0.0,171.0,13.0,3.0,89.0,77.0,8.0,,34.0,1.0,14.0,2.0,157.0,3.0,801.0,13.0,4.0,12.0,22.0,4.0,14.0,3.0,,31.0,105.0,3.0,39253,158.0,15.0,173.0,8.0,63.0,6.0,4.0,7.0,8.0,3.0,2.0,70.0,421.0,19.0,7.0,22.0,93.0,0.0,3.0,,2.0,,0.0,65.0,29.0,20.0,7.0,5.0,56.0,2.0,507.0,11.0,,20.0,25.0,8.0,34.0,370.0,9.0,21.0,10.0,120.0,31.0,3.0,7.0,18.0,1.0,3.0,15.0,3.0,2.0,2.0,,8.0,2.0,1.0,2.0,,,1.0,3.0,7.0,,1.0,1.0,,1.0,1.0,1.0,6.0,,4.0,3.0,2.0,5.0,2.0,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12,266359,2008-11-08 17:30:00,"Anfield, Liverpool",,Away,West Bromwich Albion,Liverpool,0,3,L,0,2,0,0,,47.0,3.0,,51.0,41.0,4.0,2.0,6.0,4.0,2.0,167.0,45.0,1.0,6.0,1.0,6.0,1.0,1.0,21.0,17.0,26.0,6.0,20.0,28.0,152.0,0.0,120.0,8.0,,56.0,55.0,2.0,3.0,15.0,1.0,3.0,2.0,152.0,9.0,655.0,4.0,9.0,15.0,15.0,11.0,16.0,1.0,2.0,23.0,87.0,2.0,39253,164.0,9.0,185.0,8.0,56.0,3.0,3.0,6.0,5.0,3.0,,82.0,316.0,10.0,9.0,28.0,100.0,0.0,3.0,3.0,3.0,1.0,0.0,48.5,14.0,5.0,6.0,1.0,64.0,7.0,397.0,15.0,1.0,29.0,14.0,3.0,22.0,233.0,3.0,19.0,7.0,67.0,15.0,1.0,12.0,22.0,3.0,3.0,10.0,1.0,7.0,2.0,,,,3.0,1.0,,,,,2.0,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,266372,2008-11-15 17:30:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Chelsea,0,3,L,0,3,0,0,,46.0,1.0,2.0,28.0,28.0,8.0,4.0,11.0,12.0,2.0,136.0,42.0,,15.0,1.0,6.0,,,17.0,11.0,14.0,3.0,16.0,29.0,148.0,0.0,97.0,9.0,2.0,50.0,34.0,3.0,,14.0,,5.0,5.0,122.0,16.0,594.0,9.0,8.0,19.0,15.0,4.0,15.0,0.0,6.0,26.0,78.0,,6251,129.0,7.0,146.0,9.0,52.0,,,3.0,3.0,4.0,2.0,50.0,273.0,9.0,13.0,24.0,85.0,0.0,10.0,2.0,3.0,3.0,0.0,38.1,21.0,7.0,3.0,3.0,49.0,3.0,347.0,18.0,,11.0,22.0,10.0,16.0,218.0,9.0,14.0,8.0,55.0,19.0,2.0,7.0,14.0,2.0,3.0,25.0,2.0,3.0,2.0,,4.0,,3.0,2.0,,,3.0,1.0,9.0,,2.0,,,3.0,,,2.0,2.0,2.0,2.0,2.0,5.0,,,1.0,1.0,,,3.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14,266380,2008-11-22 15:00:00,"bet365 Stadium, Stoke",,Away,West Bromwich Albion,Stoke City,0,1,L,0,0,0,0,1.0,38.0,3.0,1.0,30.0,54.0,3.0,5.0,6.0,6.0,1.0,141.0,47.0,,9.0,1.0,19.0,,,22.0,16.0,29.0,,16.0,26.0,158.0,0.0,97.0,9.0,1.0,77.0,32.0,2.0,2.0,22.0,,5.0,1.0,116.0,5.0,592.0,6.0,10.0,18.0,7.0,5.0,37.0,0.0,1.0,25.0,62.0,,6251,114.0,16.0,132.0,6.0,46.0,2.0,2.0,5.0,5.0,4.0,2.0,61.0,269.0,9.0,4.0,30.0,68.0,0.0,4.0,3.0,1.0,2.0,0.0,56.0,21.0,8.0,5.0,2.0,41.0,,343.0,18.0,,10.0,15.0,6.0,17.0,233.0,2.0,15.0,8.0,59.0,14.0,3.0,21.0,24.0,1.0,2.0,11.0,3.0,1.0,,,3.0,,,1.0,,,3.0,,4.0,,,,,,,,3.0,3.0,2.0,2.0,,5.0,,,1.0,1.0,,,2.0,3.0,,,1.0,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,266393,2008-11-29 15:00:00,"The Brick Community Stadium, Wigan",,Away,West Bromwich Albion,Wigan Athletic,1,2,L,0,0,0,0,,74.0,2.0,2.0,26.0,25.0,7.0,8.0,11.0,14.0,5.0,171.0,50.0,1.0,20.0,2.0,14.0,4.0,,31.0,13.0,17.0,7.0,21.0,38.0,151.0,0.0,113.0,9.0,3.0,66.0,51.0,6.0,,24.0,1.0,3.0,5.0,163.0,8.0,678.0,11.0,12.0,15.0,17.0,7.0,16.0,2.0,3.0,32.0,76.0,2.0,6251,142.0,19.0,159.0,9.0,62.0,4.0,1.0,5.0,7.0,3.0,3.0,66.0,285.0,10.0,5.0,42.0,104.0,0.0,6.0,,2.0,4.0,0.0,59.4,29.0,14.0,5.0,4.0,44.0,8.0,380.0,15.0,1.0,17.0,19.0,11.0,13.0,252.0,7.0,20.0,13.0,61.0,32.0,6.0,9.0,16.0,2.0,1.0,29.0,6.0,8.0,3.0,,8.0,1.0,3.0,,,,3.0,2.0,8.0,,,,,3.0,,1.0,5.0,1.0,5.0,4.0,3.0,6.0,1.0,1.0,1.0,2.0,,,1.0,3.0,1.0,,2.0,1.0,,,3.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,266402,2008-12-07 15:00:00,"The Hawthorns, West Bromwich",24964.0,Home,West Bromwich Albion,Portsmouth,1,1,D,1,0,0,0,2.0,69.0,,2.0,29.0,37.0,8.0,9.0,7.0,12.0,4.0,174.0,54.0,1.0,15.0,2.0,9.0,2.0,,23.0,17.0,23.0,3.0,11.0,32.0,147.0,0.0,125.0,10.0,1.0,71.0,29.0,7.0,1.0,20.0,1.0,5.0,4.0,160.0,3.0,608.0,12.0,8.0,12.0,22.0,5.0,17.0,1.0,2.0,27.0,82.0,6.0,6251,142.0,13.0,159.0,8.0,49.0,14.0,8.0,3.0,5.0,1.0,,71.0,284.0,12.0,10.0,27.0,102.0,0.0,5.0,,1.0,3.0,0.0,46.0,22.0,10.0,4.0,4.0,42.0,3.0,392.0,12.0,,13.0,12.0,7.0,32.0,256.0,5.0,8.0,9.0,71.0,30.0,2.0,10.0,26.0,,2.0,14.0,2.0,3.0,1.0,1.0,5.0,1.0,3.0,1.0,,,1.0,2.0,5.0,,2.0,1.0,,,2.0,1.0,5.0,1.0,1.0,1.0,,2.0,,,,2.0,1.0,,,3.0,,1.0,2.0,1.0,1.0,1.0,3.0,,,,,,1.0,,1.0,,,,,,,,,,,7.0,,4.0,3.0,2.0,2.0,8.0,18.0,276.0,376.0,,1.0,12.0,,,,,,,1.0,,,1.0,1.0,3.0,2.0,,,,,,,,,,,
17,266411,2008-12-13 15:00:00,"Stadium of Light, Sunderland",36280.0,Away,West Bromwich Albion,Sunderland,0,4,L,0,3,0,0,1.0,51.0,2.0,3.0,43.0,35.0,12.0,7.0,8.0,12.0,3.0,156.0,38.0,1.0,16.0,7.0,17.0,,3.0,35.0,9.0,18.0,8.0,12.0,25.0,201.0,0.0,129.0,18.0,,67.0,45.0,10.0,3.0,27.0,1.0,10.0,2.0,139.0,11.0,677.0,11.0,9.0,21.0,17.0,13.0,21.0,2.0,,32.0,79.0,,6251,129.0,16.0,142.0,10.0,62.0,,1.0,4.0,7.0,5.0,1.0,66.0,318.0,9.0,5.0,36.0,95.0,0.0,1.0,5.0,4.0,4.0,0.0,54.1,24.0,4.0,5.0,10.0,57.0,10.0,395.0,21.0,,8.0,15.0,3.0,29.0,288.0,7.0,12.0,10.0,88.0,24.0,2.0,10.0,11.0,4.0,3.0,24.0,2.0,11.0,2.0,,12.0,,1.0,3.0,,,,1.0,2.0,,3.0,,,1.0,,,10.0,,1.0,1.0,2.0,1.0,,,2.0,,,,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
18,266422,2008-12-21 13:30:00,"The Hawthorns, West Bromwich",25010.0,Home,West Bromwich Albion,Manchester City,2,1,W,0,0,0,0,,72.0,3.0,,40.0,44.0,3.0,,5.0,12.0,5.0,191.0,49.0,,14.0,,8.0,1.0,,29.0,19.0,28.0,5.0,7.0,37.0,167.0,0.0,160.0,10.0,3.0,63.0,54.0,5.0,1.0,24.0,,9.0,3.0,175.0,7.0,653.0,7.0,13.0,8.0,17.0,19.0,27.0,2.0,3.0,29.0,103.0,4.0,6251,87.0,13.0,98.0,7.0,67.0,11.0,8.0,5.0,6.0,2.0,1.0,73.0,248.0,11.0,12.0,42.0,102.0,0.0,7.0,2.0,1.0,6.0,0.0,47.3,20.0,20.0,5.0,,51.0,5.0,341.0,8.0,,13.0,20.0,9.0,27.0,272.0,9.0,7.0,10.0,97.0,24.0,4.0,18.0,23.0,1.0,3.0,29.0,4.0,5.0,3.0,,6.0,2.0,3.0,2.0,,,4.0,,7.0,,2.0,1.0,,3.0,,2.0,5.0,,5.0,4.0,1.0,5.0,2.0,,,4.0,1.0,,1.0,2.0,,1.0,4.0,,,,2.0,,1.0,,2.0,1.0,,2.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,
19,266425,2008-12-26 13:00:00,"Stamford Bridge, London",43417.0,Away,West Bromwich Albion,Chelsea,0,2,L,0,2,0,0,2.0,47.0,4.0,2.0,23.0,32.0,6.0,8.0,6.0,5.0,2.0,152.0,51.0,,10.0,2.0,10.0,1.0,1.0,19.0,20.0,16.0,4.0,16.0,25.0,152.0,0.0,117.0,8.0,,55.0,34.0,3.0,1.0,15.0,,9.0,4.0,136.0,16.0,578.0,5.0,11.0,12.0,9.0,8.0,18.0,0.0,4.0,23.0,89.0,1.0,6251,98.0,6.0,106.0,12.0,55.0,4.0,3.0,5.0,9.0,6.0,1.0,53.0,249.0,5.0,17.0,31.0,83.0,0.0,7.0,6.0,2.0,3.0,0.0,36.5,19.0,10.0,6.0,4.0,40.0,5.0,333.0,12.0,,15.0,13.0,4.0,29.0,246.0,2.0,15.0,10.0,67.0,19.0,4.0,9.0,30.0,2.0,3.0,11.0,4.0,5.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,3.0,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
20,266442,2008-12-28 14:00:00,"The Hawthorns, West Bromwich",26344.0,Home,West Bromwich Albion,Tottenham Hotspur,2,0,W,0,0,0,1,2.0,62.0,1.0,3.0,30.0,32.0,9.0,5.0,4.0,12.0,7.0,163.0,53.0,3.0,19.0,3.0,13.0,2.0,,27.0,15.0,17.0,7.0,13.0,23.0,154.0,0.0,135.0,17.0,,43.0,42.0,7.0,2.0,20.0,3.0,7.0,3.0,148.0,4.0,600.0,8.0,11.0,12.0,13.0,10.0,18.0,3.0,2.0,33.0,87.0,1.0,39253,94.0,12.0,112.0,2.0,56.0,1.0,,10.0,3.0,2.0,,67.0,242.0,12.0,6.0,39.0,75.0,0.0,4.0,2.0,,5.0,0.0,49.7,21.0,10.0,10.0,6.0,31.0,8.0,335.0,12.0,,11.0,10.0,6.0,23.0,250.0,9.0,9.0,10.0,80.0,26.0,4.0,11.0,27.0,,3.0,14.0,4.0,8.0,2.0,,6.0,2.0,1.0,3.0,2.0,,,3.0,5.0,,2.0,1.0,,2.0,2.0,2.0,4.0,,4.0,2.0,2.0,3.0,2.0,,1.0,1.0,,1.0,2.0,4.0,1.0,,1.0,,,,4.0,,1.0,,2.0,1.0,,2.0,,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,3.0,,,,,,,,
21,266445,2009-01-10 12:45:00,"Villa Park, Birmingham",41757.0,Away,West Bromwich Albion,Aston Villa,1,2,L,0,2,0,0,,75.0,3.0,2.0,18.0,55.0,3.0,3.0,9.0,10.0,3.0,215.0,56.0,1.0,14.0,1.0,12.0,2.0,1.0,25.0,20.0,33.0,5.0,12.0,47.0,193.0,0.0,166.0,18.0,,56.0,61.0,5.0,,20.0,1.0,5.0,2.0,193.0,11.0,787.0,8.0,12.0,15.0,18.0,2.0,30.0,1.0,6.0,29.0,109.0,1.0,39976,127.0,15.0,147.0,9.0,77.0,5.0,1.0,7.0,11.0,3.0,,52.0,313.0,11.0,5.0,27.0,101.0,0.0,10.0,5.0,2.0,5.0,0.0,53.0,25.0,9.0,8.0,3.0,49.0,7.0,432.0,14.0,,25.0,19.0,8.0,21.0,310.0,7.0,10.0,10.0,92.0,40.0,7.0,15.0,26.0,2.0,3.0,26.0,7.0,7.0,1.0,,7.0,1.0,3.0,,,,3.0,1.0,5.0,,1.0,1.0,,1.0,,1.0,6.0,,4.0,3.0,1.0,6.0,,1.0,,,,,2.0,5.0,1.0,,,1.0,,,5.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,
22,266462,2009-01-17 15:00:00,"The Hawthorns, West Bromwich",25557.0,Home,West Bromwich Albion,Middlesbrough,3,0,W,1,0,0,1,,64.0,,1.0,28.0,51.0,6.0,3.0,12.0,11.0,6.0,163.0,50.0,,14.0,1.0,13.0,3.0,2.0,22.0,17.0,28.0,4.0,9.0,22.0,130.0,0.0,112.0,16.0,,56.0,39.0,7.0,,18.0,,4.0,3.0,140.0,7.0,528.0,8.0,13.0,18.0,18.0,14.0,26.0,0.0,1.0,22.0,76.0,3.0,39976,95.0,14.0,109.0,9.0,57.0,9.0,1.0,2.0,3.0,1.0,,56.0,221.0,4.0,12.0,32.0,82.0,0.0,3.0,1.0,,5.0,0.0,39.5,15.0,11.0,3.0,2.0,41.0,5.0,308.0,18.0,,13.0,10.0,6.0,21.0,221.0,9.0,7.0,12.0,59.0,25.0,4.0,14.0,22.0,,3.0,17.0,4.0,5.0,4.0,,4.0,3.0,4.0,1.0,,,2.0,,4.0,,1.0,1.0,,1.0,2.0,2.0,3.0,,2.0,2.0,1.0,3.0,1.0,,2.0,3.0,,1.0,1.0,3.0,,,3.0,,,,3.0,2.0,,1.0,2.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,3.0,1.0,3.0,,,,,,,1.0,12.0,,,,,,,,1.0,,,,3.0,,,,,,2.0,1.0,,,,,
23,266467,2009-01-27 19:45:00,"The Hawthorns, West Bromwich",26105.0,Home,West Bromwich Albion,Manchester United,0,5,L,0,2,1,0,,59.0,,2.0,17.0,22.0,6.0,2.0,5.0,6.0,1.0,127.0,37.0,2.0,12.0,2.0,11.0,,,22.0,12.0,15.0,4.0,9.0,30.0,146.0,0.0,107.0,13.0,,32.0,48.0,3.0,1.0,18.0,2.0,8.0,3.0,120.0,13.0,557.0,5.0,7.0,18.0,18.0,8.0,8.0,5.0,3.0,17.0,63.0,2.0,39976,102.0,8.0,115.0,7.0,59.0,5.0,1.0,3.0,4.0,4.0,4.0,44.0,243.0,8.0,12.0,29.0,77.0,0.0,4.0,3.0,5.0,3.0,1.0,38.2,14.0,10.0,3.0,4.0,37.0,5.0,315.0,18.0,2.0,15.0,13.0,7.0,17.0,222.0,8.0,9.0,6.0,65.0,22.0,5.0,4.0,17.0,5.0,3.0,14.0,5.0,5.0,1.0,,5.0,,1.0,1.0,,,,,3.0,,,,,1.0,1.0,,4.0,,2.0,2.0,1.0,3.0,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,266478,2009-01-31 15:00:00,"The MKM Stadium, Hull",24879.0,Away,West Bromwich Albion,Hull City,2,2,D,0,1,0,0,1.0,57.0,5.0,1.0,17.0,62.0,7.0,4.0,2.0,10.0,6.0,195.0,40.0,,15.0,,7.0,2.0,2.0,19.0,16.0,40.0,6.0,11.0,27.0,92.0,0.0,91.0,12.0,1.0,52.0,37.0,5.0,1.0,13.0,,6.0,5.0,173.0,9.0,560.0,8.0,22.0,14.0,10.0,5.0,32.0,4.0,6.0,26.0,63.0,2.0,6251,96.0,5.0,127.0,16.0,48.0,6.0,3.0,4.0,10.0,5.0,1.0,48.0,184.0,13.0,9.0,32.0,102.0,0.0,8.0,1.0,2.0,6.0,0.0,48.9,22.0,6.0,5.0,1.0,40.0,6.0,303.0,14.0,,13.0,16.0,8.0,13.0,195.0,11.0,6.0,5.0,46.0,27.0,3.0,22.0,20.0,2.0,3.0,9.0,3.0,6.0,3.0,,4.0,2.0,2.0,2.0,,1.0,4.0,,5.0,,1.0,,1.0,1.0,1.0,2.0,3.0,3.0,,,1.0,3.0,1.0,,,3.0,,,1.0,6.0,,,3.0,2.0,,,6.0,2.0,,2.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,2.0,1.0,3.0,2.0,,,,,,,11.0,,,,,,,,,,,,5.0,,,,,,1.0,2.0,,,,,
25,266491,2009-02-07 15:00:00,"The Hawthorns, West Bromwich",25817.0,Home,West Bromwich Albion,Newcastle United,2,3,L,1,3,0,0,,87.0,,1.0,47.0,57.0,8.0,2.0,4.0,10.0,5.0,182.0,37.0,,13.0,1.0,12.0,1.0,1.0,24.0,6.0,32.0,3.0,17.0,50.0,177.0,0.0,181.0,8.0,,45.0,71.0,6.0,1.0,21.0,,9.0,5.0,157.0,8.0,712.0,5.0,20.0,14.0,25.0,15.0,34.0,2.0,4.0,26.0,96.0,4.0,6251,119.0,12.0,136.0,6.0,40.0,10.0,7.0,5.0,6.0,2.0,1.0,87.0,291.0,12.0,7.0,39.0,96.0,0.0,4.0,1.0,3.0,7.0,0.0,52.8,21.0,20.0,5.0,2.0,48.0,3.0,400.0,14.0,,6.0,26.0,6.0,35.0,288.0,9.0,14.0,9.0,108.0,29.0,3.0,20.0,12.0,3.0,3.0,11.0,3.0,3.0,2.0,,5.0,2.0,,2.0,1.0,,2.0,,4.0,,1.0,1.0,,3.0,1.0,2.0,4.0,,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,2.0,1.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,266497,2009-02-22 13:30:00,"Craven Cottage, London",22394.0,Away,West Bromwich Albion,Fulham,0,2,L,0,0,0,0,2.0,63.0,2.0,1.0,32.0,50.0,5.0,4.0,7.0,9.0,6.0,161.0,54.0,,12.0,1.0,13.0,3.0,2.0,22.0,14.0,31.0,4.0,13.0,30.0,169.0,0.0,147.0,10.0,3.0,56.0,40.0,6.0,1.0,18.0,,5.0,1.0,142.0,10.0,675.0,8.0,9.0,13.0,16.0,7.0,21.0,1.0,6.0,18.0,72.0,3.0,6251,136.0,12.0,153.0,9.0,53.0,4.0,1.0,6.0,13.0,3.0,2.0,59.0,300.0,12.0,8.0,29.0,84.0,0.0,12.0,2.0,2.0,5.0,0.0,42.5,17.0,11.0,6.0,2.0,42.0,4.0,395.0,13.0,,16.0,16.0,4.0,19.0,264.0,5.0,11.0,14.0,94.0,23.0,6.0,11.0,21.0,2.0,3.0,13.0,6.0,4.0,4.0,,5.0,,,3.0,,1.0,2.0,,3.0,,1.0,,,1.0,1.0,,4.0,1.0,3.0,3.0,1.0,3.0,,,,2.0,,,3.0,1.0,,,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
27,266508,2009-02-28 12:45:00,"Goodison Park, Liverpool",33898.0,Away,West Bromwich Albion,Everton,0,2,L,0,1,0,0,,65.0,,4.0,32.0,56.0,10.0,4.0,5.0,16.0,5.0,177.0,45.0,,21.0,4.0,13.0,4.0,3.0,27.0,17.0,33.0,5.0,10.0,34.0,184.0,0.0,160.0,18.0,,70.0,43.0,11.0,,22.0,,6.0,4.0,154.0,6.0,700.0,14.0,16.0,23.0,14.0,5.0,29.0,1.0,3.0,24.0,86.0,2.0,6251,111.0,15.0,126.0,6.0,63.0,5.0,,5.0,6.0,3.0,,63.0,289.0,9.0,6.0,21.0,86.0,0.0,3.0,3.0,2.0,2.0,0.0,48.0,22.0,14.0,5.0,8.0,45.0,6.0,389.0,23.0,,18.0,19.0,8.0,25.0,290.0,13.0,10.0,10.0,101.0,22.0,6.0,19.0,21.0,1.0,3.0,15.0,6.0,6.0,3.0,,6.0,,2.0,1.0,,,5.0,,5.0,2.0,,,,2.0,1.0,,4.0,1.0,3.0,1.0,2.0,3.0,,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
28,266517,2009-03-03 19:45:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Arsenal,1,3,L,1,3,0,0,,58.0,1.0,,29.0,44.0,4.0,2.0,9.0,8.0,4.0,179.0,64.0,1.0,10.0,1.0,17.0,2.0,,20.0,24.0,22.0,2.0,7.0,36.0,155.0,0.0,129.0,20.0,2.0,79.0,49.0,4.0,1.0,18.0,1.0,8.0,2.0,157.0,11.0,691.0,6.0,8.0,31.0,23.0,9.0,22.0,4.0,1.0,26.0,88.0,1.0,6251,138.0,8.0,156.0,10.0,73.0,6.0,2.0,2.0,6.0,4.0,1.0,63.0,290.0,14.0,13.0,41.0,96.0,0.0,4.0,3.0,3.0,3.0,0.0,46.4,20.0,5.0,2.0,1.0,43.0,3.0,392.0,30.0,,12.0,23.0,5.0,20.0,256.0,6.0,6.0,7.0,75.0,21.0,2.0,8.0,34.0,3.0,2.0,20.0,2.0,3.0,2.0,,3.0,1.0,2.0,1.0,,,1.0,,4.0,,2.0,,,2.0,1.0,,1.0,,2.0,1.0,2.0,3.0,,,,1.0,,,4.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,
29,266533,2009-03-16 20:00:00,"Boleyn Ground, London",40842.0,Away,West Bromwich Albion,West Ham United,0,0,D,0,0,0,0,1.0,63.0,,,33.0,37.0,6.0,5.0,6.0,4.0,1.0,164.0,50.0,2.0,10.0,4.0,11.0,1.0,1.0,22.0,13.0,21.0,2.0,11.0,36.0,163.0,0.0,135.0,13.0,,84.0,44.0,1.0,3.0,20.0,2.0,1.0,2.0,148.0,6.0,660.0,4.0,13.0,24.0,13.0,4.0,17.0,1.0,2.0,26.0,81.0,1.0,39976,126.0,18.0,138.0,9.0,67.0,7.0,,,4.0,5.0,2.0,62.0,287.0,11.0,9.0,23.0,76.0,0.0,3.0,1.0,,7.0,0.0,46.6,24.0,19.0,,4.0,40.0,3.0,373.0,21.0,,17.0,20.0,5.0,19.0,257.0,4.0,11.0,13.0,81.0,28.0,,7.0,19.0,,3.0,24.0,,4.0,,,2.0,,,,,,2.0,,3.0,,1.0,,,,,,2.0,,1.0,,,2.0,,,1.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
