gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,attCmissHigh,ownGoals,totalOffside,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,bigChanceScored,attGoalLowLeft,savedObox,shotFastbreak,accurateKeeperSweeper,divingSave,totalFastbreak,attSvHighLeft,goodHighClaim,bigChanceCreated,totalKeeperSweeper,accurateThroughBall,bigChanceMissed,attObxdLeft,totalThroughBall,accurateKeeperThrows,attFastbreak,attSvLowRight,savedIbox,shieldBallOop,attHdTotal,attHdMiss,keeperThrows,totalHighClaim,attCmissRight,attFreekickTotal,attObxLeft,attSvHighRight,attSvLowLeft,attMissRight,freekickTotal,attHdTarget,attMissHighLeft,attCmissHighLeft,attAssistSetplay,attCmissLeft,attFreekickMiss,attLfGoal,attPenTarget,postScoringAtt,cleanSheet,penaltyWon,attPostLeft,hitWoodwork,sixYardBlock,attOboxPost,attLgCentre,errorLeadToShot,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,accurateFreekickCross,goalAssistSetplay,goalAssistDeadball,midfielderGoals,totalPullBack,attHdGoal,accuratePullBack,attGoalHighCentre,clearanceOffLine,attGoalHighRight,attPenMiss,defenderGoals,attCmissHighRight,attObxRight,errorLeadToGoal,goalsConcededObox,penaltySave,attOboxGoal,attGoalHighLeft,attFreekickGoal,attGoalLowCentre,goalFastbreak,attIboxPost,attPostHigh,foulThrowIn,attPenGoal,attHdPost,secondYellow,saves,putThrough,blockedPass,attPostRight
11,360569,2011-11-05 15:00:00,"Emirates Stadium, London",60091,Away,West Bromwich Albion,Arsenal,0,3,L,0,2,0,0,1.0,1.0,63.0,,1.0,20.0,27.0,5.0,4.0,,137.0,2.0,8.0,,4.0,8.0,2.0,52.0,150.0,53.0,10.0,2.0,10.0,2.0,,,1.0,1.0,10.0,15.0,,19.0,1.0,21.0,41.0,126.0,1.0,0.0,102.0,13.0,2.0,43.0,42.0,4.0,63.0,,9.0,1.0,3.0,142.0,9.0,74.0,506.0,7.0,8.0,15.0,30.0,7.0,16.0,,0.0,2.0,4.0,22.0,53.0,9089,3.0,112.0,6.0,2.0,139.0,,8.0,43.0,,,6.0,,8.0,3.0,1.0,1.0,41.0,236.0,12.0,2.0,22.0,71.0,,0.0,,4.0,,3.0,2.0,0.0,1.0,,33.3,18.0,3.0,2.0,1.0,3.0,34.0,1.0,326.0,10.0,10.0,18.0,5.0,12.0,1.0,2.0,197.0,4.0,20.0,14.0,62.0,22.0,,5.0,,10.0,19.0,3.0,6.0,3.0,17.0,5.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,4.0,6.0,,,2.0,,2.0,1.0,6.0,1.0,,1.0,,,,2.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,360587,2011-11-19 15:00:00,"The Hawthorns, West Bromwich",26221,Home,West Bromwich Albion,Bolton Wanderers,2,1,W,1,1,0,0,1.0,,67.0,2.0,2.0,30.0,28.0,4.0,3.0,1.0,199.0,12.0,6.0,2.0,2.0,14.0,6.0,115.0,185.0,59.0,16.0,1.0,17.0,4.0,2.0,2.0,2.0,2.0,28.0,18.0,,17.0,6.0,21.0,47.0,234.0,,0.0,183.0,13.0,1.0,101.0,34.0,9.0,79.0,,22.0,6.0,3.0,174.0,7.0,99.0,693.0,10.0,6.0,14.0,33.0,5.0,18.0,2.0,1.0,4.0,5.0,15.0,73.0,9089,8.0,162.0,15.0,,191.0,1.0,6.0,59.0,,,2.0,2.0,20.0,3.0,1.0,2.0,44.0,384.0,13.0,11.0,24.0,92.0,1.0,0.0,1.0,5.0,2.0,1.0,2.0,0.0,6.0,2.0,53.8,12.0,1.0,2.0,,3.0,57.0,7.0,492.0,11.0,14.0,35.0,7.0,36.0,6.0,4.0,329.0,8.0,17.0,20.0,126.0,26.0,1.0,3.0,,11.0,20.0,1.0,13.0,2.0,11.0,3.0,7.0,1.0,,1.0,,,2.0,,,2.0,1.0,,3.0,,,5.0,3.0,,1.0,2.0,,4.0,,3.0,2.0,,,,1.0,,1.0,,3.0,2.0,,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,360598,2011-11-26 15:00:00,"The Hawthorns, West Bromwich",24801,Home,West Bromwich Albion,Tottenham Hotspur,1,3,L,1,1,0,0,1.0,,51.0,,1.0,20.0,22.0,4.0,2.0,3.0,139.0,7.0,5.0,1.0,,11.0,5.0,84.0,143.0,51.0,11.0,1.0,7.0,3.0,,1.0,3.0,1.0,23.0,18.0,1.0,14.0,,15.0,26.0,197.0,1.0,0.0,145.0,11.0,,72.0,43.0,7.0,49.0,1.0,23.0,9.0,2.0,135.0,16.0,96.0,555.0,10.0,6.0,11.0,16.0,7.0,10.0,1.0,2.0,6.0,4.0,11.0,72.0,9089,5.0,99.0,14.0,,116.0,,11.0,47.0,,,1.0,1.0,11.0,10.0,7.0,1.0,44.0,289.0,13.0,9.0,23.0,76.0,,0.0,2.0,10.0,1.0,3.0,2.0,0.0,7.0,1.0,43.8,11.0,2.0,2.0,,2.0,44.0,1.0,368.0,10.0,13.0,15.0,4.0,25.0,,2.0,275.0,6.0,14.0,9.0,102.0,24.0,,2.0,,5.0,24.0,2.0,11.0,3.0,13.0,2.0,1.0,,1.0,3.0,,,2.0,,,2.0,,,1.0,,,3.0,4.0,,,5.0,,3.0,1.0,5.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
14,360605,2011-12-03 15:00:00,"Kiyan Prince Foundation Stadium, London",17290,Away,West Bromwich Albion,Queens Park Rangers,1,1,D,0,1,0,0,1.0,2.0,55.0,1.0,,20.0,26.0,10.0,6.0,1.0,164.0,2.0,8.0,1.0,5.0,9.0,5.0,93.0,184.0,52.0,16.0,5.0,12.0,3.0,,,3.0,4.0,16.0,15.0,1.0,16.0,3.0,20.0,40.0,174.0,1.0,0.0,158.0,10.0,2.0,57.0,59.0,5.0,51.0,,13.0,2.0,5.0,174.0,3.0,100.0,609.0,9.0,17.0,8.0,24.0,14.0,16.0,,3.0,1.0,4.0,30.0,81.0,9089,2.0,127.0,9.0,2.0,149.0,1.0,16.0,51.0,1.0,,1.0,1.0,14.0,8.0,10.0,1.0,44.0,299.0,6.0,8.0,37.0,93.0,,0.0,4.0,3.0,1.0,1.0,6.0,0.0,1.0,,51.6,26.0,1.0,2.0,,5.0,52.0,5.0,408.0,8.0,11.0,23.0,6.0,22.0,1.0,1.0,275.0,8.0,17.0,20.0,95.0,23.0,1.0,2.0,,12.0,18.0,1.0,11.0,3.0,19.0,2.0,5.0,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,2.0,4.0,,,,1.0,2.0,1.0,4.0,,,2.0,,,1.0,,2.0,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,360618,2011-12-10 15:00:00,"The Hawthorns, West Bromwich",25446,Home,West Bromwich Albion,Wigan Athletic,1,2,L,1,1,0,0,1.0,1.0,64.0,,7.0,25.0,7.0,6.0,9.0,,165.0,15.0,3.0,1.0,3.0,19.0,3.0,109.0,161.0,42.0,23.0,4.0,4.0,1.0,,,,5.0,41.0,15.0,1.0,3.0,13.0,19.0,37.0,266.0,1.0,0.0,186.0,12.0,1.0,86.0,53.0,10.0,57.0,,28.0,11.0,,157.0,2.0,111.0,663.0,15.0,9.0,26.0,17.0,9.0,2.0,,2.0,3.0,9.0,24.0,81.0,9089,13.0,116.0,16.0,1.0,128.0,1.0,4.0,45.0,,,3.0,,18.0,8.0,2.0,,42.0,367.0,8.0,5.0,20.0,76.0,,0.0,2.0,2.0,,2.0,5.0,0.0,9.0,,50.9,19.0,7.0,1.0,1.0,11.0,50.0,13.0,442.0,18.0,12.0,20.0,9.0,30.0,6.0,9.0,355.0,6.0,18.0,10.0,139.0,28.0,,,,1.0,21.0,2.0,14.0,3.0,17.0,,13.0,,,2.0,,1.0,,,,2.0,1.0,1.0,,1.0,,1.0,7.0,,1.0,,,7.0,6.0,7.0,2.0,,2.0,,,,2.0,2.0,1.0,1.0,,4.0,3.0,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
16,360620,2011-12-17 15:00:00,"Ewood Park, Blackburn",22909,Away,West Bromwich Albion,Blackburn Rovers,2,1,W,0,0,0,0,3.0,1.0,65.0,,4.0,26.0,27.0,6.0,6.0,1.0,163.0,4.0,6.0,2.0,2.0,13.0,4.0,105.0,166.0,35.0,14.0,,14.0,,2.0,1.0,1.0,2.0,31.0,10.0,2.0,15.0,7.0,23.0,33.0,232.0,,0.0,173.0,13.0,2.0,82.0,77.0,7.0,71.0,,24.0,9.0,2.0,154.0,8.0,101.0,627.0,11.0,3.0,14.0,30.0,7.0,24.0,1.0,1.0,6.0,6.0,17.0,67.0,9089,4.0,119.0,13.0,2.0,138.0,1.0,4.0,43.0,,,4.0,1.0,9.0,8.0,1.0,2.0,60.0,347.0,7.0,6.0,32.0,85.0,,0.0,1.0,3.0,,1.0,2.0,0.0,4.0,,55.7,13.0,2.0,1.0,,4.0,46.0,7.0,440.0,11.0,9.0,20.0,6.0,21.0,,4.0,333.0,6.0,21.0,10.0,120.0,18.0,1.0,2.0,,13.0,12.0,1.0,11.0,3.0,10.0,2.0,7.0,,2.0,2.0,,1.0,1.0,,,3.0,1.0,1.0,1.0,1.0,,3.0,10.0,,1.0,3.0,,2.0,2.0,10.0,3.0,,,,,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
17,360638,2011-12-21 19:45:00,"St. James' Park, Newcastle",51060,Away,West Bromwich Albion,Newcastle United,3,2,W,2,1,0,0,,,59.0,1.0,2.0,20.0,26.0,6.0,5.0,2.0,149.0,1.0,5.0,3.0,1.0,14.0,5.0,82.0,159.0,48.0,15.0,1.0,12.0,2.0,3.0,2.0,,2.0,12.0,15.0,,13.0,1.0,24.0,34.0,150.0,,0.0,101.0,11.0,1.0,51.0,54.0,7.0,51.0,,11.0,4.0,5.0,146.0,11.0,93.0,574.0,11.0,9.0,11.0,25.0,5.0,13.0,3.0,0.0,10.0,7.0,21.0,65.0,9089,4.0,132.0,6.0,2.0,156.0,1.0,15.0,41.0,,,4.0,2.0,12.0,15.0,5.0,3.0,48.0,281.0,9.0,10.0,26.0,95.0,,0.0,1.0,10.0,3.0,2.0,8.0,0.0,1.0,3.0,45.1,15.0,,,1.0,3.0,46.0,1.0,375.0,10.0,5.0,18.0,7.0,15.0,,1.0,231.0,8.0,24.0,10.0,61.0,27.0,1.0,6.0,,7.0,24.0,1.0,12.0,3.0,8.0,6.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,,2.0,3.0,2.0,2.0,1.0,,4.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,3.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,
18,360648,2011-12-26 15:00:00,"The Hawthorns, West Bromwich",25938,Home,West Bromwich Albion,Manchester City,0,0,D,0,0,0,0,,,49.0,,,20.0,38.0,6.0,3.0,1.0,94.0,2.0,4.0,,1.0,6.0,1.0,44.0,137.0,44.0,8.0,2.0,6.0,,,,,2.0,16.0,18.0,1.0,24.0,4.0,13.0,27.0,101.0,,0.0,81.0,8.0,,42.0,41.0,2.0,41.0,1.0,12.0,3.0,2.0,123.0,7.0,59.0,426.0,5.0,3.0,13.0,26.0,9.0,16.0,,0.0,4.0,4.0,17.0,57.0,9089,1.0,74.0,9.0,1.0,89.0,,12.0,29.0,,,2.0,,17.0,10.0,5.0,,38.0,173.0,9.0,4.0,25.0,67.0,1.0,0.0,1.0,9.0,,,1.0,0.0,2.0,,27.4,12.0,1.0,1.0,,2.0,34.0,5.0,238.0,10.0,3.0,12.0,5.0,6.0,,2.0,165.0,4.0,13.0,10.0,47.0,11.0,,4.0,,9.0,21.0,,3.0,2.0,12.0,4.0,5.0,,,4.0,,,3.0,,,1.0,1.0,,,1.0,,,3.0,,1.0,,,1.0,1.0,4.0,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,2.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,360658,2012-01-01 12:30:00,"The Hawthorns, West Bromwich",23038,Home,West Bromwich Albion,Everton,0,1,L,0,0,0,0,1.0,,54.0,,2.0,32.0,32.0,5.0,6.0,,174.0,4.0,4.0,,1.0,11.0,,105.0,164.0,37.0,13.0,1.0,11.0,,3.0,,,2.0,19.0,9.0,,20.0,2.0,12.0,32.0,203.0,1.0,0.0,165.0,11.0,1.0,45.0,71.0,3.0,61.0,1.0,17.0,8.0,4.0,152.0,11.0,114.0,640.0,11.0,7.0,14.0,22.0,7.0,21.0,,0.0,6.0,8.0,21.0,83.0,9089,2.0,159.0,8.0,1.0,180.0,,8.0,38.0,1.0,,3.0,,18.0,4.0,7.0,5.0,62.0,358.0,8.0,2.0,22.0,83.0,2.0,0.0,,7.0,,1.0,2.0,0.0,3.0,,51.0,18.0,1.0,,,3.0,52.0,2.0,454.0,7.0,7.0,12.0,10.0,29.0,1.0,6.0,293.0,4.0,12.0,13.0,113.0,23.0,,5.0,,13.0,12.0,1.0,12.0,1.0,12.0,5.0,2.0,,,,,,2.0,,,1.0,1.0,,1.0,2.0,,2.0,6.0,,,3.0,,3.0,3.0,6.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
20,360666,2012-01-03 19:45:00,"White Hart Lane, London",36062,Away,West Bromwich Albion,Tottenham Hotspur,0,1,L,0,0,0,0,1.0,,58.0,,2.0,19.0,40.0,4.0,1.0,1.0,134.0,3.0,5.0,,,4.0,1.0,60.0,149.0,35.0,8.0,1.0,9.0,,,,,1.0,9.0,15.0,1.0,20.0,7.0,9.0,16.0,112.0,,0.0,111.0,15.0,,39.0,38.0,1.0,37.0,1.0,2.0,,2.0,129.0,8.0,65.0,482.0,3.0,9.0,21.0,28.0,6.0,19.0,,5.0,10.0,3.0,11.0,64.0,9089,2.0,103.0,2.0,,121.0,,9.0,47.0,,,3.0,,12.0,12.0,3.0,2.0,44.0,212.0,3.0,10.0,27.0,71.0,1.0,0.0,2.0,14.0,,1.0,2.0,0.0,,,31.8,9.0,3.0,1.0,,3.0,31.0,7.0,296.0,16.0,4.0,7.0,4.0,15.0,3.0,2.0,184.0,5.0,8.0,7.0,63.0,19.0,,4.0,,11.0,20.0,1.0,,3.0,15.0,4.0,7.0,,,3.0,,1.0,1.0,,,1.0,,1.0,,,,1.0,3.0,,,1.0,,2.0,2.0,3.0,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,360677,2012-01-14 15:00:00,"The Hawthorns, West Bromwich",22474,Home,West Bromwich Albion,Norwich City,1,2,L,0,1,0,0,1.0,3.0,64.0,1.0,1.0,33.0,20.0,8.0,4.0,2.0,178.0,9.0,4.0,1.0,4.0,14.0,7.0,111.0,183.0,44.0,19.0,1.0,7.0,3.0,,,2.0,3.0,35.0,12.0,3.0,10.0,10.0,19.0,51.0,239.0,2.0,0.0,182.0,6.0,1.0,94.0,57.0,5.0,59.0,,25.0,6.0,4.0,173.0,7.0,133.0,708.0,12.0,4.0,25.0,23.0,5.0,11.0,,0.0,2.0,9.0,24.0,81.0,9089,8.0,152.0,18.0,,173.0,1.0,8.0,38.0,1.0,,1.0,,14.0,1.0,3.0,2.0,58.0,382.0,15.0,2.0,30.0,88.0,,0.0,3.0,5.0,1.0,2.0,2.0,0.0,6.0,,54.7,23.0,2.0,2.0,,2.0,44.0,10.0,481.0,22.0,12.0,31.0,10.0,23.0,3.0,6.0,343.0,11.0,17.0,9.0,129.0,28.0,1.0,2.0,,6.0,16.0,2.0,13.0,3.0,16.0,2.0,10.0,1.0,,,,2.0,,,1.0,2.0,2.0,2.0,1.0,2.0,,7.0,9.0,,2.0,1.0,1.0,4.0,3.0,9.0,3.0,,1.0,,1.0,,2.0,1.0,1.0,1.0,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
22,360686,2012-01-21 15:00:00,"bet365 Stadium, Stoke",26865,Away,West Bromwich Albion,Stoke City,2,1,W,1,0,0,0,1.0,1.0,56.0,1.0,1.0,19.0,40.0,11.0,3.0,2.0,156.0,1.0,11.0,2.0,2.0,11.0,5.0,66.0,203.0,46.0,16.0,1.0,8.0,2.0,,1.0,1.0,2.0,14.0,12.0,1.0,16.0,1.0,5.0,31.0,119.0,1.0,0.0,111.0,10.0,2.0,88.0,22.0,5.0,52.0,,13.0,3.0,6.0,179.0,6.0,68.0,558.0,10.0,3.0,14.0,19.0,10.0,15.0,1.0,0.0,4.0,6.0,28.0,55.0,9089,4.0,114.0,8.0,,147.0,2.0,13.0,42.0,,,2.0,1.0,15.0,6.0,3.0,1.0,51.0,232.0,10.0,6.0,35.0,92.0,1.0,0.0,1.0,5.0,,1.0,2.0,0.0,1.0,,51.7,19.0,2.0,1.0,,2.0,29.0,1.0,342.0,12.0,10.0,10.0,9.0,12.0,,2.0,209.0,13.0,4.0,7.0,67.0,26.0,,3.0,,6.0,18.0,1.0,15.0,3.0,20.0,3.0,1.0,,,,1.0,,1.0,1.0,1.0,5.0,1.0,,,1.0,,1.0,5.0,1.0,,1.0,,,,5.0,5.0,1.0,1.0,,,1.0,2.0,1.0,,2.0,,,1.0,,,,1.0,,,1.0,2.0,,1.0,,,1.0,,1.0,,,,,2.0,2.0,,2.0,,,,,,,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,
23,360698,2012-02-01 20:00:00,"Craven Cottage, London",25689,Away,West Bromwich Albion,Fulham,1,1,D,0,0,0,0,1.0,1.0,79.0,,2.0,24.0,46.0,7.0,3.0,3.0,159.0,1.0,6.0,1.0,1.0,12.0,5.0,84.0,174.0,41.0,14.0,2.0,6.0,2.0,2.0,1.0,3.0,,19.0,14.0,2.0,25.0,7.0,15.0,40.0,132.0,1.0,0.0,98.0,8.0,,54.0,29.0,7.0,45.0,1.0,12.0,5.0,3.0,153.0,5.0,97.0,598.0,11.0,6.0,11.0,41.0,6.0,29.0,1.0,0.0,4.0,5.0,13.0,53.0,9089,1.0,167.0,7.0,,190.0,1.0,11.0,40.0,,,2.0,1.0,17.0,10.0,4.0,2.0,43.0,298.0,6.0,10.0,16.0,79.0,,0.0,2.0,8.0,1.0,1.0,1.0,0.0,,1.0,37.7,10.0,2.0,4.0,,4.0,44.0,7.0,385.0,10.0,10.0,20.0,5.0,19.0,1.0,2.0,214.0,11.0,13.0,11.0,60.0,26.0,,3.0,,18.0,18.0,1.0,13.0,2.0,13.0,3.0,7.0,,1.0,2.0,,,1.0,,,1.0,,1.0,3.0,,,4.0,7.0,,1.0,1.0,2.0,,,7.0,1.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,360707,2012-02-04 15:00:00,"The Hawthorns, West Bromwich",24274,Home,West Bromwich Albion,Swansea City,1,2,L,0,0,0,0,1.0,2.0,52.0,,3.0,10.0,22.0,7.0,3.0,3.0,140.0,8.0,9.0,1.0,2.0,12.0,7.0,84.0,166.0,31.0,21.0,,8.0,3.0,3.0,,5.0,4.0,30.0,12.0,3.0,17.0,8.0,17.0,41.0,178.0,2.0,0.0,125.0,12.0,2.0,79.0,50.0,7.0,52.0,,22.0,6.0,4.0,161.0,9.0,72.0,573.0,8.0,3.0,17.0,24.0,4.0,9.0,,2.0,7.0,5.0,29.0,47.0,9089,7.0,100.0,14.0,1.0,115.0,,7.0,44.0,1.0,,2.0,,27.0,7.0,1.0,2.0,21.0,270.0,4.0,2.0,16.0,66.0,,0.0,,7.0,1.0,2.0,1.0,0.0,5.0,,36.6,26.0,2.0,,,3.0,34.0,8.0,348.0,9.0,17.0,19.0,11.0,19.0,3.0,7.0,263.0,12.0,17.0,1.0,86.0,24.0,1.0,,,7.0,17.0,2.0,14.0,3.0,15.0,,8.0,,1.0,,,,,,1.0,1.0,,,,1.0,,,2.0,,,,1.0,5.0,4.0,2.0,1.0,2.0,,,,,3.0,,1.0,,,4.0,1.0,,1.0,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,360718,2012-02-12 13:30:00,"Molineux Stadium, Wolverhampton",27131,Away,West Bromwich Albion,Wolverhampton Wanderers,5,1,W,1,1,0,0,1.0,3.0,49.0,1.0,3.0,31.0,36.0,10.0,10.0,6.0,143.0,5.0,7.0,5.0,1.0,24.0,14.0,92.0,152.0,35.0,29.0,1.0,12.0,7.0,7.0,3.0,2.0,3.0,22.0,11.0,2.0,20.0,8.0,21.0,25.0,180.0,1.0,0.0,140.0,12.0,1.0,58.0,66.0,16.0,47.0,1.0,14.0,2.0,5.0,136.0,5.0,77.0,571.0,17.0,7.0,7.0,19.0,7.0,21.0,5.0,0.0,7.0,8.0,28.0,57.0,9089,6.0,106.0,11.0,,123.0,1.0,7.0,48.0,,,2.0,3.0,13.0,7.0,2.0,3.0,49.0,281.0,6.0,7.0,23.0,61.0,,0.0,,12.0,3.0,1.0,2.0,0.0,,3.0,46.0,25.0,2.0,,2.0,4.0,29.0,8.0,359.0,6.0,13.0,13.0,11.0,18.0,5.0,5.0,258.0,16.0,21.0,11.0,99.0,24.0,3.0,6.0,,11.0,11.0,1.0,22.0,3.0,12.0,6.0,8.0,2.0,1.0,2.0,2.0,,1.0,3.0,,2.0,2.0,,,2.0,,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,1.0,1.0,3.0,,,,,2.0,1.0,,4.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,2.0,,2.0,,1.0,,,1.0,,,,,,2.0,1.0,,2.0,1.0,1.0,,,,1.0,,,,,
26,360727,2012-02-25 15:00:00,"The Hawthorns, West Bromwich",25311,Home,West Bromwich Albion,Sunderland,4,0,W,2,0,0,0,,2.0,75.0,,2.0,33.0,10.0,7.0,5.0,3.0,203.0,6.0,12.0,4.0,2.0,15.0,10.0,131.0,186.0,45.0,20.0,2.0,7.0,3.0,1.0,4.0,4.0,,29.0,15.0,3.0,10.0,6.0,30.0,32.0,255.0,1.0,0.0,200.0,6.0,1.0,113.0,95.0,12.0,94.0,,23.0,6.0,2.0,186.0,2.0,137.0,777.0,9.0,6.0,14.0,31.0,13.0,4.0,4.0,1.0,2.0,3.0,24.0,67.0,9089,7.0,209.0,16.0,3.0,234.0,1.0,8.0,38.0,1.0,,3.0,4.0,20.0,8.0,5.0,1.0,59.0,458.0,8.0,5.0,35.0,97.0,,0.0,3.0,,4.0,,3.0,0.0,4.0,4.0,60.6,18.0,8.0,4.0,,4.0,54.0,7.0,565.0,8.0,14.0,12.0,6.0,20.0,2.0,3.0,360.0,11.0,26.0,8.0,150.0,25.0,2.0,4.0,,4.0,17.0,,14.0,3.0,18.0,4.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,1.0,3.0,1.0,1.0,2.0,,2.0,6.0,1.0,,,,4.0,1.0,6.0,1.0,,1.0,,1.0,1.0,3.0,1.0,1.0,,,2.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,2.0,1.0,2.0,,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,
27,360737,2012-03-03 15:00:00,"The Hawthorns, West Bromwich",24838,Home,West Bromwich Albion,Chelsea,1,0,W,0,0,0,0,,,52.0,,5.0,23.0,25.0,12.0,5.0,6.0,141.0,9.0,9.0,1.0,4.0,17.0,7.0,85.0,161.0,46.0,25.0,2.0,7.0,1.0,2.0,,2.0,6.0,35.0,20.0,5.0,13.0,13.0,14.0,35.0,166.0,1.0,0.0,122.0,9.0,3.0,36.0,66.0,10.0,56.0,2.0,22.0,3.0,5.0,149.0,6.0,77.0,571.0,12.0,6.0,14.0,27.0,9.0,18.0,1.0,3.0,5.0,7.0,20.0,54.0,9089,3.0,121.0,16.0,2.0,140.0,,8.0,40.0,1.0,,2.0,,12.0,7.0,6.0,3.0,39.0,278.0,10.0,5.0,22.0,76.0,,0.0,1.0,5.0,1.0,,1.0,0.0,5.0,,45.7,14.0,,2.0,2.0,7.0,48.0,14.0,359.0,9.0,10.0,22.0,11.0,16.0,4.0,6.0,254.0,14.0,13.0,5.0,87.0,20.0,,3.0,,9.0,22.0,,16.0,3.0,18.0,3.0,14.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,3.0,,,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,4.0,2.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
