gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,goals,fouledFinalThird,attBxRight,goalAssistOpenplay,attMissLeft,divingSave,midfielderGoals,freekickCross,bigChanceCreated,attHdTarget,attMissHighLeft,goalAssist,bigChanceMissed,attSetpiece,attRfGoal,totalThroughBall,goalsOpenplay,attSvLowRight,attCmissLeft,attIboxGoal,accurateCrossNocorner,goalAssistIntentional,attSvHighCentre,bigChanceScored,attGoalLowLeft,attLfGoal,accuratePullBack,shotFastbreak,attSvHighRight,cleanSheet,totalFastbreak,accurateThroughBall,attFastbreak,punches,forwardGoals,effectiveBlockedCross,blockedCross,attFreekickTotal,ptsGainedLosingPos,freekickTotal,accurateFreekickCross,defenderGoals,attFreekickMiss,attGoalHighRight,attLgCentre,clearanceOffLine,ptsDroppedWinningPos,errorLeadToGoal,goalsConcededObox,attLgRight,ownGoals,attIboxOwnGoal,handBall,postScoringAtt,attOboxGoal,attCmissHigh,attOboxPost,attPostHigh,attMissHighRight,attCmissHighRight,attGoalHighCentre,attHdGoal,goalAssistSetplay,contentiousDecision,attGoalHighLeft,attFreekickGoal,attObxLeft,attIboxPost,attOneOnOne,attSvHighLeft,attObxdLeft,attFreekickTarget,goalAssistDeadball,errorLeadToShot,sixYardBlock,goalFastbreak,attPostLeft,attCmissHighLeft,attHdPost,attGoalLowCentre,attPostRight,foulThrowIn,attObxRight,attPenTarget,penaltyWon,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdRight
11,1059811,2019-11-02 15:00:00,"London Stadium, London",59907.0,Away,Newcastle United,West Ham United,3,2,W,2,0,0,0,2.0,65.0,,27.0,40.0,5.0,2.0,7.0,4.0,4.0,135.0,1.0,16.0,8.0,,9.0,48.0,128.0,64.0,12.0,,18.0,4.0,1.0,1.0,11.0,12.0,2.0,40.0,2.0,6.0,31.0,102.0,0.0,84.0,7.0,2.0,2.0,51.0,43.0,7.0,40.0,1.0,,9.0,8.0,5.0,4.0,1.0,128.0,13.0,39.0,454.0,6.0,4.0,19.0,1.0,10.0,162.0,36.0,7.0,22.0,1.0,1.0,4.0,1.0,8.0,233.0,36.0,92159,5.0,75.0,3.0,91.0,3.0,,8.0,12.0,49.0,4.0,,12.0,3.0,5.0,1.0,70.0,176.0,10.0,11.0,,28.0,1.0,68.0,0.0,3.0,7.0,3.0,2.0,,0.0,,2.0,30.5,8.0,,3.0,,,,26.0,3.0,2.0,262.0,10.0,5.0,17.0,3.0,19.0,,1.0,182.0,8.0,5.0,20.0,50.0,14.0,22.0,18.0,2.0,9.0,3.0,24.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,,,3.0,1.0,2.0,4.0,,,2.0,3.0,1.0,1.0,2.0,,3.0,,2.0,1.0,2.0,,1.0,,,,4.0,,,4.0,1.0,4.0,,,4.0,4.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1059817,2019-11-09 15:00:00,"St. James' Park, Newcastle",44424.0,Home,Newcastle United,Bournemouth,2,1,W,1,1,0,0,4.0,61.0,4.0,30.0,31.0,8.0,9.0,12.0,3.0,2.0,126.0,3.0,9.0,10.0,,9.0,56.0,138.0,55.0,21.0,3.0,19.0,3.0,,1.0,18.0,8.0,4.0,31.0,4.0,3.0,48.0,97.0,0.0,83.0,10.0,2.0,1.0,37.0,48.0,7.0,40.0,,,14.0,9.0,9.0,5.0,2.0,138.0,9.0,57.0,485.0,9.0,5.0,22.0,1.0,8.0,184.0,27.0,8.0,18.0,,2.0,5.0,3.0,21.0,259.0,42.0,92159,7.0,101.0,9.0,120.0,6.0,,9.0,7.0,52.0,4.0,7.0,13.0,7.0,2.0,,69.0,195.0,5.0,9.0,1.0,20.0,3.0,66.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,,2.0,33.9,14.0,,3.0,3.0,7.0,7.0,25.0,5.0,1.0,279.0,8.0,8.0,18.0,5.0,26.0,1.0,2.0,177.0,9.0,3.0,23.0,48.0,19.0,18.0,18.0,1.0,17.0,3.0,15.0,5.0,5.0,1.0,,2.0,,,,2.0,2.0,,,1.0,1.0,,,2.0,,,,1.0,2.0,1.0,2.0,2.0,,2.0,2.0,,1.0,,2.0,,,2.0,,2.0,,,2.0,2.0,,3.0,,,2.0,,,,,,,,,,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,1059824,2019-11-25 20:00:00,"Villa Park, Birmingham",41821.0,Away,Newcastle United,Aston Villa,0,2,L,0,2,0,0,1.0,53.0,1.0,32.0,27.0,5.0,4.0,5.0,6.0,3.0,117.0,3.0,13.0,8.0,,5.0,76.0,121.0,57.0,11.0,2.0,18.0,3.0,,,21.0,7.0,2.0,27.0,6.0,5.0,35.0,129.0,0.0,93.0,9.0,,,39.0,52.0,5.0,42.0,3.0,,15.0,15.0,6.0,7.0,2.0,121.0,12.0,61.0,505.0,7.0,5.0,14.0,,9.0,215.0,23.0,5.0,18.0,,1.0,3.0,3.0,24.0,272.0,41.0,92159,2.0,106.0,8.0,125.0,6.0,1.0,15.0,10.0,50.0,2.0,7.0,14.0,5.0,6.0,,62.0,232.0,10.0,8.0,1.0,15.0,1.0,55.0,0.0,2.0,11.0,5.0,2.0,1.0,0.0,,1.0,38.0,18.0,,8.0,1.0,7.0,3.0,35.0,6.0,,296.0,9.0,7.0,18.0,3.0,24.0,1.0,1.0,192.0,6.0,5.0,22.0,64.0,12.0,18.0,15.0,2.0,9.0,3.0,21.0,5.0,6.0,,1.0,,1.0,2.0,,1.0,4.0,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,2.0,,2.0,,,,1.0,2.0,1.0,,2.0,,2.0,1.0,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14,1059837,2019-11-30 12:30:00,"St. James' Park, Newcastle",49937.0,Home,Newcastle United,Manchester City,2,2,D,1,1,0,0,,67.0,,20.0,40.0,5.0,1.0,1.0,7.0,1.0,118.0,,15.0,4.0,,3.0,36.0,137.0,56.0,6.0,,16.0,,,,10.0,8.0,1.0,40.0,1.0,3.0,28.0,75.0,0.0,56.0,4.0,1.0,,35.0,34.0,3.0,46.0,5.0,,9.0,9.0,5.0,4.0,3.0,137.0,15.0,38.0,453.0,2.0,5.0,4.0,,17.0,144.0,37.0,6.0,18.0,,1.0,7.0,1.0,23.0,212.0,34.0,92159,1.0,79.0,5.0,107.0,1.0,,9.0,10.0,41.0,3.0,,11.0,9.0,2.0,,60.0,154.0,6.0,10.0,,21.0,,60.0,0.0,5.0,10.0,5.0,2.0,1.0,0.0,,,23.6,11.0,,1.0,,,,23.0,1.0,,238.0,17.0,8.0,10.0,3.0,12.0,,,141.0,5.0,2.0,17.0,34.0,16.0,18.0,18.0,1.0,3.0,2.0,19.0,4.0,1.0,1.0,2.0,2.0,3.0,,1.0,2.0,3.0,1.0,,,,1.0,2.0,,1.0,2.0,,1.0,,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,1059846,2019-12-05 19:30:00,"Bramall Lane, Sheffield",30409.0,Away,Newcastle United,Sheffield United,2,0,W,1,0,0,0,1.0,60.0,,24.0,41.0,3.0,2.0,3.0,6.0,1.0,132.0,2.0,7.0,5.0,,4.0,48.0,136.0,56.0,6.0,1.0,20.0,,,1.0,8.0,9.0,2.0,41.0,1.0,3.0,32.0,88.0,0.0,82.0,6.0,,1.0,33.0,39.0,4.0,33.0,1.0,,7.0,13.0,3.0,2.0,,136.0,10.0,40.0,449.0,3.0,9.0,14.0,,10.0,157.0,33.0,9.0,21.0,,0.0,3.0,1.0,21.0,230.0,47.0,92159,2.0,81.0,4.0,107.0,2.0,,13.0,10.0,50.0,2.0,4.0,15.0,3.0,2.0,,67.0,167.0,10.0,6.0,,31.0,,61.0,0.0,,8.0,5.0,,3.0,0.0,3.0,1.0,26.7,12.0,,,1.0,4.0,1.0,21.0,1.0,1.0,253.0,10.0,11.0,13.0,1.0,19.0,,1.0,154.0,3.0,2.0,26.0,49.0,17.0,21.0,14.0,,5.0,3.0,14.0,6.0,1.0,2.0,1.0,2.0,2.0,,2.0,1.0,3.0,2.0,1.0,1.0,,,2.0,,,1.0,,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,,,,,,1.0,,,,2.0,,7.0,7.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16,1059857,2019-12-08 14:00:00,"St. James' Park, Newcastle",42303.0,Home,Newcastle United,Southampton,2,1,W,0,0,0,0,,48.0,3.0,32.0,25.0,5.0,2.0,7.0,3.0,2.0,157.0,3.0,21.0,7.0,,6.0,72.0,176.0,91.0,12.0,3.0,33.0,2.0,,1.0,15.0,6.0,2.0,25.0,2.0,6.0,43.0,133.0,0.0,101.0,11.0,1.0,,64.0,41.0,7.0,53.0,5.0,,13.0,17.0,5.0,5.0,,176.0,12.0,62.0,581.0,5.0,12.0,20.0,,18.0,214.0,27.0,8.0,15.0,,1.0,5.0,,31.0,312.0,47.0,92159,4.0,103.0,8.0,134.0,8.0,,17.0,11.0,77.0,,3.0,18.0,7.0,5.0,,79.0,233.0,17.0,9.0,1.0,36.0,3.0,80.0,0.0,2.0,12.0,1.0,1.0,6.0,0.0,,3.0,45.3,22.0,,2.0,1.0,3.0,6.0,37.0,3.0,,344.0,18.0,8.0,27.0,,25.0,1.0,,225.0,7.0,5.0,37.0,64.0,13.0,15.0,16.0,1.0,7.0,3.0,37.0,5.0,3.0,,2.0,2.0,3.0,1.0,,,2.0,1.0,,,2.0,,1.0,,2.0,1.0,,,1.0,,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,,3.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
17,1059863,2019-12-14 15:00:00,"Turf Moor, Burnley",19798.0,Away,Newcastle United,Burnley,0,1,L,0,0,0,0,,59.0,,29.0,15.0,5.0,3.0,4.0,3.0,,147.0,5.0,11.0,5.0,4.0,,104.0,162.0,64.0,9.0,2.0,32.0,,1.0,,24.0,8.0,,15.0,1.0,4.0,47.0,146.0,0.0,111.0,12.0,,,48.0,59.0,1.0,61.0,,5.0,23.0,18.0,5.0,8.0,3.0,162.0,6.0,85.0,575.0,5.0,8.0,9.0,,7.0,275.0,29.0,4.0,11.0,1.0,2.0,1.0,4.0,18.0,369.0,45.0,92159,3.0,150.0,13.0,180.0,3.0,,18.0,7.0,64.0,1.0,2.0,17.0,1.0,4.0,1.0,79.0,291.0,15.0,8.0,,29.0,1.0,74.0,0.0,1.0,4.0,2.0,1.0,3.0,0.0,,2.0,52.0,14.0,2.0,3.0,,2.0,2.0,32.0,3.0,,397.0,7.0,8.0,20.0,7.0,34.0,,4.0,241.0,4.0,4.0,21.0,72.0,24.0,11.0,17.0,1.0,7.0,2.0,17.0,7.0,3.0,,1.0,,1.0,,,,2.0,,2.0,2.0,,1.0,,2.0,,,,,,,,5.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,1059877,2019-12-21 15:00:00,"St. James' Park, Newcastle",45453.0,Home,Newcastle United,Crystal Palace,1,0,W,0,0,0,0,,54.0,1.0,32.0,16.0,3.0,2.0,4.0,4.0,2.0,128.0,3.0,8.0,6.0,,3.0,96.0,137.0,62.0,8.0,2.0,23.0,1.0,,1.0,22.0,14.0,1.0,16.0,3.0,7.0,44.0,129.0,0.0,106.0,12.0,,,77.0,29.0,4.0,49.0,2.0,,19.0,12.0,4.0,7.0,1.0,137.0,9.0,92.0,552.0,5.0,1.0,18.0,,12.0,263.0,24.0,3.0,10.0,,2.0,5.0,2.0,20.0,341.0,53.0,77359,3.0,156.0,12.0,177.0,6.0,,12.0,10.0,68.0,2.0,3.0,10.0,7.0,8.0,2.0,66.0,282.0,11.0,16.0,1.0,16.0,1.0,65.0,0.0,,5.0,4.0,,,0.0,,1.0,42.5,15.0,1.0,3.0,1.0,3.0,3.0,33.0,4.0,,365.0,12.0,7.0,21.0,2.0,31.0,1.0,1.0,210.0,4.0,6.0,19.0,68.0,23.0,10.0,25.0,,6.0,3.0,19.0,7.0,4.0,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,1.0,,1.0,,1.0,2.0,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
19,1059888,2019-12-26 17:30:00,"Old Trafford, Manchester",73206.0,Away,Newcastle United,Manchester United,1,4,L,1,3,0,0,,51.0,,25.0,22.0,2.0,2.0,5.0,6.0,1.0,130.0,1.0,10.0,7.0,,2.0,46.0,121.0,56.0,7.0,,14.0,1.0,,1.0,5.0,13.0,,22.0,,7.0,34.0,94.0,0.0,62.0,7.0,,,52.0,26.0,2.0,59.0,1.0,,5.0,18.0,2.0,1.0,2.0,121.0,8.0,60.0,471.0,5.0,10.0,9.0,,10.0,194.0,30.0,5.0,9.0,,2.0,4.0,5.0,19.0,265.0,33.0,92159,2.0,120.0,3.0,153.0,3.0,,18.0,12.0,49.0,1.0,3.0,13.0,14.0,6.0,4.0,58.0,213.0,9.0,13.0,1.0,18.0,,59.0,0.0,,5.0,2.0,4.0,4.0,0.0,,,26.7,15.0,,2.0,2.0,3.0,,29.0,,,295.0,10.0,10.0,18.0,5.0,12.0,,3.0,147.0,5.0,5.0,17.0,39.0,11.0,9.0,20.0,3.0,6.0,3.0,17.0,8.0,,,4.0,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,,2.0,1.0,1.0,,,,,,,,1.0,,,,,,3.0,3.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
20,1059897,2019-12-28 15:00:00,"St. James' Park, Newcastle",52211.0,Home,Newcastle United,Everton,1,2,L,0,1,0,0,2.0,61.0,6.0,46.0,25.0,4.0,8.0,16.0,7.0,2.0,127.0,6.0,14.0,15.0,1.0,5.0,85.0,141.0,89.0,20.0,,24.0,3.0,,2.0,28.0,7.0,1.0,25.0,5.0,3.0,54.0,138.0,0.0,107.0,13.0,1.0,,31.0,49.0,10.0,37.0,,1.0,23.0,9.0,4.0,10.0,3.0,141.0,16.0,68.0,535.0,13.0,14.0,35.0,1.0,9.0,218.0,25.0,12.0,12.0,,2.0,6.0,5.0,20.0,297.0,58.0,92159,12.0,101.0,9.0,124.0,6.0,1.0,9.0,6.0,60.0,3.0,5.0,13.0,6.0,2.0,1.0,79.0,233.0,12.0,9.0,1.0,21.0,3.0,66.0,0.0,1.0,8.0,6.0,2.0,4.0,0.0,,2.0,42.7,17.0,2.0,6.0,3.0,5.0,6.0,39.0,5.0,,317.0,9.0,5.0,32.0,9.0,35.0,2.0,5.0,221.0,8.0,2.0,49.0,69.0,22.0,12.0,14.0,2.0,16.0,3.0,24.0,5.0,5.0,,1.0,1.0,6.0,1.0,,3.0,3.0,,4.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,4.0,1.0,1.0,,1.0,,,2.0,,,2.0,1.0,2.0,1.0,,3.0,3.0,,,,2.0,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,2.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
21,1059907,2020-01-01 15:00:00,"St. James' Park, Newcastle",52178.0,Home,Newcastle United,Leicester City,0,3,L,0,2,0,0,1.0,50.0,,17.0,20.0,2.0,2.0,3.0,7.0,1.0,116.0,1.0,8.0,4.0,,2.0,41.0,138.0,45.0,5.0,1.0,22.0,1.0,,1.0,13.0,9.0,1.0,20.0,4.0,2.0,23.0,72.0,0.0,47.0,8.0,1.0,,38.0,28.0,3.0,44.0,1.0,1.0,9.0,18.0,2.0,2.0,,138.0,10.0,43.0,431.0,4.0,6.0,9.0,,10.0,154.0,30.0,4.0,3.0,,1.0,2.0,1.0,22.0,214.0,31.0,92159,3.0,99.0,7.0,122.0,2.0,,18.0,10.0,52.0,,2.0,24.0,7.0,5.0,1.0,55.0,170.0,12.0,5.0,,20.0,,55.0,0.0,2.0,5.0,5.0,3.0,1.0,0.0,1.0,1.0,23.4,13.0,1.0,1.0,,2.0,1.0,24.0,4.0,,244.0,10.0,5.0,6.0,2.0,14.0,,2.0,135.0,2.0,1.0,11.0,24.0,14.0,3.0,15.0,1.0,5.0,3.0,20.0,9.0,4.0,,2.0,,,,,,4.0,,,1.0,,,,2.0,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,1059921,2020-01-11 15:00:00,"Molineux Stadium, Wolverhampton",31570.0,Away,Newcastle United,Wolverhampton Wanderers,1,1,D,1,1,0,0,,54.0,,23.0,37.0,4.0,2.0,1.0,2.0,,117.0,2.0,11.0,5.0,,1.0,86.0,131.0,52.0,5.0,2.0,18.0,,,,11.0,11.0,,37.0,1.0,6.0,25.0,132.0,0.0,105.0,12.0,,1.0,34.0,79.0,3.0,51.0,,,10.0,13.0,4.0,3.0,2.0,131.0,5.0,57.0,496.0,4.0,4.0,4.0,,7.0,223.0,28.0,8.0,20.0,1.0,3.0,3.0,2.0,22.0,284.0,51.0,92159,1.0,103.0,7.0,121.0,6.0,,13.0,9.0,58.0,1.0,,13.0,4.0,2.0,1.0,62.0,233.0,12.0,13.0,,23.0,,56.0,0.0,4.0,5.0,3.0,1.0,3.0,0.0,2.0,,34.3,12.0,,5.0,,,2.0,21.0,2.0,1.0,311.0,7.0,5.0,9.0,2.0,13.0,,,201.0,3.0,5.0,15.0,66.0,19.0,20.0,15.0,1.0,5.0,3.0,22.0,8.0,2.0,,,1.0,,,1.0,1.0,2.0,1.0,,,,,1.0,,,1.0,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1059927,2020-01-18 17:30:00,"St. James' Park, Newcastle",52217.0,Home,Newcastle United,Chelsea,1,0,W,0,0,0,0,,54.0,,30.0,40.0,3.0,1.0,4.0,3.0,1.0,120.0,5.0,9.0,6.0,,2.0,72.0,151.0,63.0,7.0,,21.0,,1.0,,11.0,7.0,1.0,40.0,1.0,3.0,34.0,100.0,0.0,71.0,9.0,1.0,1.0,67.0,29.0,1.0,35.0,2.0,1.0,10.0,15.0,3.0,2.0,2.0,151.0,8.0,59.0,507.0,4.0,8.0,10.0,1.0,11.0,178.0,31.0,10.0,19.0,1.0,1.0,9.0,5.0,27.0,257.0,39.0,92159,4.0,97.0,6.0,123.0,6.0,,15.0,11.0,51.0,1.0,1.0,25.0,11.0,8.0,,60.0,192.0,13.0,7.0,1.0,29.0,1.0,62.0,0.0,,10.0,2.0,,4.0,0.0,,4.0,30.1,17.0,2.0,3.0,,1.0,,28.0,1.0,1.0,286.0,11.0,6.0,14.0,5.0,17.0,,2.0,174.0,2.0,3.0,29.0,40.0,12.0,19.0,13.0,,5.0,3.0,18.0,7.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,5.0,1.0,,1.0,,,,,,1.0,,,,,,2.0,2.0,,,,2.0,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
24,1059934,2020-01-21 19:30:00,"Goodison Park, Liverpool",38822.0,Away,Newcastle United,Everton,2,2,D,0,1,0,0,,63.0,2.0,24.0,27.0,2.0,3.0,7.0,6.0,,167.0,2.0,8.0,3.0,,3.0,126.0,154.0,47.0,9.0,1.0,27.0,1.0,,,18.0,5.0,,27.0,4.0,5.0,41.0,141.0,0.0,90.0,10.0,1.0,,51.0,79.0,1.0,59.0,1.0,,14.0,29.0,2.0,7.0,1.0,154.0,7.0,110.0,659.0,2.0,6.0,16.0,1.0,11.0,351.0,28.0,5.0,13.0,,1.0,2.0,2.0,20.0,440.0,41.0,77359,3.0,230.0,6.0,255.0,6.0,,29.0,5.0,61.0,,4.0,23.0,10.0,4.0,1.0,56.0,369.0,12.0,9.0,1.0,19.0,4.0,70.0,0.0,2.0,6.0,1.0,2.0,1.0,0.0,,2.0,45.1,15.0,1.0,2.0,1.0,4.0,3.0,40.0,4.0,,462.0,11.0,11.0,18.0,3.0,24.0,1.0,1.0,225.0,4.0,5.0,18.0,55.0,26.0,13.0,9.0,2.0,2.0,3.0,12.0,10.0,4.0,1.0,5.0,2.0,,,,1.0,3.0,,1.0,,1.0,,,,3.0,1.0,,,,,2.0,1.0,,,,,1.0,,,,,,,,1.0,,2.0,2.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,
25,1059948,2020-02-01 15:00:00,"St. James' Park, Newcastle",52204.0,Home,Newcastle United,Norwich City,0,0,D,0,0,0,0,,54.0,1.0,26.0,37.0,8.0,3.0,7.0,4.0,3.0,135.0,5.0,9.0,11.0,1.0,5.0,77.0,131.0,61.0,15.0,5.0,25.0,3.0,1.0,1.0,27.0,12.0,2.0,37.0,7.0,3.0,32.0,153.0,0.0,102.0,10.0,,,58.0,64.0,9.0,64.0,,1.0,20.0,10.0,8.0,11.0,1.0,131.0,13.0,89.0,579.0,7.0,6.0,20.0,,16.0,273.0,23.0,5.0,24.0,1.0,2.0,6.0,2.0,14.0,340.0,45.0,77359,5.0,143.0,8.0,161.0,8.0,1.0,10.0,10.0,57.0,3.0,3.0,14.0,6.0,5.0,1.0,51.0,291.0,15.0,12.0,4.0,13.0,3.0,64.0,0.0,3.0,12.0,3.0,,1.0,0.0,,4.0,43.4,10.0,2.0,1.0,2.0,3.0,6.0,40.0,8.0,,365.0,16.0,5.0,16.0,4.0,32.0,3.0,3.0,231.0,7.0,3.0,22.0,67.0,25.0,24.0,15.0,,9.0,3.0,14.0,5.0,8.0,,1.0,,4.0,,,1.0,1.0,,1.0,,2.0,1.0,,1.0,1.0,,,,2.0,,,2.0,,,,,,1.0,,2.0,1.0,,,,,,2.0,2.0,2.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
26,1059952,2020-02-16 16:30:00,"Emirates Stadium, London",60188.0,Away,Newcastle United,Arsenal,0,4,L,0,0,0,0,,45.0,2.0,22.0,20.0,4.0,4.0,5.0,3.0,1.0,106.0,4.0,13.0,9.0,,2.0,75.0,102.0,61.0,10.0,1.0,16.0,1.0,,,15.0,8.0,1.0,20.0,6.0,3.0,14.0,124.0,0.0,62.0,9.0,,,61.0,31.0,5.0,46.0,1.0,1.0,10.0,6.0,5.0,2.0,2.0,102.0,10.0,68.0,463.0,7.0,10.0,19.0,1.0,10.0,218.0,19.0,6.0,10.0,,0.0,2.0,4.0,9.0,264.0,27.0,77359,4.0,119.0,6.0,132.0,6.0,2.0,6.0,13.0,49.0,4.0,1.0,14.0,5.0,8.0,1.0,44.0,239.0,15.0,12.0,2.0,16.0,3.0,59.0,0.0,2.0,5.0,2.0,4.0,3.0,0.0,1.0,1.0,31.6,6.0,,6.0,,1.0,3.0,35.0,6.0,,295.0,10.0,7.0,7.0,5.0,17.0,3.0,2.0,178.0,5.0,3.0,16.0,44.0,12.0,10.0,18.0,4.0,6.0,3.0,18.0,3.0,6.0,,1.0,,4.0,,,2.0,2.0,,2.0,2.0,1.0,,,2.0,,,,,2.0,1.0,,2.0,,,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
