gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,secondYellow,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,savedObox,goals,fouledFinalThird,attFreekickTotal,shotFastbreak,goalAssistOpenplay,attMissHighRight,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,freekickTotal,attOboxMiss,bigChanceCreated,contentiousDecision,goalAssist,accurateFreekickCross,attSetpiece,attRfGoal,totalPullBack,totalOffside,goalsOpenplay,attemptsConcededObox,attMissHigh,attFastbreak,attIboxGoal,attCmissHighRight,accurateCornersIntobox,postScoringAtt,attIboxPost,attSvHighLeft,attLgCentre,hitWoodwork,errorLeadToShot,goalsConceded,attObxRight,attPostRight,goalsConcededIbox,bigChanceScored,attGoalLowRight,attLfGoal,attBxRight,attGoalHighRight,goodHighClaim,attGoalHighCentre,attHdTarget,goalAssistIntentional,foulThrowIn,totalHighClaim,attHdGoal,errorLeadToGoal,goalsConcededObox,accuratePullBack,accurateKeeperSweeper,totalKeeperSweeper,accurateThroughBall,attOboxPost,attPostHigh,forwardGoals,attMissHighLeft,ownGoals,attIboxOwnGoal,attGoalLowCentre,attSvHighRight,attFreekickMiss,punches,attFreekickTarget,attOneOnOne,attOboxGoal,attGoalHighLeft,penaltyConceded,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,ptsGainedLosingPos,attCmissHigh,goalAssistSetplay,attSvHighCentre,defenderGoals,attObpGoal,goalFastbreak,attHdPost,clearanceOffLine,attObxdRight,goalAssistDeadball,attCmissHighLeft,attFreekickPost,attPostLeft,penaltyWon,attPenGoal
11,1059807,2019-11-03 16:30:00,"Goodison Park, Liverpool",39001.0,Home,Everton,Tottenham Hotspur,1,1,D,0,0,0,0,,2.0,54.0,,47.0,8.0,1.0,3.0,6.0,1.0,,153.0,8.0,16.0,6.0,,3.0,67.0,156.0,66.0,7.0,1.0,18.0,2.0,1.0,,28.0,12.0,,8.0,5.0,2.0,43.0,171.0,,0.0,136.0,9.0,,71.0,64.0,4.0,55.0,,,23.0,27.0,1.0,6.0,,156.0,3.0,100.0,567.0,5.0,6.0,28.0,6.0,268.0,22.0,8.0,1.0,1.0,1.0,2.0,26.0,361.0,54.0,66838,4.0,118.0,1.0,14.0,,144.0,5.0,27.0,5.0,48.0,3.0,5.0,23.0,4.0,72.0,281.0,8.0,7.0,,20.0,,65.0,,,0.0,,2.0,,3.0,0.0,5.0,3.0,3.0,47.3,23.0,2.0,3.0,1.0,5.0,1.0,43.0,5.0,375.0,6.0,12.0,22.0,3.0,42.0,3.0,259.0,1.0,1.0,16.0,91.0,23.0,,1.0,26.0,7.0,3.0,19.0,,8.0,5.0,1.0,1.0,1.0,2.0,,,1.0,,,,,3.0,,,1.0,2.0,1.0,,,,2.0,1.0,1.0,2.0,3.0,,1.0,,3.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
12,1059819,2019-11-09 15:00:00,"St. Mary's Stadium, Southampton",29754.0,Away,Everton,Southampton,2,1,W,1,0,0,0,1.0,1.0,58.0,8.0,32.0,20.0,5.0,4.0,19.0,2.0,1.0,165.0,8.0,13.0,17.0,1.0,5.0,77.0,166.0,75.0,24.0,2.0,24.0,2.0,1.0,4.0,26.0,16.0,1.0,20.0,8.0,3.0,29.0,169.0,,0.0,134.0,12.0,1.0,81.0,46.0,10.0,63.0,,2.0,18.0,18.0,5.0,8.0,,166.0,1.0,72.0,596.0,10.0,11.0,46.0,10.0,259.0,20.0,9.0,10.0,1.0,,7.0,29.0,351.0,58.0,66838,10.0,110.0,1.0,7.0,,133.0,6.0,18.0,8.0,56.0,2.0,1.0,18.0,3.0,67.0,271.0,12.0,10.0,5.0,28.0,9.0,75.0,1.0,1.0,0.0,4.0,5.0,,4.0,0.0,4.0,1.0,7.0,52.7,22.0,5.0,1.0,2.0,1.0,10.0,37.0,9.0,377.0,10.0,7.0,14.0,9.0,41.0,7.0,270.0,12.0,3.0,27.0,87.0,33.0,,10.0,23.0,13.0,3.0,18.0,,6.0,9.0,,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,,3.0,,2.0,3.0,,2.0,1.0,1.0,,1.0,,1.0,3.0,2.0,1.0,2.0,1.0,4.0,,,,,1.0,,1.0,,,1.0,2.0,,1.0,4.0,,,,1.0,1.0,1.0,,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
13,1059827,2019-11-23 15:00:00,"Goodison Park, Liverpool",39241.0,Home,Everton,Norwich City,0,2,L,0,0,0,0,1.0,1.0,57.0,3.0,36.0,14.0,6.0,4.0,12.0,3.0,4.0,173.0,9.0,4.0,13.0,,7.0,94.0,162.0,58.0,18.0,1.0,24.0,4.0,,3.0,33.0,13.0,3.0,14.0,7.0,3.0,41.0,177.0,,0.0,141.0,12.0,1.0,51.0,74.0,6.0,50.0,,2.0,26.0,16.0,6.0,7.0,,162.0,12.0,84.0,621.0,10.0,11.0,43.0,5.0,290.0,19.0,6.0,9.0,3.0,5.0,7.0,34.0,384.0,58.0,66838,7.0,137.0,,17.0,,170.0,4.0,16.0,5.0,61.0,1.0,9.0,13.0,5.0,74.0,305.0,11.0,10.0,3.0,28.0,5.0,62.0,3.0,1.0,0.0,3.0,7.0,3.0,4.0,0.0,6.0,,4.0,57.3,26.0,2.0,3.0,1.0,9.0,4.0,38.0,7.0,401.0,5.0,10.0,25.0,7.0,52.0,5.0,264.0,10.0,3.0,23.0,98.0,25.0,2.0,9.0,20.0,11.0,3.0,12.0,2.0,5.0,7.0,,,,3.0,1.0,,,1.0,,,1.0,2.0,1.0,2.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,3.0,,,,,,,2.0,,,2.0,,,,3.0,,1.0,,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,
14,1059834,2019-12-01 16:30:00,"King Power Stadium, Leicester",32144.0,Away,Everton,Leicester City,1,2,L,1,0,0,0,,,71.0,3.0,21.0,32.0,2.0,2.0,9.0,4.0,1.0,132.0,9.0,13.0,11.0,2.0,3.0,60.0,143.0,59.0,11.0,,23.0,2.0,,1.0,22.0,7.0,,32.0,4.0,4.0,27.0,114.0,,0.0,85.0,9.0,2.0,56.0,36.0,6.0,35.0,2.0,2.0,18.0,15.0,2.0,8.0,,143.0,13.0,48.0,503.0,6.0,6.0,22.0,21.0,173.0,30.0,1.0,18.0,1.0,3.0,5.0,20.0,251.0,43.0,66838,6.0,80.0,1.0,8.0,1.0,101.0,9.0,15.0,9.0,64.0,1.0,5.0,11.0,4.0,63.0,185.0,7.0,13.0,4.0,21.0,2.0,70.0,1.0,,0.0,,4.0,4.0,2.0,0.0,7.0,1.0,4.0,30.7,13.0,2.0,4.0,,5.0,3.0,32.0,4.0,275.0,21.0,12.0,14.0,5.0,21.0,3.0,196.0,4.0,2.0,19.0,48.0,22.0,1.0,18.0,20.0,6.0,2.0,20.0,1.0,7.0,4.0,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,2.0,2.0,,1.0,2.0,3.0,,1.0,3.0,1.0,3.0,2.0,1.0,1.0,,2.0,,,,,,,2.0,,,2.0,1.0,,,2.0,,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,3.0,,1.0,,,,,,,,,,,,,,
15,1059850,2019-12-04 20:15:00,"Anfield, Liverpool",53094.0,Away,Everton,Liverpool,2,5,L,2,4,0,0,1.0,,59.0,1.0,20.0,15.0,4.0,2.0,8.0,,1.0,145.0,4.0,8.0,7.0,1.0,4.0,71.0,160.0,66.0,12.0,,25.0,1.0,,3.0,26.0,13.0,1.0,15.0,5.0,2.0,32.0,116.0,,0.0,87.0,17.0,,68.0,42.0,2.0,56.0,2.0,2.0,21.0,10.0,4.0,3.0,,160.0,8.0,67.0,542.0,4.0,10.0,21.0,14.0,227.0,28.0,4.0,7.0,2.0,3.0,5.0,22.0,314.0,50.0,66838,6.0,133.0,1.0,16.0,,153.0,8.0,10.0,5.0,69.0,3.0,5.0,18.0,3.0,57.0,245.0,12.0,13.0,2.0,22.0,4.0,76.0,,1.0,0.0,2.0,5.0,,5.0,0.0,2.0,1.0,3.0,41.5,17.0,2.0,2.0,,5.0,1.0,34.0,6.0,339.0,14.0,8.0,11.0,7.0,32.0,4.0,212.0,6.0,2.0,28.0,50.0,23.0,2.0,7.0,19.0,5.0,3.0,15.0,2.0,3.0,6.0,,,2.0,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,,1.0,1.0,,3.0,1.0,3.0,2.0,1.0,2.0,,2.0,,,,,,,5.0,,,4.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,
16,1059855,2019-12-07 12:30:00,"Goodison Park, Liverpool",39114.0,Home,Everton,Chelsea,3,1,W,1,0,0,0,,1.0,62.0,3.0,24.0,25.0,2.0,2.0,10.0,3.0,3.0,133.0,5.0,5.0,8.0,,7.0,40.0,150.0,74.0,13.0,,26.0,3.0,3.0,2.0,12.0,21.0,1.0,25.0,1.0,7.0,20.0,107.0,,0.0,121.0,14.0,,40.0,47.0,7.0,35.0,,,11.0,14.0,3.0,2.0,,150.0,11.0,47.0,470.0,5.0,10.0,24.0,10.0,145.0,21.0,7.0,12.0,3.0,4.0,1.0,20.0,221.0,68.0,66838,5.0,58.0,,7.0,,75.0,9.0,14.0,13.0,77.0,2.0,,19.0,5.0,74.0,160.0,8.0,24.0,2.0,33.0,1.0,73.0,,,0.0,3.0,5.0,3.0,2.0,0.0,5.0,2.0,3.0,30.0,10.0,1.0,4.0,1.0,,3.0,28.0,1.0,255.0,10.0,9.0,7.0,3.0,23.0,1.0,192.0,8.0,7.0,26.0,69.0,27.0,2.0,12.0,36.0,11.0,3.0,10.0,2.0,8.0,1.0,2.0,,3.0,1.0,,,1.0,,,,1.0,2.0,,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,,3.0,,,,,,1.0,,,1.0,,,,3.0,1.0,,3.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1059868,2019-12-15 14:00:00,"Old Trafford, Manchester",63328.0,Away,Everton,Manchester United,1,1,D,1,0,0,0,,1.0,54.0,,20.0,30.0,6.0,4.0,2.0,7.0,2.0,124.0,2.0,4.0,3.0,,3.0,55.0,143.0,51.0,8.0,,30.0,1.0,1.0,2.0,18.0,10.0,2.0,30.0,5.0,4.0,23.0,109.0,,0.0,111.0,12.0,3.0,71.0,29.0,1.0,43.0,1.0,1.0,13.0,11.0,6.0,1.0,,143.0,9.0,42.0,470.0,2.0,7.0,18.0,12.0,167.0,25.0,7.0,10.0,2.0,7.0,2.0,19.0,232.0,60.0,66838,1.0,69.0,,11.0,,80.0,6.0,11.0,11.0,69.0,,1.0,19.0,3.0,67.0,176.0,10.0,13.0,1.0,27.0,2.0,72.0,1.0,,0.0,1.0,6.0,2.0,3.0,0.0,,1.0,,33.5,17.0,,4.0,1.0,1.0,,28.0,5.0,264.0,12.0,5.0,7.0,5.0,18.0,1.0,202.0,4.0,4.0,18.0,64.0,16.0,4.0,10.0,21.0,4.0,3.0,13.0,4.0,2.0,5.0,,5.0,1.0,3.0,1.0,,,,,,,1.0,1.0,4.0,,,,,1.0,,,3.0,,15.0,1.0,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,
18,1059875,2019-12-21 12:30:00,"Goodison Park, Liverpool",39336.0,Home,Everton,Arsenal,0,0,D,0,0,0,0,,,58.0,3.0,35.0,13.0,4.0,2.0,5.0,2.0,,137.0,3.0,12.0,5.0,,,75.0,139.0,52.0,9.0,1.0,18.0,,,1.0,23.0,6.0,,13.0,5.0,1.0,33.0,151.0,1.0,0.0,112.0,10.0,1.0,60.0,70.0,2.0,54.0,2.0,2.0,18.0,14.0,4.0,4.0,,139.0,5.0,87.0,548.0,5.0,6.0,24.0,17.0,267.0,20.0,5.0,5.0,2.0,,3.0,26.0,337.0,54.0,66838,2.0,132.0,,11.0,,145.0,6.0,14.0,6.0,53.0,,3.0,22.0,5.0,62.0,280.0,10.0,13.0,,18.0,,67.0,,1.0,0.0,3.0,4.0,2.0,4.0,0.0,3.0,1.0,,43.0,19.0,,5.0,2.0,3.0,4.0,43.0,5.0,353.0,17.0,7.0,21.0,5.0,31.0,2.0,231.0,7.0,,15.0,72.0,28.0,2.0,5.0,15.0,5.0,3.0,19.0,2.0,5.0,5.0,,,,4.0,1.0,,,2.0,,,,3.0,1.0,3.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
19,1059886,2019-12-26 15:00:00,"Goodison Park, Liverpool",39177.0,Home,Everton,Burnley,1,0,W,0,0,0,0,1.0,,59.0,,32.0,14.0,11.0,7.0,10.0,,2.0,188.0,10.0,12.0,17.0,,5.0,122.0,153.0,61.0,21.0,8.0,36.0,4.0,,2.0,33.0,4.0,,14.0,10.0,15.0,29.0,203.0,1.0,0.0,118.0,15.0,,72.0,60.0,11.0,92.0,,2.0,23.0,16.0,11.0,8.0,,153.0,3.0,119.0,717.0,12.0,11.0,26.0,7.0,415.0,20.0,5.0,10.0,0.0,,6.0,32.0,505.0,55.0,66838,7.0,233.0,1.0,10.0,,263.0,6.0,16.0,5.0,71.0,1.0,4.0,9.0,3.0,64.0,426.0,14.0,2.0,4.0,22.0,3.0,84.0,,,0.0,,3.0,,5.0,0.0,8.0,1.0,7.0,67.5,27.0,4.0,4.0,,5.0,8.0,56.0,10.0,521.0,7.0,10.0,15.0,8.0,45.0,5.0,291.0,7.0,15.0,32.0,83.0,28.0,,10.0,5.0,12.0,3.0,22.0,,7.0,10.0,1.0,,1.0,5.0,1.0,,1.0,,,,2.0,5.0,1.0,3.0,1.0,,1.0,3.0,5.0,,,,1.0,3.0,2.0,,1.0,,2.0,,,1.0,,,,,,,,,,,1.0,,,,2.0,1.0,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
20,1059897,2019-12-28 15:00:00,"St. James' Park, Newcastle",52211.0,Away,Everton,Newcastle United,2,1,W,1,0,0,0,1.0,2.0,59.0,2.0,31.0,32.0,6.0,5.0,16.0,4.0,5.0,166.0,8.0,9.0,16.0,1.0,9.0,111.0,146.0,60.0,22.0,4.0,49.0,6.0,2.0,3.0,25.0,10.0,1.0,32.0,7.0,5.0,30.0,167.0,,0.0,132.0,13.0,2.0,58.0,88.0,11.0,49.0,,2.0,18.0,11.0,6.0,8.0,,146.0,16.0,109.0,659.0,14.0,8.0,32.0,6.0,324.0,23.0,3.0,22.0,2.0,6.0,5.0,19.0,407.0,56.0,66838,9.0,182.0,1.0,9.0,1.0,203.0,7.0,11.0,8.0,89.0,3.0,9.0,16.0,3.0,66.0,341.0,12.0,14.0,1.0,18.0,7.0,69.0,1.0,1.0,0.0,2.0,5.0,3.0,4.0,0.0,7.0,,3.0,57.3,18.0,3.0,3.0,,9.0,6.0,38.0,8.0,435.0,6.0,7.0,16.0,7.0,25.0,6.0,257.0,12.0,4.0,24.0,90.0,20.0,1.0,22.0,15.0,11.0,3.0,16.0,1.0,3.0,8.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,,3.0,,3.0,1.0,1.0,1.0,2.0,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,,1.0,,,,,,1.0,1.0,,,1.0,2.0,,1.0,2.0,,2.0,,,1.0,,2.0,,,,1.0,,,,,,2.0,,,,,,,,,1.0,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,
21,1059906,2020-01-01 17:30:00,"Etihad Stadium, Manchester",54407.0,Away,Everton,Manchester City,1,2,L,0,0,0,0,,1.0,56.0,2.0,36.0,11.0,,2.0,7.0,5.0,,129.0,5.0,10.0,5.0,,2.0,102.0,124.0,64.0,7.0,,16.0,1.0,,1.0,12.0,10.0,,11.0,6.0,10.0,39.0,100.0,,0.0,79.0,11.0,4.0,33.0,68.0,2.0,80.0,1.0,1.0,6.0,15.0,,4.0,,124.0,13.0,90.0,555.0,2.0,5.0,14.0,14.0,291.0,24.0,10.0,4.0,4.0,2.0,3.0,18.0,375.0,39.0,66838,4.0,215.0,,2.0,,235.0,9.0,15.0,5.0,47.0,2.0,5.0,12.0,4.0,66.0,310.0,11.0,10.0,3.0,20.0,3.0,72.0,,,0.0,1.0,3.0,4.0,2.0,0.0,2.0,1.0,2.0,34.6,16.0,2.0,3.0,,5.0,2.0,38.0,6.0,401.0,14.0,5.0,20.0,3.0,14.0,3.0,178.0,2.0,10.0,29.0,40.0,19.0,1.0,4.0,14.0,4.0,2.0,15.0,1.0,5.0,6.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,,1.0,,3.0,,,1.0,,,,2.0,,,2.0,1.0,,1.0,2.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1059916,2020-01-11 15:00:00,"Goodison Park, Liverpool",38772.0,Home,Everton,Brighton and Hove Albion,1,0,W,1,0,0,0,1.0,2.0,66.0,3.0,34.0,22.0,3.0,4.0,11.0,2.0,3.0,165.0,4.0,9.0,11.0,,6.0,122.0,156.0,51.0,14.0,1.0,17.0,5.0,2.0,1.0,27.0,13.0,,22.0,4.0,6.0,28.0,187.0,1.0,0.0,156.0,7.0,1.0,65.0,80.0,8.0,72.0,1.0,,23.0,25.0,3.0,10.0,,156.0,7.0,132.0,705.0,9.0,5.0,34.0,12.0,380.0,23.0,11.0,8.0,2.0,1.0,3.0,21.0,469.0,60.0,59949,5.0,207.0,3.0,11.0,1.0,220.0,3.0,25.0,10.0,47.0,2.0,5.0,10.0,5.0,65.0,390.0,6.0,11.0,1.0,26.0,2.0,79.0,,,0.0,3.0,3.0,2.0,2.0,0.0,3.0,,2.0,53.8,17.0,1.0,3.0,,5.0,4.0,37.0,4.0,491.0,12.0,6.0,14.0,4.0,42.0,1.0,298.0,7.0,5.0,17.0,98.0,30.0,2.0,8.0,21.0,12.0,3.0,16.0,2.0,16.0,4.0,,,1.0,1.0,,3.0,1.0,1.0,3.0,,2.0,2.0,,2.0,2.0,2.0,1.0,,,1.0,1.0,2.0,1.0,2.0,,3.0,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,1.0,,2.0,,,,,1.0,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
23,1059931,2020-01-18 15:00:00,"London Stadium, London",59915.0,Away,Everton,West Ham United,1,1,D,1,1,0,0,,,78.0,1.0,21.0,19.0,3.0,1.0,8.0,4.0,1.0,163.0,6.0,6.0,8.0,1.0,3.0,109.0,155.0,62.0,11.0,2.0,36.0,2.0,1.0,,25.0,10.0,,19.0,6.0,9.0,21.0,181.0,,0.0,133.0,13.0,1.0,40.0,83.0,5.0,78.0,1.0,2.0,19.0,11.0,3.0,6.0,,155.0,10.0,109.0,659.0,5.0,6.0,20.0,15.0,346.0,32.0,4.0,14.0,0.0,3.0,3.0,12.0,435.0,53.0,59949,4.0,189.0,3.0,12.0,1.0,214.0,7.0,11.0,8.0,69.0,4.0,5.0,15.0,5.0,59.0,364.0,11.0,4.0,2.0,29.0,4.0,69.0,,,0.0,6.0,7.0,4.0,2.0,0.0,3.0,,4.0,51.2,9.0,2.0,7.0,,5.0,3.0,37.0,6.0,459.0,15.0,12.0,12.0,5.0,30.0,4.0,270.0,5.0,8.0,26.0,95.0,32.0,1.0,14.0,20.0,6.0,3.0,10.0,1.0,2.0,6.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,4.0,,1.0,,1.0,,,1.0,,2.0,2.0,,1.0,,3.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,
24,1059934,2020-01-21 19:30:00,"Goodison Park, Liverpool",38822.0,Home,Everton,Newcastle United,2,2,D,1,0,0,0,1.0,,62.0,,39.0,16.0,9.0,4.0,7.0,1.0,5.0,167.0,6.0,9.0,12.0,,8.0,165.0,145.0,61.0,17.0,2.0,18.0,1.0,1.0,1.0,24.0,9.0,5.0,16.0,5.0,7.0,37.0,222.0,,0.0,134.0,13.0,,70.0,87.0,7.0,88.0,1.0,3.0,19.0,25.0,10.0,5.0,,145.0,7.0,142.0,769.0,10.0,3.0,25.0,11.0,456.0,27.0,3.0,9.0,1.0,2.0,5.0,25.0,541.0,50.0,59949,5.0,254.0,2.0,14.0,1.0,273.0,8.0,25.0,7.0,47.0,4.0,2.0,18.0,2.0,71.0,470.0,10.0,8.0,,15.0,4.0,85.0,1.0,,0.0,4.0,4.0,1.0,2.0,0.0,5.0,1.0,3.0,54.9,23.0,2.0,5.0,,3.0,2.0,52.0,6.0,562.0,11.0,3.0,19.0,7.0,33.0,4.0,313.0,10.0,6.0,27.0,93.0,24.0,6.0,9.0,15.0,12.0,3.0,15.0,6.0,13.0,6.0,,,2.0,1.0,1.0,,2.0,,,,4.0,,1.0,2.0,4.0,1.0,2.0,,,1.0,2.0,1.0,2.0,2.0,2.0,,2.0,,1.0,1.0,,,,1.0,,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,,1.0,2.0,,1.0,,,,,,,3.0,1.0,,2.0,,,,1.0,,1.0,1.0,,1.0,,,,,,2.0,,1.0,,,,,,,,1.0,,,,,,
25,1059950,2020-02-01 15:00:00,"Vicarage Road, Watford",21229.0,Away,Everton,Watford,3,2,W,2,2,1,0,1.0,,65.0,,29.0,21.0,3.0,4.0,9.0,,1.0,159.0,7.0,11.0,8.0,,5.0,118.0,167.0,76.0,12.0,3.0,33.0,2.0,1.0,,26.0,14.0,,21.0,4.0,2.0,37.0,168.0,,0.0,129.0,14.0,,46.0,76.0,4.0,54.0,1.0,3.0,22.0,13.0,3.0,12.0,1.0,167.0,8.0,110.0,636.0,5.0,12.0,19.0,10.0,309.0,26.0,10.0,14.0,2.0,3.0,4.0,18.0,412.0,58.0,59949,6.0,166.0,2.0,9.0,,199.0,7.0,13.0,9.0,68.0,,3.0,14.0,4.0,77.0,327.0,17.0,7.0,1.0,35.0,3.0,83.0,,,0.0,3.0,4.0,,4.0,1.0,6.0,2.0,3.0,55.4,18.0,1.0,4.0,,3.0,3.0,44.0,4.0,441.0,10.0,10.0,18.0,4.0,33.0,4.0,268.0,4.0,2.0,26.0,83.0,29.0,1.0,14.0,22.0,7.0,3.0,16.0,1.0,6.0,4.0,,,3.0,2.0,1.0,2.0,1.0,,2.0,1.0,,1.0,1.0,,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,,1.0,,,1.0,,,,2.0,,,2.0,2.0,,,,1.0,,,1.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,3.0,,1.0,,2.0,,1.0,,,,1.0,,,,,
26,1059956,2020-02-08 12:30:00,"Goodison Park, Liverpool",38987.0,Home,Everton,Crystal Palace,3,1,W,1,0,0,0,,1.0,64.0,2.0,27.0,22.0,3.0,1.0,11.0,1.0,4.0,141.0,5.0,12.0,10.0,,8.0,90.0,162.0,72.0,14.0,,25.0,2.0,2.0,2.0,24.0,13.0,3.0,22.0,4.0,3.0,37.0,137.0,,0.0,119.0,11.0,,66.0,60.0,7.0,47.0,,,20.0,18.0,3.0,6.0,,162.0,8.0,80.0,594.0,6.0,5.0,26.0,12.0,247.0,19.0,5.0,10.0,0.0,2.0,3.0,28.0,336.0,44.0,59949,7.0,131.0,2.0,11.0,,158.0,6.0,18.0,9.0,63.0,2.0,7.0,25.0,5.0,52.0,263.0,10.0,13.0,2.0,14.0,2.0,64.0,1.0,,0.0,3.0,6.0,1.0,1.0,0.0,3.0,,2.0,46.6,24.0,1.0,9.0,1.0,7.0,2.0,38.0,4.0,358.0,12.0,9.0,18.0,4.0,26.0,3.0,224.0,11.0,3.0,30.0,74.0,25.0,3.0,10.0,20.0,10.0,3.0,18.0,3.0,8.0,4.0,,,3.0,2.0,1.0,1.0,2.0,,2.0,1.0,1.0,3.0,1.0,,2.0,,2.0,1.0,1.0,3.0,,1.0,2.0,2.0,1.0,1.0,3.0,,2.0,1.0,1.0,,,1.0,,1.0,,,1.0,2.0,2.0,,2.0,,2.0,1.0,,1.0,,2.0,,1.0,,,,,,,1.0,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
