gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,postScoringAtt,goalAssistOpenplay,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attCmissRight,attOboxBlocked,attSvLowCentre,attGoalHighRight,attSvLowLeft,interceptionsInBox,attHdTarget,attMissHighLeft,headClearance,accurateThroughBall,attRfGoal,totalThroughBall,totalOffside,attAssistSetplay,punches,savedIbox,accurateFlickOn,effectiveHeadClearance,errorLeadToGoal,accurateKeeperSweeper,attMissHighRight,penaltyWon,totalKeeperSweeper,attPenGoal,attGoalHighLeft,shieldBallOop,attHdMiss,attGoalLowRight,shotFastbreak,goalFastbreak,attOneOnOne,cleanSheet,attOboxGoal,totalFastbreak,attSvHighLeft,attLgCentre,sixYardBlock,attFastbreak,ptsGainedLosingPos,accurateFreekickCross,goalsConcededObox,goodHighClaim,totalHighClaim,midfielderGoals,contentiousDecision,attFreekickMiss,expectedGoalsOnTarget,accuratePullBack,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,attCmissHighRight,attGoalHighCentre,foulThrowIn,attCmissHighLeft,attOboxPost,attHdPost,attPostHigh,attObxLeft,attPostRight,clearanceOffLine,attFreekickGoal,penaltyConceded,ownGoals,penaltyFaced,penGoalsConceded,attIboxOwnGoal,ptsDroppedWinningPos
27,1059967,2020-02-24 20:00:00,"Anfield, Liverpool",53313.0,Home,Liverpool,West Ham United,3,2,W,1,1,0,0,1.0,1.0,77.0,1.0,,5.0,,,18.0,19.0,7.0,6.0,18.0,2.0,1.0,2.0,192.0,2.0,12.0,16.0,3.0,3.0,21.0,7.0,176.0,166.0,71.0,1.0,25.0,25.0,3.0,5.0,2.0,3.0,1.0,38.0,2.0,16.0,1.0,19.0,11.0,8.0,45.0,335.0,,0.0,211.0,4.0,,1.0,105.0,88.0,12.0,83.0,1.0,27.0,9.0,7.0,1.0,15.0,3.0,166.0,1.0,6.0,1.0,175.0,861.0,15.0,6.0,56.0,2.0,8.0,512.0,20.0,2.0,3.0,0.0,1.0,9.0,19.0,604.0,74.0,,97032,5.0,207.0,1.0,11.0,2.0,219.0,3.0,1.0,9.0,2.0,68.0,,,7.0,3.0,17.0,1.0,2.0,1.0,45.0,530.0,9.0,20.0,9.0,8.0,81.0,,,0.0,,3.0,8.0,3.0,2.0,0.0,9.0,3.0,7.0,69.3,16.0,9.0,3.0,2.0,7.0,8.0,47.0,16.0,626.0,8.0,8.0,13.0,10.0,59.0,3.0,5.0,445.0,12.0,7.0,23.0,155.0,38.0,2.0,3.0,23.0,1.0,2.0,14.0,2.0,27.0,3.0,4.0,16.0,,,3.0,1.0,,1.0,1.0,1.0,2.0,10.0,,1.0,,2.0,3.0,,2.0,4.0,10.0,,,3.0,,,,,,3.0,,,,,,,,,,,,3.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
28,1059980,2020-02-29 17:30:00,"Vicarage Road, Watford",21634.0,Away,Liverpool,Watford,0,3,L,0,0,0,0,1.0,,66.0,,1.0,1.0,,,24.0,13.0,3.0,3.0,3.0,2.0,,,188.0,,1.0,9.0,,2.0,5.0,1.0,246.0,171.0,37.0,1.0,7.0,20.0,1.0,,1.0,,1.0,26.0,,2.0,,13.0,4.0,5.0,49.0,390.0,,0.0,215.0,8.0,1.0,1.0,119.0,102.0,3.0,79.0,1.0,22.0,16.0,4.0,1.0,9.0,2.0,171.0,,10.0,,219.0,893.0,5.0,3.0,34.0,1.0,5.0,600.0,27.0,1.0,,0.0,1.0,2.0,21.0,711.0,86.0,2.0,97032,,231.0,,12.0,,260.0,4.0,,16.0,8.0,47.0,,,1.0,,14.0,4.0,8.0,1.0,51.0,620.0,3.0,6.0,12.0,1.0,75.0,,,0.0,,3.0,3.0,,3.0,0.0,1.0,,,70.8,19.0,5.0,2.0,,2.0,2.0,55.0,5.0,732.0,5.0,6.0,24.0,4.0,53.0,,1.0,498.0,4.0,5.0,17.0,156.0,31.0,,,8.0,,3.0,5.0,3.0,16.0,,10.0,5.0,,1.0,1.0,,,1.0,1.0,,,6.0,,,1.0,1.0,,,1.0,3.0,6.0,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,
29,1059987,2020-03-07 12:30:00,"Anfield, Liverpool",53323.0,Home,Liverpool,Bournemouth,2,1,W,2,1,0,0,1.0,1.0,52.0,,1.0,,,,31.0,20.0,6.0,2.0,8.0,2.0,1.0,2.0,182.0,,4.0,14.0,2.0,4.0,12.0,6.0,237.0,160.0,51.0,,14.0,19.0,4.0,1.0,1.0,2.0,2.0,30.0,,4.0,,20.0,8.0,8.0,49.0,412.0,1.0,0.0,257.0,10.0,,1.0,78.0,105.0,9.0,84.0,,23.0,22.0,6.0,,14.0,1.0,160.0,3.0,5.0,,226.0,917.0,9.0,1.0,31.0,1.0,11.0,597.0,25.0,5.0,2.0,0.0,3.0,3.0,26.0,704.0,81.0,,97032,5.0,213.0,2.0,8.0,,242.0,5.0,,22.0,4.0,41.0,,,3.0,2.0,13.0,1.0,4.0,1.0,59.0,621.0,12.0,6.0,16.0,2.0,72.0,1.0,,0.0,,2.0,4.0,2.0,1.0,0.0,3.0,2.0,1.0,74.5,25.0,7.0,1.0,,3.0,4.0,47.0,9.0,729.0,11.0,3.0,20.0,4.0,55.0,2.0,2.0,517.0,11.0,7.0,19.0,194.0,18.0,2.0,1.0,7.0,,1.0,12.0,2.0,20.0,1.0,6.0,9.0,3.0,,4.0,2.0,,,,1.0,,11.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,,11.0,,3.0,,,3.0,,,,,2.0,2.0,1.0,1.0,,,3.0,,,,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,
30,1059995,2020-06-21 19:00:00,"Goodison Park, Liverpool",,Away,Liverpool,Everton,0,0,D,0,0,0,0,,,60.0,,,2.0,,,34.0,3.0,5.0,2.0,5.0,3.0,,2.0,179.0,,4.0,7.0,,6.0,7.0,3.0,178.0,146.0,62.0,3.0,10.0,22.0,1.0,1.0,,,1.0,19.0,,12.0,2.0,3.0,6.0,4.0,48.0,270.0,,0.0,179.0,12.0,2.0,1.0,71.0,103.0,3.0,95.0,2.0,13.0,17.0,5.0,3.0,7.0,2.0,146.0,,7.0,,142.0,767.0,4.0,2.0,26.0,,10.0,484.0,28.0,1.0,,2.0,2.0,4.0,27.0,573.0,75.0,,97032,4.0,239.0,,5.0,1.0,250.0,10.0,3.0,17.0,6.0,59.0,,,2.0,,15.0,1.0,6.0,,60.0,505.0,12.0,7.0,10.0,2.0,83.0,,,0.0,2.0,2.0,1.0,,,0.0,2.0,,2.0,70.1,23.0,5.0,,1.0,2.0,3.0,48.0,6.0,594.0,10.0,15.0,17.0,4.0,33.0,2.0,2.0,363.0,5.0,4.0,29.0,126.0,25.0,,,16.0,,,4.0,5.0,12.0,,7.0,6.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,3.0,,3.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,3.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
31,1060005,2020-06-24 20:15:00,"Anfield, Liverpool",,Home,Liverpool,Crystal Palace,4,0,W,2,0,0,0,2.0,2.0,71.0,,,4.0,,,49.0,1.0,6.0,7.0,14.0,,1.0,1.0,183.0,,5.0,7.0,4.0,3.0,11.0,7.0,290.0,154.0,45.0,2.0,21.0,11.0,2.0,3.0,1.0,3.0,4.0,20.0,1.0,10.0,1.0,1.0,5.0,9.0,52.0,553.0,,0.0,275.0,7.0,,,152.0,131.0,5.0,138.0,,15.0,17.0,7.0,2.0,10.0,4.0,154.0,3.0,,1.0,275.0,1051.0,7.0,,44.0,1.0,15.0,779.0,13.0,3.0,3.0,0.0,,6.0,18.0,876.0,112.0,1.0,97032,8.0,241.0,1.0,5.0,2.0,257.0,6.0,2.0,17.0,4.0,48.0,,1.0,4.0,3.0,20.0,3.0,4.0,4.0,66.0,789.0,5.0,10.0,9.0,1.0,75.0,1.0,2.0,0.0,,1.0,,2.0,,0.0,4.0,2.0,1.0,73.3,17.0,11.0,3.0,1.0,4.0,4.0,57.0,6.0,886.0,15.0,11.0,35.0,10.0,46.0,1.0,5.0,649.0,12.0,8.0,17.0,211.0,43.0,2.0,,17.0,,,16.0,5.0,16.0,,8.0,6.0,,,,,1.0,1.0,,,,1.0,3.0,3.0,3.0,,1.0,,,,1.0,,,1.0,,,,,,1.0,3.0,2.0,1.0,,1.0,2.0,3.0,,1.0,4.0,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
32,1060018,2020-07-02 20:15:00,"Etihad Stadium, Manchester",,Away,Liverpool,Manchester City,0,4,L,0,3,0,0,2.0,,58.0,,2.0,5.0,,,33.0,8.0,2.0,5.0,9.0,2.0,,1.0,156.0,,3.0,5.0,,2.0,10.0,3.0,167.0,125.0,36.0,1.0,11.0,10.0,2.0,3.0,1.0,,,21.0,1.0,8.0,1.0,8.0,3.0,3.0,56.0,171.0,,0.0,123.0,7.0,1.0,1.0,57.0,63.0,7.0,82.0,1.0,18.0,13.0,2.0,1.0,4.0,,125.0,2.0,11.0,,146.0,709.0,9.0,2.0,26.0,1.0,15.0,458.0,27.0,3.0,,2.0,3.0,2.0,18.0,532.0,54.0,1.0,97032,4.0,307.0,3.0,13.0,,327.0,3.0,,13.0,5.0,36.0,,,4.0,,14.0,4.0,5.0,,66.0,475.0,7.0,9.0,12.0,,67.0,,,0.0,,2.0,3.0,,4.0,0.0,3.0,,1.0,53.0,16.0,6.0,2.0,,4.0,6.0,36.0,3.0,551.0,15.0,6.0,31.0,2.0,33.0,,1.0,245.0,5.0,3.0,11.0,89.0,21.0,,,13.0,,4.0,10.0,5.0,9.0,,8.0,3.0,,,1.0,2.0,,1.0,1.0,,,3.0,,,1.0,2.0,,,1.0,,3.0,,,,,,,,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,
33,1060025,2020-07-05 16:30:00,"Anfield, Liverpool",,Home,Liverpool,Aston Villa,2,0,W,0,0,0,0,1.0,1.0,67.0,1.0,,,,,38.0,18.0,3.0,4.0,3.0,3.0,1.0,1.0,197.0,,3.0,10.0,2.0,1.0,6.0,4.0,199.0,155.0,35.0,,6.0,15.0,1.0,1.0,,2.0,,25.0,,4.0,1.0,18.0,6.0,6.0,58.0,322.0,1.0,0.0,221.0,18.0,2.0,1.0,114.0,85.0,5.0,99.0,,19.0,18.0,3.0,,7.0,1.0,155.0,1.0,6.0,,177.0,830.0,4.0,1.0,29.0,,5.0,547.0,24.0,5.0,2.0,1.0,2.0,1.0,19.0,651.0,116.0,,97032,2.0,247.0,,11.0,,266.0,13.0,1.0,18.0,4.0,49.0,,,5.0,2.0,17.0,3.0,3.0,,72.0,566.0,8.0,9.0,16.0,,82.0,1.0,,0.0,,,5.0,2.0,,0.0,3.0,2.0,,71.2,18.0,2.0,,,5.0,1.0,56.0,7.0,672.0,5.0,5.0,29.0,1.0,48.0,,,431.0,2.0,6.0,10.0,154.0,33.0,1.0,2.0,7.0,,,6.0,5.0,13.0,2.0,6.0,7.0,,,1.0,,,,,,1.0,9.0,,1.0,1.0,1.0,,2.0,3.0,1.0,9.0,,2.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
34,1060035,2020-07-08 20:15:00,"American Express Stadium, Falmer",,Away,Liverpool,Brighton and Hove Albion,3,1,W,2,1,0,0,1.0,1.0,61.0,2.0,,5.0,1.0,1.0,39.0,18.0,3.0,4.0,17.0,1.0,1.0,4.0,161.0,,6.0,9.0,3.0,1.0,17.0,8.0,121.0,140.0,41.0,,20.0,13.0,5.0,4.0,,2.0,2.0,32.0,,4.0,,18.0,7.0,3.0,47.0,211.0,,0.0,155.0,15.0,,1.0,81.0,70.0,13.0,77.0,1.0,25.0,16.0,3.0,,10.0,,140.0,3.0,10.0,,118.0,667.0,14.0,3.0,37.0,,11.0,373.0,32.0,2.0,3.0,4.0,3.0,4.0,25.0,451.0,53.0,1.0,97032,8.0,190.0,3.0,14.0,1.0,223.0,5.0,1.0,16.0,8.0,48.0,1.0,,4.0,2.0,15.0,2.0,6.0,2.0,66.0,395.0,7.0,9.0,10.0,2.0,70.0,,1.0,0.0,,2.0,6.0,2.0,1.0,0.0,4.0,2.0,3.0,55.6,22.0,7.0,2.0,1.0,4.0,7.0,49.0,10.0,477.0,11.0,4.0,27.0,5.0,44.0,2.0,5.0,286.0,12.0,2.0,15.0,121.0,16.0,2.0,3.0,11.0,1.0,1.0,17.0,5.0,17.0,3.0,6.0,10.0,,1.0,2.0,4.0,,,2.0,,,9.0,3.0,1.0,3.0,,,,1.0,,9.0,,1.0,,,1.0,,,,2.0,1.0,2.0,,1.0,,1.0,2.0,,,1.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,1060045,2020-07-11 15:00:00,"Anfield, Liverpool",,Home,Liverpool,Burnley,1,1,D,1,0,0,0,4.0,,63.0,,1.0,6.0,1.0,,37.0,17.0,7.0,11.0,16.0,1.0,,4.0,188.0,,3.0,12.0,1.0,1.0,18.0,9.0,208.0,158.0,42.0,1.0,23.0,15.0,5.0,4.0,1.0,,1.0,29.0,1.0,6.0,3.0,17.0,9.0,7.0,54.0,311.0,1.0,0.0,246.0,7.0,,,102.0,68.0,15.0,81.0,1.0,20.0,4.0,7.0,1.0,9.0,1.0,158.0,1.0,5.0,,182.0,857.0,17.0,2.0,49.0,1.0,6.0,551.0,24.0,7.0,1.0,1.0,2.0,3.0,32.0,645.0,65.0,1.0,97032,10.0,256.0,2.0,11.0,,276.0,3.0,,4.0,4.0,36.0,,1.0,7.0,,19.0,1.0,4.0,2.0,68.0,564.0,4.0,4.0,20.0,4.0,78.0,1.0,1.0,0.0,,3.0,6.0,1.0,1.0,0.0,3.0,1.0,1.0,70.8,30.0,7.0,2.0,,7.0,9.0,47.0,11.0,659.0,6.0,9.0,27.0,5.0,57.0,,3.0,412.0,11.0,6.0,16.0,193.0,24.0,,4.0,10.0,1.0,1.0,18.0,3.0,14.0,4.0,1.0,12.0,1.0,,3.0,4.0,,1.0,1.0,,,7.0,1.0,,1.0,2.0,,4.0,,2.0,7.0,,2.0,,,2.0,,1.0,2.0,,,1.0,,,,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,2.0
36,1060052,2020-07-15 20:15:00,"Emirates Stadium, London",,Away,Liverpool,Arsenal,1,2,L,1,2,0,0,1.0,1.0,59.0,1.0,,6.0,,,46.0,3.0,7.0,7.0,17.0,,,4.0,173.0,,9.0,11.0,1.0,2.0,19.0,8.0,181.0,157.0,53.0,,24.0,17.0,4.0,1.0,,1.0,2.0,34.0,,10.0,3.0,3.0,8.0,6.0,58.0,321.0,1.0,0.0,229.0,10.0,,3.0,126.0,63.0,13.0,77.0,2.0,26.0,16.0,7.0,,8.0,1.0,157.0,3.0,3.0,,183.0,816.0,16.0,3.0,51.0,1.0,10.0,495.0,21.0,4.0,1.0,1.0,,6.0,25.0,587.0,93.0,,97032,11.0,210.0,2.0,15.0,,235.0,5.0,1.0,16.0,3.0,54.0,1.0,,8.0,1.0,15.0,,3.0,1.0,69.0,522.0,12.0,7.0,11.0,5.0,73.0,1.0,1.0,0.0,,,2.0,1.0,2.0,0.0,6.0,1.0,5.0,68.9,25.0,7.0,4.0,3.0,8.0,9.0,54.0,13.0,614.0,10.0,12.0,36.0,7.0,47.0,3.0,6.0,413.0,12.0,6.0,19.0,176.0,23.0,1.0,1.0,12.0,,2.0,19.0,4.0,20.0,1.0,6.0,13.0,1.0,1.0,3.0,1.0,,1.0,,2.0,,,,1.0,,4.0,2.0,,,1.0,,2.0,,2.0,,,,,,3.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
37,1060065,2020-07-22 20:15:00,"Anfield, Liverpool",,Home,Liverpool,Chelsea,5,3,W,3,1,0,0,1.0,2.0,62.0,,,1.0,1.0,,29.0,14.0,2.0,3.0,8.0,2.0,,,182.0,,4.0,14.0,5.0,2.0,7.0,7.0,158.0,155.0,57.0,1.0,10.0,11.0,2.0,1.0,,2.0,1.0,12.0,,8.0,,14.0,4.0,4.0,38.0,200.0,,0.0,122.0,8.0,,1.0,69.0,54.0,5.0,99.0,,8.0,17.0,2.0,1.0,4.0,,155.0,4.0,9.0,,145.0,749.0,1.0,7.0,20.0,,5.0,454.0,20.0,3.0,3.0,1.0,,2.0,21.0,555.0,56.0,,97032,5.0,278.0,2.0,3.0,1.0,308.0,6.0,,17.0,9.0,39.0,1.0,1.0,4.0,3.0,22.0,1.0,7.0,1.0,69.0,474.0,9.0,11.0,25.0,3.0,80.0,,,0.0,,,,3.0,3.0,0.0,3.0,2.0,2.0,50.0,15.0,7.0,1.0,,4.0,1.0,44.0,6.0,584.0,5.0,8.0,20.0,2.0,25.0,1.0,2.0,288.0,5.0,4.0,15.0,76.0,29.0,1.0,2.0,19.0,1.0,3.0,5.0,5.0,15.0,2.0,6.0,6.0,,,,1.0,2.0,1.0,,1.0,,6.0,,4.0,1.0,,3.0,,2.0,2.0,6.0,,1.0,,,1.0,,2.0,1.0,,,1.0,1.0,,,2.0,2.0,,,,1.0,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
38,1060079,2020-07-26 16:00:00,"St. James' Park, Newcastle",,Away,Liverpool,Newcastle United,3,1,W,1,1,0,0,,,65.0,,1.0,2.0,1.0,,36.0,8.0,7.0,3.0,7.0,1.0,,2.0,215.0,,4.0,13.0,3.0,2.0,10.0,6.0,231.0,146.0,51.0,,14.0,15.0,1.0,4.0,1.0,2.0,1.0,17.0,1.0,5.0,2.0,8.0,3.0,9.0,45.0,445.0,,0.0,216.0,5.0,,2.0,155.0,83.0,8.0,109.0,,14.0,15.0,7.0,,6.0,3.0,146.0,,1.0,,237.0,981.0,6.0,6.0,25.0,1.0,8.0,688.0,20.0,1.0,3.0,0.0,,2.0,30.0,775.0,102.0,,97032,2.0,264.0,,6.0,2.0,277.0,2.0,,15.0,2.0,46.0,,1.0,4.0,2.0,19.0,2.0,2.0,2.0,62.0,705.0,9.0,3.0,8.0,1.0,97.0,,1.0,0.0,,2.0,2.0,2.0,1.0,0.0,3.0,1.0,2.0,74.7,29.0,6.0,1.0,1.0,4.0,3.0,75.0,4.0,792.0,8.0,6.0,22.0,5.0,30.0,1.0,1.0,532.0,9.0,9.0,17.0,165.0,35.0,1.0,2.0,12.0,1.0,1.0,11.0,5.0,30.0,2.0,5.0,4.0,,,1.0,1.0,2.0,,,1.0,,3.0,1.0,2.0,4.0,1.0,1.0,,,1.0,3.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
