gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,attLfTarget,goalAssistSetplay,accuratePullBack,attFreekickTotal,attOboxBlocked,attMissLeft,attGoalHighRight,totalCornersIntobox,totalLayoffs,attSvHighRight,attOboxGoal,attSvHighLeft,freekickTotal,bigChanceMissed,sixYardBlock,penaltyConceded,attRfGoal,totalPullBack,attCmissHigh,totalOffside,attMissHigh,attAssistSetplay,attCorner,attSvLowRight,attCmissLeft,attHdMiss,attBxLeft,attSvHighCentre,cornerTaken,penaltyFaced,penGoalsConceded,attFreekickMiss,accurateCornersIntobox,attIboxMiss,accurateLayoffs,errorLeadToGoal,wonCorners,attGoalLowLeft,attGoalLowCentre,attBxRight,cleanSheet,punches,goalAssistIntentional,shieldBallOop,forwardGoals,secondYellow,attCmissHighRight,handBall,attFreekickTarget,postScoringAtt,goalFastbreak,attFreekickPost,attPostLeft,hitWoodwork,attMissHighLeft,attCmissHighLeft,attGoalHighLeft,attOboxPost,attPenTarget,attIboxPost,penaltyWon,attHdPost,attPostHigh,ptsGainedLosingPos,defenderGoals,goalAssistDeadball,attObxdRight,accurateFreekickCross,attGoalHighCentre,attFreekickGoal,ownGoals,attIboxOwnGoal,attPenPost,attObxLeft,attOneOnOne,attPenGoal,attPostRight,attHdGoal,penaltySave
27,1059970,2020-02-22 15:00:00,"St. Mary's Stadium, Southampton",31478.0,Away,Aston Villa,Southampton,0,2,L,0,1,0,0,1.0,,55.0,,4.0,2.0,27.0,25.0,1.0,1.0,3.0,7.0,,1.0,180.0,2.0,8.0,,1.0,4.0,,1.0,91.0,161.0,57.0,4.0,32.0,1.0,,1.0,,1.0,20.0,6.0,,25.0,49.0,104.0,,0.0,85.0,17.0,4.0,,,,1.0,,59.0,33.0,4.0,39.0,,,15.0,13.0,1.0,3.0,,161.0,,,13.0,88.0,607.0,4.0,9.0,14.0,,10.0,272.0,27.0,5.0,18.0,,1.0,4.0,8.0,,25.0,369.0,44.0,1.0,,98770,2.0,193.0,11.0,,225.0,9.0,13.0,11.0,79.0,1.0,9.0,,12.0,15.0,10.0,71.0,295.0,13.0,14.0,31.0,80.0,,0.0,2.0,9.0,3.0,,2.0,2.0,0.0,2.0,,54.1,18.0,,9.0,3.0,,38.0,,398.0,10.0,13.0,24.0,,27.0,193.0,3.0,23.0,50.0,17.0,2.0,18.0,13.0,1.0,4.0,3.0,12.0,,2.0,4.0,,,,,1.0,,,5.0,8.0,,,,,,,,,,,2.0,,,,,,,1.0,,6.0,,,,,,8.0,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1059973,2020-06-17 18:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Sheffield United,0,0,D,0,0,0,0,,,49.0,,,2.0,39.0,17.0,2.0,5.0,12.0,1.0,,,147.0,12.0,11.0,,2.0,12.0,,6.0,84.0,136.0,60.0,14.0,33.0,5.0,,,,1.0,26.0,6.0,1.0,17.0,46.0,153.0,,0.0,98.0,11.0,,,,1.0,3.0,,64.0,61.0,7.0,57.0,,,15.0,15.0,2.0,4.0,,136.0,1.0,,3.0,94.0,575.0,3.0,3.0,23.0,3.0,5.0,289.0,25.0,3.0,7.0,,,1.0,3.0,5.0,28.0,365.0,50.0,,1.0,98770,5.0,160.0,8.0,3.0,188.0,4.0,15.0,4.0,67.0,,6.0,,10.0,2.0,1.0,75.0,301.0,13.0,5.0,22.0,74.0,,0.0,3.0,4.0,1.0,,,1.0,0.0,3.0,5.0,45.1,21.0,1.0,8.0,3.0,,38.0,1.0,382.0,5.0,12.0,31.0,5.0,28.0,220.0,1.0,28.0,64.0,15.0,3.0,7.0,8.0,,2.0,4.0,17.0,,3.0,7.0,3.0,,,,1.0,4.0,,11.0,3.0,1.0,,,,1.0,3.0,,,,,1.0,1.0,9.0,9.0,3.0,1.0,2.0,1.0,,12.0,,,,9.0,5.0,3.0,,12.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
29,1059986,2020-03-09 20:00:00,"King Power Stadium, Leicester",32125.0,Away,Aston Villa,Leicester City,0,4,L,0,1,0,0,1.0,,67.0,,,,22.0,22.0,2.0,2.0,2.0,3.0,,1.0,129.0,1.0,5.0,,4.0,3.0,1.0,1.0,62.0,149.0,58.0,4.0,18.0,,1.0,,,,10.0,16.0,1.0,22.0,37.0,95.0,,0.0,55.0,12.0,2.0,1.0,,,6.0,,37.0,46.0,1.0,42.0,1.0,2.0,10.0,13.0,2.0,2.0,1.0,149.0,1.0,,12.0,68.0,510.0,2.0,9.0,4.0,,10.0,191.0,32.0,6.0,11.0,,1.0,1.0,1.0,2.0,27.0,274.0,40.0,,,98770,2.0,115.0,2.0,1.0,141.0,7.0,13.0,10.0,62.0,,4.0,,14.0,3.0,4.0,55.0,209.0,15.0,9.0,17.0,64.0,1.0,0.0,1.0,9.0,3.0,,4.0,2.0,0.0,1.0,,35.4,20.0,1.0,4.0,,,28.0,,301.0,10.0,14.0,14.0,3.0,15.0,170.0,2.0,15.0,30.0,30.0,8.0,11.0,23.0,3.0,3.0,2.0,15.0,,8.0,6.0,,,1.0,,,,,,2.0,,,,,1.0,,1.0,,1.0,,2.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
30,1059993,2020-06-21 16:15:00,"Villa Park, Birmingham",,Home,Aston Villa,Chelsea,1,2,L,1,0,0,0,,1.0,43.0,1.0,3.0,1.0,21.0,31.0,2.0,3.0,6.0,3.0,,2.0,118.0,3.0,2.0,1.0,4.0,5.0,1.0,4.0,40.0,118.0,52.0,8.0,26.0,1.0,,,,2.0,10.0,3.0,2.0,31.0,33.0,87.0,,0.0,83.0,9.0,1.0,,,1.0,2.0,1.0,40.0,40.0,3.0,44.0,6.0,2.0,9.0,10.0,2.0,4.0,,118.0,2.0,,8.0,44.0,412.0,4.0,4.0,7.0,,17.0,138.0,26.0,5.0,11.0,,,2.0,7.0,2.0,19.0,211.0,52.0,,,98770,2.0,74.0,3.0,4.0,93.0,3.0,10.0,14.0,47.0,,2.0,,9.0,11.0,3.0,61.0,158.0,17.0,5.0,25.0,61.0,,0.0,1.0,10.0,,1.0,2.0,,0.0,3.0,2.0,26.0,13.0,2.0,2.0,1.0,,22.0,1.0,246.0,17.0,6.0,16.0,3.0,19.0,163.0,3.0,26.0,44.0,10.0,5.0,11.0,8.0,2.0,2.0,4.0,3.0,3.0,5.0,7.0,1.0,,,1.0,,,,1.0,8.0,,,,1.0,2.0,,,1.0,,1.0,,1.0,1.0,1.0,,,2.0,1.0,,2.0,,,,,3.0,7.0,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
31,1060007,2020-06-24 18:00:00,"St. James' Park, Newcastle",,Away,Aston Villa,Newcastle United,1,1,D,0,0,0,0,,,51.0,1.0,2.0,1.0,16.0,18.0,7.0,5.0,7.0,2.0,,1.0,148.0,7.0,5.0,1.0,4.0,13.0,,2.0,97.0,135.0,52.0,14.0,22.0,,,,,,34.0,2.0,1.0,18.0,38.0,186.0,,0.0,153.0,13.0,1.0,,,,4.0,1.0,52.0,61.0,6.0,58.0,,2.0,26.0,7.0,7.0,12.0,2.0,135.0,2.0,,4.0,66.0,541.0,10.0,4.0,17.0,,12.0,271.0,22.0,2.0,9.0,1.0,,2.0,6.0,7.0,17.0,349.0,74.0,,,98770,3.0,106.0,10.0,1.0,122.0,6.0,7.0,6.0,54.0,1.0,4.0,,15.0,9.0,4.0,50.0,285.0,14.0,13.0,16.0,74.0,,0.0,2.0,6.0,,1.0,1.0,2.0,0.0,5.0,5.0,47.9,16.0,2.0,4.0,5.0,,38.0,1.0,369.0,12.0,4.0,14.0,7.0,45.0,281.0,3.0,29.0,109.0,23.0,1.0,9.0,5.0,1.0,10.0,4.0,7.0,,1.0,5.0,,1.0,,1.0,4.0,3.0,,8.0,3.0,,,,1.0,2.0,3.0,,,,1.0,,1.0,2.0,2.0,1.0,,4.0,,,9.0,,,,2.0,5.0,3.0,,9.0,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,
32,1060014,2020-06-27 12:30:00,"Villa Park, Birmingham",,Home,Aston Villa,Wolverhampton Wanderers,0,1,L,0,0,0,0,,,55.0,,,2.0,28.0,9.0,2.0,1.0,9.0,1.0,,1.0,139.0,6.0,9.0,,5.0,9.0,3.0,1.0,109.0,113.0,50.0,11.0,26.0,,,,,1.0,15.0,2.0,1.0,9.0,49.0,206.0,1.0,0.0,125.0,16.0,,,,,3.0,,91.0,69.0,3.0,67.0,1.0,3.0,13.0,12.0,2.0,8.0,1.0,113.0,,,7.0,108.0,568.0,6.0,5.0,14.0,,11.0,332.0,21.0,1.0,4.0,,,1.0,1.0,6.0,15.0,398.0,71.0,,1.0,98770,5.0,145.0,2.0,3.0,156.0,6.0,12.0,7.0,60.0,,4.0,,12.0,2.0,3.0,66.0,345.0,13.0,8.0,10.0,81.0,,0.0,,2.0,1.0,,1.0,2.0,0.0,5.0,6.0,48.0,12.0,2.0,5.0,2.0,,44.0,,423.0,11.0,5.0,19.0,8.0,24.0,282.0,4.0,21.0,77.0,26.0,2.0,4.0,8.0,1.0,7.0,5.0,14.0,,2.0,9.0,,,,,,2.0,,2.0,2.0,,,,,,2.0,,,,,,1.0,3.0,1.0,,1.0,6.0,1.0,,2.0,,,,1.0,7.0,2.0,,2.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
33,1060025,2020-07-05 16:30:00,"Anfield, Liverpool",,Away,Aston Villa,Liverpool,0,2,L,0,0,0,0,,,70.0,,1.0,1.0,25.0,26.0,3.0,2.0,6.0,2.0,,3.0,131.0,3.0,9.0,,2.0,9.0,,3.0,50.0,139.0,49.0,9.0,10.0,3.0,2.0,1.0,,1.0,18.0,5.0,,26.0,47.0,87.0,,0.0,95.0,8.0,2.0,2.0,,,1.0,2.0,44.0,49.0,5.0,48.0,2.0,2.0,15.0,19.0,3.0,6.0,2.0,139.0,1.0,,3.0,34.0,457.0,7.0,4.0,12.0,,17.0,159.0,40.0,8.0,11.0,,1.0,1.0,1.0,4.0,23.0,232.0,54.0,,,98770,1.0,91.0,8.0,1.0,110.0,5.0,19.0,5.0,35.0,,2.0,,17.0,3.0,3.0,72.0,175.0,18.0,10.0,27.0,68.0,2.0,0.0,2.0,7.0,1.0,,2.0,1.0,0.0,2.0,2.0,28.8,19.0,6.0,3.0,2.0,,23.0,2.0,263.0,17.0,4.0,17.0,4.0,27.0,171.0,5.0,15.0,52.0,16.0,1.0,11.0,8.0,2.0,7.0,3.0,12.0,,1.0,11.0,,,,,1.0,,,3.0,1.0,,,,,1.0,,,,,,5.0,,2.0,1.0,2.0,,2.0,1.0,,5.0,,,,1.0,2.0,1.0,,5.0,,,3.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
34,1060034,2020-07-09 20:15:00,"Villa Park, Birmingham",,Home,Aston Villa,Manchester United,0,3,L,0,2,0,0,2.0,,47.0,,,1.0,26.0,16.0,5.0,6.0,4.0,3.0,,,117.0,5.0,7.0,,3.0,7.0,,1.0,68.0,109.0,35.0,9.0,13.0,,,,,1.0,16.0,6.0,1.0,16.0,35.0,127.0,,0.0,97.0,7.0,2.0,,,,3.0,,65.0,47.0,3.0,62.0,3.0,2.0,13.0,16.0,5.0,6.0,1.0,109.0,,,10.0,63.0,473.0,6.0,4.0,14.0,,15.0,219.0,20.0,6.0,3.0,,,2.0,1.0,4.0,21.0,284.0,41.0,,,98770,1.0,114.0,4.0,1.0,132.0,3.0,16.0,9.0,40.0,,4.0,,7.0,4.0,4.0,52.0,236.0,13.0,9.0,14.0,60.0,,0.0,2.0,5.0,3.0,,3.0,,0.0,5.0,,33.4,19.0,7.0,4.0,3.0,,34.0,,310.0,15.0,6.0,19.0,5.0,22.0,194.0,3.0,8.0,62.0,13.0,1.0,3.0,9.0,1.0,7.0,4.0,12.0,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,3.0,3.0,,,,1.0,,,1.0,,1.0,,2.0,,1.0,,,,,3.0,,3.0,1.0,1.0,,,3.0,2.0,,3.0,,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,
35,1060043,2020-07-12 14:15:00,"Villa Park, Birmingham",,Home,Aston Villa,Crystal Palace,2,0,W,1,0,0,1,,2.0,55.0,,,,34.0,12.0,6.0,4.0,6.0,5.0,,4.0,121.0,4.0,8.0,2.0,6.0,11.0,,9.0,67.0,132.0,59.0,12.0,21.0,3.0,,,1.0,3.0,24.0,8.0,4.0,12.0,37.0,123.0,,0.0,90.0,21.0,1.0,,,2.0,5.0,1.0,45.0,42.0,9.0,42.0,3.0,,19.0,11.0,6.0,5.0,,132.0,3.0,1.0,9.0,84.0,494.0,9.0,11.0,18.0,,13.0,208.0,27.0,4.0,5.0,1.0,,2.0,1.0,1.0,21.0,285.0,41.0,,,98770,2.0,112.0,9.0,1.0,139.0,12.0,11.0,9.0,72.0,,3.0,1.0,10.0,,8.0,63.0,231.0,20.0,18.0,15.0,57.0,,0.0,2.0,1.0,5.0,2.0,,4.0,0.0,2.0,1.0,44.9,20.0,,3.0,2.0,,37.0,1.0,314.0,13.0,9.0,21.0,1.0,35.0,199.0,7.0,19.0,61.0,21.0,1.0,5.0,12.0,,9.0,4.0,14.0,,1.0,4.0,3.0,,,1.0,2.0,,,5.0,2.0,,,,1.0,2.0,,,2.0,1.0,,1.0,1.0,,1.0,2.0,,1.0,1.0,,5.0,,,,2.0,1.0,2.0,,5.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1060056,2020-07-16 18:00:00,"Goodison Park, Liverpool",,Away,Aston Villa,Everton,1,1,D,0,0,0,0,,1.0,51.0,1.0,,2.0,45.0,14.0,8.0,5.0,7.0,,,,152.0,6.0,8.0,1.0,4.0,12.0,1.0,1.0,52.0,124.0,53.0,15.0,23.0,,,,,,27.0,5.0,,14.0,54.0,162.0,,0.0,115.0,13.0,,,,,3.0,1.0,50.0,69.0,6.0,74.0,1.0,1.0,23.0,11.0,8.0,12.0,3.0,124.0,2.0,,5.0,84.0,527.0,11.0,12.0,15.0,,7.0,267.0,20.0,5.0,7.0,1.0,,1.0,2.0,6.0,18.0,332.0,58.0,1.0,,98770,4.0,132.0,8.0,1.0,147.0,4.0,11.0,16.0,56.0,1.0,5.0,,13.0,4.0,9.0,75.0,288.0,15.0,11.0,11.0,68.0,,0.0,2.0,5.0,,1.0,1.0,3.0,0.0,6.0,2.0,45.1,14.0,6.0,5.0,7.0,,42.0,2.0,362.0,7.0,7.0,28.0,7.0,34.0,242.0,8.0,21.0,77.0,19.0,4.0,7.0,9.0,1.0,13.0,2.0,11.0,2.0,4.0,5.0,,1.0,,1.0,5.0,2.0,,4.0,4.0,,,,1.0,1.0,,,1.0,,,,2.0,,,,1.0,2.0,2.0,,5.0,,,,,4.0,4.0,,5.0,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
37,1060063,2020-07-21 20:15:00,"Villa Park, Birmingham",,Home,Aston Villa,Arsenal,1,0,W,1,0,0,0,,,45.0,1.0,,1.0,33.0,32.0,2.0,3.0,6.0,,,,109.0,4.0,7.0,1.0,2.0,7.0,2.0,3.0,49.0,104.0,57.0,8.0,16.0,1.0,1.0,,1.0,2.0,24.0,9.0,1.0,32.0,37.0,101.0,1.0,0.0,84.0,13.0,,1.0,,,2.0,,41.0,62.0,4.0,50.0,,3.0,18.0,13.0,2.0,8.0,1.0,104.0,1.0,,5.0,56.0,439.0,6.0,9.0,17.0,1.0,10.0,177.0,19.0,6.0,12.0,1.0,,2.0,3.0,3.0,13.0,234.0,37.0,,,98770,3.0,103.0,8.0,,113.0,7.0,13.0,6.0,35.0,,1.0,,13.0,2.0,3.0,56.0,200.0,19.0,4.0,13.0,49.0,1.0,0.0,1.0,9.0,,1.0,,1.0,0.0,2.0,2.0,31.0,11.0,3.0,1.0,1.0,,31.0,,264.0,10.0,3.0,15.0,4.0,27.0,175.0,3.0,15.0,49.0,17.0,3.0,12.0,16.0,,5.0,4.0,7.0,,3.0,5.0,1.0,,,,,,,6.0,2.0,,,,,1.0,,,1.0,,,1.0,,,3.0,,,1.0,1.0,,8.0,,,,2.0,3.0,2.0,,8.0,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1060081,2020-07-26 16:00:00,"London Stadium, London",,Away,Aston Villa,West Ham United,1,1,D,0,0,0,0,1.0,,51.0,,,1.0,22.0,11.0,4.0,5.0,9.0,,1.0,2.0,117.0,3.0,3.0,1.0,4.0,10.0,1.0,4.0,64.0,133.0,46.0,13.0,22.0,2.0,,,1.0,3.0,14.0,3.0,1.0,11.0,49.0,92.0,,0.0,89.0,13.0,,,1.0,,3.0,,68.0,27.0,4.0,31.0,1.0,4.0,10.0,15.0,4.0,1.0,1.0,133.0,1.0,,3.0,65.0,444.0,8.0,7.0,15.0,1.0,10.0,166.0,18.0,4.0,3.0,1.0,,1.0,3.0,6.0,29.0,252.0,56.0,,,98770,3.0,97.0,6.0,1.0,109.0,9.0,15.0,8.0,55.0,,2.0,1.0,12.0,7.0,6.0,63.0,186.0,16.0,5.0,14.0,73.0,,0.0,,,,1.0,1.0,,0.0,3.0,2.0,37.0,26.0,9.0,2.0,3.0,,28.0,,277.0,10.0,9.0,14.0,6.0,31.0,182.0,6.0,15.0,43.0,22.0,1.0,3.0,13.0,,10.0,4.0,9.0,2.0,1.0,9.0,,,,1.0,2.0,1.0,,4.0,3.0,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,4.0,,7.0,,,,,5.0,2.0,,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
