gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,wonCorners,attGoalLowRight,attemptsIbox,saves,fouledFinalThird,attBxRight,ptsGainedLosingPos,divingSave,freekickCross,goodHighClaim,interceptionsInBox,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,goalsOpenplay,attCorner,savedIbox,shieldBallOop,attBxLeft,totalHighClaim,effectiveBlockedCross,attHdGoal,attOpenplay,blockedCross,handBall,attFreekickTotal,shotFastbreak,totalFastbreak,attSvLowLeft,freekickTotal,accurateFreekickCross,attBxCentre,sixYardBlock,ownGoals,attFastbreak,attCmissLeft,attFreekickTarget,attSvHighCentre,attIboxOwnGoal,errorLeadToGoal,goalFastbreak,attMissHighRight,penaltyWon,attPenGoal,attLfTarget,goalAssistSetplay,goalAssistDeadball,attCmissRight,attGoalHighCentre,attMissHighLeft,errorLeadToShot,defenderGoals,attCmissHighLeft,attFreekickMiss,goalsConcededObox,attGoalHighRight,attOboxOwnGoal,attGoalHighLeft,postScoringAtt,attIboxPost,cleanSheet,attPostLeft,hitWoodwork,attFreekickGoal,clearanceOffLine,attLgCentre,attOboxPost,attPostRight,attSvHighLeft,attSvHighRight,attPostHigh,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,secondYellow,attCmissHigh,penaltySave,attObxdLeft,attHdPost,foulThrowIn,attObxLeft
11,266347,2008-11-01 15:00:00,"Old Trafford, Manchester",,Away,Hull City,Manchester United,3,4,L,1,3,0,0,45.0,3.0,,,23.0,26.0,6.0,1.0,,2.0,6.0,3.0,3.0,7.0,7.0,152.0,55.0,12.0,1.0,13.0,1.0,1.0,1.0,2.0,15.0,21.0,3.0,11.0,1.0,19.0,31.0,169.0,,0.0,132.0,13.0,2.0,45.0,43.0,5.0,,14.0,8.0,3.0,137.0,15.0,613.0,4.0,19.0,1.0,25.0,17.0,9.0,15.0,2.0,2.0,4.0,2.0,14.0,87.0,1.0,7712,119.0,4.0,1.0,131.0,2.0,12.0,48.0,3.0,1.0,2.0,7.0,8.0,1.0,65.0,282.0,12.0,8.0,1.0,37.0,106.0,1.0,,0.0,9.0,3.0,4.0,5.0,0.0,5.0,1.0,3.0,46.7,12.0,1.0,5.0,2.0,1.0,53.0,1.0,389.0,25.0,8.0,16.0,4.0,22.0,1.0,1.0,273.0,8.0,16.0,11.0,65.0,18.0,1.0,6.0,29.0,3.0,3.0,9.0,1.0,,,,,,,3.0,,,4.0,,,,,,,5.0,1.0,,,2.0,1.0,,2.0,,2.0,1.0,,,2.0,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,
12,266358,2008-11-08 15:00:00,"The MKM Stadium, Hull",,Home,Hull City,Bolton Wanderers,0,1,L,0,0,0,0,95.0,,,3.0,33.0,43.0,8.0,4.0,,3.0,12.0,7.0,,10.0,6.0,211.0,56.0,20.0,3.0,15.0,3.0,,2.0,2.0,49.0,11.0,3.0,28.0,6.0,18.0,47.0,138.0,,0.0,154.0,16.0,,61.0,47.0,6.0,1.0,43.0,22.0,2.0,196.0,7.0,698.0,6.0,23.0,1.0,23.0,29.0,13.0,21.0,,1.0,8.0,4.0,37.0,94.0,,7712,90.0,20.0,1.0,114.0,,7.0,60.0,1.0,4.0,5.0,6.0,2.0,1.0,78.0,216.0,10.0,7.0,4.0,48.0,101.0,1.0,1.0,0.0,7.0,,1.0,3.0,0.0,9.0,,4.0,53.3,31.0,3.0,20.0,5.0,6.0,42.0,6.0,336.0,23.0,19.0,22.0,8.0,40.0,3.0,5.0,271.0,11.0,14.0,19.0,81.0,30.0,,15.0,20.0,1.0,3.0,12.0,6.0,,,,,,,1.0,,4.0,1.0,,,,,,,1.0,3.0,,4.0,4.0,,,4.0,2.0,3.0,,,1.0,3.0,,,,,,,2.0,,,,,2.0,,,2.0,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,
13,266369,2008-11-16 16:00:00,"The MKM Stadium, Hull",,Home,Hull City,Manchester City,2,2,D,1,2,0,0,69.0,,,,28.0,35.0,5.0,,,1.0,8.0,13.0,2.0,6.0,4.0,186.0,72.0,10.0,2.0,25.0,2.0,,,2.0,31.0,17.0,,22.0,3.0,31.0,41.0,186.0,1.0,0.0,163.0,15.0,1.0,89.0,48.0,3.0,,28.0,13.0,3.0,173.0,10.0,682.0,6.0,27.0,1.0,23.0,16.0,19.0,21.0,,2.0,6.0,3.0,33.0,91.0,,7712,87.0,13.0,,107.0,2.0,6.0,62.0,4.0,2.0,1.0,4.0,3.0,1.0,64.0,265.0,18.0,5.0,,51.0,106.0,1.0,,0.0,6.0,1.0,2.0,6.0,0.0,7.0,,1.0,51.3,27.0,,11.0,1.0,2.0,54.0,3.0,387.0,23.0,9.0,21.0,4.0,33.0,1.0,1.0,311.0,9.0,26.0,21.0,93.0,33.0,1.0,11.0,20.0,2.0,2.0,21.0,3.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,3.0,,,3.0,,3.0,1.0,,1.0,3.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,
14,266379,2008-11-22 15:00:00,"Fratton Park, Portsmouth",,Away,Hull City,Portsmouth,2,2,D,0,1,0,0,73.0,,,3.0,23.0,57.0,6.0,1.0,,3.0,3.0,4.0,2.0,12.0,7.0,214.0,60.0,19.0,2.0,24.0,3.0,1.0,2.0,2.0,26.0,15.0,2.0,32.0,6.0,7.0,51.0,130.0,,0.0,152.0,14.0,,54.0,40.0,8.0,1.0,20.0,8.0,2.0,189.0,7.0,657.0,9.0,21.0,2.0,16.0,17.0,10.0,31.0,1.0,1.0,4.0,4.0,17.0,105.0,,7712,101.0,11.0,1.0,120.0,,12.0,75.0,7.0,3.0,3.0,8.0,5.0,2.0,65.0,228.0,12.0,10.0,2.0,37.0,105.0,1.0,2.0,0.0,7.0,2.0,2.0,9.0,0.0,1.0,1.0,5.0,49.0,15.0,1.0,17.0,3.0,5.0,42.0,7.0,354.0,16.0,22.0,18.0,7.0,35.0,2.0,4.0,260.0,13.0,7.0,24.0,71.0,31.0,1.0,19.0,20.0,1.0,3.0,10.0,7.0,,,,,,,3.0,,1.0,2.0,,,,,,,3.0,,,1.0,2.0,2.0,,2.0,1.0,2.0,1.0,,2.0,2.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,2.0,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
15,266390,2008-11-29 15:00:00,"bet365 Stadium, Stoke",,Away,Hull City,Stoke City,1,1,D,1,0,0,0,54.0,,1.0,1.0,25.0,75.0,4.0,3.0,,1.0,4.0,6.0,1.0,6.0,2.0,163.0,51.0,8.0,3.0,14.0,,1.0,,,15.0,9.0,1.0,34.0,3.0,13.0,24.0,126.0,,0.0,101.0,18.0,,52.0,41.0,5.0,,12.0,7.0,,122.0,7.0,567.0,4.0,15.0,,11.0,13.0,14.0,41.0,1.0,3.0,2.0,1.0,24.0,66.0,1.0,7712,83.0,3.0,2.0,96.0,1.0,11.0,48.0,2.0,4.0,4.0,6.0,3.0,2.0,54.0,205.0,17.0,7.0,1.0,42.0,80.0,,,0.0,5.0,1.0,1.0,4.0,0.0,4.0,1.0,1.0,52.1,17.0,1.0,6.0,4.0,4.0,38.0,3.0,288.0,11.0,2.0,18.0,2.0,22.0,,2.0,207.0,4.0,12.0,15.0,62.0,22.0,1.0,20.0,13.0,1.0,3.0,13.0,3.0,,,,,,,2.0,,3.0,2.0,,,,,,,3.0,1.0,,3.0,3.0,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
16,266399,2008-12-06 15:00:00,"The MKM Stadium, Hull",24912.0,Home,Hull City,Middlesbrough,2,1,W,0,0,0,1,57.0,,3.0,2.0,28.0,57.0,10.0,2.0,,2.0,5.0,7.0,2.0,12.0,4.0,177.0,53.0,19.0,3.0,16.0,1.0,,2.0,3.0,24.0,13.0,2.0,36.0,5.0,14.0,25.0,153.0,,0.0,124.0,12.0,,34.0,63.0,3.0,4.0,19.0,6.0,5.0,156.0,6.0,583.0,10.0,14.0,,11.0,14.0,15.0,39.0,,1.0,5.0,9.0,24.0,75.0,,7712,98.0,13.0,,119.0,1.0,6.0,50.0,2.0,6.0,4.0,5.0,,,53.0,246.0,9.0,4.0,2.0,37.0,97.0,1.0,2.0,0.0,6.0,2.0,1.0,2.0,0.0,4.0,,4.0,52.4,16.0,4.0,8.0,4.0,5.0,48.0,8.0,343.0,11.0,14.0,13.0,10.0,25.0,1.0,5.0,248.0,13.0,14.0,17.0,77.0,28.0,1.0,22.0,20.0,1.0,3.0,13.0,8.0,1.0,,,2.0,3.0,,2.0,,,,,,,,,,1.0,1.0,,,1.0,,14.0,1.0,2.0,1.0,,,,1.0,,5.0,,,,1.0,,,,,,2.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
17,266406,2008-12-13 15:00:00,"Anfield, Liverpool",43835.0,Away,Hull City,Liverpool,2,2,D,2,2,0,0,38.0,,,,23.0,60.0,6.0,2.0,,2.0,3.0,11.0,2.0,7.0,3.0,197.0,74.0,11.0,2.0,14.0,,1.0,1.0,1.0,17.0,28.0,2.0,31.0,4.0,11.0,21.0,76.0,,0.0,96.0,8.0,,39.0,31.0,2.0,,13.0,2.0,3.0,168.0,18.0,527.0,5.0,7.0,,28.0,14.0,1.0,35.0,1.0,3.0,8.0,5.0,18.0,94.0,,7712,83.0,8.0,1.0,102.0,,18.0,52.0,,4.0,,10.0,2.0,1.0,71.0,156.0,11.0,8.0,1.0,31.0,102.0,1.0,,0.0,8.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,32.7,10.0,1.0,4.0,,2.0,29.0,4.0,260.0,28.0,16.0,8.0,6.0,18.0,1.0,3.0,175.0,7.0,9.0,17.0,32.0,15.0,,16.0,34.0,2.0,3.0,17.0,4.0,,,,2.0,,,2.0,3.0,,4.0,,,,,,,3.0,2.0,1.0,,8.0,1.0,9.0,8.0,,,1.0,1.0,,,1.0,2.0,,,1.0,1.0,,,,,,4.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
18,266419,2008-12-20 15:00:00,"The MKM Stadium, Hull",24917.0,Home,Hull City,Sunderland,1,4,L,1,1,1,0,58.0,,3.0,1.0,27.0,48.0,9.0,4.0,1.0,4.0,3.0,2.0,1.0,9.0,7.0,171.0,52.0,16.0,2.0,14.0,3.0,,3.0,1.0,19.0,17.0,3.0,30.0,5.0,9.0,27.0,130.0,,0.0,121.0,20.0,1.0,38.0,40.0,6.0,,14.0,3.0,4.0,153.0,7.0,553.0,9.0,20.0,1.0,15.0,17.0,16.0,30.0,,2.0,2.0,3.0,24.0,90.0,,7712,98.0,11.0,2.0,113.0,,11.0,70.0,2.0,4.0,3.0,10.0,4.0,1.0,60.0,225.0,10.0,11.0,,48.0,96.0,1.0,,0.0,6.0,1.0,4.0,8.0,1.0,3.0,,3.0,48.4,19.0,2.0,6.0,3.0,3.0,45.0,6.0,321.0,15.0,19.0,12.0,6.0,23.0,,2.0,227.0,9.0,8.0,13.0,64.0,28.0,,17.0,27.0,2.0,3.0,8.0,6.0,,,,4.0,1.0,,2.0,,1.0,1.0,,,,,,,,3.0,,1.0,1.0,,9.0,1.0,,3.0,1.0,1.0,1.0,3.0,,4.0,,1.0,1.0,,1.0,,,,,2.0,,,1.0,,,,,2.0,,,,2.0,2.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,
19,266427,2008-12-26 15:00:00,"Etihad Stadium, Manchester",45196.0,Away,Hull City,Manchester City,1,5,L,0,4,0,0,78.0,,1.0,4.0,36.0,30.0,5.0,3.0,1.0,3.0,11.0,15.0,1.0,12.0,7.0,170.0,66.0,18.0,3.0,4.0,5.0,,3.0,1.0,38.0,19.0,1.0,19.0,8.0,10.0,37.0,226.0,,0.0,175.0,14.0,1.0,77.0,59.0,10.0,1.0,30.0,14.0,1.0,159.0,15.0,626.0,7.0,13.0,2.0,14.0,16.0,19.0,19.0,,4.0,7.0,2.0,17.0,100.0,,6224,79.0,14.0,2.0,91.0,,7.0,56.0,4.0,6.0,4.0,9.0,,1.0,56.0,294.0,15.0,8.0,5.0,41.0,94.0,1.0,,0.0,8.0,1.0,5.0,8.0,0.0,8.0,,4.0,50.2,17.0,2.0,18.0,4.0,7.0,54.0,9.0,383.0,14.0,17.0,21.0,4.0,22.0,3.0,3.0,330.0,10.0,7.0,12.0,117.0,36.0,,11.0,24.0,5.0,3.0,28.0,10.0,1.0,,,3.0,3.0,,3.0,2.0,1.0,,,,,,1.0,,3.0,,3.0,1.0,,,10.0,,,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,,1.0,,1.0,1.0,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,266439,2008-12-30 20:00:00,"The MKM Stadium, Hull",24727.0,Home,Hull City,Aston Villa,0,1,L,0,0,0,0,61.0,,1.0,2.0,25.0,33.0,2.0,1.0,,,5.0,3.0,,6.0,,197.0,53.0,6.0,,13.0,,,,1.0,28.0,13.0,,18.0,8.0,19.0,22.0,154.0,,0.0,159.0,12.0,,53.0,70.0,2.0,1.0,20.0,6.0,2.0,182.0,4.0,573.0,5.0,27.0,,24.0,9.0,17.0,25.0,,1.0,2.0,4.0,35.0,96.0,3.0,7712,86.0,13.0,,100.0,,9.0,57.0,3.0,1.0,1.0,4.0,3.0,1.0,55.0,235.0,8.0,12.0,1.0,43.0,105.0,,1.0,0.0,5.0,,1.0,12.0,0.0,3.0,,1.0,45.2,22.0,1.0,15.0,2.0,2.0,50.0,9.0,352.0,24.0,15.0,12.0,4.0,31.0,2.0,2.0,280.0,3.0,18.0,25.0,86.0,28.0,,14.0,17.0,1.0,3.0,9.0,9.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,3.0,1.0,1.0,,,4.0,,1.0,,,,,,,2.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,266446,2009-01-10 15:00:00,"Goodison Park, Liverpool",37527.0,Away,Hull City,Everton,0,2,L,0,2,0,0,48.0,,,,30.0,47.0,3.0,,,,7.0,5.0,,2.0,,190.0,54.0,5.0,,12.0,,,,2.0,19.0,16.0,,28.0,3.0,18.0,24.0,102.0,,0.0,115.0,26.0,,32.0,34.0,,,16.0,9.0,3.0,171.0,4.0,573.0,1.0,29.0,,22.0,12.0,19.0,31.0,,5.0,2.0,2.0,19.0,78.0,,7712,105.0,6.0,,128.0,,9.0,59.0,5.0,4.0,,4.0,3.0,,69.0,200.0,14.0,3.0,1.0,57.0,94.0,,1.0,0.0,5.0,,2.0,6.0,0.0,5.0,,2.0,47.0,15.0,2.0,8.0,,,35.0,3.0,327.0,21.0,10.0,10.0,5.0,26.0,2.0,2.0,218.0,3.0,13.0,16.0,45.0,24.0,,18.0,19.0,1.0,3.0,13.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,7.0,,,7.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,266457,2009-01-17 17:30:00,"The MKM Stadium, Hull",24924.0,Home,Hull City,Arsenal,1,3,L,0,1,0,0,54.0,,2.0,,18.0,37.0,2.0,2.0,,1.0,1.0,7.0,1.0,2.0,2.0,179.0,65.0,7.0,1.0,19.0,,,1.0,1.0,26.0,18.0,1.0,17.0,4.0,4.0,25.0,104.0,,0.0,117.0,11.0,,53.0,43.0,,3.0,22.0,7.0,,159.0,7.0,528.0,2.0,15.0,,19.0,15.0,13.0,22.0,,1.0,3.0,2.0,31.0,88.0,1.0,7712,62.0,9.0,,77.0,,6.0,70.0,4.0,5.0,4.0,7.0,3.0,,55.0,165.0,17.0,16.0,,34.0,81.0,,,0.0,4.0,1.0,3.0,6.0,0.0,1.0,,1.0,38.9,22.0,,14.0,4.0,1.0,37.0,4.0,258.0,19.0,14.0,13.0,4.0,28.0,,4.0,207.0,4.0,3.0,16.0,57.0,16.0,1.0,10.0,25.0,3.0,3.0,17.0,4.0,,,,,,,2.0,,2.0,2.0,,,,,,,2.0,1.0,,2.0,2.0,1.0,,2.0,,1.0,2.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,266468,2009-01-28 20:00:00,"Boleyn Ground, London",34340.0,Away,Hull City,West Ham United,0,2,L,0,1,0,0,62.0,,2.0,,44.0,32.0,8.0,3.0,,3.0,8.0,9.0,,13.0,6.0,157.0,56.0,16.0,7.0,14.0,4.0,,3.0,1.0,28.0,15.0,2.0,19.0,4.0,28.0,41.0,204.0,,0.0,132.0,15.0,,78.0,51.0,10.0,,24.0,11.0,,144.0,19.0,700.0,12.0,24.0,3.0,20.0,14.0,12.0,14.0,,1.0,4.0,3.0,24.0,86.0,,8876,121.0,12.0,,134.0,,15.0,69.0,,,4.0,9.0,7.0,1.0,67.0,317.0,11.0,9.0,1.0,31.0,86.0,,,0.0,11.0,,2.0,9.0,0.0,8.0,,5.0,49.7,19.0,2.0,13.0,4.0,7.0,56.0,5.0,397.0,20.0,19.0,34.0,3.0,12.0,,3.0,291.0,8.0,21.0,11.0,82.0,26.0,,9.0,25.0,2.0,3.0,21.0,5.0,,,,,,,5.0,,,1.0,,,,,,,6.0,4.0,,1.0,3.0,,,3.0,,1.0,,,3.0,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,
24,266478,2009-01-31 15:00:00,"The MKM Stadium, Hull",24879.0,Home,Hull City,West Bromwich Albion,2,2,D,1,0,0,0,63.0,2.0,2.0,2.0,25.0,32.0,10.0,6.0,1.0,2.0,10.0,9.0,2.0,13.0,8.0,186.0,48.0,19.0,4.0,5.0,1.0,2.0,2.0,,32.0,14.0,5.0,25.0,8.0,12.0,41.0,137.0,,0.0,130.0,14.0,2.0,32.0,48.0,9.0,2.0,24.0,9.0,1.0,179.0,8.0,560.0,8.0,33.0,1.0,18.0,15.0,12.0,20.0,2.0,2.0,1.0,4.0,36.0,101.0,2.0,7712,70.0,12.0,,85.0,,10.0,40.0,4.0,1.0,2.0,7.0,8.0,2.0,61.0,197.0,12.0,2.0,3.0,42.0,114.0,,1.0,0.0,6.0,2.0,2.0,13.0,0.0,6.0,2.0,5.0,51.1,19.0,3.0,10.0,2.0,6.0,52.0,8.0,314.0,18.0,9.0,19.0,5.0,35.0,4.0,4.0,261.0,8.0,9.0,7.0,68.0,32.0,,15.0,20.0,2.0,1.0,20.0,8.0,,,,4.0,1.0,,1.0,3.0,,1.0,,,,,2.0,,2.0,,1.0,,5.0,1.0,16.0,5.0,1.0,,5.0,5.0,1.0,,,6.0,1.0,,5.0,,,,,,1.0,,,,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,1.0,1.0,,1.0,,,,,
25,266485,2009-02-07 15:00:00,"Stamford Bridge, London",41802.0,Away,Hull City,Chelsea,0,0,D,0,0,0,0,34.0,,,2.0,18.0,62.0,8.0,3.0,,,4.0,6.0,,9.0,1.0,166.0,49.0,13.0,1.0,13.0,,,1.0,2.0,14.0,18.0,1.0,32.0,3.0,12.0,17.0,86.0,,0.0,108.0,21.0,,47.0,29.0,4.0,3.0,11.0,6.0,6.0,136.0,11.0,496.0,7.0,16.0,,14.0,6.0,11.0,40.0,,2.0,11.0,5.0,25.0,87.0,1.0,7712,50.0,3.0,2.0,62.0,,11.0,65.0,2.0,1.0,1.0,13.0,3.0,2.0,55.0,132.0,11.0,10.0,2.0,48.0,76.0,,1.0,0.0,13.0,,,3.0,0.0,3.0,,1.0,36.1,19.0,,6.0,1.0,3.0,26.0,3.0,219.0,14.0,11.0,9.0,9.0,15.0,1.0,2.0,171.0,7.0,11.0,8.0,46.0,15.0,,18.0,24.0,,1.0,19.0,3.0,,,,,,,3.0,,2.0,3.0,,,,,,,3.0,,,3.0,3.0,,,3.0,3.0,2.0,4.0,,,2.0,,,1.0,,4.0,,,,,,,1.0,,,1.0,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,
26,266498,2009-02-23 20:00:00,"The MKM Stadium, Hull",,Home,Hull City,Tottenham Hotspur,1,2,L,1,1,0,0,55.0,,,2.0,23.0,49.0,6.0,4.0,,,7.0,1.0,1.0,11.0,1.0,185.0,51.0,15.0,4.0,18.0,,,,4.0,34.0,17.0,,27.0,11.0,10.0,32.0,148.0,,0.0,139.0,15.0,,68.0,44.0,4.0,1.0,23.0,11.0,2.0,163.0,6.0,604.0,7.0,28.0,,14.0,10.0,12.0,24.0,,2.0,4.0,7.0,31.0,77.0,1.0,7712,76.0,11.0,1.0,90.0,1.0,7.0,63.0,1.0,5.0,2.0,4.0,3.0,1.0,47.0,217.0,9.0,6.0,4.0,26.0,78.0,,,0.0,13.0,1.0,2.0,11.0,0.0,2.0,,4.0,49.0,22.0,3.0,13.0,2.0,6.0,37.0,11.0,311.0,13.0,16.0,15.0,8.0,28.0,5.0,5.0,255.0,7.0,10.0,17.0,82.0,24.0,,12.0,24.0,1.0,3.0,9.0,11.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,9.0,,,9.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,
27,266509,2009-03-01 12:30:00,"The MKM Stadium, Hull",24612.0,Home,Hull City,Blackburn Rovers,1,2,L,0,2,1,1,66.0,,1.0,1.0,25.0,32.0,6.0,2.0,,1.0,4.0,8.0,1.0,7.0,3.0,188.0,49.0,10.0,1.0,22.0,,1.0,1.0,3.0,27.0,9.0,2.0,17.0,3.0,,35.0,91.0,,0.0,124.0,14.0,1.0,57.0,36.0,4.0,,24.0,5.0,3.0,173.0,5.0,541.0,4.0,12.0,,16.0,10.0,11.0,24.0,1.0,2.0,4.0,3.0,33.0,79.0,,6224,74.0,14.0,,88.0,1.0,4.0,52.0,,6.0,11.0,6.0,3.0,,73.0,161.0,20.0,2.0,2.0,53.0,89.0,,1.0,0.0,4.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,52.6,20.0,1.0,14.0,11.0,2.0,33.0,6.0,277.0,16.0,11.0,16.0,5.0,35.0,1.0,2.0,216.0,7.0,,9.0,52.0,17.0,,13.0,12.0,2.0,3.0,11.0,6.0,,,,,,,1.0,,5.0,1.0,,,,,,,1.0,1.0,,5.0,4.0,,,4.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
28,266520,2009-03-04 20:00:00,"Craven Cottage, London",23051.0,Away,Hull City,Fulham,1,0,W,0,0,0,0,50.0,,3.0,1.0,39.0,56.0,9.0,4.0,,,5.0,7.0,1.0,10.0,2.0,149.0,58.0,14.0,1.0,15.0,1.0,1.0,,1.0,23.0,12.0,,29.0,5.0,22.0,21.0,135.0,,0.0,116.0,15.0,,38.0,59.0,4.0,3.0,18.0,10.0,8.0,122.0,10.0,542.0,9.0,7.0,,16.0,14.0,14.0,21.0,1.0,1.0,7.0,6.0,15.0,87.0,,7712,60.0,8.0,3.0,71.0,1.0,15.0,47.0,,2.0,2.0,9.0,10.0,1.0,72.0,190.0,11.0,2.0,,37.0,88.0,,3.0,0.0,13.0,1.0,,3.0,0.0,4.0,1.0,1.0,36.9,12.0,1.0,5.0,3.0,2.0,42.0,5.0,266.0,16.0,8.0,10.0,10.0,21.0,1.0,2.0,218.0,7.0,22.0,23.0,70.0,21.0,1.0,8.0,17.0,,3.0,15.0,5.0,,,,,,,2.0,,1.0,,,,,,,,2.0,,,1.0,5.0,,,5.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,3.0,,,,,,,,2.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,
29,266529,2009-03-14 15:00:00,"The MKM Stadium, Hull",24914.0,Home,Hull City,Newcastle United,1,1,D,1,1,0,0,38.0,,1.0,,22.0,49.0,3.0,2.0,,,5.0,3.0,1.0,7.0,2.0,181.0,48.0,9.0,1.0,8.0,1.0,1.0,1.0,2.0,22.0,14.0,,22.0,3.0,12.0,25.0,88.0,,0.0,117.0,21.0,1.0,23.0,48.0,3.0,,19.0,5.0,2.0,154.0,7.0,502.0,3.0,19.0,,14.0,8.0,8.0,30.0,1.0,3.0,3.0,4.0,31.0,93.0,2.0,7712,75.0,13.0,2.0,92.0,,6.0,44.0,5.0,7.0,8.0,5.0,3.0,1.0,57.0,158.0,13.0,6.0,3.0,40.0,91.0,,,0.0,3.0,1.0,1.0,6.0,0.0,4.0,1.0,3.0,41.1,17.0,2.0,6.0,8.0,1.0,33.0,3.0,259.0,14.0,5.0,9.0,6.0,25.0,1.0,4.0,189.0,4.0,10.0,13.0,58.0,11.0,,12.0,19.0,1.0,3.0,10.0,3.0,,,,,,,,,2.0,2.0,,,,,,,,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,2.0,,,1.0,,,,,2.0,,,,,,1.0,1.0,,,1.0,,,,,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
