gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,postScoringAtt,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attGoalLowRight,savedObox,attRfTarget,fouledFinalThird,accuratePullBack,attPenTarget,attFreekickTotal,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attIboxPost,attOboxTarget,attMissHighRight,attSvHighRight,penaltyWon,ptsGainedLosingPos,totalFastbreak,attSvLowLeft,freekickCross,freekickTotal,attHdPost,attLgCentre,attMissHighLeft,totalKeeperSweeper,attSetpiece,attRfGoal,attFastbreak,attGoalHighLeft,attSvLowRight,attFreekickTarget,attBxLeft,errorLeadToGoal,subsGoals,accurateFreekickCross,punches,shieldBallOop,attSvHighCentre,attFreekickMiss,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,cleanSheet,attOboxGoal,midfielderGoals,errorLeadToShot,attCmissLeft,attPostRight,defenderGoals,attHdTarget,attPenGoal,attObxLeft,secondYellow,ownGoals,attIboxOwnGoal,goalsConcededObox,goalFastbreak,attObxdLeft,attSvHighLeft,attGoalHighCentre,attObpGoal,attHdGoal,attGoalHighRight,attFreekickPost,attCmissHighLeft,attOneOnOne,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,attPostLeft,attObxdRight,attPenPost,attObxRight,clearanceOffLine,attFreekickGoal,attLgRight
26,2367794,2024-02-21 19:30:00,"Anfield, Liverpool",59896,Home,Liverpool,Luton Town,4,1,W,0,1,0,0,2.0,50.0,1.0,5.0,20.0,20.0,9.0,9.0,20.0,2.0,2.0,163.0,6.0,14.0,4.0,24.0,,13.0,128.0,146.0,70.0,29.0,3.0,12.0,2.0,,1.0,3.0,22.0,13.0,20.0,11.0,9.0,36.0,227.0,0.0,155.0,15.0,1.0,,73.0,58.0,16.0,114.0,,1.0,11.0,24.0,9.0,3.0,5.0,146.0,6.0,,6.0,103.0,737.0,19.0,6.0,54.0,,6.0,395.0,15.0,4.0,11.0,3.0,1.0,6.0,8.0,18.0,479.0,52.0,1.0,97032,12.0,200.0,4.0,7.0,2.0,216.0,12.0,1.0,14.0,7.0,65.0,,4.0,2.0,3.0,2.0,15.0,6.0,6.0,1.0,53.0,421.0,14.0,18.0,2.0,25.0,7.0,68.0,0.0,1.0,4.0,1.0,4.0,,,1.0,,0.0,3.0,2.0,3.0,60.8,15.0,1.0,9.0,3.0,8.0,38.0,13.0,,508.0,6.0,16.0,24.0,8.0,40.0,3.0,3.0,314.0,16.0,9.0,21.0,111.0,22.0,3.0,1.0,11.0,21.0,1.0,21.0,4.0,20.0,,1.0,14.0,13.0,1.0,1.0,,1.0,7.0,3.0,,,,8.0,2.0,1.0,3.0,,1.0,2.0,,,3.0,2.0,2.0,1.0,,,,1.0,1.0,,,2.0,1.0,3.0,,3.0,,,,2.0,2.0,,,2.0,1.0,1.0,,,,,2.0,,1.0,,,,,,,,,,1.0,1.0,,2.0,,,,1.0,,1.0,,,,,,,,,
27,2367805,2024-03-02 15:00:00,"The City Ground, Nottingham",29603,Away,Liverpool,Nottingham Forest,1,0,W,0,0,0,0,,47.0,1.0,8.0,25.0,11.0,3.0,7.0,19.0,2.0,,215.0,9.0,4.0,1.0,18.0,1.0,2.0,175.0,156.0,52.0,22.0,3.0,14.0,5.0,,,4.0,24.0,14.0,11.0,12.0,3.0,29.0,339.0,0.0,204.0,12.0,1.0,,116.0,93.0,9.0,91.0,2.0,4.0,12.0,28.0,3.0,3.0,,156.0,,,5.0,181.0,876.0,13.0,3.0,38.0,,7.0,552.0,17.0,3.0,7.0,1.0,2.0,3.0,9.0,23.0,643.0,72.0,1.0,97032,9.0,241.0,,8.0,2.0,260.0,12.0,2.0,16.0,5.0,54.0,1.0,3.0,1.0,8.0,,26.0,3.0,5.0,1.0,45.0,571.0,11.0,10.0,4.0,19.0,7.0,86.0,0.0,1.0,3.0,2.0,1.0,,,,2.0,0.0,4.0,1.0,4.0,70.6,21.0,2.0,3.0,8.0,11.0,60.0,12.0,,662.0,7.0,12.0,19.0,9.0,36.0,5.0,9.0,426.0,11.0,3.0,17.0,162.0,17.0,,1.0,7.0,20.0,,15.0,5.0,12.0,,1.0,16.0,12.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,2.0,,1.0,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
28,2367814,2024-03-10 15:45:00,"Anfield, Liverpool",59947,Home,Liverpool,Manchester City,1,1,D,0,1,0,0,1.0,72.0,,2.0,33.0,13.0,8.0,2.0,11.0,5.0,,196.0,6.0,7.0,1.0,10.0,1.0,6.0,142.0,144.0,49.0,19.0,2.0,8.0,3.0,,,4.0,22.0,15.0,13.0,7.0,1.0,46.0,224.0,0.0,142.0,6.0,3.0,,64.0,80.0,5.0,110.0,1.0,2.0,15.0,28.0,8.0,4.0,3.0,144.0,2.0,,5.0,136.0,784.0,8.0,5.0,32.0,,12.0,474.0,24.0,7.0,6.0,,0.0,2.0,5.0,17.0,567.0,67.0,2.0,97032,8.0,272.0,2.0,11.0,,290.0,6.0,,12.0,6.0,42.0,,2.0,6.0,6.0,,11.0,5.0,6.0,,66.0,490.0,9.0,13.0,2.0,23.0,3.0,85.0,0.0,,4.0,3.0,1.0,,,1.0,2.0,0.0,4.0,,3.0,52.8,15.0,3.0,6.0,6.0,4.0,54.0,7.0,,584.0,12.0,9.0,22.0,9.0,33.0,2.0,6.0,316.0,14.0,1.0,10.0,102.0,36.0,,1.0,6.0,23.0,1.0,14.0,3.0,13.0,,1.0,12.0,7.0,,,,2.0,5.0,2.0,,,1.0,2.0,2.0,,2.0,,3.0,1.0,,1.0,1.0,2.0,2.0,,1.0,,,2.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
29,2367822,2024-04-24 20:00:00,"Goodison Park, Liverpool",38222,Away,Liverpool,Everton,0,2,L,0,1,0,0,,60.0,,6.0,33.0,8.0,8.0,9.0,15.0,4.0,,195.0,8.0,6.0,,15.0,,7.0,220.0,145.0,41.0,23.0,5.0,19.0,1.0,1.0,,,37.0,7.0,8.0,12.0,9.0,52.0,382.0,0.0,225.0,13.0,1.0,,125.0,74.0,12.0,80.0,,1.0,25.0,18.0,8.0,10.0,2.0,145.0,2.0,,14.0,222.0,914.0,13.0,2.0,49.0,1.0,5.0,615.0,24.0,3.0,8.0,,3.0,4.0,3.0,18.0,697.0,97.0,2.0,97032,10.0,260.0,3.0,15.0,2.0,279.0,6.0,3.0,13.0,5.0,54.0,,6.0,1.0,5.0,,20.0,2.0,5.0,2.0,62.0,634.0,6.0,11.0,2.0,12.0,8.0,84.0,0.0,,4.0,3.0,,,,2.0,,0.0,5.0,,2.0,76.1,18.0,,4.0,5.0,11.0,55.0,13.0,,717.0,5.0,9.0,23.0,5.0,63.0,3.0,2.0,475.0,12.0,8.0,15.0,179.0,26.0,,,8.0,14.0,2.0,15.0,5.0,9.0,,,13.0,13.0,,3.0,,1.0,3.0,,1.0,,,6.0,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,2.0,,3.0,1.0,,,,,2.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2367832,2024-03-31 14:00:00,"Anfield, Liverpool",60061,Home,Liverpool,Brighton and Hove Albion,2,1,W,1,1,0,0,2.0,55.0,2.0,5.0,21.0,14.0,9.0,12.0,20.0,2.0,1.0,175.0,3.0,10.0,2.0,20.0,2.0,8.0,172.0,118.0,43.0,30.0,5.0,8.0,5.0,,1.0,3.0,13.0,10.0,14.0,6.0,4.0,35.0,304.0,0.0,204.0,20.0,1.0,,62.0,76.0,9.0,91.0,1.0,5.0,7.0,22.0,10.0,5.0,4.0,118.0,3.0,,7.0,147.0,791.0,18.0,3.0,66.0,,12.0,501.0,17.0,3.0,9.0,1.0,5.0,2.0,11.0,15.0,565.0,58.0,1.0,97032,9.0,220.0,2.0,2.0,,231.0,19.0,,14.0,7.0,64.0,,1.0,5.0,5.0,1.0,9.0,2.0,7.0,3.0,39.0,521.0,5.0,8.0,1.0,11.0,2.0,60.0,0.0,1.0,4.0,2.0,2.0,,,1.0,2.0,0.0,1.0,1.0,3.0,54.3,14.0,3.0,10.0,5.0,10.0,48.0,8.0,,585.0,12.0,13.0,20.0,12.0,42.0,2.0,8.0,367.0,15.0,4.0,10.0,159.0,23.0,2.0,1.0,9.0,19.0,1.0,28.0,3.0,25.0,,1.0,14.0,8.0,,2.0,,,4.0,,,,,5.0,1.0,,3.0,,1.0,1.0,,,3.0,1.0,1.0,,,,,,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,
31,2367845,2024-04-04 19:30:00,"Anfield, Liverpool",60055,Home,Liverpool,Sheffield United,3,1,W,1,0,0,0,1.0,58.0,,2.0,39.0,5.0,14.0,7.0,15.0,3.0,1.0,227.0,9.0,9.0,3.0,21.0,2.0,9.0,197.0,135.0,52.0,29.0,3.0,14.0,2.0,,2.0,3.0,38.0,6.0,5.0,11.0,7.0,36.0,505.0,0.0,272.0,6.0,2.0,1.0,151.0,120.0,10.0,136.0,,6.0,27.0,17.0,14.0,7.0,6.0,135.0,2.0,,5.0,226.0,985.0,17.0,2.0,54.0,1.0,7.0,702.0,15.0,2.0,3.0,2.0,0.0,,11.0,14.0,774.0,92.0,1.0,97032,9.0,218.0,1.0,17.0,,236.0,6.0,1.0,6.0,2.0,45.0,,1.0,,5.0,3.0,15.0,1.0,2.0,2.0,45.0,714.0,8.0,8.0,2.0,5.0,3.0,68.0,0.0,1.0,1.0,2.0,1.0,,,1.0,,0.0,5.0,1.0,7.0,82.9,13.0,5.0,6.0,5.0,5.0,56.0,13.0,1.0,786.0,7.0,9.0,24.0,15.0,53.0,4.0,9.0,588.0,15.0,6.0,20.0,234.0,32.0,1.0,,3.0,15.0,1.0,24.0,4.0,17.0,,,6.0,13.0,,3.0,1.0,1.0,2.0,3.0,,,1.0,3.0,2.0,1.0,3.0,,3.0,3.0,1.0,,,2.0,,3.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,1.0,,3.0,,1.0,,,,1.0,,,,1.0,,2.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,
32,2367854,2024-04-07 15:30:00,"Old Trafford, Manchester",73522,Away,Liverpool,Manchester United,2,2,D,1,0,0,0,2.0,58.0,2.0,5.0,18.0,13.0,10.0,10.0,18.0,3.0,1.0,167.0,7.0,12.0,2.0,20.0,1.0,7.0,152.0,154.0,48.0,28.0,4.0,11.0,2.0,,,2.0,27.0,10.0,13.0,9.0,5.0,34.0,297.0,0.0,222.0,10.0,1.0,,73.0,90.0,12.0,98.0,,4.0,18.0,17.0,10.0,6.0,4.0,154.0,5.0,,7.0,157.0,791.0,16.0,1.0,60.0,,3.0,467.0,14.0,2.0,7.0,1.0,2.0,2.0,8.0,22.0,555.0,72.0,,97032,9.0,196.0,5.0,11.0,1.0,212.0,8.0,1.0,8.0,3.0,60.0,3.0,4.0,2.0,9.0,,10.0,2.0,3.0,5.0,37.0,486.0,9.0,7.0,3.0,14.0,6.0,63.0,0.0,,6.0,3.0,2.0,,,2.0,1.0,0.0,4.0,1.0,2.0,62.0,20.0,2.0,4.0,9.0,9.0,47.0,11.0,1.0,574.0,3.0,20.0,19.0,12.0,44.0,3.0,8.0,389.0,16.0,4.0,12.0,164.0,31.0,2.0,1.0,7.0,15.0,1.0,20.0,4.0,24.0,2.0,1.0,8.0,11.0,,3.0,,,2.0,2.0,,,,3.0,3.0,,2.0,,2.0,,,1.0,1.0,3.0,2.0,1.0,,,,1.0,,1.0,1.0,3.0,,1.0,,4.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
33,2367863,2024-04-14 14:00:00,"Anfield, Liverpool",60090,Home,Liverpool,Crystal Palace,0,1,L,0,1,0,0,,65.0,,4.0,27.0,11.0,3.0,3.0,18.0,3.0,,216.0,19.0,8.0,,18.0,1.0,6.0,201.0,196.0,63.0,21.0,1.0,12.0,1.0,1.0,,3.0,42.0,17.0,11.0,11.0,14.0,48.0,371.0,0.0,233.0,10.0,,,118.0,85.0,10.0,94.0,,3.0,31.0,31.0,3.0,12.0,2.0,196.0,3.0,,7.0,214.0,975.0,12.0,3.0,55.0,1.0,5.0,590.0,17.0,7.0,4.0,,1.0,3.0,8.0,21.0,707.0,90.0,2.0,97032,13.0,256.0,4.0,18.0,1.0,280.0,8.0,2.0,11.0,2.0,60.0,,3.0,2.0,8.0,,23.0,1.0,2.0,2.0,57.0,608.0,9.0,11.0,6.0,24.0,10.0,91.0,0.0,3.0,1.0,3.0,,,1.0,1.0,,0.0,12.0,,9.0,69.8,20.0,6.0,5.0,8.0,5.0,62.0,11.0,,725.0,5.0,18.0,24.0,10.0,56.0,7.0,7.0,487.0,9.0,14.0,20.0,166.0,35.0,,,4.0,26.0,1.0,10.0,5.0,17.0,,,11.0,11.0,,1.0,,1.0,4.0,2.0,1.0,,1.0,6.0,3.0,,3.0,1.0,,1.0,1.0,,,3.0,1.0,1.0,1.0,,,,,,,3.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
34,2367872,2024-04-21 16:30:00,"Craven Cottage, London",24401,Away,Liverpool,Fulham,3,1,W,1,1,0,0,,64.0,,1.0,25.0,13.0,7.0,5.0,7.0,4.0,1.0,189.0,1.0,11.0,3.0,9.0,1.0,7.0,181.0,139.0,42.0,14.0,2.0,11.0,,,2.0,1.0,15.0,6.0,13.0,2.0,5.0,42.0,180.0,0.0,116.0,11.0,1.0,,70.0,58.0,7.0,125.0,1.0,2.0,13.0,24.0,7.0,7.0,2.0,139.0,1.0,,8.0,161.0,826.0,7.0,,25.0,,10.0,551.0,17.0,2.0,7.0,2.0,0.0,1.0,2.0,19.0,639.0,57.0,,97032,2.0,387.0,1.0,6.0,,404.0,6.0,1.0,8.0,8.0,42.0,,3.0,3.0,9.0,2.0,16.0,4.0,8.0,,57.0,566.0,5.0,9.0,,16.0,1.0,86.0,0.0,1.0,1.0,2.0,1.0,,,1.0,,0.0,1.0,1.0,1.0,60.1,16.0,1.0,6.0,9.0,3.0,51.0,4.0,,656.0,10.0,5.0,19.0,4.0,30.0,,2.0,267.0,8.0,4.0,14.0,72.0,29.0,1.0,1.0,7.0,12.0,1.0,11.0,5.0,18.0,,1.0,8.0,4.0,1.0,,2.0,2.0,4.0,2.0,,,2.0,3.0,,,,,1.0,,,,,,3.0,,2.0,,,1.0,,,2.0,,1.0,,,4.0,,,,,1.0,,,,,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,
35,2367886,2024-04-27 12:30:00,"London Stadium, London",62474,Away,Liverpool,West Ham United,2,2,D,0,1,0,0,,55.0,1.0,6.0,23.0,19.0,5.0,5.0,23.0,6.0,1.0,215.0,8.0,12.0,2.0,24.0,3.0,8.0,176.0,148.0,59.0,28.0,,20.0,3.0,2.0,1.0,3.0,32.0,15.0,19.0,7.0,10.0,37.0,338.0,0.0,204.0,10.0,4.0,,94.0,60.0,13.0,102.0,1.0,4.0,25.0,14.0,5.0,10.0,3.0,148.0,2.0,,8.0,182.0,889.0,20.0,5.0,57.0,2.0,6.0,573.0,13.0,5.0,14.0,1.0,2.0,1.0,11.0,21.0,659.0,68.0,2.0,97032,15.0,257.0,2.0,15.0,2.0,285.0,8.0,1.0,6.0,3.0,60.0,1.0,3.0,4.0,3.0,1.0,10.0,3.0,3.0,4.0,40.0,587.0,8.0,9.0,3.0,16.0,6.0,72.0,0.0,,5.0,4.0,2.0,1.0,1.0,2.0,2.0,0.0,6.0,1.0,6.0,71.4,21.0,4.0,4.0,4.0,6.0,52.0,8.0,1.0,675.0,6.0,14.0,26.0,14.0,53.0,2.0,9.0,422.0,17.0,8.0,21.0,165.0,33.0,,1.0,14.0,18.0,2.0,20.0,4.0,19.0,2.0,1.0,6.0,8.0,,2.0,,2.0,4.0,2.0,1.0,,1.0,6.0,2.0,,3.0,1.0,1.0,,1.0,,1.0,2.0,,,1.0,,,1.0,,1.0,,2.0,,2.0,,3.0,,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
36,2367894,2024-05-05 16:30:00,"Anfield, Liverpool",60075,Home,Liverpool,Tottenham Hotspur,4,2,W,2,0,0,0,2.0,68.0,2.0,3.0,32.0,13.0,5.0,8.0,19.0,4.0,1.0,165.0,8.0,7.0,4.0,17.0,2.0,13.0,104.0,118.0,53.0,25.0,1.0,4.0,5.0,,3.0,1.0,19.0,14.0,13.0,6.0,3.0,35.0,188.0,0.0,142.0,14.0,1.0,,50.0,57.0,12.0,70.0,1.0,5.0,13.0,25.0,6.0,4.0,1.0,118.0,3.0,,5.0,91.0,649.0,12.0,3.0,48.0,,11.0,332.0,20.0,4.0,3.0,3.0,1.0,2.0,5.0,15.0,402.0,47.0,1.0,97032,9.0,179.0,2.0,9.0,,198.0,6.0,1.0,12.0,6.0,38.0,1.0,1.0,7.0,11.0,4.0,12.0,6.0,5.0,2.0,53.0,359.0,12.0,8.0,2.0,16.0,2.0,53.0,0.0,2.0,3.0,2.0,3.0,,,2.0,,0.0,5.0,2.0,4.0,44.0,14.0,1.0,10.0,11.0,4.0,31.0,8.0,,430.0,11.0,8.0,26.0,8.0,36.0,3.0,7.0,251.0,13.0,3.0,8.0,109.0,22.0,2.0,,3.0,26.0,2.0,23.0,5.0,13.0,,,12.0,8.0,2.0,3.0,1.0,2.0,6.0,,1.0,,,6.0,3.0,1.0,8.0,,3.0,,,,,3.0,1.0,,,,,,1.0,,1.0,3.0,1.0,,,2.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,1.0
37,2367899,2024-05-13 20:00:00,"Villa Park, Birmingham",42241,Away,Liverpool,Aston Villa,3,3,D,2,1,0,0,2.0,50.0,,2.0,20.0,17.0,5.0,3.0,9.0,2.0,,188.0,5.0,8.0,3.0,12.0,1.0,7.0,148.0,112.0,45.0,14.0,1.0,9.0,3.0,,,1.0,15.0,13.0,17.0,4.0,6.0,44.0,225.0,0.0,130.0,15.0,2.0,,50.0,75.0,8.0,93.0,,1.0,11.0,14.0,5.0,3.0,2.0,112.0,1.0,,16.0,148.0,753.0,10.0,3.0,26.0,,7.0,489.0,19.0,2.0,9.0,1.0,1.0,7.0,4.0,19.0,555.0,56.0,1.0,97032,3.0,290.0,,7.0,,313.0,10.0,1.0,4.0,6.0,54.0,,3.0,6.0,2.0,1.0,10.0,3.0,6.0,,37.0,510.0,11.0,17.0,1.0,7.0,2.0,63.0,0.0,2.0,5.0,2.0,3.0,,,3.0,2.0,0.0,4.0,1.0,2.0,58.8,15.0,1.0,5.0,2.0,3.0,46.0,4.0,,577.0,7.0,12.0,22.0,4.0,25.0,1.0,2.0,279.0,9.0,6.0,5.0,97.0,23.0,1.0,,9.0,21.0,1.0,11.0,4.0,9.0,2.0,,4.0,4.0,,1.0,,,4.0,1.0,,,,3.0,1.0,,,,2.0,2.0,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,4.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,2.0,,,1.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,
38,2367914,2024-05-19 16:00:00,"Anfield, Liverpool",60059,Home,Liverpool,Wolverhampton Wanderers,2,0,W,2,0,0,1,2.0,55.0,1.0,7.0,24.0,6.0,9.0,11.0,27.0,2.0,,196.0,11.0,5.0,2.0,29.0,,14.0,170.0,108.0,51.0,36.0,3.0,4.0,1.0,1.0,1.0,5.0,25.0,13.0,6.0,9.0,3.0,31.0,427.0,0.0,283.0,14.0,2.0,,130.0,92.0,18.0,90.0,,2.0,16.0,12.0,9.0,3.0,2.0,108.0,6.0,,3.0,165.0,811.0,22.0,2.0,71.0,1.0,8.0,551.0,20.0,1.0,4.0,1.0,1.0,2.0,11.0,14.0,603.0,76.0,,97032,19.0,152.0,5.0,12.0,,163.0,12.0,,8.0,4.0,56.0,,,3.0,1.0,1.0,13.0,1.0,4.0,3.0,35.0,568.0,10.0,15.0,6.0,4.0,9.0,48.0,0.0,,2.0,2.0,2.0,,1.0,,1.0,0.0,4.0,1.0,5.0,67.4,12.0,2.0,9.0,1.0,10.0,37.0,10.0,,621.0,8.0,9.0,20.0,12.0,47.0,7.0,9.0,483.0,20.0,3.0,14.0,251.0,24.0,,,4.0,22.0,,26.0,5.0,19.0,,,8.0,10.0,,4.0,1.0,1.0,7.0,1.0,,,,8.0,2.0,,3.0,1.0,4.0,,1.0,,,2.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,,3.0,,1.0,,,1.0,,,3.0,,,,,1.0,,1.0,,2.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,
