gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,attLfTotal,attLfGoal,attLgRight,accurateKeeperSweeper,attMissRight,secondYellow,contentiousDecision,attHdTarget,totalKeeperSweeper,accurateFreekickCross,attSetpiece,attAssistSetplay,savedIbox,goalsConceded,goalsConcededIbox,ptsDroppedWinningPos,errorLeadToGoal,attCmissRight,errorLeadToShot,attCmissHigh,attMissHigh,goalsConcededObox,attSvHighRight,attMissHighLeft,bigChanceMissed,sixYardBlock,shieldBallOop,handBall,attLfTarget,penaltyConceded,attCmissLeft,penaltyFaced,penGoalsConceded,attGoalLowLeft,attGoalHighRight,ptsGainedLosingPos,attLgCentre,hitWoodwork,attRfGoal,attObpGoal,attSvLowRight,attFreekickTotal,penaltyWon,attSvHighLeft,freekickTotal,attPenGoal,attFreekickMiss,attGoalLowCentre,attOboxGoal,attGoalHighLeft,goalAssistSetplay,goalAssistDeadball,defenderGoals,accuratePullBack,attOneOnOne,totalPullBack,midfielderGoals,penaltySave,attPenTarget,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,clearanceOffLine,postScoringAtt,attIboxPost,attPostRight,attPostLeft,attCmissHighRight,attFreekickTarget,attPostHigh,attCmissHighLeft,attObxdRight
13,919019,2017-11-26 13:30:00,"St. Mary's Stadium, Southampton",30461,Away,Everton,Southampton,1,4,L,1,1,0,0,,58.0,,,23.0,30.0,5.0,,1.0,1.0,136.0,,4.0,1.0,,3.0,2.0,68.0,141.0,46.0,5.0,,26.0,,,1.0,1.0,1.0,7.0,6.0,1.0,30.0,2.0,14.0,20.0,127.0,1.0,,0.0,105.0,13.0,1.0,,,,58.0,46.0,1.0,57.0,,5.0,20.0,5.0,,1.0,3.0,141.0,,10.0,68.0,496.0,2.0,7.0,7.0,14.0,220.0,25.0,5.0,17.0,1.0,0.0,5.0,2.0,19.0,301.0,68.0,,80801,,105.0,4.0,126.0,6.0,20.0,12.0,66.0,,,4.0,1.0,13.0,7.0,3.0,65.0,232.0,6.0,8.0,28.0,73.0,,0.0,1.0,7.0,,1.0,0.0,,,,,32.8,16.0,,4.0,,,5.0,,32.0,2.0,,329.0,14.0,14.0,10.0,3.0,14.0,,,210.0,5.0,11.0,24.0,56.0,17.0,,3.0,17.0,12.0,,5.0,3.0,9.0,3.0,11.0,2.0,1.0,,,,,,,,,,,,,1.0,4.0,3.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
14,919030,2017-11-29 20:00:00,"Goodison Park, Liverpool",38242,Home,Everton,West Ham United,4,0,W,2,0,0,0,2.0,70.0,1.0,1.0,28.0,49.0,1.0,6.0,3.0,1.0,154.0,3.0,11.0,4.0,3.0,5.0,5.0,90.0,132.0,62.0,8.0,,22.0,1.0,,1.0,,1.0,14.0,14.0,,49.0,2.0,12.0,27.0,147.0,,1.0,0.0,104.0,16.0,2.0,1.0,2.0,2.0,48.0,67.0,3.0,62.0,2.0,12.0,11.0,2.0,,1.0,1.0,132.0,1.0,5.0,105.0,613.0,3.0,10.0,17.0,15.0,318.0,38.0,8.0,22.0,2.0,2.0,,2.0,21.0,394.0,60.0,,87447,6.0,181.0,9.0,196.0,10.0,11.0,6.0,65.0,1.0,2.0,2.0,2.0,13.0,2.0,2.0,70.0,325.0,6.0,17.0,28.0,89.0,,0.0,3.0,6.0,3.0,1.0,0.0,2.0,1.0,2.0,,43.9,15.0,,4.0,,,2.0,1.0,41.0,2.0,2.0,411.0,15.0,7.0,15.0,2.0,22.0,1.0,1.0,229.0,6.0,12.0,26.0,59.0,16.0,,4.0,22.0,19.0,2.0,5.0,3.0,15.0,4.0,5.0,2.0,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,1.0,,,1.0,,2.0,,,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,3.0,1.0,1.0,,,,,,,,,,,,,,
15,919037,2017-12-02 15:00:00,"Goodison Park, Liverpool",39167,Home,Everton,Huddersfield Town,2,0,W,0,0,0,0,1.0,55.0,1.0,,27.0,42.0,3.0,3.0,3.0,2.0,175.0,3.0,4.0,2.0,3.0,4.0,4.0,73.0,163.0,65.0,6.0,1.0,29.0,,,2.0,,1.0,7.0,10.0,2.0,42.0,2.0,14.0,35.0,139.0,,1.0,0.0,143.0,12.0,1.0,,2.0,1.0,37.0,75.0,3.0,52.0,2.0,5.0,17.0,3.0,,1.0,,163.0,1.0,3.0,67.0,574.0,1.0,18.0,14.0,14.0,244.0,27.0,6.0,26.0,2.0,2.0,,1.0,33.0,342.0,67.0,,80801,2.0,116.0,2.0,138.0,7.0,17.0,11.0,70.0,,1.0,4.0,2.0,16.0,2.0,2.0,75.0,252.0,9.0,7.0,24.0,88.0,,0.0,1.0,5.0,2.0,6.0,0.0,1.0,2.0,1.0,,47.1,30.0,1.0,2.0,,,4.0,1.0,36.0,2.0,2.0,367.0,14.0,14.0,12.0,1.0,19.0,2.0,1.0,236.0,4.0,14.0,40.0,76.0,15.0,1.0,7.0,26.0,13.0,,5.0,3.0,13.0,7.0,7.0,2.0,,1.0,1.0,,1.0,,,,,1.0,,,1.0,2.0,,,,,,,,,,1.0,,,,2.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,
16,919046,2017-12-10 14:15:00,"Anfield, Liverpool",53082,Away,Everton,Liverpool,1,1,D,0,1,0,0,1.0,59.0,2.0,,23.0,49.0,2.0,1.0,2.0,1.0,124.0,,1.0,1.0,1.0,2.0,2.0,23.0,132.0,43.0,3.0,,14.0,,,,,,5.0,12.0,1.0,49.0,1.0,4.0,20.0,62.0,,,0.0,79.0,11.0,,1.0,1.0,1.0,19.0,63.0,1.0,21.0,2.0,4.0,19.0,2.0,1.0,1.0,1.0,132.0,,10.0,29.0,383.0,2.0,12.0,4.0,20.0,83.0,26.0,7.0,20.0,,3.0,8.0,1.0,11.0,158.0,56.0,,80801,1.0,37.0,2.0,54.0,8.0,19.0,19.0,55.0,,,2.0,,11.0,13.0,7.0,72.0,99.0,7.0,18.0,26.0,67.0,,0.0,1.0,12.0,1.0,2.0,0.0,,,,,20.6,7.0,,,,,2.0,,23.0,1.0,1.0,197.0,20.0,8.0,5.0,1.0,12.0,,,148.0,3.0,2.0,14.0,26.0,17.0,,5.0,20.0,21.0,,2.0,3.0,6.0,5.0,9.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,
17,919060,2017-12-13 19:45:00,"St. James' Park, Newcastle",51042,Away,Everton,Newcastle United,1,0,W,1,0,0,1,1.0,76.0,2.0,,28.0,49.0,3.0,4.0,4.0,,168.0,3.0,4.0,1.0,2.0,6.0,4.0,97.0,164.0,74.0,7.0,,34.0,3.0,,,1.0,1.0,7.0,18.0,,49.0,1.0,10.0,30.0,138.0,,1.0,0.0,113.0,11.0,1.0,2.0,1.0,,52.0,72.0,3.0,69.0,2.0,6.0,16.0,3.0,,2.0,3.0,164.0,1.0,7.0,92.0,652.0,5.0,6.0,8.0,14.0,302.0,25.0,4.0,27.0,,2.0,8.0,3.0,23.0,405.0,73.0,,80801,3.0,177.0,3.0,198.0,7.0,16.0,5.0,72.0,,3.0,5.0,1.0,16.0,9.0,2.0,82.0,312.0,9.0,11.0,40.0,97.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,3.0,,3.0,,45.0,15.0,,2.0,,,6.0,,37.0,1.0,1.0,426.0,14.0,10.0,17.0,3.0,16.0,,,235.0,2.0,9.0,37.0,53.0,37.0,,5.0,27.0,25.0,,6.0,3.0,11.0,5.0,7.0,1.0,,2.0,,,,,,,3.0,,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
18,919067,2017-12-18 20:00:00,"Goodison Park, Liverpool",37580,Home,Everton,Swansea City,3,1,W,1,1,0,0,1.0,56.0,1.0,2.0,35.0,17.0,3.0,9.0,2.0,3.0,171.0,2.0,9.0,3.0,3.0,8.0,7.0,90.0,140.0,53.0,12.0,,16.0,2.0,2.0,1.0,1.0,1.0,15.0,13.0,2.0,17.0,5.0,10.0,41.0,166.0,,,0.0,126.0,12.0,1.0,,1.0,,80.0,55.0,5.0,87.0,1.0,10.0,16.0,3.0,,5.0,,140.0,,2.0,97.0,617.0,6.0,10.0,17.0,14.0,335.0,24.0,12.0,7.0,1.0,2.0,1.0,3.0,25.0,425.0,62.0,,80801,5.0,185.0,4.0,205.0,8.0,16.0,7.0,50.0,,1.0,2.0,1.0,13.0,6.0,4.0,71.0,349.0,11.0,8.0,29.0,84.0,,0.0,,3.0,2.0,3.0,0.0,1.0,,1.0,,51.1,22.0,1.0,5.0,2.0,,2.0,2.0,48.0,6.0,,445.0,14.0,9.0,17.0,3.0,18.0,1.0,3.0,255.0,10.0,9.0,17.0,78.0,23.0,1.0,2.0,7.0,17.0,,8.0,3.0,14.0,2.0,7.0,6.0,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,1.0,1.0,3.0,,1.0,3.0,,3.0,,2.0,,,1.0,,1.0,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,
19,919076,2017-12-23 12:30:00,"Goodison Park, Liverpool",39191,Home,Everton,Chelsea,0,0,D,0,0,0,0,,76.0,,2.0,31.0,57.0,1.0,4.0,5.0,,146.0,4.0,5.0,,1.0,4.0,,65.0,146.0,48.0,5.0,,16.0,,,,,2.0,10.0,14.0,,57.0,2.0,13.0,23.0,129.0,,1.0,0.0,122.0,8.0,3.0,,1.0,,52.0,47.0,1.0,42.0,4.0,8.0,11.0,1.0,,3.0,1.0,146.0,,11.0,74.0,545.0,3.0,14.0,8.0,26.0,219.0,33.0,14.0,21.0,,3.0,10.0,3.0,12.0,308.0,74.0,,80801,4.0,105.0,4.0,122.0,4.0,11.0,10.0,54.0,,2.0,5.0,,20.0,14.0,5.0,73.0,230.0,3.0,11.0,36.0,77.0,,0.0,,7.0,,5.0,0.0,3.0,,1.0,,32.2,10.0,1.0,4.0,,,5.0,2.0,42.0,2.0,,327.0,26.0,10.0,9.0,3.0,17.0,1.0,2.0,215.0,2.0,10.0,22.0,60.0,29.0,,4.0,21.0,18.0,,4.0,3.0,14.0,4.0,4.0,2.0,,1.0,,,,,,,,,,,1.0,8.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
20,919092,2017-12-26 15:00:00,"The Hawthorns, West Bromwich",25364,Away,Everton,West Bromwich Albion,0,0,D,0,0,0,0,,51.0,1.0,,30.0,36.0,2.0,5.0,3.0,1.0,143.0,3.0,3.0,,2.0,3.0,3.0,76.0,164.0,55.0,7.0,,38.0,3.0,,,,2.0,19.0,10.0,,36.0,2.0,9.0,31.0,138.0,,1.0,0.0,135.0,13.0,,1.0,3.0,1.0,65.0,65.0,1.0,43.0,1.0,17.0,12.0,2.0,,2.0,2.0,164.0,,12.0,82.0,551.0,1.0,9.0,10.0,7.0,221.0,22.0,8.0,17.0,,0.0,4.0,2.0,31.0,314.0,77.0,,78315,3.0,103.0,12.0,123.0,6.0,12.0,14.0,71.0,1.0,1.0,11.0,,18.0,5.0,7.0,79.0,238.0,14.0,8.0,35.0,81.0,2.0,0.0,1.0,10.0,,,0.0,2.0,,1.0,,47.3,22.0,,4.0,1.0,,11.0,,33.0,2.0,2.0,344.0,7.0,13.0,14.0,4.0,28.0,1.0,2.0,240.0,3.0,6.0,26.0,82.0,11.0,,4.0,17.0,16.0,,5.0,3.0,3.0,4.0,5.0,2.0,,3.0,,,1.0,,,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
21,919093,2017-12-30 15:00:00,"Vitality Stadium, Bournemouth",10497,Away,Everton,Bournemouth,1,2,L,0,1,0,0,1.0,67.0,2.0,1.0,41.0,28.0,2.0,4.0,5.0,,190.0,2.0,3.0,1.0,,4.0,1.0,92.0,172.0,46.0,6.0,1.0,26.0,,,1.0,,,15.0,10.0,,28.0,3.0,10.0,46.0,152.0,,,0.0,131.0,13.0,4.0,,1.0,,68.0,64.0,2.0,80.0,2.0,12.0,26.0,2.0,,2.0,1.0,172.0,1.0,10.0,109.0,658.0,3.0,11.0,14.0,14.0,334.0,23.0,12.0,16.0,1.0,0.0,4.0,2.0,21.0,447.0,83.0,,80801,3.0,198.0,9.0,222.0,6.0,26.0,11.0,56.0,,5.0,7.0,1.0,20.0,8.0,5.0,92.0,348.0,7.0,12.0,41.0,103.0,,0.0,,4.0,1.0,,0.0,1.0,1.0,1.0,,52.8,18.0,1.0,7.0,1.0,,7.0,2.0,45.0,4.0,,471.0,14.0,5.0,20.0,3.0,22.0,1.0,2.0,264.0,3.0,8.0,22.0,68.0,28.0,,1.0,16.0,14.0,,5.0,3.0,6.0,1.0,15.0,4.0,,2.0,,,1.0,2.0,,,,1.0,,1.0,,3.0,2.0,2.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,
22,919106,2018-01-01 17:30:00,"Goodison Park, Liverpool",39188,Home,Everton,Manchester United,0,2,L,0,0,0,0,,59.0,2.0,3.0,22.0,32.0,3.0,9.0,4.0,,124.0,6.0,12.0,,2.0,8.0,,81.0,137.0,46.0,12.0,3.0,17.0,,,,,1.0,21.0,9.0,,32.0,6.0,9.0,22.0,194.0,,,0.0,159.0,11.0,1.0,,2.0,,56.0,89.0,3.0,56.0,1.0,15.0,11.0,3.0,,3.0,,137.0,1.0,3.0,104.0,566.0,5.0,4.0,28.0,8.0,270.0,25.0,1.0,15.0,,2.0,7.0,5.0,15.0,343.0,61.0,,78315,7.0,94.0,10.0,105.0,6.0,11.0,9.0,48.0,,1.0,6.0,,17.0,18.0,5.0,58.0,282.0,10.0,9.0,17.0,64.0,,0.0,3.0,6.0,,2.0,0.0,3.0,,3.0,,39.8,9.0,3.0,10.0,1.0,,6.0,6.0,32.0,6.0,,365.0,8.0,10.0,9.0,6.0,33.0,3.0,6.0,281.0,5.0,9.0,12.0,104.0,17.0,,1.0,15.0,12.0,,7.0,3.0,14.0,1.0,5.0,6.0,,4.0,,,1.0,3.0,,,,1.0,1.0,,3.0,2.0,2.0,,,,1.0,1.0,1.0,2.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,
23,919120,2018-01-13 17:30:00,"Wembley Stadium, London",76251,Away,Everton,Tottenham Hotspur,0,4,L,0,1,0,0,,75.0,3.0,2.0,32.0,24.0,3.0,4.0,6.0,,165.0,2.0,7.0,,1.0,4.0,,72.0,156.0,51.0,7.0,1.0,22.0,,,,,1.0,11.0,14.0,,24.0,3.0,16.0,42.0,132.0,1.0,,0.0,105.0,15.0,5.0,,1.0,1.0,61.0,55.0,1.0,66.0,3.0,8.0,13.0,3.0,,,2.0,156.0,,13.0,57.0,561.0,3.0,6.0,12.0,19.0,241.0,37.0,7.0,10.0,,2.0,4.0,3.0,21.0,331.0,62.0,,80801,4.0,128.0,7.0,153.0,10.0,13.0,6.0,72.0,1.0,7.0,6.0,,16.0,7.0,4.0,83.0,258.0,11.0,18.0,41.0,81.0,1.0,0.0,2.0,3.0,,2.0,0.0,1.0,,1.0,,38.5,19.0,1.0,3.0,,,6.0,3.0,40.0,3.0,1.0,360.0,19.0,14.0,21.0,4.0,19.0,1.0,2.0,218.0,3.0,15.0,16.0,54.0,23.0,,5.0,10.0,17.0,,4.0,3.0,11.0,5.0,4.0,3.0,,2.0,,,,1.0,,1.0,,,,1.0,1.0,3.0,4.0,4.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,919126,2018-01-20 15:00:00,"Goodison Park, Liverpool",39061,Home,Everton,West Bromwich Albion,1,1,D,0,1,0,0,1.0,64.0,3.0,2.0,36.0,25.0,2.0,7.0,4.0,1.0,183.0,2.0,8.0,1.0,3.0,7.0,4.0,113.0,190.0,61.0,9.0,1.0,35.0,2.0,,1.0,1.0,1.0,14.0,13.0,1.0,25.0,,19.0,42.0,202.0,,,0.0,174.0,15.0,2.0,1.0,2.0,,74.0,86.0,5.0,67.0,1.0,14.0,29.0,2.0,,6.0,,190.0,1.0,9.0,111.0,680.0,4.0,6.0,18.0,14.0,334.0,24.0,8.0,11.0,1.0,2.0,1.0,2.0,29.0,448.0,75.0,,80801,5.0,141.0,6.0,169.0,9.0,29.0,15.0,71.0,,,6.0,1.0,24.0,6.0,3.0,86.0,341.0,9.0,8.0,30.0,90.0,,0.0,1.0,3.0,1.0,3.0,0.0,2.0,1.0,2.0,,56.8,24.0,2.0,1.0,1.0,,6.0,3.0,38.0,,,474.0,14.0,8.0,21.0,2.0,23.0,,2.0,319.0,3.0,18.0,24.0,105.0,32.0,,2.0,11.0,21.0,,6.0,3.0,15.0,2.0,11.0,,,4.0,,,,,,,,,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,1.0,2.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,919137,2018-01-31 19:45:00,"Goodison Park, Liverpool",38390,Home,Everton,Leicester City,2,1,W,2,0,0,0,2.0,59.0,,,21.0,25.0,4.0,5.0,,2.0,158.0,4.0,7.0,2.0,5.0,4.0,4.0,55.0,178.0,53.0,9.0,1.0,23.0,,1.0,2.0,,2.0,15.0,19.0,2.0,25.0,5.0,7.0,27.0,126.0,,,0.0,120.0,10.0,,2.0,3.0,,56.0,53.0,3.0,57.0,1.0,10.0,17.0,4.0,,1.0,1.0,178.0,2.0,8.0,77.0,553.0,2.0,8.0,18.0,14.0,227.0,26.0,9.0,8.0,2.0,0.0,3.0,1.0,26.0,329.0,67.0,,80801,3.0,109.0,6.0,135.0,5.0,17.0,6.0,59.0,2.0,3.0,9.0,1.0,23.0,,,77.0,231.0,9.0,10.0,45.0,79.0,,0.0,,5.0,2.0,4.0,0.0,3.0,1.0,1.0,,44.3,18.0,1.0,4.0,,,9.0,1.0,27.0,5.0,1.0,347.0,14.0,14.0,13.0,4.0,32.0,1.0,2.0,227.0,5.0,7.0,13.0,64.0,16.0,,2.0,8.0,24.0,,6.0,3.0,10.0,2.0,11.0,5.0,,3.0,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,2.0,,,1.0,,1.0,,1.0,1.0,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,
26,919144,2018-02-03 17:30:00,"Emirates Stadium, London",59306,Away,Everton,Arsenal,1,5,L,0,4,0,0,1.0,64.0,,4.0,31.0,26.0,2.0,8.0,2.0,1.0,136.0,3.0,13.0,1.0,1.0,6.0,2.0,88.0,140.0,57.0,10.0,,21.0,,1.0,1.0,1.0,1.0,24.0,4.0,1.0,26.0,4.0,8.0,38.0,182.0,,,0.0,143.0,8.0,1.0,,1.0,1.0,58.0,90.0,3.0,63.0,3.0,20.0,14.0,2.0,,5.0,1.0,140.0,2.0,12.0,89.0,586.0,5.0,6.0,21.0,16.0,294.0,23.0,7.0,12.0,1.0,0.0,4.0,3.0,27.0,358.0,68.0,,80801,5.0,127.0,14.0,136.0,6.0,14.0,3.0,59.0,,3.0,4.0,1.0,15.0,3.0,,56.0,306.0,8.0,9.0,19.0,59.0,,0.0,4.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,,41.6,22.0,,12.0,1.0,,4.0,4.0,39.0,6.0,1.0,376.0,16.0,12.0,22.0,4.0,37.0,1.0,2.0,264.0,8.0,6.0,25.0,97.0,22.0,,,12.0,11.0,1.0,7.0,3.0,23.0,,6.0,6.0,,1.0,,,,2.0,,1.0,,,,2.0,,2.0,5.0,4.0,,2.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
27,919154,2018-02-10 15:00:00,"Goodison Park, Liverpool",39139,Home,Everton,Crystal Palace,3,1,W,0,0,0,0,2.0,58.0,2.0,1.0,31.0,27.0,6.0,5.0,3.0,2.0,151.0,3.0,21.0,3.0,3.0,6.0,5.0,97.0,146.0,66.0,11.0,3.0,27.0,1.0,1.0,2.0,,1.0,22.0,10.0,1.0,27.0,8.0,10.0,37.0,165.0,,,0.0,149.0,14.0,2.0,2.0,1.0,,55.0,70.0,4.0,56.0,,14.0,18.0,6.0,,5.0,1.0,146.0,1.0,9.0,85.0,601.0,3.0,5.0,29.0,7.0,283.0,21.0,7.0,15.0,2.0,1.0,6.0,2.0,22.0,364.0,67.0,1.0,80801,3.0,136.0,8.0,150.0,6.0,18.0,7.0,64.0,3.0,2.0,3.0,3.0,18.0,7.0,3.0,62.0,298.0,15.0,15.0,23.0,68.0,,0.0,2.0,7.0,2.0,1.0,0.0,1.0,1.0,2.0,,52.9,18.0,1.0,4.0,,,3.0,4.0,38.0,8.0,1.0,389.0,7.0,5.0,22.0,2.0,32.0,2.0,1.0,261.0,8.0,9.0,14.0,91.0,26.0,2.0,4.0,15.0,16.0,1.0,7.0,3.0,26.0,4.0,6.0,8.0,,1.0,1.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,2.0,,1.0,1.0,1.0,1.0,3.0,,,,,1.0,,,2.0,,,2.0,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
28,919171,2018-02-24 17:30:00,"Vicarage Road, Watford",20430,Away,Everton,Watford,0,1,L,0,0,0,0,,72.0,1.0,1.0,25.0,28.0,1.0,6.0,4.0,,159.0,7.0,7.0,,1.0,6.0,2.0,76.0,176.0,54.0,7.0,,35.0,1.0,,,2.0,2.0,22.0,18.0,1.0,28.0,5.0,12.0,37.0,114.0,,,0.0,111.0,9.0,3.0,,1.0,,39.0,57.0,3.0,43.0,,17.0,30.0,1.0,,6.0,,176.0,1.0,5.0,72.0,584.0,4.0,5.0,23.0,13.0,226.0,27.0,5.0,11.0,,1.0,4.0,3.0,33.0,329.0,60.0,,80801,4.0,125.0,10.0,155.0,5.0,30.0,6.0,77.0,1.0,1.0,2.0,,18.0,8.0,,78.0,232.0,9.0,15.0,34.0,82.0,,0.0,,6.0,,1.0,0.0,4.0,,4.0,2.0,45.7,30.0,3.0,3.0,,,2.0,1.0,33.0,5.0,,350.0,13.0,12.0,16.0,4.0,28.0,3.0,4.0,217.0,1.0,8.0,12.0,61.0,36.0,,2.0,11.0,26.0,,3.0,3.0,14.0,2.0,14.0,5.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,919174,2018-03-03 12:30:00,"Turf Moor, Burnley",20802,Away,Everton,Burnley,1,2,L,1,0,1,0,1.0,77.0,,,24.0,44.0,2.0,8.0,6.0,1.0,172.0,3.0,10.0,1.0,1.0,9.0,4.0,60.0,169.0,56.0,10.0,,24.0,3.0,,1.0,3.0,,20.0,10.0,,44.0,4.0,11.0,38.0,120.0,2.0,,0.0,105.0,12.0,3.0,,1.0,,83.0,40.0,4.0,48.0,2.0,16.0,18.0,2.0,,7.0,2.0,169.0,3.0,16.0,62.0,555.0,8.0,15.0,17.0,14.0,216.0,39.0,4.0,30.0,1.0,1.0,10.0,5.0,27.0,317.0,63.0,,80801,6.0,111.0,8.0,138.0,7.0,18.0,4.0,56.0,,2.0,1.0,1.0,10.0,5.0,2.0,74.0,228.0,9.0,5.0,37.0,81.0,,0.0,5.0,10.0,1.0,6.0,1.0,3.0,1.0,2.0,,45.5,22.0,1.0,1.0,1.0,,1.0,,29.0,4.0,,342.0,14.0,8.0,14.0,6.0,25.0,,4.0,224.0,4.0,11.0,26.0,58.0,27.0,1.0,5.0,30.0,11.0,1.0,9.0,3.0,18.0,5.0,3.0,4.0,1.0,4.0,,,,2.0,,,,,,,,6.0,2.0,2.0,3.0,,,,,2.0,,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,
