gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,goalAssistDeadball,goodHighClaim,interceptionsInBox,attGoalHighCentre,attLgCentre,errorLeadToShot,punches,lostCorners,shieldBallOop,totalHighClaim,effectiveBlockedCross,attHdGoal,blockedCross,accuratePullBack,attCmissRight,contentiousDecision,accurateThroughBall,totalPullBack,attCmissLeft,overrun,handBall,shotFastbreak,postScoringAtt,attIboxPost,attSvHighRight,penaltyWon,totalFastbreak,attSvHighLeft,freekickCross,attPostLeft,hitWoodwork,attPenGoal,attFastbreak,attSvHighCentre,ptsDroppedWinningPos,attGoalLowCentre,goalFastbreak,cleanSheet,goalsConcededObox,accurateKeeperSweeper,totalKeeperSweeper,attGoalHighLeft,secondYellow,attSetpiece,attPostHigh,accurateFreekickCross,penaltyConceded,penaltyFaced,penGoalsConceded,rescindedRedCard,attOneOnOne,attGoalHighRight,defenderGoals,attObxdLeft,ownGoals,attFreekickGoal,attIboxOwnGoal,clearanceOffLine,penaltySave,attPenTarget,attCmissHighRight
11,1059807,2019-11-03 16:30:00,"Goodison Park, Liverpool",39001.0,Away,Tottenham Hotspur,Everton,1,1,D,0,0,0,0,,1.0,56.0,1.0,,,,,20.0,24.0,2.0,1.0,3.0,2.0,,1.0,150.0,3.0,7.0,1.0,1.0,5.0,2.0,120.0,151.0,48.0,,5.0,1.0,16.0,,1.0,1.0,,,7.0,13.0,1.0,24.0,1.0,9.0,35.0,116.0,,,0.0,87.0,8.0,,1.0,1.0,,46.0,54.0,3.0,64.0,2.0,6.0,21.0,2.0,,1.0,,151.0,1.0,6.0,109.0,651.0,,3.0,8.0,10.0,,11.0,329.0,30.0,,1.0,13.0,1.0,2.0,1.0,2.0,33.0,420.0,52.0,95715,1.0,231.0,,3.0,,256.0,7.0,1.0,21.0,11.0,66.0,,3.0,2.0,5.0,,1.0,17.0,1.0,6.0,,56.0,344.0,9.0,16.0,1.0,9.0,1.0,75.0,1.0,0.0,,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,52.7,32.0,2.0,1.0,,5.0,1.0,38.0,2.0,443.0,11.0,,18.0,13.0,2.0,10.0,1.0,2.0,194.0,2.0,8.0,18.0,41.0,18.0,,13.0,15.0,1.0,3.0,3.0,15.0,,13.0,2.0,,,2.0,,,,,5.0,3.0,,6.0,,6.0,,,1.0,1.0,,,2.0,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,
12,1059820,2019-11-09 15:00:00,"Tottenham Hotspur Stadium, London",59781.0,Home,Tottenham Hotspur,Sheffield United,1,1,D,0,0,0,0,3.0,1.0,52.0,,,3.0,,,26.0,19.0,10.0,8.0,7.0,3.0,,1.0,193.0,3.0,13.0,1.0,1.0,14.0,5.0,173.0,148.0,63.0,,17.0,4.0,14.0,2.0,,,2.0,4.0,16.0,13.0,2.0,19.0,3.0,5.0,27.0,237.0,,,0.0,175.0,6.0,,1.0,1.0,,49.0,85.0,7.0,74.0,3.0,13.0,12.0,10.0,,2.0,4.0,148.0,2.0,8.0,162.0,806.0,,13.0,15.0,25.0,,5.0,482.0,21.0,,2.0,12.0,,2.0,3.0,7.0,27.0,575.0,50.0,95715,3.0,273.0,2.0,10.0,,311.0,2.0,1.0,12.0,10.0,59.0,,4.0,1.0,3.0,,1.0,8.0,6.0,8.0,1.0,52.0,507.0,9.0,12.0,1.0,15.0,4.0,60.0,1.0,0.0,,,1.0,1.0,3.0,0.0,2.0,,1.0,61.1,25.0,1.0,4.0,1.0,3.0,4.0,40.0,4.0,602.0,5.0,,15.0,11.0,8.0,27.0,1.0,4.0,307.0,8.0,5.0,22.0,135.0,22.0,,12.0,19.0,1.0,13.0,3.0,25.0,,8.0,4.0,,,1.0,,,1.0,,4.0,,,,,,1.0,3.0,,1.0,3.0,2.0,2.0,,,,,,,,,1.0,,,,,1.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
13,1059831,2019-11-23 12:30:00,"London Stadium, London",59930.0,Away,Tottenham Hotspur,West Ham United,3,2,W,2,0,0,0,,3.0,63.0,,2.0,,2.0,,16.0,15.0,5.0,4.0,10.0,3.0,2.0,2.0,173.0,4.0,11.0,3.0,3.0,12.0,6.0,120.0,135.0,68.0,1.0,15.0,1.0,22.0,1.0,1.0,3.0,1.0,3.0,13.0,8.0,2.0,15.0,5.0,3.0,32.0,185.0,,,0.0,107.0,14.0,,1.0,2.0,,54.0,68.0,8.0,71.0,2.0,8.0,18.0,5.0,1.0,4.0,2.0,135.0,4.0,8.0,107.0,655.0,,7.0,10.0,17.0,1.0,9.0,364.0,24.0,,8.0,9.0,3.0,2.0,3.0,4.0,12.0,441.0,66.0,95715,6.0,199.0,2.0,4.0,1.0,219.0,8.0,,18.0,7.0,66.0,1.0,,6.0,1.0,,3.0,10.0,3.0,1.0,1.0,57.0,380.0,11.0,12.0,2.0,25.0,5.0,69.0,,0.0,1.0,2.0,3.0,2.0,5.0,0.0,2.0,3.0,5.0,52.9,11.0,3.0,3.0,1.0,1.0,3.0,32.0,7.0,471.0,9.0,,11.0,11.0,6.0,22.0,2.0,4.0,265.0,5.0,3.0,27.0,67.0,31.0,1.0,9.0,19.0,2.0,8.0,3.0,18.0,,6.0,7.0,,,2.0,,,,,3.0,1.0,,5.0,1.0,5.0,,,,,,,,,1.0,,,2.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
14,1059840,2019-11-30 15:00:00,"Tottenham Hotspur Stadium, London",59626.0,Home,Tottenham Hotspur,Bournemouth,3,2,W,1,0,0,0,1.0,3.0,61.0,1.0,,4.0,1.0,,28.0,29.0,3.0,4.0,11.0,4.0,,1.0,173.0,3.0,17.0,3.0,,12.0,5.0,147.0,135.0,78.0,,14.0,1.0,14.0,2.0,1.0,3.0,,3.0,15.0,13.0,,29.0,3.0,3.0,32.0,224.0,,,0.0,151.0,10.0,,4.0,3.0,2.0,39.0,73.0,5.0,67.0,2.0,12.0,13.0,3.0,,4.0,2.0,135.0,4.0,12.0,128.0,714.0,,9.0,9.0,32.0,,15.0,399.0,29.0,1.0,9.0,16.0,3.0,0.0,5.0,7.0,9.0,487.0,64.0,95715,6.0,194.0,1.0,8.0,,216.0,4.0,3.0,13.0,10.0,44.0,,3.0,1.0,2.0,,3.0,10.0,8.0,2.0,1.0,62.0,415.0,12.0,14.0,,21.0,1.0,78.0,,0.0,,,3.0,2.0,2.0,0.0,2.0,3.0,,52.6,5.0,,6.0,1.0,2.0,2.0,43.0,4.0,515.0,15.0,,6.0,14.0,7.0,28.0,1.0,5.0,314.0,10.0,3.0,30.0,105.0,19.0,,16.0,19.0,1.0,13.0,3.0,19.0,,10.0,4.0,,2.0,3.0,,,,1.0,8.0,1.0,2.0,2.0,,2.0,,2.0,,3.0,,,,1.0,3.0,,,,,3.0,,,,,,3.0,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
15,1059845,2019-12-04 19:30:00,"Old Trafford, Manchester",73252.0,Away,Tottenham Hotspur,Manchester United,1,2,L,1,1,0,0,,1.0,69.0,1.0,,3.0,1.0,,16.0,19.0,3.0,1.0,5.0,5.0,,4.0,166.0,3.0,22.0,1.0,1.0,5.0,5.0,122.0,169.0,65.0,1.0,8.0,1.0,11.0,3.0,1.0,,1.0,,24.0,15.0,1.0,19.0,3.0,2.0,40.0,193.0,,,0.0,118.0,9.0,,4.0,1.0,,66.0,71.0,5.0,69.0,,21.0,19.0,3.0,1.0,7.0,1.0,169.0,,7.0,140.0,712.0,,5.0,6.0,17.0,,14.0,378.0,30.0,,2.0,5.0,,1.0,2.0,,28.0,476.0,50.0,95715,2.0,203.0,,14.0,,229.0,4.0,1.0,19.0,6.0,53.0,1.0,2.0,1.0,2.0,,1.0,16.0,5.0,3.0,1.0,61.0,393.0,9.0,13.0,,18.0,,90.0,3.0,0.0,,2.0,1.0,2.0,2.0,0.0,3.0,,,53.4,24.0,,4.0,,2.0,2.0,45.0,3.0,497.0,14.0,1.0,12.0,11.0,1.0,26.0,,,292.0,7.0,2.0,16.0,80.0,30.0,,5.0,18.0,2.0,7.0,3.0,30.0,1.0,7.0,3.0,,,1.0,,,,,4.0,1.0,,1.0,,1.0,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
16,1059859,2019-12-07 15:00:00,"Tottenham Hotspur Stadium, London",58401.0,Home,Tottenham Hotspur,Burnley,5,0,W,3,0,0,0,1.0,3.0,66.0,1.0,3.0,,1.0,,26.0,23.0,4.0,2.0,8.0,1.0,,1.0,174.0,2.0,16.0,5.0,2.0,12.0,7.0,112.0,146.0,65.0,,13.0,2.0,27.0,1.0,,5.0,1.0,,7.0,13.0,1.0,23.0,1.0,6.0,29.0,112.0,,1.0,0.0,91.0,12.0,,,3.0,,38.0,36.0,10.0,72.0,1.0,6.0,10.0,5.0,,,1.0,146.0,4.0,5.0,118.0,661.0,,6.0,8.0,20.0,,15.0,362.0,28.0,,9.0,10.0,5.0,1.0,1.0,2.0,14.0,455.0,41.0,95715,4.0,258.0,1.0,3.0,,290.0,6.0,5.0,10.0,7.0,64.0,,5.0,1.0,2.0,,5.0,14.0,2.0,1.0,1.0,79.0,368.0,7.0,11.0,1.0,31.0,,79.0,1.0,0.0,,1.0,4.0,,1.0,0.0,1.0,1.0,1.0,49.0,12.0,1.0,5.0,3.0,2.0,3.0,27.0,1.0,476.0,15.0,,8.0,14.0,3.0,17.0,1.0,1.0,193.0,10.0,6.0,25.0,62.0,25.0,2.0,10.0,19.0,,12.0,3.0,23.0,,6.0,1.0,,,2.0,,1.0,,1.0,1.0,,,,,,,,1.0,3.0,,,1.0,,2.0,1.0,1.0,,,3.0,,3.0,1.0,1.0,,2.0,,,,2.0,1.0,,2.0,2.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,
17,1059871,2019-12-15 14:00:00,"Molineux Stadium, Wolverhampton",31674.0,Away,Tottenham Hotspur,Wolverhampton Wanderers,2,1,W,1,0,0,0,1.0,,72.0,1.0,,1.0,1.0,1.0,22.0,40.0,1.0,1.0,8.0,4.0,,1.0,158.0,2.0,18.0,2.0,2.0,9.0,5.0,92.0,156.0,72.0,,9.0,,17.0,3.0,1.0,1.0,1.0,,10.0,10.0,,40.0,1.0,3.0,32.0,134.0,1.0,,0.0,41.0,10.0,,3.0,1.0,,40.0,37.0,6.0,56.0,1.0,9.0,10.0,1.0,,,1.0,156.0,1.0,10.0,69.0,592.0,,7.0,8.0,10.0,1.0,11.0,259.0,14.0,,7.0,22.0,2.0,4.0,10.0,3.0,17.0,350.0,25.0,95715,4.0,141.0,1.0,3.0,,173.0,8.0,1.0,10.0,7.0,65.0,,2.0,1.0,3.0,,1.0,18.0,9.0,2.0,,64.0,273.0,12.0,20.0,,32.0,1.0,40.0,,0.0,,3.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,42.2,9.0,,18.0,2.0,3.0,1.0,16.0,2.0,375.0,11.0,,12.0,15.0,3.0,14.0,1.0,1.0,212.0,6.0,3.0,24.0,20.0,33.0,,22.0,18.0,,8.0,3.0,24.0,,6.0,2.0,1.0,1.0,2.0,,,1.0,,11.0,,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,2.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,
18,1059879,2019-12-22 16:30:00,"Tottenham Hotspur Stadium, London",61104.0,Home,Tottenham Hotspur,Chelsea,0,2,L,0,2,1,0,1.0,,50.0,,,1.0,,,23.0,20.0,1.0,3.0,3.0,1.0,,,158.0,2.0,12.0,,3.0,4.0,1.0,119.0,158.0,59.0,1.0,5.0,2.0,17.0,1.0,,,,,16.0,13.0,,20.0,3.0,4.0,37.0,155.0,,,0.0,100.0,9.0,,1.0,,,40.0,64.0,2.0,66.0,,13.0,16.0,2.0,1.0,2.0,,158.0,,8.0,112.0,651.0,,4.0,4.0,14.0,,12.0,339.0,16.0,2.0,1.0,10.0,,4.0,3.0,2.0,27.0,432.0,49.0,95715,2.0,203.0,,10.0,,230.0,7.0,,16.0,7.0,55.0,,,,6.0,,,22.0,5.0,4.0,,55.0,356.0,11.0,14.0,,15.0,,75.0,1.0,0.0,,,,2.0,,1.0,2.0,,,44.5,22.0,,7.0,,6.0,2.0,29.0,3.0,455.0,12.0,,13.0,18.0,2.0,23.0,,2.0,241.0,2.0,4.0,17.0,68.0,19.0,,10.0,19.0,2.0,4.0,3.0,15.0,,4.0,3.0,,1.0,3.0,,,,,5.0,1.0,1.0,4.0,,4.0,,,2.0,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,
19,1059890,2019-12-26 12:30:00,"Tottenham Hotspur Stadium, London",56308.0,Home,Tottenham Hotspur,Brighton and Hove Albion,2,1,W,0,1,0,0,3.0,,65.0,1.0,,3.0,1.0,,15.0,19.0,4.0,5.0,7.0,4.0,,,172.0,4.0,11.0,2.0,3.0,7.0,5.0,133.0,165.0,48.0,1.0,11.0,3.0,22.0,3.0,1.0,1.0,1.0,,16.0,15.0,,19.0,5.0,4.0,33.0,202.0,,,0.0,148.0,10.0,3.0,3.0,,,77.0,45.0,5.0,70.0,1.0,11.0,25.0,4.0,1.0,2.0,1.0,165.0,1.0,3.0,119.0,692.0,,5.0,3.0,24.0,,12.0,372.0,27.0,1.0,,9.0,1.0,4.0,1.0,2.0,21.0,473.0,51.0,95715,5.0,192.0,1.0,8.0,,221.0,6.0,2.0,25.0,9.0,71.0,,1.0,5.0,3.0,,2.0,15.0,8.0,6.0,,46.0,390.0,9.0,17.0,1.0,13.0,,56.0,,0.0,,1.0,2.0,1.0,,0.0,3.0,1.0,,53.8,19.0,,2.0,1.0,3.0,4.0,29.0,9.0,494.0,12.0,,11.0,12.0,2.0,33.0,1.0,1.0,289.0,6.0,4.0,9.0,102.0,33.0,2.0,9.0,19.0,1.0,9.0,3.0,23.0,,10.0,9.0,,,1.0,,,,,2.0,1.0,,1.0,,1.0,2.0,,1.0,,5.0,,4.0,,1.0,,,,,1.0,,1.0,,,,1.0,2.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
20,1059898,2019-12-28 17:30:00,"Carrow Road, Norwich",27072.0,Away,Tottenham Hotspur,Norwich City,2,2,D,0,1,0,0,2.0,1.0,70.0,,,,2.0,,21.0,11.0,10.0,4.0,5.0,1.0,,3.0,188.0,,14.0,2.0,2.0,13.0,7.0,143.0,175.0,66.0,1.0,15.0,5.0,18.0,1.0,,,2.0,,21.0,12.0,4.0,11.0,4.0,6.0,37.0,289.0,,1.0,0.0,193.0,10.0,1.0,1.0,1.0,2.0,104.0,46.0,12.0,81.0,,17.0,23.0,10.0,1.0,6.0,,175.0,1.0,3.0,142.0,768.0,,13.0,4.0,26.0,,9.0,431.0,25.0,,3.0,9.0,,3.0,,1.0,22.0,530.0,75.0,95715,5.0,161.0,1.0,11.0,,188.0,5.0,2.0,23.0,4.0,56.0,,2.0,3.0,6.0,,,19.0,3.0,2.0,1.0,56.0,450.0,11.0,8.0,,19.0,,74.0,,0.0,,1.0,1.0,2.0,,0.0,,,,58.9,20.0,,5.0,,6.0,7.0,37.0,6.0,554.0,9.0,,11.0,18.0,1.0,31.0,,1.0,387.0,11.0,5.0,19.0,153.0,33.0,1.0,9.0,22.0,1.0,13.0,3.0,25.0,1.0,9.0,6.0,,,,,,,,4.0,1.0,,2.0,,2.0,,,1.0,2.0,,,4.0,,2.0,,,,1.0,2.0,,,,,1.0,2.0,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,
21,1059909,2020-01-01 15:00:00,"St. Mary's Stadium, Southampton",30976.0,Away,Tottenham Hotspur,Southampton,0,1,L,0,1,0,0,,,72.0,,,,2.0,,21.0,24.0,5.0,3.0,6.0,2.0,,3.0,198.0,3.0,17.0,,3.0,6.0,5.0,108.0,200.0,80.0,1.0,11.0,2.0,21.0,3.0,,,3.0,1.0,24.0,15.0,2.0,24.0,8.0,1.0,53.0,171.0,,,0.0,135.0,8.0,,1.0,,1.0,62.0,56.0,5.0,62.0,,16.0,14.0,5.0,1.0,6.0,1.0,200.0,1.0,8.0,131.0,741.0,,4.0,8.0,21.0,2.0,8.0,345.0,32.0,,5.0,13.0,,4.0,5.0,1.0,31.0,469.0,62.0,95715,5.0,201.0,1.0,9.0,,239.0,6.0,,14.0,5.0,60.0,,6.0,3.0,1.0,,,18.0,4.0,4.0,1.0,65.0,369.0,20.0,8.0,2.0,28.0,1.0,82.0,,0.0,,2.0,,1.0,2.0,0.0,3.0,,2.0,59.1,28.0,,8.0,,1.0,4.0,39.0,9.0,499.0,8.0,,11.0,19.0,2.0,37.0,,1.0,284.0,6.0,1.0,20.0,79.0,28.0,,13.0,23.0,1.0,7.0,2.0,29.0,,6.0,9.0,,,2.0,,,,,6.0,,,1.0,,1.0,,,2.0,2.0,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,
22,1059920,2020-01-11 17:30:00,"Tottenham Hotspur Stadium, London",61023.0,Home,Tottenham Hotspur,Liverpool,0,1,L,0,1,0,0,3.0,,69.0,,,,2.0,,11.0,38.0,5.0,4.0,9.0,5.0,,1.0,136.0,5.0,15.0,,1.0,11.0,4.0,101.0,129.0,45.0,,14.0,,15.0,1.0,2.0,,2.0,2.0,10.0,10.0,3.0,38.0,4.0,1.0,35.0,121.0,,,0.0,72.0,4.0,,3.0,,,38.0,42.0,6.0,47.0,3.0,6.0,12.0,5.0,,1.0,2.0,129.0,1.0,12.0,97.0,591.0,,9.0,2.0,17.0,,13.0,285.0,33.0,1.0,,19.0,,0.0,2.0,5.0,13.0,360.0,39.0,95715,5.0,182.0,1.0,4.0,,208.0,2.0,,12.0,7.0,59.0,,5.0,2.0,11.0,,,13.0,1.0,3.0,2.0,48.0,298.0,8.0,20.0,2.0,13.0,2.0,58.0,2.0,0.0,,6.0,,1.0,1.0,0.0,3.0,,2.0,33.2,8.0,2.0,1.0,,11.0,2.0,29.0,4.0,381.0,13.0,,11.0,17.0,8.0,17.0,2.0,6.0,183.0,7.0,1.0,9.0,43.0,21.0,,19.0,13.0,1.0,12.0,2.0,24.0,,10.0,4.0,,1.0,2.0,,,2.0,,3.0,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,
23,1059930,2020-01-18 12:30:00,"Vicarage Road, Watford",21366.0,Away,Tottenham Hotspur,Watford,0,0,D,0,0,0,0,1.0,,74.0,,,,3.0,,19.0,41.0,5.0,7.0,11.0,2.0,,4.0,174.0,4.0,16.0,,,13.0,5.0,135.0,154.0,61.0,,16.0,2.0,34.0,4.0,2.0,,3.0,,13.0,9.0,1.0,41.0,3.0,6.0,39.0,228.0,,,0.0,118.0,13.0,,1.0,,2.0,38.0,76.0,8.0,66.0,1.0,10.0,15.0,5.0,,2.0,2.0,154.0,2.0,11.0,129.0,741.0,,13.0,3.0,28.0,,8.0,392.0,36.0,1.0,2.0,20.0,,3.0,4.0,5.0,17.0,476.0,49.0,95715,1.0,190.0,2.0,8.0,1.0,220.0,5.0,,15.0,12.0,82.0,1.0,1.0,3.0,1.0,,,22.0,4.0,6.0,4.0,51.0,414.0,12.0,11.0,,16.0,,69.0,,0.0,,2.0,,,3.0,0.0,4.0,,1.0,58.5,16.0,1.0,4.0,5.0,1.0,5.0,38.0,3.0,504.0,8.0,,15.0,20.0,6.0,23.0,,4.0,297.0,8.0,6.0,16.0,89.0,33.0,,20.0,17.0,,16.0,2.0,26.0,,10.0,3.0,,,1.0,,,2.0,,3.0,,,,,,,,1.0,1.0,,,4.0,1.0,2.0,,,,,2.0,,,,,,2.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,
24,1059941,2020-01-22 19:30:00,"Tottenham Hotspur Stadium, London",58182.0,Home,Tottenham Hotspur,Norwich City,2,1,W,1,0,0,0,1.0,2.0,61.0,1.0,,1.0,4.0,,30.0,14.0,4.0,5.0,10.0,1.0,1.0,,167.0,3.0,12.0,2.0,3.0,12.0,3.0,118.0,156.0,51.0,1.0,14.0,2.0,15.0,1.0,1.0,1.0,,2.0,17.0,6.0,,14.0,6.0,4.0,37.0,229.0,,,0.0,157.0,12.0,,1.0,2.0,,90.0,64.0,7.0,73.0,,11.0,24.0,4.0,1.0,5.0,2.0,156.0,2.0,8.0,121.0,680.0,,10.0,8.0,26.0,,12.0,367.0,16.0,1.0,3.0,4.0,1.0,0.0,4.0,4.0,25.0,458.0,50.0,95715,4.0,158.0,1.0,6.0,,179.0,9.0,,24.0,11.0,64.0,,3.0,1.0,4.0,,2.0,19.0,5.0,8.0,2.0,56.0,384.0,6.0,13.0,,14.0,,62.0,,0.0,,,2.0,1.0,2.0,0.0,3.0,1.0,1.0,50.4,24.0,,10.0,2.0,4.0,6.0,37.0,7.0,479.0,12.0,,14.0,19.0,5.0,31.0,,3.0,317.0,7.0,3.0,22.0,119.0,29.0,,4.0,11.0,1.0,13.0,3.0,22.0,,10.0,7.0,,1.0,1.0,,,,,3.0,,1.0,1.0,1.0,1.0,,,,2.0,,1.0,2.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
25,1059949,2020-02-02 16:30:00,"Tottenham Hotspur Stadium, London",61022.0,Home,Tottenham Hotspur,Manchester City,2,0,W,0,0,0,1,,1.0,57.0,1.0,1.0,3.0,,1.0,16.0,29.0,,,3.0,6.0,,1.0,135.0,,9.0,2.0,2.0,3.0,3.0,77.0,124.0,51.0,,3.0,,13.0,1.0,,1.0,,,6.0,13.0,,29.0,1.0,2.0,29.0,113.0,,,0.0,81.0,8.0,,3.0,2.0,,32.0,50.0,3.0,60.0,,5.0,13.0,,,2.0,,124.0,1.0,14.0,75.0,531.0,,1.0,2.0,11.0,,12.0,242.0,28.0,,2.0,17.0,2.0,2.0,8.0,,11.0,323.0,40.0,95715,2.0,148.0,,2.0,,170.0,5.0,2.0,13.0,7.0,44.0,,1.0,2.0,4.0,,1.0,13.0,5.0,3.0,,55.0,261.0,13.0,10.0,,26.0,1.0,65.0,,0.0,,3.0,2.0,,,0.0,,2.0,,33.1,10.0,,1.0,1.0,4.0,,28.0,2.0,347.0,12.0,,9.0,13.0,,16.0,,,183.0,3.0,2.0,9.0,53.0,19.0,,17.0,21.0,,2.0,3.0,15.0,,7.0,2.0,,1.0,2.0,,,1.0,1.0,6.0,,1.0,4.0,,4.0,,,,,,,1.0,2.0,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,
26,1059953,2020-02-16 14:00:00,"Villa Park, Birmingham",41874.0,Away,Tottenham Hotspur,Aston Villa,3,2,W,2,1,0,0,3.0,2.0,66.0,,1.0,1.0,7.0,,18.0,28.0,4.0,5.0,19.0,3.0,,4.0,155.0,4.0,13.0,3.0,3.0,16.0,10.0,109.0,143.0,68.0,,23.0,,16.0,6.0,1.0,1.0,3.0,3.0,15.0,11.0,1.0,28.0,7.0,5.0,35.0,167.0,1.0,,0.0,104.0,10.0,3.0,1.0,,3.0,16.0,61.0,10.0,42.0,1.0,8.0,25.0,4.0,,3.0,3.0,143.0,4.0,13.0,80.0,622.0,,14.0,4.0,33.0,,11.0,277.0,31.0,1.0,2.0,8.0,1.0,0.0,6.0,6.0,19.0,367.0,52.0,95715,14.0,129.0,6.0,4.0,2.0,159.0,5.0,3.0,25.0,6.0,54.0,,7.0,1.0,4.0,,1.0,14.0,6.0,5.0,,49.0,292.0,12.0,16.0,1.0,19.0,3.0,62.0,1.0,0.0,,2.0,3.0,2.0,2.0,0.0,2.0,,2.0,45.7,15.0,2.0,4.0,1.0,4.0,7.0,32.0,7.0,386.0,11.0,,7.0,19.0,6.0,28.0,2.0,3.0,242.0,16.0,5.0,19.0,67.0,23.0,2.0,8.0,24.0,2.0,16.0,3.0,20.0,,13.0,7.0,,,2.0,,,,2.0,12.0,,,4.0,,4.0,2.0,,2.0,2.0,2.0,,5.0,2.0,3.0,,,,1.0,3.0,,1.0,,,,3.0,,,1.0,,,,,,,,3.0,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,
