gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,attFreekickTarget,lostCorners,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attIboxBlocked,attCmissRight,attMissHighRight,attOboxGoal,divingSave,bigChanceCreated,errorLeadToShot,bigChanceMissed,sixYardBlock,totalPullBack,defenderGoals,accurateGoalKicks,attCmissLeft,overrun,savedIbox,attBxLeft,attSvHighCentre,clearanceOffLine,attFreekickMiss,goalAssistOpenplay,midfielderGoals,contentiousDecision,attMissHighLeft,goalAssist,attCmissHighRight,attGoalLowLeft,accuratePullBack,goalFastbreak,attSvHighLeft,attHdTarget,accurateFreekickCross,attSetpiece,attRfGoal,attAssistSetplay,goalAssistIntentional,shieldBallOop,goalAssistSetplay,cleanSheet,goalsConcededObox,attHdGoal,errorLeadToGoal,attOneOnOne,attSvHighRight,goalAssistDeadball,attCmissHigh,attemptsIbox,saves,attGoalLowCentre,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,ptsDroppedWinningPos,attCmissHighLeft,attOboxPost,attLgCentre,ownGoals,attFreekickGoal,attIboxOwnGoal,attGoalHighCentre,attGoalHighLeft,attGoalHighRight,attObxLeft,attCorner,attObxRight,attPostRight,attFreekickPost,attObxdRight
11,442103,2012-11-11 13:30:00,"Etihad Stadium, Manchester",47208,Away,Tottenham Hotspur,Manchester City,1,2,L,1,0,0,0,1.0,1.0,,50.0,1.0,,22.0,38.0,3.0,3.0,,,116.0,4.0,1.0,1.0,3.0,6.0,2.0,64.0,161.0,53.0,,7.0,,21.0,1.0,1.0,,,1.0,,1.0,13.0,,12.0,,25.0,2.0,7.0,10.0,104.0,0.0,99.0,7.0,2.0,,5.0,1.0,38.0,59.0,2.0,40.0,3.0,2.0,11.0,,3.0,3.0,148.0,11.0,,57.0,,482.0,4.0,11.0,,26.0,16.0,13.0,18.0,1.0,2.0,1.0,4.0,24.0,67.0,,93464,3.0,84.0,3.0,,106.0,17.0,50.0,,,10.0,,6.0,3.0,1.0,53.0,184.0,16.0,6.0,37.0,78.0,1.0,,,0.0,,8.0,1.0,,2.0,3.0,0.0,3.0,2.0,38.1,16.0,1.0,1.0,11.0,1.0,35.0,2.0,,1.0,277.0,,20.0,14.0,3.0,4.0,18.0,1.0,1.0,184.0,1.0,7.0,17.0,47.0,17.0,,4.0,10.0,19.0,2.0,4.0,3.0,4.0,4.0,2.0,1.0,,,,3.0,,2.0,,,,1.0,4.0,1.0,1.0,3.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,2.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,442109,2012-11-17 12:45:00,"Emirates Stadium, London",60111,Away,Tottenham Hotspur,Arsenal,2,5,L,1,3,1,0,1.0,,1.0,45.0,,,23.0,46.0,3.0,2.0,1.0,1.0,124.0,1.0,7.0,2.0,2.0,5.0,3.0,74.0,117.0,44.0,,7.0,2.0,18.0,1.0,,1.0,,4.0,,1.0,15.0,,13.0,,23.0,6.0,10.0,17.0,101.0,0.0,71.0,13.0,,,3.0,2.0,40.0,49.0,3.0,46.0,3.0,1.0,9.0,,,,117.0,11.0,,59.0,,501.0,4.0,3.0,,17.0,19.0,6.0,25.0,4.0,2.0,3.0,2.0,21.0,58.0,,93464,,135.0,6.0,,150.0,5.0,55.0,,2.0,6.0,2.0,9.0,2.0,,57.0,235.0,12.0,10.0,32.0,71.0,,1.0,,0.0,,6.0,1.0,,5.0,,1.0,1.0,,34.2,13.0,,,6.0,2.0,32.0,6.0,,2.0,303.0,,14.0,10.0,8.0,2.0,18.0,,2.0,168.0,5.0,9.0,7.0,37.0,19.0,1.0,3.0,14.0,18.0,5.0,6.0,3.0,12.0,3.0,6.0,,,,1.0,2.0,,,,,,,2.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,4.0,2.0,1.0,3.0,8.0,224.0,287.0,3.0,,,,,,,,,,,,,,,
13,442127,2012-11-25 16:00:00,"White Hart Lane, London",36043,Home,Tottenham Hotspur,West Ham United,3,1,W,1,0,0,0,,2.0,2.0,55.0,1.0,1.0,43.0,42.0,17.0,12.0,1.0,3.0,139.0,4.0,8.0,3.0,3.0,23.0,9.0,127.0,139.0,39.0,2.0,28.0,2.0,32.0,3.0,,3.0,2.0,1.0,3.0,1.0,19.0,,6.0,3.0,22.0,3.0,9.0,11.0,218.0,0.0,120.0,9.0,1.0,2.0,3.0,3.0,71.0,49.0,12.0,67.0,2.0,4.0,16.0,2.0,4.0,9.0,119.0,7.0,,120.0,,670.0,17.0,6.0,2.0,10.0,19.0,6.0,22.0,1.0,1.0,4.0,11.0,27.0,69.0,3.0,93464,7.0,174.0,9.0,,184.0,10.0,61.0,3.0,1.0,13.0,3.0,13.0,5.0,1.0,64.0,388.0,10.0,3.0,24.0,82.0,,1.0,1.0,0.0,,2.0,2.0,2.0,1.0,,0.0,3.0,2.0,59.4,25.0,1.0,,13.0,6.0,54.0,4.0,,3.0,453.0,,9.0,11.0,6.0,13.0,15.0,1.0,2.0,288.0,14.0,9.0,11.0,85.0,19.0,2.0,1.0,10.0,10.0,1.0,23.0,3.0,14.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,,,5.0,,1.0,2.0,1.0,,,1.0,3.0,1.0,,3.0,3.0,,1.0,,,,1.0,,1.0,2.0,3.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,
14,442135,2012-11-28 19:45:00,"White Hart Lane, London",36162,Home,Tottenham Hotspur,Liverpool,2,1,W,2,0,0,0,1.0,3.0,1.0,48.0,,1.0,22.0,55.0,9.0,9.0,1.0,2.0,97.0,2.0,8.0,2.0,5.0,7.0,7.0,80.0,134.0,74.0,4.0,16.0,2.0,14.0,2.0,,,,2.0,3.0,2.0,5.0,,27.0,3.0,32.0,1.0,8.0,6.0,128.0,0.0,71.0,8.0,,,1.0,1.0,46.0,52.0,2.0,48.0,4.0,1.0,4.0,4.0,1.0,5.0,111.0,12.0,,82.0,,538.0,6.0,6.0,,20.0,21.0,8.0,22.0,3.0,1.0,9.0,5.0,23.0,41.0,,93464,,114.0,2.0,,129.0,6.0,52.0,,,4.0,1.0,7.0,6.0,1.0,46.0,240.0,17.0,14.0,33.0,71.0,,1.0,1.0,0.0,1.0,12.0,1.0,,1.0,1.0,0.0,1.0,,35.0,10.0,,3.0,4.0,2.0,33.0,1.0,,1.0,307.0,,17.0,10.0,6.0,7.0,8.0,1.0,2.0,183.0,7.0,8.0,11.0,43.0,17.0,,2.0,15.0,37.0,1.0,11.0,2.0,16.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,3.0,1.0,,4.0,3.0,1.0,2.0,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,
15,442140,2012-12-01 15:00:00,"Craven Cottage, London",25426,Away,Tottenham Hotspur,Fulham,3,0,W,0,0,0,0,,1.0,2.0,72.0,1.0,,34.0,46.0,4.0,5.0,1.0,2.0,181.0,2.0,5.0,3.0,1.0,9.0,6.0,145.0,157.0,51.0,1.0,10.0,,24.0,2.0,1.0,,,2.0,1.0,2.0,14.0,,20.0,1.0,28.0,1.0,13.0,4.0,175.0,0.0,86.0,10.0,3.0,2.0,1.0,1.0,68.0,60.0,6.0,98.0,3.0,,13.0,1.0,3.0,2.0,139.0,5.0,,129.0,,755.0,6.0,9.0,,15.0,33.0,5.0,24.0,2.0,2.0,,3.0,24.0,54.0,2.0,93464,3.0,290.0,9.0,,309.0,7.0,57.0,3.0,2.0,7.0,3.0,9.0,3.0,1.0,70.0,463.0,9.0,4.0,39.0,97.0,1.0,,,0.0,,2.0,2.0,,,2.0,0.0,2.0,,54.2,22.0,,1.0,7.0,,49.0,1.0,,1.0,553.0,,13.0,13.0,3.0,4.0,12.0,,2.0,258.0,5.0,12.0,15.0,55.0,24.0,2.0,1.0,16.0,22.0,,9.0,3.0,12.0,1.0,1.0,,,,1.0,,2.0,1.0,,,,,4.0,,1.0,2.0,3.0,,,1.0,3.0,1.0,,1.0,3.0,,,,,,,,,2.0,,2.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
16,442151,2012-12-09 15:00:00,"Goodison Park, Liverpool",36494,Away,Tottenham Hotspur,Everton,1,2,L,0,0,0,0,,2.0,,47.0,1.0,1.0,31.0,48.0,8.0,3.0,,1.0,138.0,2.0,7.0,1.0,4.0,9.0,5.0,101.0,162.0,52.0,2.0,12.0,3.0,17.0,1.0,,1.0,1.0,2.0,2.0,,19.0,,12.0,3.0,30.0,5.0,16.0,9.0,198.0,0.0,127.0,11.0,,,2.0,1.0,76.0,57.0,8.0,73.0,3.0,,14.0,2.0,5.0,,144.0,13.0,,91.0,,626.0,6.0,9.0,1.0,17.0,25.0,11.0,23.0,2.0,2.0,7.0,1.0,27.0,69.0,1.0,7958,2.0,128.0,7.0,,146.0,12.0,53.0,2.0,,4.0,1.0,8.0,7.0,,55.0,324.0,10.0,3.0,34.0,84.0,,,2.0,0.0,2.0,4.0,,1.0,2.0,3.0,0.0,1.0,1.0,50.4,19.0,,,4.0,6.0,44.0,5.0,,1.0,403.0,,9.0,14.0,5.0,1.0,22.0,1.0,,276.0,8.0,14.0,13.0,90.0,13.0,1.0,4.0,16.0,22.0,2.0,7.0,3.0,15.0,4.0,5.0,3.0,,,1.0,1.0,,,,,1.0,,2.0,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
17,442167,2012-12-16 13:30:00,"White Hart Lane, London",35783,Home,Tottenham Hotspur,Swansea City,1,0,W,0,0,0,0,1.0,3.0,,59.0,1.0,,28.0,33.0,16.0,8.0,,3.0,150.0,6.0,4.0,1.0,4.0,25.0,8.0,133.0,127.0,44.0,1.0,29.0,7.0,12.0,3.0,4.0,1.0,,3.0,5.0,2.0,21.0,,17.0,4.0,15.0,7.0,13.0,5.0,294.0,0.0,158.0,13.0,4.0,2.0,2.0,,85.0,63.0,16.0,62.0,,5.0,14.0,1.0,3.0,5.0,109.0,1.0,,131.0,,691.0,19.0,4.0,,39.0,20.0,5.0,19.0,3.0,3.0,,9.0,13.0,64.0,1.0,7958,10.0,135.0,9.0,,145.0,4.0,46.0,1.0,1.0,5.0,,18.0,2.0,1.0,39.0,423.0,8.0,3.0,17.0,54.0,4.0,,2.0,0.0,,3.0,1.0,,,2.0,0.0,4.0,4.0,49.9,13.0,3.0,1.0,5.0,12.0,40.0,9.0,,,476.0,,25.0,13.0,5.0,9.0,16.0,2.0,4.0,352.0,16.0,12.0,13.0,129.0,32.0,,,9.0,19.0,,20.0,3.0,10.0,,9.0,5.0,3.0,,,,3.0,1.0,3.0,,,1.0,3.0,1.0,2.0,,2.0,,,,,,,1.0,,,,,,,1.0,1.0,4.0,1.0,6.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
18,442175,2012-12-22 15:00:00,"White Hart Lane, London",35702,Home,Tottenham Hotspur,Stoke City,0,0,D,0,0,0,0,,2.0,,54.0,,,43.0,44.0,16.0,9.0,,2.0,126.0,7.0,7.0,,3.0,19.0,5.0,116.0,153.0,58.0,1.0,22.0,8.0,26.0,1.0,1.0,2.0,,2.0,1.0,1.0,39.0,,17.0,4.0,26.0,11.0,14.0,10.0,222.0,0.0,139.0,8.0,1.0,1.0,4.0,1.0,69.0,62.0,11.0,62.0,2.0,1.0,28.0,1.0,9.0,4.0,135.0,3.0,,129.0,,682.0,19.0,8.0,,14.0,22.0,8.0,25.0,2.0,2.0,1.0,8.0,30.0,66.0,2.0,7958,2.0,158.0,15.0,,168.0,8.0,65.0,4.0,1.0,6.0,,8.0,1.0,4.0,59.0,373.0,11.0,6.0,25.0,54.0,1.0,2.0,1.0,0.0,,4.0,,,,2.0,0.0,3.0,3.0,63.2,27.0,2.0,4.0,6.0,9.0,32.0,11.0,,1.0,433.0,,12.0,12.0,5.0,8.0,23.0,4.0,4.0,304.0,10.0,13.0,16.0,104.0,21.0,,4.0,17.0,24.0,,20.0,2.0,20.0,4.0,11.0,1.0,1.0,,,,2.0,1.0,2.0,,,,6.0,1.0,4.0,1.0,,,,,,,,2.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,
19,442180,2012-12-26 17:30:00,"Villa Park, Birmingham",36863,Away,Tottenham Hotspur,Aston Villa,4,0,W,0,0,0,0,,2.0,4.0,59.0,1.0,1.0,24.0,18.0,8.0,8.0,3.0,1.0,160.0,9.0,22.0,4.0,3.0,17.0,9.0,112.0,154.0,56.0,2.0,21.0,5.0,19.0,3.0,1.0,1.0,,,1.0,1.0,32.0,,9.0,2.0,12.0,15.0,20.0,12.0,212.0,0.0,143.0,7.0,1.0,2.0,2.0,1.0,76.0,61.0,13.0,80.0,1.0,,17.0,2.0,5.0,1.0,148.0,2.0,,134.0,,707.0,8.0,5.0,,15.0,20.0,3.0,4.0,,0.0,,4.0,35.0,55.0,4.0,7958,9.0,199.0,10.0,,213.0,6.0,56.0,5.0,1.0,9.0,4.0,8.0,2.0,3.0,46.0,402.0,11.0,13.0,20.0,81.0,1.0,,,0.0,,2.0,4.0,,,2.0,0.0,1.0,4.0,59.1,26.0,2.0,1.0,9.0,8.0,43.0,16.0,,2.0,486.0,,12.0,7.0,3.0,4.0,17.0,8.0,3.0,305.0,8.0,20.0,9.0,97.0,25.0,1.0,3.0,2.0,14.0,,13.0,3.0,32.0,3.0,16.0,3.0,,,,,6.0,,3.0,,1.0,,4.0,1.0,4.0,,1.0,2.0,,,3.0,3.0,,,3.0,,,1.0,1.0,,2.0,1.0,,1.0,6.0,3.0,1.0,,1.0,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,
20,442198,2012-12-29 12:45:00,"Stadium of Light, Sunderland",41168,Away,Tottenham Hotspur,Sunderland,2,1,W,0,1,0,0,,1.0,1.0,65.0,1.0,2.0,19.0,51.0,7.0,5.0,,5.0,147.0,5.0,10.0,2.0,1.0,13.0,8.0,119.0,178.0,57.0,,17.0,4.0,15.0,5.0,,1.0,1.0,,2.0,1.0,23.0,1.0,12.0,2.0,26.0,8.0,20.0,9.0,242.0,0.0,143.0,16.0,1.0,1.0,1.0,3.0,73.0,65.0,10.0,73.0,,,15.0,,3.0,2.0,153.0,6.0,,109.0,,685.0,13.0,4.0,1.0,12.0,23.0,2.0,36.0,,3.0,3.0,3.0,25.0,69.0,4.0,7958,6.0,132.0,11.0,,152.0,10.0,56.0,5.0,1.0,5.0,1.0,14.0,2.0,2.0,45.0,369.0,9.0,3.0,25.0,80.0,,4.0,2.0,0.0,,3.0,2.0,1.0,1.0,,0.0,3.0,2.0,55.3,17.0,1.0,2.0,5.0,5.0,33.0,8.0,,3.0,448.0,,10.0,18.0,3.0,4.0,12.0,2.0,1.0,319.0,10.0,19.0,20.0,109.0,29.0,,2.0,16.0,18.0,1.0,14.0,3.0,15.0,2.0,8.0,1.0,,,,1.0,4.0,,5.0,,,,4.0,1.0,4.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,3.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
21,442205,2013-01-01 15:00:00,"White Hart Lane, London",36180,Home,Tottenham Hotspur,Reading,3,1,W,1,1,0,0,,4.0,,53.0,1.0,,35.0,32.0,24.0,7.0,,4.0,181.0,6.0,7.0,3.0,2.0,30.0,11.0,169.0,139.0,43.0,,34.0,7.0,10.0,1.0,1.0,2.0,,,2.0,7.0,29.0,,12.0,7.0,20.0,9.0,14.0,10.0,354.0,0.0,212.0,10.0,1.0,1.0,1.0,,97.0,104.0,22.0,113.0,,,20.0,,4.0,9.0,127.0,5.0,,148.0,,814.0,26.0,2.0,,19.0,23.0,8.0,21.0,,0.0,2.0,8.0,19.0,69.0,1.0,7958,3.0,196.0,15.0,,206.0,6.0,37.0,2.0,2.0,4.0,2.0,11.0,2.0,2.0,52.0,544.0,11.0,1.0,25.0,72.0,1.0,4.0,,0.0,,3.0,2.0,,1.0,,0.0,4.0,3.0,68.0,17.0,1.0,2.0,4.0,12.0,49.0,12.0,,,611.0,,15.0,9.0,6.0,11.0,20.0,2.0,2.0,434.0,24.0,14.0,12.0,175.0,24.0,2.0,,13.0,13.0,1.0,29.0,3.0,14.0,,12.0,5.0,,1.0,1.0,1.0,2.0,,2.0,1.0,,1.0,3.0,5.0,3.0,2.0,2.0,,1.0,,2.0,,,1.0,3.0,,,,,,,,,1.0,1.0,2.0,2.0,1.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
22,442215,2013-01-12 12:45:00,"MATRADE Loftus Road, London",18018,Away,Tottenham Hotspur,Queens Park Rangers,0,0,D,0,0,0,0,1.0,2.0,,67.0,,,32.0,31.0,12.0,5.0,,4.0,180.0,3.0,8.0,,4.0,11.0,7.0,160.0,165.0,54.0,3.0,18.0,3.0,7.0,4.0,,,,1.0,2.0,2.0,12.0,,20.0,3.0,12.0,6.0,18.0,19.0,318.0,0.0,183.0,9.0,2.0,,1.0,1.0,100.0,68.0,7.0,85.0,,3.0,6.0,3.0,3.0,7.0,146.0,1.0,,160.0,,803.0,8.0,1.0,1.0,28.0,18.0,3.0,22.0,1.0,1.0,1.0,4.0,21.0,87.0,,7958,4.0,190.0,2.0,,204.0,6.0,56.0,2.0,1.0,7.0,,14.0,3.0,3.0,48.0,505.0,9.0,10.0,17.0,62.0,,2.0,,0.0,1.0,2.0,,,,,0.0,,2.0,61.9,14.0,1.0,5.0,8.0,3.0,42.0,6.0,,1.0,585.0,,23.0,20.0,10.0,8.0,22.0,3.0,1.0,393.0,11.0,17.0,11.0,136.0,35.0,,2.0,8.0,26.0,,12.0,3.0,19.0,2.0,6.0,,1.0,,,,,,1.0,,,,6.0,,3.0,,,,,2.0,,,,,,,,,,2.0,1.0,,,,3.0,,2.0,,1.0,,,,,1.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,
23,442225,2013-01-20 16:00:00,"White Hart Lane, London",35956,Home,Tottenham Hotspur,Manchester United,1,1,D,0,1,0,0,1.0,5.0,1.0,52.0,,,25.0,31.0,17.0,14.0,,2.0,134.0,8.0,11.0,1.0,3.0,15.0,8.0,91.0,174.0,58.0,,25.0,9.0,17.0,3.0,,2.0,,2.0,2.0,2.0,36.0,,12.0,4.0,16.0,9.0,7.0,16.0,187.0,0.0,123.0,8.0,,2.0,6.0,,65.0,52.0,12.0,46.0,4.0,2.0,27.0,,9.0,4.0,159.0,4.0,,113.0,,624.0,14.0,11.0,,28.0,21.0,4.0,19.0,2.0,2.0,1.0,3.0,24.0,64.0,3.0,7958,5.0,116.0,12.0,,131.0,13.0,47.0,4.0,1.0,6.0,1.0,12.0,1.0,1.0,48.0,295.0,14.0,7.0,31.0,81.0,,3.0,,0.0,,4.0,1.0,,1.0,2.0,0.0,5.0,1.0,51.0,19.0,1.0,2.0,6.0,11.0,41.0,9.0,,,384.0,,20.0,12.0,8.0,6.0,30.0,3.0,2.0,289.0,10.0,6.0,14.0,74.0,22.0,1.0,4.0,10.0,19.0,1.0,23.0,2.0,15.0,4.0,9.0,2.0,1.0,1.0,,,2.0,,1.0,,,,5.0,,,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,2.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,442232,2013-01-30 19:45:00,"Carrow Road, Norwich",26818,Away,Tottenham Hotspur,Norwich City,1,1,D,0,1,0,0,,1.0,,42.0,,,28.0,53.0,5.0,6.0,1.0,2.0,157.0,5.0,8.0,1.0,2.0,11.0,4.0,117.0,188.0,45.0,,13.0,3.0,12.0,1.0,1.0,,,3.0,1.0,,29.0,,12.0,2.0,20.0,5.0,16.0,26.0,198.0,0.0,132.0,15.0,2.0,1.0,5.0,1.0,53.0,59.0,8.0,61.0,,,24.0,,5.0,,155.0,2.0,,110.0,,678.0,8.0,5.0,,20.0,15.0,4.0,26.0,3.0,1.0,1.0,3.0,31.0,65.0,1.0,7958,5.0,168.0,14.0,,186.0,9.0,60.0,4.0,,8.0,1.0,6.0,7.0,1.0,53.0,361.0,15.0,5.0,23.0,74.0,1.0,1.0,2.0,0.0,,3.0,1.0,,1.0,1.0,0.0,3.0,1.0,58.4,26.0,1.0,1.0,8.0,6.0,34.0,6.0,,1.0,445.0,,12.0,19.0,15.0,3.0,19.0,2.0,3.0,288.0,5.0,16.0,8.0,92.0,16.0,,,8.0,14.0,1.0,10.0,2.0,17.0,,6.0,3.0,,,,1.0,1.0,,1.0,1.0,,,2.0,,1.0,,2.0,,,,1.0,1.0,,2.0,1.0,,1.0,,1.0,,,,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
25,442246,2013-02-03 13:30:00,"The Hawthorns, West Bromwich",24978,Away,Tottenham Hotspur,West Bromwich Albion,1,0,W,0,0,0,1,,5.0,,52.0,,1.0,37.0,29.0,11.0,14.0,1.0,1.0,157.0,5.0,15.0,1.0,1.0,18.0,7.0,172.0,137.0,51.0,1.0,21.0,4.0,23.0,4.0,,,,,2.0,3.0,35.0,,9.0,2.0,14.0,15.0,24.0,21.0,334.0,0.0,182.0,8.0,1.0,3.0,,,91.0,103.0,14.0,105.0,,1.0,20.0,1.0,6.0,4.0,122.0,3.0,,176.0,,830.0,16.0,1.0,,19.0,12.0,2.0,17.0,1.0,0.0,,4.0,21.0,73.0,1.0,7958,4.0,227.0,14.0,,234.0,3.0,54.0,5.0,2.0,10.0,1.0,11.0,2.0,2.0,55.0,556.0,9.0,3.0,19.0,78.0,,,2.0,0.0,,2.0,,,,1.0,0.0,4.0,2.0,69.7,18.0,2.0,,10.0,7.0,57.0,17.0,,1.0,610.0,,17.0,10.0,16.0,7.0,14.0,1.0,3.0,411.0,5.0,24.0,16.0,155.0,28.0,,2.0,7.0,11.0,,17.0,3.0,25.0,2.0,17.0,3.0,,,1.0,2.0,,,,1.0,,,1.0,2.0,,2.0,4.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
26,442258,2013-02-09 12:45:00,"White Hart Lane, London",36244,Home,Tottenham Hotspur,Newcastle United,2,1,W,1,1,0,0,1.0,2.0,1.0,64.0,1.0,1.0,31.0,56.0,7.0,11.0,2.0,1.0,135.0,4.0,10.0,2.0,1.0,12.0,5.0,112.0,174.0,69.0,1.0,18.0,1.0,16.0,,4.0,2.0,,2.0,1.0,3.0,21.0,,24.0,3.0,23.0,9.0,18.0,15.0,189.0,0.0,129.0,6.0,4.0,,2.0,,61.0,70.0,7.0,64.0,,3.0,12.0,1.0,1.0,2.0,141.0,3.0,,115.0,,673.0,10.0,4.0,,20.0,19.0,4.0,35.0,2.0,0.0,4.0,5.0,26.0,64.0,2.0,68815,4.0,153.0,9.0,,166.0,4.0,41.0,4.0,4.0,7.0,1.0,11.0,7.0,3.0,56.0,338.0,11.0,5.0,24.0,75.0,4.0,1.0,,0.0,,5.0,1.0,,1.0,1.0,0.0,2.0,1.0,54.3,21.0,1.0,3.0,7.0,4.0,38.0,11.0,,,426.0,,14.0,6.0,9.0,9.0,14.0,2.0,7.0,281.0,5.0,17.0,20.0,82.0,32.0,,2.0,12.0,28.0,1.0,15.0,3.0,19.0,2.0,11.0,3.0,2.0,,1.0,1.0,1.0,,2.0,,1.0,,3.0,3.0,,1.0,3.0,1.0,,,,2.0,1.0,,,,,1.0,,,,1.0,1.0,,2.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
