gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,attFreekickTotal,attOboxBlocked,shotFastbreak,totalFastbreak,attSvLowLeft,freekickCross,freekickTotal,contentiousDecision,attHdTarget,accurateLaunches,expectedGoalsFreekick,accurateFreekickCross,attSetpiece,totalOffside,attFastbreak,attSvLowRight,attCmissLeft,overrun,attCmissHighRight,attBxLeft,accurateKeeperSweeper,attSvHighLeft,goodHighClaim,interceptionsInBox,totalKeeperSweeper,foulThrowIn,attSvHighCentre,totalHighClaim,handBall,goalAssistSetplay,goalAssistDeadball,sixYardBlock,ptsGainedLosingPos,errorLeadToGoal,hitWoodwork,postScoringAtt,goalFastbreak,attIboxPost,attOboxTarget,attHdPost,attFreekickTarget,attPostHigh,attSvHighRight,ptsDroppedWinningPos,attOneOnOne,attCmissHighLeft,attLgCentre,penaltyConceded,clearanceOffLine,penaltyFaced,penGoalsConceded,secondYellow,attPostLeft,attOboxPost,attObxRight,penaltyWon,attObxdRight,attPostRight,attFreekickMiss,attObxdLeft,fastestPlayer
11,2562003,2025-11-08 12:30:00,"Tottenham Hotspur Stadium, London",61210.0,Home,Tottenham Hotspur,Manchester United,2,2,D,0.0,1.0,0,0,0.0,,1.0,55.0,0.0,1.0,,,1.9822,14.0,17.0,4.0,1.0,6.0,,0.0,2.0,167.0,0.0,5.0,12.0,2.0,1.0,6.0,1.0,,4.0,116.0,147.0,59.0,10.0,18.0,2.0,,1.0,,1.0,29.0,15.0,1.0,17.0,4.0,7.0,26.0,1.2235,202.0,,,0.0,0.0,138.0,10.0,0.0,,1.0,54.0,79.0,4.0,78.0,1.0,25.0,29.0,4.0,0.0,0.0,11.0,1.0,147.0,3.0,5.0,1.0,103.0,684.0,4.0,7.0,18.0,7.0,369.0,21.0,1.0,8.0,2.0,5.0,1.0,2.0,0.534245,18.0,446.0,65.0,,,35.1,550839,6.0,188.0,2.0,14.0,209.0,6.0,108483.67,1.0,2.0,19.0,3.0,52.0,,0.0,,0.0,4.0,1.0,17.0,,3.0,1.0,0.0,44.0,385.0,8.0,3.0,,18.0,2.0,72.0,0.0,0.0,0.0,,0.0,3.0,,2.0,2.0,4.0,0.0,5.0,1.0,,1.0,54.9,17.0,1.0,5.0,4.0,3.0,40.0,5.0,464.0,7.0,11.0,10.0,3.0,29.0,,2.0,284.0,7.0,7.0,14.0,97.0,25.0,,1.0,8.0,26.0,1.0,2.0,6.0,5.0,22.0,0.9236,1.0,19.0,5.0,,3.0,,,,,,,,2.0,,,1.0,2.0,,1.0,,3.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
12,2562006,2025-11-23 16:30:00,"Emirates Stadium, London",60345.0,Away,Tottenham Hotspur,Arsenal,1,4,L,0.0,2.0,0,0,0.0,,,48.0,0.0,0.0,2.0,,0.127,18.0,34.0,2.0,,,4.0,0.0,1.0,135.0,0.0,,4.0,1.0,,3.0,,,2.0,68.0,136.0,49.0,3.0,15.0,,,1.0,1.0,1.0,7.0,12.0,1.0,34.0,1.0,5.0,15.0,3.1509,72.0,,,1.0,0.0,53.0,15.0,0.0,4.0,0.0,44.0,26.0,2.0,55.0,,6.0,20.0,3.0,0.0,0.0,2.0,1.0,136.0,,12.0,0.0,72.0,535.0,2.0,6.0,4.0,8.0,231.0,25.0,,25.0,1.0,3.0,2.0,1.0,0.0514407,22.0,303.0,37.0,,1.0,34.12,460842,,178.0,,4.0,211.0,6.0,103525.0,1.0,,12.0,8.0,58.0,,0.0,,0.0,7.0,1.0,18.0,5.0,7.0,,0.0,55.0,250.0,10.0,5.0,,34.0,,61.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,4.0,1.0,0.0,,,1.0,,42.6,17.0,,2.0,8.0,,31.0,1.0,330.0,8.0,15.0,6.0,1.0,13.0,,,126.0,3.0,4.0,14.0,23.0,11.0,1.0,1.0,25.0,21.0,0.0,4.0,3.0,5.0,12.0,0.0738,1.0,12.0,1.0,,,,,,,,,,8.0,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
13,2562023,2025-11-29 20:00:00,"Tottenham Hotspur Stadium, London",60546.0,Home,Tottenham Hotspur,Fulham,1,2,L,0.0,2.0,0,0,2.0,,,51.0,0.0,0.0,1.0,4.0,0.4624,21.0,18.0,4.0,2.0,10.0,1.0,1.0,,149.0,0.0,6.0,7.0,1.0,2.0,10.0,,2.0,2.0,152.0,160.0,49.0,14.0,17.0,1.0,2.0,1.0,1.0,2.0,39.0,7.0,1.0,18.0,7.0,7.0,29.0,1.0794,227.0,,,0.0,0.0,163.0,11.0,0.0,1.0,1.0,55.0,92.0,5.0,71.0,2.0,32.0,22.0,4.0,0.0,0.0,11.0,2.0,160.0,1.0,3.0,0.0,135.0,742.0,7.0,1.0,27.0,13.0,426.0,12.0,,12.0,1.0,3.0,3.0,4.0,0.855927,26.0,490.0,73.0,1.0,,34.53,491279,4.0,218.0,3.0,21.0,231.0,7.0,110092.82,0.0,,11.0,2.0,61.0,,0.0,2.0,0.0,4.0,1.0,21.0,4.0,1.0,2.0,0.0,41.0,439.0,5.0,5.0,1.0,11.0,1.0,65.0,0.0,0.0,0.0,1.0,0.0,2.0,,1.0,2.0,,0.0,5.0,1.0,,3.0,62.6,21.0,2.0,2.0,4.0,6.0,41.0,8.0,507.0,13.0,17.0,19.0,6.0,48.0,1.0,4.0,315.0,9.0,7.0,24.0,132.0,33.0,,,12.0,14.0,0.0,0.0,11.0,5.0,19.0,0.8645,,11.0,8.0,,2.0,,,,,,,1.0,1.0,,,,3.0,,,1.0,1.0,,,2.0,1.0,1.0,1.0,2.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14,2562033,2025-12-02 20:15:00,"St. James' Park, Newcastle",52007.0,Away,Tottenham Hotspur,Newcastle United,2,2,D,0.0,0.0,0,0,0.0,,1.0,49.0,1.0,1.0,,4.0,1.3632,12.0,37.0,1.0,3.0,7.0,4.0,0.0,,140.0,0.0,6.0,10.0,2.0,,6.0,1.0,,2.0,98.0,136.0,46.0,8.0,25.0,,2.0,1.0,,1.0,28.0,13.0,0.0,37.0,8.0,5.0,20.0,2.4169,170.0,,,0.0,0.0,111.0,12.0,0.0,3.0,0.0,52.0,61.0,5.0,63.0,,20.0,18.0,1.0,0.0,0.0,7.0,,136.0,1.0,13.0,0.0,87.0,593.0,5.0,4.0,22.0,8.0,297.0,20.0,,18.0,1.0,3.0,8.0,1.0,0.908838,16.0,366.0,43.0,,3.0,32.31,487053,5.0,149.0,1.0,13.0,175.0,9.0,110397.81,1.0,2.0,5.0,11.0,63.0,,0.0,,2.0,7.0,1.0,14.0,6.0,7.0,1.0,0.0,41.0,313.0,5.0,9.0,,23.0,2.0,59.0,0.0,0.0,0.0,3.0,0.0,11.0,5.0,2.0,2.0,1.0,0.0,6.0,1.0,2.0,1.0,46.7,12.0,1.0,1.0,7.0,5.0,31.0,8.0,388.0,8.0,8.0,12.0,1.0,36.0,,1.0,241.0,4.0,5.0,14.0,84.0,20.0,,3.0,18.0,17.0,1.0,2.0,6.0,5.0,20.0,0.7507,3.0,5.0,8.0,,1.0,,,,,,,,4.0,,,,1.0,,,,2.0,,1.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
15,2562043,2025-12-06 15:00:00,"Tottenham Hotspur Stadium, London",60759.0,Home,Tottenham Hotspur,Brentford,2,0,W,2.0,0.0,0,0,0.0,2.0,1.0,59.0,2.0,0.0,,1.0,2.8873,24.0,29.0,6.0,4.0,9.0,1.0,1.0,2.0,140.0,0.0,5.0,8.0,2.0,1.0,9.0,,,7.0,89.0,140.0,50.0,15.0,18.0,3.0,,1.0,2.0,1.0,26.0,10.0,0.0,29.0,6.0,10.0,28.0,0.4459,182.0,1.0,1.0,0.0,0.0,138.0,8.0,0.0,1.0,1.0,69.0,56.0,6.0,84.0,,20.0,11.0,6.0,0.0,0.0,10.0,2.0,140.0,3.0,3.0,0.0,87.0,614.0,6.0,5.0,23.0,11.0,317.0,28.0,1.0,16.0,1.0,3.0,1.0,3.0,1.24546,18.0,381.0,49.0,,,32.91,232859,6.0,152.0,3.0,8.0,172.0,5.0,111565.81,1.0,1.0,4.0,7.0,58.0,1.0,0.0,1.0,0.0,5.0,2.0,17.0,1.0,3.0,3.0,0.0,52.0,329.0,9.0,8.0,2.0,20.0,3.0,54.0,0.0,0.0,0.0,,0.0,6.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,53.3,15.0,2.0,7.0,5.0,3.0,25.0,7.0,400.0,11.0,13.0,17.0,5.0,32.0,1.0,3.0,254.0,7.0,9.0,16.0,103.0,15.0,1.0,2.0,16.0,17.0,0.0,0.0,9.0,4.0,19.0,2.1835,2.0,4.0,7.0,,2.0,1.0,1.0,,2.0,,,1.0,4.0,,1.0,3.0,2.0,1.0,1.0,,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,
16,2562052,2025-12-14 14:00:00,"The City Ground, Nottingham",30579.0,Away,Tottenham Hotspur,Nottingham Forest,0,3,L,0.0,1.0,0,0,2.0,,,45.0,0.0,0.0,1.0,3.0,0.5179,18.0,17.0,1.0,2.0,5.0,3.0,0.0,1.0,142.0,0.0,3.0,12.0,0.0,1.0,5.0,,1.0,1.0,127.0,143.0,61.0,6.0,13.0,1.0,1.0,,,,19.0,20.0,0.0,17.0,3.0,6.0,27.0,2.0112,165.0,,,0.0,0.0,118.0,13.0,0.0,2.0,0.0,64.0,71.0,4.0,58.0,1.0,16.0,27.0,1.0,0.0,0.0,7.0,,143.0,,10.0,0.0,93.0,627.0,4.0,2.0,13.0,11.0,311.0,19.0,,9.0,,3.0,2.0,1.0,0.598526,24.0,394.0,48.0,,,34.74,232859,4.0,173.0,,8.0,205.0,7.0,105366.22,0.0,,9.0,9.0,48.0,,0.0,,0.0,3.0,0.0,17.0,5.0,8.0,,0.0,44.0,335.0,9.0,6.0,1.0,13.0,1.0,52.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0,0.0,2.0,,4.0,3.0,52.1,19.0,1.0,6.0,3.0,4.0,34.0,3.0,420.0,11.0,8.0,11.0,1.0,25.0,1.0,1.0,234.0,1.0,6.0,10.0,82.0,16.0,,2.0,9.0,30.0,0.0,1.0,4.0,5.0,21.0,0.3338,2.0,9.0,3.0,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2562063,2025-12-20 17:30:00,"Tottenham Hotspur Stadium, London",61138.0,Home,Tottenham Hotspur,Liverpool,1,2,L,0.0,0.0,2,0,0.0,,1.0,44.0,1.0,0.0,,6.0,1.1544,17.0,33.0,4.0,3.0,11.0,2.0,0.0,2.0,125.0,0.0,4.0,4.0,1.0,3.0,12.0,,,4.0,77.0,117.0,31.0,15.0,17.0,1.0,2.0,,2.0,2.0,20.0,7.0,0.0,33.0,2.0,1.0,21.0,1.2756,138.0,1.0,,0.0,0.0,103.0,9.0,0.0,1.0,0.0,48.0,51.0,8.0,54.0,1.0,18.0,20.0,4.0,0.0,0.0,5.0,1.0,117.0,1.0,7.0,1.0,66.0,491.0,11.0,3.0,20.0,7.0,237.0,23.0,,10.0,,3.0,3.0,4.0,0.374723,14.0,306.0,53.0,,,34.39,232859,9.0,112.0,1.0,11.0,135.0,4.0,101432.07,1.0,,10.0,3.0,38.0,,0.0,,0.0,2.0,0.0,17.0,1.0,2.0,,0.0,53.0,246.0,7.0,8.0,1.0,28.0,4.0,55.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,1.0,2.0,1.0,2.0,3.0,,2.0,3.0,34.9,12.0,2.0,2.0,2.0,7.0,24.0,2.0,322.0,7.0,3.0,10.0,4.0,21.0,1.0,3.0,207.0,9.0,1.0,9.0,70.0,16.0,,3.0,10.0,11.0,0.0,2.0,8.0,4.0,5.0,1.0675,3.0,10.0,2.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,3.0,0.0342,,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,
18,2562069,2025-12-28 16:30:00,"Selhurst Park, London",25186.0,Away,Tottenham Hotspur,Crystal Palace,1,0,W,1.0,0.0,0,0,0.0,,1.0,64.0,1.0,0.0,,1.0,1.0278,28.0,50.0,3.0,1.0,5.0,2.0,0.0,3.0,157.0,0.0,3.0,8.0,1.0,1.0,7.0,1.0,,4.0,75.0,165.0,65.0,8.0,20.0,2.0,2.0,1.0,2.0,,12.0,10.0,0.0,50.0,2.0,7.0,38.0,0.1129,107.0,,1.0,0.0,0.0,91.0,5.0,0.0,1.0,1.0,46.0,47.0,5.0,48.0,,10.0,23.0,3.0,0.0,0.0,3.0,1.0,165.0,1.0,9.0,0.0,60.0,565.0,6.0,7.0,18.0,6.0,222.0,36.0,1.0,28.0,1.0,2.0,5.0,2.0,0.683215,20.0,316.0,52.0,,1.0,34.27,232859,1.0,132.0,,6.0,168.0,1.0,114782.55,0.0,1.0,9.0,14.0,48.0,1.0,0.0,1.0,0.0,3.0,0.0,25.0,6.0,8.0,1.0,0.0,69.0,236.0,6.0,7.0,,26.0,2.0,78.0,0.0,0.0,0.0,,0.0,3.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,3.0,38.1,12.0,1.0,2.0,3.0,1.0,30.0,2.0,340.0,6.0,7.0,17.0,3.0,19.0,1.0,1.0,184.0,4.0,5.0,31.0,52.0,19.0,1.0,4.0,28.0,20.0,1.0,0.0,4.0,4.0,17.0,0.8806,4.0,9.0,2.0,,,,,1.0,1.0,,2.0,,6.0,,,1.0,3.0,,,,,,,,,3.0,1.0,,,,3.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,
19,2562076,2026-01-01 20:00:00,"Gtech Community Stadium, Brentford",17141.0,Away,Tottenham Hotspur,Brentford,0,0,D,0.0,0.0,0,0,0.0,1.0,,62.0,0.0,0.0,,3.0,0.8925,24.0,33.0,2.0,4.0,7.0,2.0,0.0,1.0,150.0,0.0,1.0,9.0,0.0,1.0,6.0,,,3.0,103.0,141.0,53.0,9.0,17.0,3.0,,,,,11.0,13.0,0.0,33.0,1.0,8.0,31.0,0.2865,171.0,,1.0,0.0,0.0,112.0,10.0,0.0,2.0,0.0,52.0,49.0,5.0,71.0,1.0,10.0,13.0,2.0,0.0,0.0,6.0,1.0,141.0,,4.0,0.0,88.0,600.0,6.0,10.0,18.0,10.0,310.0,29.0,,14.0,,2.0,2.0,1.0,0.64454,16.0,390.0,48.0,,1.0,33.91,491279,5.0,154.0,,4.0,182.0,5.0,107099.52,0.0,,9.0,7.0,48.0,,0.0,1.0,0.0,3.0,0.0,17.0,3.0,4.0,1.0,0.0,65.0,324.0,8.0,3.0,,22.0,1.0,62.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,1.0,,2.0,1.0,44.1,9.0,,5.0,3.0,4.0,27.0,1.0,412.0,10.0,9.0,15.0,2.0,24.0,,1.0,241.0,4.0,7.0,18.0,76.0,22.0,,,14.0,18.0,0.0,0.0,7.0,2.0,18.0,0.8623,,9.0,1.0,,1.0,1.0,1.0,,,,,1.0,4.0,,,,,1.0,3.0,,1.0,,,1.0,,2.0,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2562093,2026-01-04 15:00:00,"Tottenham Hotspur Stadium, London",60877.0,Home,Tottenham Hotspur,Sunderland,1,1,D,1.0,0.0,0,0,0.0,1.0,1.0,54.0,0.0,0.0,,1.0,1.1573,26.0,33.0,3.0,2.0,9.0,2.0,1.0,2.0,129.0,1.0,7.0,10.0,1.0,2.0,10.0,,2.0,5.0,86.0,131.0,51.0,13.0,27.0,3.0,,,2.0,3.0,23.0,12.0,0.0,33.0,3.0,5.0,36.0,1.6161,162.0,,,0.0,0.0,125.0,9.0,0.0,,0.0,45.0,35.0,5.0,52.0,2.0,20.0,22.0,4.0,0.0,0.0,8.0,2.0,131.0,2.0,9.0,0.0,94.0,570.0,8.0,3.0,33.0,8.0,273.0,16.0,,19.0,1.0,2.0,3.0,5.0,0.850995,22.0,344.0,53.0,,1.0,34.59,570526,6.0,129.0,1.0,11.0,157.0,7.0,110674.84,0.0,1.0,10.0,7.0,60.0,,0.0,,1.0,5.0,0.0,11.0,1.0,4.0,1.0,0.0,50.0,284.0,6.0,7.0,1.0,14.0,3.0,52.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,1.0,2.0,0.0,5.0,1.0,1.0,4.0,48.7,18.0,2.0,7.0,5.0,2.0,24.0,3.0,361.0,8.0,11.0,21.0,6.0,30.0,2.0,4.0,227.0,7.0,5.0,20.0,92.0,21.0,,3.0,19.0,15.0,0.0,1.0,9.0,5.0,16.0,1.1812,3.0,10.0,3.0,,1.0,2.0,2.0,2.0,1.0,,,1.0,2.0,,,1.0,4.0,2.0,,2.0,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,
21,2562095,2026-01-07 19:30:00,"Vitality Stadium, Bournemouth",11212.0,Away,Tottenham Hotspur,Bournemouth,2,3,L,1.0,2.0,0,0,1.0,,,48.0,1.0,1.0,,4.0,1.7806,22.0,15.0,5.0,2.0,11.0,,0.0,1.0,157.0,0.0,5.0,14.0,2.0,2.0,11.0,1.0,1.0,4.0,99.0,155.0,73.0,16.0,19.0,1.0,1.0,1.0,1.0,1.0,21.0,16.0,0.0,15.0,7.0,8.0,30.0,1.4682,123.0,1.0,,0.0,0.0,88.0,10.0,0.0,,2.0,51.0,43.0,6.0,70.0,1.0,14.0,16.0,5.0,0.0,0.0,3.0,3.0,155.0,2.0,5.0,0.0,108.0,636.0,8.0,4.0,29.0,5.0,309.0,30.0,1.0,10.0,1.0,3.0,5.0,5.0,1.03504,25.0,402.0,44.0,1.0,1.0,34.08,232859,4.0,218.0,2.0,9.0,249.0,3.0,109710.23,2.0,1.0,7.0,7.0,50.0,3.0,0.0,2.0,0.0,3.0,1.0,16.0,6.0,5.0,3.0,0.0,62.0,336.0,19.0,4.0,2.0,28.0,6.0,67.0,0.0,0.0,0.0,,0.0,3.0,,2.0,3.0,1.0,0.0,1.0,,,5.0,57.9,20.0,2.0,3.0,4.0,5.0,35.0,7.0,434.0,5.0,3.0,16.0,7.0,31.0,4.0,3.0,206.0,9.0,7.0,16.0,52.0,11.0,,,10.0,24.0,0.0,2.0,8.0,3.0,28.0,1.2459,,7.0,7.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,3.0,,,1.0,,1.0,1.0,,2.0,,3.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,3.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,
22,2562113,2026-01-17 15:00:00,"Tottenham Hotspur Stadium, London",60857.0,Home,Tottenham Hotspur,West Ham United,1,2,L,0.0,1.0,0,0,0.0,,1.0,58.0,0.0,0.0,,4.0,1.5888,21.0,15.0,6.0,1.0,15.0,2.0,0.0,4.0,162.0,0.0,10.0,13.0,1.0,5.0,18.0,1.0,1.0,6.0,140.0,161.0,69.0,21.0,26.0,2.0,2.0,1.0,2.0,3.0,43.0,15.0,0.0,15.0,8.0,6.0,21.0,2.5408,228.0,3.0,,0.0,0.0,177.0,12.0,0.0,2.0,0.0,69.0,78.0,8.0,62.0,2.0,35.0,18.0,6.0,0.0,0.0,11.0,3.0,161.0,1.0,17.0,0.0,117.0,725.0,15.0,8.0,52.0,7.0,373.0,21.0,1.0,10.0,1.0,5.0,6.0,10.0,1.42743,18.0,452.0,64.0,,,34.05,491279,8.0,183.0,2.0,22.0,200.0,8.0,107537.09,0.0,3.0,6.0,6.0,67.0,1.0,0.0,3.0,1.0,4.0,1.0,17.0,,6.0,3.0,0.0,36.0,401.0,17.0,6.0,2.0,9.0,3.0,56.0,1.0,0.0,0.0,,0.0,5.0,2.0,1.0,2.0,2.0,0.0,8.0,1.0,1.0,6.0,61.7,15.0,3.0,4.0,4.0,4.0,39.0,11.0,481.0,7.0,9.0,14.0,11.0,47.0,2.0,8.0,324.0,14.0,5.0,20.0,133.0,28.0,,2.0,10.0,19.0,1.0,2.0,12.0,4.0,29.0,1.4423,2.0,6.0,11.0,,,,,2.0,2.0,,,1.0,3.0,,,4.0,1.0,,,,2.0,,3.0,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,
23,2562118,2026-01-24 15:00:00,"Turf Moor, Burnley",21618.0,Away,Tottenham Hotspur,Burnley,2,2,D,1.0,1.0,0,0,0.0,4.0,,71.0,0.0,1.0,1.0,,3.3197,23.0,14.0,7.0,6.0,11.0,2.0,1.0,4.0,168.0,0.0,7.0,17.0,2.0,2.0,11.0,1.0,,11.0,198.0,150.0,66.0,18.0,9.0,6.0,1.0,1.0,4.0,2.0,19.0,16.0,1.0,14.0,2.0,14.0,33.0,1.8912,258.0,2.0,,0.0,0.0,147.0,9.0,0.0,1.0,0.0,61.0,98.0,6.0,98.0,,17.0,22.0,7.0,0.0,0.0,7.0,4.0,150.0,3.0,6.0,0.0,156.0,832.0,10.0,7.0,28.0,10.0,514.0,24.0,1.0,5.0,1.0,0.0,3.0,5.0,1.76899,18.0,605.0,50.0,,,34.95,232859,6.0,275.0,4.0,10.0,306.0,4.0,109538.48,0.0,2.0,12.0,2.0,46.0,1.0,0.0,,2.0,4.0,1.0,20.0,3.0,2.0,1.0,0.0,52.0,526.0,7.0,9.0,,23.0,4.0,68.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,2.0,4.0,0.0,7.0,1.0,,4.0,62.5,16.0,2.0,11.0,4.0,,36.0,3.0,620.0,10.0,11.0,11.0,7.0,31.0,,2.0,333.0,8.0,11.0,16.0,108.0,31.0,,1.0,5.0,26.0,1.0,2.0,12.0,5.0,25.0,2.0479,1.0,12.0,3.0,2.0,,1.0,1.0,3.0,,2.0,,1.0,7.0,0.09,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,,1.0,3.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,,1.0,,
24,2562133,2026-02-01 16:30:00,"Tottenham Hotspur Stadium, London",61337.0,Home,Tottenham Hotspur,Manchester City,2,2,D,0.0,2.0,0,0,0.0,1.0,1.0,43.0,0.0,0.0,,3.0,1.7259,23.0,19.0,5.0,3.0,7.0,1.0,0.0,3.0,116.0,1.0,5.0,10.0,2.0,2.0,8.0,,,6.0,94.0,122.0,51.0,12.0,17.0,2.0,1.0,2.0,1.0,,13.0,10.0,0.0,19.0,2.0,5.0,22.0,1.2586,141.0,,,0.0,0.0,101.0,15.0,0.0,1.0,0.0,48.0,42.0,8.0,77.0,,11.0,15.0,5.0,0.0,0.0,6.0,1.0,122.0,2.0,14.0,0.0,98.0,579.0,6.0,4.0,28.0,6.0,288.0,19.0,,8.0,2.0,3.0,4.0,,0.888312,19.0,356.0,45.0,1.0,,33.18,247693,5.0,175.0,1.0,5.0,191.0,7.0,113898.59,2.0,2.0,8.0,12.0,61.0,,0.0,1.0,0.0,2.0,2.0,10.0,1.0,9.0,1.0,0.0,53.0,311.0,12.0,7.0,,23.0,,55.0,1.0,0.0,0.0,,0.0,4.0,1.0,2.0,2.0,1.0,0.0,4.0,2.0,,,40.0,15.0,,6.0,2.0,5.0,28.0,3.0,385.0,6.0,14.0,14.0,1.0,18.0,1.0,,207.0,9.0,4.0,5.0,67.0,14.0,2.0,1.0,8.0,24.0,0.0,2.0,9.0,4.0,19.0,1.0506,1.0,8.0,3.0,2.0,2.0,1.0,1.0,,,2.0,,,3.0,0.1144,,,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,1.0,2.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
