gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,attGoalLowLeft,attLfGoal,attFreekickTotal,attObxLeft,shotFastbreak,attMissHighRight,attSvHighRight,midfielderGoals,attSvLowLeft,freekickTotal,attSetpiece,attMissHigh,attFastbreak,attFreekickTarget,shieldBallOop,attHdTotal,attHdMiss,attGoalLowRight,interceptionsInBox,punches,forwardGoals,errorLeadToGoal,goalAssistOpenplay,attHdTarget,goalAssist,errorLeadToShot,foulThrowIn,attSvHighCentre,clearanceOffLine,attLfTarget,cleanSheet,attSvHighLeft,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,hitWoodwork,attGoalLowCentre,attMissHighLeft,sixYardBlock,penaltyWon,attRfGoal,attPenGoal,goalAssistIntentional,attHdGoal,postScoringAtt,attGoalHighRight,attOboxGoal,attPostLeft,attLgCentre,attGoalHighLeft,attOboxPost,goalsOpenplay,secondYellow,goalFastbreak,attIboxPost,attHdPost,attPostRight,attBxRight,totalFastbreak,accurateFreekickCross,attCmissHigh,ownGoals,attIboxOwnGoal,defenderGoals,attObxdRight,attPostHigh,attGoalHighCentre
11,266352,2008-11-01 17:30:00,"White Hart Lane, London",,Home,Tottenham Hotspur,Liverpool,2,1,W,0,1,0,0,1.0,59.0,,1.0,23.0,30.0,5.0,1.0,2.0,3.0,8.0,2.0,3.0,5.0,,3.0,185.0,46.0,10.0,1.0,10.0,1.0,,2.0,16.0,12.0,1.0,20.0,4.0,29.0,32.0,103.0,0.0,104.0,18.0,,2.0,1.0,49.0,52.0,4.0,1.0,12.0,4.0,3.0,175.0,8.0,587.0,3.0,18.0,22.0,19.0,9.0,10.0,1.0,4.0,1.0,41.0,70.0,,973,3.0,161.0,6.0,195.0,10.0,52.0,2.0,1.0,8.0,8.0,5.0,52.0,261.0,12.0,8.0,1.0,28.0,94.0,1.0,1.0,0.0,4.0,3.0,2.0,1.0,4.0,0.0,2.0,44.5,26.0,9.0,1.0,10.0,2.0,35.0,4.0,1.0,383.0,22.0,10.0,7.0,5.0,18.0,1.0,2.0,204.0,8.0,28.0,11.0,46.0,21.0,1.0,6.0,15.0,1.0,7.0,3.0,15.0,1.0,4.0,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,2.0,,1.0,,1.0,,1.0,2.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
12,266360,2008-11-09 15:00:00,"Etihad Stadium, Manchester",,Away,Tottenham Hotspur,Manchester City,2,1,W,1,1,1,2,,67.0,1.0,3.0,33.0,24.0,8.0,1.0,4.0,4.0,10.0,2.0,,12.0,,6.0,151.0,48.0,15.0,1.0,6.0,1.0,2.0,,19.0,9.0,3.0,19.0,3.0,33.0,36.0,217.0,0.0,153.0,13.0,4.0,,2.0,80.0,66.0,8.0,3.0,16.0,6.0,4.0,146.0,8.0,774.0,9.0,16.0,19.0,23.0,5.0,12.0,1.0,,4.0,22.0,83.0,1.0,973,,207.0,8.0,231.0,8.0,49.0,8.0,3.0,5.0,1.0,2.0,67.0,420.0,12.0,8.0,2.0,20.0,96.0,,,0.0,4.0,5.0,2.0,1.0,5.0,1.0,4.0,59.7,22.0,11.0,,5.0,4.0,47.0,5.0,2.0,520.0,18.0,12.0,15.0,5.0,14.0,,1.0,308.0,14.0,29.0,13.0,101.0,28.0,1.0,9.0,13.0,1.0,,1.0,20.0,1.0,5.0,,1.0,1.0,1.0,,2.0,,,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
13,266368,2008-11-15 15:00:00,"Craven Cottage, London",,Away,Tottenham Hotspur,Fulham,1,2,L,0,1,0,0,,68.0,9.0,2.0,32.0,34.0,6.0,2.0,1.0,1.0,8.0,1.0,,7.0,,2.0,176.0,43.0,11.0,4.0,14.0,1.0,1.0,1.0,22.0,12.0,,22.0,3.0,23.0,24.0,165.0,0.0,132.0,10.0,5.0,,1.0,69.0,50.0,5.0,1.0,19.0,6.0,2.0,164.0,11.0,704.0,5.0,17.0,18.0,21.0,7.0,15.0,0.0,5.0,2.0,22.0,68.0,2.0,973,,160.0,13.0,190.0,6.0,48.0,4.0,4.0,12.0,11.0,3.0,68.0,324.0,5.0,3.0,1.0,36.0,91.0,,,0.0,10.0,2.0,1.0,2.0,8.0,0.0,1.0,50.4,16.0,16.0,,13.0,6.0,42.0,3.0,1.0,431.0,18.0,14.0,12.0,3.0,18.0,,1.0,263.0,8.0,20.0,12.0,82.0,23.0,3.0,8.0,18.0,1.0,,3.0,15.0,3.0,3.0,1.0,,,1.0,,2.0,,,,,1.0,1.0,1.0,2.0,,,,,1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
14,266382,2008-11-23 13:30:00,"White Hart Lane, London",,Home,Tottenham Hotspur,Blackburn Rovers,1,0,W,1,0,0,1,,77.0,1.0,4.0,30.0,30.0,10.0,2.0,1.0,6.0,8.0,1.0,,10.0,,3.0,175.0,52.0,19.0,3.0,21.0,1.0,1.0,3.0,29.0,15.0,1.0,19.0,3.0,17.0,25.0,205.0,0.0,176.0,16.0,,,,79.0,63.0,4.0,1.0,26.0,5.0,6.0,164.0,6.0,732.0,5.0,21.0,21.0,16.0,9.0,17.0,2.0,5.0,6.0,25.0,88.0,,973,,135.0,16.0,155.0,5.0,67.0,8.0,1.0,7.0,5.0,,58.0,334.0,15.0,3.0,4.0,32.0,83.0,,,0.0,6.0,1.0,1.0,,8.0,0.0,4.0,60.8,20.0,16.0,,7.0,7.0,37.0,6.0,,436.0,21.0,12.0,9.0,9.0,20.0,2.0,2.0,310.0,14.0,17.0,8.0,115.0,34.0,3.0,10.0,21.0,,,2.0,24.0,3.0,6.0,,1.0,,1.0,,5.0,2.0,,,,1.0,5.0,2.0,5.0,,2.0,3.0,2.0,,,2.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
15,266392,2008-11-30 15:00:00,"White Hart Lane, London",,Home,Tottenham Hotspur,Everton,0,1,L,0,0,0,0,,90.0,3.0,2.0,24.0,33.0,7.0,6.0,1.0,7.0,3.0,,6.0,12.0,,3.0,185.0,48.0,14.0,2.0,22.0,2.0,,2.0,33.0,10.0,1.0,20.0,5.0,19.0,33.0,185.0,0.0,149.0,10.0,2.0,4.0,2.0,50.0,63.0,6.0,,28.0,14.0,4.0,172.0,5.0,630.0,11.0,26.0,16.0,18.0,15.0,23.0,1.0,,6.0,32.0,93.0,2.0,973,5.0,101.0,10.0,130.0,8.0,53.0,3.0,1.0,7.0,5.0,3.0,54.0,279.0,15.0,4.0,1.0,52.0,102.0,2.0,1.0,0.0,1.0,2.0,,1.0,8.0,0.0,7.0,53.4,25.0,15.0,,7.0,4.0,51.0,5.0,2.0,395.0,16.0,13.0,16.0,7.0,33.0,,3.0,298.0,7.0,19.0,15.0,90.0,40.0,3.0,13.0,14.0,1.0,11.0,3.0,7.0,3.0,5.0,,,,2.0,,1.0,3.0,,,1.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
16,266403,2008-12-08 20:00:00,"Boleyn Ground, London",34277.0,Away,Tottenham Hotspur,West Ham United,2,0,W,0,0,0,0,3.0,58.0,2.0,1.0,27.0,33.0,6.0,3.0,6.0,8.0,9.0,2.0,,11.0,,9.0,160.0,62.0,15.0,2.0,15.0,5.0,3.0,1.0,28.0,18.0,2.0,17.0,5.0,21.0,23.0,263.0,0.0,160.0,18.0,2.0,,,107.0,90.0,9.0,,23.0,9.0,1.0,144.0,8.0,738.0,8.0,22.0,30.0,11.0,5.0,26.0,0.0,7.0,2.0,20.0,89.0,2.0,973,,100.0,12.0,115.0,11.0,55.0,5.0,1.0,3.0,9.0,1.0,60.0,355.0,14.0,6.0,1.0,33.0,96.0,1.0,,0.0,7.0,1.0,1.0,,14.0,0.0,7.0,51.1,14.0,13.0,,3.0,3.0,42.0,5.0,,443.0,29.0,8.0,10.0,3.0,26.0,1.0,1.0,356.0,9.0,19.0,15.0,107.0,29.0,2.0,12.0,24.0,,,2.0,20.0,2.0,5.0,,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,2.0,2.0,,,2.0,2.0,,,2.0,1.0,2.0,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,
17,266412,2008-12-13 17:30:00,"White Hart Lane, London",35882.0,Home,Tottenham Hotspur,Manchester United,0,0,D,0,0,0,0,,63.0,4.0,1.0,20.0,41.0,6.0,1.0,2.0,5.0,7.0,,,6.0,,3.0,170.0,57.0,10.0,2.0,13.0,1.0,,1.0,20.0,22.0,2.0,27.0,1.0,18.0,24.0,108.0,0.0,89.0,10.0,5.0,,,66.0,24.0,4.0,2.0,19.0,8.0,2.0,156.0,6.0,611.0,5.0,15.0,27.0,23.0,7.0,16.0,1.0,6.0,2.0,30.0,65.0,,973,,108.0,9.0,128.0,7.0,62.0,1.0,4.0,2.0,10.0,1.0,62.0,211.0,10.0,16.0,1.0,44.0,90.0,,,0.0,14.0,2.0,,,4.0,0.0,4.0,33.6,21.0,10.0,,3.0,3.0,30.0,4.0,,308.0,25.0,14.0,14.0,4.0,10.0,1.0,2.0,200.0,6.0,18.0,10.0,40.0,18.0,2.0,9.0,30.0,,,3.0,16.0,2.0,4.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,2.0,2.0,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,266421,2008-12-21 15:00:00,"St. James' Park, Newcastle",47982.0,Away,Tottenham Hotspur,Newcastle United,1,2,L,1,1,0,0,,66.0,,1.0,29.0,34.0,8.0,2.0,1.0,6.0,10.0,1.0,,11.0,,4.0,152.0,56.0,15.0,5.0,8.0,1.0,,3.0,36.0,18.0,2.0,25.0,7.0,12.0,42.0,156.0,0.0,127.0,10.0,,,1.0,67.0,54.0,7.0,,29.0,9.0,1.0,143.0,5.0,655.0,7.0,15.0,9.0,18.0,8.0,17.0,2.0,1.0,4.0,23.0,73.0,2.0,6072,,144.0,17.0,165.0,8.0,44.0,9.0,5.0,7.0,2.0,1.0,54.0,294.0,11.0,7.0,3.0,29.0,83.0,,,0.0,4.0,,1.0,2.0,7.0,0.0,4.0,45.0,20.0,18.0,,7.0,6.0,45.0,8.0,1.0,372.0,9.0,10.0,27.0,5.0,18.0,2.0,4.0,243.0,10.0,12.0,12.0,88.0,19.0,6.0,12.0,23.0,2.0,,1.0,20.0,6.0,8.0,,1.0,,,,1.0,,2.0,1.0,,,,2.0,1.0,,2.0,3.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
19,266432,2008-12-26 13:00:00,"White Hart Lane, London",35866.0,Home,Tottenham Hotspur,Fulham,0,0,D,0,0,0,0,1.0,78.0,,,41.0,33.0,10.0,4.0,2.0,7.0,10.0,,,12.0,,4.0,199.0,57.0,14.0,3.0,12.0,2.0,,1.0,31.0,16.0,2.0,16.0,4.0,34.0,45.0,214.0,0.0,166.0,8.0,2.0,,1.0,78.0,76.0,6.0,3.0,27.0,11.0,5.0,182.0,5.0,842.0,11.0,18.0,20.0,24.0,9.0,22.0,0.0,3.0,6.0,25.0,86.0,,973,,214.0,15.0,240.0,10.0,38.0,5.0,4.0,3.0,5.0,8.0,70.0,421.0,11.0,3.0,1.0,31.0,114.0,,,0.0,2.0,4.0,,,6.0,0.0,5.0,57.5,22.0,10.0,,3.0,3.0,65.0,4.0,1.0,554.0,20.0,6.0,21.0,7.0,23.0,2.0,2.0,345.0,7.0,29.0,19.0,97.0,39.0,2.0,8.0,17.0,,,3.0,20.0,2.0,4.0,,,,,,2.0,1.0,,,3.0,,1.0,1.0,2.0,,2.0,3.0,2.0,,,2.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,266442,2008-12-28 14:00:00,"The Hawthorns, West Bromwich",26344.0,Away,Tottenham Hotspur,West Bromwich Albion,0,2,L,0,0,1,0,,48.0,3.0,1.0,21.0,40.0,3.0,2.0,1.0,,6.0,,,4.0,,3.0,164.0,56.0,7.0,1.0,10.0,2.0,,1.0,16.0,17.0,1.0,25.0,4.0,22.0,18.0,146.0,0.0,135.0,12.0,4.0,,1.0,42.0,70.0,3.0,1.0,12.0,3.0,1.0,149.0,10.0,607.0,4.0,28.0,25.0,18.0,8.0,24.0,2.0,6.0,1.0,23.0,73.0,3.0,973,,108.0,8.0,128.0,13.0,53.0,5.0,1.0,2.0,9.0,7.0,50.0,254.0,16.0,4.0,,34.0,73.0,1.0,,0.0,8.0,2.0,,2.0,8.0,1.0,,50.3,18.0,4.0,,3.0,2.0,31.0,4.0,1.0,346.0,25.0,12.0,10.0,2.0,24.0,,1.0,234.0,5.0,22.0,13.0,81.0,22.0,5.0,14.0,21.0,2.0,,3.0,21.0,5.0,4.0,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,3.0,,,,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,266453,2009-01-11 13:30:00,"The Brick Community Stadium, Wigan",17500.0,Away,Tottenham Hotspur,Wigan Athletic,0,1,L,0,0,0,0,1.0,65.0,1.0,,13.0,52.0,3.0,3.0,,3.0,7.0,,,5.0,,2.0,200.0,51.0,6.0,1.0,15.0,2.0,1.0,,12.0,11.0,,28.0,2.0,24.0,26.0,94.0,0.0,82.0,15.0,,,1.0,35.0,41.0,2.0,3.0,10.0,3.0,2.0,176.0,8.0,610.0,3.0,20.0,19.0,19.0,4.0,38.0,3.0,2.0,3.0,27.0,66.0,3.0,973,,125.0,4.0,157.0,11.0,65.0,5.0,5.0,2.0,5.0,4.0,45.0,216.0,12.0,5.0,2.0,30.0,101.0,1.0,,0.0,8.0,1.0,,1.0,7.0,0.0,3.0,48.6,18.0,3.0,,5.0,1.0,39.0,3.0,1.0,328.0,19.0,17.0,10.0,3.0,9.0,,1.0,183.0,1.0,19.0,16.0,35.0,33.0,6.0,19.0,16.0,1.0,,3.0,21.0,6.0,3.0,,,,1.0,,,,,,,1.0,2.0,,,,,2.0,,,1.0,2.0,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,266461,2009-01-18 16:00:00,"White Hart Lane, London",36011.0,Home,Tottenham Hotspur,Portsmouth,1,1,D,0,0,0,0,,74.0,1.0,4.0,23.0,30.0,12.0,10.0,4.0,11.0,17.0,1.0,,23.0,,10.0,172.0,80.0,29.0,2.0,11.0,3.0,3.0,8.0,37.0,21.0,6.0,18.0,7.0,19.0,27.0,198.0,0.0,147.0,6.0,2.0,,,84.0,49.0,12.0,2.0,30.0,8.0,5.0,160.0,9.0,747.0,18.0,16.0,26.0,23.0,4.0,20.0,0.0,3.0,11.0,25.0,82.0,5.0,973,,111.0,20.0,131.0,13.0,68.0,9.0,3.0,8.0,3.0,7.0,44.0,298.0,11.0,16.0,4.0,12.0,76.0,4.0,,0.0,4.0,1.0,,1.0,5.0,0.0,8.0,50.5,23.0,16.0,,8.0,6.0,39.0,8.0,,385.0,26.0,17.0,9.0,13.0,25.0,3.0,8.0,291.0,11.0,17.0,15.0,98.0,27.0,1.0,12.0,37.0,,,3.0,35.0,1.0,8.0,1.0,,1.0,2.0,1.0,3.0,,1.0,,,2.0,2.0,2.0,3.0,1.0,1.0,7.0,5.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,1.0,,1.0,3.0,,1.0,,,,1.0,,,1.0,3.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
23,266466,2009-01-27 20:00:00,"White Hart Lane, London",36072.0,Home,Tottenham Hotspur,Stoke City,3,1,W,3,0,0,0,,47.0,1.0,2.0,59.0,45.0,14.0,6.0,4.0,5.0,9.0,3.0,,18.0,,8.0,149.0,61.0,22.0,5.0,6.0,2.0,,4.0,21.0,11.0,3.0,26.0,4.0,23.0,39.0,218.0,0.0,160.0,20.0,,,2.0,78.0,70.0,13.0,1.0,18.0,4.0,6.0,130.0,5.0,732.0,13.0,16.0,14.0,11.0,7.0,35.0,2.0,,5.0,21.0,79.0,2.0,973,,194.0,14.0,213.0,5.0,54.0,5.0,2.0,4.0,3.0,2.0,76.0,407.0,21.0,4.0,2.0,24.0,82.0,1.0,,0.0,4.0,1.0,3.0,1.0,7.0,0.0,4.0,64.1,16.0,9.0,,4.0,7.0,46.0,7.0,2.0,487.0,14.0,15.0,27.0,7.0,8.0,2.0,1.0,295.0,14.0,20.0,17.0,115.0,23.0,,21.0,14.0,1.0,,2.0,18.0,,7.0,,,1.0,2.0,,2.0,,,1.0,3.0,2.0,,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,,1.0,,3.0,,3.0,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,
24,266476,2009-01-31 15:00:00,"Toughsheet Community Stadium, Bolton",21575.0,Away,Tottenham Hotspur,Bolton Wanderers,2,3,L,0,1,0,0,2.0,70.0,1.0,3.0,33.0,45.0,7.0,5.0,4.0,6.0,9.0,2.0,,10.0,,7.0,184.0,58.0,17.0,2.0,24.0,1.0,2.0,1.0,29.0,19.0,4.0,25.0,8.0,27.0,35.0,174.0,0.0,153.0,13.0,,,4.0,53.0,77.0,8.0,1.0,21.0,8.0,2.0,164.0,8.0,725.0,7.0,18.0,24.0,17.0,5.0,29.0,1.0,2.0,2.0,33.0,85.0,1.0,973,,135.0,11.0,149.0,9.0,76.0,3.0,2.0,7.0,5.0,3.0,69.0,303.0,13.0,7.0,2.0,32.0,89.0,1.0,,0.0,2.0,1.0,2.0,3.0,8.0,0.0,3.0,51.5,25.0,14.0,,7.0,5.0,41.0,8.0,4.0,394.0,23.0,16.0,18.0,5.0,20.0,3.0,3.0,274.0,10.0,23.0,13.0,94.0,26.0,1.0,16.0,23.0,3.0,,3.0,27.0,1.0,8.0,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,3.0,1.0,,2.0,1.0,1.0,1.0,,2.0,2.0,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,
25,266490,2009-02-08 13:30:00,"White Hart Lane, London",36021.0,Home,Tottenham Hotspur,Arsenal,0,0,D,0,0,0,1,,91.0,,,28.0,34.0,9.0,5.0,3.0,11.0,20.0,,,13.0,,5.0,195.0,91.0,17.0,1.0,20.0,2.0,2.0,5.0,37.0,22.0,3.0,19.0,6.0,21.0,40.0,203.0,0.0,168.0,14.0,,,1.0,70.0,93.0,5.0,1.0,31.0,14.0,5.0,180.0,5.0,788.0,12.0,20.0,19.0,20.0,4.0,24.0,1.0,,8.0,26.0,83.0,1.0,973,,129.0,12.0,148.0,7.0,83.0,9.0,4.0,11.0,1.0,5.0,61.0,321.0,14.0,13.0,1.0,24.0,84.0,1.0,,0.0,4.0,2.0,,,10.0,0.0,9.0,56.5,24.0,20.0,,11.0,1.0,42.0,6.0,1.0,431.0,19.0,21.0,14.0,11.0,26.0,2.0,6.0,320.0,9.0,17.0,24.0,102.0,35.0,4.0,16.0,33.0,,,3.0,35.0,4.0,6.0,,,,,,1.0,2.0,,,1.0,,2.0,3.0,1.0,,1.0,3.0,3.0,,2.0,,,,,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,266498,2009-02-23 20:00:00,"The MKM Stadium, Hull",,Away,Tottenham Hotspur,Hull City,2,1,W,1,1,0,0,,64.0,,2.0,23.0,66.0,3.0,1.0,1.0,6.0,6.0,2.0,,6.0,,3.0,185.0,63.0,10.0,2.0,17.0,1.0,1.0,1.0,33.0,17.0,,37.0,6.0,16.0,24.0,139.0,0.0,130.0,9.0,,,2.0,53.0,75.0,5.0,,27.0,3.0,1.0,156.0,9.0,636.0,3.0,18.0,11.0,12.0,3.0,37.0,1.0,6.0,1.0,31.0,73.0,2.0,973,,101.0,21.0,120.0,9.0,51.0,4.0,4.0,5.0,6.0,4.0,51.0,234.0,15.0,1.0,1.0,25.0,82.0,,,0.0,11.0,,1.0,1.0,4.0,0.0,5.0,51.0,23.0,16.0,,5.0,4.0,35.0,13.0,2.0,322.0,11.0,15.0,11.0,3.0,15.0,1.0,1.0,235.0,7.0,15.0,18.0,75.0,26.0,4.0,19.0,23.0,1.0,,3.0,15.0,4.0,13.0,,,,,,,,,1.0,,,1.0,1.0,,,2.0,2.0,,,1.0,3.0,,1.0,2.0,,2.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,,1.0,
28,266516,2009-03-04 20:00:00,"White Hart Lane, London",35761.0,Home,Tottenham Hotspur,Middlesbrough,4,0,W,3,0,0,0,,67.0,3.0,1.0,31.0,51.0,3.0,6.0,,4.0,6.0,4.0,,11.0,,5.0,175.0,44.0,13.0,2.0,8.0,1.0,,,18.0,16.0,,26.0,3.0,23.0,33.0,213.0,0.0,151.0,7.0,2.0,,2.0,45.0,69.0,7.0,1.0,15.0,5.0,2.0,150.0,2.0,764.0,6.0,13.0,24.0,16.0,9.0,31.0,0.0,2.0,4.0,17.0,88.0,4.0,973,,183.0,10.0,206.0,9.0,47.0,6.0,3.0,1.0,10.0,2.0,62.0,392.0,6.0,9.0,1.0,32.0,104.0,1.0,,0.0,8.0,,4.0,,4.0,0.0,2.0,50.3,11.0,12.0,,2.0,3.0,56.0,4.0,2.0,487.0,23.0,13.0,21.0,5.0,10.0,2.0,3.0,299.0,6.0,22.0,13.0,100.0,32.0,3.0,13.0,19.0,,,3.0,16.0,3.0,4.0,,,2.0,1.0,,1.0,2.0,,2.0,,1.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,4.0,,4.0,2.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,2.0,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,1.0
28,266512,2009-03-07 15:00:00,"Stadium of Light, Sunderland",37894.0,Away,Tottenham Hotspur,Sunderland,1,1,D,0,1,0,0,,77.0,,1.0,30.0,55.0,5.0,2.0,2.0,6.0,6.0,1.0,,10.0,,5.0,184.0,43.0,14.0,2.0,16.0,3.0,1.0,2.0,25.0,11.0,1.0,26.0,1.0,21.0,39.0,223.0,0.0,161.0,9.0,,,1.0,63.0,73.0,6.0,,24.0,8.0,2.0,155.0,6.0,736.0,9.0,13.0,15.0,18.0,6.0,39.0,2.0,2.0,4.0,22.0,87.0,1.0,973,,133.0,11.0,157.0,6.0,54.0,5.0,3.0,16.0,4.0,1.0,62.0,350.0,17.0,6.0,,25.0,89.0,,,0.0,4.0,1.0,1.0,1.0,4.0,0.0,5.0,56.6,19.0,12.0,,16.0,3.0,45.0,1.0,1.0,452.0,15.0,12.0,15.0,6.0,27.0,1.0,4.0,320.0,9.0,18.0,6.0,105.0,31.0,2.0,19.0,14.0,1.0,,3.0,17.0,2.0,1.0,,,,2.0,,2.0,1.0,,,2.0,2.0,1.0,3.0,2.0,1.0,,3.0,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
29,266525,2009-03-15 16:00:00,"Villa Park, Birmingham",41205.0,Away,Tottenham Hotspur,Aston Villa,2,1,W,1,0,0,0,,59.0,1.0,,19.0,60.0,8.0,2.0,3.0,1.0,8.0,2.0,,7.0,,7.0,177.0,65.0,13.0,4.0,14.0,2.0,,1.0,13.0,19.0,3.0,39.0,4.0,19.0,33.0,154.0,0.0,130.0,11.0,1.0,,6.0,41.0,67.0,7.0,,9.0,1.0,1.0,156.0,6.0,684.0,6.0,13.0,19.0,14.0,6.0,40.0,3.0,2.0,,31.0,74.0,4.0,973,,118.0,6.0,138.0,12.0,70.0,4.0,,5.0,7.0,5.0,48.0,271.0,13.0,9.0,,34.0,90.0,2.0,,0.0,9.0,3.0,2.0,1.0,4.0,0.0,1.0,48.8,22.0,8.0,,5.0,4.0,41.0,5.0,6.0,363.0,19.0,15.0,24.0,2.0,16.0,,1.0,238.0,10.0,18.0,18.0,75.0,26.0,9.0,27.0,26.0,1.0,,2.0,29.0,9.0,5.0,,1.0,,,,,,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,,2.0,3.0,1.0,,1.0,,1.0,1.0,,,,2.0,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
