gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowCentre,attCmissRight,shotFastbreak,attMissLeft,attSvHighRight,cleanSheet,totalFastbreak,midfielderGoals,goodHighClaim,interceptionsInBox,attMissRight,bigChanceCreated,accurateThroughBall,bigChanceMissed,sixYardBlock,attFastbreak,shieldBallOop,attHdMiss,attSvHighCentre,totalHighClaim,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,attFreekickTotal,attSvHighLeft,freekickTotal,goalAssist,fastestPlayer_topSpeed,totalDistance,attCmissLeft,attFreekickTarget,goalAssistIntentional,clearanceOffLine,attHdGoal,expectedGoalsOnTarget,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,expectedGoalsOnTargetConceded,attOboxGoal,divingSave,subsGoals,totalKeeperSweeper,expectedAssists,errorLeadToShot,expectedGoals,attGoalLowLeft,penaltyWon,ptsGainedLosingPos,secondYellow,attPenGoal,foulThrowIn,accurateFreekickCross,attSetpiece,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attPostRight,attLgCentre,attCmissHigh,attLfGoal,accuratePullBack,defenderGoals,attGoalHighLeft,attFreekickMiss,attObxLeft,attGoalHighCentre,attOneOnOne,attGoalHighRight,attPostHigh,contentiousDecision,attObxdLeft,attFreekickPost,attOboxPost,errorLeadToGoal,expectedGoalsFreekick,attObpGoal
11,2444576,2024-11-10 14:00:00,"The City Ground, Nottingham",30145,Home,Nottingham Forest,Newcastle United,1,3,L,1,0,0,0,,1.0,50.0,,1.0,2.0,23.0,28.0,1.0,2.0,7.0,3.0,1.0,148.0,5.0,6.0,1.0,3.0,8.0,3.0,76.0,135.0,56.0,9.0,1.0,22.0,2.0,2.0,1.0,23.0,19.0,,28.0,4.0,8.0,24.0,199.0,,0.0,137.0,13.0,,3.0,63.0,84.0,5.0,59.0,19.0,14.0,2.0,6.0,1.0,135.0,12.0,100.0,568.0,5.0,5.0,17.0,1.0,7.0,290.0,26.0,,8.0,11.0,1.0,4.0,3.0,17.0,368.0,53.0,90585,2.0,105.0,10.0,130.0,4.0,,1.0,4.0,9.0,50.0,,3.0,2.0,,,12.0,5.0,5.0,2.0,53.0,299.0,6.0,2.0,2.0,24.0,2.0,63.0,,1.0,0.0,,5.0,2.0,1.0,3.0,2.0,0.0,3.0,4.0,43.7,13.0,3.0,1.0,3.0,3.0,36.0,4.0,383.0,7.0,7.0,11.0,3.0,30.0,2.0,2.0,276.0,3.0,7.0,15.0,101.0,15.0,,,11.0,29.0,3.0,6.0,5.0,12.0,3.0,,4.0,4.0,,1.0,,2.0,1.0,1.0,,2.0,,1.0,,,2.0,,1.0,,2.0,,2.0,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,2.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
12,2444581,2024-11-23 15:00:00,"Emirates Stadium, London",60298,Away,Nottingham Forest,Arsenal,0,3,L,0,1,0,0,,,30.0,,,1.0,20.0,24.0,2.0,1.0,5.0,3.0,,117.0,7.0,4.0,,4.0,5.0,,60.0,98.0,44.0,7.0,1.0,11.0,,,,18.0,10.0,,24.0,1.0,10.0,14.0,126.0,,0.0,75.0,11.0,,4.0,42.0,54.0,1.0,50.0,17.0,8.0,2.0,5.0,1.0,98.0,14.0,68.0,447.0,3.0,6.0,14.0,,10.0,220.0,17.0,1.0,3.0,14.0,2.0,6.0,4.0,11.0,269.0,29.0,90585,5.0,121.0,8.0,134.0,4.0,,,4.0,13.0,45.0,1.0,2.0,1.0,,,9.0,5.0,11.0,3.0,43.0,240.0,10.0,8.0,2.0,17.0,,49.0,,,0.0,,8.0,4.0,,3.0,3.0,0.0,7.0,4.0,33.9,5.0,1.0,,1.0,2.0,26.0,1.0,295.0,10.0,9.0,8.0,5.0,18.0,,4.0,179.0,2.0,9.0,14.0,50.0,11.0,,2.0,14.0,16.0,2.0,2.0,4.0,10.0,,2.0,4.0,1.0,,,,,1.0,,,,,,3.0,,,,,,,2.0,4.0,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
13,2444596,2024-11-30 15:00:00,"The City Ground, Nottingham",30237,Home,Nottingham Forest,Ipswich Town,1,0,W,0,0,0,0,,1.0,41.0,,,,16.0,22.0,3.0,1.0,8.0,2.0,3.0,115.0,7.0,7.0,1.0,6.0,9.0,5.0,72.0,127.0,57.0,12.0,2.0,17.0,3.0,,2.0,20.0,12.0,1.0,22.0,7.0,4.0,25.0,145.0,,0.0,127.0,5.0,1.0,4.0,85.0,43.0,5.0,50.0,13.0,15.0,4.0,3.0,1.0,127.0,5.0,73.0,503.0,7.0,8.0,26.0,1.0,8.0,229.0,14.0,,5.0,13.0,1.0,3.0,4.0,19.0,295.0,51.0,85633,6.0,100.0,6.0,109.0,1.0,1.0,,11.0,,46.0,5.0,3.0,2.0,,,13.0,2.0,,,40.0,238.0,14.0,8.0,2.0,18.0,3.0,56.0,,1.0,0.0,1.0,7.0,3.0,1.0,,1.0,0.0,3.0,4.0,44.7,11.0,6.0,1.0,2.0,2.0,29.0,8.0,310.0,8.0,7.0,14.0,5.0,30.0,4.0,4.0,221.0,7.0,4.0,17.0,83.0,15.0,1.0,1.0,13.0,20.0,,7.0,5.0,16.0,,1.0,11.0,8.0,,,2.0,,2.0,,1.0,,,1.0,,3.0,1.0,1.0,1.0,,,,3.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
14,2444607,2024-12-04 19:30:00,"Etihad Stadium, Manchester",51764,Away,Nottingham Forest,Manchester City,0,3,L,0,2,0,0,,,46.0,,,2.0,13.0,18.0,4.0,1.0,8.0,3.0,2.0,103.0,3.0,5.0,,3.0,9.0,3.0,63.0,101.0,41.0,12.0,,7.0,2.0,,,13.0,16.0,1.0,18.0,2.0,9.0,15.0,129.0,2.0,0.0,102.0,15.0,1.0,3.0,63.0,35.0,3.0,52.0,11.0,14.0,4.0,4.0,3.0,101.0,12.0,70.0,452.0,8.0,4.0,14.0,1.0,14.0,215.0,18.0,,5.0,3.0,4.0,3.0,6.0,14.0,269.0,39.0,85633,5.0,104.0,4.0,120.0,8.0,,3.0,7.0,10.0,51.0,1.0,2.0,1.0,,,12.0,5.0,6.0,1.0,34.0,230.0,7.0,13.0,1.0,18.0,1.0,37.0,1.0,,0.0,,8.0,4.0,,3.0,,0.0,2.0,3.0,33.4,11.0,6.0,2.0,1.0,2.0,18.0,2.0,288.0,14.0,11.0,6.0,7.0,24.0,1.0,4.0,181.0,8.0,8.0,5.0,73.0,20.0,,1.0,3.0,24.0,3.0,11.0,5.0,10.0,,1.0,7.0,2.0,,,1.0,,3.0,,,,,,4.0,1.0,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,
15,2444617,2024-12-07 17:30:00,"Old Trafford, Manchester",73778,Away,Nottingham Forest,Manchester United,3,2,W,1,1,0,0,,,51.0,1.0,1.0,2.0,12.0,31.0,3.0,2.0,8.0,5.0,,116.0,4.0,8.0,3.0,2.0,9.0,3.0,59.0,117.0,50.0,11.0,2.0,14.0,,2.0,,7.0,8.0,,31.0,3.0,1.0,13.0,101.0,1.0,0.0,100.0,13.0,,1.0,31.0,54.0,6.0,34.0,4.0,9.0,3.0,,,117.0,10.0,33.0,400.0,6.0,9.0,16.0,,8.0,147.0,26.0,,5.0,14.0,2.0,5.0,3.0,11.0,217.0,40.0,90585,5.0,61.0,3.0,83.0,6.0,1.0,,6.0,10.0,47.0,,1.0,2.0,,2.0,12.0,7.0,2.0,,46.0,158.0,10.0,7.0,,23.0,2.0,52.0,,,0.0,1.0,5.0,4.0,2.0,2.0,1.0,0.0,3.0,3.0,28.7,8.0,3.0,,2.0,4.0,19.0,3.0,242.0,8.0,5.0,6.0,4.0,12.0,1.0,3.0,166.0,6.0,1.0,17.0,61.0,12.0,1.0,1.0,14.0,16.0,1.0,6.0,4.0,16.0,,1.0,6.0,3.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,3.0,,,1.0,,2.0,,2.0,,1.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,
16,2444627,2024-12-14 17:30:00,"The City Ground, Nottingham",30117,Home,Nottingham Forest,Aston Villa,2,1,W,0,0,0,0,,2.0,48.0,,,3.0,21.0,24.0,5.0,2.0,12.0,1.0,1.0,146.0,5.0,10.0,2.0,1.0,13.0,6.0,117.0,91.0,45.0,17.0,2.0,8.0,4.0,,1.0,21.0,14.0,,24.0,4.0,16.0,24.0,251.0,1.0,0.0,164.0,12.0,1.0,,111.0,57.0,10.0,80.0,17.0,10.0,5.0,6.0,3.0,91.0,7.0,129.0,653.0,9.0,5.0,27.0,3.0,8.0,417.0,24.0,1.0,7.0,9.0,0.0,2.0,3.0,5.0,457.0,52.0,90585,5.0,185.0,11.0,200.0,7.0,,1.0,5.0,5.0,36.0,1.0,2.0,1.0,,1.0,19.0,1.0,5.0,1.0,33.0,431.0,6.0,5.0,2.0,16.0,4.0,32.0,,1.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,6.0,50.3,4.0,4.0,4.0,1.0,5.0,23.0,4.0,472.0,8.0,6.0,16.0,6.0,27.0,3.0,3.0,293.0,9.0,16.0,10.0,147.0,17.0,,2.0,9.0,19.0,1.0,11.0,4.0,15.0,,2.0,5.0,4.0,,,,2.0,2.0,,,2.0,,2.0,1.0,1.0,3.0,,1.0,,2.0,1.0,2.0,2.0,2.0,,1.0,,,,,2.0,,,1.0,,2.0,,1.0,,,1.0,,,,1.0,1.0,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,
17,2444631,2024-12-21 15:00:00,"Gtech Community Stadium, Brentford",17115,Away,Nottingham Forest,Brentford,2,0,W,1,0,0,0,1.0,1.0,47.0,,,1.0,22.0,49.0,4.0,3.0,6.0,3.0,1.0,132.0,1.0,4.0,2.0,1.0,8.0,6.0,59.0,120.0,54.0,10.0,,17.0,3.0,,3.0,14.0,9.0,1.0,49.0,5.0,2.0,21.0,126.0,2.0,0.0,112.0,14.0,,1.0,52.0,48.0,5.0,50.0,9.0,12.0,4.0,1.0,3.0,120.0,7.0,62.0,513.0,7.0,8.0,16.0,2.0,18.0,226.0,24.0,,6.0,26.0,4.0,2.0,3.0,16.0,282.0,46.0,449434,5.0,111.0,7.0,136.0,3.0,1.0,1.0,10.0,10.0,59.0,1.0,3.0,,,2.0,12.0,,5.0,,51.0,236.0,10.0,11.0,,26.0,1.0,53.0,,1.0,0.0,,9.0,3.0,2.0,,3.0,0.0,1.0,2.0,35.6,8.0,,1.0,,1.0,27.0,5.0,303.0,18.0,7.0,16.0,3.0,19.0,,,181.0,5.0,2.0,20.0,86.0,18.0,1.0,2.0,26.0,20.0,,8.0,5.0,14.0,,2.0,10.0,5.0,,1.0,,2.0,,,1.0,2.0,1.0,1.0,3.0,1.0,2.0,,1.0,,2.0,2.0,,1.0,1.0,,,,,,,1.0,35.15,103782.58,,,1.0,,,,,1.0,,,,2.0,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
18,2444647,2024-12-26 15:00:00,"The City Ground, Nottingham",30200,Home,Nottingham Forest,Tottenham Hotspur,1,0,W,1,0,0,1,1.0,1.0,50.0,,,,19.0,32.0,3.0,2.0,7.0,4.0,1.0,109.0,1.0,9.0,1.0,2.0,5.0,3.0,45.0,117.0,55.0,10.0,2.0,13.0,2.0,,1.0,6.0,13.0,,32.0,1.0,5.0,26.0,108.0,,0.0,101.0,12.0,,1.0,56.0,35.0,2.0,45.0,5.0,18.0,3.0,2.0,1.0,117.0,7.0,62.0,454.0,3.0,6.0,18.0,,10.0,178.0,29.0,,7.0,12.0,3.0,5.0,3.0,12.0,238.0,39.0,449434,4.0,84.0,2.0,101.0,8.0,,,14.0,9.0,46.0,1.0,4.0,4.0,,1.0,21.0,6.0,3.0,3.0,50.0,191.0,13.0,10.0,1.0,27.0,1.0,51.0,1.0,2.0,0.0,,7.0,4.0,1.0,,2.0,0.0,,1.0,29.6,6.0,6.0,1.0,4.0,2.0,24.0,2.0,261.0,10.0,7.0,16.0,5.0,16.0,1.0,4.0,166.0,7.0,4.0,12.0,67.0,10.0,,1.0,12.0,21.0,,9.0,5.0,13.0,,1.0,14.0,2.0,,,1.0,4.0,1.0,,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,,1.0,,,,,,,1.0,35.44,102450.29,,,1.0,,,,,1.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,
19,2444653,2024-12-29 15:00:00,"Goodison Park, Liverpool",39352,Away,Nottingham Forest,Everton,2,0,W,1,0,0,0,2.0,,63.0,,,,22.0,39.0,4.0,3.0,7.0,2.0,3.0,142.0,1.0,4.0,2.0,2.0,7.0,7.0,50.0,146.0,57.0,11.0,,27.0,4.0,,4.0,8.0,13.0,1.0,39.0,3.0,5.0,19.0,100.0,1.0,0.0,74.0,10.0,1.0,2.0,36.0,40.0,3.0,36.0,5.0,13.0,4.0,1.0,3.0,146.0,9.0,60.0,489.0,5.0,10.0,12.0,,10.0,180.0,33.0,1.0,10.0,21.0,1.0,2.0,4.0,13.0,259.0,45.0,449434,6.0,97.0,2.0,133.0,5.0,1.0,,7.0,14.0,64.0,4.0,2.0,4.0,,2.0,20.0,4.0,9.0,,70.0,196.0,13.0,12.0,,40.0,,66.0,,1.0,0.0,,5.0,2.0,2.0,,4.0,0.0,1.0,1.0,36.3,4.0,1.0,1.0,4.0,,25.0,4.0,288.0,10.0,13.0,6.0,4.0,21.0,,1.0,163.0,7.0,4.0,22.0,45.0,18.0,1.0,2.0,21.0,18.0,,11.0,5.0,7.0,,2.0,7.0,4.0,,,1.0,4.0,1.0,,1.0,4.0,1.0,2.0,2.0,1.0,3.0,3.0,5.0,,4.0,,1.0,,2.0,,,,,,,2.0,35.93,105949.43,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,3.0,,,,,,,,,
20,2444669,2025-01-06 20:00:00,"Molineux Stadium, Wolverhampton",29940,Away,Nottingham Forest,Wolverhampton Wanderers,3,0,W,2,0,0,0,,2.0,50.0,2.0,,1.0,21.0,35.0,2.0,3.0,8.0,5.0,,136.0,2.0,4.0,3.0,,8.0,3.0,87.0,123.0,48.0,11.0,1.0,12.0,,,,10.0,12.0,,35.0,3.0,4.0,23.0,157.0,1.0,0.0,113.0,8.0,,,77.0,36.0,5.0,58.0,7.0,11.0,3.0,3.0,2.0,123.0,9.0,80.0,549.0,4.0,10.0,23.0,,10.0,276.0,29.0,2.0,6.0,11.0,2.0,6.0,3.0,15.0,341.0,51.0,90585,7.0,131.0,4.0,151.0,5.0,1.0,4.0,4.0,8.0,37.0,2.0,4.0,3.0,,3.0,13.0,4.0,5.0,1.0,50.0,286.0,10.0,4.0,1.0,22.0,1.0,49.0,,3.0,0.0,3.0,5.0,6.0,3.0,,4.0,0.0,1.0,2.0,39.2,8.0,,,3.0,2.0,26.0,3.0,361.0,10.0,6.0,13.0,6.0,26.0,1.0,4.0,220.0,6.0,3.0,16.0,72.0,14.0,1.0,1.0,11.0,18.0,,7.0,5.0,11.0,,1.0,4.0,3.0,,1.0,,2.0,2.0,,1.0,4.0,1.0,,2.0,,3.0,1.0,2.0,,2.0,1.0,2.0,,,,,,1.0,,1.0,3.0,,,1.0,,3.0,1.0,,,,3.0,2.0,,,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,,
21,2444675,2025-01-14 20:00:00,"The City Ground, Nottingham",30249,Home,Nottingham Forest,Liverpool,1,1,D,1,0,0,0,1.0,1.0,44.0,1.0,2.0,,23.0,58.0,2.0,4.0,2.0,5.0,1.0,107.0,,6.0,1.0,2.0,3.0,3.0,51.0,127.0,46.0,6.0,2.0,18.0,1.0,,1.0,9.0,15.0,1.0,58.0,,4.0,26.0,80.0,,0.0,85.0,7.0,,,41.0,25.0,3.0,32.0,9.0,17.0,4.0,3.0,1.0,127.0,14.0,45.0,458.0,2.0,8.0,17.0,,9.0,145.0,25.0,,6.0,28.0,2.0,7.0,,21.0,210.0,42.0,90585,,79.0,6.0,95.0,4.0,,,11.0,13.0,39.0,2.0,2.0,1.0,,1.0,17.0,9.0,7.0,,62.0,159.0,10.0,4.0,,25.0,,59.0,,,0.0,,9.0,4.0,1.0,1.0,1.0,0.0,,,29.0,8.0,1.0,2.0,1.0,2.0,23.0,,235.0,9.0,3.0,14.0,1.0,21.0,,,149.0,2.0,4.0,10.0,52.0,13.0,1.0,1.0,28.0,20.0,1.0,5.0,5.0,13.0,2.0,1.0,11.0,,,,,1.0,1.0,,,1.0,,1.0,3.0,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,
22,2444688,2025-01-19 14:00:00,"The City Ground, Nottingham",30180,Home,Nottingham Forest,Southampton,3,2,W,3,0,0,0,1.0,,42.0,,,2.0,25.0,21.0,5.0,1.0,9.0,1.0,1.0,147.0,5.0,7.0,3.0,5.0,9.0,5.0,77.0,116.0,63.0,14.0,,22.0,2.0,,1.0,18.0,11.0,,21.0,2.0,13.0,20.0,212.0,1.0,0.0,148.0,4.0,,3.0,110.0,53.0,5.0,90.0,16.0,11.0,5.0,4.0,3.0,116.0,8.0,72.0,568.0,6.0,8.0,26.0,,8.0,307.0,18.0,,10.0,11.0,0.0,5.0,4.0,16.0,368.0,52.0,90585,4.0,111.0,9.0,124.0,3.0,2.0,2.0,4.0,3.0,49.0,,3.0,,,2.0,14.0,2.0,1.0,2.0,50.0,318.0,18.0,12.0,,27.0,1.0,54.0,1.0,1.0,0.0,2.0,8.0,2.0,1.0,2.0,6.0,0.0,5.0,3.0,44.5,11.0,4.0,1.0,,2.0,30.0,2.0,386.0,8.0,6.0,14.0,7.0,26.0,,4.0,280.0,10.0,11.0,19.0,115.0,19.0,1.0,2.0,11.0,19.0,2.0,7.0,5.0,12.0,,2.0,4.0,2.0,,,,,3.0,,,,2.0,1.0,2.0,1.0,3.0,,4.0,,,,2.0,,1.0,,1.0,,1.0,,1.0,3.0,,,,,1.0,1.0,1.0,,,2.0,,,2.0,1.0,,,,,,3.0,,,,,,1.0,3.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,
23,2444690,2025-01-25 15:00:00,"Vitality Stadium, Bournemouth",11228,Away,Nottingham Forest,Bournemouth,0,5,L,0,1,0,0,1.0,,46.0,,2.0,3.0,19.0,24.0,6.0,3.0,11.0,5.0,1.0,152.0,6.0,8.0,,3.0,12.0,4.0,62.0,146.0,48.0,18.0,2.0,9.0,2.0,1.0,1.0,23.0,6.0,2.0,24.0,9.0,4.0,23.0,146.0,,0.0,131.0,12.0,1.0,1.0,55.0,50.0,7.0,49.0,14.0,22.0,7.0,5.0,2.0,146.0,11.0,75.0,540.0,10.0,11.0,34.0,2.0,5.0,237.0,23.0,,11.0,12.0,3.0,3.0,5.0,20.0,319.0,56.0,449434,6.0,113.0,8.0,127.0,3.0,,3.0,10.0,5.0,54.0,4.0,2.0,3.0,,,14.0,5.0,4.0,1.0,44.0,253.0,9.0,11.0,2.0,23.0,4.0,64.0,,1.0,0.0,2.0,3.0,3.0,,5.0,3.0,0.0,4.0,5.0,49.0,16.0,3.0,1.0,3.0,5.0,37.0,9.0,338.0,5.0,16.0,14.0,9.0,36.0,2.0,6.0,234.0,10.0,4.0,20.0,82.0,14.0,,2.0,12.0,11.0,4.0,8.0,5.0,14.0,,2.0,10.0,9.0,,,1.0,,5.0,,,,,,,2.0,1.0,,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,2.0,1.0,2.0,,36.22,101257.46,2.0,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,3.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,
24,2444708,2025-02-01 12:30:00,"The City Ground, Nottingham",30164,Home,Nottingham Forest,Brighton and Hove Albion,7,0,W,3,0,0,0,2.0,5.0,55.0,2.0,2.0,,26.0,38.0,3.0,3.0,11.0,6.0,1.0,130.0,4.0,15.0,7.0,3.0,12.0,9.0,65.0,122.0,63.0,14.0,1.0,8.0,2.0,1.0,2.0,10.0,15.0,1.0,38.0,4.0,6.0,27.0,134.0,,0.0,91.0,8.0,,1.0,70.0,35.0,8.0,61.0,6.0,22.0,3.0,1.0,,122.0,6.0,70.0,543.0,7.0,7.0,29.0,,7.0,246.0,28.0,,8.0,22.0,1.0,2.0,4.0,13.0,305.0,47.0,449434,5.0,126.0,4.0,148.0,3.0,4.0,1.0,10.0,7.0,51.0,1.0,1.0,2.0,,4.0,23.0,4.0,2.0,,50.0,256.0,12.0,14.0,1.0,20.0,2.0,61.0,,,0.0,,6.0,3.0,7.0,,1.0,0.0,2.0,2.0,37.4,12.0,7.0,1.0,2.0,1.0,36.0,4.0,326.0,7.0,13.0,17.0,4.0,15.0,2.0,3.0,188.0,8.0,5.0,16.0,65.0,12.0,3.0,1.0,22.0,21.0,,11.0,5.0,23.0,,1.0,10.0,4.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,,,2.0,4.0,1.0,1.0,,2.0,,,1.0,,,1.0,1.0,,,,4.0,34.39,110847.11,,,3.0,,2.0,4.5034,2.0,3.0,,1.3336,,3.0,1.0,2.0,1.47644,,3.4085,1.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,
25,2444713,2025-02-15 15:00:00,"Craven Cottage, London",27164,Away,Nottingham Forest,Fulham,1,2,L,1,1,0,0,,,48.0,,2.0,2.0,25.0,30.0,2.0,3.0,6.0,8.0,1.0,142.0,4.0,7.0,1.0,1.0,5.0,2.0,96.0,110.0,44.0,8.0,1.0,16.0,1.0,,,18.0,7.0,,30.0,4.0,9.0,27.0,187.0,1.0,0.0,109.0,8.0,,1.0,82.0,36.0,3.0,81.0,14.0,8.0,2.0,5.0,1.0,110.0,20.0,85.0,584.0,4.0,5.0,16.0,,8.0,325.0,17.0,1.0,7.0,17.0,0.0,6.0,2.0,10.0,380.0,51.0,449434,1.0,160.0,8.0,170.0,1.0,,,4.0,8.0,37.0,,1.0,7.0,,1.0,18.0,4.0,5.0,,49.0,343.0,12.0,5.0,,23.0,,52.0,1.0,1.0,0.0,1.0,8.0,6.0,1.0,2.0,3.0,0.0,4.0,,44.5,4.0,,4.0,8.0,3.0,28.0,4.0,404.0,8.0,3.0,20.0,3.0,25.0,,2.0,252.0,5.0,8.0,15.0,85.0,22.0,1.0,2.0,17.0,10.0,2.0,6.0,3.0,12.0,,2.0,4.0,4.0,,,,,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,1.0,34.61,102261.22,1.0,,1.0,,,1.0642,,1.0,,3.7715,,4.0,,,0.271586,,0.4248,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
