gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,penaltySave,attFreekickTotal,shotFastbreak,attBxRight,cleanSheet,totalFastbreak,freekickTotal,penaltyConceded,attFastbreak,penaltyFaced,attFreekickMiss,attCmissRight,attSvHighRight,attCmissLeft,punches,attCmissHighRight,goalsConcededObox,attGoalLowLeft,attOboxGoal,contentiousDecision,postScoringAtt,attIboxPost,attOneOnOne,hitWoodwork,attPostHigh,attSvHighCentre,bigChanceScored,attLfGoal,attGoalLowCentre,forwardGoals,errorLeadToShot,accurateKeeperSweeper,totalKeeperSweeper,attFreekickTarget,penaltyWon,attPostLeft,attHdPost,sixYardBlock,attPenGoal,attGoalLowRight,attFreekickPost,attOboxPost,attPostRight,attHdGoal,accurateThroughBall,ptsGainedLosingPos,attMissHighLeft,accuratePullBack,attObxdLeft,clearanceOffLine,goalAssistSetplay,goalFastbreak,subsGoals,penGoalsConceded,errorLeadToGoal,attGoalHighCentre,defenderGoals,secondYellow,attLgCentre,attGoalHighLeft,attCmissHighLeft,goalAssistDeadball
11,2292919,2022-10-15 15:00:00,"Molineux Stadium, Wolverhampton",31554,Home,Wolverhampton Wanderers,Nottingham Forest,1,0,W,0,0,0,0,1.0,,19.0,52.0,1.0,2.0,17.0,23.0,1.0,3.0,8.0,2.0,1.0,138.0,7.0,5.0,3.0,1.0,3.0,7.0,2.0,129.0,130.0,40.0,9.0,,17.0,,,,,22.0,8.0,,1.0,23.0,4.0,2.0,31.0,181.0,1.0,0.0,119.0,17.0,1.0,,1.0,,2.0,,42.0,67.0,2.0,57.0,2.0,2.0,18.0,13.0,1.0,1.0,,130.0,,6.0,111.0,615.0,6.0,3.0,22.0,,5.0,344.0,21.0,2.0,16.0,,2.0,2.0,5.0,19.0,411.0,57.0,,510362,3.0,179.0,,15.0,,197.0,8.0,1.0,,13.0,10.0,56.0,1.0,,4.0,2.0,3.0,,14.0,4.0,3.0,1.0,47.0,355.0,11.0,7.0,1.0,13.0,2.0,58.0,,0.0,1.0,5.0,1.0,1.0,,2.0,0.0,4.0,,,3.0,58.0,19.0,1.0,2.0,2.0,3.0,2.0,30.0,4.0,,435.0,5.0,9.0,16.0,5.0,29.0,1.0,4.0,260.0,3.0,2.0,9.0,82.0,24.0,,,16.0,17.0,,6.0,5.0,10.0,,,7.0,4.0,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,2292924,2022-10-18 20:15:00,"Selhurst Park, London",25125,Away,Wolverhampton Wanderers,Crystal Palace,1,2,L,1,0,0,0,,,19.0,69.0,1.0,1.0,28.0,16.0,3.0,1.0,7.0,2.0,3.0,147.0,9.0,4.0,4.0,1.0,1.0,7.0,4.0,100.0,141.0,58.0,10.0,,17.0,2.0,1.0,,2.0,12.0,15.0,,1.0,16.0,2.0,9.0,33.0,124.0,,0.0,100.0,18.0,2.0,,1.0,1.0,,,38.0,49.0,5.0,69.0,,1.0,10.0,18.0,3.0,1.0,1.0,141.0,2.0,9.0,112.0,625.0,5.0,2.0,20.0,,9.0,318.0,35.0,8.0,7.0,1.0,1.0,5.0,2.0,16.0,402.0,40.0,,501837,4.0,220.0,1.0,9.0,,252.0,8.0,,,18.0,9.0,69.0,,,1.0,4.0,3.0,1.0,15.0,5.0,6.0,1.0,60.0,340.0,13.0,11.0,1.0,21.0,1.0,64.0,,0.0,3.0,4.0,1.0,1.0,2.0,,0.0,3.0,1.0,,2.0,48.7,16.0,1.0,3.0,1.0,3.0,1.0,39.0,2.0,,428.0,9.0,17.0,12.0,5.0,18.0,1.0,3.0,188.0,7.0,6.0,12.0,65.0,26.0,3.0,,7.0,29.0,2.0,8.0,4.0,10.0,3.0,3.0,10.0,3.0,,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,3.0,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13,2292939,2022-10-23 14:00:00,"Molineux Stadium, Wolverhampton",31425,Home,Wolverhampton Wanderers,Leicester City,0,4,L,0,2,0,0,,1.0,22.0,63.0,,6.0,35.0,7.0,6.0,5.0,15.0,,2.0,167.0,14.0,12.0,14.0,,4.0,16.0,6.0,145.0,137.0,52.0,21.0,2.0,9.0,6.0,,2.0,4.0,23.0,7.0,,,7.0,8.0,6.0,40.0,191.0,,0.0,143.0,10.0,,,,,3.0,1.0,66.0,49.0,12.0,78.0,,2.0,15.0,21.0,6.0,5.0,4.0,137.0,2.0,4.0,147.0,735.0,14.0,6.0,41.0,3.0,7.0,439.0,25.0,6.0,2.0,,2.0,,4.0,18.0,516.0,60.0,1.0,501837,9.0,279.0,2.0,7.0,1.0,301.0,5.0,,,11.0,4.0,45.0,,,4.0,3.0,8.0,,20.0,1.0,4.0,1.0,54.0,458.0,10.0,4.0,2.0,11.0,5.0,59.0,1.0,0.0,1.0,2.0,,,4.0,1.0,0.0,8.0,,,6.0,60.9,17.0,2.0,3.0,4.0,8.0,8.0,38.0,9.0,1.0,537.0,7.0,11.0,18.0,7.0,39.0,4.0,3.0,259.0,10.0,6.0,17.0,100.0,27.0,,,2.0,11.0,3.0,14.0,4.0,25.0,,,11.0,9.0,,1.0,,,,,1.0,,,,1.0,2.0,,2.0,,,1.0,,,,,,,,,3.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
14,2292942,2022-10-29 15:00:00,"Gtech Community Stadium, Brentford",17051,Away,Wolverhampton Wanderers,Brentford,1,1,D,0,0,1,0,1.0,2.0,22.0,59.0,,1.0,17.0,28.0,7.0,2.0,6.0,2.0,1.0,119.0,13.0,2.0,8.0,1.0,,10.0,4.0,68.0,134.0,45.0,13.0,2.0,18.0,3.0,1.0,2.0,1.0,17.0,6.0,,,28.0,6.0,2.0,47.0,121.0,2.0,0.0,91.0,17.0,,,1.0,,,2.0,44.0,44.0,5.0,40.0,1.0,1.0,12.0,18.0,7.0,4.0,4.0,134.0,,8.0,77.0,496.0,7.0,5.0,18.0,,8.0,220.0,26.0,1.0,19.0,1.0,3.0,3.0,5.0,16.0,283.0,41.0,,501837,3.0,110.0,,8.0,,128.0,7.0,1.0,,11.0,7.0,59.0,,,,1.0,3.0,1.0,22.0,4.0,2.0,1.0,50.0,229.0,9.0,9.0,2.0,13.0,4.0,56.0,1.0,0.0,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,,2.0,42.2,13.0,2.0,5.0,2.0,3.0,3.0,23.0,6.0,2.0,304.0,8.0,4.0,21.0,6.0,21.0,2.0,2.0,193.0,9.0,2.0,11.0,60.0,23.0,,,19.0,17.0,1.0,9.0,2.0,21.0,,,11.0,6.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,
15,2292959,2022-11-05 15:00:00,"Molineux Stadium, Wolverhampton",30732,Home,Wolverhampton Wanderers,Brighton and Hove Albion,2,3,L,2,2,1,0,,1.0,17.0,45.0,3.0,1.0,18.0,18.0,2.0,1.0,6.0,5.0,1.0,104.0,5.0,2.0,6.0,2.0,6.0,5.0,5.0,58.0,102.0,41.0,8.0,1.0,15.0,3.0,1.0,,,14.0,7.0,1.0,,18.0,4.0,1.0,40.0,101.0,1.0,0.0,82.0,15.0,2.0,2.0,1.0,,3.0,2.0,27.0,48.0,4.0,40.0,1.0,,10.0,17.0,2.0,2.0,1.0,102.0,1.0,12.0,54.0,406.0,2.0,6.0,13.0,1.0,7.0,180.0,20.0,2.0,7.0,1.0,2.0,4.0,1.0,9.0,230.0,43.0,,531363,3.0,94.0,,5.0,1.0,108.0,13.0,2.0,,11.0,8.0,53.0,,,,1.0,1.0,1.0,8.0,7.0,5.0,,49.0,193.0,9.0,9.0,2.0,10.0,2.0,51.0,,0.0,2.0,9.0,2.0,2.0,3.0,2.0,1.0,1.0,,1.0,1.0,28.6,8.0,,3.0,1.0,2.0,2.0,22.0,4.0,2.0,256.0,7.0,7.0,18.0,1.0,20.0,1.0,,162.0,6.0,1.0,8.0,52.0,14.0,2.0,,7.0,18.0,3.0,4.0,4.0,13.0,3.0,2.0,11.0,4.0,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,2.0,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
16,2292969,2022-11-12 19:45:00,"Molineux Stadium, Wolverhampton",34624,Home,Wolverhampton Wanderers,Arsenal,0,2,L,0,0,0,0,,,22.0,51.0,,2.0,16.0,23.0,4.0,3.0,6.0,1.0,2.0,126.0,8.0,1.0,9.0,,1.0,6.0,2.0,73.0,111.0,52.0,11.0,1.0,9.0,1.0,,,2.0,15.0,9.0,,1.0,23.0,4.0,3.0,46.0,133.0,,0.0,90.0,5.0,,,,1.0,,1.0,35.0,51.0,2.0,67.0,,1.0,11.0,9.0,5.0,2.0,3.0,111.0,,11.0,82.0,505.0,6.0,5.0,15.0,,6.0,262.0,26.0,,17.0,,3.0,4.0,4.0,18.0,327.0,38.0,,510362,,145.0,,9.0,,169.0,2.0,,1.0,2.0,8.0,33.0,1.0,,4.0,3.0,1.0,,10.0,3.0,5.0,3.0,40.0,277.0,6.0,9.0,,6.0,2.0,51.0,,0.0,1.0,4.0,2.0,,2.0,2.0,0.0,1.0,,1.0,,37.4,16.0,,3.0,4.0,1.0,3.0,27.0,6.0,2.0,348.0,6.0,5.0,23.0,6.0,23.0,,3.0,194.0,8.0,1.0,20.0,63.0,18.0,1.0,,17.0,17.0,2.0,8.0,3.0,14.0,,1.0,2.0,6.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,
17,2292975,2022-12-26 15:00:00,"Goodison Park, Liverpool",39252,Away,Wolverhampton Wanderers,Everton,2,1,W,1,1,0,0,1.0,1.0,25.0,62.0,2.0,,16.0,19.0,3.0,2.0,4.0,4.0,,140.0,16.0,2.0,7.0,2.0,1.0,4.0,4.0,67.0,143.0,47.0,7.0,1.0,12.0,2.0,,,1.0,10.0,12.0,,,19.0,,5.0,27.0,128.0,,0.0,104.0,22.0,1.0,,,1.0,,,55.0,73.0,4.0,65.0,1.0,1.0,10.0,13.0,3.0,2.0,2.0,143.0,1.0,7.0,91.0,555.0,3.0,2.0,13.0,1.0,12.0,260.0,29.0,3.0,10.0,1.0,6.0,2.0,,28.0,342.0,43.0,,510362,2.0,148.0,,8.0,1.0,176.0,14.0,1.0,1.0,6.0,6.0,58.0,,,1.0,2.0,8.0,1.0,20.0,5.0,2.0,,50.0,274.0,9.0,8.0,,17.0,1.0,53.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,,0.0,2.0,1.0,1.0,1.0,41.2,22.0,,4.0,1.0,8.0,1.0,23.0,2.0,,363.0,12.0,9.0,11.0,2.0,15.0,,,197.0,4.0,4.0,12.0,70.0,20.0,1.0,,10.0,19.0,1.0,5.0,5.0,15.0,,1.0,6.0,2.0,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,3.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,
18,2292989,2022-12-31 12:30:00,"Molineux Stadium, Wolverhampton",31658,Home,Wolverhampton Wanderers,Manchester United,0,1,L,0,0,0,0,,,25.0,70.0,1.0,5.0,20.0,11.0,2.0,1.0,8.0,6.0,2.0,122.0,12.0,5.0,13.0,,3.0,8.0,3.0,100.0,147.0,46.0,10.0,1.0,10.0,2.0,,2.0,1.0,18.0,6.0,,1.0,11.0,6.0,2.0,53.0,130.0,,0.0,94.0,11.0,3.0,,,,,,44.0,50.0,7.0,55.0,,,12.0,15.0,2.0,5.0,,147.0,,11.0,117.0,590.0,6.0,4.0,13.0,1.0,14.0,287.0,31.0,1.0,6.0,,1.0,5.0,1.0,18.0,375.0,33.0,,510362,4.0,176.0,,7.0,,211.0,6.0,,,9.0,6.0,42.0,,,,1.0,9.0,,16.0,5.0,6.0,,51.0,301.0,10.0,4.0,2.0,12.0,2.0,52.0,,0.0,3.0,5.0,4.0,,1.0,2.0,0.0,3.0,,,3.0,45.7,16.0,1.0,6.0,3.0,11.0,6.0,31.0,7.0,,394.0,14.0,6.0,23.0,1.0,23.0,2.0,1.0,201.0,6.0,1.0,7.0,62.0,22.0,,,6.0,16.0,1.0,6.0,5.0,24.0,,,9.0,7.0,,2.0,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2292991,2023-01-04 20:00:00,"Villa Park, Birmingham",39978,Away,Wolverhampton Wanderers,Aston Villa,1,1,D,1,0,0,0,,1.0,15.0,55.0,1.0,2.0,33.0,35.0,2.0,4.0,8.0,2.0,1.0,125.0,5.0,5.0,4.0,1.0,1.0,8.0,3.0,101.0,112.0,51.0,10.0,1.0,9.0,2.0,,1.0,1.0,23.0,17.0,,,35.0,7.0,1.0,35.0,118.0,,0.0,82.0,12.0,,,1.0,,2.0,1.0,47.0,54.0,4.0,71.0,,1.0,16.0,18.0,2.0,4.0,1.0,112.0,,8.0,86.0,578.0,5.0,4.0,16.0,,6.0,308.0,28.0,2.0,21.0,1.0,3.0,7.0,4.0,14.0,365.0,38.0,,510362,4.0,208.0,1.0,10.0,,232.0,9.0,,1.0,8.0,9.0,38.0,,,1.0,4.0,7.0,,13.0,5.0,5.0,2.0,61.0,321.0,5.0,6.0,2.0,14.0,4.0,46.0,,0.0,1.0,7.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,44.1,11.0,2.0,4.0,1.0,7.0,3.0,25.0,8.0,1.0,383.0,6.0,7.0,22.0,4.0,23.0,4.0,3.0,174.0,3.0,1.0,13.0,60.0,15.0,2.0,,21.0,29.0,1.0,6.0,5.0,8.0,2.0,2.0,8.0,8.0,,,,3.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
20,2293009,2023-01-14 15:00:00,"Molineux Stadium, Wolverhampton",31511,Home,Wolverhampton Wanderers,West Ham United,1,0,W,0,0,0,0,,,20.0,63.0,,3.0,21.0,35.0,7.0,1.0,10.0,3.0,3.0,172.0,12.0,3.0,8.0,1.0,,11.0,4.0,146.0,127.0,46.0,17.0,4.0,19.0,1.0,,1.0,1.0,14.0,9.0,,2.0,35.0,3.0,9.0,45.0,212.0,,0.0,137.0,10.0,2.0,,1.0,,,,48.0,72.0,7.0,80.0,1.0,1.0,11.0,20.0,7.0,3.0,1.0,127.0,,9.0,150.0,754.0,10.0,4.0,25.0,,4.0,447.0,29.0,3.0,20.0,,0.0,8.0,4.0,20.0,530.0,64.0,,510362,6.0,251.0,,8.0,,280.0,8.0,1.0,1.0,12.0,7.0,47.0,,,2.0,4.0,6.0,1.0,13.0,7.0,4.0,2.0,53.0,460.0,7.0,7.0,1.0,13.0,3.0,56.0,1.0,0.0,,3.0,4.0,1.0,,,0.0,2.0,,1.0,2.0,58.5,20.0,2.0,3.0,1.0,6.0,7.0,29.0,4.0,,548.0,4.0,7.0,16.0,6.0,22.0,1.0,4.0,282.0,14.0,8.0,16.0,98.0,24.0,3.0,,20.0,15.0,,14.0,5.0,12.0,,3.0,12.0,4.0,,,1.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,
21,2293017,2023-01-22 14:00:00,"Etihad Stadium, Manchester",53282,Away,Wolverhampton Wanderers,Manchester City,0,3,L,0,1,0,0,,,15.0,50.0,1.0,4.0,31.0,20.0,4.0,4.0,6.0,3.0,1.0,139.0,10.0,4.0,5.0,,,6.0,1.0,116.0,101.0,39.0,10.0,,14.0,,,,1.0,17.0,8.0,,1.0,20.0,5.0,2.0,41.0,140.0,,0.0,96.0,10.0,2.0,1.0,,,,,37.0,63.0,4.0,89.0,5.0,2.0,12.0,21.0,4.0,5.0,3.0,101.0,,10.0,134.0,634.0,6.0,4.0,11.0,,11.0,383.0,21.0,1.0,9.0,,2.0,2.0,2.0,13.0,449.0,37.0,,88484,6.0,273.0,,7.0,,301.0,5.0,,,10.0,11.0,38.0,,,1.0,,4.0,,10.0,3.0,10.0,1.0,52.0,409.0,10.0,6.0,,3.0,3.0,41.0,,0.0,1.0,5.0,3.0,,3.0,2.0,0.0,3.0,,,2.0,44.7,13.0,1.0,7.0,,4.0,4.0,27.0,7.0,,478.0,11.0,2.0,18.0,5.0,23.0,1.0,2.0,194.0,4.0,2.0,9.0,68.0,17.0,3.0,,9.0,15.0,3.0,7.0,5.0,11.0,,3.0,10.0,7.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,
22,2293029,2023-02-04 15:00:00,"Molineux Stadium, Wolverhampton",31664,Home,Wolverhampton Wanderers,Liverpool,3,0,W,2,0,0,0,,,16.0,69.0,,1.0,29.0,39.0,5.0,2.0,7.0,2.0,3.0,132.0,6.0,3.0,6.0,3.0,1.0,9.0,6.0,108.0,131.0,41.0,12.0,,16.0,1.0,1.0,1.0,2.0,5.0,10.0,,3.0,39.0,1.0,7.0,57.0,127.0,,0.0,81.0,9.0,2.0,,1.0,2.0,1.0,2.0,41.0,58.0,4.0,65.0,,1.0,5.0,16.0,5.0,1.0,2.0,131.0,3.0,12.0,102.0,583.0,8.0,4.0,12.0,1.0,4.0,294.0,35.0,3.0,18.0,1.0,1.0,12.0,5.0,14.0,384.0,38.0,1.0,88484,6.0,181.0,4.0,3.0,2.0,216.0,6.0,1.0,1.0,8.0,10.0,40.0,,,1.0,1.0,3.0,1.0,11.0,10.0,3.0,1.0,74.0,305.0,5.0,5.0,,26.0,1.0,66.0,,0.0,3.0,7.0,4.0,3.0,,,0.0,3.0,1.0,,2.0,41.8,12.0,1.0,3.0,,3.0,1.0,30.0,2.0,2.0,407.0,4.0,6.0,27.0,5.0,11.0,1.0,3.0,196.0,8.0,6.0,14.0,51.0,25.0,,,18.0,16.0,,9.0,5.0,10.0,,,8.0,2.0,,,3.0,1.0,1.0,4.0,,,3.0,,,,,1.0,,,,,,,,,2.0,,,1.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,2.0,,1.0,,,,1.0,1.0,,,,,
23,2293038,2023-02-11 15:00:00,"St. Mary's Stadium, Southampton",29751,Away,Wolverhampton Wanderers,Southampton,2,1,W,0,1,1,0,1.0,,26.0,70.0,,4.0,32.0,31.0,4.0,3.0,7.0,1.0,1.0,167.0,11.0,1.0,13.0,2.0,,5.0,2.0,118.0,147.0,61.0,11.0,3.0,31.0,1.0,,,1.0,11.0,12.0,,,31.0,,6.0,38.0,148.0,,0.0,98.0,14.0,,,,1.0,,1.0,55.0,85.0,3.0,94.0,,,11.0,17.0,4.0,5.0,1.0,147.0,,12.0,113.0,701.0,5.0,1.0,17.0,,6.0,380.0,44.0,5.0,14.0,,3.0,5.0,2.0,23.0,466.0,47.0,,88484,5.0,249.0,,6.0,1.0,286.0,9.0,1.0,,9.0,9.0,74.0,1.0,,1.0,3.0,4.0,1.0,16.0,5.0,3.0,1.0,77.0,396.0,12.0,14.0,,29.0,,62.0,,0.0,3.0,5.0,1.0,2.0,1.0,,1.0,1.0,,,,59.1,21.0,,3.0,1.0,5.0,7.0,28.0,2.0,1.0,492.0,6.0,9.0,20.0,2.0,13.0,,1.0,217.0,8.0,5.0,15.0,66.0,17.0,2.0,,14.0,21.0,1.0,10.0,5.0,20.0,,2.0,9.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,3.0,,,,,,,1.0,,,,,1.0,,,,
24,2293049,2023-02-18 15:00:00,"Molineux Stadium, Wolverhampton",31222,Home,Wolverhampton Wanderers,Bournemouth,0,1,L,0,0,0,0,1.0,1.0,14.0,73.0,,6.0,37.0,13.0,3.0,4.0,12.0,,2.0,195.0,8.0,9.0,17.0,,1.0,14.0,4.0,158.0,158.0,60.0,15.0,,24.0,3.0,,1.0,1.0,40.0,11.0,,1.0,13.0,10.0,4.0,48.0,251.0,2.0,0.0,169.0,12.0,,,,1.0,,,58.0,136.0,9.0,104.0,,1.0,30.0,18.0,3.0,13.0,2.0,158.0,,3.0,159.0,822.0,11.0,3.0,43.0,1.0,2.0,504.0,36.0,,5.0,,3.0,3.0,5.0,18.0,598.0,81.0,,88484,6.0,278.0,,17.0,1.0,310.0,6.0,,2.0,4.0,3.0,53.0,,,5.0,2.0,4.0,,17.0,2.0,2.0,1.0,67.0,520.0,8.0,9.0,3.0,7.0,3.0,75.0,1.0,0.0,3.0,2.0,,,1.0,1.0,0.0,7.0,,,5.0,68.6,18.0,3.0,4.0,1.0,4.0,6.0,50.0,12.0,,616.0,2.0,6.0,19.0,5.0,49.0,2.0,3.0,346.0,6.0,4.0,19.0,127.0,28.0,1.0,,5.0,16.0,1.0,11.0,5.0,20.0,,1.0,4.0,12.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,2.0,,,,,2.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,
25,2293053,2023-02-24 20:00:00,"Craven Cottage, London",24399,Away,Wolverhampton Wanderers,Fulham,1,1,D,1,0,0,0,2.0,1.0,20.0,78.0,2.0,1.0,26.0,16.0,1.0,1.0,6.0,4.0,,165.0,13.0,6.0,15.0,1.0,2.0,8.0,2.0,108.0,151.0,65.0,8.0,,11.0,1.0,1.0,1.0,1.0,15.0,14.0,,,16.0,3.0,3.0,60.0,137.0,3.0,0.0,110.0,17.0,1.0,,1.0,,2.0,2.0,57.0,63.0,3.0,85.0,,,12.0,15.0,2.0,5.0,2.0,151.0,1.0,3.0,84.0,635.0,5.0,5.0,17.0,,10.0,323.0,29.0,5.0,8.0,1.0,0.0,3.0,5.0,22.0,419.0,61.0,1.0,88484,6.0,206.0,1.0,5.0,2.0,233.0,9.0,1.0,,7.0,8.0,55.0,,,,1.0,4.0,1.0,15.0,7.0,4.0,1.0,63.0,337.0,12.0,9.0,2.0,11.0,,68.0,,0.0,,4.0,2.0,1.0,1.0,,0.0,5.0,1.0,,4.0,49.5,21.0,3.0,5.0,,4.0,1.0,32.0,3.0,2.0,442.0,10.0,12.0,26.0,5.0,28.0,1.0,3.0,224.0,3.0,2.0,19.0,68.0,37.0,,,8.0,19.0,,6.0,4.0,23.0,2.0,,7.0,3.0,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
26,2293069,2023-03-04 15:00:00,"Molineux Stadium, Wolverhampton",31585,Home,Wolverhampton Wanderers,Tottenham Hotspur,1,0,W,0,0,0,0,1.0,,20.0,56.0,3.0,,22.0,30.0,4.0,,4.0,6.0,3.0,129.0,8.0,3.0,8.0,1.0,1.0,5.0,5.0,111.0,104.0,52.0,8.0,,10.0,1.0,,1.0,1.0,10.0,9.0,,3.0,30.0,2.0,5.0,26.0,129.0,,0.0,88.0,11.0,3.0,,,2.0,,3.0,40.0,61.0,3.0,75.0,,1.0,8.0,21.0,4.0,3.0,1.0,104.0,2.0,7.0,106.0,595.0,4.0,2.0,11.0,1.0,4.0,324.0,27.0,3.0,15.0,,1.0,9.0,1.0,11.0,391.0,42.0,,88484,2.0,217.0,2.0,5.0,,241.0,5.0,1.0,,10.0,6.0,33.0,,,2.0,3.0,4.0,1.0,10.0,14.0,,1.0,60.0,343.0,17.0,8.0,,18.0,1.0,49.0,,0.0,1.0,8.0,3.0,1.0,,1.0,0.0,2.0,,1.0,1.0,46.5,11.0,,8.0,,4.0,,24.0,4.0,3.0,421.0,4.0,1.0,8.0,3.0,15.0,1.0,2.0,190.0,7.0,5.0,9.0,55.0,14.0,2.0,,15.0,18.0,,7.0,5.0,12.0,,2.0,10.0,4.0,,,,2.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,1.0,,
