gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,goalAssistSetplay,goalAssistDeadball,goals,attOneOnOne,attSvHighRight,attMissRight,secondYellow,subsGoals,goalAssist,attCmissHigh,attMissHigh,attIboxGoal,attPostHigh,attCmissHighRight,goalAssistIntentional,attHdGoal,bigChanceScored,attGoalLowLeft,attCmissRight,attFreekickTotal,accurateKeeperSweeper,goalAssistOpenplay,cleanSheet,freekickTotal,totalKeeperSweeper,goalsOpenplay,attObpGoal,attFreekickTarget,handBall,attGoalHighRight,attSvHighLeft,errorLeadToShot,forwardGoals,attGoalLowCentre,midfielderGoals,attLgCentre,attRfGoal,ownGoals,attCmissLeft,attIboxOwnGoal,ptsDroppedWinningPos,attLfGoal,goalFastbreak,penaltyConceded,penaltyFaced,penGoalsConceded,goalsConcededObox,foulThrowIn,ptsGainedLosingPos,attMissHighLeft,sixYardBlock,attCmissHighLeft,attOboxPost,errorLeadToGoal,attFreekickMiss,penaltyWon,attGoalHighCentre,attPenGoal,attGoalHighLeft,accuratePullBack,attObxdLeft,attPostRight,defenderGoals,attObxdRight,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals
11,2367646,2023-11-04 15:00:00,"Bramall Lane, Sheffield",29454.0,Away,Wolverhampton Wanderers,Sheffield United,1,2,L,0,0,0,0,,55.0,,20.0,25.0,3.0,3.0,7.0,,1.0,168.0,3.0,8.0,2.0,8.0,3.0,135.0,147.0,57.0,10.0,2.0,11.0,2.0,,2.0,,,3.0,10.0,,7.0,,25.0,4.0,12.0,32.0,146.0,1.0,0.0,88.0,10.0,,,,1.0,1.0,40.0,68.0,4.0,80.0,,6.0,18.0,3.0,1.0,1.0,147.0,2.0,,4.0,,118.0,694.0,5.0,4.0,19.0,,,6.0,385.0,36.0,1.0,13.0,3.0,2.0,4.0,27.0,475.0,34.0,2.0,,88484,4.0,264.0,2.0,4.0,,302.0,3.0,,5.0,13.0,44.0,3.0,3.0,5.0,13.0,7.0,11.0,50.0,407.0,11.0,2.0,2.0,14.0,3.0,70.0,,,,0.0,3.0,4.0,,2.0,3.0,0.0,1.0,2.0,1.0,61.9,25.0,1.0,4.0,,1.0,5.0,2.0,,39.0,4.0,2.0,501.0,6.0,11.0,20.0,5.0,19.0,2.0,4.0,209.0,5.0,8.0,25.0,56.0,10.0,1.0,13.0,13.0,1.0,6.0,3.0,21.0,1.0,5.0,4.0,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,
12,2367657,2023-11-11 12:30:00,"Molineux Stadium, Wolverhampton",31642.0,Home,Wolverhampton Wanderers,Tottenham Hotspur,2,1,W,0,1,0,0,,59.0,2.0,38.0,10.0,6.0,3.0,10.0,1.0,1.0,119.0,3.0,21.0,3.0,11.0,4.0,119.0,125.0,69.0,17.0,5.0,9.0,2.0,1.0,1.0,,,,26.0,,13.0,,10.0,10.0,4.0,41.0,148.0,1.0,0.0,116.0,19.0,,1.0,1.0,2.0,1.0,62.0,43.0,8.0,77.0,,16.0,22.0,7.0,5.0,2.0,125.0,3.0,,3.0,,115.0,649.0,6.0,1.0,22.0,1.0,,10.0,346.0,23.0,5.0,5.0,4.0,2.0,3.0,20.0,409.0,45.0,1.0,1.0,88484,7.0,219.0,2.0,9.0,2.0,240.0,12.0,,14.0,4.0,56.0,1.0,4.0,3.0,13.0,3.0,4.0,60.0,364.0,15.0,9.0,3.0,15.0,4.0,50.0,1.0,,,0.0,,3.0,,1.0,,0.0,2.0,1.0,4.0,41.5,20.0,2.0,12.0,1.0,,3.0,7.0,,33.0,11.0,1.0,430.0,10.0,9.0,25.0,6.0,36.0,1.0,4.0,216.0,10.0,4.0,10.0,83.0,21.0,2.0,5.0,23.0,1.0,11.0,4.0,31.0,2.0,14.0,11.0,,1.0,,,2.0,,,3.0,,1.0,2.0,,1.0,2.0,,,2.0,,2.0,2.0,1.0,,1.0,2.0,,,1.0,2.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
13,2367661,2023-11-27 20:00:00,"Craven Cottage, London",24366.0,Away,Wolverhampton Wanderers,Fulham,2,3,L,1,1,0,0,1.0,59.0,,11.0,22.0,3.0,2.0,7.0,3.0,2.0,145.0,2.0,5.0,1.0,8.0,6.0,105.0,144.0,34.0,10.0,,11.0,4.0,1.0,2.0,1.0,3.0,,6.0,,6.0,,22.0,2.0,1.0,35.0,91.0,,0.0,75.0,13.0,3.0,1.0,,,,35.0,52.0,4.0,67.0,2.0,4.0,24.0,3.0,1.0,2.0,144.0,1.0,,6.0,,115.0,594.0,6.0,2.0,25.0,1.0,1.0,4.0,305.0,21.0,,13.0,2.0,3.0,4.0,16.0,407.0,41.0,2.0,,88484,4.0,236.0,,3.0,1.0,265.0,8.0,2.0,16.0,7.0,45.0,7.0,1.0,7.0,11.0,6.0,6.0,57.0,325.0,12.0,4.0,1.0,22.0,1.0,65.0,1.0,1.0,,0.0,2.0,6.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,40.2,14.0,1.0,4.0,1.0,,7.0,,,24.0,2.0,,432.0,4.0,9.0,13.0,4.0,15.0,1.0,1.0,173.0,5.0,1.0,6.0,33.0,26.0,1.0,13.0,11.0,3.0,7.0,3.0,13.0,1.0,16.0,2.0,,2.0,,,2.0,,,2.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,2.0,,,,1.0,,,,,,,2.0,2.0,2.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,
14,2367669,2023-12-02 15:00:00,"Emirates Stadium, London",60262.0,Away,Wolverhampton Wanderers,Arsenal,1,2,L,0,2,0,0,1.0,51.0,,24.0,18.0,,3.0,6.0,4.0,1.0,154.0,2.0,9.0,2.0,4.0,3.0,114.0,134.0,47.0,6.0,,9.0,2.0,,1.0,,,,8.0,,10.0,,18.0,,10.0,42.0,145.0,1.0,0.0,85.0,10.0,3.0,,1.0,1.0,1.0,44.0,56.0,2.0,96.0,1.0,8.0,18.0,,3.0,,134.0,2.0,,14.0,,114.0,637.0,2.0,5.0,14.0,,,8.0,363.0,24.0,2.0,9.0,2.0,5.0,2.0,12.0,450.0,46.0,1.0,1.0,88484,2.0,239.0,2.0,4.0,1.0,279.0,1.0,,10.0,10.0,37.0,3.0,,2.0,13.0,5.0,7.0,62.0,382.0,9.0,3.0,1.0,20.0,,54.0,,,2.0,0.0,2.0,4.0,4.0,2.0,1.0,0.0,2.0,,1.0,43.3,12.0,1.0,5.0,2.0,,2.0,,,22.0,,1.0,478.0,8.0,10.0,20.0,3.0,16.0,,3.0,207.0,2.0,8.0,11.0,59.0,16.0,1.0,9.0,18.0,2.0,5.0,4.0,16.0,1.0,10.0,,,,,,1.0,,,2.0,,,1.0,,,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
15,2367686,2023-12-05 19:30:00,"Molineux Stadium, Wolverhampton",30439.0,Home,Wolverhampton Wanderers,Burnley,1,0,W,1,0,0,0,2.0,48.0,,26.0,27.0,2.0,3.0,5.0,3.0,1.0,147.0,4.0,7.0,4.0,6.0,4.0,127.0,149.0,58.0,7.0,,15.0,1.0,,,,,,10.0,,12.0,2.0,27.0,4.0,6.0,34.0,138.0,,0.0,77.0,11.0,2.0,,1.0,2.0,,61.0,51.0,3.0,77.0,1.0,6.0,20.0,2.0,,,149.0,2.0,,4.0,,116.0,660.0,2.0,2.0,15.0,,,5.0,354.0,16.0,8.0,12.0,2.0,4.0,3.0,21.0,443.0,37.0,1.0,1.0,88484,2.0,236.0,1.0,4.0,2.0,277.0,11.0,1.0,9.0,9.0,49.0,3.0,2.0,1.0,21.0,8.0,4.0,60.0,370.0,15.0,5.0,3.0,28.0,1.0,60.0,,,,0.0,1.0,8.0,2.0,,,0.0,3.0,2.0,2.0,51.1,18.0,2.0,4.0,1.0,1.0,1.0,,,36.0,5.0,,467.0,5.0,6.0,21.0,3.0,19.0,1.0,3.0,200.0,2.0,6.0,19.0,48.0,26.0,2.0,12.0,17.0,,3.0,3.0,20.0,2.0,9.0,6.0,,1.0,,,1.0,,,,,,1.0,,2.0,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
16,2367697,2023-12-09 15:00:00,"Molineux Stadium, Wolverhampton",31543.0,Home,Wolverhampton Wanderers,Nottingham Forest,1,1,D,1,1,0,0,2.0,52.0,2.0,38.0,14.0,3.0,4.0,7.0,1.0,,181.0,6.0,11.0,4.0,7.0,4.0,188.0,162.0,44.0,10.0,,23.0,2.0,1.0,,,2.0,1.0,26.0,,4.0,1.0,14.0,2.0,5.0,31.0,274.0,1.0,0.0,150.0,9.0,1.0,1.0,1.0,4.0,1.0,88.0,123.0,4.0,112.0,,24.0,21.0,3.0,6.0,2.0,162.0,1.0,,6.0,,174.0,858.0,5.0,5.0,15.0,1.0,,7.0,541.0,16.0,3.0,8.0,0.0,2.0,3.0,39.0,641.0,76.0,1.0,2.0,88484,4.0,287.0,,14.0,1.0,322.0,7.0,1.0,5.0,3.0,59.0,2.0,3.0,7.0,13.0,2.0,3.0,67.0,555.0,11.0,6.0,1.0,20.0,2.0,77.0,1.0,,,0.0,3.0,3.0,,1.0,1.0,0.0,5.0,,2.0,68.1,37.0,1.0,4.0,2.0,,7.0,2.0,,53.0,4.0,1.0,655.0,7.0,14.0,16.0,4.0,30.0,1.0,2.0,359.0,4.0,5.0,13.0,101.0,25.0,2.0,8.0,9.0,1.0,7.0,4.0,18.0,2.0,5.0,4.0,,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
17,2367707,2023-12-17 14:00:00,"London Stadium, London",62455.0,Away,Wolverhampton Wanderers,West Ham United,0,3,L,0,2,0,0,,60.0,4.0,20.0,22.0,7.0,5.0,7.0,1.0,3.0,177.0,6.0,8.0,1.0,12.0,3.0,151.0,141.0,59.0,14.0,3.0,21.0,1.0,,2.0,,1.0,,24.0,,13.0,2.0,22.0,5.0,7.0,25.0,233.0,,0.0,151.0,15.0,,,1.0,3.0,,74.0,59.0,9.0,80.0,,19.0,21.0,7.0,4.0,2.0,141.0,,1.0,6.0,,133.0,735.0,10.0,,27.0,,,2.0,437.0,25.0,3.0,12.0,1.0,4.0,3.0,11.0,519.0,48.0,,1.0,88484,5.0,229.0,,12.0,1.0,256.0,13.0,,16.0,8.0,66.0,1.0,2.0,4.0,16.0,7.0,5.0,44.0,456.0,11.0,12.0,2.0,17.0,2.0,60.0,,1.0,,0.0,2.0,6.0,,3.0,,0.0,4.0,,1.0,55.8,11.0,1.0,5.0,,,4.0,7.0,,39.0,5.0,,541.0,2.0,12.0,10.0,4.0,37.0,2.0,2.0,309.0,8.0,6.0,16.0,118.0,26.0,1.0,12.0,25.0,2.0,11.0,3.0,14.0,1.0,16.0,6.0,,1.0,,,,,,1.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,2367717,2023-12-24 13:00:00,"Molineux Stadium, Wolverhampton",31641.0,Home,Wolverhampton Wanderers,Chelsea,2,1,W,0,0,0,0,,54.0,2.0,10.0,19.0,5.0,4.0,8.0,3.0,3.0,105.0,6.0,7.0,2.0,8.0,6.0,69.0,133.0,51.0,14.0,3.0,14.0,1.0,1.0,1.0,,1.0,1.0,19.0,,15.0,3.0,19.0,10.0,,22.0,92.0,,0.0,81.0,11.0,1.0,1.0,2.0,1.0,3.0,47.0,34.0,5.0,45.0,2.0,9.0,6.0,6.0,1.0,,133.0,2.0,,8.0,,47.0,457.0,5.0,4.0,21.0,1.0,1.0,12.0,168.0,15.0,3.0,11.0,3.0,8.0,3.0,16.0,245.0,40.0,,,88484,3.0,90.0,2.0,7.0,,105.0,11.0,1.0,1.0,7.0,51.0,,3.0,5.0,7.0,8.0,2.0,49.0,176.0,8.0,9.0,2.0,21.0,5.0,58.0,1.0,,,0.0,,6.0,3.0,1.0,,0.0,1.0,1.0,3.0,31.6,13.0,1.0,7.0,1.0,1.0,5.0,5.0,1.0,19.0,10.0,5.0,266.0,12.0,12.0,8.0,3.0,25.0,5.0,3.0,180.0,7.0,,14.0,42.0,22.0,,11.0,22.0,1.0,8.0,4.0,12.0,,1.0,10.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
19,2367720,2023-12-27 19:30:00,"Gtech Community Stadium, Brentford",17109.0,Away,Wolverhampton Wanderers,Brentford,4,1,W,3,1,0,0,,75.0,,19.0,39.0,5.0,2.0,6.0,3.0,1.0,159.0,2.0,17.0,,9.0,5.0,94.0,147.0,67.0,11.0,4.0,21.0,1.0,,,1.0,,,8.0,1.0,12.0,,39.0,2.0,5.0,34.0,158.0,1.0,0.0,104.0,14.0,1.0,,1.0,1.0,1.0,57.0,42.0,7.0,77.0,1.0,6.0,18.0,5.0,,1.0,147.0,3.0,,10.0,,80.0,619.0,6.0,3.0,20.0,,1.0,9.0,302.0,36.0,5.0,21.0,1.0,4.0,2.0,12.0,386.0,57.0,2.0,,88484,2.0,149.0,,5.0,,174.0,13.0,2.0,12.0,10.0,58.0,2.0,3.0,3.0,11.0,4.0,,72.0,305.0,5.0,11.0,,33.0,2.0,73.0,,,,0.0,5.0,8.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,39.5,9.0,,4.0,2.0,,3.0,4.0,,23.0,2.0,2.0,410.0,9.0,5.0,19.0,2.0,18.0,1.0,,244.0,8.0,4.0,20.0,66.0,25.0,2.0,21.0,25.0,1.0,9.0,4.0,26.0,2.0,12.0,2.0,,1.0,1.0,,4.0,1.0,,,,1.0,3.0,,,4.0,,,2.0,1.0,4.0,2.0,,,,2.0,,,,3.0,,,2.0,1.0,,,2.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
20,2367737,2023-12-30 15:00:00,"Molineux Stadium, Wolverhampton",31639.0,Home,Wolverhampton Wanderers,Everton,3,0,W,1,0,0,0,,70.0,2.0,28.0,17.0,2.0,4.0,10.0,,3.0,168.0,3.0,11.0,1.0,9.0,6.0,146.0,149.0,52.0,12.0,1.0,12.0,3.0,2.0,2.0,,,1.0,19.0,,12.0,,17.0,4.0,4.0,44.0,169.0,,0.0,124.0,9.0,,2.0,2.0,1.0,,45.0,59.0,6.0,80.0,1.0,15.0,14.0,2.0,2.0,1.0,149.0,2.0,,5.0,,118.0,702.0,6.0,2.0,29.0,,1.0,9.0,403.0,33.0,2.0,5.0,2.0,4.0,3.0,18.0,486.0,61.0,1.0,,88484,3.0,251.0,,12.0,,292.0,7.0,,9.0,8.0,51.0,2.0,3.0,4.0,9.0,5.0,3.0,71.0,417.0,14.0,9.0,1.0,23.0,3.0,65.0,2.0,,,0.0,2.0,2.0,,,2.0,0.0,2.0,2.0,2.0,52.8,17.0,1.0,7.0,3.0,1.0,4.0,3.0,,34.0,5.0,,512.0,9.0,9.0,24.0,3.0,31.0,1.0,2.0,239.0,6.0,2.0,8.0,85.0,24.0,2.0,5.0,19.0,,9.0,5.0,25.0,2.0,9.0,5.0,,,1.0,,3.0,,,1.0,,,2.0,,,3.0,,,2.0,,3.0,2.0,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,
21,2367741,2024-01-22 19:45:00,"American Express Stadium, Falmer",31505.0,Away,Wolverhampton Wanderers,Brighton and Hove Albion,0,0,D,0,0,0,0,1.0,61.0,,15.0,35.0,3.0,3.0,4.0,3.0,2.0,128.0,,5.0,,5.0,3.0,64.0,111.0,39.0,8.0,,11.0,2.0,5.0,1.0,,2.0,1.0,6.0,,8.0,1.0,35.0,2.0,2.0,17.0,75.0,,0.0,63.0,13.0,1.0,5.0,,,,31.0,30.0,2.0,46.0,1.0,4.0,12.0,4.0,2.0,3.0,111.0,,,8.0,,74.0,488.0,5.0,3.0,11.0,,,13.0,227.0,25.0,5.0,17.0,4.0,7.0,3.0,12.0,294.0,26.0,2.0,,88484,3.0,163.0,1.0,2.0,,188.0,11.0,3.0,5.0,3.0,43.0,2.0,1.0,6.0,14.0,3.0,2.0,40.0,238.0,10.0,6.0,,23.0,1.0,53.0,5.0,1.0,1.0,0.0,1.0,8.0,4.0,,,0.0,,,,28.2,11.0,,4.0,,,7.0,,1.0,27.0,2.0,,312.0,13.0,10.0,7.0,5.0,12.0,,2.0,130.0,5.0,2.0,4.0,32.0,22.0,1.0,17.0,20.0,,7.0,2.0,8.0,1.0,5.0,2.0,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,
22,2367755,2024-02-01 20:15:00,"Molineux Stadium, Wolverhampton",31641.0,Home,Wolverhampton Wanderers,Manchester United,3,4,L,0,2,0,0,1.0,49.0,4.0,25.0,12.0,4.0,7.0,12.0,5.0,2.0,139.0,5.0,13.0,4.0,11.0,7.0,156.0,115.0,58.0,16.0,1.0,6.0,2.0,1.0,5.0,,2.0,1.0,20.0,,15.0,2.0,12.0,3.0,5.0,30.0,251.0,1.0,0.0,155.0,10.0,3.0,2.0,,1.0,,69.0,66.0,7.0,69.0,,17.0,18.0,4.0,7.0,1.0,115.0,1.0,,12.0,,147.0,704.0,8.0,3.0,33.0,1.0,,3.0,424.0,21.0,2.0,6.0,2.0,6.0,4.0,16.0,487.0,43.0,,1.0,88484,3.0,200.0,,9.0,2.0,218.0,10.0,,8.0,9.0,45.0,1.0,1.0,2.0,12.0,9.0,8.0,37.0,446.0,9.0,10.0,1.0,8.0,4.0,49.0,1.0,,,0.0,2.0,5.0,3.0,4.0,1.0,0.0,4.0,,2.0,53.1,16.0,,5.0,1.0,,2.0,5.0,,35.0,4.0,,511.0,3.0,10.0,15.0,4.0,36.0,1.0,3.0,313.0,7.0,5.0,11.0,123.0,21.0,,6.0,25.0,3.0,8.0,4.0,23.0,,8.0,4.0,1.0,1.0,1.0,,3.0,,1.0,1.0,,1.0,2.0,,,3.0,,,,,2.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,3.0,1.0,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,,,,
23,2367763,2024-02-04 14:00:00,"Stamford Bridge, London",39628.0,Away,Wolverhampton Wanderers,Chelsea,4,2,W,2,1,0,0,1.0,47.0,2.0,20.0,26.0,3.0,6.0,11.0,2.0,3.0,128.0,1.0,8.0,6.0,8.0,7.0,82.0,110.0,50.0,14.0,1.0,11.0,3.0,2.0,3.0,,1.0,2.0,6.0,,12.0,1.0,26.0,1.0,10.0,27.0,93.0,1.0,0.0,65.0,11.0,,2.0,2.0,3.0,2.0,52.0,38.0,5.0,75.0,1.0,5.0,25.0,3.0,1.0,1.0,110.0,2.0,,11.0,,71.0,546.0,5.0,,26.0,,,8.0,272.0,23.0,8.0,17.0,2.0,4.0,3.0,18.0,330.0,24.0,,1.0,88484,5.0,190.0,1.0,1.0,1.0,214.0,11.0,1.0,16.0,11.0,47.0,2.0,,6.0,13.0,4.0,3.0,56.0,282.0,15.0,12.0,1.0,24.0,,55.0,2.0,1.0,,0.0,3.0,10.0,3.0,2.0,,0.0,1.0,,1.0,35.6,16.0,1.0,6.0,2.0,,6.0,3.0,2.0,23.0,1.0,2.0,356.0,8.0,2.0,17.0,4.0,13.0,,3.0,148.0,7.0,9.0,9.0,42.0,11.0,5.0,17.0,18.0,2.0,10.0,4.0,19.0,5.0,16.0,1.0,1.0,1.0,,,4.0,,,,,,2.0,1.0,1.0,4.0,,,2.0,,2.0,1.0,,2.0,1.0,2.0,,2.0,1.0,2.0,,,,,,,3.0,,,,3.0,,1.0,,,,,,,,,,3.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,
24,2367777,2024-02-10 15:00:00,"Molineux Stadium, Wolverhampton",30731.0,Home,Wolverhampton Wanderers,Brentford,0,2,L,0,1,0,0,2.0,61.0,3.0,25.0,9.0,6.0,5.0,10.0,4.0,2.0,172.0,6.0,18.0,3.0,14.0,5.0,186.0,160.0,56.0,17.0,1.0,18.0,4.0,1.0,2.0,,1.0,1.0,40.0,,11.0,1.0,9.0,7.0,4.0,36.0,370.0,1.0,0.0,210.0,11.0,1.0,1.0,3.0,1.0,1.0,128.0,111.0,6.0,98.0,1.0,33.0,27.0,7.0,11.0,5.0,160.0,2.0,1.0,7.0,,195.0,866.0,12.0,2.0,21.0,1.0,2.0,8.0,550.0,23.0,2.0,5.0,2.0,,8.0,23.0,633.0,66.0,,,88484,6.0,201.0,2.0,21.0,,235.0,10.0,,11.0,5.0,48.0,,1.0,4.0,16.0,2.0,4.0,54.0,565.0,8.0,2.0,2.0,21.0,2.0,60.0,1.0,1.0,,0.0,3.0,4.0,3.0,2.0,1.0,0.0,3.0,,4.0,71.1,21.0,3.0,6.0,1.0,,4.0,4.0,,42.0,7.0,1.0,651.0,8.0,5.0,23.0,8.0,41.0,3.0,3.0,456.0,8.0,4.0,12.0,177.0,25.0,,5.0,18.0,2.0,14.0,4.0,30.0,,11.0,7.0,,1.0,,,,,,2.0,,,,,3.0,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,
25,2367787,2024-02-17 15:00:00,"Tottenham Hotspur Stadium, London",61532.0,Away,Wolverhampton Wanderers,Tottenham Hotspur,2,1,W,1,0,0,0,2.0,56.0,1.0,16.0,38.0,3.0,5.0,9.0,4.0,3.0,133.0,6.0,7.0,1.0,10.0,7.0,69.0,130.0,39.0,12.0,,13.0,3.0,3.0,2.0,,2.0,2.0,13.0,,11.0,2.0,38.0,2.0,4.0,28.0,106.0,,0.0,93.0,13.0,3.0,4.0,1.0,,,69.0,28.0,7.0,51.0,4.0,11.0,24.0,3.0,4.0,1.0,130.0,2.0,,10.0,,47.0,502.0,8.0,5.0,23.0,,,11.0,203.0,26.0,1.0,21.0,1.0,4.0,3.0,9.0,272.0,34.0,,,88484,5.0,114.0,2.0,7.0,,145.0,13.0,1.0,14.0,11.0,60.0,,2.0,5.0,10.0,5.0,2.0,56.0,214.0,8.0,11.0,,17.0,2.0,57.0,3.0,2.0,,0.0,,10.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,28.8,7.0,,5.0,1.0,,5.0,1.0,,21.0,4.0,,300.0,11.0,12.0,14.0,4.0,17.0,2.0,3.0,168.0,6.0,4.0,8.0,70.0,15.0,1.0,21.0,16.0,1.0,10.0,3.0,18.0,1.0,14.0,4.0,,2.0,1.0,1.0,2.0,,,,,,2.0,,2.0,2.0,,,2.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,2.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
