gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,postScoringAtt,attMissLeft,attIboxPost,attSvHighLeft,freekickCross,interceptionsInBox,attPostLeft,hitWoodwork,outfielderBlock,sixYardBlock,ownGoals,attCmissLeft,attOboxPost,attPostHigh,attHdMiss,attIboxMiss,attIboxOwnGoal,goalAssistSetplay,shotFastbreak,totalFastbreak,attSvLowLeft,attCmissHigh,defenderGoals,attFastbreak,attObpGoal,foulThrowIn,attBxLeft,ptsDroppedWinningPos,attSvHighRight,cleanSheet,attHdTarget,attMissHighLeft,accurateFreekickCross,attSetpiece,totalPullBack,attAssistSetplay,attGoalLowLeft,accuratePullBack,attCmissHighRight,shieldBallOop,accurateCornersIntobox,handBall,attLfGoal,attGoalHighLeft,attGoalHighCentre,attFreekickMiss,attCmissRight,contentiousDecision,penaltyWon,attPenGoal,attLgCentre,punches,attSvHighCentre,clearanceOffLine,attGoalLowCentre,attObxLeft,attFreekickTarget,goalFastbreak,totalKeeperSweeper,accurateKeeperSweeper,goalAssistDeadball,penaltyConceded,penaltyFaced,penGoalsConceded,errorLeadToGoal,attCorner,attHdPost,attCmissHighLeft
11,987701,2018-11-03 19:45:00,"Molineux Stadium, Wolverhampton",31185,Home,Wolverhampton Wanderers,Tottenham Hotspur,2,3,L,0,2,0,0,2.0,2.0,73.0,1.0,3.0,1.0,60.0,7.0,8.0,3.0,8.0,5.0,2.0,147.0,6.0,15.0,2.0,4.0,10.0,7.0,137.0,148.0,56.0,,16.0,4.0,7.0,3.0,1.0,,2.0,25.0,12.0,,2.0,7.0,5.0,1.0,56.0,1.0,216.0,,,0.0,152.0,11.0,,4.0,1.0,,70.0,99.0,6.0,62.0,1.0,20.0,13.0,8.0,,6.0,2.0,148.0,1.0,7.0,112.0,657.0,9.0,7.0,25.0,9.0,360.0,31.0,6.0,2.0,,1.0,4.0,27.0,443.0,77.0,1.0,,94147,6.0,164.0,1.0,12.0,184.0,5.0,2.0,13.0,4.0,48.0,3.0,5.0,4.0,,13.0,3.0,4.0,2.0,93.0,374.0,8.0,11.0,21.0,71.0,2.0,,0.0,3.0,1.0,2.0,2.0,3.0,2.0,0.0,6.0,,2.0,48.6,24.0,5.0,4.0,5.0,45.0,5.0,,458.0,9.0,11.0,33.0,4.0,33.0,299.0,11.0,1.0,11.0,104.0,30.0,1.0,1.0,2.0,22.0,,3.0,10.0,3.0,25.0,1.0,6.0,5.0,,,1.0,,,2.0,,,,1.0,1.0,,1.0,,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,2.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
12,987702,2018-11-11 16:30:00,"Emirates Stadium, London",60030,Away,Wolverhampton Wanderers,Arsenal,1,1,D,1,0,0,0,4.0,1.0,70.0,1.0,1.0,1.0,32.0,26.0,5.0,5.0,7.0,2.0,,131.0,2.0,7.0,1.0,2.0,12.0,5.0,67.0,122.0,52.0,,13.0,1.0,8.0,3.0,1.0,1.0,1.0,7.0,9.0,,1.0,26.0,2.0,4.0,36.0,,95.0,1.0,,0.0,74.0,16.0,,1.0,,,17.0,58.0,7.0,41.0,3.0,5.0,23.0,6.0,,,3.0,122.0,3.0,5.0,53.0,494.0,10.0,9.0,20.0,28.0,195.0,40.0,3.0,9.0,1.0,2.0,5.0,20.0,270.0,34.0,,,94147,5.0,115.0,2.0,4.0,152.0,9.0,1.0,23.0,10.0,43.0,1.0,2.0,4.0,1.0,16.0,5.0,6.0,,70.0,208.0,8.0,9.0,15.0,57.0,,,0.0,,11.0,1.0,1.0,1.0,3.0,0.0,,1.0,2.0,28.3,17.0,1.0,4.0,2.0,29.0,2.0,,292.0,28.0,9.0,16.0,6.0,20.0,147.0,6.0,4.0,18.0,53.0,21.0,1.0,5.0,9.0,19.0,,,11.0,3.0,10.0,5.0,17.0,2.0,1.0,1.0,1.0,,,1.0,6.0,,1.0,4.0,,,,1.0,1.0,2.0,2.0,,,5.0,5.0,3.0,,,5.0,,,,2.0,,,,,,,1.0,1.0,,,,,2.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
13,987721,2018-11-25 16:00:00,"Molineux Stadium, Wolverhampton",30130,Home,Wolverhampton Wanderers,Huddersfield Town,0,2,L,0,1,0,0,1.0,,75.0,,1.0,,29.0,18.0,6.0,2.0,6.0,4.0,,181.0,2.0,9.0,,3.0,8.0,3.0,93.0,176.0,56.0,2.0,12.0,3.0,29.0,3.0,1.0,,2.0,13.0,13.0,,,18.0,3.0,16.0,37.0,,167.0,2.0,,0.0,104.0,9.0,,1.0,,1.0,55.0,63.0,4.0,64.0,1.0,10.0,21.0,6.0,2.0,1.0,3.0,176.0,,6.0,105.0,662.0,7.0,4.0,17.0,16.0,321.0,31.0,6.0,10.0,,1.0,4.0,34.0,426.0,57.0,,2.0,94147,1.0,167.0,,9.0,200.0,9.0,,21.0,6.0,70.0,1.0,1.0,5.0,,17.0,8.0,4.0,2.0,62.0,332.0,8.0,4.0,25.0,81.0,,,0.0,5.0,5.0,3.0,,2.0,,0.0,1.0,,3.0,44.8,31.0,2.0,5.0,3.0,46.0,3.0,1.0,443.0,16.0,17.0,20.0,6.0,16.0,256.0,7.0,12.0,19.0,69.0,33.0,,3.0,10.0,21.0,,,9.0,3.0,20.0,3.0,11.0,3.0,2.0,,1.0,,,,1.0,,1.0,4.0,,,,,,1.0,3.0,,,,,,,,,,,1.0,,,,2.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
14,987723,2018-11-30 20:00:00,"Cardiff City Stadium, Cardiff",30213,Away,Wolverhampton Wanderers,Cardiff City,1,2,L,1,0,0,0,,1.0,65.0,,,1.0,34.0,48.0,8.0,2.0,7.0,,2.0,180.0,3.0,5.0,1.0,1.0,11.0,4.0,58.0,176.0,72.0,,15.0,1.0,39.0,2.0,1.0,,1.0,18.0,13.0,,1.0,48.0,5.0,4.0,40.0,,134.0,5.0,,0.0,107.0,12.0,,,1.0,,55.0,55.0,4.0,39.0,1.0,13.0,18.0,8.0,,2.0,6.0,176.0,,10.0,68.0,579.0,10.0,4.0,20.0,8.0,219.0,29.0,7.0,29.0,,2.0,7.0,32.0,323.0,58.0,,,94147,3.0,105.0,,11.0,139.0,7.0,,18.0,12.0,84.0,,,2.0,,20.0,7.0,10.0,1.0,72.0,236.0,3.0,7.0,22.0,86.0,,,0.0,,7.0,1.0,1.0,2.0,,0.0,2.0,,3.0,52.1,26.0,,2.0,2.0,44.0,6.0,,345.0,8.0,14.0,17.0,9.0,25.0,224.0,10.0,3.0,43.0,68.0,33.0,,1.0,29.0,21.0,,1.0,10.0,3.0,17.0,1.0,6.0,6.0,1.0,,1.0,,,,,,,7.0,,,,,,2.0,3.0,,,1.0,1.0,1.0,,,1.0,,,1.0,3.0,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
15,987739,2018-12-05 19:45:00,"Molineux Stadium, Wolverhampton",31300,Home,Wolverhampton Wanderers,Chelsea,2,1,W,0,1,0,0,,1.0,57.0,,1.0,,33.0,18.0,1.0,2.0,5.0,2.0,,126.0,2.0,7.0,2.0,2.0,3.0,2.0,52.0,122.0,48.0,,6.0,1.0,19.0,,1.0,2.0,,13.0,12.0,,,18.0,1.0,4.0,41.0,,96.0,,,0.0,69.0,18.0,3.0,2.0,,,45.0,53.0,2.0,43.0,,12.0,18.0,1.0,,5.0,,122.0,1.0,9.0,63.0,463.0,,4.0,12.0,23.0,192.0,23.0,3.0,11.0,2.0,4.0,1.0,15.0,262.0,47.0,,,94147,2.0,115.0,,6.0,130.0,12.0,1.0,18.0,11.0,62.0,3.0,2.0,2.0,2.0,14.0,8.0,7.0,2.0,71.0,209.0,10.0,11.0,19.0,66.0,,,0.0,3.0,5.0,1.0,2.0,1.0,,0.0,1.0,2.0,3.0,29.9,12.0,2.0,2.0,1.0,27.0,1.0,,284.0,23.0,8.0,17.0,3.0,20.0,167.0,1.0,4.0,16.0,37.0,27.0,2.0,2.0,11.0,16.0,,,4.0,3.0,13.0,2.0,12.0,1.0,1.0,,1.0,,,1.0,2.0,,,4.0,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16,987750,2018-12-09 16:00:00,"St. James' Park, Newcastle",50223,Away,Wolverhampton Wanderers,Newcastle United,2,1,W,1,1,0,1,2.0,2.0,72.0,,1.0,,25.0,30.0,3.0,4.0,9.0,3.0,1.0,151.0,5.0,4.0,2.0,4.0,8.0,6.0,113.0,140.0,59.0,2.0,13.0,2.0,26.0,3.0,,1.0,2.0,19.0,9.0,,1.0,30.0,6.0,2.0,33.0,,175.0,,,0.0,97.0,17.0,,2.0,1.0,1.0,63.0,66.0,5.0,51.0,1.0,13.0,16.0,4.0,2.0,1.0,1.0,140.0,1.0,7.0,110.0,615.0,4.0,4.0,21.0,7.0,326.0,33.0,2.0,20.0,1.0,5.0,3.0,15.0,408.0,52.0,,1.0,94147,5.0,170.0,,10.0,199.0,8.0,,16.0,9.0,61.0,1.0,2.0,5.0,2.0,20.0,5.0,7.0,1.0,60.0,340.0,10.0,8.0,18.0,70.0,,,0.0,,4.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,5.0,49.6,9.0,3.0,5.0,2.0,42.0,6.0,1.0,425.0,7.0,8.0,12.0,5.0,26.0,245.0,4.0,2.0,33.0,65.0,28.0,1.0,3.0,20.0,13.0,1.0,1.0,7.0,3.0,9.0,3.0,9.0,6.0,,1.0,1.0,1.0,,2.0,,,1.0,3.0,,,,,1.0,3.0,3.0,,,2.0,2.0,2.0,,,2.0,,,2.0,,,,1.0,1.0,1.0,1.0,,3.0,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,
17,987761,2018-12-15 15:00:00,"Molineux Stadium, Wolverhampton",30997,Home,Wolverhampton Wanderers,Bournemouth,2,0,W,1,0,0,0,1.0,2.0,78.0,1.0,2.0,1.0,31.0,25.0,4.0,2.0,6.0,3.0,1.0,164.0,,3.0,2.0,3.0,7.0,4.0,77.0,149.0,48.0,,10.0,2.0,15.0,1.0,1.0,2.0,1.0,9.0,13.0,,1.0,25.0,3.0,1.0,43.0,1.0,115.0,2.0,,0.0,88.0,15.0,,,,,32.0,62.0,6.0,56.0,1.0,6.0,16.0,4.0,,2.0,1.0,149.0,3.0,7.0,92.0,561.0,5.0,8.0,18.0,16.0,271.0,41.0,6.0,12.0,2.0,1.0,1.0,18.0,371.0,37.0,2.0,,94147,2.0,166.0,1.0,2.0,203.0,7.0,2.0,16.0,7.0,49.0,4.0,4.0,,2.0,17.0,6.0,3.0,,69.0,281.0,6.0,12.0,20.0,75.0,,,0.0,1.0,3.0,1.0,2.0,,3.0,0.0,,1.0,,37.8,16.0,6.0,,3.0,39.0,5.0,,389.0,16.0,6.0,20.0,3.0,18.0,195.0,8.0,,19.0,57.0,26.0,1.0,4.0,12.0,21.0,,,9.0,3.0,5.0,4.0,8.0,5.0,,,,,,2.0,,,,5.0,,,,,,,2.0,,,2.0,3.0,1.0,,,2.0,,,2.0,,,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,
18,987771,2018-12-21 20:00:00,"Molineux Stadium, Wolverhampton",31358,Home,Wolverhampton Wanderers,Liverpool,0,2,L,0,1,0,0,2.0,,62.0,,1.0,1.0,39.0,15.0,2.0,2.0,9.0,5.0,2.0,148.0,2.0,11.0,,,8.0,5.0,106.0,148.0,45.0,,11.0,1.0,11.0,5.0,4.0,,2.0,7.0,18.0,,,15.0,1.0,5.0,60.0,,153.0,,,0.0,99.0,7.0,,4.0,,,71.0,52.0,5.0,66.0,2.0,6.0,34.0,2.0,,1.0,1.0,148.0,,9.0,100.0,627.0,8.0,4.0,21.0,22.0,308.0,31.0,4.0,5.0,,0.0,3.0,25.0,408.0,55.0,,1.0,94147,3.0,165.0,1.0,5.0,198.0,5.0,,34.0,4.0,50.0,1.0,4.0,3.0,,14.0,6.0,,1.0,78.0,316.0,2.0,16.0,15.0,66.0,2.0,,0.0,2.0,10.0,3.0,,2.0,,0.0,2.0,,1.0,38.3,22.0,2.0,3.0,2.0,30.0,1.0,,420.0,22.0,11.0,28.0,4.0,14.0,229.0,8.0,5.0,7.0,60.0,23.0,,3.0,5.0,26.0,,2.0,10.0,3.0,16.0,3.0,16.0,1.0,,,1.0,,,,4.0,,,5.0,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,2.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,
19,987775,2018-12-26 12:30:00,"Craven Cottage, London",24382,Away,Wolverhampton Wanderers,Fulham,1,1,D,0,0,0,0,,1.0,69.0,,1.0,1.0,55.0,4.0,6.0,2.0,8.0,3.0,3.0,199.0,5.0,11.0,1.0,3.0,10.0,5.0,186.0,157.0,74.0,,14.0,1.0,31.0,2.0,1.0,,1.0,21.0,15.0,,2.0,4.0,,13.0,64.0,,312.0,1.0,,0.0,160.0,6.0,1.0,,1.0,,134.0,96.0,5.0,97.0,1.0,21.0,11.0,6.0,,5.0,3.0,157.0,,8.0,203.0,878.0,10.0,4.0,14.0,11.0,572.0,25.0,6.0,3.0,,1.0,5.0,29.0,669.0,78.0,,1.0,94147,5.0,279.0,,14.0,300.0,2.0,1.0,11.0,8.0,61.0,,2.0,4.0,1.0,20.0,3.0,7.0,3.0,89.0,586.0,9.0,9.0,15.0,104.0,1.0,,0.0,2.0,2.0,3.0,1.0,1.0,,0.0,5.0,,3.0,70.2,26.0,8.0,4.0,2.0,72.0,,,685.0,11.0,10.0,37.0,7.0,35.0,406.0,9.0,13.0,33.0,116.0,30.0,,1.0,3.0,23.0,,1.0,14.0,3.0,16.0,1.0,3.0,,,,1.0,,,2.0,2.0,,,1.0,1.0,,,,,2.0,4.0,,,,,,1.0,,,,,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
20,987790,2018-12-29 15:00:00,"Wembley Stadium, London",46356,Away,Wolverhampton Wanderers,Tottenham Hotspur,3,1,W,0,1,0,0,,2.0,71.0,,2.0,3.0,29.0,14.0,2.0,2.0,9.0,2.0,,138.0,6.0,16.0,3.0,1.0,10.0,4.0,102.0,139.0,55.0,,11.0,,13.0,1.0,2.0,2.0,,24.0,11.0,,,14.0,6.0,6.0,49.0,,160.0,,,0.0,109.0,7.0,3.0,1.0,,1.0,49.0,88.0,7.0,74.0,1.0,18.0,19.0,2.0,,3.0,2.0,139.0,2.0,1.0,99.0,600.0,5.0,5.0,19.0,12.0,320.0,34.0,1.0,12.0,3.0,2.0,3.0,16.0,396.0,49.0,1.0,,94147,5.0,176.0,,14.0,199.0,3.0,1.0,19.0,6.0,45.0,2.0,4.0,4.0,2.0,13.0,9.0,2.0,1.0,66.0,330.0,6.0,9.0,14.0,71.0,,,0.0,2.0,6.0,,3.0,1.0,1.0,0.0,4.0,2.0,3.0,39.2,15.0,7.0,4.0,3.0,38.0,7.0,1.0,413.0,12.0,11.0,24.0,4.0,27.0,238.0,5.0,5.0,15.0,72.0,22.0,1.0,2.0,12.0,18.0,1.0,,7.0,3.0,23.0,2.0,5.0,7.0,1.0,,1.0,,,1.0,2.0,,,2.0,,,,,,1.0,2.0,,1.0,1.0,2.0,,,1.0,1.0,,,2.0,,,,1.0,1.0,1.0,1.0,,2.0,3.0,,,1.0,2.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,
21,987801,2019-01-02 19:45:00,"Molineux Stadium, Wolverhampton",30666,Home,Wolverhampton Wanderers,Crystal Palace,0,2,L,0,0,0,0,,,66.0,,2.0,1.0,41.0,40.0,5.0,2.0,4.0,2.0,1.0,137.0,2.0,5.0,,,7.0,1.0,154.0,142.0,64.0,,9.0,2.0,15.0,,1.0,,,13.0,11.0,,1.0,40.0,2.0,3.0,67.0,,197.0,2.0,,0.0,130.0,9.0,,,,1.0,100.0,60.0,3.0,83.0,1.0,11.0,26.0,5.0,,3.0,2.0,142.0,2.0,9.0,153.0,730.0,6.0,3.0,11.0,9.0,416.0,24.0,6.0,16.0,,4.0,4.0,18.0,508.0,53.0,,2.0,94147,2.0,236.0,2.0,8.0,269.0,4.0,,26.0,9.0,56.0,1.0,1.0,4.0,,11.0,8.0,6.0,2.0,74.0,431.0,7.0,14.0,15.0,67.0,1.0,,0.0,1.0,10.0,,,2.0,,0.0,1.0,,2.0,51.9,15.0,4.0,4.0,3.0,39.0,3.0,1.0,527.0,9.0,14.0,37.0,5.0,21.0,271.0,5.0,3.0,26.0,93.0,33.0,,3.0,16.0,26.0,,2.0,6.0,3.0,10.0,3.0,9.0,3.0,,,,,,,,,,7.0,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,
22,987809,2019-01-14 20:00:00,"Etihad Stadium, Manchester",54171,Away,Wolverhampton Wanderers,Manchester City,0,3,L,0,2,1,0,,,51.0,,3.0,1.0,26.0,31.0,1.0,1.0,2.0,7.0,,116.0,,9.0,,,2.0,,57.0,117.0,49.0,,3.0,1.0,21.0,,,,,1.0,8.0,,,31.0,1.0,9.0,45.0,,46.0,,,0.0,40.0,3.0,,2.0,,,19.0,34.0,1.0,43.0,1.0,,12.0,1.0,,,,117.0,,14.0,67.0,438.0,1.0,6.0,6.0,10.0,171.0,32.0,5.0,13.0,,0.0,1.0,11.0,251.0,28.0,,,94147,1.0,144.0,,,180.0,2.0,,12.0,17.0,46.0,2.0,1.0,1.0,,7.0,11.0,9.0,,76.0,190.0,6.0,12.0,24.0,56.0,,,0.0,2.0,12.0,4.0,,3.0,,1.0,,,1.0,23.9,8.0,1.0,1.0,2.0,21.0,1.0,,283.0,10.0,6.0,20.0,1.0,12.0,104.0,1.0,9.0,16.0,15.0,9.0,,5.0,13.0,18.0,,3.0,2.0,3.0,13.0,5.0,8.0,1.0,,,,,,,1.0,,,8.0,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
23,987821,2019-01-19 12:30:00,"Molineux Stadium, Wolverhampton",31278,Home,Wolverhampton Wanderers,Leicester City,4,3,W,2,0,0,0,1.0,3.0,64.0,2.0,1.0,1.0,30.0,30.0,3.0,2.0,9.0,4.0,1.0,152.0,4.0,5.0,4.0,,11.0,7.0,81.0,170.0,65.0,,12.0,1.0,34.0,2.0,,3.0,2.0,18.0,10.0,,1.0,30.0,4.0,4.0,54.0,3.0,134.0,,,0.0,94.0,11.0,,4.0,,,46.0,59.0,8.0,53.0,1.0,14.0,23.0,3.0,,4.0,1.0,170.0,5.0,12.0,95.0,589.0,6.0,2.0,22.0,13.0,254.0,33.0,4.0,19.0,4.0,3.0,2.0,25.0,357.0,52.0,1.0,2.0,94147,7.0,139.0,2.0,10.0,181.0,4.0,2.0,23.0,9.0,76.0,2.0,1.0,1.0,3.0,22.0,5.0,5.0,,73.0,269.0,10.0,17.0,23.0,77.0,,,0.0,1.0,9.0,3.0,4.0,3.0,,0.0,3.0,4.0,3.0,45.6,19.0,1.0,1.0,2.0,39.0,5.0,,381.0,13.0,10.0,29.0,3.0,31.0,218.0,7.0,4.0,31.0,55.0,27.0,3.0,1.0,19.0,20.0,1.0,3.0,8.0,2.0,9.0,1.0,10.0,5.0,,,2.0,,,,1.0,,,5.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,
24,987827,2019-01-29 19:45:00,"Molineux Stadium, Wolverhampton",31122,Home,Wolverhampton Wanderers,West Ham United,3,0,W,0,0,0,0,4.0,1.0,70.0,1.0,,1.0,44.0,13.0,7.0,5.0,13.0,,2.0,163.0,8.0,10.0,3.0,3.0,14.0,9.0,115.0,139.0,68.0,1.0,20.0,6.0,16.0,5.0,2.0,1.0,2.0,13.0,15.0,,1.0,13.0,5.0,12.0,58.0,1.0,205.0,1.0,,0.0,122.0,8.0,,,,,46.0,83.0,10.0,74.0,1.0,8.0,19.0,7.0,1.0,2.0,,139.0,3.0,,125.0,671.0,9.0,6.0,27.0,17.0,370.0,31.0,3.0,6.0,3.0,4.0,4.0,27.0,462.0,53.0,1.0,,94147,7.0,184.0,2.0,5.0,216.0,6.0,1.0,19.0,6.0,48.0,3.0,2.0,3.0,1.0,10.0,4.0,3.0,1.0,70.0,381.0,10.0,9.0,10.0,78.0,2.0,,0.0,5.0,1.0,,3.0,,3.0,0.0,6.0,3.0,4.0,54.7,22.0,4.0,3.0,7.0,52.0,5.0,1.0,477.0,17.0,10.0,40.0,4.0,29.0,274.0,11.0,8.0,24.0,84.0,31.0,2.0,1.0,6.0,24.0,1.0,,13.0,3.0,15.0,1.0,10.0,5.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,3.0,4.0,,2.0,1.0,2.0,,,1.0,1.0,,1.0,3.0,,,1.0,,,1.0,3.0,1.0,2.0,,,1.0,,2.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,
25,987837,2019-02-02 15:00:00,"Goodison Park, Liverpool",39380,Away,Wolverhampton Wanderers,Everton,3,1,W,2,1,0,0,,2.0,72.0,1.0,,1.0,25.0,20.0,1.0,2.0,5.0,3.0,1.0,145.0,,5.0,3.0,3.0,6.0,4.0,67.0,145.0,53.0,,8.0,1.0,31.0,1.0,,,1.0,3.0,9.0,,,20.0,1.0,4.0,53.0,1.0,94.0,1.0,,0.0,82.0,14.0,,1.0,2.0,,40.0,55.0,4.0,43.0,,2.0,18.0,3.0,,1.0,2.0,145.0,3.0,9.0,51.0,489.0,4.0,6.0,12.0,19.0,191.0,32.0,6.0,11.0,1.0,1.0,1.0,17.0,280.0,41.0,1.0,,94147,5.0,111.0,2.0,1.0,138.0,10.0,1.0,18.0,11.0,72.0,1.0,1.0,3.0,1.0,17.0,4.0,4.0,1.0,67.0,205.0,12.0,11.0,23.0,75.0,,,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,,1.0,1.0,36.0,13.0,4.0,3.0,2.0,36.0,1.0,,306.0,19.0,13.0,29.0,2.0,8.0,171.0,5.0,4.0,19.0,47.0,30.0,1.0,2.0,11.0,17.0,1.0,1.0,6.0,3.0,10.0,2.0,9.0,1.0,,,,,,,,,,7.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,1.0,,,,,,,
26,987851,2019-02-11 20:00:00,"Molineux Stadium, Wolverhampton",30687,Home,Wolverhampton Wanderers,Newcastle United,1,1,D,0,0,0,0,1.0,1.0,81.0,,,6.0,40.0,13.0,6.0,6.0,16.0,2.0,2.0,205.0,9.0,11.0,1.0,,16.0,6.0,154.0,179.0,57.0,,22.0,2.0,26.0,3.0,5.0,1.0,3.0,30.0,8.0,,2.0,13.0,12.0,9.0,50.0,,228.0,,,0.0,129.0,7.0,1.0,,,,92.0,82.0,11.0,98.0,1.0,18.0,19.0,6.0,,2.0,2.0,179.0,2.0,6.0,166.0,822.0,12.0,3.0,36.0,13.0,485.0,27.0,6.0,9.0,1.0,1.0,5.0,18.0,606.0,50.0,,1.0,94147,7.0,283.0,2.0,16.0,327.0,3.0,,19.0,4.0,61.0,,1.0,3.0,1.0,11.0,3.0,4.0,4.0,71.0,502.0,9.0,7.0,20.0,81.0,,,0.0,,1.0,2.0,1.0,1.0,,0.0,6.0,1.0,6.0,59.5,14.0,6.0,3.0,8.0,52.0,13.0,,623.0,13.0,9.0,23.0,8.0,38.0,326.0,9.0,8.0,22.0,87.0,42.0,,2.0,9.0,15.0,1.0,1.0,16.0,3.0,23.0,2.0,6.0,13.0,,,2.0,,,,,,,4.0,,,,,,3.0,6.0,,,,,2.0,1.0,1.0,,,,1.0,,,,2.0,1.0,,,2.0,3.0,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
