gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,totalAttAssist,accuratePullBack,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attLgCentre,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,wonCorners,handBall,attSvLowCentre,outfielderBlock,attSetpiece,shieldBallOop,attLfTarget,attLfGoal,attGoalLowCentre,goals,postScoringAtt,attIboxPost,attMissHighRight,attSvHighRight,attOboxGoal,attSvHighLeft,attHdPost,hitWoodwork,sixYardBlock,attObxdLeft,defenderGoals,attPostHigh,effectiveBlockedCross,blockedCross,shotFastbreak,cleanSheet,attSvLowLeft,errorLeadToShot,attFastbreak,attGoalLowRight,goalAssistSetplay,goalAssistOpenplay,midfielderGoals,attFreekickPost,goalAssist,attRfGoal,attObpGoal,punches,attIboxGoal,attOboxPost,attPostRight,forwardGoals,clearanceOffLine,errorLeadToGoal,attGoalLowLeft,penaltyWon,secondYellow,attPenGoal,goalsConcededObox,goalAssistDeadball,goalFastbreak,attGoalHighCentre,attHdGoal,attemptsIbox,saves,fouledFinalThird,attBxRight,ptsGainedLosingPos,freekickCross,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateFreekickCross,attBxCentre,attCmissHigh,goalsOpenplay,attCorner,goalAssistIntentional,attBxLeft,attOpenplay,totalFastbreak,penaltyConceded,ownGoals,penaltyFaced,penGoalsConceded,attIboxOwnGoal,attCmissRight,attGoalHighRight,attCmissHighRight,attGoalHighLeft,attObxLeft,attObxdRight,attObxRight,attPostLeft
11,284106,2009-10-31 17:30:00,"Old Trafford, Manchester",74658,Away,Blackburn Rovers,Manchester United,0,2,L,0,0,0,0,34.0,1.0,1.0,18.0,48.0,1.0,1.0,1.0,5.0,,2.0,,1.0,162.0,52.0,,3.0,,15.0,,,,10.0,14.0,1.0,25.0,2.0,6.0,17.0,93.0,0.0,108.0,21.0,2.0,1.0,37.0,20.0,1.0,3.0,1.0,8.0,,6.0,,139.0,14.0,500.0,,1.0,15.0,,27.0,17.0,,8.0,26.0,,2.0,1.0,11.0,83.0,,8893,99.0,1.0,114.0,,15.0,55.0,,2.0,1.0,11.0,4.0,,52.0,187.0,11.0,3.0,1.0,40.0,94.0,,0.0,,7.0,3.0,2.0,5.0,0.0,3.0,1.0,,34.4,7.0,1.0,,,1.0,1.0,34.0,2.0,1.0,287.0,27.0,,10.0,7.0,1.0,27.0,2.0,1.0,183.0,1.0,6.0,25.0,46.0,7.0,12.0,16.0,2.0,3.0,7.0,2.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,284111,2009-11-07 15:00:00,"Ewood Park, Blackburn",23110,Home,Blackburn Rovers,Portsmouth,3,1,W,0,1,0,0,44.0,1.0,2.0,30.0,40.0,,2.0,1.0,9.0,6.0,5.0,,4.0,185.0,59.0,,8.0,,12.0,1.0,,1.0,31.0,12.0,,22.0,8.0,20.0,21.0,148.0,0.0,157.0,13.0,,1.0,65.0,60.0,4.0,1.0,,23.0,,6.0,,167.0,3.0,600.0,,3.0,14.0,,18.0,18.0,,10.0,25.0,,3.0,1.0,27.0,86.0,,8893,101.0,13.0,117.0,,9.0,39.0,,9.0,5.0,6.0,2.0,,63.0,240.0,18.0,1.0,,35.0,85.0,1.0,0.0,,5.0,,1.0,4.0,0.0,7.0,2.0,,52.7,18.0,1.0,1.0,,5.0,2.0,42.0,8.0,1.0,344.0,18.0,,7.0,9.0,2.0,29.0,2.0,2.0,258.0,4.0,17.0,17.0,83.0,16.0,15.0,18.0,,3.0,15.0,8.0,3.0,,1.0,1.0,,,,1.0,3.0,,,1.0,,,,,,,,1.0,,5.0,5.0,,,,,,,1.0,1.0,,,2.0,2.0,,,3.0,,,2.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
13,284121,2009-11-22 13:30:00,"Toughsheet Community Stadium, Bolton",21777,Away,Blackburn Rovers,Bolton Wanderers,2,0,W,1,0,0,0,52.0,1.0,5.0,22.0,62.0,3.0,5.0,2.0,7.0,7.0,12.0,,6.0,194.0,67.0,,17.0,2.0,29.0,5.0,1.0,,29.0,13.0,,41.0,7.0,23.0,28.0,167.0,0.0,155.0,13.0,1.0,3.0,79.0,63.0,9.0,1.0,3.0,22.0,,4.0,1.0,173.0,8.0,639.0,,9.0,20.0,2.0,13.0,21.0,,11.0,38.0,1.0,1.0,3.0,25.0,93.0,2.0,8893,104.0,16.0,119.0,,17.0,79.0,5.0,1.0,6.0,11.0,10.0,,61.0,264.0,13.0,5.0,2.0,43.0,96.0,2.0,0.0,,7.0,1.0,,8.0,0.0,5.0,4.0,,58.5,21.0,2.0,,,6.0,7.0,48.0,7.0,3.0,370.0,13.0,,18.0,14.0,4.0,26.0,2.0,3.0,280.0,7.0,17.0,26.0,86.0,22.0,24.0,21.0,,3.0,22.0,7.0,1.0,1.0,7.0,,1.0,1.0,,,2.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,2.0,2.0,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,3.0,1.0,,,,1.0,,,,,,,,1.0,,,,,3.0,4.0,,2.0,,,,,2.0,6.0,,1.0,,1.0,2.0,11.0,1.0,,,,,,2.0,1.0,1.0,,,,,
14,284132,2009-11-28 15:00:00,"Ewood Park, Blackburn",25143,Home,Blackburn Rovers,Stoke City,0,0,D,0,0,0,0,49.0,2.0,,24.0,39.0,8.0,2.0,3.0,7.0,3.0,9.0,,3.0,184.0,57.0,1.0,13.0,2.0,17.0,2.0,,3.0,39.0,9.0,1.0,17.0,7.0,23.0,33.0,177.0,0.0,151.0,12.0,2.0,1.0,56.0,61.0,3.0,1.0,2.0,32.0,1.0,9.0,5.0,162.0,5.0,631.0,,8.0,9.0,,11.0,26.0,,12.0,22.0,,1.0,6.0,23.0,79.0,1.0,8893,115.0,22.0,136.0,,7.0,46.0,1.0,,6.0,4.0,3.0,2.0,59.0,285.0,12.0,4.0,1.0,34.0,85.0,1.0,0.0,,2.0,2.0,,2.0,0.0,6.0,2.0,,57.6,16.0,2.0,,,6.0,2.0,37.0,9.0,1.0,391.0,10.0,,8.0,14.0,8.0,27.0,1.0,2.0,294.0,9.0,20.0,29.0,91.0,13.0,9.0,13.0,,3.0,8.0,9.0,,1.0,1.0,2.0,2.0,,,,,1.0,1.0,,,,1.0,,1.0,,,,,3.0,3.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,284142,2009-12-05 15:00:00,"Ewood Park, Blackburn",29660,Home,Blackburn Rovers,Liverpool,0,0,D,0,0,0,0,55.0,2.0,1.0,46.0,34.0,5.0,3.0,,2.0,8.0,7.0,,2.0,138.0,56.0,,10.0,,10.0,2.0,,4.0,8.0,16.0,,21.0,,20.0,27.0,140.0,0.0,126.0,15.0,,,37.0,40.0,3.0,4.0,2.0,8.0,,3.0,5.0,125.0,6.0,578.0,,7.0,11.0,1.0,22.0,27.0,,14.0,15.0,,1.0,4.0,22.0,67.0,2.0,8893,104.0,1.0,121.0,,8.0,55.0,5.0,4.0,1.0,9.0,3.0,1.0,70.0,242.0,9.0,7.0,,33.0,82.0,1.0,0.0,,8.0,,,4.0,0.0,2.0,1.0,,39.8,17.0,,5.0,1.0,1.0,1.0,50.0,,1.0,324.0,20.0,,14.0,16.0,7.0,24.0,,2.0,211.0,6.0,19.0,18.0,77.0,16.0,8.0,21.0,,3.0,17.0,1.0,,,9.0,3.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,284154,2009-12-12 15:00:00,"The MKM Stadium, Hull",24124,Away,Blackburn Rovers,Hull City,0,0,D,0,0,0,0,52.0,3.0,2.0,21.0,43.0,7.0,4.0,3.0,8.0,2.0,8.0,,4.0,184.0,66.0,2.0,16.0,2.0,15.0,3.0,,2.0,20.0,17.0,1.0,23.0,4.0,20.0,34.0,166.0,0.0,167.0,20.0,4.0,4.0,57.0,40.0,5.0,1.0,2.0,16.0,2.0,7.0,4.0,164.0,6.0,651.0,,8.0,20.0,1.0,21.0,12.0,1.0,14.0,24.0,,2.0,3.0,25.0,95.0,,8893,102.0,8.0,120.0,1.0,5.0,59.0,1.0,3.0,2.0,5.0,2.0,2.0,57.0,260.0,14.0,5.0,,44.0,103.0,,0.0,,3.0,4.0,,12.0,0.0,7.0,1.0,,52.7,17.0,,3.0,2.0,2.0,4.0,49.0,4.0,5.0,378.0,21.0,1.0,11.0,16.0,8.0,35.0,1.0,4.0,278.0,11.0,16.0,24.0,99.0,21.0,13.0,26.0,,3.0,11.0,4.0,1.0,2.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,3.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,284160,2009-12-15 20:00:00,"St. Andrew's @ Knighthead Park, Birmingham",23187,Away,Blackburn Rovers,Birmingham City,1,2,L,0,1,0,0,47.0,,2.0,29.0,56.0,4.0,1.0,1.0,5.0,2.0,6.0,,3.0,219.0,56.0,,11.0,3.0,27.0,2.0,,,24.0,10.0,,28.0,7.0,13.0,26.0,121.0,0.0,162.0,17.0,2.0,1.0,42.0,38.0,3.0,2.0,,17.0,,11.0,1.0,191.0,12.0,615.0,,4.0,23.0,1.0,21.0,19.0,,13.0,33.0,,2.0,3.0,28.0,103.0,,8893,94.0,4.0,120.0,,10.0,67.0,1.0,2.0,,5.0,3.0,2.0,73.0,210.0,8.0,7.0,2.0,53.0,101.0,,0.0,,6.0,3.0,2.0,13.0,0.0,2.0,1.0,,49.2,17.0,,1.0,,,5.0,39.0,7.0,1.0,346.0,20.0,,10.0,11.0,3.0,45.0,3.0,2.0,250.0,9.0,9.0,26.0,71.0,22.0,17.0,20.0,2.0,3.0,8.0,7.0,,,5.0,2.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,284172,2009-12-19 15:00:00,"Ewood Park, Blackburn",26490,Home,Blackburn Rovers,Tottenham Hotspur,0,2,L,0,1,0,0,78.0,,1.0,22.0,18.0,7.0,1.0,6.0,3.0,5.0,10.0,,7.0,188.0,44.0,1.0,13.0,1.0,24.0,4.0,1.0,,20.0,15.0,3.0,11.0,5.0,26.0,45.0,168.0,0.0,162.0,9.0,,1.0,68.0,31.0,8.0,,,15.0,1.0,4.0,3.0,181.0,3.0,657.0,,9.0,21.0,,25.0,22.0,,10.0,8.0,1.0,0.0,2.0,27.0,109.0,2.0,8893,101.0,7.0,115.0,,9.0,70.0,3.0,1.0,1.0,4.0,4.0,2.0,68.0,266.0,6.0,8.0,1.0,38.0,110.0,,0.0,,,,2.0,9.0,0.0,2.0,1.0,,44.0,22.0,1.0,6.0,,2.0,2.0,47.0,5.0,1.0,389.0,25.0,1.0,17.0,20.0,4.0,34.0,1.0,1.0,294.0,11.0,25.0,14.0,84.0,38.0,5.0,19.0,2.0,3.0,17.0,5.0,,5.0,,1.0,1.0,1.0,,,,,,2.0,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,284189,2009-12-26 15:00:00,"The Brick Community Stadium, Wigan",20243,Away,Blackburn Rovers,Wigan Athletic,1,1,D,1,0,0,0,65.0,1.0,,14.0,35.0,4.0,,1.0,1.0,2.0,6.0,,3.0,198.0,66.0,,8.0,1.0,19.0,2.0,2.0,2.0,15.0,16.0,,16.0,2.0,12.0,33.0,102.0,0.0,115.0,20.0,3.0,1.0,42.0,31.0,4.0,1.0,1.0,13.0,,4.0,3.0,179.0,7.0,556.0,,4.0,12.0,1.0,13.0,19.0,,10.0,15.0,2.0,4.0,2.0,16.0,86.0,2.0,8893,77.0,8.0,97.0,,8.0,73.0,3.0,4.0,2.0,8.0,2.0,1.0,43.0,178.0,10.0,7.0,1.0,36.0,104.0,1.0,0.0,,7.0,3.0,1.0,4.0,0.0,1.0,1.0,,43.2,9.0,,1.0,1.0,2.0,1.0,37.0,2.0,1.0,297.0,13.0,,14.0,16.0,4.0,25.0,,1.0,215.0,7.0,12.0,31.0,52.0,35.0,7.0,23.0,1.0,3.0,17.0,2.0,2.0,,6.0,3.0,2.0,,,,1.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
20,284191,2009-12-28 15:00:00,"Ewood Park, Blackburn",25656,Home,Blackburn Rovers,Sunderland,2,2,D,0,0,0,0,45.0,3.0,3.0,26.0,48.0,11.0,4.0,,8.0,7.0,14.0,,5.0,225.0,82.0,3.0,22.0,5.0,18.0,2.0,1.0,1.0,30.0,11.0,1.0,25.0,4.0,6.0,23.0,159.0,0.0,163.0,7.0,1.0,2.0,42.0,66.0,8.0,2.0,5.0,26.0,3.0,11.0,5.0,202.0,4.0,633.0,,11.0,21.0,2.0,12.0,13.0,,17.0,32.0,1.0,1.0,6.0,27.0,96.0,,8893,75.0,11.0,108.0,,9.0,53.0,,3.0,1.0,10.0,3.0,2.0,68.0,226.0,20.0,8.0,1.0,53.0,115.0,1.0,0.0,1.0,4.0,1.0,2.0,8.0,0.0,7.0,5.0,1.0,55.4,15.0,2.0,5.0,,2.0,8.0,53.0,4.0,2.0,362.0,12.0,,11.0,10.0,9.0,36.0,1.0,3.0,284.0,12.0,4.0,38.0,92.0,18.0,17.0,17.0,1.0,3.0,17.0,4.0,1.0,1.0,4.0,3.0,,1.0,,,2.0,1.0,1.0,,1.0,,,,1.0,2.0,,,,2.0,2.0,,,,1.0,,,,2.0,2.0,,2.0,1.0,,,2.0,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
21,284206,2010-01-11 20:00:00,"Etihad Stadium, Manchester",40292,Away,Blackburn Rovers,Manchester City,1,4,L,0,2,0,0,52.0,1.0,,19.0,35.0,5.0,5.0,1.0,3.0,3.0,8.0,,3.0,189.0,49.0,1.0,11.0,,21.0,1.0,,1.0,15.0,10.0,1.0,22.0,3.0,10.0,39.0,127.0,0.0,143.0,12.0,2.0,2.0,58.0,42.0,1.0,2.0,3.0,12.0,1.0,7.0,4.0,176.0,9.0,581.0,,7.0,12.0,,20.0,16.0,1.0,10.0,15.0,,1.0,7.0,29.0,91.0,1.0,8893,95.0,3.0,114.0,1.0,5.0,66.0,2.0,2.0,4.0,5.0,2.0,2.0,54.0,219.0,6.0,6.0,1.0,35.0,83.0,,0.0,,4.0,1.0,4.0,3.0,0.0,3.0,4.0,,40.9,20.0,4.0,2.0,,4.0,,31.0,3.0,3.0,342.0,20.0,1.0,17.0,15.0,8.0,25.0,,4.0,243.0,2.0,9.0,23.0,64.0,22.0,8.0,17.0,2.0,3.0,13.0,3.0,,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,3.0,3.0,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,284211,2010-01-17 15:00:00,"Ewood Park, Blackburn",21287,Home,Blackburn Rovers,Fulham,2,0,W,1,0,0,0,54.0,1.0,1.0,29.0,58.0,5.0,1.0,3.0,2.0,6.0,6.0,,6.0,187.0,66.0,1.0,11.0,,18.0,2.0,,2.0,13.0,11.0,2.0,31.0,2.0,17.0,37.0,122.0,0.0,141.0,16.0,2.0,1.0,80.0,20.0,4.0,1.0,,11.0,1.0,3.0,3.0,160.0,9.0,629.0,,3.0,26.0,1.0,22.0,27.0,,16.0,32.0,,1.0,2.0,23.0,88.0,1.0,8893,110.0,5.0,133.0,,7.0,61.0,10.0,3.0,3.0,7.0,5.0,2.0,64.0,230.0,9.0,6.0,2.0,44.0,93.0,,0.0,,6.0,3.0,,12.0,0.0,2.0,2.0,,40.6,18.0,,1.0,2.0,3.0,1.0,43.0,3.0,2.0,347.0,21.0,1.0,13.0,21.0,4.0,20.0,,1.0,227.0,8.0,13.0,36.0,70.0,20.0,18.0,15.0,,3.0,15.0,3.0,1.0,1.0,6.0,2.0,2.0,,,1.0,2.0,,,,,,,,,,,2.0,,6.0,6.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
23,284227,2010-01-27 20:00:00,"Ewood Park, Blackburn",22190,Home,Blackburn Rovers,Wigan Athletic,2,1,W,1,0,0,0,56.0,1.0,3.0,19.0,45.0,3.0,2.0,2.0,8.0,3.0,9.0,,4.0,184.0,62.0,1.0,13.0,,20.0,1.0,1.0,1.0,19.0,19.0,1.0,20.0,4.0,17.0,25.0,121.0,0.0,131.0,20.0,,1.0,47.0,51.0,5.0,2.0,2.0,15.0,1.0,3.0,1.0,159.0,4.0,557.0,,8.0,9.0,,21.0,20.0,,10.0,19.0,1.0,3.0,4.0,28.0,84.0,,8893,69.0,9.0,85.0,,7.0,66.0,1.0,5.0,1.0,7.0,2.0,,54.0,182.0,14.0,4.0,,42.0,93.0,1.0,0.0,,6.0,,1.0,2.0,0.0,7.0,3.0,,44.5,20.0,1.0,1.0,,2.0,3.0,39.0,5.0,1.0,288.0,21.0,1.0,13.0,10.0,6.0,20.0,1.0,3.0,222.0,8.0,15.0,21.0,64.0,26.0,8.0,24.0,1.0,3.0,13.0,5.0,1.0,1.0,5.0,1.0,,,1.0,,2.0,2.0,2.0,1.0,,1.0,,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
24,284238,2010-01-30 15:00:00,"Boleyn Ground, London",33093,Away,Blackburn Rovers,West Ham United,0,0,D,0,0,0,0,40.0,3.0,1.0,25.0,54.0,4.0,4.0,2.0,4.0,4.0,6.0,,3.0,197.0,78.0,1.0,10.0,2.0,19.0,2.0,,1.0,26.0,17.0,1.0,33.0,7.0,7.0,25.0,122.0,0.0,162.0,17.0,1.0,1.0,63.0,58.0,3.0,2.0,,19.0,1.0,4.0,,176.0,5.0,557.0,,4.0,25.0,,14.0,15.0,,19.0,23.0,,1.0,3.0,22.0,100.0,,8893,59.0,12.0,78.0,,5.0,53.0,1.0,1.0,2.0,5.0,3.0,,64.0,177.0,17.0,5.0,2.0,55.0,80.0,,0.0,,10.0,,,6.0,0.0,4.0,1.0,,43.6,16.0,1.0,1.0,,2.0,3.0,32.0,7.0,1.0,307.0,14.0,,10.0,12.0,4.0,32.0,,3.0,255.0,4.0,6.0,34.0,77.0,16.0,12.0,23.0,,3.0,9.0,7.0,3.0,1.0,4.0,2.0,,1.0,,,,1.0,,2.0,1.0,,,,1.0,1.0,,,1.0,3.0,3.0,,1.0,1.0,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,284247,2010-02-06 15:00:00,"bet365 Stadium, Stoke",27386,Away,Blackburn Rovers,Stoke City,0,3,L,0,2,1,0,34.0,,2.0,14.0,58.0,2.0,2.0,,5.0,3.0,4.0,,1.0,172.0,47.0,2.0,9.0,2.0,29.0,1.0,1.0,1.0,16.0,14.0,,27.0,7.0,11.0,26.0,69.0,0.0,94.0,20.0,1.0,2.0,35.0,32.0,3.0,1.0,,9.0,2.0,4.0,2.0,141.0,11.0,451.0,,1.0,10.0,1.0,4.0,17.0,,6.0,28.0,1.0,2.0,1.0,18.0,64.0,1.0,8893,76.0,4.0,97.0,,9.0,65.0,1.0,2.0,,5.0,5.0,2.0,55.0,140.0,14.0,5.0,3.0,33.0,72.0,,0.0,,12.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,50.7,9.0,1.0,1.0,,,4.0,27.0,7.0,3.0,243.0,4.0,1.0,7.0,12.0,4.0,28.0,3.0,2.0,162.0,3.0,9.0,15.0,35.0,8.0,9.0,15.0,3.0,3.0,7.0,7.0,,,6.0,1.0,2.0,,,,,,,1.0,,,,,,1.0,,,,4.0,4.0,,,1.0,,,,,,,,,,,4.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
26,284257,2010-02-10 20:00:00,"Ewood Park, Blackburn",23518,Home,Blackburn Rovers,Hull City,1,0,W,1,0,0,1,66.0,,4.0,28.0,40.0,4.0,4.0,2.0,2.0,7.0,9.0,,6.0,202.0,63.0,,18.0,1.0,17.0,4.0,,3.0,25.0,13.0,1.0,17.0,6.0,11.0,40.0,136.0,0.0,139.0,14.0,1.0,1.0,64.0,44.0,6.0,,2.0,19.0,,6.0,2.0,179.0,4.0,630.0,,7.0,17.0,2.0,20.0,24.0,1.0,11.0,21.0,,1.0,3.0,30.0,71.0,1.0,8893,103.0,11.0,129.0,,3.0,53.0,3.0,4.0,1.0,3.0,2.0,1.0,53.0,237.0,14.0,4.0,1.0,38.0,85.0,1.0,0.0,,6.0,2.0,,7.0,0.0,2.0,3.0,,56.1,10.0,1.0,9.0,1.0,1.0,5.0,41.0,6.0,1.0,350.0,20.0,,10.0,18.0,7.0,33.0,,5.0,246.0,11.0,11.0,26.0,78.0,27.0,8.0,16.0,,2.0,15.0,6.0,,2.0,2.0,4.0,2.0,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,,3.0,3.0,,1.0,,,,1.0,,1.0,,,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,284262,2010-02-21 12:00:00,"Ewood Park, Blackburn",23888,Home,Blackburn Rovers,Bolton Wanderers,3,0,W,1,0,0,0,53.0,1.0,1.0,17.0,48.0,2.0,3.0,,7.0,5.0,10.0,,7.0,208.0,62.0,1.0,13.0,1.0,20.0,4.0,1.0,2.0,24.0,12.0,,24.0,6.0,6.0,25.0,98.0,0.0,110.0,16.0,2.0,,47.0,37.0,7.0,2.0,,18.0,1.0,3.0,2.0,184.0,7.0,541.0,,3.0,15.0,3.0,20.0,16.0,,6.0,32.0,1.0,0.0,3.0,37.0,71.0,1.0,8893,34.0,11.0,60.0,,10.0,69.0,3.0,4.0,,5.0,5.0,2.0,53.0,125.0,12.0,7.0,4.0,33.0,88.0,,0.0,,3.0,4.0,,4.0,0.0,5.0,5.0,,41.0,17.0,1.0,1.0,,1.0,2.0,29.0,8.0,,235.0,19.0,1.0,15.0,9.0,4.0,27.0,2.0,2.0,199.0,5.0,4.0,23.0,53.0,20.0,17.0,21.0,,3.0,17.0,8.0,1.0,,3.0,2.0,,1.0,,,3.0,,,,,,1.0,,1.0,1.0,,1.0,,2.0,2.0,,1.0,3.0,1.0,,2.0,,3.0,,,3.0,2.0,,,3.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,1.0,
28,284275,2010-02-28 15:00:00,"Anfield, Liverpool",42795,Away,Blackburn Rovers,Liverpool,1,2,L,1,2,0,0,51.0,,,24.0,46.0,3.0,4.0,2.0,4.0,2.0,8.0,,8.0,201.0,51.0,,14.0,,16.0,6.0,1.0,1.0,21.0,11.0,1.0,23.0,5.0,8.0,34.0,113.0,0.0,140.0,25.0,,3.0,53.0,42.0,4.0,1.0,4.0,16.0,,7.0,3.0,178.0,6.0,587.0,,6.0,18.0,3.0,28.0,20.0,,9.0,27.0,1.0,5.0,4.0,20.0,91.0,,8893,98.0,8.0,115.0,,10.0,67.0,,1.0,1.0,7.0,3.0,1.0,68.0,207.0,10.0,7.0,2.0,42.0,109.0,1.0,0.0,,4.0,1.0,2.0,10.0,0.0,3.0,4.0,,45.6,13.0,1.0,5.0,2.0,1.0,,34.0,5.0,3.0,332.0,25.0,,15.0,14.0,6.0,35.0,1.0,3.0,238.0,6.0,6.0,23.0,65.0,15.0,14.0,16.0,2.0,3.0,8.0,5.0,2.0,2.0,3.0,1.0,2.0,2.0,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,,3.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
