gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,attLfGoal,goals,attFreekickTotal,cleanSheet,penaltyWon,attSvHighLeft,attSvLowLeft,freekickTotal,attSetpiece,attPenGoal,attGoalHighLeft,attSvLowRight,punches,attFreekickTarget,attIboxGoal,attHdTotal,attHdMiss,attIboxMiss,forwardGoals,attMissHighRight,attHdTarget,totalOffside,attSvHighCentre,attGoalLowCentre,midfielderGoals,attLgCentre,goalsConcededObox,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,expectedGoalsOnTarget,attemptsIbox,saves,fouledFinalThird,attBxRight,attGoalHighRight,expectedGoalsOnTargetConceded,attSvHighRight,attOboxGoal,winningGoal,attemptsObox,attGoalHighCentre,keeperGoals,subsGoals,touchesInOppBox,successfulOpenPlayPass,goalAssist,expectedAssists,openPlayPass,attBxCentre,attRfGoal,ownGoals,defenderGoals,goalsOpenplay,attCorner,attObpGoal,attCmissLeft,attFreekickGoal,goalAssistIntentional,attBxLeft,attHdGoal,attOpenplay,expectedGoals,postScoringAtt,goalAssistOpenplay,attIboxPost,attObxdRight,hitWoodwork,attMissHighLeft,attPostHigh,freekickCross,foulThrowIn,attPenTarget,secondYellow,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,attObxLeft,goalFastbreak,accuratePullBack,totalPullBack,accurateFreekickCross,attIboxOwnGoal,attHdPost,attPostLeft,errorLeadToGoal,attObxdLeft
11,284101,2009-11-01 16:00:00,"St. Andrew's @ Knighthead Park, Birmingham",21462.0,Home,Birmingham City,Manchester City,0,0,D,0,0,1,0,1.0,4.0,61.0,1.0,1.0,26.0,36.0,5.0,6.0,1.0,3.0,5.0,6.0,5.0,195.0,56.0,10.0,,13.0,1.0,,,1.0,1.0,16.0,19.0,4.0,20.0,3.0,24.0,39.0,99.0,0.0,124.0,10.0,1.0,3.0,44.0,42.0,4.0,3.0,1.0,13.0,6.0,1.0,179.0,8.0,615.0,6.0,21.0,34.0,24.0,11.0,20.0,,2.0,3.0,2.0,33.0,86.0,,,8358,93.0,5.0,,125.0,12.0,50.0,6.0,4.0,6.0,5.0,,68.0,189.0,8.0,10.0,,34.0,97.0,,0.0,8.0,3.0,,5.0,1.0,3.0,1.0,42.9,26.0,3.0,4.0,1.0,,43.0,4.0,4.0,318.0,34.0,11.0,13.0,4.0,29.0,,209.0,2.0,19.0,16.0,45.0,24.0,7.0,11.0,27.0,,2.0,12.0,7.0,4.0,,,,1.0,1.0,2.0,,,,,,2.0,1.0,,,2.0,2.0,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,
12,284114,2009-11-09 20:00:00,"Anfield, Liverpool",42560.0,Away,Birmingham City,Liverpool,2,2,D,2,1,0,0,,,55.0,2.0,,15.0,64.0,3.0,2.0,,1.0,7.0,4.0,2.0,179.0,58.0,5.0,,15.0,,,,,1.0,5.0,17.0,,29.0,1.0,4.0,16.0,57.0,0.0,80.0,9.0,3.0,2.0,18.0,34.0,2.0,2.0,,4.0,,2.0,144.0,18.0,495.0,2.0,16.0,27.0,32.0,3.0,38.0,,2.0,10.0,2.0,20.0,64.0,1.0,,8358,48.0,4.0,,73.0,20.0,80.0,1.0,,17.0,9.0,2.0,43.0,104.0,8.0,21.0,,30.0,76.0,,0.0,11.0,3.0,2.0,3.0,0.0,1.0,1.0,23.0,13.0,2.0,1.0,,,32.0,1.0,2.0,187.0,27.0,16.0,10.0,3.0,10.0,,119.0,2.0,2.0,16.0,33.0,11.0,4.0,13.0,27.0,2.0,3.0,26.0,4.0,1.0,,2.0,1.0,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,2.0,,,3.0,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,2.0,,,,1.0,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
13,284120,2009-11-21 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",23659.0,Home,Birmingham City,Fulham,1,0,W,1,0,0,0,,,66.0,1.0,,26.0,39.0,1.0,,,1.0,7.0,2.0,2.0,199.0,46.0,3.0,,25.0,1.0,,1.0,1.0,,8.0,11.0,,20.0,,7.0,28.0,76.0,0.0,118.0,7.0,2.0,4.0,70.0,20.0,1.0,1.0,1.0,8.0,2.0,1.0,180.0,9.0,539.0,1.0,21.0,27.0,28.0,12.0,16.0,1.0,1.0,5.0,1.0,26.0,99.0,3.0,,8358,72.0,4.0,,102.0,16.0,52.0,3.0,1.0,5.0,5.0,,71.0,147.0,9.0,4.0,,38.0,98.0,,0.0,7.0,1.0,,6.0,0.0,1.0,,34.0,13.0,3.0,1.0,,,33.0,,4.0,276.0,25.0,11.0,9.0,1.0,14.0,,182.0,2.0,5.0,14.0,44.0,16.0,4.0,5.0,16.0,,1.0,12.0,4.0,,,1.0,,1.0,,,,,,,,,2.0,,1.0,,,,,,,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,284139,2009-11-29 12:00:00,"Molineux Stadium, Wolverhampton",26668.0,Away,Birmingham City,Wolverhampton Wanderers,1,0,W,1,0,0,0,,,59.0,,1.0,17.0,80.0,6.0,1.0,4.0,4.0,2.0,7.0,5.0,202.0,55.0,13.0,1.0,15.0,2.0,2.0,,1.0,2.0,24.0,15.0,2.0,46.0,5.0,14.0,20.0,109.0,0.0,123.0,10.0,1.0,1.0,60.0,50.0,4.0,,,19.0,8.0,2.0,168.0,6.0,582.0,5.0,20.0,15.0,25.0,10.0,41.0,,1.0,3.0,3.0,35.0,78.0,2.0,,8358,63.0,9.0,,80.0,13.0,47.0,6.0,,5.0,5.0,2.0,56.0,168.0,14.0,3.0,1.0,34.0,93.0,2.0,0.0,6.0,1.0,,10.0,0.0,3.0,1.0,43.8,22.0,,,2.0,,31.0,5.0,1.0,268.0,15.0,10.0,8.0,6.0,26.0,1.0,212.0,10.0,13.0,22.0,72.0,24.0,4.0,27.0,17.0,,1.0,11.0,4.0,5.0,,1.0,,1.0,,,2.0,,1.0,,1.0,,1.0,,,2.0,2.0,4.0,,2.0,,8.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
15,284148,2009-12-05 15:00:00,"The Brick Community Stadium, Wigan",18797.0,Away,Birmingham City,Wigan Athletic,3,2,W,0,1,0,0,3.0,1.0,57.0,2.0,4.0,21.0,32.0,2.0,3.0,1.0,3.0,8.0,7.0,6.0,172.0,64.0,12.0,1.0,18.0,3.0,1.0,1.0,,,11.0,20.0,,12.0,1.0,8.0,25.0,110.0,0.0,126.0,11.0,3.0,,51.0,35.0,6.0,2.0,1.0,10.0,7.0,,152.0,12.0,544.0,3.0,11.0,21.0,17.0,7.0,15.0,1.0,0.0,2.0,1.0,27.0,102.0,2.0,,8358,67.0,1.0,1.0,85.0,12.0,59.0,5.0,2.0,6.0,6.0,,67.0,174.0,14.0,9.0,3.0,36.0,97.0,1.0,0.0,2.0,2.0,2.0,5.0,0.0,3.0,,42.3,22.0,2.0,2.0,5.0,,36.0,2.0,,279.0,21.0,15.0,10.0,1.0,23.0,,205.0,7.0,8.0,14.0,59.0,24.0,,5.0,28.0,1.0,1.0,17.0,,2.0,,3.0,2.0,,,1.0,,2.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,4.0,1.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,1.0,,,,3.0,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
16,284150,2009-12-12 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",28203.0,Home,Birmingham City,West Ham United,1,0,W,0,0,0,1,,2.0,53.0,2.0,2.0,27.0,27.0,3.0,3.0,5.0,8.0,8.0,10.0,9.0,155.0,65.0,16.0,1.0,18.0,7.0,1.0,,4.0,2.0,28.0,17.0,1.0,15.0,9.0,13.0,26.0,141.0,0.0,139.0,12.0,3.0,1.0,47.0,60.0,8.0,2.0,,19.0,6.0,1.0,143.0,4.0,577.0,7.0,16.0,21.0,15.0,8.0,13.0,,3.0,4.0,2.0,33.0,92.0,,,8358,88.0,7.0,1.0,107.0,8.0,44.0,1.0,2.0,11.0,6.0,2.0,60.0,221.0,14.0,5.0,2.0,35.0,84.0,1.0,0.0,7.0,1.0,,7.0,0.0,6.0,2.0,47.3,22.0,5.0,2.0,3.0,,40.0,11.0,1.0,319.0,21.0,2.0,13.0,4.0,27.0,2.0,240.0,11.0,10.0,23.0,81.0,24.0,2.0,9.0,20.0,,2.0,15.0,2.0,11.0,,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,,1.0,2.0,1.0,3.0,,,1.0,3.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
17,284160,2009-12-15 20:00:00,"St. Andrew's @ Knighthead Park, Birmingham",23187.0,Home,Birmingham City,Blackburn Rovers,2,1,W,1,0,0,0,2.0,,43.0,,3.0,20.0,49.0,5.0,5.0,3.0,2.0,7.0,12.0,5.0,217.0,67.0,17.0,3.0,26.0,3.0,5.0,,2.0,2.0,15.0,15.0,,25.0,3.0,15.0,24.0,149.0,0.0,163.0,10.0,1.0,2.0,63.0,61.0,9.0,1.0,,12.0,7.0,2.0,193.0,7.0,637.0,10.0,18.0,21.0,18.0,12.0,24.0,,2.0,6.0,3.0,27.0,112.0,1.0,,8358,79.0,4.0,1.0,109.0,7.0,56.0,1.0,2.0,4.0,4.0,1.0,80.0,226.0,17.0,2.0,,55.0,105.0,5.0,0.0,7.0,2.0,1.0,9.0,0.0,2.0,,50.8,16.0,1.0,2.0,6.0,1.0,30.0,6.0,2.0,368.0,21.0,11.0,7.0,6.0,21.0,,274.0,10.0,15.0,27.0,85.0,15.0,1.0,14.0,16.0,1.0,1.0,16.0,1.0,6.0,,2.0,,,,,,,1.0,,,1.0,4.0,,2.0,1.0,1.0,3.0,2.0,1.0,,4.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,1.0,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,2.0,2.0,,,,,,
18,284173,2009-12-20 15:00:00,"Goodison Park, Liverpool",33660.0,Away,Birmingham City,Everton,1,1,D,1,1,0,0,1.0,,61.0,1.0,,19.0,44.0,5.0,5.0,,,10.0,3.0,1.0,203.0,56.0,6.0,4.0,27.0,,,5.0,,,14.0,11.0,,22.0,3.0,23.0,25.0,123.0,0.0,130.0,10.0,,3.0,67.0,34.0,3.0,2.0,,11.0,2.0,1.0,180.0,19.0,615.0,2.0,13.0,23.0,20.0,6.0,30.0,5.0,3.0,7.0,,13.0,108.0,1.0,,8358,102.0,7.0,,123.0,18.0,55.0,1.0,1.0,5.0,4.0,1.0,70.0,225.0,8.0,5.0,,46.0,120.0,,0.0,6.0,1.0,1.0,5.0,0.0,,,42.0,11.0,3.0,1.0,4.0,,42.0,4.0,3.0,361.0,22.0,3.0,7.0,1.0,11.0,,252.0,1.0,21.0,18.0,48.0,26.0,2.0,14.0,19.0,1.0,2.0,21.0,3.0,4.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
19,284181,2009-12-26 12:45:00,"St. Andrew's @ Knighthead Park, Birmingham",28958.0,Home,Birmingham City,Chelsea,0,0,D,0,0,0,1,,,62.0,1.0,2.0,23.0,35.0,7.0,4.0,2.0,2.0,7.0,8.0,2.0,161.0,62.0,14.0,4.0,22.0,1.0,1.0,1.0,1.0,3.0,17.0,15.0,1.0,25.0,6.0,7.0,29.0,94.0,0.0,122.0,6.0,3.0,2.0,36.0,54.0,5.0,3.0,2.0,11.0,3.0,2.0,151.0,23.0,534.0,8.0,14.0,19.0,22.0,8.0,17.0,1.0,1.0,7.0,3.0,17.0,92.0,1.0,,8358,60.0,7.0,,77.0,14.0,47.0,5.0,1.0,7.0,4.0,1.0,70.0,152.0,17.0,7.0,,34.0,91.0,1.0,0.0,11.0,6.0,,4.0,0.0,2.0,1.0,37.0,14.0,1.0,1.0,6.0,,32.0,7.0,2.0,259.0,19.0,10.0,12.0,6.0,22.0,,199.0,9.0,5.0,13.0,48.0,23.0,4.0,10.0,25.0,,2.0,9.0,4.0,7.0,,,3.0,1.0,,1.0,,3.0,,,,,1.0,1.0,,1.0,1.0,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,284197,2009-12-28 15:00:00,"bet365 Stadium, Stoke",27211.0,Away,Birmingham City,Stoke City,1,0,W,0,0,0,0,1.0,,53.0,,2.0,19.0,64.0,8.0,4.0,2.0,5.0,4.0,8.0,4.0,191.0,64.0,14.0,3.0,24.0,1.0,,1.0,1.0,2.0,17.0,14.0,2.0,26.0,6.0,7.0,26.0,117.0,0.0,112.0,15.0,1.0,1.0,35.0,48.0,3.0,1.0,2.0,11.0,6.0,3.0,153.0,10.0,557.0,6.0,14.0,13.0,25.0,7.0,40.0,1.0,3.0,5.0,5.0,17.0,75.0,1.0,,8358,70.0,5.0,,97.0,11.0,56.0,5.0,1.0,4.0,5.0,1.0,60.0,182.0,16.0,3.0,2.0,37.0,86.0,,0.0,10.0,2.0,,3.0,0.0,2.0,1.0,49.8,11.0,2.0,1.0,5.0,,30.0,7.0,1.0,295.0,13.0,10.0,11.0,5.0,21.0,3.0,215.0,7.0,5.0,25.0,51.0,19.0,9.0,16.0,19.0,,1.0,9.0,9.0,7.0,,1.0,2.0,1.0,,,1.0,2.0,,,,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
21,284201,2010-01-09 17:30:00,"St. Andrew's @ Knighthead Park, Birmingham",28907.0,Home,Birmingham City,Manchester United,1,1,D,1,0,0,1,2.0,2.0,62.0,,2.0,18.0,42.0,1.0,3.0,1.0,2.0,3.0,3.0,4.0,207.0,57.0,7.0,,13.0,3.0,,,2.0,,12.0,18.0,,23.0,2.0,15.0,26.0,110.0,0.0,141.0,13.0,1.0,1.0,55.0,62.0,3.0,1.0,,10.0,3.0,1.0,188.0,16.0,578.0,3.0,19.0,21.0,31.0,11.0,23.0,,2.0,13.0,,35.0,88.0,,,8358,80.0,5.0,2.0,111.0,8.0,60.0,4.0,,6.0,4.0,,57.0,188.0,13.0,9.0,,39.0,85.0,,0.0,12.0,3.0,1.0,7.0,0.0,2.0,2.0,37.2,20.0,5.0,,2.0,,31.0,2.0,1.0,317.0,21.0,15.0,7.0,1.0,22.0,,218.0,3.0,10.0,14.0,67.0,18.0,4.0,15.0,27.0,1.0,1.0,15.0,4.0,2.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,3.0,,,,,,1.0,,,,,,,4.0,1.0,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,4.0,,,,,,,1.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,
22,284216,2010-03-09 19:45:00,"Fratton Park, Portsmouth",18465.0,Away,Birmingham City,Portsmouth,2,1,W,2,0,0,0,,1.0,64.0,1.0,1.0,41.0,46.0,4.0,3.0,1.0,3.0,4.0,7.0,4.0,180.0,50.0,13.0,3.0,12.0,2.0,,,1.0,1.0,15.0,13.0,,24.0,4.0,17.0,24.0,148.0,0.0,137.0,15.0,2.0,3.0,67.0,39.0,5.0,1.0,2.0,11.0,3.0,1.0,158.0,9.0,674.0,4.0,4.0,17.0,32.0,9.0,27.0,,2.0,4.0,2.0,21.0,80.0,3.0,,8358,166.0,8.0,,192.0,5.0,54.0,5.0,5.0,4.0,,2.0,81.0,311.0,11.0,9.0,1.0,42.0,79.0,,0.0,6.0,2.0,1.0,2.0,0.0,2.0,5.0,49.0,9.0,5.0,5.0,4.0,,30.0,5.0,4.0,417.0,16.0,8.0,9.0,5.0,19.0,1.0,240.0,9.0,15.0,17.0,81.0,12.0,3.0,14.0,18.0,1.0,3.0,15.0,3.0,5.0,,2.0,1.0,,,,,1.0,,,,1.0,1.0,,2.0,1.0,1.0,4.0,2.0,,,4.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
23,284228,2010-01-27 19:45:00,"Stamford Bridge, London",41293.0,Away,Birmingham City,Chelsea,0,3,L,0,2,0,0,,,58.0,3.0,,28.0,35.0,3.0,,1.0,2.0,7.0,6.0,1.0,164.0,40.0,6.0,2.0,14.0,1.0,1.0,,,2.0,13.0,13.0,,19.0,3.0,10.0,36.0,151.0,0.0,108.0,11.0,2.0,1.0,47.0,64.0,3.0,2.0,1.0,10.0,1.0,1.0,148.0,18.0,688.0,5.0,10.0,17.0,22.0,4.0,10.0,,1.0,10.0,3.0,24.0,78.0,,,8358,191.0,7.0,,212.0,12.0,57.0,,4.0,11.0,5.0,,69.0,340.0,11.0,10.0,1.0,26.0,100.0,1.0,0.0,8.0,3.0,3.0,3.0,0.0,1.0,,42.4,20.0,,4.0,2.0,,50.0,3.0,1.0,442.0,17.0,17.0,20.0,3.0,12.0,1.0,243.0,5.0,9.0,3.0,51.0,22.0,1.0,5.0,19.0,2.0,2.0,12.0,1.0,3.0,,,,,,1.0,,,,,,,,,,1.0,1.0,2.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,284231,2010-01-30 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",27238.0,Home,Birmingham City,Tottenham Hotspur,1,1,D,0,0,0,0,,,70.0,,2.0,22.0,60.0,7.0,8.0,2.0,3.0,6.0,10.0,3.0,194.0,51.0,14.0,3.0,24.0,2.0,,,1.0,3.0,22.0,12.0,,33.0,4.0,13.0,28.0,164.0,0.0,148.0,13.0,2.0,1.0,28.0,90.0,5.0,2.0,1.0,18.0,6.0,4.0,167.0,11.0,686.0,8.0,18.0,16.0,31.0,8.0,31.0,,4.0,9.0,5.0,18.0,77.0,1.0,,8358,119.0,10.0,,138.0,15.0,66.0,2.0,,11.0,5.0,1.0,59.0,280.0,8.0,10.0,1.0,34.0,100.0,,0.0,8.0,2.0,1.0,6.0,0.0,2.0,1.0,52.4,16.0,2.0,,5.0,,40.0,5.0,1.0,396.0,16.0,6.0,6.0,6.0,24.0,1.0,280.0,5.0,12.0,18.0,84.0,23.0,4.0,21.0,19.0,1.0,2.0,19.0,4.0,5.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
25,284240,2010-02-07 13:30:00,"St. Andrew's @ Knighthead Park, Birmingham",24165.0,Home,Birmingham City,Wolverhampton Wanderers,2,1,W,0,1,0,0,,1.0,48.0,2.0,1.0,22.0,29.0,5.0,2.0,2.0,6.0,6.0,13.0,6.0,227.0,50.0,17.0,3.0,22.0,4.0,2.0,2.0,2.0,1.0,32.0,8.0,,13.0,10.0,13.0,34.0,148.0,0.0,155.0,12.0,1.0,2.0,53.0,69.0,9.0,1.0,4.0,22.0,11.0,3.0,211.0,8.0,623.0,10.0,15.0,14.0,19.0,11.0,16.0,3.0,5.0,4.0,4.0,35.0,114.0,3.0,,8358,85.0,11.0,2.0,125.0,12.0,57.0,3.0,4.0,7.0,4.0,1.0,64.0,227.0,18.0,2.0,1.0,37.0,93.0,2.0,0.0,4.0,1.0,1.0,3.0,0.0,4.0,1.0,55.1,24.0,2.0,4.0,4.0,,39.0,10.0,2.0,366.0,13.0,11.0,13.0,7.0,27.0,2.0,273.0,11.0,12.0,17.0,79.0,15.0,2.0,5.0,9.0,1.0,3.0,16.0,2.0,11.0,,2.0,1.0,,,,1.0,1.0,,,,,,,2.0,4.0,3.0,4.0,2.0,,1.0,6.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,2.0,,,,,,2.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,
26,284253,2010-02-10 19:45:00,"Boleyn Ground, London",34458.0,Away,Birmingham City,West Ham United,0,2,L,0,1,0,0,1.0,,45.0,4.0,2.0,36.0,41.0,6.0,3.0,1.0,5.0,16.0,8.0,2.0,192.0,83.0,11.0,,18.0,1.0,1.0,,,1.0,33.0,16.0,1.0,21.0,5.0,18.0,37.0,167.0,0.0,146.0,9.0,2.0,,75.0,52.0,4.0,1.0,3.0,28.0,12.0,5.0,172.0,9.0,681.0,7.0,14.0,12.0,22.0,9.0,26.0,,2.0,2.0,4.0,34.0,93.0,2.0,,8358,124.0,13.0,,140.0,12.0,56.0,4.0,3.0,5.0,6.0,1.0,63.0,286.0,13.0,5.0,1.0,26.0,91.0,1.0,0.0,3.0,2.0,2.0,2.0,0.0,3.0,1.0,52.8,28.0,2.0,3.0,2.0,,48.0,6.0,,388.0,12.0,17.0,21.0,7.0,28.0,2.0,281.0,7.0,15.0,26.0,79.0,16.0,2.0,14.0,28.0,1.0,2.0,24.0,2.0,6.0,,,,,,1.0,,,1.0,,,,,,,1.0,,2.0,,2.0,1.0,4.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
27,284264,2010-02-21 15:00:00,"Craven Cottage, London",21758.0,Away,Birmingham City,Fulham,1,2,L,1,0,0,0,,4.0,57.0,2.0,1.0,25.0,28.0,7.0,6.0,1.0,1.0,4.0,9.0,5.0,220.0,59.0,10.0,2.0,20.0,2.0,,,,1.0,14.0,17.0,3.0,17.0,1.0,21.0,41.0,155.0,0.0,197.0,17.0,1.0,1.0,61.0,78.0,7.0,,,13.0,5.0,2.0,209.0,6.0,606.0,9.0,23.0,30.0,19.0,18.0,17.0,,1.0,1.0,2.0,27.0,129.0,,,8358,84.0,8.0,,112.0,11.0,63.0,4.0,,7.0,2.0,,74.0,238.0,9.0,9.0,,57.0,113.0,,0.0,3.0,2.0,2.0,10.0,0.0,1.0,2.0,43.0,18.0,3.0,,3.0,,42.0,1.0,1.0,399.0,30.0,13.0,13.0,2.0,26.0,,301.0,4.0,18.0,27.0,91.0,22.0,2.0,7.0,19.0,,3.0,8.0,2.0,1.0,,1.0,,,,1.0,1.0,,,,,3.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,10.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
28,284270,2010-02-27 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",25921.0,Home,Birmingham City,Wigan Athletic,1,0,W,1,0,0,0,,3.0,50.0,1.0,,30.0,47.0,3.0,7.0,1.0,5.0,6.0,8.0,5.0,190.0,74.0,12.0,2.0,17.0,4.0,1.0,,2.0,1.0,16.0,15.0,,21.0,1.0,21.0,35.0,156.0,0.0,136.0,16.0,1.0,2.0,61.0,44.0,4.0,,3.0,15.0,5.0,1.0,164.0,5.0,650.0,4.0,18.0,21.0,19.0,11.0,28.0,,1.0,5.0,4.0,35.0,102.0,1.0,1.0,8358,97.0,7.0,,117.0,10.0,63.0,2.0,2.0,7.0,6.0,,65.0,248.0,18.0,7.0,4.0,37.0,105.0,1.0,0.0,7.0,1.0,,9.0,0.0,4.0,2.0,48.0,26.0,,2.0,2.0,,46.0,2.0,2.0,363.0,21.0,15.0,16.0,5.0,24.0,1.0,262.0,2.0,19.0,24.0,72.0,23.0,3.0,13.0,26.0,,3.0,14.0,3.0,2.0,1.0,1.0,,1.0,1.0,,1.0,,2.0,1.0,,1.0,,,1.0,3.0,2.0,3.0,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,
