gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,penaltySave,attGoalLowLeft,goalAssistSetplay,goals,attCmissRight,attIboxTarget,attBxRight,attMissHighRight,cleanSheet,crosses18yardplus,attOboxMiss,attHdTarget,attMissHighLeft,goalAssist,accurateFreekickCross,attCmissHigh,defenderGoals,attMissHigh,attAssistSetplay,attCorner,attIboxGoal,accurateFlickOn,goalAssistIntentional,attBxLeft,accurateCornersIntobox,attHdGoal,bigChanceScored,attGoalLowRight,goalAssistDeadball,attLfGoal,attGoalLowCentre,goalAssistOpenplay,midfielderGoals,bigChanceCreated,accurateThroughBall,errorLeadToShot,bigChanceMissed,attRfGoal,totalThroughBall,goalsOpenplay,attCmissHighRight,clearanceOffLine,forwardGoals,effectiveBlockedCross,blockedCross,postScoringAtt,attIboxPost,attGoalHighRight,attOneOnOne,attOboxGoal,contentiousDecision,hitWoodwork,attPostHigh,accuratePullBack,shieldBallOop,attFreekickMiss,attSvHighRight,penaltyWon,attSvHighLeft,attPenGoal,goalFastbreak,sixYardBlock,attCmissHighLeft,attPenPost,attFreekickTarget,accurateKeeperSweeper,totalKeeperSweeper,winningGoal,attGoalHighCentre,keeperGoals,secondYellow,subsGoals,ownGoals,attGoalHighLeft,attObpGoal,attFreekickGoal,attPostLeft,attHdPost,attOboxPost,attPostRight,ptsGainedLosingPos,attObxdRight,punches,ptsDroppedWinningPos,attObxRight,errorLeadToGoal,foulThrowIn,attLgCentre,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attIboxOwnGoal,attObxdLeft
11,2128386,2021-01-23 20:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Newcastle United,2,0,W,2,0,0,0,,,2.0,26.0,56.0,1.0,1.0,41.0,27.0,5.0,6.0,9.0,1.0,1.0,179.0,19.0,4.0,3.0,4.0,9.0,5.0,139.0,117.0,48.0,,14.0,2.0,14.0,2.0,2.0,1.0,16.0,6.0,1.0,27.0,3.0,7.0,34.0,238.0,0.0,131.0,9.0,1.0,2.0,1.0,3.0,1.0,63.0,62.0,5.0,88.0,1.0,3.0,13.0,22.0,5.0,,117.0,6.0,161.0,758.0,6.0,4.0,18.0,12.0,478.0,26.0,5.0,18.0,0.0,2.0,4.0,15.0,543.0,52.0,98980,5.0,265.0,4.0,3.0,,287.0,3.0,,22.0,3.0,45.0,1.0,4.0,21.0,1.0,1.0,60.0,499.0,18.0,8.0,13.0,73.0,2.0,,,0.0,,4.0,,,0.0,3.0,3.0,59.2,14.0,2.0,4.0,,4.0,3.0,53.0,4.0,,1.0,567.0,,12.0,10.0,22.0,6.0,27.0,4.0,296.0,5.0,6.0,16.0,107.0,20.0,18.0,11.0,,8.0,3.0,7.0,15.0,5.0,,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,6.0,2.0,,1.0,1.0,2.0,,,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,3.0,1.0,,1.0,,,1.0,3.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2128405,2020-12-12 12:30:00,"Molineux Stadium, Wolverhampton",,Away,Aston Villa,Wolverhampton Wanderers,1,0,W,0,0,1,1,0.0,1.0,,30.0,58.0,3.0,3.0,27.0,22.0,5.0,3.0,8.0,7.0,1.0,135.0,20.0,2.0,9.0,5.0,8.0,2.0,71.0,149.0,63.0,1.0,13.0,2.0,22.0,,,4.0,28.0,3.0,,22.0,7.0,3.0,40.0,150.0,0.0,120.0,15.0,6.0,,1.0,6.0,,82.0,46.0,5.0,51.0,1.0,1.0,21.0,11.0,5.0,1.0,149.0,10.0,74.0,542.0,6.0,4.0,33.0,9.0,235.0,19.0,7.0,13.0,5.0,5.0,3.0,24.0,307.0,55.0,98980,3.0,105.0,10.0,,,123.0,5.0,,11.0,1.0,69.0,2.0,5.0,20.0,6.0,1.0,58.0,253.0,21.0,18.0,19.0,65.0,,,1.0,0.0,1.0,5.0,4.0,0.0,1.0,,1.0,49.5,17.0,1.0,2.0,,5.0,5.0,37.0,8.0,,,331.0,,9.0,8.0,18.0,6.0,34.0,3.0,236.0,9.0,3.0,26.0,81.0,26.0,13.0,8.0,0.0,8.0,2.0,16.0,2.0,8.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,,,,,,0.0,,2.0,2.0,1.0,1.0,,3.0,2.0,0.0,1.0,1.0,,0.0,0.0,,0.0,,,1.0,,1.0,,0.0,1.0,,,1.0,1.0,,,0.0,,0.0,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
13,2128407,2020-12-17 18:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Burnley,0,0,D,0,0,0,0,,,2.0,25.0,66.0,2.0,5.0,27.0,12.0,9.0,6.0,18.0,4.0,4.0,164.0,14.0,8.0,16.0,5.0,22.0,7.0,76.0,166.0,68.0,1.0,27.0,4.0,25.0,,2.0,2.0,27.0,4.0,1.0,12.0,6.0,4.0,44.0,168.0,0.0,120.0,17.0,1.0,,1.0,4.0,,76.0,51.0,13.0,58.0,,2.0,21.0,16.0,9.0,1.0,166.0,3.0,90.0,597.0,19.0,2.0,41.0,9.0,260.0,26.0,5.0,6.0,1.0,,9.0,24.0,359.0,41.0,98980,10.0,123.0,11.0,1.0,,158.0,6.0,1.0,16.0,4.0,62.0,1.0,4.0,20.0,3.0,2.0,69.0,283.0,18.0,4.0,27.0,76.0,,2.0,2.0,0.0,1.0,1.0,2.0,,0.0,5.0,5.0,59.1,23.0,3.0,7.0,,4.0,9.0,37.0,10.0,,,388.0,,9.0,16.0,20.0,11.0,34.0,6.0,257.0,16.0,4.0,28.0,88.0,25.0,6.0,6.0,,19.0,1.0,19.0,7.0,11.0,,,,,1.0,6.0,1.0,3.0,1.0,6.0,4.0,1.0,1.0,,,,,2.0,3.0,6.0,,1.0,,5.0,3.0,,,,,,,,,,,,1.0,,,,2.0,,,,,1.0,1.0,,,,,2.0,,,1.0,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
14,2128425,2020-12-20 19:15:00,"The Hawthorns, West Bromwich",,Away,Aston Villa,West Bromwich Albion,3,0,W,1,0,0,1,,1.0,2.0,24.0,66.0,1.0,1.0,26.0,12.0,8.0,6.0,11.0,1.0,4.0,196.0,16.0,6.0,14.0,6.0,16.0,10.0,154.0,147.0,68.0,1.0,19.0,2.0,19.0,1.0,3.0,1.0,27.0,7.0,2.0,12.0,4.0,7.0,42.0,329.0,0.0,211.0,8.0,,2.0,3.0,3.0,,96.0,95.0,10.0,83.0,,2.0,23.0,16.0,8.0,1.0,147.0,,143.0,763.0,13.0,3.0,45.0,10.0,479.0,26.0,2.0,6.0,2.0,,6.0,18.0,562.0,84.0,98980,7.0,170.0,16.0,1.0,,193.0,3.0,1.0,16.0,,50.0,4.0,5.0,19.0,1.0,,52.0,493.0,14.0,9.0,9.0,78.0,1.0,,1.0,0.0,2.0,1.0,,,0.0,5.0,4.0,67.3,15.0,3.0,4.0,,5.0,3.0,50.0,7.0,,,576.0,,10.0,9.0,19.0,6.0,36.0,3.0,410.0,9.0,7.0,29.0,167.0,31.0,6.0,11.0,,16.0,,20.0,3.0,7.0,,2.0,,3.0,2.0,5.0,,1.0,1.0,4.0,3.0,1.0,,2.0,1.0,,,2.0,1.0,,2.0,1.0,1.0,3.0,1.0,,2.0,,,1.0,,2.0,3.0,2.0,,,1.0,2.0,,2.0,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,2128427,2020-12-26 15:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Crystal Palace,3,0,W,1,0,1,0,,1.0,2.0,32.0,63.0,4.0,5.0,29.0,26.0,3.0,7.0,17.0,6.0,4.0,143.0,19.0,7.0,14.0,4.0,15.0,9.0,52.0,124.0,76.0,,20.0,,20.0,5.0,5.0,1.0,17.0,6.0,1.0,26.0,4.0,6.0,31.0,153.0,0.0,126.0,18.0,2.0,6.0,1.0,3.0,3.0,54.0,64.0,9.0,43.0,1.0,,13.0,9.0,3.0,,124.0,6.0,60.0,503.0,12.0,5.0,31.0,12.0,196.0,23.0,3.0,12.0,1.0,1.0,6.0,13.0,264.0,59.0,98980,11.0,68.0,8.0,3.0,,95.0,10.0,2.0,9.0,10.0,58.0,1.0,5.0,14.0,7.0,6.0,66.0,214.0,16.0,9.0,18.0,70.0,5.0,,1.0,0.0,1.0,4.0,2.0,,1.0,6.0,3.0,38.6,11.0,1.0,3.0,,5.0,5.0,34.0,4.0,,4.0,298.0,,12.0,5.0,17.0,6.0,27.0,2.0,220.0,8.0,4.0,30.0,90.0,24.0,12.0,17.0,,15.0,3.0,21.0,3.0,4.0,,,,3.0,,5.0,1.0,,1.0,2.0,1.0,,,1.0,2.0,,1.0,2.0,2.0,2.0,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,2.0,5.0,2.0,1.0,6.0,2.0,2.0,2.0,,,,4.0,4.0,3.0,2.0,,,,,3.0,1.0,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
16,2128438,2020-12-28 17:30:00,"Stamford Bridge, London",,Away,Aston Villa,Chelsea,1,1,D,0,1,0,0,,,,32.0,59.0,3.0,3.0,26.0,20.0,3.0,3.0,7.0,4.0,1.0,134.0,15.0,2.0,10.0,1.0,9.0,2.0,56.0,146.0,63.0,,10.0,,15.0,,,,19.0,8.0,,20.0,3.0,6.0,45.0,122.0,0.0,117.0,3.0,3.0,,,1.0,3.0,75.0,25.0,5.0,45.0,,2.0,16.0,19.0,3.0,,146.0,10.0,79.0,532.0,6.0,7.0,18.0,13.0,207.0,21.0,4.0,11.0,1.0,4.0,4.0,24.0,279.0,60.0,98980,3.0,106.0,9.0,2.0,,126.0,2.0,,19.0,10.0,39.0,1.0,3.0,20.0,6.0,5.0,62.0,226.0,16.0,4.0,12.0,60.0,,1.0,,0.0,1.0,11.0,1.0,1.0,0.0,2.0,1.0,36.6,22.0,1.0,8.0,,3.0,3.0,31.0,4.0,,3.0,314.0,,13.0,10.0,21.0,5.0,31.0,2.0,207.0,6.0,4.0,19.0,69.0,20.0,11.0,19.0,1.0,7.0,2.0,17.0,14.0,4.0,,,,1.0,1.0,1.0,2.0,1.0,,6.0,2.0,,1.0,1.0,,,,,2.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
17,2128451,2021-01-01 20:00:00,"Old Trafford, Manchester",,Away,Aston Villa,Manchester United,1,2,L,0,1,0,0,,1.0,2.0,34.0,64.0,3.0,3.0,26.0,18.0,2.0,5.0,12.0,7.0,1.0,167.0,13.0,8.0,10.0,5.0,11.0,5.0,93.0,130.0,65.0,1.0,15.0,1.0,22.0,,,3.0,27.0,13.0,1.0,18.0,9.0,2.0,37.0,182.0,0.0,142.0,10.0,5.0,,3.0,3.0,,92.0,54.0,6.0,68.0,3.0,,18.0,19.0,3.0,1.0,130.0,12.0,89.0,625.0,9.0,3.0,25.0,11.0,306.0,21.0,3.0,9.0,0.0,5.0,5.0,18.0,381.0,54.0,98980,5.0,158.0,7.0,2.0,1.0,176.0,5.0,,19.0,10.0,51.0,1.0,10.0,8.0,7.0,6.0,58.0,332.0,22.0,9.0,12.0,63.0,,,1.0,0.0,3.0,5.0,4.0,2.0,0.0,7.0,4.0,51.6,15.0,3.0,3.0,1.0,10.0,4.0,35.0,10.0,1.0,,417.0,1.0,11.0,6.0,14.0,6.0,34.0,5.0,268.0,5.0,2.0,15.0,100.0,27.0,9.0,18.0,2.0,10.0,2.0,15.0,11.0,10.0,,,1.0,1.0,,3.0,2.0,,,8.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,,1.0,,,1.0,1.0,,1.0,2.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
18,2128457,2021-03-21 19:30:00,"Villa Park, Birmingham",,Home,Aston Villa,Tottenham Hotspur,0,2,L,0,1,0,0,,,,43.0,66.0,,4.0,19.0,17.0,4.0,3.0,4.0,1.0,1.0,185.0,18.0,3.0,9.0,4.0,7.0,1.0,75.0,152.0,64.0,,8.0,1.0,19.0,,,1.0,25.0,14.0,1.0,17.0,3.0,7.0,46.0,160.0,0.0,122.0,18.0,1.0,,,5.0,1.0,70.0,64.0,5.0,71.0,2.0,,22.0,13.0,4.0,,152.0,6.0,85.0,613.0,7.0,3.0,19.0,12.0,303.0,33.0,1.0,8.0,3.0,3.0,2.0,19.0,397.0,63.0,98980,4.0,165.0,12.0,,1.0,193.0,10.0,4.0,13.0,4.0,74.0,1.0,2.0,12.0,3.0,4.0,49.0,322.0,13.0,19.0,12.0,63.0,,1.0,1.0,0.0,,8.0,1.0,2.0,0.0,3.0,,50.1,14.0,,2.0,,2.0,5.0,35.0,5.0,1.0,1.0,416.0,1.0,12.0,6.0,21.0,2.0,35.0,,248.0,5.0,5.0,18.0,77.0,29.0,8.0,24.0,2.0,6.0,3.0,21.0,10.0,5.0,,,,,,,,,,5.0,1.0,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,2.0,2.0,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,
19,2128467,2021-05-13 18:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Everton,0,0,D,0,0,0,0,,,1.0,,52.0,1.0,4.0,33.0,16.0,6.0,6.0,7.0,5.0,1.0,158.0,,4.0,12.0,3.0,11.0,2.0,143.0,122.0,47.0,1.0,13.0,,22.0,,1.0,1.0,20.0,5.0,2.0,16.0,7.0,10.0,35.0,187.0,0.0,106.0,9.0,2.0,,1.0,2.0,2.0,71.0,54.0,4.0,68.0,1.0,1.0,15.0,13.0,6.0,1.0,122.0,10.0,133.0,671.0,8.0,4.0,18.0,6.0,401.0,24.0,3.0,7.0,2.0,1.0,7.0,17.0,477.0,35.0,98980,4.0,238.0,9.0,,,265.0,3.0,,13.0,8.0,45.0,,9.0,12.0,5.0,4.0,58.0,421.0,12.0,6.0,15.0,71.0,,,,0.0,3.0,1.0,4.0,,0.0,3.0,2.0,58.0,16.0,2.0,2.0,,9.0,4.0,50.0,9.0,,2.0,502.0,,6.0,5.0,21.0,7.0,30.0,3.0,257.0,5.0,10.0,16.0,75.0,15.0,7.0,7.0,,6.0,3.0,16.0,5.0,9.0,,,,,1.0,,1.0,1.0,1.0,4.0,4.0,,1.0,,,,,3.0,3.0,6.0,,1.0,,2.0,3.0,,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2128477,2021-01-27 18:00:00,"Turf Moor, Burnley",,Away,Aston Villa,Burnley,2,3,L,1,0,0,0,1.0,,4.0,28.0,57.0,,3.0,34.0,16.0,4.0,10.0,14.0,2.0,4.0,186.0,18.0,5.0,6.0,3.0,15.0,10.0,98.0,165.0,51.0,1.0,18.0,,25.0,2.0,6.0,1.0,22.0,2.0,3.0,16.0,3.0,8.0,43.0,181.0,0.0,155.0,7.0,2.0,2.0,,2.0,3.0,70.0,62.0,12.0,80.0,1.0,,19.0,11.0,4.0,1.0,165.0,5.0,111.0,662.0,12.0,5.0,33.0,7.0,349.0,27.0,7.0,9.0,0.0,2.0,3.0,30.0,444.0,75.0,98980,5.0,193.0,9.0,1.0,,225.0,1.0,2.0,11.0,7.0,57.0,2.0,5.0,13.0,5.0,4.0,92.0,369.0,16.0,4.0,39.0,83.0,2.0,,,0.0,1.0,2.0,2.0,3.0,0.0,3.0,1.0,61.8,26.0,1.0,,2.0,5.0,3.0,34.0,4.0,,3.0,475.0,,7.0,8.0,14.0,5.0,31.0,3.0,272.0,6.0,7.0,23.0,112.0,22.0,9.0,6.0,2.0,13.0,3.0,20.0,3.0,4.0,,1.0,,2.0,,5.0,3.0,,,8.0,1.0,,2.0,2.0,1.0,,,1.0,1.0,3.0,2.0,1.0,2.0,4.0,2.0,,2.0,1.0,,,,2.0,1.0,4.0,1.0,,3.0,2.0,1.0,2.0,,,1.0,3.0,3.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
21,2128493,2021-01-30 20:00:00,"St. Mary's Stadium, Southampton",,Away,Aston Villa,Southampton,1,0,W,1,0,0,0,,1.0,2.0,27.0,48.0,1.0,1.0,30.0,22.0,,3.0,7.0,4.0,1.0,146.0,12.0,1.0,4.0,3.0,5.0,4.0,70.0,143.0,55.0,,8.0,,11.0,,1.0,,10.0,13.0,,22.0,1.0,5.0,35.0,142.0,0.0,113.0,11.0,3.0,,2.0,2.0,,78.0,31.0,3.0,64.0,7.0,1.0,9.0,14.0,1.0,,143.0,11.0,56.0,535.0,3.0,8.0,21.0,16.0,231.0,16.0,5.0,9.0,0.0,10.0,2.0,23.0,309.0,48.0,98980,3.0,108.0,4.0,1.0,,130.0,3.0,2.0,14.0,9.0,57.0,5.0,1.0,9.0,9.0,6.0,58.0,249.0,11.0,12.0,22.0,58.0,,,,0.0,5.0,7.0,4.0,,0.0,1.0,1.0,40.2,19.0,,5.0,,1.0,1.0,30.0,1.0,,,336.0,,16.0,15.0,21.0,3.0,18.0,2.0,216.0,4.0,4.0,17.0,74.0,22.0,9.0,23.0,,7.0,1.0,13.0,6.0,1.0,,1.0,,1.0,,3.0,,,1.0,3.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,5.0,1.0,4.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
22,2128496,2021-02-03 20:15:00,"Villa Park, Birmingham",,Home,Aston Villa,West Ham United,1,3,L,0,0,0,0,,1.0,1.0,32.0,52.0,4.0,2.0,29.0,14.0,3.0,2.0,6.0,6.0,,146.0,14.0,4.0,10.0,8.0,7.0,2.0,125.0,137.0,54.0,1.0,9.0,,13.0,,,,23.0,6.0,1.0,14.0,7.0,9.0,39.0,215.0,0.0,157.0,11.0,4.0,,,5.0,1.0,87.0,46.0,4.0,68.0,1.0,3.0,16.0,18.0,3.0,1.0,137.0,11.0,141.0,671.0,5.0,4.0,27.0,4.0,378.0,13.0,4.0,8.0,1.0,6.0,3.0,17.0,459.0,56.0,98980,4.0,186.0,5.0,2.0,,207.0,4.0,,18.0,5.0,44.0,1.0,8.0,15.0,9.0,4.0,49.0,397.0,16.0,6.0,15.0,60.0,,,,0.0,,3.0,3.0,3.0,0.0,3.0,2.0,56.5,14.0,1.0,5.0,1.0,9.0,2.0,39.0,7.0,,1.0,480.0,,4.0,10.0,22.0,5.0,38.0,2.0,296.0,5.0,7.0,15.0,115.0,24.0,8.0,13.0,3.0,5.0,3.0,15.0,13.0,7.0,,,,1.0,2.0,,1.0,,,6.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
23,2128506,2021-02-06 12:30:00,"Villa Park, Birmingham",,Home,Aston Villa,Arsenal,1,0,W,1,0,0,0,,1.0,3.0,33.0,53.0,2.0,1.0,32.0,27.0,3.0,6.0,9.0,3.0,3.0,143.0,16.0,2.0,10.0,,11.0,8.0,54.0,127.0,63.0,,12.0,,19.0,1.0,1.0,2.0,8.0,8.0,3.0,27.0,2.0,4.0,35.0,131.0,0.0,114.0,12.0,2.0,1.0,1.0,,2.0,65.0,63.0,8.0,58.0,3.0,1.0,6.0,15.0,3.0,,127.0,10.0,61.0,508.0,10.0,6.0,21.0,10.0,215.0,17.0,6.0,15.0,3.0,5.0,3.0,21.0,283.0,51.0,98980,5.0,103.0,3.0,,,122.0,7.0,1.0,15.0,12.0,47.0,1.0,2.0,18.0,4.0,6.0,69.0,232.0,11.0,5.0,21.0,67.0,1.0,4.0,1.0,0.0,3.0,7.0,1.0,,0.0,2.0,1.0,33.6,18.0,,8.0,,2.0,1.0,34.0,3.0,,2.0,316.0,,10.0,4.0,18.0,3.0,17.0,3.0,202.0,5.0,4.0,24.0,79.0,18.0,15.0,18.0,,11.0,2.0,18.0,8.0,3.0,,1.0,,1.0,1.0,4.0,1.0,,1.0,3.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,6.0,6.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2128517,2021-02-13 20:00:00,"American Express Stadium, Falmer",,Away,Aston Villa,Brighton and Hove Albion,0,0,D,0,0,0,0,,,,25.0,65.0,5.0,,24.0,24.0,3.0,,1.0,9.0,1.0,134.0,18.0,,6.0,1.0,3.0,1.0,89.0,140.0,40.0,,4.0,2.0,19.0,,1.0,,9.0,5.0,1.0,24.0,2.0,6.0,40.0,142.0,0.0,104.0,12.0,7.0,,,4.0,,88.0,33.0,2.0,64.0,3.0,1.0,7.0,17.0,3.0,,140.0,15.0,85.0,555.0,3.0,5.0,10.0,12.0,267.0,35.0,7.0,11.0,3.0,10.0,1.0,20.0,352.0,56.0,98980,1.0,139.0,1.0,,,172.0,5.0,,17.0,6.0,47.0,3.0,5.0,19.0,11.0,4.0,56.0,281.0,14.0,5.0,26.0,57.0,,,,0.0,2.0,9.0,4.0,,0.0,,,41.8,15.0,,5.0,,5.0,2.0,35.0,2.0,,,372.0,,12.0,9.0,18.0,1.0,18.0,1.0,209.0,4.0,4.0,10.0,68.0,16.0,11.0,10.0,,4.0,3.0,8.0,10.0,2.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2128527,2021-02-21 14:05:00,"Villa Park, Birmingham",,Home,Aston Villa,Leicester City,1,2,L,0,2,0,0,1.0,1.0,,32.0,47.0,3.0,3.0,31.0,9.0,5.0,6.0,6.0,5.0,1.0,139.0,12.0,6.0,9.0,1.0,7.0,2.0,115.0,146.0,59.0,,11.0,1.0,21.0,,,3.0,28.0,10.0,1.0,9.0,6.0,9.0,40.0,174.0,0.0,129.0,11.0,3.0,,1.0,1.0,,77.0,54.0,5.0,54.0,2.0,,22.0,17.0,5.0,,146.0,8.0,122.0,634.0,7.0,3.0,22.0,9.0,329.0,26.0,1.0,7.0,2.0,7.0,2.0,40.0,408.0,54.0,98980,3.0,177.0,8.0,1.0,,205.0,6.0,,17.0,5.0,50.0,4.0,5.0,11.0,8.0,4.0,59.0,345.0,12.0,4.0,15.0,64.0,,,,0.0,1.0,8.0,2.0,2.0,0.0,5.0,1.0,49.9,33.0,1.0,,,5.0,4.0,37.0,7.0,,,430.0,,9.0,8.0,18.0,5.0,34.0,2.0,253.0,3.0,6.0,22.0,94.0,14.0,7.0,17.0,1.0,6.0,3.0,17.0,4.0,7.0,,1.0,,1.0,,,,,,13.0,3.0,,1.0,,,,,1.0,,4.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
