gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,shotFastbreak,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attCmissRight,attFreekickTotal,attOboxBlocked,divingSave,goodHighClaim,attMissRight,freekickTotal,attCmissHigh,punches,overrun,savedIbox,totalHighClaim,attFreekickMiss,attLfTarget,attGoalLowRight,attLfGoal,attIboxTarget,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attIboxPost,attSvLowLeft,attFreekickPost,attPostLeft,attHdTarget,hitWoodwork,goalAssist,attCmissLeft,attOboxPost,attPostHigh,goalsConceded,goalAssistIntentional,goalsConcededIbox,accurateKeeperSweeper,attMissHighRight,sixYardBlock,attRfTarget,attOboxTarget,contentiousDecision,ownGoals,attSvLowRight,attIboxOwnGoal,clearanceOffLine,goalsConcededObox,totalThroughBall,attLgCentre,errorLeadToShot,errorLeadToGoal,accurateThroughBall,attCmissHighLeft,bigChanceScored,attSvHighRight,penaltyConceded,penaltyFaced,penGoalsConceded,attOboxGoal,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attOneOnOne,defenderGoals,attGoalHighLeft,attHdGoal,attSvHighCentre,attCmissHighRight,attSvHighLeft,attFreekickTarget,secondYellow,attGoalHighRight,attemptsIbox,penaltyWon,attemptsObox,touchesInOppBox,attObxdLeft,attPenGoal,attPostRight,goalFastbreak,attGoalHighCentre,attFreekickGoal,midfielderGoals
11,755412,2014-11-08 15:00:00,"Boleyn Ground, London",34857,Away,Aston Villa,West Ham United,0,0,D,0,0,0,0,46.0,,,1.0,17.0,54.0,7.0,6.0,5.0,155.0,2.0,6.0,,1.0,7.0,,4.0,69.0,146.0,40.0,12.0,23.0,,,1.0,15.0,14.0,54.0,2.0,9.0,25.0,126.0,1.0,0.0,95.0,10.0,,1.0,73.0,53.0,2.0,48.0,2.0,13.0,11.0,7.0,4.0,146.0,,16.0,63.0,543.0,7.0,3.0,17.0,213.0,17.0,2.0,4.0,34.0,1.0,3.0,9.0,5.0,14.0,308.0,62.0,,80979,4.0,100.0,,5.0,1.0,123.0,5.0,,,11.0,13.0,50.0,1.0,3.0,,7.0,5.0,5.0,3.0,71.0,224.0,9.0,5.0,,34.0,89.0,,0.0,13.0,,,0.0,2.0,,1.0,,42.1,13.0,1.0,1.0,1.0,3.0,2.0,40.0,2.0,335.0,17.0,11.0,6.0,6.0,14.0,,2.0,227.0,5.0,9.0,9.0,43.0,16.0,,12.0,34.0,16.0,10.0,2.0,8.0,12.0,6.0,2.0,1.0,,1.0,1.0,3.0,5.0,,1.0,1.0,2.0,,5.0,5.0,,2.0,,,2.0,,,2.0,,1.0,,,,,,,,,,,,1.0,,,2.0,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,755414,2014-11-24 20:00:00,"Villa Park, Birmingham",25311,Home,Aston Villa,Southampton,1,1,D,1,0,0,0,43.0,,1.0,1.0,27.0,44.0,3.0,2.0,3.0,133.0,5.0,1.0,1.0,1.0,5.0,,1.0,54.0,132.0,45.0,7.0,22.0,1.0,,,23.0,10.0,44.0,2.0,8.0,20.0,128.0,,0.0,101.0,15.0,1.0,,63.0,51.0,3.0,48.0,,21.0,17.0,11.0,1.0,132.0,2.0,11.0,64.0,486.0,4.0,4.0,7.0,187.0,21.0,,10.0,26.0,,1.0,6.0,2.0,17.0,263.0,59.0,,80979,2.0,84.0,1.0,10.0,,106.0,6.0,,,17.0,12.0,51.0,1.0,,1.0,8.0,5.0,8.0,2.0,63.0,207.0,14.0,4.0,,34.0,71.0,1.0,0.0,8.0,1.0,2.0,0.0,5.0,1.0,,,35.9,15.0,,5.0,1.0,,4.0,35.0,2.0,299.0,7.0,9.0,10.0,2.0,17.0,,1.0,216.0,5.0,6.0,18.0,57.0,11.0,1.0,7.0,26.0,13.0,4.0,2.0,2.0,7.0,11.0,2.0,,,1.0,3.0,1.0,5.0,,1.0,,,1.0,2.0,5.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,755423,2014-11-29 15:00:00,"Turf Moor, Burnley",19910,Away,Aston Villa,Burnley,1,1,D,1,0,0,0,64.0,,2.0,5.0,50.0,38.0,8.0,2.0,3.0,193.0,6.0,7.0,1.0,2.0,14.0,,7.0,115.0,155.0,51.0,18.0,19.0,,1.0,,25.0,12.0,38.0,5.0,13.0,25.0,209.0,,0.0,140.0,8.0,,1.0,59.0,87.0,13.0,82.0,,20.0,18.0,3.0,1.0,155.0,,8.0,112.0,701.0,11.0,8.0,11.0,390.0,30.0,,10.0,21.0,,4.0,3.0,1.0,24.0,485.0,68.0,,80979,7.0,194.0,,16.0,1.0,224.0,3.0,1.0,1.0,18.0,8.0,54.0,2.0,2.0,1.0,7.0,3.0,2.0,1.0,97.0,397.0,7.0,9.0,2.0,34.0,94.0,,0.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,,53.4,22.0,1.0,1.0,,2.0,9.0,45.0,5.0,502.0,11.0,15.0,11.0,2.0,13.0,3.0,1.0,303.0,13.0,13.0,24.0,100.0,21.0,1.0,1.0,21.0,14.0,13.0,3.0,11.0,1.0,9.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,,1.0,2.0,,2.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,4.0,3.0,,,1.0,,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,755435,2014-12-02 20:00:00,"Selhurst Park, London",23935,Away,Aston Villa,Crystal Palace,1,0,W,1,0,0,0,60.0,,2.0,,36.0,54.0,4.0,3.0,5.0,162.0,1.0,6.0,1.0,3.0,2.0,,3.0,105.0,162.0,81.0,5.0,23.0,,,,9.0,27.0,54.0,2.0,15.0,30.0,139.0,1.0,0.0,103.0,15.0,,2.0,76.0,47.0,2.0,54.0,1.0,7.0,12.0,1.0,1.0,162.0,,9.0,106.0,654.0,2.0,8.0,15.0,294.0,26.0,1.0,9.0,31.0,1.0,2.0,6.0,,17.0,399.0,56.0,,80979,1.0,171.0,,4.0,2.0,200.0,8.0,1.0,,12.0,7.0,62.0,2.0,1.0,1.0,12.0,8.0,4.0,,87.0,309.0,15.0,11.0,,40.0,94.0,,0.0,8.0,,3.0,0.0,,,,,53.8,11.0,,4.0,,1.0,1.0,38.0,2.0,427.0,15.0,9.0,13.0,1.0,11.0,1.0,,236.0,2.0,14.0,21.0,55.0,18.0,1.0,5.0,31.0,40.0,3.0,2.0,12.0,5.0,8.0,2.0,1.0,,,1.0,,2.0,,,,,1.0,3.0,2.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15,755443,2014-12-07 16:00:00,"Villa Park, Birmingham",27692,Home,Aston Villa,Leicester City,2,1,W,1,1,0,1,55.0,,2.0,3.0,52.0,44.0,2.0,1.0,3.0,167.0,9.0,13.0,2.0,2.0,16.0,,7.0,138.0,127.0,61.0,16.0,23.0,1.0,4.0,2.0,18.0,10.0,44.0,5.0,13.0,27.0,260.0,,0.0,130.0,9.0,1.0,,76.0,85.0,11.0,92.0,2.0,13.0,18.0,6.0,1.0,127.0,3.0,5.0,150.0,770.0,12.0,10.0,15.0,453.0,19.0,1.0,7.0,31.0,1.0,4.0,1.0,5.0,21.0,520.0,74.0,,80502,8.0,223.0,2.0,7.0,1.0,241.0,6.0,1.0,,18.0,10.0,58.0,6.0,5.0,1.0,13.0,5.0,9.0,2.0,75.0,474.0,14.0,5.0,2.0,20.0,75.0,1.0,0.0,5.0,2.0,2.0,0.0,6.0,,4.0,,64.8,18.0,1.0,1.0,1.0,5.0,4.0,55.0,5.0,547.0,15.0,12.0,19.0,5.0,15.0,3.0,4.0,324.0,10.0,11.0,21.0,100.0,27.0,,6.0,31.0,12.0,13.0,3.0,23.0,6.0,6.0,5.0,1.0,,,1.0,1.0,3.0,,,1.0,1.0,1.0,1.0,3.0,,,,,5.0,,1.0,1.0,,2.0,,,2.0,,2.0,1.0,,,1.0,2.0,1.0,1.0,,,3.0,,,,2.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
16,755462,2014-12-13 15:00:00,"The Hawthorns, West Bromwich",24684,Away,Aston Villa,West Bromwich Albion,0,1,L,0,0,1,0,57.0,,1.0,1.0,43.0,33.0,4.0,4.0,4.0,153.0,3.0,5.0,,5.0,4.0,,2.0,121.0,129.0,63.0,7.0,9.0,,,,13.0,20.0,33.0,2.0,15.0,33.0,133.0,,0.0,82.0,12.0,,3.0,48.0,39.0,2.0,65.0,3.0,11.0,11.0,5.0,1.0,129.0,,7.0,100.0,644.0,4.0,9.0,12.0,333.0,32.0,,10.0,17.0,,2.0,2.0,2.0,25.0,408.0,48.0,,80979,2.0,227.0,,3.0,2.0,255.0,6.0,,,11.0,12.0,47.0,2.0,6.0,,11.0,6.0,8.0,,76.0,357.0,15.0,9.0,,27.0,68.0,,0.0,4.0,,4.0,1.0,3.0,,,,51.4,22.0,,1.0,,6.0,2.0,42.0,2.0,439.0,12.0,9.0,21.0,3.0,18.0,,2.0,197.0,3.0,14.0,18.0,52.0,12.0,,5.0,17.0,27.0,5.0,3.0,15.0,5.0,3.0,2.0,1.0,,,1.0,1.0,4.0,3.0,,,1.0,2.0,3.0,4.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,755463,2014-12-20 15:00:00,"Villa Park, Birmingham",41273,Home,Aston Villa,Manchester United,1,1,D,1,0,1,0,45.0,,3.0,3.0,45.0,32.0,4.0,4.0,8.0,113.0,2.0,6.0,1.0,1.0,7.0,,4.0,74.0,98.0,36.0,10.0,8.0,,2.0,,7.0,7.0,32.0,3.0,5.0,19.0,108.0,,0.0,50.0,9.0,,1.0,52.0,28.0,5.0,60.0,5.0,4.0,9.0,2.0,1.0,98.0,,9.0,82.0,496.0,5.0,2.0,17.0,255.0,13.0,,13.0,19.0,,1.0,3.0,2.0,15.0,307.0,28.0,,80979,3.0,165.0,,1.0,3.0,190.0,7.0,,,9.0,7.0,33.0,2.0,5.0,,13.0,7.0,5.0,1.0,76.0,271.0,10.0,6.0,2.0,34.0,59.0,,0.0,9.0,1.0,1.0,1.0,,,1.0,,35.3,7.0,,3.0,1.0,5.0,4.0,31.0,3.0,329.0,17.0,5.0,13.0,2.0,7.0,2.0,1.0,146.0,5.0,5.0,12.0,36.0,13.0,1.0,4.0,19.0,9.0,5.0,2.0,11.0,4.0,6.0,3.0,,,,1.0,4.0,5.0,1.0,,1.0,,2.0,5.0,5.0,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
18,755481,2014-12-26 15:00:00,"Swansea.com Stadium, Swansea",20683,Away,Aston Villa,Swansea City,0,1,L,0,1,0,0,62.0,,,1.0,28.0,22.0,3.0,1.0,1.0,181.0,6.0,12.0,,6.0,8.0,1.0,3.0,162.0,112.0,63.0,11.0,12.0,,1.0,3.0,21.0,15.0,22.0,,10.0,27.0,291.0,,0.0,134.0,12.0,,4.0,68.0,76.0,4.0,94.0,2.0,21.0,14.0,9.0,3.0,112.0,3.0,4.0,165.0,773.0,7.0,5.0,11.0,517.0,28.0,1.0,6.0,15.0,,4.0,2.0,4.0,13.0,579.0,71.0,1.0,80979,6.0,250.0,3.0,8.0,3.0,269.0,8.0,,2.0,14.0,6.0,40.0,2.0,4.0,,11.0,3.0,5.0,,45.0,535.0,17.0,7.0,1.0,15.0,61.0,,0.0,4.0,,4.0,0.0,6.0,,3.0,,56.6,9.0,1.0,3.0,,4.0,1.0,48.0,,602.0,11.0,6.0,18.0,7.0,23.0,,4.0,354.0,7.0,8.0,14.0,104.0,26.0,,2.0,15.0,20.0,7.0,2.0,15.0,2.0,6.0,,,1.0,1.0,,,1.0,2.0,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,,,3.0,,,2.0,,,,,2.0,,,3.0,,,1.0,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
19,755483,2014-12-28 15:00:00,"Villa Park, Birmingham",35436,Home,Aston Villa,Sunderland,0,0,D,0,0,1,0,56.0,,2.0,2.0,32.0,43.0,5.0,8.0,3.0,165.0,7.0,6.0,,3.0,13.0,,2.0,113.0,110.0,45.0,14.0,8.0,1.0,1.0,3.0,27.0,17.0,43.0,4.0,27.0,36.0,232.0,1.0,0.0,117.0,4.0,1.0,5.0,62.0,74.0,5.0,78.0,2.0,23.0,17.0,7.0,3.0,110.0,,7.0,110.0,674.0,11.0,6.0,13.0,387.0,21.0,2.0,3.0,25.0,1.0,1.0,5.0,8.0,12.0,447.0,58.0,1.0,80979,4.0,175.0,,11.0,,196.0,3.0,,,17.0,5.0,29.0,,6.0,,10.0,7.0,4.0,1.0,61.0,400.0,9.0,7.0,2.0,15.0,68.0,1.0,0.0,4.0,,2.0,1.0,5.0,,3.0,,48.1,11.0,3.0,2.0,3.0,7.0,3.0,44.0,4.0,466.0,13.0,7.0,21.0,9.0,24.0,2.0,6.0,297.0,3.0,25.0,8.0,90.0,21.0,,,25.0,23.0,11.0,3.0,10.0,,9.0,4.0,,1.0,,1.0,,,3.0,,,,1.0,1.0,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
20,755493,2015-01-01 15:00:00,"Villa Park, Birmingham",29047,Home,Aston Villa,Crystal Palace,0,0,D,0,0,0,0,55.0,,,1.0,39.0,14.0,6.0,2.0,,166.0,5.0,9.0,,5.0,10.0,,3.0,169.0,137.0,60.0,14.0,16.0,,2.0,1.0,18.0,19.0,14.0,4.0,36.0,37.0,295.0,1.0,0.0,121.0,11.0,1.0,2.0,73.0,69.0,4.0,77.0,2.0,14.0,10.0,1.0,2.0,137.0,1.0,2.0,189.0,784.0,8.0,9.0,11.0,499.0,22.0,1.0,3.0,10.0,,1.0,2.0,6.0,18.0,584.0,63.0,1.0,80979,5.0,224.0,2.0,11.0,2.0,241.0,5.0,,,10.0,4.0,57.0,1.0,8.0,,10.0,4.0,4.0,4.0,65.0,514.0,12.0,9.0,2.0,11.0,79.0,,0.0,2.0,,4.0,0.0,3.0,,3.0,1.0,69.2,18.0,3.0,1.0,,10.0,4.0,56.0,5.0,601.0,11.0,14.0,12.0,7.0,16.0,2.0,5.0,378.0,9.0,34.0,14.0,79.0,21.0,,1.0,10.0,25.0,7.0,3.0,17.0,1.0,6.0,5.0,,,3.0,3.0,,4.0,1.0,3.0,1.0,,1.0,,4.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,3.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,755508,2015-01-10 15:00:00,"King Power Stadium, Leicester",31728,Away,Aston Villa,Leicester City,0,1,L,0,1,1,1,67.0,,,3.0,44.0,37.0,4.0,5.0,2.0,186.0,3.0,8.0,,3.0,8.0,,1.0,125.0,178.0,76.0,12.0,20.0,,,1.0,22.0,16.0,37.0,6.0,17.0,39.0,211.0,,0.0,141.0,6.0,,1.0,42.0,89.0,4.0,72.0,1.0,16.0,20.0,5.0,2.0,178.0,1.0,9.0,144.0,762.0,6.0,4.0,14.0,394.0,25.0,1.0,8.0,27.0,1.0,1.0,3.0,4.0,23.0,498.0,88.0,,80979,3.0,203.0,1.0,10.0,,233.0,2.0,,,20.0,7.0,53.0,6.0,9.0,,11.0,2.0,3.0,2.0,93.0,411.0,16.0,7.0,2.0,34.0,87.0,,0.0,6.0,,4.0,1.0,1.0,,1.0,,62.4,20.0,1.0,3.0,4.0,9.0,5.0,50.0,6.0,527.0,14.0,16.0,20.0,6.0,29.0,2.0,4.0,316.0,6.0,17.0,33.0,86.0,25.0,,6.0,27.0,20.0,8.0,3.0,13.0,6.0,14.0,6.0,,,,2.0,1.0,4.0,1.0,,,,2.0,2.0,4.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
22,755513,2015-01-17 15:00:00,"Villa Park, Birmingham",39758,Home,Aston Villa,Liverpool,0,2,L,0,1,0,0,59.0,,1.0,2.0,39.0,15.0,4.0,4.0,3.0,141.0,10.0,8.0,,1.0,11.0,,4.0,105.0,152.0,59.0,15.0,16.0,,2.0,1.0,29.0,15.0,15.0,9.0,13.0,30.0,210.0,,0.0,127.0,13.0,,1.0,68.0,52.0,4.0,55.0,2.0,20.0,15.0,9.0,1.0,152.0,,10.0,120.0,628.0,6.0,3.0,15.0,307.0,14.0,1.0,7.0,8.0,1.0,1.0,2.0,7.0,25.0,390.0,73.0,1.0,88554,6.0,130.0,1.0,10.0,2.0,151.0,6.0,,,15.0,9.0,54.0,1.0,5.0,,15.0,2.0,4.0,2.0,81.0,330.0,9.0,7.0,5.0,26.0,84.0,,0.0,5.0,,1.0,0.0,8.0,1.0,5.0,,48.5,21.0,4.0,2.0,1.0,6.0,4.0,48.0,9.0,421.0,15.0,17.0,21.0,7.0,32.0,2.0,6.0,299.0,6.0,13.0,22.0,84.0,28.0,,1.0,8.0,20.0,11.0,2.0,12.0,1.0,8.0,9.0,,,,2.0,1.0,,2.0,,2.0,,,2.0,,,1.0,,,2.0,,,1.0,,1.0,,,1.0,,,,,,2.0,,2.0,1.0,1.0,,2.0,2.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
23,755523,2015-02-01 13:30:00,"Emirates Stadium, London",59958,Away,Aston Villa,Arsenal,0,5,L,0,1,0,0,59.0,,1.0,1.0,37.0,18.0,5.0,6.0,3.0,187.0,3.0,10.0,,3.0,6.0,,2.0,123.0,136.0,47.0,9.0,25.0,,,1.0,26.0,13.0,18.0,7.0,19.0,36.0,233.0,,0.0,121.0,10.0,,,71.0,73.0,2.0,102.0,6.0,19.0,21.0,12.0,3.0,136.0,1.0,8.0,137.0,719.0,6.0,6.0,10.0,449.0,26.0,,10.0,15.0,1.0,2.0,2.0,4.0,20.0,530.0,56.0,,88554,4.0,234.0,1.0,7.0,,253.0,5.0,,,21.0,5.0,63.0,,4.0,,9.0,5.0,4.0,1.0,69.0,464.0,6.0,16.0,,23.0,96.0,,0.0,7.0,,,0.0,3.0,,2.0,,52.0,17.0,1.0,3.0,,4.0,2.0,71.0,7.0,549.0,10.0,12.0,16.0,5.0,23.0,,2.0,322.0,1.0,19.0,13.0,80.0,23.0,,3.0,15.0,18.0,8.0,3.0,14.0,3.0,14.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,5.0,,4.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
24,755533,2015-02-07 15:00:00,"Villa Park, Birmingham",35969,Home,Aston Villa,Chelsea,1,2,L,0,1,0,0,65.0,1.0,1.0,,34.0,30.0,2.0,2.0,3.0,152.0,7.0,13.0,1.0,2.0,8.0,,1.0,143.0,135.0,48.0,8.0,15.0,,,1.0,36.0,12.0,30.0,7.0,23.0,35.0,195.0,,0.0,108.0,8.0,,1.0,60.0,74.0,3.0,89.0,3.0,29.0,9.0,12.0,,135.0,1.0,8.0,116.0,698.0,6.0,11.0,17.0,420.0,36.0,2.0,7.0,20.0,1.0,3.0,3.0,5.0,16.0,484.0,55.0,,88554,6.0,244.0,,16.0,,260.0,4.0,,,9.0,3.0,45.0,2.0,5.0,,12.0,4.0,1.0,1.0,56.0,432.0,7.0,7.0,1.0,19.0,72.0,,0.0,7.0,1.0,1.0,0.0,5.0,,4.0,,51.0,13.0,3.0,4.0,,5.0,2.0,51.0,7.0,500.0,17.0,6.0,21.0,5.0,19.0,2.0,5.0,276.0,2.0,22.0,15.0,69.0,19.0,,,20.0,13.0,6.0,3.0,23.0,,6.0,7.0,1.0,,,2.0,2.0,,1.0,,,,5.0,2.0,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
25,755545,2015-02-10 19:45:00,"The MKM Stadium, Hull",21467,Away,Aston Villa,Hull City,0,2,L,0,1,0,0,59.0,,1.0,2.0,40.0,18.0,6.0,5.0,2.0,159.0,4.0,8.0,,3.0,7.0,,4.0,133.0,152.0,52.0,11.0,28.0,,2.0,2.0,20.0,12.0,18.0,7.0,10.0,30.0,231.0,,0.0,158.0,11.0,,1.0,86.0,90.0,4.0,86.0,,13.0,12.0,7.0,5.0,152.0,,6.0,118.0,671.0,7.0,6.0,16.0,373.0,24.0,1.0,9.0,7.0,1.0,2.0,2.0,3.0,25.0,470.0,84.0,,88554,2.0,158.0,,5.0,,179.0,3.0,,,12.0,6.0,57.0,1.0,5.0,,8.0,4.0,1.0,,93.0,385.0,15.0,6.0,,44.0,96.0,,0.0,3.0,,2.0,0.0,2.0,,1.0,,62.2,24.0,,4.0,1.0,5.0,2.0,44.0,7.0,496.0,16.0,11.0,14.0,5.0,17.0,2.0,,337.0,4.0,9.0,17.0,95.0,21.0,,2.0,7.0,14.0,10.0,2.0,11.0,2.0,6.0,7.0,,1.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,3.0,,,1.0,,2.0,,,1.0,,,1.0,,,2.0,,2.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
26,755553,2015-02-21 15:00:00,"Villa Park, Birmingham",31880,Home,Aston Villa,Stoke City,1,2,L,1,1,1,0,50.0,,2.0,1.0,39.0,22.0,,,4.0,176.0,5.0,3.0,1.0,5.0,3.0,,2.0,74.0,180.0,58.0,3.0,37.0,,,,28.0,9.0,22.0,11.0,5.0,18.0,151.0,,0.0,128.0,11.0,,2.0,57.0,59.0,3.0,68.0,2.0,17.0,18.0,7.0,,180.0,,6.0,75.0,558.0,1.0,17.0,12.0,245.0,18.0,,21.0,15.0,,1.0,2.0,,24.0,365.0,77.0,,88554,3.0,116.0,,8.0,,147.0,6.0,,1.0,18.0,6.0,62.0,1.0,3.0,,5.0,5.0,3.0,,86.0,262.0,14.0,5.0,1.0,58.0,98.0,,0.0,3.0,1.0,8.0,1.0,2.0,2.0,2.0,,52.2,16.0,,2.0,,3.0,1.0,55.0,11.0,393.0,12.0,9.0,10.0,,24.0,3.0,,274.0,,3.0,30.0,72.0,18.0,1.0,3.0,15.0,11.0,1.0,2.0,5.0,3.0,6.0,11.0,,,,,,2.0,,,,1.0,1.0,2.0,2.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,
27,755568,2015-02-28 15:00:00,"St. James' Park, Newcastle",51573,Away,Aston Villa,Newcastle United,0,1,L,0,1,0,0,65.0,,3.0,3.0,58.0,35.0,6.0,5.0,4.0,159.0,4.0,3.0,,3.0,7.0,,3.0,77.0,163.0,65.0,14.0,23.0,,,4.0,22.0,16.0,35.0,5.0,7.0,34.0,163.0,,0.0,148.0,16.0,,1.0,67.0,56.0,3.0,47.0,,17.0,22.0,5.0,5.0,163.0,,9.0,82.0,571.0,7.0,16.0,15.0,240.0,20.0,1.0,16.0,25.0,,5.0,6.0,4.0,30.0,343.0,93.0,,88554,3.0,96.0,,11.0,1.0,115.0,8.0,,,22.0,8.0,64.0,3.0,4.0,,10.0,5.0,8.0,1.0,101.0,255.0,6.0,9.0,,37.0,86.0,,0.0,9.0,,5.0,0.0,2.0,1.0,,,50.5,25.0,,1.0,3.0,4.0,4.0,55.0,5.0,365.0,15.0,11.0,17.0,7.0,26.0,2.0,2.0,272.0,9.0,6.0,39.0,79.0,30.0,,3.0,25.0,17.0,11.0,3.0,8.0,3.0,11.0,5.0,,,,1.0,1.0,4.0,1.0,,,1.0,1.0,1.0,4.0,,2.0,,,3.0,,,1.0,,2.0,,,,,,1.0,,,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
