gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,possLostCtrl,attemptsConcededIbox,subsGoals,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,penaltyConceded,totalBackZonePass,attRfGoal,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,totalContest,expectedGoals,blockedCross,wonCorners,attObxLeft,goodHighClaim,attOboxMiss,errorLeadToShot,totalHighClaim,subsMade,attSvHighRight,cleanSheet,shieldBallOop,attMissHighRight,foulThrowIn,attSvHighCentre,handBall,goalAssistSetplay,goalAssistDeadball,postScoringAtt,attIboxPost,attPostLeft,attHdPost,hitWoodwork,attFreekickTarget,attPostHigh,penaltyWon,attFreekickMiss,attSvHighLeft,clearanceOffLine,errorLeadToGoal,attPenTarget,attLgCentre,attObxRight,attBxRight,attCmissHigh,attPostRight,attLgRight,attFreekickPost,attOboxPost,attObxdLeft,attCmissHighRight
11,266349,2008-11-03 20:00:00,"St. James' Park, Newcastle",,Away,Aston Villa,Newcastle United,0,2,L,0,0,0,0,1.0,,64.0,,,1.0,1.0,,29.0,47.0,4.0,2.0,,,,1.0,,7.0,2.0,,,5.0,,1.0,183.0,70.0,,8.0,,19.0,1.0,1.0,,,,,28.0,28.0,,,23.0,6.0,15.0,29.0,,139.0,,0.0,123.0,22.0,,1.0,,,,,65.0,56.0,2.0,1.0,2.0,22.0,,,,,7.0,159.0,5.0,,650.0,2.0,15.0,,,20.0,,19.0,,12.0,34.0,,3.0,4.0,3.0,,19.0,,90.0,1.0,,5750,,111.0,12.0,,,,127.0,,8.0,86.0,,2.0,,3.0,6.0,,8.0,2.0,1.0,,59.0,243.0,14.0,14.0,3.0,43.0,,87.0,1.0,,,,,,,0.0,2.0,1.0,,2.0,4.0,0.0,4.0,,2.0,45.3,16.0,1.0,11.0,,6.0,1.0,43.0,6.0,,338.0,,18.0,24.0,16.0,6.0,19.0,3.0,1.0,239.0,3.0,15.0,16.0,72.0,21.0,,2.0,18.0,38.0,,1.0,,9.0,,2.0,6.0,,3.0,4.0,,3.0,2.0,,,,2.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12,266355,2008-11-09 15:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Middlesbrough,1,2,L,1,1,0,0,,3.0,54.0,,,3.0,3.0,,25.0,53.0,3.0,4.0,,,,3.0,,9.0,8.0,1.0,,10.0,,8.0,187.0,54.0,1.0,17.0,,10.0,5.0,1.0,1.0,3.0,,4.0,34.0,18.0,1.0,2.0,31.0,7.0,17.0,22.0,,117.0,,0.0,111.0,12.0,,2.0,,1.0,,,56.0,43.0,5.0,,,27.0,,1.0,,,8.0,165.0,7.0,,626.0,6.0,14.0,,1.0,17.0,,19.0,,9.0,34.0,1.0,2.0,2.0,5.0,,22.0,,71.0,2.0,,5750,,117.0,17.0,,1.0,,139.0,,16.0,48.0,,4.0,,1.0,4.0,,9.0,10.0,1.0,,58.0,225.0,7.0,4.0,3.0,43.0,,98.0,1.0,,,1.0,,,,0.0,4.0,1.0,1.0,2.0,4.0,0.0,6.0,1.0,7.0,49.7,20.0,5.0,11.0,,4.0,3.0,51.0,8.0,,334.0,,16.0,7.0,9.0,6.0,24.0,3.0,5.0,229.0,6.0,15.0,17.0,53.0,18.0,,3.0,17.0,22.0,1.0,2.0,,23.0,,3.0,8.0,,,1.0,1.0,,1.0,,,2.0,1.0,,2.0,,,,,,,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,
13,266364,2008-11-15 15:00:00,"Emirates Stadium, London",,Away,Aston Villa,Arsenal,2,0,W,0,0,0,0,,2.0,57.0,,1.0,3.0,,,28.0,40.0,4.0,2.0,,,,3.0,,4.0,8.0,2.0,3.0,7.0,1.0,6.0,148.0,58.0,1.0,10.0,1.0,14.0,4.0,2.0,1.0,3.0,1.0,2.0,18.0,26.0,,1.0,23.0,3.0,12.0,31.0,,116.0,,0.0,106.0,23.0,,2.0,2.0,,1.0,1.0,43.0,60.0,5.0,,1.0,15.0,,1.0,,,3.0,131.0,7.0,,474.0,6.0,10.0,,,18.0,,12.0,,10.0,29.0,1.0,4.0,5.0,2.0,,17.0,,73.0,3.0,,41705,4.0,59.0,11.0,,,,77.0,1.0,7.0,72.0,,4.0,,2.0,2.0,1.0,8.0,4.0,,,64.0,171.0,9.0,14.0,,38.0,,75.0,2.0,,,,1.0,,,0.0,8.0,2.0,2.0,,4.0,0.0,4.0,,,32.5,10.0,,5.0,1.0,3.0,1.0,31.0,4.0,,253.0,,18.0,11.0,14.0,3.0,14.0,,,194.0,8.0,11.0,10.0,62.0,28.0,1.0,3.0,17.0,31.0,,,7.0,19.0,,3.0,5.0,,1.0,3.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,
14,266374,2008-11-22 17:30:00,"Villa Park, Birmingham",,Home,Aston Villa,Manchester United,0,0,D,0,0,0,0,,1.0,48.0,,,2.0,,,19.0,43.0,6.0,2.0,,,,3.0,,1.0,9.0,,,7.0,,4.0,160.0,74.0,1.0,10.0,2.0,11.0,2.0,,,1.0,,2.0,23.0,24.0,,2.0,30.0,2.0,9.0,29.0,,118.0,,0.0,107.0,12.0,,,,,1.0,,54.0,53.0,5.0,,,21.0,,1.0,,,7.0,147.0,6.0,,561.0,6.0,20.0,,,30.0,,8.0,1.0,7.0,25.0,,1.0,5.0,2.0,,22.0,,75.0,2.0,,5750,,60.0,9.0,,1.0,,84.0,,10.0,44.0,,3.0,,2.0,1.0,,6.0,6.0,,,47.0,177.0,15.0,6.0,1.0,30.0,,74.0,,,,1.0,,,,0.0,6.0,,,,9.0,0.0,,,1.0,38.1,14.0,1.0,8.0,,1.0,2.0,35.0,3.0,,272.0,,30.0,8.0,13.0,4.0,20.0,1.0,1.0,211.0,7.0,9.0,12.0,63.0,27.0,,5.0,20.0,38.0,,,,17.0,,5.0,3.0,,,3.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,
15,266384,2008-11-29 15:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Fulham,0,0,D,0,0,0,0,,1.0,54.0,,,1.0,1.0,,38.0,65.0,3.0,3.0,,,,,,12.0,2.0,,,13.0,,2.0,182.0,57.0,,16.0,1.0,10.0,2.0,,,1.0,,3.0,42.0,12.0,,,33.0,10.0,10.0,39.0,,165.0,,0.0,127.0,11.0,,1.0,,,1.0,,74.0,52.0,2.0,,4.0,32.0,,,,,11.0,150.0,1.0,,627.0,11.0,4.0,,1.0,20.0,,7.0,,9.0,45.0,,0.0,1.0,11.0,,27.0,,81.0,,,5750,,89.0,16.0,,1.0,,98.0,,8.0,46.0,,1.0,,3.0,4.0,,5.0,1.0,4.0,,67.0,242.0,16.0,7.0,2.0,32.0,,87.0,,,,,,,,0.0,4.0,1.0,,,1.0,0.0,9.0,,8.0,48.1,21.0,7.0,14.0,,4.0,2.0,44.0,10.0,,326.0,,20.0,10.0,22.0,12.0,31.0,3.0,10.0,270.0,5.0,10.0,19.0,78.0,25.0,,2.0,21.0,20.0,,,,12.0,,2.0,11.0,,,2.0,,,,,1.0,1.0,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
16,266397,2008-12-07 16:00:00,"Goodison Park, Liverpool",,Away,Aston Villa,Everton,3,2,W,1,1,0,0,,1.0,41.0,,1.0,,1.0,,12.0,93.0,3.0,1.0,,,,1.0,,1.0,6.0,3.0,,4.0,,5.0,214.0,66.0,1.0,6.0,,20.0,,1.0,2.0,1.0,1.0,,17.0,19.0,1.0,2.0,60.0,6.0,5.0,19.0,,80.0,1.0,0.0,101.0,18.0,,1.0,,3.0,,,54.0,43.0,4.0,3.0,,11.0,,1.0,,,5.0,181.0,10.0,,589.0,2.0,12.0,,,25.0,,15.0,,5.0,51.0,2.0,1.0,3.0,,,27.0,,71.0,1.0,,5750,,70.0,5.0,,,,99.0,3.0,7.0,55.0,,1.0,,,1.0,,3.0,1.0,,,56.0,149.0,18.0,2.0,,57.0,,98.0,1.0,1.0,,,,,3.0,0.0,10.0,5.0,2.0,2.0,2.0,0.0,1.0,2.0,,39.5,15.0,,5.0,,1.0,1.0,23.0,6.0,,280.0,,25.0,8.0,4.0,,20.0,,,198.0,5.0,4.0,14.0,38.0,15.0,,3.0,29.0,28.0,,2.0,,14.0,,3.0,6.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,
17,266404,2008-12-13 15:00:00,"Villa Park, Birmingham",35134.0,Home,Aston Villa,Bolton Wanderers,4,2,W,2,1,0,0,,,50.0,2.0,1.0,1.0,2.0,,33.0,48.0,4.0,3.0,,,1.0,1.0,,6.0,8.0,4.0,2.0,14.0,1.0,5.0,168.0,64.0,,16.0,,15.0,2.0,2.0,3.0,1.0,1.0,3.0,29.0,15.0,,,22.0,9.0,9.0,32.0,,138.0,1.0,0.0,105.0,8.0,,,2.0,1.0,,2.0,80.0,41.0,7.0,2.0,3.0,20.0,,,,,6.0,142.0,5.0,,585.0,8.0,10.0,,1.0,14.0,,15.0,,7.0,33.0,3.0,0.0,4.0,7.0,,27.0,,75.0,1.0,,5750,1.0,132.0,12.0,,3.0,,147.0,1.0,9.0,44.0,,3.0,,6.0,3.0,3.0,7.0,4.0,3.0,,65.0,264.0,17.0,5.0,3.0,38.0,,89.0,2.0,,,,,,1.0,0.0,3.0,,3.0,2.0,5.0,0.0,4.0,3.0,4.0,54.3,19.0,2.0,6.0,2.0,3.0,2.0,43.0,10.0,,347.0,,14.0,10.0,22.0,9.0,16.0,2.0,5.0,229.0,9.0,9.0,15.0,66.0,22.0,2.0,2.0,12.0,24.0,1.0,2.0,10.0,14.0,,2.0,10.0,,,4.0,,,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,5.0,1.0,,,,,,
18,266423,2008-12-20 17:30:00,"Boleyn Ground, London",31353.0,Away,Aston Villa,West Ham United,1,0,W,0,0,0,0,,1.0,47.0,,,1.0,1.0,,23.0,59.0,5.0,2.0,,,,1.0,,3.0,4.0,1.0,2.0,6.0,2.0,2.0,173.0,59.0,1.0,11.0,1.0,12.0,2.0,3.0,,1.0,,2.0,27.0,27.0,,,36.0,6.0,3.0,24.0,,109.0,,0.0,103.0,12.0,,3.0,3.0,,,,47.0,57.0,2.0,,3.0,21.0,,1.0,,,10.0,150.0,15.0,,503.0,5.0,8.0,,,11.0,,17.0,,3.0,34.0,,1.0,6.0,4.0,,23.0,,83.0,1.0,,5750,2.0,67.0,11.0,,1.0,,83.0,,11.0,49.0,,4.0,,,3.0,,5.0,2.0,1.0,,55.0,173.0,8.0,5.0,1.0,38.0,,91.0,3.0,,,1.0,1.0,,1.0,0.0,7.0,7.0,1.0,,2.0,0.0,3.0,,,35.1,11.0,,6.0,4.0,3.0,2.0,29.0,6.0,,258.0,,11.0,15.0,11.0,7.0,20.0,,2.0,202.0,9.0,3.0,14.0,53.0,19.0,,1.0,21.0,33.0,,,7.0,9.0,,1.0,6.0,,,4.0,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,
19,266424,2008-12-26 17:15:00,"Villa Park, Birmingham",42585.0,Home,Aston Villa,Arsenal,2,2,D,0,1,0,0,,,62.0,1.0,,1.0,3.0,,29.0,39.0,5.0,5.0,,,2.0,3.0,,10.0,2.0,2.0,,12.0,,6.0,214.0,63.0,,17.0,4.0,6.0,3.0,1.0,,,,1.0,44.0,28.0,1.0,1.0,23.0,7.0,7.0,28.0,,156.0,,0.0,134.0,11.0,,,,1.0,,,84.0,59.0,8.0,2.0,1.0,37.0,,,,,12.0,198.0,8.0,,696.0,10.0,24.0,,1.0,22.0,,17.0,,13.0,24.0,,4.0,3.0,4.0,,48.0,,97.0,1.0,,5750,,93.0,22.0,,2.0,,111.0,,3.0,53.0,,2.0,1.0,3.0,1.0,,1.0,1.0,,1.0,56.0,239.0,10.0,6.0,2.0,45.0,,92.0,1.0,,,2.0,,,1.0,0.0,6.0,,2.0,2.0,10.0,0.0,8.0,,3.0,47.5,32.0,1.0,16.0,,1.0,7.0,38.0,7.0,,352.0,,22.0,20.0,13.0,4.0,23.0,2.0,2.0,285.0,9.0,6.0,12.0,73.0,27.0,,1.0,14.0,39.0,,2.0,,12.0,,1.0,7.0,,,,,,,,,2.0,,,1.0,,,,2.0,2.0,,1.0,3.0,,2.0,1.0,,1.0,,,,,,,,,,,,,
20,266439,2008-12-30 20:00:00,"The MKM Stadium, Hull",24727.0,Away,Aston Villa,Hull City,1,0,W,0,0,0,0,,,56.0,,,,1.0,,30.0,54.0,4.0,1.0,,,,1.0,,2.0,12.0,1.0,3.0,5.0,1.0,1.0,180.0,57.0,,7.0,1.0,25.0,,,,1.0,,1.0,17.0,17.0,,1.0,33.0,5.0,15.0,37.0,,117.0,,0.0,81.0,8.0,,,,,,4.0,49.0,52.0,2.0,2.0,2.0,12.0,,,,,1.0,159.0,4.0,,675.0,5.0,11.0,,,19.0,,21.0,,8.0,38.0,,2.0,2.0,3.0,,27.0,,65.0,,,5750,2.0,203.0,7.0,,,,231.0,,12.0,53.0,,1.0,,1.0,8.0,,2.0,9.0,1.0,,70.0,318.0,11.0,3.0,,37.0,,95.0,,,,,,,,0.0,9.0,,1.0,,1.0,0.0,2.0,,2.0,54.8,24.0,2.0,4.0,1.0,8.0,2.0,33.0,5.0,,438.0,,19.0,7.0,10.0,4.0,17.0,,2.0,224.0,4.0,11.0,13.0,34.0,19.0,,6.0,21.0,21.0,,,5.0,22.0,,6.0,5.0,,,2.0,1.0,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,266445,2009-01-10 12:45:00,"Villa Park, Birmingham",41757.0,Home,Aston Villa,West Bromwich Albion,2,1,W,2,0,0,0,,1.0,53.0,2.0,,,1.0,,19.0,44.0,11.0,4.0,,,1.0,4.0,,8.0,5.0,2.0,,19.0,,10.0,204.0,77.0,,22.0,3.0,10.0,5.0,3.0,2.0,4.0,1.0,4.0,38.0,31.0,,3.0,22.0,8.0,10.0,27.0,,167.0,,0.0,130.0,11.0,,,,,1.0,,74.0,82.0,12.0,2.0,2.0,30.0,,,,,8.0,182.0,11.0,,702.0,15.0,13.0,,3.0,36.0,,10.0,,8.0,30.0,2.0,1.0,3.0,7.0,,27.0,,71.0,2.0,,5750,,101.0,19.0,,,,125.0,,7.0,56.0,,2.0,1.0,1.0,6.0,,3.0,2.0,,,52.0,260.0,18.0,9.0,2.0,51.0,,104.0,3.0,,,1.0,,,,0.0,7.0,2.0,2.0,1.0,3.0,0.0,6.0,1.0,5.0,47.0,19.0,1.0,12.0,,6.0,4.0,45.0,9.0,,370.0,,34.0,18.0,16.0,8.0,12.0,2.0,3.0,283.0,13.0,9.0,12.0,83.0,23.0,1.0,5.0,14.0,42.0,1.0,1.0,,13.0,,5.0,10.0,,1.0,5.0,,1.0,1.0,,,,2.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
22,266460,2009-01-17 15:00:00,"Stadium of Light, Sunderland",40350.0,Away,Aston Villa,Sunderland,2,1,W,0,1,1,0,,1.0,52.0,1.0,,1.0,,,33.0,46.0,2.0,3.0,,,1.0,,,4.0,5.0,2.0,,5.0,,3.0,188.0,53.0,,7.0,1.0,22.0,1.0,1.0,1.0,,1.0,1.0,28.0,19.0,1.0,,26.0,3.0,12.0,39.0,,154.0,,0.0,118.0,19.0,,1.0,,2.0,,,63.0,79.0,3.0,2.0,1.0,25.0,,,,,8.0,168.0,11.0,,632.0,4.0,7.0,,,20.0,,12.0,,15.0,28.0,1.0,2.0,2.0,2.0,,24.0,,76.0,1.0,,5750,,104.0,12.0,,1.0,,125.0,,6.0,74.0,,1.0,,,6.0,,2.0,1.0,,1.0,64.0,254.0,14.0,6.0,,53.0,,101.0,1.0,,1.0,1.0,,,,0.0,8.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,,51.0,18.0,,6.0,,6.0,1.0,43.0,6.0,,360.0,,20.0,18.0,15.0,3.0,29.0,,2.0,263.0,3.0,12.0,10.0,65.0,24.0,,3.0,15.0,24.0,,1.0,,14.0,,3.0,6.0,,2.0,1.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
23,266464,2009-01-27 20:00:00,"Fratton Park, Portsmouth",19073.0,Away,Aston Villa,Portsmouth,1,0,W,1,0,0,1,,,45.0,,1.0,2.0,1.0,,30.0,50.0,3.0,1.0,,,,,,4.0,2.0,1.0,,5.0,,1.0,181.0,63.0,,9.0,,20.0,,1.0,1.0,,,1.0,25.0,23.0,,,23.0,5.0,5.0,35.0,,91.0,1.0,0.0,106.0,12.0,,2.0,,,,,56.0,25.0,2.0,,3.0,20.0,,,,,8.0,154.0,10.0,,542.0,2.0,14.0,,,28.0,,10.0,1.0,13.0,31.0,1.0,2.0,6.0,3.0,,23.0,,78.0,,,5750,,59.0,9.0,,2.0,,76.0,1.0,12.0,64.0,,2.0,,1.0,2.0,,10.0,4.0,2.0,,64.0,146.0,9.0,7.0,2.0,43.0,,88.0,1.0,,,,,,1.0,0.0,17.0,2.0,,,5.0,0.0,3.0,1.0,1.0,34.7,15.0,1.0,8.0,,2.0,1.0,34.0,5.0,,237.0,,28.0,15.0,17.0,7.0,21.0,1.0,4.0,186.0,7.0,5.0,18.0,53.0,18.0,1.0,7.0,14.0,33.0,,,,12.0,,7.0,5.0,1.0,,3.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,266475,2009-01-31 15:00:00,"Villa Park, Birmingham",41766.0,Home,Aston Villa,Wigan Athletic,0,0,D,0,0,0,0,,,53.0,,,1.0,3.0,,32.0,31.0,2.0,4.0,,,,2.0,,13.0,7.0,,,16.0,,7.0,155.0,43.0,1.0,21.0,1.0,9.0,7.0,1.0,,4.0,,2.0,42.0,8.0,,,20.0,6.0,13.0,37.0,,144.0,,0.0,140.0,13.0,,1.0,,,2.0,,65.0,41.0,7.0,,3.0,36.0,,1.0,,,19.0,144.0,3.0,,562.0,13.0,20.0,,5.0,10.0,,10.0,1.0,14.0,16.0,,1.0,2.0,9.0,,26.0,,88.0,,,5750,,92.0,13.0,1.0,5.0,,107.0,,8.0,45.0,,1.0,,1.0,7.0,,7.0,5.0,2.0,,61.0,223.0,10.0,5.0,3.0,26.0,,76.0,1.0,,,,,,,0.0,2.0,2.0,,,8.0,0.0,12.0,,9.0,50.5,23.0,3.0,10.0,,7.0,4.0,44.0,6.0,,313.0,,10.0,12.0,18.0,10.0,37.0,1.0,8.0,248.0,8.0,12.0,14.0,84.0,22.0,,1.0,12.0,12.0,,,,13.0,,1.0,6.0,,,1.0,,,1.0,,1.0,2.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,
25,266484,2009-02-07 15:00:00,"Ewood Park, Blackburn",24267.0,Away,Aston Villa,Blackburn Rovers,2,0,W,1,0,0,0,,,54.0,,1.0,1.0,5.0,,26.0,55.0,3.0,4.0,,,1.0,2.0,,8.0,7.0,2.0,,15.0,,4.0,192.0,67.0,,18.0,1.0,13.0,,4.0,1.0,1.0,,3.0,26.0,25.0,,2.0,33.0,10.0,10.0,33.0,,118.0,,0.0,129.0,9.0,,,,1.0,,,57.0,48.0,7.0,2.0,4.0,16.0,,,,,4.0,170.0,7.0,,629.0,11.0,18.0,,,20.0,,16.0,,7.0,40.0,1.0,1.0,7.0,8.0,,21.0,,76.0,,,5750,,102.0,7.0,3.0,,,128.0,1.0,14.0,49.0,,1.0,,2.0,3.0,,11.0,7.0,1.0,,62.0,212.0,11.0,6.0,3.0,43.0,,110.0,4.0,1.0,,1.0,,,1.0,0.0,4.0,1.0,2.0,,5.0,0.0,4.0,1.0,4.0,45.5,14.0,4.0,9.0,,3.0,6.0,43.0,13.0,,327.0,,20.0,12.0,17.0,8.0,22.0,4.0,7.0,225.0,8.0,10.0,18.0,70.0,22.0,1.0,1.0,26.0,31.0,,,,16.0,,1.0,13.0,,2.0,1.0,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
26,266495,2009-02-21 12:45:00,"Villa Park, Birmingham",42585.0,Home,Aston Villa,Chelsea,0,1,L,0,1,0,0,,1.0,52.0,,,,2.0,,30.0,32.0,5.0,3.0,,,,3.0,,6.0,7.0,,,9.0,,4.0,158.0,61.0,1.0,14.0,1.0,10.0,2.0,,,1.0,,2.0,36.0,19.0,,2.0,19.0,5.0,9.0,30.0,,145.0,,0.0,129.0,10.0,,1.0,,,1.0,,67.0,52.0,5.0,1.0,2.0,31.0,,1.0,,,12.0,145.0,12.0,,566.0,7.0,29.0,,,19.0,,16.0,2.0,16.0,17.0,,1.0,7.0,4.0,,26.0,,81.0,1.0,,5750,,68.0,14.0,1.0,2.0,,81.0,,7.0,36.0,,2.0,,1.0,4.0,,7.0,4.0,,,59.0,207.0,12.0,7.0,2.0,30.0,,87.0,,,,1.0,,,,0.0,12.0,6.0,,1.0,14.0,0.0,4.0,,2.0,40.9,23.0,2.0,8.0,,4.0,3.0,46.0,6.0,,304.0,,19.0,4.0,13.0,7.0,32.0,2.0,4.0,259.0,9.0,9.0,16.0,74.0,18.0,,1.0,10.0,26.0,,1.0,,14.0,,1.0,6.0,1.0,2.0,2.0,,2.0,1.0,,,3.0,,,1.0,2.0,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,
27,266505,2009-03-01 15:00:00,"Villa Park, Birmingham",39641.0,Home,Aston Villa,Stoke City,2,2,D,1,0,0,0,1.0,,69.0,,,,2.0,,30.0,36.0,5.0,3.0,,,,,,9.0,7.0,2.0,,10.0,,3.0,179.0,46.0,1.0,11.0,2.0,15.0,1.0,,2.0,,,,44.0,12.0,,,22.0,5.0,17.0,33.0,,232.0,1.0,0.0,175.0,7.0,,,,1.0,,,79.0,56.0,6.0,1.0,1.0,39.0,,1.0,1.0,,9.0,165.0,7.0,,745.0,8.0,18.0,,1.0,11.0,,15.0,1.0,5.0,23.0,2.0,1.0,4.0,4.0,,37.0,,110.0,,,5750,,127.0,27.0,,,,142.0,2.0,7.0,52.0,,1.0,,1.0,6.0,,5.0,3.0,2.0,,62.0,350.0,12.0,3.0,,29.0,,90.0,,1.0,,,,,2.0,0.0,6.0,,1.0,2.0,6.0,0.0,8.0,2.0,2.0,64.9,36.0,1.0,12.0,,6.0,4.0,47.0,6.0,,447.0,,11.0,16.0,19.0,4.0,25.0,1.0,2.0,349.0,6.0,17.0,12.0,117.0,35.0,1.0,2.0,12.0,15.0,,1.0,,18.0,,2.0,6.0,,,2.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,266525,2009-03-15 16:00:00,"Villa Park, Birmingham",41205.0,Home,Aston Villa,Tottenham Hotspur,1,2,L,0,1,0,0,,3.0,76.0,,,3.0,,,38.0,34.0,7.0,4.0,,,,1.0,,7.0,9.0,1.0,,8.0,,5.0,183.0,70.0,,13.0,2.0,18.0,3.0,,1.0,2.0,,2.0,44.0,27.0,,1.0,24.0,8.0,7.0,45.0,,172.0,,0.0,142.0,13.0,,4.0,,,2.0,,80.0,71.0,4.0,1.0,1.0,36.0,,,,,16.0,173.0,5.0,,677.0,7.0,11.0,,,15.0,,22.0,,9.0,19.0,1.0,1.0,4.0,4.0,,26.0,,91.0,,,5750,,92.0,17.0,,,,105.0,,2.0,65.0,,,,3.0,3.0,,8.0,2.0,1.0,,68.0,257.0,11.0,8.0,,39.0,,94.0,,1.0,,,,,1.0,0.0,5.0,2.0,1.0,2.0,2.0,0.0,7.0,1.0,2.0,51.2,25.0,,17.0,,3.0,2.0,46.0,9.0,,363.0,,15.0,15.0,24.0,6.0,28.0,,1.0,302.0,7.0,7.0,14.0,82.0,30.0,1.0,1.0,11.0,36.0,1.0,2.0,,20.0,,1.0,9.0,,,4.0,,,3.0,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,
