gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowRight,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attCmissLeft,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attIboxBlocked,attRfTarget,attIboxTarget,attBxRight,attGoalHighRight,attOboxTarget,penaltyWon,divingSave,attSvLowLeft,bigChanceCreated,accurateThroughBall,bigChanceMissed,penaltyConceded,attRfGoal,totalThroughBall,attPenGoal,attSvLowRight,punches,attIboxGoal,accurateFlickOn,shieldBallOop,possWonAtt3rd,penaltyFaced,penGoalsConceded,accurateCornersIntobox,forwardGoals,penaltySave,savedObox,accuratePullBack,contentiousDecision,attLgCentre,hitWoodwork,attMissHighLeft,totalPullBack,attCmissHigh,ownGoals,clearanceOffLine,attIboxOwnGoal,handBall,attLfTarget,attCmissRight,attObxdLeft,attFreekickMiss,goalsConcededObox,attSvLowCentre,attOneOnOne,attHdTarget,accurateFreekickCross,attSetpiece,goalsOpenplay,attSvHighLeft,errorLeadToShot,attCmissHighLeft,attObxRight,ptsDroppedWinningPos,attGoalLowCentre,attFreekickTarget,attObxLeft,postScoringAtt,goalAssistOpenplay,cleanSheet,goalAssist,sixYardBlock,attOboxPost,attPostHigh,goalAssistIntentional,attHdGoal,goalAssistSetplay,attIboxPost,attPostLeft,attGoalHighLeft,attSvHighCentre,attPostRight,attCmissHighRight,attPenPost,attHdPost,attGoalLowLeft,defenderGoals,attSvHighRight,errorLeadToGoal,attGoalHighCentre,goalAssistDeadball,secondYellow,attPenMiss,attObpGoal
11,855281,2016-11-05 15:00:00,"London Stadium, London",56970,Away,Stoke City,West Ham United,1,1,D,0,0,0,0,58.0,,31.0,17.0,6.0,3.0,6.0,2.0,,147.0,3.0,2.0,1.0,3.0,6.0,4.0,90.0,142.0,50.0,1.0,12.0,,21.0,,1.0,3.0,20.0,13.0,17.0,4.0,5.0,30.0,153.0,4.0,,0.0,136.0,10.0,1.0,,,2.0,1.0,33.0,61.0,2.0,47.0,2.0,,16.0,10.0,6.0,1.0,4.0,4.0,142.0,6.0,77.0,526.0,4.0,29.0,15.0,15.0,250.0,25.0,14.0,9.0,1.0,1.0,1.0,4.0,21.0,337.0,71.0,85352,3.0,117.0,10.0,133.0,5.0,10.0,7.0,56.0,1.0,,11.0,4.0,5.0,,66.0,267.0,11.0,13.0,1.0,41.0,3.0,83.0,,,,0.0,,6.0,1.0,1.0,0.0,2.0,2.0,41.9,16.0,2.0,,,1.0,44.0,4.0,1.0,361.0,15.0,8.0,17.0,7.0,33.0,3.0,248.0,7.0,5.0,21.0,82.0,20.0,7.0,9.0,16.0,1.0,7.0,3.0,8.0,7.0,6.0,4.0,1.0,1.0,,1.0,2.0,,2.0,,2.0,,1.0,,,,1.0,1.0,,2.0,1.0,1.0,9.0,1.0,3.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,3.0,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,
12,855287,2016-11-19 15:00:00,"bet365 Stadium, Stoke",27815,Home,Stoke City,Bournemouth,0,1,L,0,1,0,0,60.0,,39.0,11.0,5.0,3.0,9.0,1.0,,165.0,4.0,14.0,,2.0,11.0,6.0,79.0,159.0,76.0,1.0,14.0,,18.0,,,,16.0,21.0,11.0,3.0,6.0,31.0,158.0,,,0.0,130.0,17.0,,,,,,58.0,43.0,8.0,45.0,5.0,1.0,13.0,8.0,5.0,1.0,7.0,3.0,159.0,5.0,74.0,558.0,9.0,26.0,32.0,19.0,236.0,20.0,16.0,3.0,,3.0,1.0,3.0,29.0,335.0,61.0,9047,7.0,104.0,6.0,119.0,7.0,8.0,13.0,61.0,2.0,3.0,13.0,3.0,11.0,3.0,70.0,258.0,10.0,7.0,2.0,38.0,4.0,80.0,,,,0.0,,4.0,1.0,1.0,0.0,1.0,5.0,51.1,23.0,,1.0,3.0,3.0,47.0,3.0,,363.0,19.0,13.0,20.0,5.0,37.0,1.0,260.0,6.0,5.0,27.0,73.0,28.0,1.0,3.0,26.0,1.0,8.0,3.0,22.0,1.0,3.0,3.0,,3.0,2.0,4.0,,,2.0,1.0,1.0,4.0,1.0,,2.0,,,5.0,,1.0,,,6.0,2.0,5.0,,,3.0,,,,1.0,,,1.0,,3.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,3.0,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,
13,855301,2016-11-27 12:00:00,"Vicarage Road, Watford",20058,Away,Stoke City,Watford,1,0,W,1,0,0,1,68.0,,27.0,38.0,7.0,8.0,7.0,2.0,,164.0,5.0,8.0,1.0,4.0,10.0,1.0,75.0,153.0,73.0,1.0,14.0,4.0,17.0,,,,16.0,12.0,38.0,3.0,4.0,39.0,150.0,,,0.0,111.0,14.0,,,,2.0,,40.0,66.0,4.0,58.0,1.0,3.0,13.0,18.0,7.0,1.0,3.0,3.0,153.0,7.0,74.0,586.0,7.0,12.0,19.0,11.0,253.0,36.0,8.0,24.0,,0.0,1.0,6.0,13.0,339.0,58.0,9047,3.0,128.0,8.0,151.0,5.0,18.0,8.0,60.0,6.0,4.0,18.0,4.0,6.0,1.0,61.0,273.0,23.0,12.0,3.0,32.0,1.0,76.0,,,,0.0,,3.0,,,0.0,4.0,4.0,50.2,11.0,2.0,1.0,4.0,6.0,42.0,3.0,,371.0,11.0,15.0,20.0,7.0,26.0,3.0,236.0,2.0,4.0,25.0,62.0,23.0,3.0,24.0,17.0,,6.0,1.0,11.0,3.0,12.0,3.0,,2.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,3.0,1.0,2.0,,1.0,,,1.0,,,2.0,,,,1.0,2.0,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,2.0,6.0,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,
14,855307,2016-12-03 15:00:00,"bet365 Stadium, Stoke",27306,Home,Stoke City,Burnley,2,0,W,2,0,0,0,66.0,,32.0,40.0,4.0,3.0,6.0,4.0,1.0,173.0,2.0,11.0,2.0,1.0,7.0,4.0,80.0,150.0,67.0,,10.0,2.0,30.0,,,,10.0,13.0,40.0,4.0,10.0,30.0,160.0,,,0.0,134.0,7.0,,,,1.0,2.0,67.0,30.0,5.0,79.0,1.0,,6.0,9.0,4.0,,4.0,1.0,150.0,7.0,116.0,654.0,4.0,10.0,17.0,11.0,332.0,35.0,12.0,21.0,,3.0,4.0,2.0,21.0,416.0,66.0,9047,3.0,191.0,1.0,211.0,3.0,9.0,13.0,55.0,3.0,3.0,15.0,7.0,4.0,2.0,73.0,349.0,13.0,3.0,1.0,34.0,3.0,75.0,,,,0.0,3.0,9.0,2.0,,0.0,1.0,1.0,55.9,16.0,,2.0,3.0,3.0,39.0,4.0,2.0,448.0,11.0,9.0,13.0,3.0,19.0,1.0,247.0,6.0,10.0,26.0,82.0,22.0,4.0,21.0,17.0,,7.0,3.0,19.0,4.0,6.0,4.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,2.0,1.0,,1.0,4.0,,1.0,1.0,2.0,2.0,1.0,2.0,,,1.0,1.0,,2.0,2.0,,,1.0,,2.0,2.0,,,,1.0,1.0,,,,,1.0,,,,,2.0,,1.0,,,,,,,1.0,2.0,1.0,2.0,,,,2.0,,,1.0,1.0,,,,,,1.0,2.0,1.0,,,,,,,
15,855312,2016-12-10 15:00:00,"Emirates Stadium, London",59964,Away,Stoke City,Arsenal,1,3,L,1,1,0,0,51.0,1.0,24.0,29.0,4.0,5.0,7.0,3.0,1.0,116.0,6.0,5.0,1.0,1.0,9.0,5.0,68.0,120.0,44.0,,12.0,,11.0,,2.0,2.0,18.0,11.0,29.0,7.0,4.0,21.0,117.0,1.0,,0.0,86.0,6.0,,,1.0,1.0,,39.0,58.0,5.0,47.0,2.0,2.0,11.0,13.0,5.0,,3.0,2.0,120.0,17.0,57.0,472.0,7.0,12.0,20.0,18.0,192.0,29.0,5.0,14.0,2.0,0.0,7.0,4.0,17.0,259.0,47.0,9047,5.0,101.0,7.0,130.0,5.0,13.0,14.0,41.0,3.0,4.0,12.0,4.0,10.0,,56.0,212.0,9.0,10.0,2.0,22.0,4.0,44.0,,,,0.0,1.0,7.0,2.0,3.0,0.0,3.0,3.0,35.6,15.0,2.0,1.0,4.0,2.0,23.0,7.0,,288.0,18.0,12.0,10.0,5.0,24.0,3.0,176.0,4.0,4.0,15.0,55.0,14.0,1.0,14.0,15.0,3.0,7.0,3.0,7.0,1.0,3.0,7.0,1.0,2.0,,1.0,,,3.0,1.0,3.0,2.0,,1.0,,,,2.0,1.0,1.0,,1.0,3.0,1.0,3.0,,,3.0,,,1.0,,,1.0,1.0,,,,,,,,3.0,1.0,,,,,,1.0,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16,855330,2016-12-14 20:00:00,"bet365 Stadium, Stoke",27002,Home,Stoke City,Southampton,0,0,D,0,0,1,0,53.0,,25.0,45.0,1.0,2.0,4.0,4.0,,127.0,4.0,7.0,,1.0,3.0,3.0,34.0,141.0,49.0,,5.0,,12.0,,,,11.0,10.0,45.0,3.0,4.0,15.0,84.0,1.0,,0.0,68.0,9.0,,,,1.0,2.0,25.0,51.0,2.0,25.0,2.0,,8.0,8.0,1.0,,2.0,,141.0,5.0,41.0,416.0,2.0,17.0,10.0,12.0,119.0,28.0,10.0,25.0,,1.0,4.0,1.0,19.0,191.0,34.0,9047,2.0,60.0,5.0,83.0,7.0,8.0,15.0,49.0,1.0,,19.0,10.0,10.0,,56.0,140.0,9.0,10.0,1.0,23.0,1.0,58.0,,,,0.0,1.0,11.0,1.0,,1.0,2.0,1.0,28.3,13.0,,,1.0,1.0,27.0,3.0,2.0,227.0,12.0,12.0,7.0,1.0,11.0,1.0,155.0,2.0,4.0,17.0,36.0,13.0,2.0,25.0,16.0,,3.0,2.0,14.0,2.0,5.0,3.0,,1.0,2.0,2.0,1.0,,1.0,,2.0,1.0,,,,,,1.0,,1.0,,,5.0,2.0,1.0,,,2.0,,,3.0,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
17,855337,2016-12-17 15:00:00,"bet365 Stadium, Stoke",27663,Home,Stoke City,Leicester City,2,2,D,2,0,0,1,64.0,,26.0,21.0,9.0,9.0,7.0,6.0,1.0,174.0,7.0,8.0,2.0,3.0,11.0,7.0,160.0,147.0,45.0,,16.0,3.0,15.0,,,1.0,40.0,5.0,21.0,8.0,11.0,35.0,310.0,2.0,,0.0,202.0,9.0,,,2.0,1.0,3.0,69.0,92.0,7.0,93.0,,,33.0,12.0,9.0,,14.0,3.0,147.0,9.0,146.0,782.0,10.0,14.0,33.0,7.0,473.0,17.0,6.0,13.0,,2.0,3.0,4.0,28.0,554.0,72.0,9047,3.0,187.0,18.0,200.0,5.0,12.0,4.0,45.0,3.0,11.0,8.0,5.0,3.0,,49.0,490.0,11.0,6.0,1.0,15.0,2.0,71.0,,,,0.0,,9.0,4.0,2.0,0.0,5.0,1.0,64.9,24.0,,,11.0,5.0,44.0,9.0,3.0,573.0,7.0,12.0,19.0,4.0,49.0,,413.0,6.0,10.0,18.0,152.0,20.0,1.0,13.0,9.0,2.0,11.0,2.0,12.0,1.0,6.0,9.0,2.0,2.0,2.0,3.0,2.0,,2.0,1.0,3.0,,1.0,,1.0,,1.0,1.0,1.0,3.0,1.0,2.0,8.0,2.0,13.0,,,3.0,,,2.0,,1.0,,1.0,,1.0,,,,,,2.0,,,,,1.0,,1.0,,2.0,,,,,,2.0,2.0,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,
18,855347,2016-12-27 17:15:00,"Anfield, Liverpool",53094,Away,Stoke City,Liverpool,1,4,L,1,2,0,0,54.0,,40.0,36.0,2.0,1.0,4.0,2.0,,154.0,2.0,10.0,1.0,1.0,4.0,2.0,74.0,151.0,74.0,,6.0,1.0,13.0,,,,10.0,12.0,36.0,2.0,7.0,19.0,153.0,,,0.0,100.0,6.0,,,,1.0,1.0,30.0,71.0,2.0,55.0,2.0,1.0,8.0,15.0,2.0,,3.0,1.0,151.0,12.0,69.0,575.0,3.0,25.0,9.0,20.0,235.0,21.0,16.0,20.0,,1.0,9.0,2.0,22.0,323.0,55.0,9047,2.0,105.0,4.0,130.0,5.0,15.0,12.0,54.0,2.0,3.0,10.0,9.0,8.0,1.0,73.0,256.0,8.0,9.0,,37.0,,75.0,,,,0.0,2.0,8.0,2.0,4.0,0.0,2.0,2.0,36.2,15.0,1.0,1.0,3.0,2.0,48.0,2.0,1.0,352.0,20.0,14.0,10.0,2.0,17.0,1.0,232.0,3.0,7.0,32.0,54.0,20.0,3.0,20.0,25.0,4.0,6.0,3.0,22.0,3.0,9.0,2.0,,1.0,1.0,1.0,,,,,2.0,,,,,,,1.0,,,,1.0,13.0,,5.0,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,3.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,2.0,,,,,
19,855354,2016-12-31 15:00:00,"Stamford Bridge, London",41601,Away,Stoke City,Chelsea,2,4,L,0,1,0,0,49.0,,38.0,31.0,1.0,3.0,4.0,3.0,1.0,117.0,2.0,4.0,2.0,2.0,3.0,2.0,73.0,120.0,54.0,,5.0,,11.0,,,2.0,9.0,12.0,31.0,2.0,9.0,24.0,137.0,,,0.0,98.0,10.0,,,,2.0,1.0,40.0,37.0,1.0,57.0,1.0,,7.0,13.0,1.0,,1.0,1.0,120.0,10.0,75.0,477.0,,7.0,12.0,11.0,222.0,26.0,14.0,12.0,,2.0,3.0,2.0,16.0,291.0,46.0,9047,4.0,107.0,4.0,127.0,8.0,13.0,12.0,43.0,2.0,2.0,14.0,8.0,5.0,,70.0,242.0,12.0,11.0,2.0,32.0,1.0,65.0,,,,0.0,1.0,8.0,3.0,4.0,0.0,,1.0,40.4,12.0,1.0,,2.0,,37.0,3.0,1.0,322.0,11.0,10.0,16.0,3.0,24.0,2.0,204.0,1.0,8.0,22.0,58.0,19.0,2.0,12.0,17.0,4.0,1.0,2.0,6.0,2.0,6.0,3.0,1.0,,,,,,,,3.0,,1.0,,,,1.0,,,,2.0,2.0,1.0,,1.0,,,2.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,3.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,
20,855367,2017-01-03 20:00:00,"bet365 Stadium, Stoke",27010,Home,Stoke City,Watford,2,0,W,1,0,0,0,59.0,,26.0,42.0,5.0,4.0,11.0,1.0,1.0,158.0,9.0,12.0,2.0,3.0,13.0,5.0,79.0,171.0,60.0,,16.0,2.0,23.0,,,3.0,33.0,5.0,42.0,6.0,11.0,31.0,138.0,,,0.0,119.0,10.0,,,,,,68.0,57.0,8.0,64.0,1.0,3.0,27.0,19.0,5.0,,9.0,3.0,171.0,5.0,98.0,629.0,10.0,8.0,21.0,9.0,279.0,26.0,7.0,20.0,,1.0,4.0,5.0,31.0,376.0,62.0,9047,9.0,167.0,18.0,191.0,3.0,19.0,5.0,53.0,3.0,2.0,16.0,4.0,3.0,1.0,57.0,296.0,15.0,6.0,1.0,23.0,4.0,66.0,,2.0,,0.0,2.0,6.0,2.0,,0.0,5.0,3.0,54.0,24.0,2.0,,2.0,4.0,38.0,7.0,,399.0,9.0,12.0,19.0,7.0,34.0,4.0,241.0,9.0,9.0,26.0,70.0,27.0,,20.0,7.0,,11.0,2.0,16.0,,10.0,7.0,1.0,2.0,1.0,3.0,1.0,,,,1.0,,3.0,1.0,2.0,,1.0,2.0,,,3.0,2.0,2.0,,3.0,,,4.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,2.0,,,,2.0,,1.0,,,,1.0,,,,,2.0,1.0,,,,1.0,,,
21,855377,2017-01-14 15:00:00,"Stadium of Light, Sunderland",42722,Away,Stoke City,Sunderland,3,1,W,3,1,0,0,65.0,1.0,38.0,36.0,4.0,8.0,10.0,2.0,1.0,180.0,7.0,13.0,3.0,4.0,10.0,6.0,86.0,147.0,67.0,1.0,14.0,1.0,10.0,,,1.0,13.0,10.0,36.0,2.0,18.0,27.0,174.0,,,0.0,109.0,11.0,,,2.0,,2.0,56.0,63.0,8.0,72.0,2.0,2.0,11.0,16.0,4.0,1.0,4.0,2.0,147.0,6.0,86.0,629.0,8.0,12.0,26.0,11.0,295.0,31.0,16.0,17.0,,1.0,5.0,2.0,16.0,390.0,57.0,9047,5.0,154.0,7.0,176.0,5.0,16.0,9.0,44.0,1.0,6.0,15.0,7.0,7.0,,80.0,321.0,16.0,8.0,,45.0,,85.0,,1.0,,0.0,3.0,5.0,2.0,1.0,0.0,7.0,2.0,48.8,14.0,,1.0,6.0,5.0,40.0,2.0,3.0,424.0,11.0,7.0,13.0,3.0,25.0,1.0,261.0,4.0,17.0,27.0,67.0,23.0,4.0,17.0,12.0,1.0,12.0,2.0,23.0,4.0,8.0,2.0,1.0,4.0,,2.0,3.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,3.0,,1.0,1.0,3.0,4.0,1.0,2.0,,,,1.0,,,,,,1.0,,,,,,,2.0,3.0,1.0,,1.0,,1.0,,,,1.0,3.0,,,,,,,,,,2.0,,2.0,,,,2.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,
22,855390,2017-01-21 15:00:00,"bet365 Stadium, Stoke",27423,Home,Stoke City,Manchester United,1,1,D,1,0,0,0,55.0,,39.0,42.0,2.0,5.0,3.0,7.0,,152.0,,5.0,1.0,1.0,5.0,1.0,55.0,151.0,57.0,,6.0,,20.0,,1.0,2.0,7.0,10.0,42.0,1.0,11.0,28.0,128.0,,,0.0,83.0,13.0,,,,1.0,,42.0,66.0,2.0,51.0,2.0,1.0,6.0,20.0,3.0,,3.0,2.0,151.0,14.0,73.0,531.0,4.0,13.0,7.0,16.0,206.0,27.0,10.0,15.0,1.0,4.0,9.0,3.0,17.0,292.0,57.0,9047,2.0,107.0,2.0,128.0,6.0,20.0,13.0,56.0,,1.0,26.0,11.0,9.0,,74.0,235.0,11.0,12.0,1.0,33.0,,78.0,,,,0.0,1.0,7.0,4.0,1.0,0.0,,,34.9,10.0,,,1.0,2.0,45.0,1.0,1.0,331.0,16.0,12.0,15.0,3.0,18.0,1.0,210.0,1.0,10.0,26.0,41.0,18.0,2.0,15.0,16.0,,6.0,3.0,7.0,2.0,11.0,1.0,,2.0,,,1.0,,1.0,,,,,,,,,,,1.0,3.0,1.0,3.0,,,,,,,,3.0,,,,,,1.0,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,855401,2017-02-01 20:00:00,"bet365 Stadium, Stoke",27612,Home,Stoke City,Everton,1,1,D,1,1,0,0,65.0,1.0,32.0,23.0,4.0,3.0,9.0,5.0,,155.0,8.0,12.0,1.0,3.0,9.0,7.0,99.0,138.0,59.0,1.0,14.0,2.0,14.0,,4.0,2.0,22.0,10.0,23.0,5.0,18.0,42.0,214.0,2.0,,0.0,119.0,21.0,,,,2.0,,75.0,43.0,6.0,70.0,,,17.0,13.0,5.0,1.0,11.0,2.0,138.0,9.0,98.0,615.0,7.0,11.0,18.0,15.0,316.0,29.0,8.0,10.0,4.0,1.0,2.0,3.0,19.0,401.0,79.0,91972,9.0,123.0,4.0,141.0,10.0,13.0,5.0,50.0,1.0,4.0,16.0,7.0,3.0,1.0,71.0,329.0,12.0,9.0,1.0,34.0,3.0,80.0,,1.0,,0.0,3.0,5.0,3.0,1.0,0.0,6.0,4.0,47.1,16.0,2.0,,4.0,2.0,42.0,5.0,,422.0,15.0,1.0,27.0,5.0,35.0,3.0,303.0,7.0,14.0,23.0,78.0,26.0,1.0,10.0,14.0,1.0,9.0,2.0,19.0,1.0,8.0,5.0,1.0,,3.0,5.0,,,1.0,,2.0,1.0,3.0,2.0,2.0,,1.0,2.0,,,,1.0,5.0,,1.0,,,2.0,1.0,,2.0,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,3.0,2.0,2.0,1.0,1.0,1.0,,,,,2.0,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,
24,855411,2017-02-04 15:00:00,"The Hawthorns, West Bromwich",23921,Away,Stoke City,West Bromwich Albion,0,1,L,0,1,0,0,49.0,,43.0,11.0,6.0,2.0,6.0,3.0,,192.0,7.0,4.0,,1.0,8.0,2.0,132.0,170.0,48.0,1.0,12.0,2.0,22.0,,,1.0,36.0,11.0,11.0,6.0,10.0,32.0,291.0,1.0,,0.0,185.0,13.0,,,,,,94.0,76.0,5.0,67.0,1.0,2.0,30.0,13.0,6.0,1.0,18.0,3.0,170.0,8.0,132.0,718.0,6.0,19.0,19.0,16.0,401.0,18.0,8.0,7.0,,2.0,4.0,3.0,26.0,496.0,87.0,91972,4.0,139.0,12.0,155.0,8.0,13.0,14.0,64.0,2.0,5.0,14.0,7.0,11.0,,79.0,423.0,6.0,14.0,2.0,28.0,2.0,90.0,,,,0.0,5.0,5.0,,1.0,0.0,6.0,4.0,62.3,22.0,2.0,,5.0,5.0,52.0,6.0,,523.0,16.0,10.0,18.0,5.0,45.0,2.0,404.0,6.0,10.0,22.0,133.0,19.0,5.0,7.0,17.0,1.0,8.0,3.0,10.0,5.0,6.0,6.0,,3.0,1.0,1.0,1.0,,1.0,,3.0,,2.0,,2.0,,,,,,1.0,,4.0,2.0,4.0,,,1.0,,,3.0,,,,1.0,1.0,,,,,,1.0,,,,1.0,,2.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
25,855418,2017-02-11 15:00:00,"bet365 Stadium, Stoke",27007,Home,Stoke City,Crystal Palace,1,0,W,0,0,0,0,62.0,,33.0,33.0,2.0,2.0,5.0,1.0,,182.0,5.0,8.0,1.0,1.0,6.0,4.0,97.0,164.0,66.0,,7.0,1.0,24.0,,2.0,,15.0,21.0,33.0,4.0,16.0,32.0,205.0,,,0.0,155.0,10.0,,,1.0,,,69.0,84.0,4.0,76.0,,1.0,11.0,12.0,2.0,,5.0,,164.0,3.0,96.0,657.0,3.0,11.0,17.0,14.0,315.0,29.0,12.0,21.0,2.0,1.0,1.0,2.0,33.0,418.0,81.0,91972,4.0,139.0,6.0,157.0,4.0,12.0,13.0,58.0,3.0,4.0,13.0,3.0,11.0,1.0,75.0,339.0,13.0,5.0,2.0,39.0,2.0,82.0,,,,0.0,3.0,5.0,1.0,,0.0,2.0,3.0,57.5,29.0,2.0,,4.0,1.0,49.0,5.0,,451.0,14.0,11.0,16.0,2.0,26.0,2.0,309.0,2.0,16.0,21.0,87.0,22.0,1.0,21.0,24.0,,5.0,3.0,16.0,1.0,6.0,5.0,,,1.0,2.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,4.0,2.0,4.0,,,3.0,,,,,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
26,855429,2017-02-26 13:30:00,"White Hart Lane, London",31864,Away,Stoke City,Tottenham Hotspur,0,4,L,0,4,0,0,57.0,,26.0,18.0,,1.0,5.0,5.0,,124.0,2.0,8.0,,2.0,3.0,3.0,68.0,147.0,53.0,,5.0,,13.0,,1.0,1.0,15.0,15.0,18.0,5.0,8.0,34.0,81.0,1.0,,0.0,74.0,14.0,,,,3.0,,34.0,31.0,2.0,61.0,,,10.0,14.0,,,2.0,,147.0,11.0,64.0,503.0,2.0,7.0,12.0,12.0,205.0,25.0,8.0,5.0,1.0,3.0,5.0,1.0,25.0,293.0,48.0,91972,1.0,140.0,5.0,164.0,9.0,14.0,9.0,48.0,2.0,5.0,17.0,10.0,4.0,,65.0,219.0,11.0,10.0,1.0,32.0,2.0,65.0,,1.0,,0.0,,8.0,2.0,4.0,0.0,1.0,1.0,35.7,19.0,,1.0,5.0,,31.0,5.0,,317.0,12.0,8.0,17.0,2.0,19.0,2.0,168.0,3.0,4.0,14.0,33.0,23.0,2.0,5.0,20.0,2.0,3.0,3.0,11.0,2.0,10.0,5.0,,,1.0,3.0,1.0,,,,2.0,1.0,1.0,,1.0,,,,,,,,,3.0,3.0,,,1.0,,,3.0,,,,,,1.0,,,,,,1.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
