gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,penaltyConceded,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,totalOffside,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,savedObox,attemptsIbox,saves,shotFastbreak,cleanSheet,divingSave,totalFastbreak,attMissRight,attemptsObox,bigChanceCreated,contentiousDecision,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateThroughBall,bigChanceMissed,totalThroughBall,accurateKeeperThrows,attFastbreak,shieldBallOop,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,handBall,bigChanceScored,goalAssistSetplay,attGoalLowCentre,attCmissRight,attFreekickTotal,accurateKeeperSweeper,penaltyWon,attSvHighLeft,attSvLowLeft,interceptionsInBox,freekickTotal,hitWoodwork,goalAssist,totalKeeperSweeper,attPenGoal,attFreekickTarget,goalAssistIntentional,forwardGoals,attHdGoal,attOneOnOne,foulThrowIn,clearanceOffLine,postScoringAtt,attIboxPost,attHdPost,attHdTarget,attMissHighLeft,attPostHigh,goalAssistDeadball,attGoalHighCentre,attCorner,attSvHighRight,attLgLeft,attLfGoal,accuratePullBack,attGoalLowLeft,attLgCentre,attCmissHighLeft,attOboxPost,goalAssistOpenplay,punches,attCmissHighRight,attGoalHighLeft,attFreekickMiss,errorLeadToGoal,ownGoals,attPostRight,attIboxOwnGoal,attGoalHighRight,attOboxGoal,defenderGoals,goalsConcededObox,attPenPost,attObxLeft,goalFastbreak,attObxdRight,attPenTarget,attCmissHigh,attPostLeft,attObxRight
11,442107,2012-11-10 15:00:00,"bet365 Stadium, Stoke",27529,Home,Stoke City,Queens Park Rangers,1,0,W,0,0,0,0,55.0,,2.0,30.0,23.0,4.0,4.0,1.0,147.0,1.0,3.0,1.0,7.0,10.0,2.0,85.0,167.0,71.0,12.0,3.0,20.0,1.0,,1.0,1.0,23.0,13.0,,14.0,3.0,6.0,34.0,157.0,,0.0,172.0,13.0,1.0,3.0,,72.0,38.0,6.0,46.0,20.0,5.0,1.0,,158.0,7.0,62.0,516.0,9.0,23.0,8.0,19.0,13.0,13.0,2.0,7.0,4.0,26.0,90.0,,1.0,5589,7.0,83.0,12.0,1.0,3.0,,92.0,,,11.0,53.0,2.0,,6.0,11.0,4.0,1.0,59.0,239.0,15.0,11.0,,34.0,80.0,,,0.0,2.0,5.0,1.0,1.0,,9.0,0.0,1.0,1.0,45.1,19.0,1.0,5.0,36.0,5.0,,,340.0,,6.0,8.0,18.0,5.0,30.0,,4.0,271.0,7.0,5.0,34.0,99.0,23.0,2.0,7.0,19.0,,9.0,3.0,6.0,2.0,5.0,,1.0,,,,1.0,2.0,,3.0,,1.0,,,,,,1.0,1.0,3.0,,,3.0,1.0,,3.0,2.0,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,442118,2012-11-19 20:00:00,"Boleyn Ground, London",35005,Away,Stoke City,West Ham United,1,1,D,1,0,0,0,56.0,1.0,,26.0,66.0,4.0,3.0,,139.0,2.0,1.0,1.0,1.0,7.0,2.0,72.0,183.0,57.0,8.0,1.0,33.0,1.0,,,1.0,19.0,12.0,,46.0,4.0,11.0,29.0,137.0,,0.0,105.0,9.0,,1.0,3.0,64.0,34.0,3.0,48.0,15.0,4.0,3.0,,163.0,11.0,68.0,541.0,5.0,16.0,7.0,18.0,6.0,36.0,0.0,3.0,4.0,21.0,62.0,,,50089,3.0,91.0,10.0,,,,116.0,1.0,,10.0,60.0,3.0,,13.0,4.0,6.0,,57.0,226.0,9.0,4.0,1.0,31.0,88.0,,1.0,0.0,1.0,12.0,4.0,1.0,1.0,9.0,0.0,,1.0,42.0,11.0,,1.0,40.0,4.0,,3.0,327.0,,6.0,12.0,14.0,5.0,20.0,2.0,1.0,230.0,4.0,9.0,31.0,62.0,28.0,8.0,27.0,16.0,1.0,6.0,3.0,3.0,8.0,4.0,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13,442124,2012-11-24 15:00:00,"bet365 Stadium, Stoke",26921,Home,Stoke City,Fulham,1,0,W,1,0,0,0,61.0,,1.0,25.0,38.0,7.0,5.0,,131.0,10.0,6.0,1.0,2.0,12.0,2.0,82.0,175.0,61.0,16.0,2.0,15.0,1.0,,,3.0,33.0,17.0,,21.0,7.0,9.0,39.0,159.0,1.0,0.0,147.0,18.0,1.0,2.0,1.0,44.0,63.0,5.0,49.0,26.0,10.0,5.0,,158.0,2.0,61.0,539.0,7.0,15.0,18.0,26.0,10.0,14.0,1.0,3.0,7.0,25.0,63.0,1.0,,5589,6.0,80.0,14.0,,1.0,,98.0,,,3.0,54.0,2.0,1.0,10.0,7.0,2.0,1.0,51.0,229.0,11.0,6.0,4.0,26.0,73.0,,2.0,0.0,,2.0,1.0,1.0,,6.0,0.0,5.0,5.0,40.3,14.0,3.0,3.0,35.0,7.0,,1.0,323.0,,14.0,10.0,17.0,11.0,33.0,5.0,5.0,258.0,6.0,6.0,25.0,94.0,25.0,4.0,6.0,19.0,,7.0,3.0,13.0,4.0,7.0,,1.0,,,,1.0,1.0,,3.0,,2.0,,,,,,1.0,,,,,5.0,,1.0,,2.0,1.0,,1.0,2.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14,442132,2012-11-28 19:45:00,"bet365 Stadium, Stoke",26793,Home,Stoke City,Newcastle United,2,1,W,0,0,0,0,63.0,,1.0,32.0,30.0,2.0,,1.0,172.0,7.0,7.0,2.0,3.0,10.0,5.0,71.0,212.0,75.0,13.0,,19.0,3.0,3.0,2.0,,31.0,17.0,,21.0,7.0,21.0,39.0,162.0,3.0,0.0,132.0,13.0,,2.0,2.0,54.0,84.0,5.0,53.0,24.0,6.0,2.0,,203.0,5.0,70.0,605.0,5.0,16.0,14.0,19.0,16.0,19.0,2.0,1.0,5.0,37.0,79.0,1.0,1.0,5589,6.0,98.0,16.0,1.0,2.0,,121.0,1.0,,3.0,59.0,3.0,2.0,15.0,4.0,1.0,1.0,54.0,253.0,14.0,2.0,3.0,30.0,90.0,1.0,,0.0,4.0,2.0,3.0,2.0,1.0,8.0,0.0,5.0,6.0,52.2,21.0,3.0,1.0,47.0,7.0,,2.0,366.0,,10.0,17.0,19.0,7.0,22.0,2.0,5.0,276.0,7.0,16.0,30.0,81.0,28.0,3.0,14.0,24.0,1.0,5.0,3.0,15.0,3.0,7.0,,2.0,,,,,2.0,,3.0,,3.0,,,,,1.0,1.0,3.0,2.0,,1.0,7.0,,,2.0,,2.0,,1.0,,1.0,2.0,,,,1.0,1.0,,2.0,2.0,,,2.0,2.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
15,442147,2012-12-01 15:00:00,"The Hawthorns, West Bromwich",24739,Away,Stoke City,West Bromwich Albion,1,0,W,0,0,0,0,64.0,,,19.0,34.0,2.0,,1.0,133.0,5.0,6.0,1.0,2.0,4.0,2.0,71.0,177.0,57.0,5.0,1.0,30.0,1.0,,,1.0,24.0,17.0,,21.0,4.0,15.0,31.0,112.0,,0.0,102.0,15.0,1.0,1.0,,57.0,55.0,3.0,47.0,20.0,9.0,1.0,,164.0,6.0,82.0,537.0,3.0,8.0,10.0,25.0,3.0,18.0,3.0,6.0,1.0,26.0,59.0,,,5589,3.0,126.0,10.0,,,,143.0,1.0,,6.0,69.0,2.0,1.0,9.0,9.0,1.0,1.0,52.0,233.0,8.0,7.0,,23.0,84.0,,1.0,0.0,1.0,5.0,3.0,1.0,,1.0,0.0,3.0,1.0,42.8,15.0,1.0,1.0,27.0,5.0,,,333.0,,7.0,11.0,9.0,2.0,18.0,2.0,1.0,214.0,4.0,13.0,21.0,48.0,19.0,2.0,13.0,22.0,,4.0,2.0,12.0,2.0,5.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,4.0,,1.0,1.0,,,4.0,,,,1.0,,,3.0,,,1.0,,,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,442150,2012-12-08 15:00:00,"Villa Park, Birmingham",30110,Away,Stoke City,Aston Villa,0,0,D,0,0,1,0,49.0,,,32.0,31.0,1.0,1.0,,138.0,4.0,2.0,,,2.0,,71.0,179.0,48.0,2.0,,19.0,,,,1.0,27.0,8.0,,14.0,2.0,12.0,38.0,158.0,1.0,0.0,147.0,15.0,,,4.0,53.0,75.0,,50.0,25.0,10.0,1.0,1.0,162.0,8.0,92.0,547.0,2.0,23.0,16.0,26.0,7.0,12.0,0.0,7.0,2.0,32.0,75.0,,1.0,5589,1.0,103.0,15.0,,,,117.0,,,5.0,62.0,3.0,,10.0,5.0,3.0,,55.0,257.0,9.0,8.0,,21.0,74.0,,,0.0,,3.0,1.0,,,5.0,1.0,4.0,,43.7,22.0,,,36.0,2.0,,4.0,351.0,,15.0,13.0,21.0,2.0,27.0,,1.0,261.0,1.0,9.0,25.0,90.0,11.0,3.0,7.0,12.0,,1.0,2.0,9.0,3.0,2.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,3.0,,4.0,2.0,,,3.0,,,,,,,3.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,442166,2012-12-15 15:00:00,"bet365 Stadium, Stoke",27008,Home,Stoke City,Everton,1,1,D,0,1,0,0,60.0,,,32.0,26.0,7.0,4.0,3.0,159.0,4.0,2.0,1.0,1.0,10.0,5.0,50.0,180.0,71.0,13.0,1.0,25.0,3.0,,2.0,2.0,23.0,12.0,1.0,21.0,4.0,10.0,36.0,138.0,1.0,0.0,113.0,13.0,,2.0,2.0,58.0,60.0,6.0,63.0,19.0,8.0,5.0,,175.0,10.0,56.0,530.0,9.0,11.0,13.0,24.0,14.0,12.0,1.0,4.0,4.0,33.0,64.0,,,5589,3.0,95.0,9.0,,2.0,,112.0,,,7.0,65.0,1.0,,14.0,1.0,3.0,,58.0,229.0,13.0,3.0,,32.0,96.0,2.0,,0.0,,8.0,2.0,1.0,1.0,3.0,0.0,3.0,2.0,48.7,20.0,,1.0,50.0,4.0,,2.0,328.0,,10.0,18.0,17.0,7.0,23.0,1.0,1.0,239.0,7.0,8.0,42.0,68.0,25.0,3.0,10.0,14.0,1.0,9.0,3.0,9.0,3.0,4.0,,,,,,,1.0,,2.0,,3.0,1.0,,,,1.0,4.0,1.0,3.0,,1.0,1.0,,,3.0,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
18,442175,2012-12-22 15:00:00,"White Hart Lane, London",35702,Away,Stoke City,Tottenham Hotspur,0,0,D,0,0,0,0,59.0,,,20.0,54.0,1.0,,1.0,119.0,2.0,6.0,,3.0,3.0,1.0,57.0,163.0,65.0,4.0,1.0,16.0,1.0,,,,12.0,20.0,,32.0,3.0,12.0,28.0,97.0,1.0,0.0,102.0,12.0,,,3.0,39.0,30.0,2.0,32.0,9.0,,,,141.0,6.0,46.0,484.0,1.0,13.0,21.0,26.0,5.0,26.0,5.0,8.0,1.0,16.0,62.0,,,5589,3.0,81.0,9.0,,1.0,,95.0,,,15.0,58.0,2.0,,12.0,16.0,8.0,1.0,44.0,176.0,8.0,7.0,2.0,16.0,69.0,1.0,,0.0,,11.0,1.0,,,3.0,0.0,,1.0,36.8,8.0,1.0,1.0,36.0,4.0,,4.0,254.0,,19.0,18.0,13.0,2.0,13.0,2.0,2.0,171.0,3.0,10.0,26.0,51.0,19.0,4.0,21.0,25.0,,2.0,3.0,12.0,4.0,4.0,,4.0,,,,1.0,1.0,,,,,,,,,2.0,1.0,3.0,2.0,,,2.0,,,2.0,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,442187,2012-12-26 19:45:00,"bet365 Stadium, Stoke",27490,Home,Stoke City,Liverpool,3,1,W,2,1,0,0,63.0,1.0,2.0,18.0,17.0,2.0,1.0,1.0,134.0,4.0,1.0,3.0,1.0,7.0,5.0,53.0,157.0,56.0,10.0,1.0,26.0,2.0,1.0,1.0,,22.0,17.0,,12.0,6.0,9.0,25.0,121.0,,0.0,111.0,11.0,,1.0,1.0,41.0,55.0,6.0,47.0,16.0,4.0,1.0,,152.0,10.0,50.0,482.0,5.0,19.0,16.0,21.0,11.0,3.0,3.0,7.0,1.0,26.0,53.0,,,5589,4.0,86.0,11.0,,,1.0,97.0,2.0,,10.0,66.0,1.0,1.0,12.0,7.0,5.0,1.0,42.0,203.0,5.0,8.0,,24.0,73.0,,,0.0,2.0,8.0,1.0,3.0,1.0,5.0,0.0,3.0,1.0,37.6,14.0,,3.0,29.0,6.0,1.0,1.0,284.0,1.0,13.0,15.0,10.0,2.0,16.0,1.0,1.0,209.0,8.0,9.0,24.0,66.0,26.0,2.0,2.0,26.0,1.0,7.0,3.0,7.0,2.0,6.0,1.0,2.0,,,1.0,,3.0,1.0,1.0,,,,,,,,,,2.0,1.0,1.0,7.0,2.0,1.0,2.0,,1.0,2.0,,,,3.0,,,,1.0,,,2.0,3.0,,,2.0,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
20,442197,2012-12-29 15:00:00,"bet365 Stadium, Stoke",26391,Home,Stoke City,Southampton,3,3,D,1,3,1,0,50.0,,3.0,26.0,34.0,3.0,3.0,,173.0,7.0,5.0,3.0,2.0,10.0,5.0,63.0,235.0,68.0,13.0,1.0,18.0,1.0,1.0,1.0,2.0,28.0,11.0,1.0,19.0,7.0,8.0,34.0,158.0,,0.0,177.0,6.0,,1.0,1.0,48.0,99.0,7.0,50.0,21.0,7.0,,,220.0,8.0,62.0,591.0,6.0,31.0,9.0,11.0,17.0,19.0,1.0,2.0,3.0,53.0,102.0,,1.0,5589,6.0,65.0,13.0,1.0,1.0,,87.0,2.0,,8.0,51.0,2.0,1.0,17.0,1.0,5.0,1.0,62.0,216.0,9.0,6.0,2.0,43.0,110.0,,,0.0,,4.0,2.0,2.0,3.0,13.0,1.0,4.0,3.0,54.9,29.0,2.0,4.0,52.0,7.0,,1.0,348.0,,7.0,8.0,13.0,4.0,25.0,3.0,4.0,289.0,6.0,7.0,39.0,97.0,22.0,,12.0,14.0,3.0,7.0,3.0,18.0,,7.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,2.0,,,3.0,1.0,,2.0,,1.0,1.0,1.0,,,3.0,,,1.0,,,1.0,2.0,4.0,,,1.0,2.0,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,
21,442201,2013-01-01 15:00:00,"Etihad Stadium, Manchester",47192,Away,Stoke City,Manchester City,0,3,L,0,1,0,0,44.0,,2.0,26.0,39.0,2.0,1.0,1.0,120.0,2.0,2.0,,1.0,2.0,1.0,72.0,149.0,52.0,5.0,1.0,18.0,,,,,8.0,19.0,1.0,20.0,2.0,15.0,27.0,145.0,,0.0,93.0,10.0,,1.0,4.0,45.0,72.0,1.0,60.0,6.0,2.0,,,130.0,12.0,94.0,523.0,2.0,13.0,9.0,15.0,6.0,10.0,2.0,6.0,1.0,20.0,49.0,,,5589,2.0,111.0,3.0,1.0,,1.0,126.0,,,17.0,47.0,1.0,,4.0,8.0,8.0,1.0,41.0,254.0,6.0,6.0,,23.0,86.0,1.0,,0.0,,7.0,2.0,,3.0,5.0,0.0,1.0,,38.4,15.0,,3.0,48.0,2.0,1.0,4.0,346.0,1.0,7.0,5.0,12.0,1.0,6.0,1.0,1.0,228.0,4.0,12.0,22.0,52.0,17.0,3.0,5.0,22.0,3.0,3.0,2.0,10.0,3.0,2.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,,1.0,,2.0,,,2.0,,,2.0,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
22,442217,2013-01-12 15:00:00,"bet365 Stadium, Stoke",27348,Home,Stoke City,Chelsea,0,4,L,0,1,0,0,61.0,,1.0,25.0,31.0,5.0,3.0,2.0,137.0,5.0,7.0,,3.0,8.0,5.0,63.0,171.0,53.0,12.0,1.0,11.0,3.0,,2.0,1.0,31.0,12.0,2.0,20.0,6.0,10.0,24.0,144.0,,0.0,111.0,14.0,,1.0,,34.0,70.0,5.0,46.0,25.0,11.0,2.0,,160.0,9.0,73.0,509.0,7.0,13.0,13.0,23.0,12.0,15.0,1.0,5.0,3.0,21.0,68.0,,,5589,7.0,79.0,13.0,,1.0,1.0,112.0,,,2.0,49.0,3.0,,10.0,6.0,2.0,,51.0,218.0,9.0,12.0,1.0,31.0,76.0,1.0,,0.0,,7.0,4.0,,4.0,5.0,0.0,4.0,3.0,43.4,15.0,1.0,2.0,42.0,6.0,1.0,,319.0,1.0,10.0,9.0,7.0,5.0,21.0,1.0,2.0,238.0,6.0,10.0,23.0,68.0,26.0,2.0,10.0,14.0,3.0,8.0,3.0,12.0,2.0,6.0,1.0,,,,,,4.0,,1.0,,1.0,1.0,,,,,3.0,,5.0,,1.0,3.0,,,5.0,2.0,,,,1.0,,2.0,1.0,1.0,,2.0,,1.0,,2.0,,,,,,,,,1.0,1.0,,2.0,2.0,1.0,,,,1.0,,,,,,2.0,,,,,,,,2.0,,2.0,,,,1.0,1.0,,,,,,,
23,442224,2013-01-19 15:00:00,"Swansea.com Stadium, Swansea",19603,Away,Stoke City,Swansea City,1,3,L,0,0,0,0,53.0,1.0,2.0,38.0,22.0,3.0,3.0,,152.0,5.0,4.0,1.0,3.0,7.0,2.0,99.0,150.0,59.0,10.0,,13.0,,,,1.0,26.0,10.0,1.0,15.0,6.0,18.0,40.0,180.0,1.0,0.0,115.0,10.0,,2.0,1.0,61.0,64.0,3.0,72.0,20.0,5.0,2.0,,143.0,9.0,79.0,561.0,2.0,13.0,12.0,26.0,16.0,7.0,0.0,4.0,4.0,16.0,68.0,,1.0,5589,4.0,136.0,13.0,1.0,1.0,,152.0,,,5.0,45.0,,,11.0,6.0,4.0,2.0,60.0,311.0,11.0,9.0,4.0,34.0,86.0,1.0,1.0,0.0,2.0,7.0,,1.0,3.0,5.0,0.0,1.0,3.0,43.9,13.0,2.0,2.0,52.0,6.0,,1.0,402.0,,9.0,10.0,22.0,6.0,11.0,4.0,4.0,276.0,3.0,17.0,32.0,69.0,22.0,6.0,5.0,12.0,2.0,3.0,3.0,8.0,6.0,6.0,1.0,,,,1.0,,,1.0,2.0,,2.0,,,,,,2.0,,2.0,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,
24,442235,2013-01-29 19:45:00,"bet365 Stadium, Stoke",24421,Home,Stoke City,Wigan Athletic,2,2,D,1,0,0,0,59.0,1.0,,23.0,18.0,6.0,3.0,,121.0,3.0,3.0,2.0,6.0,6.0,3.0,64.0,159.0,42.0,10.0,2.0,18.0,,1.0,1.0,,20.0,10.0,1.0,10.0,,13.0,38.0,138.0,2.0,0.0,145.0,12.0,,4.0,2.0,43.0,77.0,2.0,51.0,20.0,8.0,4.0,,151.0,7.0,63.0,467.0,6.0,19.0,14.0,24.0,13.0,3.0,1.0,2.0,4.0,21.0,74.0,,,5589,2.0,59.0,8.0,,1.0,,74.0,2.0,,12.0,53.0,1.0,1.0,9.0,6.0,9.0,,51.0,194.0,10.0,15.0,,26.0,87.0,,,0.0,2.0,1.0,,2.0,2.0,8.0,0.0,3.0,,36.9,16.0,,2.0,43.0,,,2.0,299.0,,10.0,6.0,10.0,5.0,21.0,,1.0,245.0,7.0,12.0,16.0,84.0,24.0,1.0,,13.0,2.0,8.0,3.0,5.0,1.0,,1.0,4.0,,,3.0,,1.0,4.0,3.0,,,,,,,,,1.0,2.0,3.0,1.0,1.0,,,3.0,,2.0,,,3.0,1.0,2.0,,,,2.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,
25,442239,2013-02-02 15:00:00,"Emirates Stadium, London",59872,Away,Stoke City,Arsenal,0,1,L,0,0,0,0,48.0,,1.0,24.0,35.0,5.0,1.0,1.0,144.0,4.0,3.0,,1.0,7.0,1.0,66.0,133.0,49.0,7.0,1.0,31.0,,,,1.0,12.0,8.0,1.0,23.0,1.0,5.0,43.0,108.0,1.0,0.0,88.0,13.0,,1.0,5.0,16.0,68.0,3.0,65.0,11.0,3.0,3.0,,133.0,12.0,61.0,506.0,5.0,11.0,17.0,26.0,8.0,13.0,3.0,9.0,4.0,22.0,56.0,1.0,,5589,1.0,135.0,7.0,,1.0,,154.0,,,15.0,69.0,2.0,,7.0,11.0,6.0,1.0,59.0,239.0,3.0,15.0,2.0,19.0,84.0,,,0.0,,11.0,4.0,,1.0,,0.0,3.0,2.0,34.6,13.0,1.0,2.0,36.0,1.0,,5.0,336.0,,12.0,7.0,16.0,4.0,20.0,1.0,1.0,194.0,4.0,4.0,31.0,41.0,13.0,5.0,9.0,12.0,,4.0,3.0,6.0,5.0,1.0,,,2.0,4.0,,,4.0,,,5.0,,,10.0,233.0,317.0,,,1.0,4.0,,2.0,3.0,,1.0,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
26,442255,2013-02-09 15:00:00,"bet365 Stadium, Stoke",26737,Home,Stoke City,Reading,2,1,W,0,0,0,0,44.0,,3.0,34.0,28.0,1.0,4.0,2.0,170.0,12.0,5.0,2.0,,8.0,6.0,99.0,210.0,94.0,12.0,,41.0,3.0,3.0,1.0,1.0,41.0,10.0,1.0,21.0,11.0,12.0,45.0,170.0,,0.0,156.0,10.0,,,1.0,28.0,106.0,5.0,58.0,30.0,12.0,1.0,,203.0,3.0,84.0,617.0,6.0,25.0,4.0,17.0,11.0,11.0,2.0,3.0,3.0,33.0,92.0,,,5589,5.0,121.0,18.0,2.0,1.0,,149.0,1.0,,15.0,65.0,,1.0,13.0,4.0,9.0,1.0,70.0,279.0,4.0,4.0,1.0,37.0,107.0,,,0.0,,3.0,,2.0,1.0,10.0,0.0,10.0,3.0,58.1,21.0,1.0,3.0,46.0,11.0,,1.0,411.0,,4.0,7.0,26.0,3.0,34.0,2.0,2.0,303.0,5.0,10.0,66.0,88.0,15.0,4.0,7.0,19.0,1.0,7.0,3.0,9.0,4.0,11.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,4.0,,4.0,2.0,1.0,3.0,4.0,1.0,,1.0,,,,2.0,,,,,,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,
27,442260,2013-02-23 12:45:00,"Craven Cottage, London",25458,Away,Stoke City,Fulham,0,1,L,0,1,0,0,61.0,,1.0,23.0,28.0,4.0,1.0,3.0,149.0,4.0,7.0,,3.0,6.0,3.0,65.0,174.0,54.0,10.0,1.0,24.0,3.0,,1.0,1.0,19.0,12.0,,17.0,4.0,20.0,38.0,122.0,3.0,0.0,107.0,10.0,,1.0,4.0,45.0,44.0,2.0,53.0,15.0,6.0,3.0,,163.0,11.0,55.0,513.0,5.0,21.0,3.0,29.0,8.0,16.0,3.0,5.0,4.0,24.0,65.0,,,5589,5.0,98.0,8.0,,1.0,,125.0,,,14.0,56.0,2.0,,10.0,9.0,9.0,,48.0,216.0,4.0,10.0,1.0,23.0,88.0,,,0.0,2.0,9.0,1.0,,1.0,8.0,0.0,3.0,2.0,39.3,14.0,2.0,2.0,44.0,4.0,,4.0,322.0,,3.0,12.0,24.0,5.0,20.0,1.0,2.0,216.0,6.0,18.0,22.0,52.0,20.0,7.0,9.0,21.0,1.0,6.0,3.0,8.0,7.0,4.0,,2.0,,,,,3.0,,1.0,,,,,,,1.0,2.0,3.0,3.0,,2.0,,,,3.0,1.0,,,,1.0,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,
