gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attLfGoal,fouledFinalThird,attFreekickTotal,attOboxBlocked,attIboxTarget,attMissHighRight,freekickCross,freekickTotal,attMissHighLeft,totalKeeperSweeper,bigChanceMissed,totalPullBack,totalOffside,attGoalHighLeft,attSvLowRight,attBxLeft,blockedScoringAtt,attIboxMiss,bigChanceScored,attGoalLowLeft,attIboxBlocked,attRfTarget,attCmissRight,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,attSvHighLeft,attHdTarget,penaltyConceded,attCmissHigh,attMissHigh,attCmissLeft,attHdTotal,attHdMiss,penaltyFaced,penGoalsConceded,attGoalLowRight,attGoalLowCentre,attBxRight,attOboxGoal,ptsGainedLosingPos,bigChanceCreated,hitWoodwork,defenderGoals,attSvHighCentre,forwardGoals,accuratePullBack,attSvHighRight,penaltyWon,accurateThroughBall,accurateFreekickCross,errorLeadToShot,attSetpiece,attPenGoal,attFreekickTarget,attSvLowLeft,sixYardBlock,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,attHdGoal,cleanSheet,contentiousDecision,foulThrowIn,shotFastbreak,totalFastbreak,attFastbreak,attFreekickMiss,postScoringAtt,attIboxPost,attHdPost,attCmissHighLeft,attOboxPost,attPostHigh,attPostRight,attOneOnOne,attLgCentre,secondYellow,ownGoals,attIboxOwnGoal,attObxdRight,penaltySave,errorLeadToGoal,attCmissHighRight,clearanceOffLine,attObxLeft,attObxdLeft
11,855278,2016-11-06 14:15:00,"Anfield, Liverpool",53163,Away,Watford,Liverpool,1,6,L,0,3,0,0,,80.0,3.0,33.0,19.0,6.0,6.0,4.0,11.0,159.0,4.0,15.0,1.0,7.0,8.0,73.0,173.0,55.0,11.0,14.0,1.0,,17.0,5.0,,19.0,2.0,11.0,31.0,143.0,0.0,95.0,10.0,7.0,,1.0,49.0,46.0,7.0,64.0,3.0,1.0,15.0,23.0,7.0,8.0,2.0,173.0,22.0,82.0,578.0,6.0,15.0,13.0,17.0,235.0,34.0,12.0,13.0,1.0,2.0,2.0,,17.0,340.0,57.0,85624,4.0,123.0,5.0,158.0,6.0,,23.0,12.0,48.0,1.0,2.0,1.0,13.0,6.0,8.0,83.0,262.0,13.0,6.0,,46.0,2.0,85.0,,0.0,4.0,6.0,8.0,1.0,6.0,4.0,0.0,4.0,1.0,1.0,40.4,11.0,2.0,2.0,43.0,3.0,1.0,378.0,17.0,14.0,19.0,2.0,25.0,,237.0,5.0,9.0,19.0,54.0,35.0,1.0,13.0,9.0,5.0,8.0,3.0,20.0,,1.0,14.0,3.0,3.0,1.0,2.0,,,2.0,,2.0,,1.0,,1.0,,2.0,,3.0,,1.0,,,1.0,1.0,4.0,,,2.0,5.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
12,855290,2016-11-19 15:00:00,"Vicarage Road, Watford",20640,Home,Watford,Leicester City,2,1,W,2,1,0,0,,65.0,,30.0,34.0,3.0,,7.0,1.0,170.0,5.0,12.0,2.0,10.0,3.0,83.0,198.0,72.0,10.0,20.0,2.0,3.0,17.0,10.0,,34.0,4.0,5.0,33.0,129.0,0.0,109.0,12.0,1.0,1.0,3.0,50.0,57.0,3.0,40.0,3.0,1.0,13.0,18.0,3.0,3.0,3.0,198.0,7.0,60.0,592.0,4.0,16.0,22.0,19.0,209.0,27.0,7.0,18.0,2.0,2.0,6.0,7.0,27.0,326.0,61.0,61566,5.0,98.0,7.0,127.0,4.0,2.0,18.0,7.0,57.0,,2.0,2.0,24.0,4.0,4.0,77.0,222.0,18.0,10.0,4.0,40.0,3.0,93.0,1.0,0.0,4.0,6.0,1.0,2.0,1.0,5.0,0.0,2.0,1.0,3.0,45.8,20.0,4.0,4.0,28.0,4.0,3.0,353.0,19.0,11.0,23.0,7.0,23.0,3.0,243.0,6.0,4.0,28.0,62.0,25.0,4.0,18.0,15.0,1.0,6.0,2.0,18.0,,4.0,13.0,4.0,,,4.0,,,1.0,1.0,3.0,,1.0,,1.0,1.0,1.0,,,1.0,,4.0,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,4.0,3.0,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
13,855301,2016-11-27 12:00:00,"Vicarage Road, Watford",20058,Home,Watford,Stoke City,0,1,L,0,1,1,0,1.0,63.0,,34.0,15.0,4.0,1.0,7.0,1.0,153.0,7.0,12.0,,9.0,2.0,90.0,164.0,60.0,11.0,25.0,,,27.0,14.0,,15.0,2.0,5.0,43.0,142.0,0.0,120.0,24.0,1.0,,,46.0,58.0,2.0,35.0,2.0,5.0,25.0,18.0,4.0,14.0,1.0,164.0,8.0,78.0,556.0,6.0,7.0,24.0,13.0,229.0,26.0,14.0,9.0,,3.0,6.0,7.0,23.0,328.0,58.0,85624,5.0,115.0,8.0,141.0,12.0,,18.0,7.0,73.0,,5.0,,14.0,7.0,6.0,67.0,250.0,13.0,8.0,3.0,32.0,,73.0,1.0,0.0,1.0,3.0,1.0,,1.0,2.0,1.0,7.0,,,49.8,18.0,6.0,5.0,42.0,3.0,,356.0,13.0,10.0,15.0,8.0,40.0,,242.0,6.0,4.0,17.0,68.0,24.0,3.0,9.0,18.0,1.0,8.0,3.0,19.0,,3.0,6.0,3.0,1.0,,2.0,,1.0,,1.0,3.0,,1.0,,,1.0,1.0,,,1.0,1.0,7.0,,,,1.0,1.0,,1.0,2.0,,,,,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,3.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
14,855310,2016-12-03 15:00:00,"The Hawthorns, West Bromwich",22244,Away,Watford,West Bromwich Albion,1,3,L,0,2,1,0,2.0,65.0,,42.0,23.0,6.0,5.0,10.0,,149.0,4.0,4.0,1.0,9.0,5.0,112.0,162.0,46.0,17.0,31.0,,,26.0,11.0,,23.0,2.0,12.0,52.0,183.0,0.0,141.0,8.0,,,,61.0,68.0,7.0,78.0,,2.0,24.0,20.0,7.0,7.0,2.0,162.0,6.0,103.0,633.0,7.0,6.0,30.0,11.0,325.0,27.0,10.0,13.0,1.0,1.0,,2.0,27.0,417.0,68.0,85624,5.0,164.0,14.0,183.0,2.0,1.0,20.0,9.0,56.0,,2.0,,14.0,5.0,3.0,85.0,343.0,12.0,8.0,1.0,38.0,2.0,92.0,1.0,0.0,3.0,3.0,,1.0,3.0,2.0,1.0,3.0,1.0,2.0,59.7,18.0,4.0,3.0,46.0,4.0,,442.0,11.0,7.0,28.0,5.0,31.0,1.0,285.0,11.0,11.0,19.0,89.0,31.0,3.0,13.0,11.0,1.0,14.0,2.0,9.0,,3.0,11.0,4.0,2.0,,3.0,,3.0,2.0,2.0,3.0,,1.0,,,,2.0,,1.0,2.0,7.0,3.0,1.0,,4.0,2.0,,,2.0,2.0,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
15,855321,2016-12-10 12:30:00,"Vicarage Road, Watford",20769,Home,Watford,Everton,3,2,W,1,1,0,0,,67.0,2.0,27.0,28.0,1.0,,10.0,2.0,169.0,6.0,14.0,3.0,10.0,6.0,79.0,172.0,65.0,11.0,22.0,1.0,1.0,21.0,13.0,,28.0,2.0,9.0,39.0,151.0,0.0,134.0,11.0,1.0,,2.0,48.0,58.0,6.0,58.0,2.0,1.0,19.0,17.0,1.0,6.0,,172.0,8.0,51.0,596.0,4.0,12.0,23.0,14.0,242.0,25.0,9.0,11.0,3.0,2.0,3.0,4.0,25.0,326.0,63.0,85624,7.0,117.0,10.0,130.0,5.0,1.0,17.0,7.0,64.0,1.0,7.0,1.0,25.0,3.0,3.0,63.0,262.0,14.0,9.0,3.0,29.0,2.0,75.0,4.0,0.0,5.0,4.0,,3.0,2.0,4.0,0.0,4.0,3.0,,47.3,18.0,6.0,7.0,40.0,2.0,2.0,357.0,14.0,17.0,19.0,4.0,33.0,2.0,248.0,5.0,9.0,23.0,80.0,24.0,2.0,11.0,16.0,2.0,5.0,3.0,19.0,,2.0,11.0,2.0,,,6.0,,1.0,3.0,,3.0,,1.0,,1.0,,3.0,,1.0,1.0,1.0,4.0,2.0,2.0,,1.0,,,1.0,,,2.0,,,1.0,,6.0,2.0,,,,1.0,,,3.0,3.0,,1.0,1.0,2.0,,,,,2.0,,3.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,855329,2016-12-14 20:00:00,"Etihad Stadium, Manchester",51527,Away,Watford,Manchester City,0,2,L,0,1,0,0,,55.0,1.0,27.0,22.0,2.0,2.0,2.0,5.0,121.0,2.0,16.0,,3.0,2.0,68.0,150.0,53.0,5.0,20.0,,1.0,10.0,8.0,,22.0,2.0,14.0,18.0,103.0,0.0,86.0,20.0,5.0,,,27.0,51.0,1.0,49.0,1.0,,8.0,19.0,3.0,4.0,2.0,150.0,8.0,49.0,491.0,3.0,4.0,7.0,15.0,185.0,32.0,7.0,5.0,,2.0,2.0,2.0,26.0,256.0,60.0,85624,1.0,101.0,3.0,131.0,10.0,,19.0,9.0,68.0,,4.0,,17.0,5.0,3.0,73.0,202.0,16.0,11.0,,40.0,,58.0,,0.0,7.0,5.0,4.0,,2.0,2.0,0.0,2.0,,,36.6,16.0,1.0,4.0,22.0,2.0,,287.0,15.0,16.0,11.0,3.0,17.0,,166.0,3.0,13.0,10.0,48.0,14.0,3.0,5.0,11.0,2.0,3.0,3.0,20.0,,3.0,7.0,2.0,,,2.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,3.0,,,,,1.0,,,,2.0,,,1.0,1.0,,,,,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
17,855338,2016-12-17 15:00:00,"Stadium of Light, Sunderland",40267,Away,Watford,Sunderland,0,1,L,0,0,0,0,,56.0,,36.0,17.0,4.0,3.0,6.0,1.0,146.0,7.0,9.0,,8.0,4.0,82.0,161.0,49.0,10.0,29.0,,1.0,30.0,11.0,,17.0,11.0,8.0,29.0,148.0,0.0,116.0,9.0,1.0,,2.0,74.0,32.0,5.0,59.0,2.0,1.0,19.0,13.0,4.0,3.0,1.0,161.0,9.0,77.0,567.0,4.0,14.0,23.0,8.0,251.0,18.0,10.0,8.0,,2.0,6.0,3.0,32.0,344.0,70.0,85624,3.0,123.0,13.0,142.0,3.0,,13.0,8.0,61.0,2.0,7.0,,9.0,2.0,5.0,77.0,264.0,9.0,8.0,4.0,35.0,4.0,80.0,,0.0,3.0,4.0,1.0,,1.0,6.0,0.0,4.0,,1.0,57.4,27.0,1.0,9.0,36.0,11.0,2.0,364.0,8.0,8.0,13.0,4.0,38.0,3.0,252.0,4.0,8.0,18.0,68.0,24.0,4.0,8.0,13.0,1.0,3.0,3.0,18.0,,4.0,7.0,11.0,,,5.0,1.0,,1.0,,3.0,1.0,,,1.0,1.0,2.0,,1.0,1.0,2.0,3.0,,,2.0,3.0,1.0,,1.0,3.0,,1.0,,,2.0,1.0,3.0,2.0,,,,,1.0,,,1.0,,,1.0,,,,,,2.0,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,855351,2016-12-26 12:30:00,"Vicarage Road, Watford",20304,Home,Watford,Crystal Palace,1,1,D,0,1,0,0,,63.0,,31.0,29.0,6.0,3.0,3.0,3.0,161.0,7.0,8.0,1.0,4.0,3.0,71.0,183.0,56.0,9.0,28.0,,2.0,28.0,7.0,,29.0,7.0,9.0,42.0,134.0,0.0,131.0,18.0,1.0,,3.0,62.0,42.0,2.0,51.0,,1.0,21.0,14.0,6.0,7.0,3.0,183.0,5.0,72.0,563.0,4.0,16.0,24.0,9.0,222.0,19.0,14.0,16.0,,2.0,1.0,2.0,29.0,330.0,75.0,85624,2.0,108.0,12.0,129.0,9.0,1.0,14.0,6.0,73.0,2.0,7.0,,12.0,5.0,3.0,77.0,235.0,16.0,8.0,,41.0,,74.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,6.0,0.0,6.0,,,56.1,21.0,8.0,7.0,29.0,7.0,3.0,355.0,9.0,11.0,18.0,4.0,44.0,1.0,254.0,5.0,8.0,20.0,63.0,25.0,,16.0,14.0,1.0,7.0,3.0,18.0,,,8.0,7.0,1.0,,2.0,,2.0,1.0,,2.0,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
19,855361,2017-01-01 13:30:00,"Vicarage Road, Watford",20882,Home,Watford,Tottenham Hotspur,1,4,L,0,3,0,0,,69.0,2.0,30.0,28.0,2.0,1.0,4.0,2.0,130.0,1.0,5.0,1.0,3.0,2.0,62.0,155.0,42.0,6.0,14.0,,,8.0,14.0,,28.0,,8.0,33.0,99.0,0.0,87.0,11.0,2.0,,,44.0,33.0,2.0,47.0,2.0,,8.0,17.0,2.0,3.0,,155.0,11.0,54.0,474.0,3.0,15.0,15.0,12.0,175.0,36.0,9.0,11.0,,3.0,2.0,1.0,22.0,265.0,46.0,85624,,92.0,4.0,122.0,8.0,1.0,17.0,13.0,52.0,,4.0,,10.0,8.0,7.0,76.0,190.0,5.0,5.0,,35.0,,61.0,,0.0,1.0,3.0,,1.0,4.0,3.0,0.0,1.0,,1.0,33.8,17.0,3.0,6.0,24.0,,,293.0,12.0,16.0,15.0,1.0,17.0,,179.0,5.0,7.0,13.0,46.0,19.0,3.0,11.0,19.0,4.0,4.0,3.0,11.0,,3.0,7.0,,,,3.0,,2.0,1.0,1.0,1.0,,,,1.0,,5.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
20,855367,2017-01-03 20:00:00,"bet365 Stadium, Stoke",27010,Away,Watford,Stoke City,0,2,L,0,1,0,0,,55.0,,22.0,29.0,4.0,2.0,5.0,3.0,149.0,4.0,6.0,,7.0,2.0,78.0,165.0,53.0,9.0,26.0,,2.0,18.0,10.0,,29.0,6.0,11.0,48.0,117.0,0.0,102.0,15.0,3.0,,,43.0,33.0,5.0,54.0,1.0,1.0,12.0,19.0,4.0,6.0,1.0,165.0,11.0,71.0,542.0,5.0,12.0,25.0,11.0,227.0,30.0,6.0,14.0,,2.0,4.0,2.0,27.0,329.0,60.0,85624,3.0,124.0,3.0,151.0,8.0,,19.0,11.0,60.0,,,,20.0,5.0,3.0,77.0,237.0,10.0,12.0,2.0,36.0,2.0,74.0,1.0,0.0,,7.0,3.0,,2.0,7.0,0.0,3.0,,,46.0,18.0,3.0,,31.0,6.0,,352.0,11.0,7.0,26.0,4.0,36.0,1.0,219.0,5.0,9.0,23.0,49.0,19.0,6.0,14.0,16.0,2.0,5.0,3.0,6.0,,6.0,9.0,6.0,,,4.0,1.0,3.0,2.0,,3.0,1.0,1.0,,,,,,1.0,1.0,3.0,3.0,,,,1.0,1.0,,,,,1.0,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
21,855380,2017-01-14 15:00:00,"Vicarage Road, Watford",20659,Home,Watford,Middlesbrough,0,0,D,0,0,0,0,1.0,54.0,1.0,25.0,17.0,3.0,1.0,9.0,1.0,153.0,9.0,4.0,,10.0,5.0,83.0,166.0,54.0,12.0,27.0,,1.0,26.0,7.0,,17.0,2.0,9.0,48.0,151.0,0.0,116.0,15.0,1.0,,1.0,59.0,46.0,6.0,39.0,,2.0,24.0,20.0,3.0,9.0,1.0,166.0,3.0,80.0,541.0,7.0,11.0,23.0,18.0,235.0,23.0,2.0,10.0,,3.0,,4.0,33.0,331.0,71.0,85624,6.0,108.0,12.0,122.0,7.0,,20.0,6.0,61.0,1.0,1.0,,7.0,2.0,4.0,61.0,250.0,15.0,3.0,3.0,14.0,2.0,81.0,,0.0,2.0,1.0,,,,8.0,0.0,7.0,,,46.0,18.0,4.0,1.0,36.0,3.0,1.0,355.0,18.0,11.0,20.0,6.0,36.0,2.0,259.0,6.0,9.0,28.0,63.0,22.0,3.0,10.0,8.0,,8.0,3.0,11.0,,3.0,9.0,3.0,,,5.0,,,3.0,1.0,3.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,4.0,,,1.0,2.0,1.0,,1.0,2.0,1.0,3.0,,,,1.0,5.0,2.0,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,2.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,
22,855382,2017-01-21 15:00:00,"Vitality Stadium, Bournemouth",11123,Away,Watford,Bournemouth,2,2,D,1,0,0,0,1.0,77.0,1.0,19.0,47.0,7.0,1.0,3.0,3.0,153.0,1.0,4.0,2.0,5.0,3.0,61.0,159.0,43.0,10.0,19.0,,2.0,7.0,9.0,1.0,47.0,3.0,6.0,40.0,96.0,0.0,102.0,16.0,3.0,1.0,1.0,55.0,36.0,5.0,48.0,1.0,,4.0,17.0,7.0,2.0,2.0,159.0,10.0,57.0,496.0,3.0,15.0,10.0,15.0,189.0,34.0,8.0,18.0,2.0,2.0,4.0,,15.0,296.0,67.0,85624,1.0,105.0,2.0,126.0,6.0,,17.0,8.0,55.0,,3.0,,7.0,5.0,2.0,70.0,200.0,5.0,14.0,,32.0,4.0,87.0,2.0,0.0,1.0,9.0,2.0,2.0,2.0,5.0,0.0,,2.0,2.0,37.1,3.0,7.0,6.0,39.0,4.0,1.0,319.0,15.0,4.0,11.0,2.0,22.0,1.0,200.0,7.0,3.0,24.0,37.0,28.0,8.0,18.0,10.0,2.0,4.0,3.0,9.0,2.0,8.0,9.0,4.0,,,,,4.0,,,,,,,,,2.0,,,,5.0,,1.0,,1.0,1.0,,,,1.0,,,,,,1.0,2.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,2.0,,,1.0,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,855393,2017-01-31 19:45:00,"Emirates Stadium, London",60035,Away,Watford,Arsenal,2,1,W,2,0,0,0,,66.0,,15.0,40.0,4.0,3.0,6.0,4.0,98.0,4.0,12.0,2.0,5.0,6.0,43.0,140.0,70.0,10.0,20.0,,,13.0,16.0,,40.0,4.0,,18.0,75.0,0.0,81.0,15.0,3.0,,4.0,41.0,20.0,3.0,25.0,3.0,1.0,9.0,17.0,4.0,1.0,1.0,140.0,14.0,41.0,439.0,3.0,9.0,19.0,22.0,112.0,22.0,2.0,18.0,1.0,3.0,7.0,2.0,20.0,181.0,54.0,96764,3.0,54.0,4.0,68.0,13.0,2.0,17.0,11.0,70.0,,2.0,1.0,5.0,6.0,4.0,58.0,125.0,10.0,15.0,1.0,29.0,2.0,65.0,3.0,0.0,4.0,9.0,4.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,26.5,7.0,5.0,8.0,23.0,5.0,4.0,207.0,22.0,9.0,9.0,2.0,25.0,3.0,152.0,5.0,,25.0,38.0,26.0,5.0,18.0,24.0,1.0,6.0,3.0,23.0,,5.0,8.0,5.0,1.0,,4.0,,1.0,3.0,1.0,4.0,,,4.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,4.0,1.0,1.0,,1.0,,,,,2.0,1.0,,,,1.0,1.0,1.0,,,,1.0,2.0,1.0,,,,,,,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,855410,2017-02-04 15:00:00,"Vicarage Road, Watford",20178,Home,Watford,Burnley,2,1,W,2,0,0,1,2.0,69.0,3.0,38.0,24.0,9.0,4.0,7.0,5.0,165.0,7.0,8.0,2.0,13.0,7.0,134.0,182.0,56.0,16.0,34.0,2.0,1.0,20.0,10.0,,24.0,2.0,15.0,57.0,239.0,0.0,187.0,12.0,3.0,,1.0,105.0,65.0,10.0,76.0,,1.0,18.0,15.0,9.0,7.0,2.0,182.0,5.0,145.0,713.0,10.0,11.0,16.0,9.0,384.0,23.0,10.0,7.0,2.0,5.0,3.0,3.0,27.0,500.0,90.0,96764,5.0,166.0,9.0,192.0,6.0,,15.0,2.0,72.0,,1.0,2.0,11.0,6.0,1.0,88.0,398.0,9.0,4.0,1.0,41.0,1.0,97.0,,0.0,4.0,6.0,3.0,2.0,1.0,1.0,0.0,7.0,2.0,,60.4,21.0,8.0,1.0,44.0,3.0,1.0,520.0,9.0,12.0,27.0,3.0,30.0,,348.0,10.0,15.0,25.0,122.0,27.0,3.0,7.0,14.0,1.0,13.0,3.0,20.0,,3.0,6.0,3.0,2.0,,2.0,,5.0,3.0,,2.0,,1.0,5.0,1.0,1.0,2.0,,,,6.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,3.0,2.0,1.0,,1.0,,,,2.0,,1.0,1.0,1.0,,,,,2.0,,,,2.0,,,,,,1.0,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
25,855416,2017-02-11 15:00:00,"Old Trafford, Manchester",75301,Away,Watford,Manchester United,0,2,L,0,1,0,0,,79.0,6.0,35.0,18.0,6.0,3.0,3.0,9.0,174.0,3.0,10.0,,7.0,3.0,94.0,159.0,45.0,9.0,15.0,,1.0,10.0,12.0,,18.0,1.0,15.0,22.0,159.0,0.0,97.0,12.0,6.0,,,52.0,39.0,2.0,63.0,3.0,1.0,9.0,21.0,6.0,2.0,4.0,159.0,12.0,95.0,617.0,7.0,12.0,12.0,21.0,311.0,39.0,17.0,7.0,,0.0,4.0,5.0,12.0,397.0,58.0,96764,2.0,171.0,7.0,196.0,7.0,,21.0,9.0,72.0,,4.0,,15.0,10.0,2.0,79.0,327.0,10.0,17.0,,48.0,,87.0,,0.0,6.0,5.0,3.0,,2.0,5.0,0.0,3.0,,,42.1,9.0,1.0,5.0,45.0,1.0,,426.0,21.0,16.0,15.0,5.0,19.0,,240.0,6.0,14.0,9.0,61.0,28.0,1.0,7.0,17.0,2.0,8.0,3.0,22.0,,1.0,7.0,1.0,,,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,3.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
26,855430,2017-02-25 17:30:00,"Vicarage Road, Watford",20702,Home,Watford,West Ham United,1,1,D,1,0,0,1,,63.0,,25.0,22.0,4.0,3.0,5.0,1.0,121.0,1.0,7.0,1.0,7.0,1.0,55.0,142.0,63.0,9.0,22.0,,1.0,10.0,9.0,,22.0,4.0,11.0,31.0,88.0,0.0,87.0,18.0,1.0,,,43.0,17.0,5.0,27.0,2.0,1.0,6.0,12.0,4.0,3.0,2.0,142.0,6.0,55.0,437.0,6.0,17.0,19.0,15.0,153.0,27.0,8.0,18.0,,4.0,4.0,2.0,22.0,230.0,44.0,96764,4.0,81.0,3.0,95.0,8.0,1.0,12.0,9.0,68.0,,4.0,,11.0,7.0,3.0,60.0,168.0,13.0,14.0,1.0,24.0,2.0,70.0,,0.0,5.0,6.0,1.0,1.0,1.0,4.0,0.0,1.0,,,35.6,11.0,3.0,4.0,36.0,4.0,,258.0,15.0,5.0,18.0,3.0,24.0,,173.0,4.0,10.0,31.0,47.0,27.0,7.0,18.0,13.0,1.0,5.0,3.0,16.0,2.0,7.0,6.0,4.0,,,1.0,,2.0,,,,,,,2.0,,2.0,,,,5.0,1.0,1.0,1.0,3.0,,1.0,,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
