gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,attLgLeft,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,savedObox,attRfTarget,goals,attCmissRight,attObxLeft,shotFastbreak,attGoalHighRight,attOboxTarget,attSvHighRight,attOboxGoal,totalFastbreak,attSvHighLeft,attSvLowLeft,bigChanceCreated,attHdTarget,errorLeadToShot,bigChanceMissed,sixYardBlock,attSetpiece,attRfGoal,totalPullBack,attCmissHigh,defenderGoals,attMissHigh,attAssistSetplay,attFastbreak,attFreekickGoal,punches,shieldBallOop,attHdTotal,attHdMiss,attBxLeft,attFreekickMiss,accurateCornersIntobox,bigChanceScored,attGoalLowRight,attGoalLowCentre,accuratePullBack,goalAssistOpenplay,hitWoodwork,goalAssist,attObxdLeft,goalsOpenplay,attSvLowRight,attCmissLeft,attIboxGoal,goalsConceded,goalAssistIntentional,attSvHighCentre,forwardGoals,goalsConcededIbox,attLgCentre,attLfGoal,attBxRight,postScoringAtt,attOboxPost,attPostHigh,attGoalLowLeft,accurateThroughBall,accurateFreekickCross,attCmissHighLeft,attCmissHighRight,attHdGoal,goalAssistSetplay,goalAssistDeadball,midfielderGoals,goalsConcededObox,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,attGoalHighLeft,penaltyWon,attGoalHighCentre,attPenGoal,attIboxPost,attPostLeft,errorLeadToGoal,secondYellow,penaltySave,attHdPost,attPostRight,attObxRight,goalFastbreak,attPenTarget,saves
11,360576,2011-11-05 12:45:00,"St. James' Park, Newcastle",50671,Home,Newcastle United,Everton,2,1,W,2,1,0,0,1.0,58.0,,29.0,23.0,8.0,3.0,160.0,2.0,1.0,5.0,7.0,3.0,55.0,181.0,53.0,1.0,12.0,3.0,20.0,,,,2.0,27.0,18.0,12.0,4.0,8.0,33.0,120.0,1.0,,0.0,127.0,14.0,2.0,3.0,,47.0,49.0,2.0,52.0,,1.0,24.0,1.0,10.0,2.0,170.0,9.0,61.0,529.0,6.0,14.0,11.0,29.0,,17.0,16.0,,2.0,3.0,5.0,22.0,76.0,97612,2.0,112.0,11.0,134.0,10.0,57.0,,5.0,,14.0,6.0,4.0,58.0,230.0,16.0,6.0,36.0,89.0,0.0,,3.0,2.0,3.0,0.0,2.0,43.7,20.0,3.0,,3.0,,44.0,5.0,,328.0,10.0,12.0,10.0,,6.0,30.0,4.0,221.0,8.0,7.0,15.0,73.0,16.0,3.0,7.0,21.0,8.0,3.0,9.0,3.0,5.0,3.0,1.0,1.0,2.0,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,360581,2011-11-19 15:00:00,"Etihad Stadium, Manchester",47408,Away,Newcastle United,Manchester City,1,3,L,0,2,0,0,,49.0,,20.0,14.0,1.0,,130.0,4.0,7.0,2.0,5.0,4.0,69.0,143.0,38.0,1.0,9.0,1.0,9.0,3.0,2.0,1.0,2.0,16.0,10.0,9.0,5.0,14.0,23.0,129.0,,,0.0,85.0,8.0,,1.0,,30.0,56.0,2.0,47.0,2.0,1.0,11.0,1.0,5.0,,136.0,9.0,74.0,501.0,3.0,2.0,19.0,23.0,,4.0,6.0,2.0,0.0,6.0,3.0,25.0,54.0,999,6.0,120.0,5.0,137.0,9.0,49.0,2.0,1.0,2.0,12.0,5.0,2.0,44.0,245.0,11.0,10.0,20.0,66.0,0.0,2.0,4.0,2.0,1.0,0.0,2.0,35.6,21.0,2.0,2.0,1.0,,32.0,5.0,,320.0,17.0,14.0,12.0,,4.0,10.0,3.0,199.0,7.0,13.0,3.0,48.0,19.0,1.0,3.0,17.0,6.0,3.0,16.0,3.0,5.0,1.0,,3.0,1.0,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,2.0,,,,,2.0,2.0,,,2.0,1.0,,1.0,,,1.0,,,1.0,2.0,,1.0,3.0,,,,3.0,,,,1.0,,,,,,,,,,,1.0,,2.0,,2.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,
13,360593,2011-11-26 15:00:00,"Old Trafford, Manchester",75594,Away,Newcastle United,Manchester United,1,1,D,0,0,1,0,,59.0,,17.0,33.0,5.0,,135.0,2.0,2.0,4.0,4.0,5.0,53.0,179.0,42.0,1.0,8.0,2.0,5.0,2.0,1.0,2.0,,18.0,17.0,20.0,2.0,5.0,23.0,96.0,1.0,,0.0,115.0,15.0,2.0,1.0,1.0,29.0,40.0,3.0,45.0,2.0,,16.0,1.0,5.0,1.0,166.0,23.0,53.0,488.0,3.0,4.0,9.0,19.0,,7.0,12.0,1.0,3.0,9.0,1.0,16.0,82.0,97612,3.0,96.0,10.0,109.0,13.0,65.0,2.0,2.0,,5.0,5.0,2.0,62.0,190.0,12.0,16.0,32.0,88.0,0.0,1.0,11.0,4.0,1.0,1.0,2.0,40.2,10.0,2.0,,2.0,1.0,24.0,3.0,1.0,286.0,6.0,18.0,10.0,,1.0,18.0,,195.0,8.0,5.0,6.0,54.0,21.0,3.0,5.0,22.0,5.0,3.0,13.0,3.0,3.0,,2.0,4.0,1.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,
14,360604,2011-12-03 12:45:00,"St. James' Park, Newcastle",52305,Home,Newcastle United,Chelsea,0,3,L,0,1,0,0,2.0,74.0,3.0,44.0,13.0,8.0,8.0,166.0,3.0,12.0,1.0,10.0,3.0,99.0,155.0,51.0,1.0,16.0,3.0,8.0,3.0,1.0,1.0,2.0,27.0,17.0,9.0,6.0,10.0,54.0,185.0,,,0.0,136.0,7.0,5.0,,2.0,49.0,50.0,5.0,64.0,,1.0,21.0,1.0,6.0,4.0,151.0,15.0,93.0,623.0,10.0,5.0,9.0,34.0,,5.0,8.0,1.0,2.0,5.0,5.0,17.0,84.0,97612,4.0,160.0,15.0,174.0,10.0,50.0,,2.0,11.0,10.0,7.0,5.0,67.0,342.0,6.0,8.0,18.0,90.0,0.0,,5.0,5.0,1.0,0.0,3.0,52.7,14.0,4.0,11.0,6.0,,57.0,6.0,2.0,422.0,8.0,17.0,30.0,,7.0,22.0,1.0,275.0,7.0,9.0,7.0,91.0,23.0,1.0,5.0,26.0,14.0,3.0,22.0,1.0,6.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,2.0,,1.0,,,,1.0,,4.0,,,,,,,,3.0,,,,1.0,1.0,,3.0,,1.0,,3.0,,,,2.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,
15,360614,2011-12-10 15:00:00,"Carrow Road, Norwich",26816,Away,Newcastle United,Norwich City,2,4,L,1,1,1,0,1.0,54.0,,36.0,49.0,10.0,4.0,148.0,4.0,6.0,2.0,10.0,6.0,90.0,167.0,38.0,,13.0,5.0,7.0,,3.0,2.0,1.0,18.0,6.0,26.0,2.0,18.0,31.0,165.0,,,0.0,101.0,8.0,,1.0,1.0,58.0,45.0,8.0,60.0,1.0,,16.0,,7.0,,144.0,8.0,89.0,610.0,8.0,9.0,22.0,22.0,,8.0,26.0,3.0,2.0,7.0,2.0,24.0,58.0,999,2.0,140.0,8.0,170.0,6.0,35.0,6.0,,5.0,16.0,6.0,3.0,61.0,301.0,10.0,2.0,24.0,71.0,0.0,1.0,7.0,1.0,1.0,1.0,4.0,47.5,19.0,2.0,6.0,5.0,,42.0,2.0,1.0,387.0,20.0,14.0,19.0,,2.0,27.0,1.0,235.0,9.0,17.0,10.0,67.0,18.0,3.0,13.0,12.0,13.0,3.0,10.0,3.0,2.0,,,3.0,2.0,,,,,4.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,2.0,1.0,2.0,,2.0,,,1.0,4.0,2.0,,2.0,4.0,,1.0,,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,
16,360624,2011-12-17 15:00:00,"St. James' Park, Newcastle",51767,Home,Newcastle United,Swansea City,0,0,D,0,0,0,0,1.0,65.0,2.0,41.0,7.0,9.0,3.0,152.0,14.0,6.0,,14.0,3.0,82.0,162.0,57.0,2.0,22.0,3.0,9.0,3.0,,1.0,6.0,41.0,20.0,1.0,8.0,11.0,41.0,211.0,2.0,1.0,0.0,162.0,12.0,,,1.0,85.0,57.0,5.0,83.0,,2.0,33.0,2.0,14.0,6.0,156.0,1.0,112.0,629.0,11.0,12.0,6.0,22.0,,11.0,3.0,,1.0,,9.0,27.0,92.0,98746,5.0,145.0,15.0,157.0,7.0,55.0,1.0,1.0,3.0,7.0,2.0,5.0,69.0,342.0,11.0,5.0,28.0,73.0,0.0,,1.0,,3.0,0.0,11.0,49.3,24.0,6.0,3.0,5.0,,48.0,9.0,1.0,429.0,5.0,18.0,27.0,,14.0,30.0,6.0,313.0,15.0,11.0,14.0,102.0,31.0,,,26.0,,3.0,17.0,,9.0,,,1.0,,2.0,,,,,,,,1.0,,,1.0,,,1.0,2.0,,1.0,1.0,,2.0,3.0,,,,,4.0,2.0,4.0,1.0,3.0,,,,,,2.0,,,,1.0,2.0,,,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,1.0,,,,
17,360638,2011-12-21 19:45:00,"St. James' Park, Newcastle",51060,Home,Newcastle United,West Bromwich Albion,2,3,L,1,2,0,0,2.0,62.0,4.0,48.0,21.0,14.0,10.0,165.0,10.0,10.0,2.0,20.0,5.0,107.0,159.0,41.0,1.0,26.0,6.0,10.0,1.0,,,2.0,33.0,6.0,11.0,6.0,11.0,43.0,208.0,2.0,,0.0,155.0,9.0,1.0,1.0,3.0,53.0,53.0,12.0,69.0,,2.0,27.0,1.0,11.0,5.0,149.0,9.0,104.0,667.0,16.0,3.0,23.0,30.0,1.0,5.0,16.0,1.0,1.0,2.0,8.0,21.0,103.0,98746,9.0,168.0,15.0,176.0,7.0,48.0,3.0,3.0,6.0,13.0,6.0,3.0,81.0,366.0,11.0,5.0,21.0,100.0,0.0,2.0,1.0,2.0,2.0,0.0,9.0,54.9,20.0,,6.0,10.0,,59.0,10.0,3.0,445.0,18.0,21.0,22.0,,11.0,26.0,5.0,302.0,10.0,11.0,12.0,105.0,19.0,3.0,8.0,8.0,21.0,3.0,13.0,3.0,10.0,,,1.0,2.0,,,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,2.0,1.0,1.0,,3.0,3.0,1.0,1.0,,,4.0,4.0,2.0,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,3.0,1.0,,2.0,3.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
18,360640,2011-12-26 15:00:00,"University of Bolton Stadium, Bolton",26080,Away,Newcastle United,Bolton Wanderers,2,0,W,0,0,0,0,2.0,60.0,1.0,33.0,39.0,4.0,5.0,136.0,4.0,7.0,,8.0,5.0,63.0,162.0,48.0,1.0,11.0,2.0,14.0,2.0,2.0,,,13.0,13.0,17.0,4.0,10.0,21.0,120.0,,1.0,0.0,99.0,12.0,1.0,,4.0,26.0,35.0,5.0,53.0,,1.0,9.0,1.0,3.0,1.0,140.0,2.0,68.0,538.0,4.0,5.0,10.0,15.0,1.0,12.0,17.0,2.0,1.0,,3.0,26.0,71.0,97612,3.0,129.0,6.0,144.0,7.0,53.0,9.0,6.0,4.0,19.0,2.0,4.0,62.0,245.0,8.0,5.0,27.0,85.0,0.0,2.0,4.0,,1.0,0.0,2.0,45.8,22.0,3.0,4.0,3.0,,49.0,4.0,4.0,320.0,5.0,21.0,11.0,,3.0,22.0,2.0,189.0,4.0,9.0,14.0,57.0,24.0,2.0,6.0,19.0,,3.0,8.0,2.0,4.0,,1.0,1.0,2.0,1.0,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,1.0,2.0,,,2.0,,2.0,2.0,1.0,,2.0,,1.0,,,2.0,1.0,2.0,,,2.0,,2.0,,2.0,,1.0,,,1.0,2.0,,,,,6.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
19,360652,2011-12-30 19:45:00,"Anfield, Liverpool",44372,Away,Newcastle United,Liverpool,1,3,L,1,1,0,0,,58.0,,15.0,27.0,3.0,1.0,168.0,2.0,2.0,1.0,3.0,1.0,123.0,162.0,26.0,1.0,4.0,,12.0,1.0,2.0,1.0,,7.0,10.0,11.0,,36.0,31.0,170.0,1.0,,0.0,91.0,11.0,1.0,,,37.0,56.0,1.0,85.0,1.0,,7.0,1.0,2.0,3.0,146.0,7.0,109.0,648.0,3.0,7.0,19.0,38.0,,8.0,8.0,2.0,2.0,2.0,2.0,21.0,63.0,97612,,217.0,5.0,241.0,11.0,51.0,2.0,2.0,1.0,9.0,9.0,5.0,54.0,385.0,7.0,9.0,37.0,98.0,0.0,,7.0,,3.0,0.0,2.0,48.6,17.0,2.0,2.0,,,48.0,,1.0,485.0,15.0,11.0,9.0,,3.0,16.0,,251.0,3.0,34.0,1.0,44.0,11.0,5.0,4.0,16.0,3.0,3.0,10.0,5.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,3.0,,,,2.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
20,360664,2012-01-04 20:00:00,"St. James' Park, Newcastle",52299,Home,Newcastle United,Manchester United,3,0,W,1,0,0,0,2.0,89.0,,26.0,24.0,6.0,2.0,166.0,5.0,5.0,2.0,7.0,5.0,50.0,179.0,51.0,2.0,10.0,1.0,9.0,,2.0,2.0,1.0,16.0,14.0,17.0,4.0,7.0,24.0,112.0,,1.0,0.0,110.0,17.0,,,1.0,23.0,44.0,4.0,52.0,1.0,,12.0,2.0,5.0,1.0,172.0,2.0,58.0,522.0,5.0,8.0,16.0,36.0,,15.0,10.0,2.0,1.0,3.0,3.0,17.0,66.0,97612,3.0,110.0,7.0,139.0,4.0,67.0,,1.0,,8.0,4.0,2.0,68.0,217.0,15.0,9.0,51.0,92.0,0.0,,4.0,1.0,3.0,0.0,3.0,39.7,10.0,2.0,1.0,1.0,1.0,42.0,4.0,1.0,326.0,13.0,25.0,10.0,,4.0,19.0,3.0,203.0,5.0,6.0,12.0,60.0,36.0,5.0,8.0,19.0,6.0,3.0,13.0,5.0,4.0,1.0,2.0,1.0,3.0,,,,,3.0,,1.0,,,,1.0,,,1.0,,1.0,2.0,,,,3.0,1.0,,1.0,1.0,1.0,3.0,3.0,,1.0,2.0,,,,,,,1.0,,,1.0,,2.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,
21,360674,2012-01-15 13:30:00,"St. James' Park, Newcastle",49865,Home,Newcastle United,Queens Park Rangers,1,0,W,1,0,0,0,,52.0,1.0,48.0,10.0,5.0,3.0,197.0,2.0,8.0,3.0,8.0,1.0,134.0,169.0,47.0,,11.0,4.0,17.0,,,,3.0,20.0,9.0,5.0,3.0,17.0,40.0,232.0,,1.0,0.0,163.0,6.0,4.0,1.0,1.0,71.0,70.0,5.0,92.0,,1.0,17.0,,5.0,2.0,164.0,5.0,132.0,726.0,5.0,11.0,9.0,20.0,,12.0,7.0,,0.0,4.0,3.0,26.0,85.0,98746,5.0,217.0,11.0,236.0,7.0,53.0,2.0,1.0,3.0,6.0,10.0,3.0,84.0,447.0,9.0,8.0,44.0,107.0,0.0,2.0,2.0,2.0,4.0,0.0,2.0,60.8,24.0,1.0,3.0,5.0,,55.0,3.0,1.0,555.0,6.0,16.0,22.0,,5.0,32.0,3.0,339.0,6.0,16.0,15.0,100.0,25.0,2.0,3.0,15.0,9.0,3.0,15.0,2.0,3.0,1.0,4.0,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,2.0,,,,,2.0,2.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
22,360682,2012-01-21 15:00:00,"Craven Cottage, London",25692,Away,Newcastle United,Fulham,2,5,L,1,0,0,0,1.0,39.0,,40.0,14.0,12.0,5.0,161.0,7.0,10.0,1.0,12.0,8.0,120.0,173.0,55.0,1.0,17.0,3.0,14.0,2.0,,3.0,1.0,25.0,20.0,3.0,5.0,10.0,33.0,202.0,2.0,,0.0,142.0,13.0,2.0,2.0,1.0,49.0,58.0,9.0,68.0,1.0,1.0,20.0,1.0,10.0,4.0,162.0,8.0,94.0,658.0,10.0,6.0,37.0,20.0,,11.0,6.0,,4.0,,3.0,19.0,94.0,7933,2.0,153.0,8.0,169.0,6.0,55.0,2.0,4.0,3.0,17.0,4.0,5.0,74.0,348.0,10.0,4.0,28.0,99.0,0.0,,2.0,3.0,1.0,0.0,6.0,55.7,16.0,2.0,3.0,3.0,,57.0,6.0,1.0,443.0,27.0,22.0,18.0,,6.0,26.0,2.0,299.0,10.0,10.0,13.0,87.0,7.0,1.0,2.0,22.0,14.0,3.0,12.0,1.0,6.0,,1.0,4.0,2.0,,,,1.0,4.0,,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,2.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,2.0,,2.0,,2.0,2.0,,1.0,5.0,1.0,1.0,,5.0,,2.0,1.0,,,,,,2.0,,,,,,2.0,,2.0,,2.0,2.0,,,,,,,,,,,,,,,
23,360696,2012-02-01 20:00:00,"Ewood Park, Blackburn",20817,Away,Newcastle United,Blackburn Rovers,2,0,W,1,0,0,0,,31.0,2.0,38.0,38.0,3.0,2.0,124.0,2.0,8.0,,8.0,3.0,57.0,145.0,53.0,,9.0,1.0,15.0,,,,,10.0,10.0,18.0,1.0,12.0,22.0,120.0,,1.0,0.0,95.0,19.0,1.0,,4.0,37.0,39.0,5.0,32.0,1.0,1.0,9.0,,4.0,,125.0,14.0,62.0,463.0,6.0,3.0,11.0,10.0,1.0,12.0,21.0,,2.0,9.0,3.0,14.0,65.0,98746,1.0,85.0,5.0,98.0,12.0,53.0,1.0,6.0,1.0,8.0,12.0,5.0,56.0,203.0,10.0,7.0,24.0,84.0,0.0,1.0,14.0,4.0,1.0,0.0,2.0,41.5,5.0,,1.0,3.0,1.0,49.0,2.0,4.0,275.0,8.0,12.0,15.0,,3.0,14.0,3.0,187.0,6.0,12.0,20.0,60.0,11.0,6.0,9.0,15.0,7.0,3.0,10.0,6.0,2.0,2.0,1.0,2.0,2.0,,,1.0,,2.0,1.0,1.0,2.0,,1.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,,3.0,,1.0,1.0,3.0,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,2.0,,,,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,,
24,360703,2012-02-05 13:30:00,"St. James' Park, Newcastle",48569,Home,Newcastle United,Aston Villa,2,1,W,1,1,0,0,,78.0,4.0,24.0,22.0,6.0,5.0,184.0,9.0,12.0,3.0,11.0,3.0,86.0,215.0,64.0,,18.0,4.0,15.0,1.0,,,,29.0,19.0,15.0,4.0,15.0,36.0,190.0,1.0,,0.0,151.0,6.0,3.0,2.0,2.0,68.0,61.0,7.0,84.0,1.0,2.0,25.0,,16.0,2.0,207.0,7.0,81.0,681.0,10.0,12.0,16.0,29.0,1.0,9.0,15.0,,1.0,2.0,4.0,18.0,87.0,7933,10.0,130.0,7.0,155.0,5.0,71.0,7.0,2.0,4.0,17.0,7.0,3.0,56.0,311.0,11.0,11.0,34.0,100.0,0.0,1.0,4.0,3.0,3.0,0.0,9.0,51.0,17.0,2.0,5.0,8.0,,48.0,4.0,2.0,435.0,14.0,31.0,15.0,,7.0,30.0,5.0,309.0,9.0,12.0,17.0,81.0,31.0,,9.0,24.0,16.0,3.0,20.0,1.0,4.0,,3.0,,2.0,2.0,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,2.0,,3.0,,1.0,,1.0,,4.0,3.0,1.0,,,1.0,,,,1.0,,1.0,,2.0,1.0,,2.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
25,360717,2012-02-11 17:30:00,"White Hart Lane, London",36176,Away,Newcastle United,Tottenham Hotspur,0,5,L,0,4,0,0,,54.0,1.0,22.0,13.0,3.0,1.0,120.0,2.0,5.0,1.0,5.0,2.0,92.0,137.0,37.0,1.0,8.0,1.0,8.0,1.0,,1.0,,15.0,15.0,7.0,2.0,8.0,20.0,138.0,,,0.0,101.0,9.0,2.0,,,41.0,51.0,4.0,57.0,1.0,3.0,13.0,1.0,7.0,1.0,131.0,11.0,78.0,514.0,5.0,3.0,23.0,23.0,,4.0,1.0,,1.0,2.0,1.0,13.0,52.0,98746,3.0,136.0,6.0,153.0,12.0,41.0,1.0,,1.0,15.0,7.0,4.0,35.0,272.0,7.0,7.0,14.0,73.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0,34.6,11.0,1.0,1.0,2.0,,39.0,3.0,,347.0,19.0,14.0,8.0,,4.0,17.0,3.0,209.0,5.0,8.0,5.0,64.0,27.0,6.0,,20.0,7.0,3.0,8.0,6.0,3.0,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,2.0,,,,1.0,1.0,,1.0,,,,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,1.0,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,360723,2012-02-25 15:00:00,"St. James' Park, Newcastle",52287,Home,Newcastle United,Wolverhampton Wanderers,2,2,D,2,0,0,0,,39.0,2.0,40.0,26.0,9.0,6.0,169.0,3.0,4.0,,13.0,5.0,89.0,160.0,38.0,,15.0,3.0,11.0,2.0,1.0,1.0,4.0,12.0,11.0,13.0,3.0,41.0,27.0,156.0,,,0.0,126.0,8.0,1.0,,2.0,35.0,45.0,8.0,76.0,1.0,1.0,9.0,,4.0,4.0,147.0,4.0,87.0,598.0,13.0,5.0,16.0,17.0,,23.0,6.0,1.0,1.0,5.0,5.0,17.0,84.0,7933,5.0,178.0,5.0,200.0,8.0,47.0,2.0,4.0,1.0,9.0,6.0,5.0,65.0,331.0,8.0,5.0,43.0,95.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,45.8,11.0,3.0,1.0,5.0,,56.0,3.0,2.0,421.0,12.0,20.0,11.0,,5.0,20.0,1.0,233.0,8.0,40.0,9.0,81.0,14.0,7.0,2.0,17.0,,3.0,7.0,7.0,3.0,,,3.0,2.0,1.0,,,,1.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,2.0,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,
27,360733,2012-03-04 12:00:00,"St. James' Park, Newcastle",52388,Home,Newcastle United,Sunderland,1,1,D,0,1,0,2,1.0,55.0,6.0,32.0,21.0,14.0,6.0,186.0,12.0,11.0,4.0,13.0,5.0,77.0,194.0,58.0,1.0,30.0,5.0,11.0,3.0,2.0,1.0,3.0,51.0,18.0,10.0,13.0,19.0,44.0,240.0,,,0.0,154.0,14.0,1.0,2.0,2.0,99.0,63.0,6.0,75.0,,5.0,40.0,1.0,21.0,8.0,183.0,3.0,101.0,678.0,6.0,11.0,4.0,16.0,1.0,2.0,12.0,2.0,5.0,3.0,7.0,26.0,81.0,7933,11.0,115.0,17.0,132.0,3.0,53.0,,1.0,1.0,16.0,5.0,3.0,54.0,343.0,14.0,5.0,14.0,83.0,0.0,4.0,4.0,2.0,4.0,0.0,5.0,63.1,22.0,2.0,1.0,11.0,,47.0,18.0,2.0,439.0,4.0,14.0,20.0,,14.0,37.0,5.0,358.0,16.0,18.0,13.0,99.0,29.0,2.0,5.0,20.0,10.0,3.0,20.0,2.0,19.0,,1.0,2.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,,1.0,2.0,3.0,1.0,,,,4.0,6.0,,,1.0,,6.0,4.0,,1.0,8.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,1.0,
