gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,penaltySave,attLfTarget,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attRfTarget,attSvLowCentre,attSvHighRight,interceptionsInBox,goalAssist,accurateThroughBall,accurateFreekickCross,defenderGoals,goalAssistIntentional,shieldBallOop,attHdGoal,goalsConcededObox,attGoalLowCentre,attIboxTarget,attSvHighLeft,attMissRight,hitWoodwork,attMissHighLeft,attRfGoal,attSvLowRight,punches,attFreekickTarget,forwardGoals,errorLeadToGoal,handBall,attCmissLeft,attSvLowLeft,sixYardBlock,overrun,attGoalLowRight,goalAssistOpenplay,errorLeadToShot,attCmissRight,totalPullBack,attGoalHighRight,attCmissHighLeft,attOboxGoal,penaltyWon,attPenGoal,attGoalHighLeft,attFreekickGoal,accuratePullBack,attObxLeft,foulThrowIn,attObxRight,postScoringAtt,attIboxPost,attPostHigh,goalFastbreak,cleanSheet,ownGoals,attIboxOwnGoal,attLgCentre,attCmissHighRight,secondYellow,attObxdRight,attObpGoal
28,360745,2012-03-11 16:00:00,"Carrow Road, Norwich",26653,Home,Norwich City,Wigan Athletic,1,1,D,1,0,0,0,,54.0,2.0,2.0,32.0,36.0,6.0,3.0,1.0,150.0,7.0,3.0,1.0,4.0,13.0,2.0,85.0,151.0,39.0,1.0,14.0,3.0,14.0,3.0,,2.0,2.0,23.0,12.0,,22.0,3.0,25.0,24.0,176.0,,0.0,118.0,12.0,4.0,3.0,1.0,1.0,2.0,62.0,46.0,7.0,62.0,20.0,1.0,,5.0,3.0,137.0,,14.0,89.0,607.0,11.0,15.0,1.0,14.0,16.0,12.0,20.0,2.0,4.0,2.0,6.0,25.0,69.0,79852,5.0,144.0,,14.0,,,152.0,14.0,45.0,1.0,1.0,2.0,9.0,,22.0,6.0,7.0,3.0,57.0,313.0,7.0,8.0,1.0,30.0,85.0,3.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0,6.0,3.0,44.9,20.0,2.0,2.0,1.0,,10.0,5.0,,47.0,3.0,,2.0,386.0,,9.0,1.0,7.0,11.0,7.0,18.0,1.0,4.0,257.0,7.0,25.0,10.0,78.0,20.0,3.0,12.0,19.0,1.0,10.0,3.0,7.0,3.0,3.0,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
29,360754,2012-03-18 16:00:00,"St. James' Park, Newcastle",47833,Away,Norwich City,Newcastle United,0,1,L,0,1,0,0,,61.0,2.0,1.0,36.0,38.0,5.0,5.0,,195.0,7.0,7.0,,2.0,9.0,4.0,138.0,176.0,46.0,1.0,11.0,1.0,10.0,,,1.0,,22.0,12.0,1.0,21.0,5.0,31.0,36.0,195.0,,0.0,135.0,15.0,2.0,,,,1.0,70.0,84.0,6.0,83.0,17.0,1.0,,5.0,3.0,159.0,1.0,8.0,107.0,733.0,8.0,10.0,1.0,13.0,28.0,5.0,28.0,1.0,3.0,2.0,3.0,28.0,72.0,79852,4.0,237.0,2.0,12.0,,,257.0,6.0,47.0,,,,9.0,,17.0,6.0,3.0,4.0,60.0,425.0,8.0,2.0,1.0,31.0,99.0,,0.0,4.0,3.0,,1.0,6.0,0.0,5.0,1.0,55.8,24.0,,2.0,2.0,1.0,9.0,2.0,,57.0,5.0,,1.0,523.0,,7.0,1.0,10.0,27.0,5.0,15.0,2.0,2.0,288.0,4.0,29.0,14.0,92.0,20.0,3.0,15.0,17.0,1.0,9.0,3.0,17.0,3.0,5.0,,2.0,,,,1.0,2.0,,,,,,,,,,,,3.0,,1.0,,,,1.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
30,360764,2012-03-24 15:00:00,"Carrow Road, Norwich",26752,Home,Norwich City,Wolverhampton Wanderers,2,1,W,2,1,1,0,2.0,44.0,,3.0,30.0,59.0,6.0,5.0,,205.0,7.0,7.0,2.0,2.0,7.0,4.0,117.0,194.0,42.0,,14.0,3.0,12.0,,1.0,1.0,1.0,21.0,13.0,1.0,27.0,3.0,21.0,37.0,238.0,,0.0,166.0,12.0,1.0,,,,2.0,103.0,59.0,6.0,86.0,18.0,,,9.0,2.0,162.0,1.0,7.0,120.0,744.0,5.0,6.0,1.0,11.0,16.0,7.0,29.0,1.0,1.0,6.0,1.0,26.0,84.0,79852,6.0,191.0,,9.0,,,211.0,9.0,46.0,1.0,2.0,3.0,2.0,1.0,13.0,6.0,5.0,1.0,60.0,422.0,8.0,5.0,1.0,23.0,98.0,,0.0,5.0,1.0,2.0,1.0,3.0,1.0,5.0,3.0,62.4,21.0,1.0,2.0,1.0,,2.0,6.0,,48.0,5.0,,2.0,528.0,,9.0,,14.0,12.0,4.0,26.0,2.0,2.0,338.0,6.0,21.0,10.0,108.0,20.0,2.0,13.0,17.0,1.0,10.0,3.0,10.0,2.0,5.0,,1.0,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,,,1.0,,1.0,,2.0,,,,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,
31,360772,2012-03-31 15:00:00,"Craven Cottage, London",25700,Away,Norwich City,Fulham,1,2,L,0,2,0,0,,45.0,2.0,1.0,37.0,26.0,7.0,7.0,,201.0,9.0,2.0,1.0,3.0,13.0,4.0,166.0,160.0,33.0,1.0,16.0,3.0,13.0,,1.0,3.0,2.0,33.0,8.0,2.0,13.0,7.0,11.0,42.0,306.0,,0.0,194.0,9.0,3.0,,,1.0,2.0,80.0,54.0,6.0,108.0,26.0,1.0,,10.0,2.0,147.0,,12.0,189.0,855.0,9.0,9.0,1.0,16.0,10.0,12.0,12.0,3.0,2.0,4.0,7.0,19.0,91.0,79852,2.0,275.0,,15.0,,,288.0,4.0,45.0,,2.0,,13.0,1.0,11.0,3.0,4.0,1.0,68.0,572.0,11.0,4.0,3.0,31.0,85.0,,0.0,6.0,4.0,1.0,2.0,5.0,0.0,4.0,3.0,61.9,18.0,2.0,2.0,4.0,1.0,13.0,4.0,1.0,51.0,7.0,,2.0,664.0,,11.0,,14.0,18.0,8.0,43.0,5.0,6.0,409.0,6.0,11.0,4.0,132.0,20.0,1.0,7.0,16.0,2.0,11.0,3.0,7.0,1.0,7.0,,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,1.0,,5.0,,,1.0,2.0,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
32,360784,2012-04-07 15:00:00,"Carrow Road, Norwich",26554,Home,Norwich City,Everton,2,2,D,1,1,0,0,1.0,43.0,,1.0,28.0,45.0,9.0,3.0,,192.0,5.0,2.0,2.0,8.0,8.0,6.0,89.0,186.0,48.0,3.0,15.0,5.0,14.0,2.0,2.0,1.0,,25.0,13.0,2.0,23.0,2.0,4.0,38.0,170.0,1.0,0.0,144.0,7.0,2.0,3.0,1.0,1.0,1.0,68.0,40.0,5.0,68.0,23.0,3.0,,5.0,2.0,164.0,1.0,7.0,82.0,627.0,6.0,21.0,1.0,19.0,18.0,16.0,28.0,1.0,0.0,3.0,3.0,23.0,85.0,79852,2.0,150.0,,17.0,1.0,,170.0,11.0,38.0,,4.0,3.0,3.0,2.0,4.0,3.0,7.0,,58.0,315.0,17.0,4.0,,44.0,102.0,2.0,0.0,4.0,3.0,2.0,2.0,7.0,0.0,5.0,1.0,48.3,19.0,,1.0,,1.0,3.0,6.0,,51.0,2.0,,1.0,431.0,,15.0,,8.0,18.0,3.0,23.0,,1.0,286.0,11.0,1.0,12.0,76.0,19.0,2.0,16.0,17.0,2.0,11.0,3.0,7.0,2.0,2.0,,,,,,3.0,3.0,,1.0,2.0,,,,2.0,1.0,,,1.0,2.0,,2.0,,,2.0,,,,1.0,,,,,1.0,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
33,360796,2012-04-09 15:00:00,"White Hart Lane, London",36126,Away,Norwich City,Tottenham Hotspur,2,1,W,1,1,0,0,1.0,39.0,,,26.0,56.0,6.0,7.0,,135.0,2.0,3.0,2.0,7.0,6.0,4.0,65.0,176.0,48.0,2.0,12.0,2.0,7.0,,1.0,,2.0,16.0,15.0,,36.0,3.0,3.0,26.0,111.0,,0.0,134.0,12.0,1.0,,2.0,1.0,3.0,55.0,45.0,3.0,48.0,13.0,2.0,,3.0,3.0,156.0,1.0,9.0,64.0,526.0,4.0,20.0,,15.0,12.0,15.0,30.0,,2.0,6.0,3.0,22.0,94.0,79852,3.0,111.0,1.0,9.0,3.0,,122.0,8.0,39.0,1.0,,5.0,2.0,2.0,14.0,6.0,2.0,2.0,55.0,220.0,12.0,3.0,1.0,43.0,83.0,,0.0,10.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,41.2,15.0,1.0,1.0,1.0,,2.0,2.0,,35.0,3.0,,3.0,312.0,,12.0,1.0,11.0,14.0,6.0,24.0,,3.0,206.0,4.0,2.0,16.0,66.0,17.0,4.0,21.0,17.0,1.0,7.0,3.0,9.0,4.0,3.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,2.0,1.0,,,2.0,2.0,,1.0,,,,,2.0,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
34,360804,2012-04-14 12:45:00,"Carrow Road, Norwich",26812,Home,Norwich City,Manchester City,1,6,L,0,2,0,0,,62.0,,1.0,46.0,23.0,7.0,2.0,,171.0,7.0,6.0,1.0,1.0,10.0,6.0,109.0,168.0,30.0,1.0,16.0,4.0,5.0,1.0,,1.0,1.0,29.0,14.0,2.0,13.0,3.0,26.0,32.0,220.0,,0.0,153.0,10.0,2.0,1.0,1.0,,2.0,65.0,70.0,7.0,86.0,26.0,1.0,,10.0,2.0,158.0,2.0,16.0,116.0,688.0,10.0,9.0,1.0,11.0,22.0,17.0,17.0,1.0,1.0,6.0,3.0,26.0,72.0,79852,4.0,171.0,2.0,16.0,,,186.0,5.0,55.0,,1.0,,11.0,1.0,9.0,7.0,2.0,2.0,68.0,384.0,4.0,18.0,,43.0,94.0,1.0,0.0,5.0,5.0,1.0,6.0,2.0,0.0,6.0,2.0,47.4,23.0,1.0,2.0,3.0,1.0,11.0,5.0,,55.0,3.0,,2.0,482.0,,9.0,1.0,17.0,20.0,5.0,25.0,1.0,3.0,325.0,12.0,22.0,2.0,99.0,22.0,4.0,12.0,18.0,4.0,13.0,3.0,11.0,4.0,3.0,,,1.0,,,4.0,1.0,,2.0,,,,,,,,2.0,,3.0,,2.0,,,1.0,2.0,,,,2.0,,1.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
35,360811,2012-04-21 15:00:00,"Ewood Park, Blackburn",23218,Away,Norwich City,Blackburn Rovers,0,2,L,0,1,0,0,,61.0,1.0,,49.0,57.0,4.0,4.0,,142.0,8.0,5.0,,3.0,11.0,3.0,87.0,169.0,40.0,,13.0,1.0,14.0,,,,4.0,25.0,13.0,1.0,37.0,7.0,9.0,16.0,189.0,,0.0,179.0,13.0,,,,,2.0,45.0,58.0,3.0,61.0,18.0,,,4.0,2.0,149.0,,5.0,110.0,610.0,8.0,20.0,,8.0,25.0,25.0,34.0,,1.0,2.0,8.0,27.0,91.0,79852,6.0,122.0,,14.0,1.0,,132.0,3.0,38.0,,1.0,1.0,3.0,,15.0,3.0,2.0,1.0,82.0,303.0,9.0,2.0,3.0,59.0,85.0,,0.0,9.0,,,2.0,4.0,0.0,3.0,4.0,57.3,21.0,4.0,1.0,2.0,,4.0,1.0,,45.0,7.0,,2.0,400.0,,5.0,,6.0,9.0,9.0,40.0,5.0,7.0,293.0,5.0,6.0,7.0,107.0,23.0,3.0,23.0,19.0,1.0,9.0,3.0,8.0,3.0,7.0,,1.0,,,,2.0,,1.0,1.0,,,,,,,,1.0,,2.0,,4.0,,,,,,,,,,1.0,2.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
36,360822,2012-04-28 17:30:00,"Carrow Road, Norwich",26819,Home,Norwich City,Liverpool,0,3,L,0,2,0,0,,58.0,1.0,1.0,35.0,37.0,5.0,1.0,,168.0,5.0,1.0,,1.0,7.0,1.0,117.0,159.0,34.0,,9.0,1.0,5.0,,,2.0,3.0,16.0,18.0,1.0,23.0,5.0,5.0,47.0,203.0,1.0,0.0,147.0,9.0,1.0,,,1.0,,46.0,70.0,2.0,70.0,11.0,,,3.0,3.0,145.0,,13.0,96.0,641.0,5.0,14.0,,18.0,26.0,15.0,19.0,2.0,4.0,4.0,5.0,22.0,96.0,79852,4.0,157.0,,7.0,,,171.0,5.0,33.0,,4.0,2.0,5.0,,18.0,3.0,4.0,1.0,65.0,355.0,4.0,8.0,2.0,38.0,90.0,,0.0,7.0,1.0,,3.0,3.0,0.0,3.0,3.0,44.4,19.0,3.0,3.0,,,6.0,2.0,,55.0,5.0,,,451.0,,12.0,,8.0,27.0,6.0,24.0,2.0,3.0,296.0,5.0,3.0,8.0,77.0,21.0,1.0,10.0,21.0,2.0,7.0,3.0,5.0,1.0,5.0,,,,,,1.0,,,2.0,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,2.0,1.0,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
37,360829,2012-05-05 12:45:00,"Emirates Stadium, London",60092,Away,Norwich City,Arsenal,3,3,D,2,1,0,0,2.0,63.0,,3.0,18.0,46.0,2.0,6.0,1.0,142.0,6.0,1.0,3.0,1.0,11.0,4.0,52.0,170.0,38.0,,13.0,,16.0,2.0,2.0,1.0,3.0,19.0,14.0,,23.0,1.0,10.0,29.0,119.0,,0.0,89.0,15.0,3.0,3.0,1.0,1.0,2.0,37.0,46.0,7.0,39.0,18.0,,,7.0,2.0,147.0,4.0,21.0,53.0,500.0,8.0,13.0,,12.0,29.0,10.0,20.0,1.0,3.0,5.0,4.0,21.0,74.0,79852,7.0,78.0,2.0,10.0,,,98.0,10.0,53.0,,3.0,6.0,8.0,3.0,5.0,2.0,2.0,1.0,50.0,191.0,8.0,13.0,,37.0,83.0,2.0,0.0,6.0,8.0,3.0,3.0,3.0,0.0,6.0,2.0,36.6,11.0,2.0,,2.0,,8.0,3.0,,35.0,1.0,,3.0,286.0,,9.0,,6.0,13.0,6.0,23.0,,4.0,207.0,5.0,8.0,7.0,45.0,17.0,3.0,12.0,22.0,3.0,12.0,3.0,4.0,3.0,1.0,,,1.0,,,1.0,,,1.0,3.0,2.0,,,3.0,,,,,1.0,,,,2.0,2.0,,1.0,,2.0,,,,1.0,,1.0,2.0,3.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
38,360842,2012-05-13 15:00:00,"Carrow Road, Norwich",26803,Home,Norwich City,Aston Villa,2,0,W,2,0,0,0,2.0,48.0,3.0,1.0,48.0,34.0,11.0,9.0,,159.0,8.0,1.0,2.0,6.0,15.0,8.0,142.0,138.0,29.0,2.0,23.0,2.0,9.0,2.0,1.0,,2.0,28.0,10.0,4.0,16.0,7.0,12.0,35.0,259.0,2.0,0.0,176.0,7.0,4.0,2.0,,,1.0,46.0,81.0,7.0,108.0,21.0,2.0,,5.0,5.0,120.0,2.0,5.0,106.0,703.0,12.0,14.0,1.0,16.0,16.0,18.0,19.0,,1.0,,8.0,21.0,79.0,79852,4.0,194.0,2.0,16.0,2.0,,211.0,5.0,30.0,2.0,2.0,3.0,6.0,1.0,11.0,5.0,5.0,2.0,75.0,445.0,10.0,4.0,2.0,43.0,74.0,2.0,0.0,6.0,2.0,2.0,,6.0,0.0,4.0,2.0,58.9,16.0,1.0,3.0,2.0,,6.0,3.0,,44.0,8.0,,1.0,515.0,,12.0,1.0,7.0,26.0,12.0,22.0,4.0,7.0,332.0,11.0,11.0,6.0,136.0,21.0,6.0,10.0,12.0,,16.0,3.0,5.0,6.0,9.0,,1.0,1.0,1.0,1.0,4.0,3.0,,,1.0,1.0,,,1.0,,,,,2.0,,6.0,,,1.0,1.0,1.0,,2.0,,1.0,,2.0,,,1.0,,,3.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0
