gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,attGoalHighCentre,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,goalAssistSetplay,goalAssistDeadball,attGoalHighRight,interceptionsInBox,attOboxMiss,accurateFreekickCross,sixYardBlock,attGoalHighLeft,attCmissLeft,punches,goalsConceded,shieldBallOop,attHdMiss,goalsConcededIbox,attGoalLowRight,attGoalLowCentre,attMissHighLeft,attCmissHighLeft,attSvHighCentre,attHdGoal,attPenTarget,goalFastbreak,penaltyWon,attHdPost,attCmissHigh,attPostRight,errorLeadToShot,ownGoals,foulThrowIn,attIboxOwnGoal,clearanceOffLine,defenderGoals,goalsConcededObox,attLgCentre,attCmissHighRight,attObxdRight,penaltyConceded,penaltyFaced,penGoalsConceded,attLgRight,attPostLeft,attFreekickMiss,attPenGoal,secondYellow,attObpGoal,attObxLeft,attFreekickGoal,attObxdLeft,attSvHighRight,errorLeadToGoal,penaltySave,saves,attObxRight,attemptsIbox,ptsGainedLosingPos,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner
11,360577,2011-11-05 17:30:00,"Kiyan Prince Foundation Stadium, London",18076,Away,Manchester City,Queens Park Rangers,3,2,W,1,1,0,0,2.0,,55.0,2.0,1.0,3.0,25.0,39.0,5.0,9.0,1.0,,154.0,3.0,6.0,3.0,2.0,15.0,1.0,,5.0,89.0,156.0,45.0,1.0,18.0,,15.0,2.0,,1.0,1.0,,3.0,1.0,2.0,9.0,,11.0,,19.0,,12.0,25.0,151.0,2.0,,,0.0,114.0,15.0,1.0,,,2.0,1.0,,1.0,58.0,54.0,8.0,57.0,4.0,9.0,1.0,,1.0,136.0,,12.0,93.0,594.0,12.0,8.0,,1.0,12.0,23.0,4.0,22.0,3.0,,1.0,7.0,7.0,24.0,64.0,1.0,7551,9.0,152.0,,8.0,,179.0,1.0,1.0,14.0,51.0,4.0,2.0,3.0,3.0,9.0,10.0,9.0,,48.0,300.0,6.0,6.0,,23.0,93.0,,,0.0,,,3.0,2.0,3.0,1.0,,1.0,0.0,3.0,2.0,1.0,46.9,19.0,2.0,1.0,3.0,3.0,46.0,1.0,1.0,393.0,12.0,11.0,14.0,10.0,11.0,,4.0,223.0,8.0,10.0,19.0,74.0,22.0,1.0,4.0,10.0,14.0,16.0,3.0,11.0,4.0,1.0,,,,,1.0,5.0,,,1.0,1.0,,2.0,2.0,,2.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12,360581,2011-11-19 15:00:00,"Etihad Stadium, Manchester",47408,Home,Manchester City,Newcastle United,3,1,W,2,0,0,0,1.0,2.0,55.0,,,3.0,34.0,23.0,5.0,5.0,1.0,,189.0,7.0,10.0,3.0,4.0,7.0,1.0,,5.0,148.0,138.0,49.0,,14.0,4.0,3.0,2.0,,1.0,,1.0,,1.0,1.0,18.0,,16.0,,14.0,3.0,18.0,28.0,285.0,,,,0.0,169.0,12.0,2.0,,,,,,1.0,89.0,84.0,5.0,103.0,,15.0,,,4.0,129.0,,8.0,165.0,804.0,6.0,4.0,1.0,,22.0,20.0,3.0,13.0,,1.0,0.0,1.0,2.0,31.0,63.0,1.0,7551,8.0,247.0,,11.0,,264.0,2.0,2.0,3.0,38.0,7.0,6.0,2.0,1.0,11.0,1.0,1.0,1.0,49.0,525.0,7.0,7.0,1.0,19.0,71.0,,,0.0,,2.0,5.0,3.0,3.0,,,1.0,0.0,6.0,,2.0,64.4,31.0,4.0,,2.0,7.0,48.0,4.0,1.0,605.0,18.0,12.0,17.0,2.0,16.0,1.0,1.0,359.0,7.0,18.0,9.0,130.0,27.0,2.0,3.0,7.0,23.0,11.0,3.0,15.0,3.0,4.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,3.0,,,,1.0,,,,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
13,360592,2011-11-27 16:00:00,"Anfield, Liverpool",45071,Away,Manchester City,Liverpool,1,1,D,1,1,1,0,2.0,,64.0,,,,26.0,36.0,3.0,4.0,,,156.0,3.0,7.0,1.0,5.0,6.0,,,3.0,130.0,160.0,46.0,,7.0,,13.0,2.0,1.0,,,1.0,,,1.0,13.0,,14.0,,18.0,4.0,17.0,23.0,235.0,,,,0.0,123.0,15.0,6.0,1.0,,,1.0,1.0,2.0,82.0,66.0,3.0,67.0,1.0,9.0,,,3.0,142.0,1.0,14.0,136.0,710.0,5.0,2.0,,,27.0,28.0,5.0,20.0,1.0,1.0,3.0,2.0,3.0,14.0,71.0,2.0,7551,2.0,184.0,1.0,5.0,,199.0,,,13.0,59.0,8.0,2.0,6.0,,20.0,4.0,2.0,,44.0,416.0,11.0,9.0,,22.0,84.0,1.0,1.0,0.0,,,8.0,6.0,1.0,,,1.0,1.0,1.0,1.0,,48.7,12.0,3.0,,6.0,,51.0,5.0,2.0,489.0,21.0,15.0,13.0,4.0,13.0,2.0,1.0,303.0,2.0,15.0,8.0,84.0,24.0,,4.0,10.0,20.0,5.0,3.0,16.0,4.0,5.0,2.0,1.0,1.0,,1.0,3.0,,,1.0,,,1.0,,,1.0,,,2.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
14,360603,2011-12-03 15:00:00,"Etihad Stadium, Manchester",47201,Home,Manchester City,Norwich City,5,1,W,1,0,0,0,3.0,2.0,56.0,2.0,,5.0,28.0,22.0,7.0,11.0,1.0,2.0,197.0,2.0,6.0,5.0,6.0,19.0,2.0,1.0,10.0,193.0,140.0,34.0,1.0,26.0,5.0,3.0,5.0,,6.0,,1.0,2.0,2.0,,23.0,,8.0,,12.0,7.0,25.0,33.0,449.0,,,1.0,0.0,283.0,10.0,1.0,,,3.0,1.0,3.0,4.0,83.0,94.0,15.0,86.0,1.0,16.0,1.0,,5.0,130.0,3.0,4.0,216.0,883.0,15.0,4.0,,,17.0,17.0,7.0,13.0,3.0,1.0,0.0,,4.0,22.0,75.0,5.0,7551,7.0,173.0,4.0,8.0,,186.0,3.0,3.0,6.0,28.0,18.0,4.0,8.0,3.0,14.0,2.0,4.0,3.0,43.0,620.0,10.0,2.0,1.0,18.0,73.0,,2.0,0.0,,,4.0,1.0,4.0,,,1.0,0.0,,2.0,,68.8,19.0,5.0,1.0,8.0,10.0,51.0,12.0,4.0,692.0,15.0,9.0,20.0,6.0,38.0,2.0,4.0,529.0,14.0,23.0,5.0,235.0,24.0,2.0,1.0,6.0,12.0,21.0,3.0,11.0,1.0,12.0,1.0,1.0,,,,2.0,,,1.0,,,1.0,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
15,360611,2011-12-12 20:00:00,"Stamford Bridge, London",41730,Away,Manchester City,Chelsea,1,2,L,1,1,1,0,,1.0,44.0,,1.0,,20.0,28.0,3.0,1.0,,1.0,163.0,3.0,9.0,1.0,1.0,5.0,,,2.0,126.0,131.0,39.0,1.0,7.0,1.0,3.0,,2.0,,,,1.0,,2.0,11.0,,13.0,1.0,13.0,1.0,17.0,31.0,177.0,1.0,,,0.0,110.0,20.0,2.0,2.0,,,1.0,1.0,1.0,73.0,48.0,3.0,63.0,1.0,10.0,1.0,,4.0,116.0,1.0,5.0,129.0,667.0,4.0,2.0,,,19.0,16.0,3.0,17.0,1.0,,1.0,5.0,2.0,24.0,52.0,2.0,7551,2.0,232.0,,5.0,,249.0,1.0,,8.0,55.0,4.0,3.0,5.0,1.0,7.0,11.0,6.0,,42.0,406.0,11.0,18.0,,26.0,84.0,2.0,,0.0,,1.0,5.0,1.0,1.0,,,,1.0,3.0,1.0,,50.3,20.0,2.0,,5.0,1.0,42.0,1.0,1.0,481.0,15.0,6.0,13.0,4.0,7.0,,2.0,243.0,6.0,16.0,2.0,73.0,20.0,1.0,4.0,7.0,17.0,6.0,3.0,19.0,4.0,1.0,2.0,,,,1.0,2.0,,,,1.0,,2.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
16,360623,2011-12-18 16:10:00,"Etihad Stadium, Manchester",47303,Home,Manchester City,Arsenal,1,0,W,0,0,0,0,1.0,1.0,66.0,,3.0,1.0,24.0,21.0,3.0,3.0,,4.0,169.0,3.0,10.0,1.0,5.0,9.0,1.0,,6.0,87.0,173.0,65.0,,15.0,3.0,11.0,5.0,3.0,2.0,1.0,1.0,,2.0,3.0,19.0,,21.0,,7.0,4.0,12.0,30.0,209.0,1.0,1.0,,0.0,155.0,14.0,4.0,3.0,,1.0,,2.0,,86.0,75.0,6.0,64.0,,15.0,,,5.0,159.0,3.0,6.0,96.0,637.0,9.0,5.0,,1.0,26.0,21.0,6.0,7.0,,1.0,2.0,5.0,3.0,19.0,62.0,3.0,7551,4.0,113.0,5.0,8.0,1.0,133.0,1.0,1.0,6.0,58.0,16.0,2.0,4.0,1.0,7.0,8.0,1.0,,49.0,319.0,10.0,10.0,,29.0,78.0,3.0,3.0,0.0,,2.0,6.0,3.0,1.0,1.0,,3.0,0.0,2.0,,,47.0,13.0,2.0,2.0,4.0,4.0,36.0,4.0,,416.0,19.0,13.0,19.0,5.0,26.0,1.0,4.0,302.0,11.0,12.0,12.0,105.0,37.0,,6.0,4.0,33.0,14.0,3.0,21.0,6.0,4.0,1.0,,,,2.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
17,360637,2011-12-21 19:45:00,"Etihad Stadium, Manchester",46321,Home,Manchester City,Stoke City,3,0,W,2,0,0,0,3.0,2.0,52.0,2.0,,3.0,27.0,14.0,11.0,8.0,2.0,5.0,252.0,2.0,7.0,3.0,2.0,16.0,,,11.0,260.0,138.0,35.0,1.0,22.0,5.0,7.0,4.0,,1.0,,1.0,1.0,2.0,1.0,12.0,,14.0,4.0,7.0,1.0,44.0,32.0,524.0,,1.0,1.0,0.0,271.0,7.0,,,1.0,1.0,1.0,,,148.0,97.0,14.0,132.0,2.0,11.0,1.0,,2.0,131.0,4.0,3.0,280.0,1092.0,15.0,2.0,,1.0,13.0,22.0,2.0,8.0,1.0,1.0,2.0,,2.0,23.0,86.0,3.0,7551,5.0,319.0,3.0,9.0,,339.0,1.0,,4.0,37.0,10.0,1.0,5.0,2.0,16.0,,3.0,,45.0,841.0,5.0,7.0,,19.0,86.0,,4.0,0.0,1.0,1.0,2.0,,2.0,,,1.0,0.0,2.0,1.0,,76.0,21.0,4.0,3.0,5.0,8.0,63.0,5.0,,924.0,10.0,7.0,18.0,3.0,25.0,,2.0,597.0,14.0,44.0,8.0,227.0,21.0,2.0,3.0,3.0,15.0,20.0,3.0,16.0,3.0,5.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,360648,2011-12-26 15:00:00,"The Hawthorns, West Bromwich",25938,Away,Manchester City,West Bromwich Albion,0,0,D,0,0,0,0,1.0,,53.0,,1.0,3.0,51.0,19.0,9.0,4.0,,3.0,172.0,5.0,4.0,,2.0,12.0,,,4.0,211.0,142.0,29.0,1.0,17.0,2.0,10.0,,,,1.0,,,1.0,2.0,34.0,,10.0,4.0,7.0,7.0,15.0,27.0,380.0,2.0,1.0,,0.0,235.0,11.0,1.0,,,,1.0,1.0,,113.0,103.0,6.0,76.0,2.0,27.0,1.0,,9.0,130.0,2.0,2.0,212.0,853.0,10.0,4.0,,1.0,13.0,29.0,6.0,12.0,,,1.0,2.0,6.0,23.0,76.0,,7551,4.0,231.0,2.0,17.0,,241.0,,,7.0,44.0,10.0,2.0,3.0,,10.0,6.0,6.0,1.0,64.0,606.0,8.0,4.0,2.0,16.0,72.0,,2.0,0.0,,2.0,5.0,,,1.0,1.0,2.0,0.0,3.0,,3.0,72.6,23.0,,1.0,3.0,5.0,58.0,9.0,,671.0,13.0,13.0,15.0,8.0,32.0,2.0,4.0,464.0,10.0,13.0,6.0,193.0,21.0,,1.0,3.0,11.0,12.0,3.0,12.0,1.0,9.0,2.0,,,,1.0,3.0,,,,1.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
19,360656,2012-01-01 15:00:00,"Stadium of Light, Sunderland",40625,Away,Manchester City,Sunderland,0,1,L,0,0,0,0,3.0,,73.0,,1.0,3.0,34.0,11.0,12.0,9.0,,2.0,207.0,6.0,10.0,,3.0,21.0,,,5.0,188.0,159.0,49.0,,27.0,4.0,8.0,3.0,,2.0,2.0,1.0,,,4.0,30.0,2.0,15.0,2.0,6.0,7.0,25.0,32.0,346.0,3.0,,,0.0,236.0,7.0,2.0,,,,2.0,1.0,,82.0,94.0,10.0,82.0,5.0,23.0,,,9.0,154.0,1.0,3.0,188.0,872.0,20.0,6.0,,2.0,17.0,27.0,1.0,4.0,,1.0,1.0,2.0,11.0,19.0,84.0,,7551,9.0,231.0,3.0,13.0,2.0,249.0,,1.0,5.0,38.0,5.0,2.0,5.0,,12.0,5.0,5.0,1.0,57.0,571.0,7.0,4.0,1.0,17.0,81.0,,2.0,0.0,,,1.0,1.0,,,2.0,1.0,0.0,5.0,,4.0,68.8,18.0,4.0,2.0,6.0,7.0,57.0,10.0,,665.0,15.0,12.0,15.0,15.0,33.0,1.0,6.0,446.0,14.0,24.0,12.0,181.0,35.0,,3.0,1.0,20.0,21.0,3.0,18.0,3.0,10.0,1.0,,,,,7.0,1.0,,,,2.0,1.0,,3.0,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,360663,2012-01-03 20:00:00,"Etihad Stadium, Manchester",47131,Home,Manchester City,Liverpool,3,0,W,2,0,1,0,1.0,1.0,57.0,,3.0,1.0,19.0,44.0,6.0,5.0,,1.0,127.0,2.0,5.0,3.0,2.0,8.0,,,6.0,70.0,143.0,39.0,1.0,11.0,2.0,11.0,2.0,1.0,,1.0,1.0,1.0,1.0,,8.0,,13.0,1.0,28.0,4.0,16.0,9.0,123.0,1.0,1.0,1.0,0.0,95.0,13.0,5.0,1.0,,2.0,,,1.0,52.0,26.0,7.0,54.0,,4.0,1.0,1.0,1.0,127.0,,7.0,80.0,539.0,5.0,3.0,1.0,1.0,12.0,28.0,7.0,26.0,2.0,1.0,0.0,3.0,1.0,18.0,55.0,,7551,1.0,135.0,,3.0,,145.0,2.0,,14.0,50.0,4.0,,6.0,1.0,16.0,9.0,6.0,,45.0,256.0,7.0,8.0,1.0,28.0,72.0,1.0,1.0,0.0,,2.0,6.0,3.0,2.0,1.0,,,1.0,,1.0,2.0,36.0,16.0,4.0,1.0,6.0,3.0,33.0,5.0,1.0,331.0,8.0,16.0,5.0,2.0,6.0,2.0,,194.0,4.0,15.0,8.0,55.0,13.0,1.0,5.0,16.0,19.0,7.0,2.0,7.0,5.0,5.0,,1.0,1.0,1.0,,1.0,,,,,2.0,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
21,360678,2012-01-16 20:00:00,"DW Stadium, Wigan",16026,Away,Manchester City,Wigan Athletic,1,0,W,1,0,0,0,3.0,,52.0,,1.0,1.0,24.0,30.0,3.0,7.0,,2.0,181.0,9.0,9.0,1.0,5.0,12.0,1.0,,6.0,133.0,176.0,65.0,,14.0,2.0,11.0,4.0,1.0,1.0,,,,2.0,2.0,22.0,,16.0,1.0,14.0,3.0,15.0,21.0,269.0,,1.0,,0.0,175.0,15.0,2.0,1.0,,,1.0,3.0,2.0,79.0,98.0,7.0,69.0,1.0,19.0,,,4.0,160.0,3.0,2.0,121.0,727.0,11.0,5.0,,,21.0,23.0,7.0,18.0,1.0,,3.0,2.0,5.0,22.0,58.0,3.0,7551,9.0,145.0,3.0,12.0,1.0,166.0,,1.0,5.0,60.0,5.0,5.0,4.0,,13.0,5.0,4.0,1.0,45.0,405.0,16.0,11.0,,34.0,76.0,1.0,,0.0,,2.0,4.0,1.0,1.0,,,1.0,0.0,7.0,1.0,4.0,54.0,18.0,3.0,1.0,4.0,3.0,37.0,5.0,2.0,504.0,15.0,14.0,14.0,5.0,17.0,2.0,5.0,360.0,3.0,13.0,15.0,132.0,18.0,1.0,3.0,9.0,25.0,12.0,3.0,18.0,3.0,5.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,,3.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
22,360683,2012-01-22 13:30:00,"Etihad Stadium, Manchester",47422,Home,Manchester City,Tottenham Hotspur,3,2,W,0,0,0,0,,3.0,61.0,1.0,,3.0,22.0,19.0,4.0,6.0,1.0,1.0,172.0,5.0,13.0,3.0,3.0,13.0,,,4.0,128.0,151.0,56.0,,16.0,4.0,11.0,1.0,,,,1.0,1.0,1.0,1.0,23.0,,18.0,,9.0,9.0,23.0,18.0,271.0,,,,0.0,150.0,9.0,1.0,,,1.0,,2.0,,98.0,54.0,9.0,73.0,1.0,14.0,,1.0,2.0,141.0,2.0,3.0,139.0,716.0,10.0,6.0,,,15.0,20.0,8.0,10.0,1.0,2.0,2.0,5.0,4.0,16.0,66.0,1.0,7551,6.0,164.0,1.0,10.0,1.0,179.0,2.0,,8.0,49.0,7.0,1.0,3.0,1.0,9.0,11.0,3.0,1.0,42.0,430.0,10.0,7.0,2.0,25.0,82.0,,,0.0,,2.0,4.0,1.0,3.0,,,1.0,0.0,2.0,1.0,1.0,53.3,16.0,3.0,4.0,4.0,7.0,48.0,9.0,,512.0,14.0,15.0,9.0,5.0,20.0,3.0,5.0,356.0,8.0,22.0,10.0,108.0,30.0,1.0,3.0,5.0,23.0,11.0,1.0,21.0,3.0,9.0,1.0,,,,1.0,,1.0,1.0,,,,2.0,,1.0,1.0,1.0,,2.0,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
23,360697,2012-01-31 20:00:00,"Goodison Park, Liverpool",29856,Away,Manchester City,Everton,0,1,L,0,0,0,0,,,70.0,,,4.0,39.0,17.0,9.0,9.0,,1.0,214.0,9.0,4.0,,3.0,17.0,,2.0,3.0,174.0,183.0,61.0,,21.0,6.0,4.0,3.0,1.0,4.0,1.0,,,2.0,,32.0,,19.0,,4.0,9.0,18.0,36.0,283.0,,,,0.0,191.0,9.0,,1.0,,,1.0,2.0,1.0,71.0,96.0,10.0,66.0,4.0,23.0,,,7.0,170.0,,7.0,154.0,849.0,16.0,12.0,2.0,2.0,17.0,23.0,8.0,10.0,,,2.0,4.0,7.0,34.0,81.0,1.0,93666,5.0,241.0,,14.0,1.0,261.0,,,8.0,43.0,7.0,5.0,4.0,,12.0,4.0,5.0,1.0,55.0,515.0,12.0,4.0,1.0,24.0,103.0,1.0,,0.0,,5.0,3.0,2.0,,1.0,1.0,1.0,0.0,5.0,,3.0,67.6,31.0,3.0,2.0,4.0,10.0,61.0,9.0,1.0,608.0,14.0,15.0,21.0,8.0,24.0,4.0,5.0,379.0,8.0,18.0,16.0,134.0,39.0,,3.0,2.0,29.0,17.0,3.0,15.0,3.0,9.0,,,,,,2.0,,,,,,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,360702,2012-02-04 17:30:00,"Etihad Stadium, Manchester",46963,Home,Manchester City,Fulham,3,0,W,2,0,0,0,1.0,2.0,65.0,,3.0,4.0,16.0,18.0,6.0,8.0,1.0,1.0,161.0,5.0,7.0,3.0,2.0,10.0,,1.0,4.0,137.0,124.0,40.0,1.0,16.0,3.0,4.0,2.0,2.0,1.0,,1.0,1.0,1.0,,18.0,,10.0,,10.0,3.0,21.0,21.0,223.0,,1.0,,0.0,147.0,10.0,2.0,2.0,,,1.0,,,77.0,43.0,7.0,81.0,3.0,15.0,1.0,,4.0,116.0,1.0,4.0,128.0,696.0,9.0,3.0,,,23.0,20.0,3.0,9.0,1.0,1.0,1.0,3.0,3.0,11.0,50.0,,7551,8.0,224.0,,11.0,,232.0,1.0,3.0,5.0,39.0,8.0,1.0,6.0,1.0,10.0,9.0,4.0,2.0,30.0,442.0,7.0,7.0,,13.0,68.0,2.0,,0.0,,5.0,6.0,2.0,3.0,,,,0.0,5.0,1.0,,46.9,10.0,3.0,1.0,6.0,7.0,41.0,4.0,,507.0,19.0,10.0,11.0,5.0,17.0,,2.0,293.0,8.0,21.0,8.0,120.0,32.0,2.0,3.0,5.0,18.0,13.0,3.0,17.0,3.0,4.0,2.0,,,,,3.0,,2.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
25,360709,2012-02-12 16:00:00,"Villa Park, Birmingham",35132,Away,Manchester City,Aston Villa,1,0,W,0,0,0,0,3.0,1.0,65.0,,,1.0,32.0,26.0,7.0,7.0,,3.0,211.0,6.0,12.0,1.0,4.0,15.0,1.0,,7.0,163.0,183.0,63.0,1.0,18.0,2.0,21.0,3.0,,1.0,1.0,1.0,,3.0,1.0,24.0,,12.0,3.0,11.0,6.0,33.0,34.0,255.0,3.0,1.0,,0.0,162.0,6.0,1.0,,,,2.0,1.0,1.0,89.0,79.0,9.0,71.0,2.0,18.0,1.0,,2.0,168.0,2.0,5.0,136.0,796.0,12.0,4.0,,1.0,9.0,15.0,4.0,14.0,1.0,1.0,0.0,3.0,6.0,29.0,78.0,1.0,7551,3.0,225.0,1.0,15.0,1.0,257.0,1.0,2.0,5.0,51.0,6.0,2.0,5.0,,11.0,4.0,1.0,1.0,53.0,474.0,15.0,4.0,2.0,30.0,95.0,,,0.0,,3.0,5.0,3.0,1.0,1.0,,1.0,0.0,3.0,1.0,2.0,63.9,26.0,5.0,2.0,5.0,3.0,55.0,8.0,1.0,581.0,8.0,13.0,17.0,8.0,15.0,3.0,5.0,348.0,9.0,30.0,18.0,115.0,36.0,,3.0,3.0,18.0,12.0,3.0,19.0,3.0,8.0,,1.0,,,1.0,2.0,1.0,,,,1.0,,,2.0,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,
26,360722,2012-02-25 17:30:00,"Etihad Stadium, Manchester",46782,Home,Manchester City,Blackburn Rovers,3,0,W,1,0,0,0,3.0,3.0,48.0,1.0,1.0,4.0,65.0,19.0,6.0,13.0,1.0,3.0,197.0,11.0,7.0,3.0,5.0,25.0,1.0,2.0,9.0,202.0,115.0,42.0,1.0,28.0,3.0,6.0,4.0,2.0,3.0,,2.0,2.0,2.0,3.0,35.0,,10.0,2.0,9.0,7.0,37.0,48.0,434.0,,1.0,,0.0,243.0,8.0,1.0,2.0,,,,3.0,,147.0,143.0,14.0,128.0,7.0,28.0,1.0,,6.0,105.0,3.0,1.0,221.0,944.0,20.0,2.0,,,17.0,17.0,2.0,16.0,2.0,2.0,0.0,4.0,11.0,20.0,81.0,1.0,7551,10.0,269.0,2.0,19.0,,277.0,1.0,2.0,4.0,25.0,5.0,2.0,11.0,2.0,8.0,4.0,3.0,1.0,75.0,692.0,10.0,1.0,3.0,11.0,88.0,2.0,3.0,0.0,1.0,2.0,3.0,,3.0,,,1.0,0.0,7.0,2.0,2.0,77.7,20.0,4.0,2.0,11.0,7.0,71.0,10.0,,748.0,12.0,6.0,38.0,12.0,25.0,4.0,10.0,506.0,12.0,37.0,12.0,208.0,16.0,3.0,1.0,7.0,13.0,22.0,3.0,13.0,1.0,10.0,2.0,,,,,2.0,,,,,,,5.0,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
