gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,handBall,penaltySave,attFreekickTotal,cleanSheet,attSvLowLeft,freekickTotal,attLgCentre,attMissHighLeft,penaltyConceded,overrun,attHdTotal,attHdMiss,penaltyFaced,attIboxMiss,attIboxBlocked,attCmissRight,attBxRight,postScoringAtt,goodHighClaim,interceptionsInBox,bigChanceCreated,attHdTarget,hitWoodwork,bigChanceMissed,attMissHigh,attCmissLeft,attOboxPost,attPostHigh,attSvHighCentre,totalHighClaim,accurateCornersIntobox,attFreekickPost,attCmissHigh,clearanceOffLine,attFreekickMiss,bigChanceScored,attGoalLowRight,goalAssistSetplay,goals,goalAssistOpenplay,goalFastbreak,penaltyWon,midfielderGoals,attGoalHighCentre,goalAssist,attRfGoal,goalsOpenplay,attPenGoal,attIboxGoal,forwardGoals,attHdGoal,goalAssistDeadball,sixYardBlock,attSetpiece,defenderGoals,goalAssistIntentional,attGoalLowLeft,attOboxGoal,attLfGoal,attSvHighRight,attGoalLowCentre,accuratePullBack,attIboxPost,attHdPost,errorLeadToShot,ownGoals,attIboxOwnGoal,punches,attGoalHighRight,secondYellow,penGoalsConceded,attPostLeft,attCmissHighLeft,attCmissHighRight,foulThrowIn,attObxLeft,attSvHighLeft,attGoalHighLeft,attFreekickTarget,attPostRight,attFreekickGoal,attPenTarget,attLgRight
11,360574,2011-11-05 15:00:00,"Anfield, Liverpool",45013,Away,Swansea City,Liverpool,0,0,D,0,0,0,0,,2.0,57.0,1.0,29.0,45.0,8.0,4.0,1.0,136.0,4.0,8.0,3.0,8.0,3.0,135.0,136.0,46.0,12.0,1.0,11.0,1.0,,,3.0,1.0,17.0,14.0,2.0,32.0,4.0,27.0,33.0,146.0,1.0,0.0,77.0,5.0,3.0,,2.0,42.0,66.0,5.0,71.0,2.0,14.0,3.0,5.0,123.0,15.0,129.0,695.0,7.0,2.0,25.0,28.0,4.0,13.0,,2.0,8.0,3.0,17.0,39.0,1.0,,73459,2.0,262.0,9.0,285.0,,14.0,40.0,3.0,4.0,11.0,13.0,10.0,6.0,51.0,404.0,13.0,11.0,1.0,17.0,82.0,,,0.0,11.0,4.0,,,0.0,2.0,,47.7,15.0,1.0,1.0,11.0,3.0,50.0,4.0,471.0,17.0,12.0,15.0,6.0,11.0,203.0,8.0,27.0,6.0,51.0,17.0,5.0,8.0,19.0,,11.0,2.0,9.0,,5.0,4.0,,,1.0,1.0,,1.0,,,,3.0,,,,1.0,2.0,2.0,1.0,,5.0,,1.0,,,2.0,2.0,,,,,5.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
12,360585,2011-11-19 17:30:00,"Liberty Stadium, Swansea",20295,Home,Swansea City,Manchester United,0,1,L,0,1,0,0,,1.0,77.0,3.0,40.0,17.0,5.0,5.0,,170.0,5.0,12.0,2.0,7.0,1.0,141.0,157.0,51.0,10.0,2.0,9.0,1.0,,,,2.0,28.0,14.0,,10.0,6.0,24.0,29.0,232.0,1.0,0.0,146.0,6.0,2.0,,1.0,67.0,94.0,5.0,97.0,1.0,22.0,6.0,3.0,150.0,4.0,155.0,777.0,6.0,5.0,24.0,35.0,6.0,9.0,,0.0,3.0,2.0,14.0,49.0,,,73459,3.0,260.0,15.0,285.0,1.0,10.0,48.0,7.0,1.0,8.0,16.0,9.0,7.0,53.0,487.0,8.0,3.0,1.0,14.0,63.0,,,0.0,2.0,1.0,1.0,1.0,0.0,2.0,,50.0,14.0,1.0,1.0,8.0,5.0,44.0,6.0,563.0,19.0,18.0,20.0,4.0,18.0,306.0,4.0,22.0,12.0,112.0,31.0,3.0,5.0,19.0,1.0,9.0,2.0,24.0,1.0,3.0,6.0,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,3.0,,1.0,,1.0,,,,,1.0,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,360597,2011-11-27 13:30:00,"Liberty Stadium, Swansea",20404,Home,Swansea City,Aston Villa,0,0,D,0,0,0,0,,1.0,48.0,1.0,26.0,29.0,3.0,2.0,,164.0,1.0,9.0,,7.0,1.0,143.0,152.0,49.0,7.0,,12.0,1.0,1.0,,1.0,2.0,18.0,14.0,,16.0,4.0,27.0,27.0,213.0,,0.0,137.0,9.0,1.0,,,66.0,57.0,3.0,101.0,2.0,15.0,7.0,3.0,139.0,7.0,158.0,754.0,7.0,3.0,15.0,28.0,,17.0,1.0,3.0,5.0,4.0,21.0,51.0,,,73459,1.0,281.0,7.0,298.0,,13.0,57.0,3.0,,5.0,9.0,5.0,5.0,49.0,493.0,16.0,11.0,,21.0,81.0,1.0,,0.0,6.0,1.0,,,0.0,1.0,,63.0,17.0,,2.0,5.0,2.0,44.0,4.0,566.0,13.0,16.0,15.0,4.0,17.0,286.0,5.0,25.0,7.0,100.0,15.0,,11.0,17.0,,,3.0,18.0,,,4.0,,,,1.0,,,,,,3.0,,,,1.0,2.0,1.0,,,3.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14,360600,2011-12-03 15:00:00,"Ewood Park, Blackburn",23080,Away,Swansea City,Blackburn Rovers,2,4,L,1,2,1,0,,,56.0,,50.0,22.0,3.0,,2.0,170.0,4.0,14.0,3.0,9.0,4.0,213.0,146.0,51.0,10.0,1.0,8.0,1.0,,,2.0,2.0,21.0,15.0,1.0,10.0,3.0,47.0,24.0,280.0,2.0,0.0,151.0,13.0,,,1.0,115.0,84.0,4.0,95.0,,18.0,5.0,1.0,134.0,9.0,216.0,876.0,8.0,2.0,5.0,23.0,2.0,15.0,,0.0,4.0,5.0,19.0,53.0,,,73459,2.0,342.0,12.0,368.0,1.0,11.0,56.0,,,6.0,11.0,6.0,10.0,62.0,618.0,12.0,8.0,,7.0,79.0,,,0.0,3.0,1.0,4.0,1.0,1.0,3.0,,68.4,18.0,4.0,3.0,6.0,1.0,60.0,4.0,694.0,5.0,14.0,11.0,5.0,13.0,347.0,9.0,44.0,3.0,123.0,23.0,,5.0,22.0,4.0,9.0,2.0,27.0,,,4.0,,,,,,,,,1.0,1.0,1.0,,1.0,4.0,,,,,2.0,,2.0,,,1.0,1.0,2.0,,,,2.0,1.0,,,,,2.0,1.0,,2.0,1.0,,,,,1.0,1.0,2.0,,2.0,2.0,1.0,,,,,1.0,,,,,,1.0,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,
15,360617,2011-12-10 15:00:00,"Liberty Stadium, Swansea",19296,Home,Swansea City,Fulham,2,0,W,0,0,0,0,,2.0,58.0,1.0,35.0,16.0,8.0,2.0,1.0,141.0,6.0,5.0,4.0,11.0,5.0,156.0,127.0,32.0,17.0,3.0,9.0,3.0,,,1.0,2.0,21.0,12.0,,5.0,5.0,36.0,29.0,207.0,,0.0,109.0,8.0,4.0,,,71.0,66.0,5.0,102.0,4.0,16.0,7.0,4.0,116.0,7.0,145.0,724.0,8.0,1.0,10.0,22.0,3.0,4.0,,1.0,1.0,6.0,21.0,48.0,1.0,,73459,6.0,289.0,9.0,305.0,,8.0,38.0,1.0,2.0,5.0,21.0,6.0,7.0,50.0,490.0,7.0,4.0,1.0,4.0,68.0,,2.0,0.0,5.0,6.0,,,0.0,4.0,2.0,56.6,17.0,2.0,1.0,5.0,3.0,46.0,6.0,544.0,8.0,9.0,15.0,9.0,12.0,260.0,13.0,35.0,4.0,90.0,27.0,1.0,,16.0,,9.0,3.0,13.0,,1.0,6.0,,1.0,3.0,1.0,,3.0,,1.0,1.0,2.0,2.0,2.0,1.0,4.0,,3.0,,1.0,,2.0,,,1.0,,1.0,,1.0,,,,2.0,,1.0,,1.0,,,2.0,2.0,,,,1.0,,2.0,2.0,,,2.0,1.0,,1.0,,,,1.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,
16,360624,2011-12-17 15:00:00,"St. James' Park, Newcastle",51767,Away,Swansea City,Newcastle United,0,0,D,0,0,0,0,,,62.0,,22.0,42.0,2.0,1.0,,155.0,2.0,5.0,,2.0,,95.0,157.0,55.0,3.0,,14.0,,,,,1.0,9.0,21.0,,21.0,1.0,30.0,49.0,164.0,1.0,0.0,83.0,11.0,2.0,,,54.0,59.0,,105.0,1.0,8.0,4.0,2.0,136.0,13.0,112.0,668.0,2.0,8.0,12.0,26.0,1.0,16.0,,1.0,5.0,2.0,20.0,52.0,,,73459,,225.0,3.0,261.0,,14.0,57.0,,3.0,4.0,10.0,9.0,9.0,40.0,387.0,12.0,6.0,,6.0,76.0,,,0.0,9.0,3.0,,,0.0,2.0,,50.7,17.0,4.0,1.0,4.0,,56.0,1.0,467.0,9.0,15.0,26.0,3.0,10.0,215.0,2.0,30.0,9.0,56.0,24.0,8.0,5.0,29.0,,,2.0,16.0,,8.0,1.0,,,,1.0,,,,,,2.0,,,,1.0,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
17,360635,2011-12-21 20:00:00,"Goodison Park, Liverpool",32004,Away,Swansea City,Everton,0,1,L,0,0,0,0,,,51.0,,38.0,31.0,3.0,1.0,,163.0,2.0,6.0,2.0,4.0,1.0,128.0,150.0,41.0,5.0,3.0,17.0,1.0,,,1.0,,11.0,14.0,,17.0,1.0,34.0,39.0,155.0,,0.0,110.0,14.0,1.0,,2.0,38.0,84.0,4.0,87.0,,10.0,3.0,,136.0,10.0,107.0,664.0,4.0,11.0,11.0,23.0,5.0,10.0,,2.0,3.0,,22.0,60.0,,1.0,73459,1.0,245.0,5.0,269.0,,12.0,52.0,2.0,1.0,9.0,14.0,5.0,8.0,56.0,398.0,8.0,6.0,,13.0,75.0,,,0.0,9.0,3.0,1.0,4.0,0.0,2.0,3.0,54.4,19.0,1.0,,9.0,4.0,44.0,2.0,485.0,9.0,9.0,17.0,,10.0,227.0,3.0,33.0,11.0,71.0,19.0,3.0,6.0,16.0,1.0,4.0,3.0,13.0,,3.0,2.0,1.0,,,,,,,,,2.0,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,360647,2011-12-27 17:00:00,"Liberty Stadium, Swansea",19530,Home,Swansea City,Queens Park Rangers,1,1,D,1,0,0,0,,,58.0,2.0,32.0,35.0,3.0,1.0,2.0,159.0,5.0,6.0,,7.0,3.0,109.0,150.0,37.0,8.0,1.0,9.0,1.0,,1.0,,,23.0,9.0,1.0,18.0,4.0,34.0,29.0,206.0,1.0,0.0,92.0,9.0,1.0,,,50.0,87.0,4.0,106.0,1.0,19.0,4.0,,133.0,8.0,120.0,702.0,4.0,4.0,19.0,22.0,1.0,16.0,1.0,1.0,4.0,3.0,23.0,52.0,1.0,,73459,3.0,236.0,14.0,251.0,,9.0,46.0,2.0,3.0,3.0,15.0,6.0,5.0,42.0,437.0,12.0,1.0,3.0,4.0,86.0,,,0.0,11.0,1.0,1.0,3.0,0.0,2.0,,55.8,17.0,2.0,1.0,3.0,2.0,63.0,5.0,494.0,18.0,23.0,17.0,3.0,15.0,266.0,5.0,33.0,5.0,67.0,29.0,2.0,9.0,14.0,1.0,,2.0,10.0,,2.0,5.0,,,,,2.0,,,1.0,,1.0,2.0,2.0,,3.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,3.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,,,,,,,,
19,360657,2011-12-31 15:00:00,"Liberty Stadium, Swansea",20393,Home,Swansea City,Tottenham Hotspur,1,1,D,0,1,0,0,,1.0,58.0,2.0,45.0,12.0,4.0,1.0,2.0,172.0,4.0,5.0,1.0,11.0,4.0,160.0,138.0,41.0,13.0,2.0,9.0,1.0,,2.0,1.0,3.0,25.0,20.0,2.0,6.0,10.0,27.0,34.0,237.0,,0.0,123.0,8.0,3.0,,1.0,55.0,79.0,5.0,101.0,1.0,15.0,2.0,1.0,132.0,5.0,135.0,737.0,9.0,4.0,12.0,23.0,3.0,2.0,2.0,1.0,,6.0,19.0,60.0,1.0,,73459,5.0,258.0,12.0,273.0,,8.0,49.0,3.0,2.0,8.0,7.0,5.0,7.0,60.0,491.0,4.0,10.0,2.0,7.0,77.0,,,0.0,5.0,2.0,1.0,1.0,0.0,1.0,,55.8,18.0,3.0,1.0,8.0,3.0,54.0,10.0,568.0,7.0,10.0,18.0,6.0,15.0,320.0,10.0,25.0,6.0,82.0,24.0,3.0,1.0,26.0,1.0,10.0,3.0,17.0,,3.0,10.0,,,,,1.0,,,2.0,,1.0,2.0,2.0,,5.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,1.0,,,,,,2.0,3.0,,,,,1.0,,,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,
20,360659,2012-01-02 15:00:00,"Villa Park, Birmingham",35642,Away,Swansea City,Aston Villa,2,0,W,1,0,0,0,,2.0,56.0,,27.0,65.0,2.0,6.0,1.0,165.0,,7.0,,6.0,5.0,115.0,172.0,36.0,9.0,,17.0,3.0,,,3.0,1.0,4.0,9.0,,37.0,,40.0,27.0,151.0,,0.0,91.0,6.0,,,,48.0,53.0,3.0,93.0,2.0,4.0,2.0,2.0,144.0,10.0,95.0,690.0,6.0,1.0,18.0,30.0,4.0,30.0,,4.0,3.0,3.0,20.0,51.0,3.0,,73459,5.0,227.0,2.0,259.0,2.0,15.0,52.0,6.0,1.0,3.0,10.0,1.0,7.0,46.0,378.0,10.0,5.0,,10.0,78.0,,,0.0,14.0,1.0,,,0.0,,1.0,49.6,15.0,,,3.0,,43.0,,468.0,13.0,18.0,8.0,4.0,11.0,213.0,3.0,38.0,4.0,60.0,22.0,11.0,19.0,15.0,,9.0,2.0,13.0,,11.0,,,,,1.0,,,,,,2.0,,,,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,,1.0,,,,1.0,,,,,,1.0,1.0,,2.0,,,,2.0,,,1.0,2.0,,2.0,,,,,,,,1.0,,1.0,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,
21,360675,2012-01-15 16:00:00,"Liberty Stadium, Swansea",20409,Home,Swansea City,Arsenal,3,2,W,1,1,0,0,,1.0,70.0,1.0,30.0,24.0,6.0,3.0,,173.0,4.0,13.0,4.0,7.0,4.0,117.0,181.0,52.0,10.0,2.0,5.0,1.0,,,,,24.0,22.0,,14.0,8.0,36.0,34.0,173.0,,0.0,111.0,9.0,2.0,,2.0,46.0,91.0,4.0,97.0,4.0,16.0,4.0,4.0,171.0,13.0,140.0,744.0,5.0,3.0,15.0,23.0,4.0,4.0,,0.0,5.0,3.0,27.0,50.0,4.0,1.0,73459,1.0,255.0,10.0,285.0,,9.0,45.0,7.0,4.0,5.0,13.0,5.0,6.0,47.0,424.0,9.0,12.0,,12.0,68.0,,,0.0,2.0,5.0,2.0,1.0,0.0,2.0,1.0,55.3,21.0,6.0,,5.0,2.0,34.0,9.0,527.0,10.0,12.0,14.0,4.0,15.0,266.0,7.0,34.0,4.0,67.0,34.0,,2.0,26.0,2.0,7.0,3.0,20.0,,,9.0,,,1.0,,,1.0,,,,3.0,,,,,,,3.0,,,,1.0,,,,,,,,1.0,,2.0,,,1.0,,2.0,1.0,,3.0,2.0,,1.0,2.0,,2.0,3.0,2.0,1.0,3.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,
22,360687,2012-01-21 15:00:00,"Stadium of Light, Sunderland",36904,Away,Swansea City,Sunderland,0,2,L,0,1,0,0,1.0,1.0,55.0,1.0,48.0,23.0,11.0,4.0,2.0,182.0,3.0,14.0,3.0,13.0,3.0,181.0,158.0,45.0,16.0,5.0,3.0,2.0,,,1.0,2.0,23.0,11.0,1.0,14.0,4.0,26.0,40.0,279.0,2.0,0.0,141.0,6.0,,,,96.0,82.0,6.0,106.0,1.0,19.0,9.0,5.0,149.0,9.0,208.0,885.0,13.0,1.0,12.0,27.0,6.0,9.0,,0.0,6.0,7.0,27.0,64.0,3.0,,88821,2.0,317.0,10.0,348.0,,7.0,42.0,4.0,,3.0,11.0,6.0,7.0,60.0,593.0,10.0,5.0,,15.0,76.0,,2.0,0.0,2.0,,2.0,1.0,0.0,2.0,,69.1,26.0,2.0,1.0,3.0,6.0,55.0,4.0,677.0,5.0,16.0,23.0,7.0,20.0,352.0,11.0,26.0,6.0,105.0,23.0,4.0,5.0,15.0,1.0,14.0,2.0,26.0,,4.0,4.0,,,2.0,,,2.0,,,,4.0,1.0,1.0,,2.0,1.0,1.0,,,,,2.0,,,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,
23,360692,2012-01-31 19:45:00,"Liberty Stadium, Swansea",20526,Home,Swansea City,Chelsea,1,1,D,1,0,0,1,,2.0,60.0,2.0,26.0,34.0,3.0,4.0,2.0,150.0,2.0,11.0,,3.0,5.0,102.0,159.0,66.0,8.0,,5.0,1.0,,,,1.0,7.0,21.0,3.0,15.0,,20.0,32.0,154.0,,0.0,78.0,10.0,3.0,,,41.0,63.0,2.0,78.0,1.0,7.0,2.0,,140.0,10.0,113.0,647.0,2.0,4.0,16.0,23.0,2.0,22.0,,2.0,6.0,1.0,17.0,51.0,1.0,,73459,4.0,208.0,3.0,238.0,,11.0,44.0,2.0,3.0,6.0,15.0,10.0,6.0,50.0,360.0,22.0,5.0,1.0,14.0,77.0,,3.0,0.0,11.0,2.0,1.0,,0.0,2.0,,46.2,14.0,3.0,,6.0,1.0,46.0,1.0,443.0,9.0,16.0,15.0,2.0,9.0,212.0,3.0,19.0,5.0,48.0,27.0,6.0,10.0,28.0,1.0,,2.0,19.0,,6.0,1.0,,,,,1.0,,,,,2.0,,,,2.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,3.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
24,360707,2012-02-04 15:00:00,"The Hawthorns, West Bromwich",24274,Away,Swansea City,West Bromwich Albion,2,1,W,0,0,0,0,,,48.0,3.0,43.0,39.0,7.0,1.0,,179.0,4.0,2.0,2.0,9.0,2.0,168.0,154.0,44.0,16.0,3.0,1.0,,,,,4.0,24.0,16.0,,27.0,5.0,41.0,24.0,224.0,,0.0,95.0,5.0,2.0,,1.0,52.0,84.0,5.0,114.0,1.0,19.0,9.0,4.0,142.0,14.0,173.0,843.0,5.0,7.0,22.0,21.0,5.0,14.0,,1.0,4.0,4.0,20.0,42.0,2.0,,88821,8.0,327.0,9.0,361.0,,8.0,31.0,4.0,2.0,5.0,10.0,7.0,3.0,56.0,547.0,11.0,9.0,2.0,19.0,81.0,,,0.0,8.0,3.0,1.0,4.0,0.0,2.0,1.0,63.4,19.0,1.0,1.0,5.0,7.0,52.0,6.0,634.0,16.0,13.0,10.0,7.0,16.0,297.0,14.0,40.0,8.0,71.0,21.0,4.0,8.0,23.0,1.0,13.0,1.0,6.0,,4.0,7.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,,3.0,4.0,1.0,,,3.0,,2.0,,,2.0,2.0,2.0,,,,3.0,2.0,,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,,,1.0,,2.0,1.0,2.0,,2.0,1.0,,,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
25,360716,2012-02-11 15:00:00,"Liberty Stadium, Swansea",19927,Home,Swansea City,Norwich City,2,3,L,1,0,0,0,,,47.0,2.0,43.0,26.0,6.0,3.0,1.0,188.0,8.0,5.0,2.0,12.0,4.0,118.0,165.0,43.0,17.0,4.0,16.0,1.0,,,,2.0,28.0,8.0,1.0,16.0,6.0,23.0,17.0,206.0,1.0,0.0,125.0,6.0,5.0,,2.0,44.0,65.0,7.0,90.0,1.0,22.0,13.0,1.0,155.0,10.0,113.0,725.0,8.0,14.0,18.0,19.0,12.0,10.0,,0.0,1.0,5.0,20.0,84.0,2.0,,88821,6.0,223.0,7.0,252.0,,10.0,42.0,4.0,1.0,2.0,21.0,6.0,3.0,68.0,421.0,11.0,3.0,3.0,39.0,85.0,,,0.0,8.0,4.0,3.0,5.0,0.0,4.0,1.0,55.3,19.0,1.0,2.0,2.0,7.0,52.0,6.0,509.0,15.0,16.0,11.0,6.0,22.0,285.0,11.0,22.0,14.0,84.0,18.0,4.0,4.0,13.0,3.0,10.0,3.0,6.0,,4.0,6.0,,,1.0,,,1.0,,,,,3.0,1.0,,4.0,3.0,,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,4.0,,,,,2.0,,,2.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,2.0,2.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,
26,360726,2012-02-26 15:00:00,"bet365 Stadium, Stoke",26678,Away,Swansea City,Stoke City,0,2,L,0,2,0,0,,,62.0,,35.0,26.0,5.0,2.0,1.0,187.0,5.0,8.0,5.0,8.0,2.0,144.0,168.0,55.0,9.0,1.0,15.0,1.0,,,1.0,2.0,19.0,16.0,1.0,17.0,1.0,28.0,31.0,271.0,,0.0,157.0,8.0,,,3.0,69.0,93.0,4.0,120.0,1.0,18.0,6.0,3.0,159.0,8.0,166.0,829.0,7.0,2.0,7.0,29.0,7.0,11.0,,0.0,3.0,4.0,36.0,52.0,1.0,1.0,88821,4.0,256.0,9.0,297.0,,9.0,55.0,6.0,,5.0,15.0,1.0,8.0,50.0,522.0,14.0,4.0,1.0,21.0,73.0,,,0.0,8.0,,2.0,,0.0,5.0,3.0,73.6,31.0,3.0,,5.0,2.0,53.0,4.0,617.0,4.0,18.0,17.0,5.0,28.0,339.0,6.0,25.0,7.0,125.0,23.0,6.0,7.0,26.0,2.0,7.0,2.0,18.0,,6.0,4.0,,,1.0,,,1.0,,,,1.0,1.0,,,2.0,1.0,,,,4.0,,2.0,1.0,1.0,2.0,2.0,2.0,,,1.0,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
27,360738,2012-03-03 15:00:00,"DW Stadium, Wigan",19001,Away,Swansea City,Wigan Athletic,2,0,W,1,0,1,0,,,50.0,,33.0,37.0,6.0,4.0,4.0,122.0,2.0,13.0,1.0,8.0,6.0,108.0,144.0,54.0,12.0,2.0,3.0,3.0,,,2.0,,13.0,14.0,1.0,25.0,3.0,22.0,28.0,137.0,2.0,0.0,84.0,8.0,,,2.0,40.0,62.0,6.0,56.0,1.0,10.0,1.0,1.0,132.0,9.0,98.0,618.0,7.0,7.0,22.0,20.0,7.0,10.0,,2.0,6.0,2.0,23.0,40.0,3.0,1.0,88821,3.0,172.0,7.0,200.0,,16.0,33.0,5.0,2.0,6.0,8.0,7.0,8.0,49.0,307.0,14.0,1.0,,21.0,69.0,,,0.0,9.0,2.0,,2.0,1.0,2.0,,48.9,21.0,1.0,,6.0,2.0,42.0,3.0,384.0,15.0,12.0,20.0,4.0,12.0,197.0,7.0,22.0,5.0,52.0,18.0,5.0,4.0,22.0,,9.0,2.0,22.0,,5.0,3.0,,,1.0,1.0,2.0,1.0,,,,3.0,1.0,1.0,,3.0,,1.0,2.0,,5.0,1.0,1.0,,,1.0,1.0,,,,,6.0,,,1.0,,,,1.0,,2.0,1.0,,,2.0,,1.0,2.0,1.0,,,,,,,2.0,,,,2.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,
28,360747,2012-03-11 14:00:00,"Liberty Stadium, Swansea",20510,Home,Swansea City,Manchester City,1,0,W,0,0,0,0,,,52.0,1.0,40.0,21.0,4.0,1.0,3.0,180.0,4.0,3.0,1.0,10.0,5.0,130.0,148.0,41.0,12.0,1.0,5.0,2.0,,,1.0,3.0,24.0,11.0,2.0,13.0,5.0,24.0,34.0,203.0,,0.0,110.0,9.0,4.0,,,43.0,110.0,6.0,95.0,1.0,19.0,3.0,2.0,140.0,15.0,130.0,735.0,7.0,4.0,23.0,19.0,1.0,8.0,,0.0,8.0,4.0,27.0,56.0,,,88821,5.0,257.0,16.0,283.0,,8.0,39.0,,2.0,9.0,14.0,7.0,5.0,52.0,456.0,14.0,6.0,2.0,12.0,72.0,,,0.0,9.0,5.0,,,0.0,2.0,1.0,55.4,25.0,,,9.0,2.0,52.0,7.0,535.0,16.0,10.0,26.0,5.0,10.0,276.0,7.0,24.0,10.0,79.0,22.0,4.0,4.0,14.0,,8.0,2.0,12.0,,4.0,7.0,,,,1.0,2.0,,,,,1.0,3.0,1.0,,3.0,1.0,1.0,,,3.0,,1.0,1.0,,1.0,1.0,,,,1.0,3.0,2.0,,,,,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
