matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
803391,23,2016-01-23 15:00:00,"Selhurst Park, London",24867,Home,Crystal Palace,Spurs,1,3,L,1,0,0,0,1.0,11.0,3.0,3.0,5.0,1.0,,1.0,2.0,,6.0,4.0,31.0,69.0,290.0,193.0,36.1,22.0,19.0,27.0,24.0,18.0,22.0,7.0,,,15.0,11.0,161.0,8.0,3.0,,,56.0,61.0,15.0,19.0,3.0,3.0,2.0,11.0,12.0,0.0,0.0,,,
803393,24,2016-02-02 20:00:00,"Selhurst Park, London",24855,Home,Crystal Palace,Bournemouth,1,2,L,1,1,0,0,1.0,14.0,3.0,6.0,5.0,2.0,1.0,1.0,,1.0,9.0,6.0,45.0,75.0,384.0,289.0,50.6,11.0,10.0,19.0,21.0,17.0,7.0,2.0,1.0,,4.0,5.0,162.0,2.0,2.0,,,57.0,42.0,21.0,11.0,5.0,5.0,2.0,11.0,13.0,0.0,0.0,,,3.0
803403,25,2016-02-06 15:00:00,"Swansea.com Stadium, Swansea",20492,Away,Crystal Palace,Swansea,1,1,D,0,1,0,0,1.0,12.0,2.0,6.0,4.0,1.0,1.0,,,1.0,10.0,5.0,25.0,69.0,336.0,241.0,41.5,22.0,16.0,25.0,35.0,27.0,17.0,7.0,1.0,,6.0,20.0,165.0,2.0,1.0,,,69.0,65.0,27.0,22.0,5.0,5.0,2.0,14.0,10.0,0.0,0.0,,,
803419,26,2016-02-13 15:00:00,"Selhurst Park, London",24564,Home,Crystal Palace,Watford,1,2,L,1,1,1,0,1.0,15.0,5.0,8.0,2.0,1.0,,1.0,1.0,1.0,9.0,4.0,38.0,72.0,384.0,279.0,53.9,18.0,13.0,18.0,24.0,21.0,13.0,2.0,,,7.0,23.0,195.0,2.0,2.0,,,72.0,70.0,31.0,17.0,8.0,8.0,,16.0,11.0,0.0,0.0,,,6.0
803426,27,2016-02-27 17:30:00,"The Hawthorns, West Bromwich",24806,Away,Crystal Palace,West Brom,2,3,L,0,3,0,0,2.0,15.0,2.0,8.0,5.0,1.0,1.0,,,1.0,8.0,4.0,39.0,57.0,427.0,307.0,53.9,11.0,9.0,14.0,16.0,10.0,14.0,1.0,,,9.0,7.0,186.0,2.0,3.0,,,59.0,69.0,27.0,29.0,6.0,6.0,5.0,16.0,14.0,0.0,0.0,,,1.0
803433,28,2016-03-01 19:45:00,"Stadium of Light, Sunderland",39795,Away,Crystal Palace,Sunderland,2,2,D,0,1,0,0,2.0,13.0,5.0,4.0,4.0,,,,,1.0,11.0,7.0,29.0,71.0,293.0,192.0,40.8,13.0,11.0,19.0,24.0,20.0,10.0,4.0,,,9.0,11.0,168.0,4.0,2.0,,,49.0,60.0,18.0,23.0,5.0,5.0,2.0,14.0,8.0,0.0,0.0,,,3.0
803446,29,2016-03-06 13:30:00,"Selhurst Park, London",24709,Home,Crystal Palace,Liverpool,1,2,L,0,0,0,1,1.0,14.0,4.0,6.0,4.0,1.0,,2.0,1.0,,8.0,3.0,34.0,74.0,342.0,230.0,38.5,13.0,7.0,20.0,17.0,14.0,15.0,8.0,,1.0,8.0,11.0,176.0,3.0,2.0,,,54.0,63.0,17.0,20.0,6.0,6.0,2.0,12.0,15.0,0.0,0.0,,,3.0
803453,30,2016-04-20 20:00:00,"Old Trafford, Manchester",75277,Away,Crystal Palace,Man Utd,0,2,L,0,1,0,0,,5.0,,1.0,4.0,,,,,,3.0,2.0,14.0,50.0,321.0,247.0,33.7,23.0,19.0,31.0,20.0,16.0,19.0,3.0,,,11.0,18.0,135.0,9.0,2.0,,1.0,56.0,56.0,9.0,9.0,2.0,2.0,,7.0,12.0,0.0,0.0,,,1.0
803465,31,2016-03-19 15:00:00,"Selhurst Park, London",25041,Home,Crystal Palace,Leicester,0,1,L,0,1,0,0,,13.0,4.0,7.0,2.0,1.0,,1.0,1.0,,12.0,6.0,38.0,71.0,428.0,325.0,55.9,15.0,12.0,19.0,26.0,18.0,10.0,2.0,,,13.0,16.0,194.0,2.0,1.0,,,73.0,75.0,28.0,25.0,10.0,10.0,1.0,9.0,13.0,0.0,0.0,,,
803473,32,2016-04-02 15:00:00,"Boleyn Ground, London",34857,Away,Crystal Palace,West Ham,2,2,D,1,2,0,1,2.0,12.0,5.0,4.0,3.0,2.0,2.0,2.0,,,6.0,3.0,27.0,60.0,227.0,155.0,33.4,18.0,9.0,14.0,22.0,17.0,14.0,6.0,,,15.0,7.0,138.0,4.0,2.0,,,55.0,59.0,19.0,18.0,5.0,5.0,1.0,19.0,11.0,0.0,0.0,,,5.0
803489,33,2016-04-09 15:00:00,"Selhurst Park, London",24960,Home,Crystal Palace,Norwich,1,0,W,0,0,0,0,1.0,13.0,7.0,5.0,1.0,2.0,,2.0,,1.0,12.0,7.0,35.0,71.0,315.0,187.0,52.0,11.0,11.0,26.0,23.0,17.0,8.0,3.0,,,9.0,4.0,186.0,4.0,,1.0,,60.0,55.0,28.0,31.0,10.0,10.0,,13.0,10.0,0.0,0.0,,,3.0
803493,34,2016-04-17 16:00:00,"Emirates Stadium, London",59961,Away,Crystal Palace,Arsenal,1,1,D,0,1,0,0,1.0,7.0,3.0,3.0,1.0,,,,,1.0,7.0,4.0,22.0,40.0,278.0,205.0,28.3,17.0,12.0,13.0,35.0,24.0,15.0,7.0,1.0,1.0,13.0,7.0,141.0,5.0,1.0,,,53.0,63.0,20.0,21.0,5.0,5.0,1.0,13.0,7.0,0.0,0.0,,,2.0
803504,35,2016-04-13 20:00:00,"Selhurst Park, London",23528,Home,Crystal Palace,Everton,0,0,D,0,0,0,1,,19.0,7.0,9.0,3.0,3.0,,3.0,,,17.0,8.0,52.0,68.0,510.0,422.0,56.9,23.0,21.0,15.0,30.0,24.0,19.0,2.0,,,9.0,9.0,162.0,5.0,,1.0,,61.0,47.0,21.0,15.0,10.0,10.0,1.0,7.0,9.0,0.0,0.0,,,
803514,36,2016-04-30 15:00:00,"St. James' Park, Newcastle",52107,Away,Crystal Palace,Newcastle,0,1,L,0,0,0,0,,9.0,3.0,5.0,1.0,,,1.0,,,4.0,1.0,34.0,82.0,399.0,289.0,50.5,18.0,16.0,21.0,21.0,14.0,13.0,3.0,,,14.0,18.0,187.0,3.0,1.0,,,57.0,75.0,20.0,23.0,8.0,8.0,,12.0,10.0,0.0,0.0,1.0,,1.0
803528,37,2016-05-07 15:00:00,"Selhurst Park, London",23990,Home,Crystal Palace,Stoke,2,1,W,0,1,0,0,2.0,17.0,4.0,6.0,7.0,2.0,1.0,1.0,1.0,1.0,12.0,8.0,34.0,75.0,390.0,295.0,57.8,8.0,7.0,24.0,10.0,8.0,7.0,2.0,1.0,,9.0,11.0,157.0,2.0,1.0,,,48.0,53.0,12.0,20.0,4.0,4.0,1.0,8.0,18.0,0.0,0.0,,,1.0
803534,38,2016-05-15 15:00:00,"St. Mary's Stadium, Southampton",31313,Away,Crystal Palace,Southampton,1,4,L,0,1,0,0,1.0,16.0,4.0,4.0,8.0,2.0,,2.0,,,8.0,7.0,31.0,59.0,401.0,314.0,50.2,11.0,9.0,19.0,19.0,13.0,16.0,2.0,,1.0,7.0,13.0,146.0,1.0,4.0,,,35.0,47.0,11.0,12.0,5.0,5.0,,14.0,7.0,0.0,0.0,,,1.0
