matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside,totalDistance
2562099,21,2026-01-07 19:30:00,"Selhurst Park, London",24841.0,Home,Crystal Palace,Aston Villa,0,0,D,0,0,0,0,0.0,11.0,5.0,2.0,4.0,1.5006,1.585,1.0,,3.0,,0.93503,,7.0,5.0,27.0,46.0,369.0,297.0,40.9,21.0,20.0,6.0,4.0,31.0,31.0,10.0,5.0,,,7.0,9.0,111.0,4.0,0.0,0.758,1.0,0.0,36.0,38.0,11.0,10.0,3.0,3.0,,8.0,3.0,0.0,0.0,,0.0,2.0,109217.25
2562112,22,2026-01-17 15:00:00,"Stadium of Light, Sunderland",47257.0,Away,Crystal Palace,Sunderland,1,2,L,1,1,0,0,1.0,6.0,2.0,2.0,2.0,0.6107,1.0447,2.0,,2.0,,0.987177,,4.0,3.0,26.0,62.0,339.0,255.0,42.7,16.0,12.0,7.0,9.0,36.0,36.0,13.0,1.0,1.0,,6.0,11.0,133.0,5.0,2.0,2.6411,,0.0,47.0,59.0,24.0,27.0,4.0,4.0,1.0,15.0,8.0,0.0,0.0,,0.0,2.0,109315.69
2562119,23,2026-01-25 14:00:00,"Selhurst Park, London",25163.0,Home,Crystal Palace,Chelsea,1,3,L,0,1,1,0,1.0,13.0,7.0,3.0,3.0,1.7713,1.9039,4.0,1.0,5.0,,0.844337,1.0,8.0,7.0,33.0,52.0,440.0,342.0,43.2,27.0,17.0,9.0,10.0,23.0,23.0,9.0,1.0,,1.0,6.0,10.0,145.0,2.0,3.0,1.693,,0.0,63.0,46.0,29.0,15.0,4.0,4.0,1.0,11.0,9.0,0.0,0.0,,0.0,2.0,110576.21
2562131,24,2026-02-01 14:00:00,"The City Ground, Nottingham",30334.0,Away,Crystal Palace,Nott'm Forest,1,1,D,1,1,0,1,1.0,14.0,3.0,8.0,3.0,1.8992,0.8169,1.0,1.0,1.0,,0.977706,,12.0,4.0,35.0,73.0,575.0,489.0,67.2,28.0,14.0,10.0,6.0,24.0,24.0,7.0,3.0,,,15.0,10.0,131.0,,1.0,0.8797,,0.0,37.0,63.0,20.0,20.0,7.0,7.0,,12.0,3.0,0.0,0.0,1.0,1.0,,113108.48
2562137,25,2026-02-08 14:00:00,"American Express Stadium, Falmer",31179.0,Away,Crystal Palace,Brighton,1,0,W,0,0,0,0,1.0,7.0,4.0,3.0,,1.157,0.8665,1.0,1.0,,,0.816019,1.0,5.0,3.0,24.0,58.0,311.0,217.0,36.2,25.0,21.0,11.0,10.0,33.0,33.0,12.0,2.0,2.0,,5.0,11.0,144.0,2.0,0.0,0.2412,1.0,0.0,57.0,53.0,17.0,22.0,4.0,4.0,1.0,9.0,12.0,0.0,0.0,,0.0,3.0,117047.54
2562148,26,2026-02-11 19:40:00,"Selhurst Park, London",,Home,Crystal Palace,Burnley,2,3,L,2,3,0,0,2.0,21.0,3.0,7.0,11.0,1.7969,1.0492,3.0,2.0,1.0,,2.08062,2.0,15.0,9.0,43.0,67.0,572.0,462.0,64.5,39.0,14.0,8.0,8.0,25.0,25.0,13.0,,1.0,1.0,5.0,11.0,164.0,1.0,3.0,1.5051,,1.0,51.0,55.0,28.0,23.0,8.0,8.0,1.0,11.0,8.0,0.0,0.0,,0.0,1.0,113987.78
2562158,27,2026-02-22 14:00:00,"Selhurst Park, London",24547.0,Home,Crystal Palace,Wolves,1,0,W,0,0,0,1,1.0,14.0,3.0,7.0,4.0,1.9976,1.4823,3.0,1.0,2.0,1.0,0.819382,1.0,8.0,4.0,39.0,61.0,425.0,340.0,60.6,23.0,15.0,12.0,7.0,31.0,31.0,5.0,3.0,,,10.0,8.0,145.0,7.0,0.0,2.0645,1.0,0.0,52.0,69.0,24.0,23.0,7.0,7.0,1.0,19.0,12.0,0.0,0.0,,0.0,,109622.22
2562172,28,2026-03-01 14:00:00,"Old Trafford, Manchester",73934.0,Away,Crystal Palace,Man Utd,1,2,L,1,0,1,0,1.0,8.0,3.0,3.0,2.0,0.3835,0.6893,,,,,0.303342,1.0,8.0,5.0,18.0,49.0,399.0,308.0,39.0,13.0,16.0,5.0,6.0,29.0,29.0,7.0,5.0,2.0,,7.0,8.0,128.0,9.0,2.0,2.3732,,0.0,45.0,57.0,13.0,24.0,1.0,1.0,1.0,12.0,13.0,0.0,0.0,,0.0,2.0,110163.48
2562183,29,2026-03-05 20:00:00,"Tottenham Hotspur Stadium, London",60213.0,Away,Crystal Palace,Spurs,3,1,W,3,1,0,1,3.0,9.0,4.0,2.0,3.0,1.7782,1.5444,2.0,3.0,,,0.917522,2.0,4.0,3.0,30.0,51.0,463.0,402.0,60.0,21.0,24.0,13.0,6.0,30.0,30.0,5.0,3.0,,,7.0,11.0,112.0,3.0,1.0,1.0932,,0.0,62.0,60.0,21.0,23.0,3.0,3.0,,14.0,14.0,0.0,0.0,1.0,1.0,1.0,109118.68
2562189,30,2026-03-15 14:00:00,"Selhurst Park, London",25155.0,Home,Crystal Palace,Leeds,0,0,D,0,0,0,1,0.0,12.0,,5.0,7.0,0.6737,,,,,,0.482667,,6.0,2.0,40.0,68.0,463.0,364.0,66.6,26.0,9.0,8.0,3.0,51.0,51.0,11.0,2.0,1.0,,4.0,8.0,153.0,3.0,0.0,0.3586,1.0,0.0,61.0,57.0,38.0,28.0,8.0,8.0,2.0,12.0,10.0,0.0,0.0,,0.0,5.0,110689.88
2562209,32,2026-04-12 14:00:00,"Selhurst Park, London",25141.0,Home,Crystal Palace,Newcastle,2,1,W,0,1,0,0,2.0,11.0,5.0,3.0,3.0,2.5629,3.2208,3.0,2.0,2.0,1.0,1.49137,1.0,6.0,3.0,19.0,60.0,380.0,303.0,41.2,21.0,21.0,13.0,12.0,41.0,41.0,21.0,3.0,1.0,1.0,8.0,3.0,124.0,2.0,1.0,1.2255,,0.0,49.0,48.0,16.0,18.0,2.0,2.0,2.0,17.0,11.0,0.0,0.0,1.0,1.0,1.0,116004.68
2562218,33,2026-04-20 20:00:00,"Selhurst Park, London",24974.0,Home,Crystal Palace,West Ham,0,0,D,0,0,0,0,0.0,9.0,1.0,7.0,1.0,0.7275,0.0491,1.0,,1.0,,0.599651,,8.0,2.0,45.0,60.0,454.0,370.0,54.2,18.0,13.0,10.0,5.0,41.0,41.0,11.0,3.0,,,10.0,10.0,149.0,3.0,0.0,0.1979,1.0,0.0,44.0,55.0,17.0,17.0,4.0,4.0,2.0,13.0,11.0,0.0,0.0,,0.0,,116889.19
2562230,34,2026-04-25 15:00:00,"Anfield, Liverpool",60314.0,Away,Crystal Palace,Liverpool,1,3,L,0,2,0,0,1.0,14.0,7.0,6.0,1.0,2.263,1.4792,5.0,,5.0,2.0,0.995868,,11.0,6.0,35.0,52.0,400.0,326.0,46.6,25.0,13.0,10.0,9.0,29.0,29.0,7.0,4.0,1.0,,4.0,5.0,114.0,,3.0,1.9257,,0.0,42.0,45.0,14.0,22.0,8.0,8.0,,10.0,9.0,0.0,0.0,,0.0,4.0,110334.04
2562235,35,2026-05-03 14:00:00,"Vitality Stadium, Bournemouth",11122.0,Away,Crystal Palace,Bournemouth,0,3,L,0,2,0,0,0.0,7.0,1.0,5.0,1.0,0.8924,0.0466,1.0,,1.0,1.0,0.920346,,6.0,2.0,26.0,50.0,405.0,314.0,50.2,21.0,22.0,9.0,4.0,31.0,31.0,8.0,6.0,2.0,1.0,15.0,10.0,140.0,3.0,3.0,1.9343,,1.0,54.0,63.0,16.0,19.0,1.0,1.0,1.0,11.0,10.0,0.0,0.0,,0.0,,114036.15
2562247,36,2026-05-10 14:00:00,"Selhurst Park, London",24958.0,Home,Crystal Palace,Everton,2,2,D,1,1,0,0,2.0,21.0,8.0,8.0,5.0,2.5618,3.4139,4.0,1.0,5.0,1.0,2.19073,,14.0,9.0,37.0,50.0,467.0,387.0,59.3,28.0,21.0,9.0,4.0,31.0,31.0,8.0,2.0,1.0,,15.0,8.0,129.0,5.0,2.0,2.026,,0.0,71.0,72.0,35.0,38.0,5.0,5.0,3.0,5.0,13.0,0.0,0.0,,0.0,1.0,108750.11
2562201,36,2026-05-13 20:00:00,"Etihad Stadium, Manchester",,Away,Crystal Palace,Man City,0,3,L,0,2,0,0,0.0,6.0,2.0,2.0,2.0,0.7285,0.2892,,,,,0.310585,,5.0,3.0,12.0,24.0,281.0,216.0,27.3,9.0,28.0,14.0,5.0,40.0,40.0,11.0,3.0,1.0,,11.0,6.0,104.0,1.0,3.0,1.9875,,0.0,47.0,35.0,10.0,8.0,4.0,4.0,,7.0,9.0,0.0,0.0,,0.0,4.0,112142.3
2562258,37,2026-05-17 15:00:00,"Gtech Community Stadium, Brentford",17213.0,Away,Crystal Palace,Brentford,2,2,D,1,1,0,0,2.0,16.0,5.0,5.0,6.0,1.7152,0.9641,1.0,1.0,1.0,2.0,0.963964,1.0,10.0,7.0,34.0,55.0,344.0,229.0,41.8,27.0,18.0,11.0,13.0,43.0,43.0,9.0,3.0,,,6.0,4.0,154.0,1.0,2.0,2.1682,,0.0,46.0,43.0,21.0,27.0,4.0,4.0,,5.0,6.0,0.0,0.0,1.0,1.0,1.0,115819.46
2562267,38,2026-05-24 16:00:00,"Selhurst Park, London",,Home,Crystal Palace,Arsenal,1,2,L,0,1,0,0,1.0,8.0,3.0,3.0,2.0,0.9808,0.945,3.0,1.0,2.0,,0.836994,1.0,7.0,4.0,27.0,48.0,328.0,261.0,39.7,21.0,12.0,4.0,10.0,23.0,23.0,8.0,4.0,1.0,,12.0,2.0,107.0,5.0,2.0,1.7106,,0.0,42.0,40.0,11.0,14.0,3.0,3.0,,9.0,12.0,0.0,0.0,,0.0,1.0,108757.07
