gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accurateCross,attFreekickTotal,attMissLeft,attMissHighRight,cleanSheet,goodHighClaim,freekickTotal,hitWoodwork,attMissHighLeft,accurateFreekickCross,attBxCentre,bigChanceMissed,attSetpiece,attAssistSetplay,accurateCrossNocorner,attHdTotal,attHdMiss,totalHighClaim,attFreekickMiss,accurateCornersIntobox,attIboxMiss,attLfTarget,attLfGoal,goals,attIboxTarget,attObxLeft,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attIboxPost,attOneOnOne,attOboxGoal,totalFastbreak,attSvHighLeft,midfielderGoals,bigChanceCreated,attHdPost,attHdTarget,goalAssist,accurateThroughBall,sixYardBlock,totalPullBack,goalsOpenplay,attFastbreak,attGoalHighLeft,attSvLowRight,attCmissLeft,attPostHigh,bigChanceScored,attGoalLowCentre,accuratePullBack,contentiousDecision,attRfGoal,attIboxGoal,foulThrowIn,forwardGoals,errorLeadToGoal,attGoalLowRight,punches,attHdGoal,attGoalHighRight,attPostLeft,goalAssistIntentional,attSvHighCentre,attGoalLowLeft,goalFastbreak,attSvHighRight,attFreekickPost,attOboxPost,attObxRight,attPostRight,attLgCentre,penaltyConceded,defenderGoals,penaltyFaced,penGoalsConceded,attFreekickTarget,goalAssistSetplay,goalAssistDeadball,clearanceOffLine,attCmissHigh,attLgRight,ownGoals,attIboxOwnGoal,penaltyWon,attPenGoal,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,attCmissHighRight,attFreekickGoal,secondYellow
11,695010,2013-11-10 12:00:00,"White Hart Lane, London",36042,Away,Newcastle United,Tottenham Hotspur,1,0,W,1,0,0,0,,,65.0,6.0,1.0,4.0,47.0,2.0,1.0,14.0,3.0,109.0,10.0,2.0,4.0,,4.0,43.0,157.0,56.0,8.0,,14.0,2.0,8.0,24.0,1.0,47.0,4.0,9.0,21.0,73.0,0.0,74.0,15.0,7.0,1.0,2.0,38.0,28.0,2.0,45.0,,1.0,4.0,11.0,,1.0,157.0,14.0,59.0,509.0,,2.0,12.0,14.0,160.0,26.0,3.0,18.0,2.0,2.0,7.0,2.0,21.0,241.0,48.0,1.0,97612,92.0,2.0,115.0,,11.0,12.0,58.0,6.0,8.0,,14.0,17.0,4.0,1.0,30.0,164.0,5.0,10.0,19.0,69.0,0.0,6.0,11.0,8.0,,1.0,0.0,2.0,34.7,19.0,1.0,1.0,,1.0,23.0,4.0,256.0,14.0,12.0,9.0,3.0,9.0,149.0,6.0,8.0,12.0,31.0,27.0,7.0,18.0,29.0,,4.0,3.0,18.0,7.0,7.0,4.0,1.0,,,,1.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,2.0,,1.0,1.0,2.0,,,2.0,,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,1.0,,,2.0,,,1.0,1.0,,,,1.0,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,695016,2013-11-23 15:00:00,"St. James' Park, Newcastle",51328,Home,Newcastle United,Norwich City,2,1,W,2,0,0,0,,,57.0,,3.0,28.0,38.0,11.0,5.0,1.0,1.0,154.0,15.0,2.0,17.0,,5.0,110.0,129.0,56.0,21.0,3.0,19.0,,17.0,10.0,1.0,38.0,5.0,16.0,34.0,165.0,0.0,99.0,8.0,1.0,1.0,,47.0,50.0,8.0,85.0,3.0,4.0,13.0,13.0,5.0,7.0,129.0,8.0,108.0,677.0,,15.0,11.0,21.0,378.0,26.0,7.0,20.0,,0.0,2.0,9.0,18.0,445.0,51.0,,97612,223.0,8.0,240.0,4.0,13.0,8.0,51.0,3.0,2.0,,10.0,2.0,2.0,1.0,53.0,385.0,7.0,6.0,25.0,86.0,0.0,4.0,5.0,1.0,1.0,6.0,0.0,,48.8,16.0,5.0,,,6.0,49.0,6.0,457.0,21.0,11.0,20.0,10.0,13.0,234.0,13.0,12.0,18.0,69.0,24.0,2.0,20.0,18.0,1.0,17.0,3.0,23.0,2.0,11.0,6.0,3.0,1.0,3.0,1.0,,,1.0,,1.0,,7.0,1.0,,1.0,2.0,3.0,1.0,,,2.0,3.0,1.0,1.0,2.0,2.0,,2.0,1.0,,,1.0,,,,3.0,,,2.0,,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,,,2.0,,1.0,1.0,,2.0,,2.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,
13,695027,2013-11-30 17:30:00,"St. James' Park, Newcastle",49298,Home,Newcastle United,West Bromwich Albion,2,1,W,1,0,0,0,,,62.0,,2.0,31.0,22.0,8.0,3.0,,1.0,148.0,5.0,,10.0,,6.0,114.0,148.0,71.0,14.0,1.0,33.0,2.0,21.0,19.0,4.0,22.0,2.0,12.0,42.0,173.0,0.0,124.0,15.0,1.0,,,53.0,57.0,6.0,67.0,,,19.0,14.0,5.0,4.0,148.0,8.0,118.0,644.0,,9.0,20.0,15.0,341.0,29.0,8.0,13.0,2.0,1.0,4.0,4.0,21.0,425.0,64.0,1.0,97612,186.0,14.0,200.0,5.0,14.0,10.0,72.0,2.0,4.0,2.0,3.0,6.0,2.0,2.0,62.0,355.0,15.0,6.0,27.0,86.0,0.0,,3.0,,1.0,9.0,0.0,1.0,53.1,16.0,2.0,,2.0,3.0,43.0,3.0,447.0,15.0,8.0,22.0,5.0,18.0,268.0,8.0,12.0,31.0,74.0,23.0,,13.0,23.0,1.0,12.0,2.0,16.0,,5.0,3.0,4.0,,2.0,1.0,,3.0,,,,,3.0,,1.0,,4.0,2.0,1.0,4.0,,,1.0,3.0,,2.0,,1.0,1.0,,,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,2.0,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,695038,2013-12-04 19:45:00,"Swansea.com Stadium, Swansea",20457,Away,Newcastle United,Swansea City,0,3,L,0,1,0,0,1.0,,65.0,2.0,4.0,36.0,22.0,6.0,4.0,3.0,1.0,140.0,15.0,1.0,8.0,,3.0,97.0,135.0,57.0,14.0,2.0,10.0,,15.0,18.0,1.0,22.0,1.0,9.0,27.0,162.0,0.0,102.0,8.0,1.0,,,38.0,51.0,6.0,58.0,3.0,2.0,14.0,13.0,4.0,4.0,135.0,8.0,89.0,600.0,,7.0,14.0,24.0,300.0,37.0,9.0,12.0,,2.0,2.0,2.0,22.0,374.0,57.0,,97612,149.0,10.0,176.0,4.0,13.0,6.0,46.0,,,4.0,23.0,6.0,4.0,3.0,57.0,307.0,3.0,11.0,25.0,60.0,0.0,4.0,5.0,1.0,3.0,8.0,0.0,1.0,34.6,21.0,4.0,1.0,4.0,6.0,42.0,1.0,384.0,24.0,13.0,17.0,5.0,11.0,223.0,8.0,9.0,12.0,66.0,15.0,2.0,12.0,27.0,2.0,12.0,3.0,19.0,2.0,2.0,1.0,4.0,1.0,,,,3.0,1.0,,,,5.0,,,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,2.0,,,1.0,,,,,,,1.0,,,,,1.0,,,1.0,,,,,3.0,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
15,695045,2013-12-07 12:45:00,"Old Trafford, Manchester",75233,Away,Newcastle United,Manchester United,1,0,W,0,0,0,0,,,66.0,1.0,,27.0,22.0,4.0,1.0,3.0,1.0,151.0,15.0,1.0,9.0,,3.0,111.0,148.0,74.0,9.0,1.0,13.0,3.0,15.0,19.0,,22.0,1.0,17.0,34.0,212.0,0.0,125.0,18.0,3.0,,,57.0,79.0,4.0,63.0,2.0,2.0,14.0,15.0,8.0,3.0,148.0,6.0,113.0,678.0,,8.0,12.0,20.0,343.0,28.0,5.0,13.0,3.0,2.0,4.0,5.0,35.0,416.0,63.0,,7933,149.0,6.0,167.0,4.0,15.0,6.0,62.0,4.0,2.0,2.0,15.0,2.0,2.0,,52.0,356.0,11.0,8.0,21.0,73.0,0.0,5.0,4.0,3.0,,5.0,0.0,2.0,52.9,28.0,4.0,,2.0,1.0,40.0,4.0,438.0,20.0,15.0,21.0,5.0,20.0,286.0,6.0,16.0,20.0,87.0,22.0,1.0,13.0,29.0,,9.0,3.0,23.0,1.0,9.0,4.0,5.0,,1.0,1.0,1.0,1.0,,,1.0,,3.0,,,,5.0,2.0,1.0,1.0,,,2.0,,,1.0,2.0,,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16,695057,2013-12-14 15:00:00,"St. James' Park, Newcastle",49164,Home,Newcastle United,Southampton,1,1,D,1,0,0,0,,,60.0,1.0,,20.0,28.0,10.0,3.0,2.0,3.0,147.0,10.0,3.0,10.0,1.0,5.0,74.0,172.0,64.0,16.0,3.0,12.0,3.0,27.0,13.0,2.0,28.0,9.0,11.0,27.0,141.0,0.0,114.0,10.0,1.0,1.0,2.0,41.0,66.0,4.0,45.0,2.0,2.0,19.0,17.0,5.0,5.0,172.0,3.0,53.0,569.0,,6.0,14.0,15.0,200.0,24.0,12.0,14.0,3.0,1.0,3.0,6.0,34.0,286.0,61.0,,97612,83.0,12.0,101.0,1.0,17.0,3.0,48.0,,7.0,4.0,13.0,5.0,2.0,,46.0,219.0,15.0,4.0,30.0,81.0,0.0,3.0,3.0,1.0,1.0,4.0,0.0,,39.8,30.0,2.0,,4.0,3.0,39.0,11.0,319.0,15.0,13.0,15.0,8.0,17.0,245.0,10.0,11.0,19.0,70.0,17.0,2.0,14.0,21.0,1.0,9.0,3.0,19.0,2.0,11.0,11.0,5.0,1.0,4.0,2.0,,2.0,1.0,,,1.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,,,2.0,,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,695062,2013-12-21 15:00:00,"Selhurst Park, London",24936,Away,Newcastle United,Crystal Palace,3,0,W,2,0,0,0,,1.0,80.0,2.0,,30.0,24.0,5.0,3.0,4.0,2.0,194.0,10.0,3.0,9.0,,6.0,162.0,155.0,64.0,13.0,2.0,17.0,1.0,21.0,18.0,1.0,24.0,6.0,19.0,46.0,192.0,0.0,118.0,14.0,1.0,1.0,1.0,54.0,55.0,6.0,83.0,1.0,2.0,16.0,12.0,5.0,1.0,155.0,6.0,144.0,813.0,,7.0,5.0,20.0,477.0,34.0,6.0,18.0,1.0,2.0,1.0,3.0,15.0,568.0,62.0,,92170,300.0,10.0,327.0,4.0,12.0,8.0,58.0,3.0,4.0,11.0,6.0,3.0,4.0,,67.0,489.0,10.0,5.0,28.0,100.0,0.0,3.0,3.0,2.0,,,0.0,3.0,66.9,15.0,4.0,2.0,11.0,2.0,51.0,7.0,583.0,20.0,18.0,18.0,5.0,26.0,277.0,8.0,18.0,20.0,73.0,30.0,2.0,18.0,26.0,,8.0,2.0,18.0,2.0,8.0,7.0,3.0,1.0,2.0,,1.0,,1.0,1.0,,,3.0,2.0,1.0,1.0,1.0,2.0,2.0,,,3.0,3.0,2.0,1.0,3.0,3.0,,,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,,,1.0,2.0,,1.0,1.0,,,2.0,,,1.0,,1.0,,1.0,3.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,
19,695087,2013-12-29 13:30:00,"St. James' Park, Newcastle",52161,Home,Newcastle United,Arsenal,0,1,L,0,0,0,0,,,64.0,2.0,1.0,31.0,27.0,7.0,2.0,3.0,2.0,186.0,9.0,,6.0,,3.0,111.0,159.0,67.0,11.0,1.0,18.0,3.0,24.0,13.0,2.0,27.0,4.0,20.0,42.0,156.0,0.0,115.0,10.0,,1.0,1.0,31.0,74.0,3.0,67.0,,2.0,20.0,21.0,7.0,4.0,159.0,4.0,111.0,682.0,,4.0,17.0,14.0,357.0,29.0,10.0,17.0,3.0,0.0,2.0,3.0,23.0,455.0,62.0,1.0,97612,219.0,12.0,242.0,1.0,11.0,8.0,55.0,4.0,1.0,2.0,12.0,7.0,3.0,,54.0,369.0,8.0,8.0,20.0,91.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,47.3,23.0,3.0,,2.0,2.0,51.0,4.0,475.0,14.0,14.0,24.0,6.0,40.0,257.0,8.0,18.0,27.0,69.0,27.0,2.0,17.0,23.0,1.0,6.0,3.0,15.0,2.0,11.0,4.0,6.0,,1.0,3.0,,1.0,,1.0,,,,1.0,2.0,2.0,4.0,1.0,,1.0,,2.0,2.0,,,,1.0,,,4.0,,,,,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,4.0,7.0,22.0,3.0,1.0,,
20,695100,2014-01-01 15:00:00,"The Hawthorns, West Bromwich",26430,Away,Newcastle United,West Bromwich Albion,0,1,L,0,0,1,0,,1.0,62.0,2.0,,27.0,24.0,6.0,,3.0,3.0,155.0,10.0,2.0,5.0,,3.0,132.0,137.0,59.0,9.0,3.0,7.0,2.0,24.0,14.0,3.0,24.0,4.0,10.0,37.0,156.0,0.0,108.0,15.0,2.0,1.0,1.0,52.0,44.0,2.0,64.0,,,20.0,17.0,7.0,,137.0,9.0,128.0,684.0,,5.0,15.0,18.0,384.0,27.0,11.0,9.0,4.0,0.0,1.0,3.0,18.0,466.0,63.0,1.0,92170,244.0,12.0,260.0,4.0,17.0,10.0,39.0,1.0,2.0,4.0,7.0,4.0,5.0,,54.0,395.0,7.0,3.0,27.0,88.0,0.0,2.0,3.0,1.0,1.0,4.0,1.0,,53.8,17.0,1.0,1.0,6.0,3.0,53.0,4.0,479.0,18.0,9.0,18.0,3.0,18.0,243.0,9.0,9.0,23.0,59.0,21.0,3.0,9.0,19.0,1.0,6.0,3.0,16.0,3.0,8.0,4.0,5.0,1.0,2.0,1.0,,5.0,1.0,,,,1.0,1.0,1.0,,4.0,,,5.0,,1.0,3.0,,,,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
21,695107,2014-01-12 14:05:00,"St. James' Park, Newcastle",49423,Home,Newcastle United,Manchester City,0,2,L,0,1,0,0,,1.0,68.0,,2.0,27.0,29.0,7.0,2.0,4.0,4.0,158.0,8.0,4.0,9.0,,5.0,125.0,158.0,53.0,13.0,,18.0,4.0,26.0,13.0,3.0,29.0,5.0,11.0,44.0,184.0,0.0,119.0,18.0,1.0,2.0,5.0,50.0,68.0,5.0,51.0,,1.0,21.0,17.0,10.0,4.0,158.0,13.0,105.0,664.0,,8.0,14.0,14.0,343.0,19.0,7.0,17.0,5.0,4.0,2.0,4.0,22.0,421.0,62.0,1.0,97612,171.0,6.0,188.0,8.0,17.0,8.0,59.0,1.0,3.0,4.0,13.0,1.0,5.0,2.0,50.0,352.0,14.0,4.0,23.0,84.0,0.0,2.0,6.0,4.0,2.0,5.0,0.0,1.0,54.4,19.0,4.0,,4.0,2.0,45.0,5.0,439.0,14.0,13.0,19.0,6.0,29.0,277.0,10.0,11.0,17.0,77.0,39.0,2.0,17.0,16.0,2.0,10.0,3.0,18.0,2.0,12.0,5.0,3.0,,2.0,1.0,,1.0,,,,,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,2.0,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
22,695120,2014-01-18 15:00:00,"Boleyn Ground, London",33343,Away,Newcastle United,West Ham United,3,1,W,2,1,0,0,,,72.0,,1.0,24.0,72.0,12.0,4.0,2.0,3.0,166.0,10.0,2.0,15.0,1.0,8.0,87.0,152.0,57.0,19.0,1.0,24.0,1.0,16.0,15.0,3.0,72.0,3.0,16.0,28.0,178.0,0.0,121.0,6.0,1.0,,1.0,42.0,58.0,8.0,67.0,,2.0,13.0,18.0,4.0,7.0,152.0,9.0,93.0,685.0,,13.0,11.0,9.0,320.0,32.0,6.0,45.0,1.0,0.0,3.0,7.0,26.0,393.0,61.0,,92170,155.0,8.0,172.0,2.0,18.0,7.0,55.0,6.0,3.0,2.0,17.0,3.0,,,49.0,328.0,7.0,2.0,28.0,89.0,0.0,3.0,4.0,2.0,1.0,2.0,0.0,1.0,51.7,23.0,4.0,2.0,2.0,2.0,42.0,3.0,413.0,9.0,12.0,19.0,9.0,19.0,257.0,15.0,15.0,22.0,81.0,25.0,4.0,45.0,20.0,1.0,18.0,3.0,21.0,4.0,11.0,3.0,5.0,1.0,6.0,,,2.0,1.0,,1.0,,3.0,1.0,,,4.0,,,2.0,,1.0,2.0,2.0,,3.0,2.0,,,1.0,,2.0,3.0,,1.0,1.0,,1.0,2.0,2.0,,,2.0,2.0,,,2.0,,1.0,,5.0,,1.0,,,,3.0,2.0,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
23,695125,2014-01-28 19:45:00,"Carrow Road, Norwich",26762,Away,Newcastle United,Norwich City,0,0,D,0,0,1,1,,,55.0,1.0,2.0,14.0,26.0,13.0,5.0,2.0,1.0,163.0,15.0,4.0,14.0,1.0,3.0,85.0,156.0,62.0,21.0,7.0,18.0,1.0,27.0,10.0,1.0,26.0,6.0,8.0,31.0,136.0,0.0,110.0,7.0,2.0,,,56.0,47.0,9.0,52.0,,1.0,21.0,19.0,5.0,5.0,156.0,5.0,72.0,621.0,,13.0,9.0,20.0,275.0,16.0,5.0,16.0,1.0,2.0,4.0,5.0,27.0,357.0,54.0,,97612,148.0,16.0,164.0,,19.0,8.0,42.0,5.0,3.0,1.0,14.0,4.0,3.0,2.0,41.0,281.0,12.0,4.0,23.0,76.0,0.0,1.0,7.0,1.0,,5.0,1.0,2.0,53.8,24.0,2.0,3.0,1.0,9.0,31.0,7.0,372.0,20.0,11.0,13.0,9.0,20.0,235.0,14.0,8.0,20.0,64.0,33.0,1.0,16.0,16.0,,14.0,2.0,19.0,1.0,14.0,7.0,3.0,4.0,2.0,,1.0,1.0,4.0,2.0,2.0,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,2.0,,2.0,1.0,2.0,,2.0,1.0,,,2.0,,,1.0,,1.0,,1.0,,3.0,,2.0,,1.0,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,
24,695137,2014-02-01 12:45:00,"St. James' Park, Newcastle",52280,Home,Newcastle United,Sunderland,0,3,L,0,2,0,0,,,52.0,,5.0,12.0,18.0,15.0,3.0,2.0,7.0,122.0,5.0,4.0,23.0,,10.0,77.0,131.0,66.0,28.0,4.0,18.0,2.0,29.0,17.0,7.0,18.0,5.0,14.0,30.0,178.0,0.0,132.0,18.0,1.0,3.0,3.0,47.0,24.0,15.0,32.0,,2.0,24.0,16.0,11.0,5.0,131.0,10.0,85.0,541.0,,17.0,9.0,16.0,230.0,21.0,5.0,11.0,2.0,2.0,2.0,8.0,19.0,300.0,54.0,,97612,74.0,10.0,88.0,5.0,16.0,12.0,59.0,1.0,2.0,3.0,8.0,6.0,5.0,1.0,34.0,244.0,12.0,9.0,22.0,68.0,0.0,3.0,3.0,2.0,3.0,4.0,0.0,,51.0,17.0,6.0,1.0,3.0,9.0,34.0,7.0,316.0,16.0,8.0,14.0,9.0,33.0,257.0,21.0,13.0,26.0,95.0,19.0,2.0,11.0,23.0,3.0,19.0,3.0,13.0,2.0,10.0,7.0,8.0,1.0,3.0,2.0,,,1.0,,1.0,1.0,8.0,2.0,4.0,6.0,4.0,4.0,2.0,,,4.0,4.0,1.0,,,3.0,1.0,,2.0,,,2.0,,,,,,,2.0,,2.0,,1.0,,2.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
25,695142,2014-02-08 15:00:00,"Stamford Bridge, London",41387,Away,Newcastle United,Chelsea,0,3,L,0,2,0,0,,,55.0,2.0,,15.0,26.0,6.0,5.0,5.0,4.0,142.0,14.0,,10.0,1.0,6.0,86.0,138.0,52.0,12.0,1.0,10.0,2.0,13.0,15.0,3.0,26.0,1.0,14.0,25.0,144.0,0.0,101.0,10.0,4.0,4.0,,32.0,62.0,5.0,51.0,1.0,1.0,12.0,13.0,3.0,3.0,138.0,10.0,73.0,570.0,,10.0,18.0,19.0,263.0,23.0,5.0,8.0,3.0,3.0,1.0,5.0,18.0,330.0,53.0,,97612,135.0,9.0,153.0,6.0,13.0,13.0,62.0,5.0,,3.0,7.0,8.0,8.0,2.0,31.0,278.0,7.0,9.0,15.0,69.0,0.0,4.0,6.0,3.0,3.0,6.0,0.0,1.0,41.0,15.0,1.0,2.0,3.0,1.0,40.0,5.0,352.0,19.0,22.0,14.0,5.0,14.0,212.0,6.0,10.0,11.0,64.0,21.0,5.0,8.0,20.0,3.0,10.0,3.0,25.0,5.0,9.0,5.0,1.0,,1.0,,,1.0,,,1.0,,3.0,2.0,,,1.0,1.0,,1.0,,,2.0,1.0,,,3.0,,,,,,1.0,,2.0,,,,,2.0,,1.0,,2.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
26,695160,2014-02-12 19:45:00,"St. James' Park, Newcastle",48264,Home,Newcastle United,Tottenham Hotspur,0,4,L,0,1,0,0,1.0,,69.0,2.0,3.0,22.0,13.0,4.0,4.0,4.0,3.0,180.0,5.0,2.0,9.0,,5.0,87.0,175.0,62.0,13.0,,16.0,1.0,24.0,13.0,2.0,13.0,7.0,24.0,29.0,179.0,0.0,121.0,6.0,2.0,1.0,2.0,54.0,58.0,6.0,67.0,1.0,2.0,17.0,17.0,8.0,3.0,175.0,10.0,105.0,651.0,,8.0,13.0,22.0,314.0,28.0,10.0,8.0,1.0,0.0,4.0,3.0,25.0,424.0,72.0,,97612,147.0,7.0,164.0,2.0,17.0,7.0,53.0,9.0,3.0,3.0,12.0,5.0,6.0,,51.0,323.0,11.0,11.0,34.0,94.0,0.0,1.0,6.0,2.0,4.0,7.0,0.0,,49.3,25.0,4.0,2.0,3.0,3.0,55.0,8.0,439.0,22.0,11.0,11.0,5.0,24.0,299.0,6.0,24.0,29.0,59.0,29.0,1.0,8.0,19.0,3.0,8.0,3.0,15.0,1.0,11.0,8.0,3.0,,2.0,1.0,,1.0,,,,,5.0,3.0,2.0,1.0,1.0,2.0,,1.0,,2.0,2.0,,,,3.0,,,,,,2.0,,1.0,,1.0,,,3.0,,2.0,,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
27,695166,2014-02-23 13:30:00,"St. James' Park, Newcastle",50417,Home,Newcastle United,Aston Villa,1,0,W,0,0,0,0,,,76.0,1.0,1.0,32.0,30.0,16.0,6.0,2.0,4.0,178.0,10.0,3.0,14.0,1.0,5.0,85.0,180.0,68.0,23.0,6.0,27.0,2.0,35.0,19.0,3.0,30.0,8.0,15.0,43.0,183.0,0.0,159.0,12.0,,2.0,,57.0,59.0,8.0,59.0,3.0,2.0,27.0,15.0,10.0,7.0,180.0,3.0,92.0,672.0,,14.0,12.0,24.0,300.0,35.0,13.0,15.0,2.0,2.0,3.0,6.0,27.0,398.0,69.0,,92170,134.0,17.0,155.0,8.0,15.0,6.0,62.0,9.0,5.0,5.0,13.0,7.0,5.0,4.0,51.0,311.0,10.0,3.0,30.0,86.0,0.0,5.0,1.0,1.0,,1.0,0.0,1.0,54.7,23.0,4.0,1.0,5.0,7.0,46.0,10.0,414.0,24.0,9.0,23.0,11.0,30.0,294.0,16.0,12.0,27.0,103.0,27.0,1.0,15.0,22.0,,15.0,2.0,21.0,1.0,6.0,10.0,6.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,,,5.0,2.0,2.0,,5.0,,,1.0,2.0,1.0,3.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,2.0,,,,,,2.0,1.0,,,1.0,2.0,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
