gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,attFreekickTotal,freekickTotal,contentiousDecision,goalAssist,outfielderBlock,expectedGoalsFreekick,errorLeadToShot,attObxdLeft,attCmissHigh,attemptsConcededObox,attAssistSetplay,goalAssistIntentional,attFreekickMiss,attLfTarget,attSvHighLeft,attMissHighLeft,sixYardBlock,accurateFlickOn,handBall,postScoringAtt,goalAssistOpenplay,hitWoodwork,attOboxPost,attSvHighCentre,attPostRight,forwardGoals,savedObox,foulThrowIn,attHdTarget,penaltyConceded,ptsDroppedWinningPos,attCmissRight,attIboxPost,attOneOnOne,penaltyWon,punches,attPostHigh,attCmissHighLeft,goalFastbreak,attSvHighRight,attPostLeft,attIboxOwnGoal,errorLeadToGoal,secondYellow,penaltyFaced,penGoalsConceded,attHdPost,goalAssistDeadball,attObxLeft,attFreekickTarget,clearanceOffLine,ptsGainedLosingPos,attFreekickPost,attCmissHighRight,attObxdRight
11,2561996,2025-11-09 14:00:00,"Gtech Community Stadium, Brentford",17207.0,Away,Newcastle United,Brentford,1,3,L,1.0,0.0,1,0,0.0,49.0,1.0,0.0,,0.2155,23.0,56.0,3.0,1.0,2.0,4.0,1.0,,150.0,0.0,2.0,7.0,1.0,,4.0,,1.0,126.0,123.0,39.0,5.0,1.0,19.0,,1.0,,1.0,,,15.0,7.0,0.0,,56.0,2.0,15.0,23.0,2.7499,173.0,1.0,,0.0,0.0,101.0,13.0,0.0,1.0,1.0,0.0,,,1.0,50.0,65.0,1.0,70.0,,1.0,13.0,17.0,3.0,0.0,0.0,4.0,2.0,123.0,,13.0,0.0,94.0,632.0,,4.0,4.0,16.0,5.0,346.0,17.0,2.0,29.0,1.0,1.0,3.0,0.37851,14.0,417.0,51.0,,,33.42,200089,2.0,191.0,,9.0,,215.0,7.0,110554.55,0.0,,11.0,7.0,53.0,0.0,,0.0,,7.0,1.0,12.0,5.0,2.0,0.0,50.0,362.0,9.0,6.0,19.0,1.0,68.0,1.0,0.0,0.0,,,0.0,0.0,1.0,6.0,4.0,1.0,3.0,1.0,2.0,,1.0,51.2,12.0,1.0,2.0,,7.0,1.0,39.0,2.0,1.0,440.0,5.0,13.0,13.0,3.0,22.0,,1.0,240.0,3.0,15.0,14.0,69.0,23.0,,29.0,10.0,0.0,3.0,4.0,6.0,11.0,0.4395,,11.0,2.0,1.0,,,,,,4.0,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,1.0,3.0,,,,,2.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
12,2562013,2025-11-22 17:30:00,"St. James' Park, Newcastle",52181.0,Home,Newcastle United,Manchester City,2,1,W,0.0,0.0,0,0,0.0,41.0,1.0,0.0,1.0,2.5006,25.0,36.0,2.0,1.0,7.0,3.0,0.0,2.0,111.0,0.0,5.0,4.0,2.0,,7.0,,5.0,58.0,103.0,45.0,9.0,,11.0,2.0,1.0,,1.0,1.0,1.0,14.0,11.0,0.0,1.0,36.0,5.0,5.0,29.0,0.8345,112.0,,,1.0,0.0,76.0,13.0,0.0,,1.0,2.0,1.0,,1.0,58.0,36.0,4.0,43.0,1.0,1.0,9.0,14.0,2.0,1.0,0.0,3.0,,103.0,3.0,14.0,0.0,73.0,448.0,,5.0,3.0,14.0,7.0,207.0,22.0,4.0,20.0,1.0,1.0,3.0,1.03507,11.0,262.0,41.0,1.0,,34.54,449434,4.0,113.0,4.0,6.0,,128.0,6.0,111784.25,2.0,,6.0,11.0,45.0,0.0,4.0,0.0,3.0,4.0,1.0,11.0,6.0,,0.0,56.0,220.0,8.0,9.0,20.0,4.0,55.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,9.0,3.0,1.0,1.0,0.0,4.0,1.0,4.0,33.0,9.0,1.0,3.0,,4.0,1.0,25.0,5.0,1.0,285.0,7.0,8.0,15.0,3.0,20.0,1.0,2.0,171.0,4.0,4.0,16.0,49.0,12.0,1.0,20.0,17.0,0.0,1.0,5.0,3.0,9.0,2.2431,1.0,6.0,5.0,1.0,,,,,1.0,4.0,,1.0,,,3.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,
13,2562019,2025-11-29 17:30:00,"Hill Dickinson Stadium, Liverpool",52244.0,Away,Newcastle United,Everton,4,1,W,3.0,0.0,0,0,0.0,45.0,2.0,1.0,2.0,2.7675,20.0,30.0,3.0,5.0,10.0,1.0,1.0,2.0,184.0,1.0,7.0,5.0,4.0,,11.0,,8.0,132.0,117.0,41.0,13.0,2.0,17.0,3.0,1.0,,,2.0,1.0,17.0,16.0,0.0,1.0,30.0,7.0,9.0,23.0,0.8892,224.0,,,0.0,0.0,137.0,6.0,0.0,,1.0,1.0,2.0,,1.0,60.0,72.0,11.0,110.0,1.0,,10.0,17.0,3.0,0.0,0.0,2.0,,117.0,5.0,7.0,0.0,127.0,741.0,,7.0,3.0,28.0,3.0,478.0,20.0,3.0,20.0,,0.0,,1.44093,18.0,540.0,47.0,1.0,,35.51,449434,5.0,268.0,2.0,8.0,,287.0,3.0,117259.42,1.0,,7.0,6.0,46.0,0.0,1.0,2.0,,5.0,2.0,15.0,3.0,,0.0,36.0,485.0,2.0,4.0,13.0,4.0,77.0,1.0,0.0,0.0,,,0.0,0.0,1.0,8.0,,4.0,1.0,0.0,4.0,1.0,3.0,51.2,14.0,,1.0,3.0,5.0,4.0,55.0,7.0,1.0,553.0,3.0,9.0,17.0,1.0,27.0,3.0,1.0,283.0,5.0,9.0,18.0,106.0,19.0,2.0,20.0,16.0,2.0,1.0,9.0,5.0,15.0,1.9053,2.0,7.0,7.0,3.0,2.0,,,,4.0,2.0,,1.0,,,3.0,,3.0,,2.0,,,,1.0,,,2.0,1.0,,,,1.0,1.0,,,,,,,3.0,,,,,,,,,1.0,,,,,1.0,,,,,,,
14,2562033,2025-12-02 20:15:00,"St. James' Park, Newcastle",52007.0,Home,Newcastle United,Tottenham Hotspur,2,2,D,0.0,0.0,0,0,0.0,54.0,0.0,2.0,3.0,2.4169,13.0,28.0,6.0,9.0,13.0,,0.0,2.0,128.0,0.0,10.0,9.0,2.0,3.0,12.0,,7.0,136.0,131.0,63.0,19.0,4.0,14.0,5.0,1.0,1.0,,,2.0,40.0,13.0,0.0,,28.0,11.0,10.0,11.0,1.3632,189.0,,,0.0,0.0,118.0,5.0,0.0,,1.0,0.0,3.0,3.0,1.0,38.0,80.0,9.0,45.0,1.0,1.0,29.0,20.0,6.0,0.0,0.0,12.0,2.0,131.0,,7.0,2.0,131.0,670.0,,11.0,3.0,38.0,9.0,362.0,14.0,3.0,14.0,,0.0,3.0,0.746243,14.0,423.0,53.0,1.0,,35.12,232826,6.0,198.0,,14.0,,209.0,4.0,112297.12,2.0,,12.0,5.0,46.0,0.0,2.0,0.0,3.0,3.0,1.0,13.0,3.0,1.0,1.0,33.0,377.0,11.0,10.0,13.0,2.0,58.0,1.0,0.0,0.0,2.0,,0.0,0.0,4.0,8.0,,2.0,2.0,0.0,9.0,,3.0,53.3,13.0,1.0,11.0,3.0,3.0,7.0,32.0,11.0,1.0,440.0,9.0,12.0,5.0,5.0,46.0,1.0,3.0,271.0,7.0,10.0,25.0,88.0,24.0,1.0,14.0,18.0,0.0,2.0,13.0,4.0,14.0,2.0428,1.0,12.0,11.0,1.0,,,,1.0,1.0,5.0,,,,,1.0,,,,2.0,,1.0,3.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,2.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,
15,2562042,2025-12-06 15:00:00,"St. James' Park, Newcastle",52041.0,Home,Newcastle United,Burnley,2,1,W,2.0,0.0,0,1,0.0,58.0,1.0,0.0,2.0,2.3592,29.0,27.0,9.0,6.0,6.0,2.0,0.0,2.0,162.0,0.0,1.0,9.0,2.0,3.0,10.0,,7.0,184.0,110.0,54.0,17.0,1.0,9.0,1.0,1.0,1.0,,,2.0,25.0,15.0,0.0,4.0,27.0,4.0,10.0,21.0,1.258,337.0,2.0,,1.0,0.0,209.0,9.0,0.0,,1.0,1.0,3.0,,,95.0,89.0,6.0,87.0,,,21.0,11.0,11.0,1.0,0.0,6.0,4.0,110.0,1.0,5.0,0.0,178.0,799.0,,10.0,2.0,26.0,1.0,534.0,21.0,3.0,17.0,,2.0,4.0,1.31929,12.0,589.0,78.0,1.0,,35.34,232826,3.0,218.0,1.0,15.0,,231.0,3.0,116550.35,2.0,,6.0,5.0,34.0,0.0,1.0,0.0,3.0,7.0,0.0,10.0,4.0,1.0,1.0,49.0,554.0,10.0,4.0,9.0,3.0,62.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,9.0,1.0,1.0,1.0,0.0,1.0,,,69.5,12.0,,4.0,1.0,8.0,3.0,44.0,9.0,1.0,611.0,1.0,7.0,11.0,7.0,38.0,,1.0,405.0,11.0,9.0,16.0,176.0,23.0,1.0,17.0,19.0,0.0,1.0,11.0,5.0,17.0,1.7672,1.0,6.0,9.0,1.0,,2.0,2.0,1.0,,2.0,0.1409,1.0,1.0,,4.0,,,1.0,3.0,1.0,,2.0,,3.0,2.0,,2.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,
16,2562053,2025-12-14 14:00:00,"Stadium of Light, Sunderland",47158.0,Away,Newcastle United,Sunderland,0,1,L,0.0,0.0,0,0,0.0,39.0,0.0,0.0,1.0,0.286,32.0,53.0,4.0,1.0,2.0,1.0,0.0,1.0,133.0,0.0,2.0,8.0,0.0,1.0,5.0,,2.0,141.0,118.0,53.0,6.0,2.0,27.0,1.0,,,1.0,,,26.0,5.0,0.0,2.0,53.0,6.0,5.0,23.0,0.2443,186.0,,,0.0,0.0,122.0,10.0,0.0,1.0,,0.0,,1.0,1.0,49.0,71.0,4.0,38.0,1.0,,20.0,10.0,4.0,0.0,0.0,10.0,,118.0,,4.0,0.0,132.0,644.0,,4.0,3.0,14.0,3.0,367.0,17.0,4.0,40.0,1.0,4.0,1.0,0.555052,22.0,426.0,57.0,,,35.42,449434,1.0,193.0,,9.0,,207.0,5.0,113368.37,0.0,,7.0,7.0,54.0,1.0,3.0,0.0,,7.0,0.0,13.0,3.0,1.0,0.0,62.0,377.0,10.0,7.0,20.0,1.0,52.0,,0.0,0.0,1.0,,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,,2.0,53.4,20.0,1.0,1.0,,7.0,3.0,25.0,6.0,1.0,444.0,3.0,3.0,9.0,1.0,38.0,1.0,1.0,263.0,3.0,4.0,27.0,87.0,13.0,2.0,40.0,8.0,0.0,1.0,4.0,5.0,15.0,0.2421,2.0,7.0,6.0,,,,,,,2.0,,,,,2.0,1.0,,,1.0,1.0,,1.0,2.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,
17,2562062,2025-12-20 12:30:00,"St. James' Park, Newcastle",52226.0,Home,Newcastle United,Chelsea,2,2,D,2.0,0.0,0,0,1.0,53.0,0.0,2.0,,2.3162,16.0,19.0,1.0,1.0,9.0,2.0,0.0,3.0,152.0,0.0,8.0,5.0,2.0,2.0,8.0,,5.0,82.0,130.0,48.0,11.0,,15.0,3.0,1.0,1.0,1.0,1.0,1.0,28.0,8.0,0.0,,19.0,4.0,5.0,16.0,1.4446,138.0,,,0.0,0.0,109.0,13.0,0.0,2.0,1.0,0.0,,1.0,2.0,48.0,53.0,4.0,52.0,2.0,2.0,24.0,14.0,2.0,0.0,0.0,8.0,2.0,130.0,6.0,10.0,0.0,75.0,547.0,1.0,6.0,4.0,21.0,14.0,258.0,21.0,3.0,11.0,1.0,3.0,4.0,1.40338,19.0,332.0,46.0,1.0,1.0,36.35,449434,5.0,148.0,5.0,15.0,3.0,169.0,5.0,115535.47,2.0,,6.0,11.0,46.0,0.0,2.0,0.0,2.0,5.0,1.0,12.0,6.0,3.0,0.0,43.0,278.0,14.0,9.0,19.0,1.0,56.0,1.0,0.0,0.0,,1.0,0.0,0.0,,4.0,2.0,2.0,2.0,0.0,8.0,,1.0,46.6,17.0,1.0,4.0,1.0,5.0,,30.0,6.0,2.0,361.0,14.0,10.0,12.0,6.0,33.0,,4.0,220.0,9.0,3.0,17.0,74.0,22.0,2.0,11.0,13.0,0.0,1.0,6.0,4.0,6.0,2.3056,2.0,6.0,6.0,2.0,1.0,1.0,1.0,,1.0,4.0,0.0325,,,,3.0,1.0,1.0,1.0,,,,,2.0,1.0,,,,,1.0,,2.0,,,,,2.0,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
18,2562071,2025-12-26 20:00:00,"Old Trafford, Manchester",73996.0,Away,Newcastle United,Manchester United,0,1,L,0.0,1.0,0,0,0.0,54.0,0.0,0.0,6.0,0.9598,18.0,13.0,2.0,7.0,14.0,3.0,0.0,1.0,174.0,0.0,7.0,11.0,0.0,2.0,11.0,,3.0,157.0,162.0,52.0,16.0,1.0,13.0,3.0,,1.0,,,2.0,46.0,7.0,0.0,,13.0,8.0,11.0,23.0,0.9647,367.0,,,0.0,0.0,239.0,5.0,0.0,2.0,,0.0,2.0,1.0,1.0,92.0,127.0,5.0,94.0,,,38.0,27.0,2.0,0.0,0.0,18.0,,162.0,1.0,8.0,0.0,202.0,843.0,,10.0,2.0,44.0,6.0,529.0,17.0,1.0,5.0,,1.0,6.0,0.944249,16.0,607.0,85.0,1.0,1.0,32.22,232826,10.0,188.0,1.0,20.0,1.0,201.0,2.0,116342.2,0.0,1.0,13.0,6.0,45.0,0.0,1.0,0.0,1.0,5.0,0.0,20.0,5.0,2.0,0.0,36.0,548.0,9.0,7.0,9.0,4.0,63.0,,0.0,0.0,1.0,,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,6.0,1.0,3.0,66.7,15.0,1.0,7.0,1.0,6.0,7.0,45.0,11.0,1.0,627.0,6.0,8.0,11.0,6.0,55.0,1.0,5.0,472.0,6.0,9.0,18.0,186.0,25.0,1.0,5.0,14.0,0.0,1.0,11.0,4.0,23.0,1.178,1.0,13.0,11.0,,,,,,,,,2.0,,1.0,2.0,1.0,,,,,1.0,2.0,,,1.0,,1.0,1.0,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
19,2562077,2025-12-30 19:30:00,"Turf Moor, Burnley",21020.0,Away,Newcastle United,Burnley,3,1,W,2.0,1.0,0,0,0.0,52.0,0.0,2.0,2.0,2.4785,19.0,36.0,7.0,8.0,13.0,2.0,2.0,3.0,155.0,0.0,4.0,6.0,3.0,2.0,10.0,1.0,9.0,113.0,138.0,57.0,20.0,4.0,22.0,5.0,1.0,3.0,,4.0,1.0,19.0,10.0,0.0,1.0,36.0,4.0,10.0,17.0,0.3995,162.0,,,1.0,0.0,91.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,,51.0,36.0,6.0,77.0,,1.0,15.0,10.0,7.0,1.0,0.0,4.0,1.0,138.0,4.0,8.0,0.0,122.0,677.0,,8.0,6.0,23.0,11.0,372.0,17.0,5.0,20.0,,1.0,4.0,0.801477,16.0,442.0,45.0,1.0,1.0,33.31,201666,3.0,231.0,6.0,10.0,3.0,255.0,1.0,112387.87,1.0,1.0,3.0,13.0,51.0,0.0,2.0,0.0,2.0,5.0,3.0,19.0,5.0,3.0,0.0,47.0,389.0,9.0,5.0,18.0,3.0,60.0,1.0,0.0,0.0,,,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,3.0,2.0,2.0,51.9,15.0,1.0,2.0,2.0,5.0,6.0,32.0,4.0,,467.0,11.0,11.0,7.0,5.0,21.0,1.0,4.0,231.0,10.0,8.0,23.0,65.0,27.0,1.0,20.0,19.0,0.0,1.0,14.0,4.0,16.0,2.314,1.0,3.0,4.0,1.0,,,,,,4.0,,2.0,,,7.0,2.0,,,2.0,,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,
20,2562092,2026-01-04 15:00:00,"St. James' Park, Newcastle",51979.0,Home,Newcastle United,Crystal Palace,2,0,W,0.0,0.0,0,0,0.0,56.0,1.0,0.0,2.0,2.6492,25.0,35.0,1.0,2.0,11.0,1.0,0.0,1.0,180.0,1.0,7.0,15.0,2.0,3.0,8.0,,7.0,107.0,162.0,62.0,12.0,,17.0,4.0,,2.0,,1.0,,31.0,9.0,0.0,1.0,35.0,8.0,5.0,43.0,0.0405,194.0,,1.0,0.0,0.0,129.0,5.0,0.0,1.0,,1.0,2.0,2.0,1.0,52.0,70.0,6.0,75.0,1.0,3.0,23.0,31.0,1.0,0.0,0.0,7.0,,162.0,3.0,9.0,0.0,132.0,750.0,,7.0,2.0,35.0,7.0,392.0,29.0,1.0,28.0,,1.0,2.0,1.98372,16.0,473.0,62.0,2.0,,33.67,232826,6.0,221.0,3.0,14.0,1.0,242.0,2.0,112524.15,1.0,,13.0,9.0,57.0,0.0,2.0,1.0,5.0,3.0,0.0,18.0,6.0,,0.0,52.0,408.0,11.0,8.0,10.0,4.0,68.0,,0.0,0.0,,,0.0,0.0,1.0,6.0,1.0,2.0,0.0,0.0,7.0,,4.0,59.4,16.0,1.0,3.0,1.0,3.0,2.0,43.0,8.0,1.0,494.0,7.0,14.0,20.0,3.0,39.0,,3.0,283.0,6.0,5.0,20.0,84.0,20.0,2.0,28.0,16.0,1.0,0.0,7.0,5.0,29.0,2.079,2.0,13.0,8.0,2.0,1.0,,,1.0,1.0,5.0,,,,,2.0,,1.0,,2.0,,,1.0,,1.0,,1.0,1.0,,2.0,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
21,2562103,2026-01-07 20:15:00,"St. James' Park, Newcastle",52176.0,Home,Newcastle United,Leeds United,4,3,W,1.0,2.0,0,0,1.0,47.0,3.0,1.0,3.0,2.8711,25.0,32.0,3.0,7.0,15.0,3.0,1.0,1.0,145.0,0.0,9.0,8.0,4.0,2.0,14.0,,8.0,160.0,137.0,53.0,18.0,1.0,19.0,3.0,,,1.0,1.0,2.0,35.0,11.0,0.0,1.0,32.0,8.0,13.0,25.0,2.2222,256.0,,,0.0,0.0,128.0,11.0,0.0,,,2.0,,1.0,2.0,69.0,104.0,9.0,83.0,2.0,,27.0,10.0,3.0,0.0,0.0,7.0,1.0,137.0,2.0,12.0,0.0,157.0,762.0,,8.0,2.0,37.0,9.0,451.0,20.0,4.0,18.0,1.0,3.0,5.0,1.66864,16.0,522.0,51.0,,1.0,35.88,232826,8.0,224.0,2.0,19.0,2.0,253.0,3.0,122725.28,2.0,,4.0,11.0,52.0,0.0,1.0,0.0,1.0,3.0,2.0,17.0,8.0,1.0,1.0,47.0,471.0,9.0,8.0,16.0,6.0,69.0,,0.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,3.0,0.0,7.0,,4.0,62.5,16.0,1.0,2.0,2.0,4.0,4.0,48.0,8.0,2.0,545.0,9.0,7.0,16.0,6.0,47.0,2.0,3.0,327.0,7.0,13.0,23.0,105.0,21.0,1.0,18.0,14.0,1.0,2.0,8.0,5.0,18.0,2.435,1.0,4.0,8.0,1.0,,,,,3.0,3.0,,3.0,,,2.0,3.0,2.0,,2.0,,1.0,1.0,,1.0,2.0,3.0,2.0,,,2.0,2.0,1.0,,1.0,1.0,,,2.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,3.0,,,
22,2562114,2026-01-18 14:00:00,"Molineux Stadium, Wolverhampton",29751.0,Away,Newcastle United,Wolverhampton Wanderers,0,0,D,0.0,0.0,0,0,0.0,45.0,0.0,0.0,2.0,0.4824,22.0,20.0,3.0,4.0,9.0,2.0,0.0,1.0,155.0,0.0,10.0,6.0,0.0,5.0,8.0,1.0,2.0,172.0,113.0,49.0,12.0,2.0,11.0,2.0,,1.0,2.0,,1.0,34.0,7.0,0.0,,20.0,7.0,16.0,25.0,0.1512,324.0,,1.0,0.0,0.0,196.0,8.0,0.0,,,0.0,,2.0,,92.0,104.0,4.0,92.0,1.0,2.0,27.0,17.0,3.0,0.0,0.0,8.0,1.0,113.0,,6.0,0.0,195.0,808.0,,7.0,1.0,24.0,8.0,545.0,11.0,2.0,13.0,2.0,2.0,4.0,1.19306,12.0,594.0,60.0,1.0,1.0,34.32,547719,6.0,249.0,,17.0,4.0,259.0,4.0,113062.34,0.0,1.0,9.0,7.0,37.0,0.0,4.0,0.0,3.0,7.0,0.0,23.0,6.0,3.0,0.0,34.0,563.0,14.0,7.0,7.0,1.0,52.0,,0.0,0.0,1.0,,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,8.0,3.0,5.0,67.0,12.0,3.0,3.0,1.0,7.0,4.0,44.0,7.0,,614.0,8.0,4.0,20.0,6.0,51.0,2.0,5.0,389.0,3.0,15.0,19.0,163.0,24.0,2.0,13.0,10.0,0.0,0.0,6.0,3.0,13.0,0.9423,2.0,9.0,7.0,,,1.0,1.0,,,2.0,0.0491,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
23,2562123,2026-01-25 14:00:00,"St. James' Park, Newcastle",52134.0,Home,Newcastle United,Aston Villa,0,2,L,0.0,1.0,0,0,1.0,70.0,0.0,0.0,1.0,1.3053,18.0,22.0,6.0,6.0,9.0,6.0,0.0,1.0,184.0,0.0,6.0,13.0,0.0,,11.0,,4.0,129.0,140.0,66.0,15.0,6.0,16.0,4.0,1.0,,2.0,2.0,1.0,34.0,15.0,0.0,,22.0,6.0,14.0,15.0,1.7976,234.0,,,0.0,0.0,170.0,7.0,0.0,3.0,1.0,0.0,1.0,,,37.0,90.0,9.0,72.0,1.0,2.0,28.0,14.0,6.0,0.0,0.0,12.0,,140.0,3.0,7.0,0.0,134.0,740.0,,11.0,,24.0,3.0,431.0,24.0,4.0,12.0,2.0,1.0,2.0,0.926615,14.0,496.0,79.0,,,35.23,232826,8.0,219.0,3.0,16.0,,238.0,3.0,118854.23,0.0,,2.0,8.0,49.0,0.0,,0.0,2.0,10.0,0.0,14.0,6.0,1.0,0.0,36.0,447.0,12.0,6.0,14.0,1.0,58.0,1.0,0.0,0.0,,,0.0,0.0,2.0,5.0,2.0,0.0,2.0,0.0,6.0,,3.0,60.7,14.0,,4.0,,11.0,7.0,38.0,6.0,,519.0,3.0,16.0,8.0,4.0,48.0,,4.0,315.0,6.0,11.0,18.0,131.0,30.0,,12.0,24.0,0.0,1.0,13.0,4.0,18.0,2.1754,,2.0,6.0,,,,,,,2.0,,3.0,,,7.0,,,,1.0,1.0,,,,,,,,,1.0,,,4.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
24,2562129,2026-01-31 20:00:00,"Anfield, Liverpool",60416.0,Away,Newcastle United,Liverpool,1,4,L,1.0,2.0,0,0,0.0,47.0,1.0,0.0,2.0,0.5327,14.0,23.0,4.0,,4.0,3.0,0.0,1.0,128.0,0.0,6.0,3.0,1.0,2.0,6.0,,2.0,73.0,125.0,34.0,8.0,1.0,15.0,1.0,1.0,2.0,,1.0,1.0,25.0,7.0,0.0,,23.0,10.0,1.0,21.0,3.1326,122.0,1.0,,0.0,0.0,109.0,7.0,0.0,2.0,1.0,0.0,,2.0,1.0,49.0,36.0,4.0,55.0,,,15.0,11.0,4.0,0.0,0.0,5.0,2.0,125.0,,11.0,0.0,76.0,531.0,,3.0,5.0,21.0,8.0,251.0,20.0,2.0,12.0,,3.0,2.0,0.347833,17.0,308.0,54.0,1.0,1.0,35.32,232826,2.0,150.0,,8.0,2.0,168.0,3.0,112947.24,1.0,1.0,8.0,9.0,46.0,0.0,3.0,0.0,3.0,13.0,1.0,15.0,3.0,1.0,0.0,42.0,266.0,11.0,7.0,13.0,2.0,45.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,7.0,1.0,1.0,4.0,0.0,3.0,,2.0,46.2,17.0,,,,13.0,3.0,22.0,11.0,2.0,332.0,8.0,8.0,8.0,3.0,37.0,3.0,,189.0,6.0,1.0,7.0,74.0,12.0,1.0,12.0,13.0,0.0,4.0,3.0,5.0,13.0,0.3588,1.0,8.0,11.0,,,1.0,1.0,,,3.0,0.097,1.0,,,6.0,3.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,,,,3.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,1.0,,
