gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,handBall,savedObox,saves,attBxRight,divingSave,interceptionsInBox,attMissHighLeft,attMissHigh,savedIbox,attSvHighCentre,clearanceOffLine,effectiveBlockedCross,blockedCross,bigChanceScored,attGoalLowRight,shotFastbreak,ptsGainedLosingPos,totalFastbreak,contentiousDecision,errorLeadToShot,attFastbreak,attGoalHighLeft,attFreekickGoal,punches,goalsConceded,goalsConcededIbox,ptsDroppedWinningPos,goalsConcededObox,postScoringAtt,attIboxPost,attHdPost,attPostHigh,attFreekickMiss,attOneOnOne,attMissHighRight,attFreekickTarget,accurateFlickOn,attCmissHighRight,shieldBallOop,attGoalLowLeft,goalAssistSetplay,attLfGoal,attGoalLowCentre,attLgRight,goalFastbreak,midfielderGoals,subsGoals,attLgCentre,attHdGoal,errorLeadToGoal,penaltyWon,attFreekickPost,attPostLeft,attPenGoal,attOboxPost,attPostRight,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHigh,attCmissHighLeft,attObxRight,goalAssistDeadball,attSvHighRight,penaltySave,ownGoals,attIboxOwnGoal
11,2292916,2022-10-16 14:00:00,"Old Trafford, Manchester",73726,Away,Newcastle United,Manchester United,0,0,D,0,0,0,0,,29.0,59.0,1.0,21.0,19.0,3.0,2.0,6.0,1.0,128.0,13.0,4.0,,,5.0,7.0,,,2.0,68.0,129.0,38.0,1.0,9.0,1.0,7.0,1.0,,,2.0,,11.0,4.0,,1.0,19.0,3.0,2.0,39.0,98.0,1.0,,0.0,87.0,11.0,,,4.0,,21.0,57.0,3.0,40.0,2.0,9.0,20.0,3.0,1.0,,1.0,1.0,129.0,,7.0,65.0,476.0,4.0,5.0,18.0,1.0,2.0,13.0,201.0,24.0,3.0,12.0,,,1.0,5.0,4.0,14.0,276.0,40.0,,2.0,98747,3.0,123.0,1.0,4.0,1.0,3.0,141.0,6.0,,,20.0,11.0,39.0,1.0,,,5.0,,17.0,8.0,6.0,55.0,217.0,12.0,4.0,3.0,15.0,3.0,61.0,,,0.0,2.0,4.0,,0.0,2.0,,4.0,37.0,13.0,1.0,5.0,1.0,5.0,2.0,30.0,4.0,,301.0,13.0,9.0,20.0,5.0,26.0,3.0,2.0,171.0,3.0,1.0,13.0,51.0,23.0,,12.0,13.0,2.0,5.0,9.0,11.0,4.0,,,2.0,,,3.0,1.0,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
12,2292929,2022-10-19 19:30:00,"St. James' Park, Newcastle",52247,Home,Newcastle United,Everton,1,0,W,1,0,0,0,,26.0,62.0,3.0,13.0,9.0,5.0,5.0,11.0,,160.0,13.0,10.0,5.0,1.0,2.0,14.0,,,4.0,92.0,140.0,44.0,,16.0,,6.0,3.0,2.0,1.0,1.0,2.0,22.0,14.0,,,9.0,5.0,2.0,28.0,145.0,1.0,1.0,0.0,114.0,9.0,,1.0,2.0,1.0,39.0,66.0,6.0,46.0,2.0,17.0,23.0,5.0,,,4.0,4.0,140.0,1.0,1.0,94.0,576.0,11.0,3.0,30.0,3.0,,9.0,290.0,29.0,3.0,3.0,1.0,2.0,2.0,,8.0,21.0,373.0,47.0,,1.0,98747,9.0,166.0,1.0,11.0,1.0,2.0,197.0,4.0,,,8.0,2.0,45.0,1.0,,,7.0,1.0,16.0,,1.0,38.0,301.0,11.0,12.0,2.0,12.0,3.0,53.0,1.0,1.0,0.0,1.0,2.0,,0.0,7.0,1.0,6.0,49.8,19.0,3.0,4.0,,7.0,3.0,25.0,8.0,1.0,392.0,9.0,11.0,11.0,9.0,27.0,3.0,5.0,217.0,5.0,2.0,11.0,75.0,22.0,1.0,3.0,18.0,11.0,4.0,12.0,8.0,8.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
13,2292937,2022-10-23 16:30:00,"Tottenham Hotspur Stadium, London",61726,Away,Newcastle United,Tottenham Hotspur,2,1,W,2,0,0,0,1.0,25.0,65.0,4.0,32.0,16.0,4.0,9.0,9.0,2.0,145.0,10.0,5.0,6.0,2.0,1.0,7.0,,1.0,5.0,99.0,134.0,49.0,,13.0,1.0,19.0,2.0,3.0,1.0,1.0,2.0,18.0,11.0,,1.0,16.0,5.0,5.0,49.0,169.0,,1.0,0.0,137.0,6.0,,1.0,1.0,,54.0,77.0,5.0,68.0,1.0,13.0,22.0,4.0,,,4.0,1.0,134.0,1.0,10.0,97.0,620.0,5.0,5.0,31.0,,,7.0,317.0,18.0,7.0,7.0,1.0,3.0,2.0,8.0,2.0,19.0,381.0,53.0,,,98747,2.0,168.0,1.0,8.0,,1.0,183.0,5.0,,,15.0,9.0,52.0,,,4.0,9.0,2.0,18.0,7.0,2.0,73.0,332.0,12.0,11.0,1.0,21.0,3.0,57.0,,,0.0,2.0,6.0,1.0,0.0,2.0,,,47.6,16.0,,4.0,,9.0,5.0,19.0,7.0,,409.0,7.0,10.0,26.0,3.0,23.0,3.0,2.0,244.0,4.0,5.0,16.0,99.0,30.0,2.0,7.0,15.0,9.0,3.0,13.0,15.0,7.0,,1.0,3.0,6.0,,,,,3.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,2.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14,2292949,2022-10-29 15:00:00,"St. James' Park, Newcastle",52233,Home,Newcastle United,Aston Villa,4,0,W,1,0,0,0,1.0,21.0,67.0,2.0,30.0,7.0,3.0,7.0,16.0,2.0,190.0,11.0,6.0,4.0,4.0,1.0,15.0,,,7.0,126.0,148.0,42.0,,20.0,1.0,8.0,2.0,1.0,1.0,1.0,3.0,13.0,9.0,,1.0,7.0,2.0,2.0,50.0,204.0,1.0,1.0,0.0,163.0,11.0,,2.0,1.0,1.0,52.0,79.0,6.0,78.0,1.0,11.0,20.0,4.0,,,3.0,1.0,148.0,3.0,3.0,126.0,692.0,11.0,2.0,38.0,,2.0,6.0,399.0,31.0,,2.0,2.0,1.0,1.0,3.0,9.0,25.0,505.0,62.0,,1.0,98747,10.0,212.0,3.0,7.0,,1.0,242.0,4.0,1.0,1.0,8.0,1.0,41.0,1.0,,2.0,6.0,2.0,8.0,,1.0,61.0,410.0,10.0,4.0,2.0,10.0,3.0,68.0,,,0.0,,,3.0,0.0,5.0,1.0,5.0,59.5,24.0,3.0,3.0,3.0,7.0,3.0,40.0,3.0,1.0,520.0,6.0,12.0,25.0,10.0,29.0,1.0,7.0,291.0,8.0,2.0,13.0,113.0,26.0,4.0,2.0,15.0,15.0,6.0,11.0,8.0,3.0,1.0,,,1.0,,1.0,2.0,1.0,,,,2.0,2.0,3.0,,2.0,,2.0,,,2.0,1.0,,,,,,,2.0,2.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,2.0,2.0,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,,,
15,2292956,2022-11-06 14:00:00,"St. Mary's Stadium, Southampton",30402,Away,Newcastle United,Southampton,4,1,W,1,0,0,0,,26.0,71.0,1.0,31.0,25.0,2.0,3.0,5.0,,172.0,12.0,4.0,2.0,4.0,,6.0,,,4.0,80.0,161.0,33.0,,7.0,,8.0,,,3.0,,1.0,9.0,9.0,,,25.0,1.0,4.0,45.0,113.0,,1.0,0.0,104.0,10.0,,,,2.0,53.0,58.0,4.0,47.0,,8.0,19.0,2.0,,,,1.0,161.0,2.0,9.0,81.0,557.0,3.0,3.0,20.0,,,4.0,246.0,28.0,1.0,12.0,3.0,,0.0,5.0,2.0,17.0,359.0,59.0,1.0,,98747,5.0,148.0,1.0,8.0,,,177.0,3.0,3.0,,11.0,7.0,51.0,2.0,,1.0,13.0,4.0,9.0,7.0,2.0,68.0,257.0,7.0,13.0,,16.0,,84.0,,,0.0,1.0,8.0,3.0,0.0,4.0,2.0,1.0,44.8,16.0,1.0,5.0,,13.0,1.0,38.0,2.0,3.0,380.0,4.0,11.0,23.0,2.0,21.0,,1.0,212.0,3.0,3.0,9.0,50.0,25.0,1.0,12.0,15.0,7.0,5.0,12.0,11.0,2.0,1.0,3.0,4.0,,1.0,,,1.0,1.0,,,3.0,3.0,2.0,3.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,
16,2292965,2022-11-12 17:30:00,"St. James' Park, Newcastle",52264,Home,Newcastle United,Chelsea,1,0,W,0,0,0,0,1.0,22.0,57.0,2.0,21.0,13.0,2.0,3.0,8.0,,176.0,13.0,6.0,3.0,1.0,2.0,9.0,,,3.0,112.0,136.0,52.0,,10.0,2.0,6.0,2.0,1.0,1.0,1.0,,21.0,15.0,,,13.0,3.0,5.0,43.0,226.0,1.0,,0.0,145.0,14.0,1.0,,2.0,,58.0,97.0,7.0,69.0,,18.0,8.0,2.0,,,5.0,,136.0,2.0,4.0,94.0,635.0,6.0,4.0,22.0,1.0,,10.0,360.0,20.0,4.0,5.0,1.0,1.0,5.0,1.0,2.0,23.0,433.0,56.0,,1.0,98747,5.0,153.0,2.0,11.0,,1.0,169.0,7.0,1.0,,5.0,7.0,49.0,1.0,,3.0,3.0,1.0,16.0,1.0,4.0,45.0,373.0,10.0,7.0,2.0,9.0,2.0,59.0,,,0.0,,3.0,1.0,0.0,4.0,,2.0,48.9,22.0,1.0,7.0,1.0,3.0,4.0,37.0,5.0,,451.0,10.0,12.0,23.0,3.0,29.0,2.0,3.0,303.0,5.0,5.0,16.0,105.0,27.0,,5.0,23.0,7.0,3.0,14.0,5.0,5.0,1.0,,2.0,,1.0,,,2.0,2.0,,,2.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
17,2292977,2022-12-26 15:00:00,"King Power Stadium, Leicester",32185,Away,Newcastle United,Leicester City,3,0,W,3,0,0,0,,23.0,71.0,3.0,33.0,21.0,1.0,4.0,10.0,2.0,144.0,11.0,5.0,11.0,3.0,2.0,8.0,,,5.0,92.0,150.0,51.0,,12.0,,11.0,1.0,,1.0,,2.0,9.0,7.0,,1.0,21.0,5.0,3.0,58.0,131.0,1.0,,0.0,109.0,6.0,,1.0,1.0,,43.0,50.0,5.0,66.0,,4.0,22.0,2.0,,,3.0,1.0,150.0,2.0,4.0,78.0,586.0,4.0,2.0,22.0,,,14.0,272.0,21.0,2.0,9.0,2.0,,0.0,4.0,3.0,21.0,362.0,41.0,,,98747,9.0,156.0,,,,1.0,184.0,4.0,1.0,,13.0,6.0,47.0,,,1.0,10.0,1.0,19.0,4.0,5.0,62.0,282.0,9.0,6.0,2.0,12.0,4.0,58.0,,,0.0,3.0,5.0,3.0,0.0,2.0,2.0,3.0,39.9,20.0,1.0,4.0,,10.0,3.0,29.0,5.0,,380.0,14.0,13.0,32.0,4.0,27.0,3.0,3.0,205.0,5.0,2.0,19.0,62.0,34.0,3.0,9.0,12.0,6.0,4.0,22.0,13.0,5.0,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,
18,2292985,2022-12-31 15:00:00,"St. James' Park, Newcastle",52211,Home,Newcastle United,Leeds United,0,0,D,0,0,0,0,1.0,17.0,66.0,,28.0,11.0,4.0,4.0,12.0,3.0,143.0,9.0,5.0,9.0,,6.0,12.0,,,5.0,116.0,170.0,59.0,1.0,16.0,2.0,12.0,4.0,1.0,,1.0,3.0,23.0,8.0,,1.0,11.0,7.0,3.0,55.0,168.0,1.0,,0.0,149.0,13.0,,3.0,9.0,,49.0,71.0,5.0,55.0,2.0,16.0,17.0,4.0,1.0,,1.0,1.0,170.0,7.0,6.0,105.0,640.0,8.0,2.0,27.0,1.0,,10.0,311.0,23.0,,4.0,,1.0,3.0,4.0,7.0,34.0,403.0,65.0,3.0,1.0,98747,7.0,161.0,7.0,6.0,,3.0,185.0,4.0,,1.0,3.0,4.0,59.0,4.0,,3.0,6.0,,16.0,2.0,4.0,58.0,324.0,19.0,4.0,4.0,10.0,6.0,59.0,1.0,1.0,0.0,2.0,3.0,,0.0,1.0,,3.0,59.0,30.0,2.0,5.0,2.0,6.0,2.0,32.0,9.0,,419.0,10.0,11.0,25.0,9.0,45.0,4.0,8.0,257.0,9.0,3.0,15.0,96.0,32.0,,4.0,16.0,6.0,3.0,30.0,3.0,9.0,2.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2292990,2023-01-03 19:45:00,"Emirates Stadium, London",60319,Away,Newcastle United,Arsenal,0,0,D,0,0,0,0,,20.0,54.0,,16.0,29.0,3.0,,5.0,1.0,114.0,9.0,5.0,6.0,,,7.0,,,1.0,53.0,114.0,55.0,,8.0,2.0,12.0,,,,,1.0,18.0,16.0,,1.0,29.0,5.0,2.0,32.0,104.0,1.0,,0.0,93.0,16.0,,1.0,2.0,,40.0,43.0,2.0,36.0,1.0,13.0,25.0,3.0,,,,,114.0,2.0,11.0,50.0,446.0,4.0,9.0,23.0,,,5.0,168.0,23.0,1.0,11.0,,,5.0,5.0,5.0,11.0,231.0,29.0,1.0,1.0,98747,2.0,82.0,2.0,11.0,,2.0,106.0,8.0,,,13.0,12.0,43.0,1.0,,4.0,6.0,,9.0,6.0,5.0,43.0,181.0,10.0,2.0,3.0,9.0,3.0,45.0,,,0.0,1.0,5.0,,0.0,2.0,,4.0,33.2,9.0,4.0,4.0,1.0,6.0,2.0,24.0,5.0,1.0,253.0,5.0,7.0,19.0,5.0,23.0,3.0,5.0,165.0,4.0,2.0,16.0,63.0,17.0,,11.0,23.0,3.0,3.0,12.0,13.0,5.0,,1.0,4.0,,,,1.0,1.0,3.0,,,1.0,1.0,,,,,,1.0,,,,,3.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
20,2293006,2023-01-15 14:00:00,"St. James' Park, Newcastle",52247,Home,Newcastle United,Fulham,1,0,W,0,0,0,0,1.0,15.0,56.0,6.0,21.0,12.0,8.0,7.0,12.0,2.0,154.0,5.0,6.0,7.0,1.0,4.0,14.0,,2.0,5.0,106.0,131.0,48.0,2.0,20.0,2.0,14.0,3.0,1.0,1.0,2.0,1.0,23.0,13.0,,1.0,12.0,7.0,2.0,36.0,216.0,1.0,,0.0,177.0,6.0,,,3.0,1.0,53.0,67.0,10.0,77.0,3.0,16.0,19.0,8.0,2.0,,5.0,4.0,131.0,2.0,4.0,112.0,636.0,11.0,,31.0,1.0,1.0,8.0,354.0,23.0,1.0,7.0,1.0,1.0,1.0,1.0,4.0,22.0,429.0,63.0,1.0,,98747,5.0,159.0,1.0,8.0,2.0,3.0,182.0,4.0,,1.0,10.0,4.0,44.0,1.0,,2.0,4.0,1.0,10.0,1.0,2.0,45.0,369.0,12.0,8.0,2.0,12.0,3.0,53.0,1.0,,0.0,2.0,5.0,1.0,0.0,3.0,1.0,5.0,62.3,19.0,2.0,4.0,,4.0,8.0,31.0,10.0,1.0,449.0,8.0,5.0,15.0,7.0,43.0,3.0,2.0,290.0,8.0,2.0,12.0,134.0,25.0,,7.0,18.0,12.0,4.0,19.0,10.0,10.0,1.0,,,3.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,
21,2293012,2023-01-21 17:30:00,"Selhurst Park, London",25350,Away,Newcastle United,Crystal Palace,0,0,D,0,0,0,0,1.0,22.0,65.0,2.0,29.0,22.0,2.0,3.0,14.0,3.0,177.0,10.0,11.0,6.0,,2.0,13.0,1.0,1.0,7.0,128.0,168.0,58.0,,16.0,,18.0,6.0,,,3.0,3.0,26.0,9.0,,1.0,22.0,10.0,3.0,52.0,204.0,1.0,,0.0,170.0,7.0,,1.0,2.0,1.0,70.0,58.0,7.0,68.0,1.0,16.0,21.0,2.0,,,2.0,1.0,168.0,2.0,4.0,115.0,712.0,9.0,5.0,53.0,3.0,,9.0,365.0,31.0,4.0,6.0,,,2.0,4.0,6.0,16.0,466.0,59.0,,2.0,98747,8.0,193.0,2.0,12.0,1.0,1.0,230.0,3.0,,2.0,9.0,5.0,57.0,,,1.0,3.0,,20.0,2.0,5.0,60.0,386.0,13.0,3.0,4.0,12.0,8.0,59.0,1.0,,0.0,,3.0,,0.0,6.0,,6.0,60.8,15.0,3.0,4.0,1.0,3.0,2.0,35.0,15.0,1.0,488.0,9.0,20.0,22.0,7.0,46.0,5.0,6.0,284.0,6.0,3.0,20.0,120.0,27.0,,6.0,19.0,7.0,3.0,15.0,9.0,15.0,,,1.0,4.0,1.0,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2293026,2023-02-04 17:30:00,"St. James' Park, Newcastle",52256,Home,Newcastle United,West Ham United,1,1,D,1,1,0,0,,21.0,64.0,3.0,26.0,23.0,1.0,1.0,7.0,,177.0,12.0,4.0,6.0,1.0,2.0,7.0,,,2.0,154.0,154.0,51.0,,8.0,,15.0,1.0,,1.0,,,18.0,8.0,,,23.0,3.0,5.0,57.0,248.0,,1.0,0.0,192.0,11.0,,,4.0,1.0,69.0,99.0,4.0,76.0,1.0,15.0,24.0,1.0,,,5.0,,154.0,3.0,6.0,150.0,732.0,3.0,3.0,22.0,1.0,,9.0,437.0,29.0,3.0,15.0,1.0,,2.0,3.0,3.0,19.0,536.0,57.0,2.0,2.0,98747,6.0,205.0,2.0,6.0,1.0,2.0,232.0,7.0,,,11.0,7.0,50.0,3.0,,,4.0,1.0,13.0,4.0,1.0,60.0,449.0,12.0,6.0,3.0,11.0,3.0,69.0,,,0.0,,2.0,,0.0,2.0,1.0,3.0,62.7,19.0,2.0,4.0,,4.0,3.0,31.0,4.0,1.0,557.0,9.0,13.0,25.0,3.0,35.0,2.0,3.0,343.0,4.0,4.0,20.0,142.0,27.0,1.0,15.0,13.0,3.0,3.0,12.0,11.0,4.0,,,,,,,2.0,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,2.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,2293030,2023-02-11 17:30:00,"Vitality Stadium, Bournemouth",10419,Away,Newcastle United,Bournemouth,1,1,D,1,1,0,0,1.0,24.0,67.0,1.0,35.0,15.0,5.0,4.0,10.0,4.0,203.0,9.0,2.0,17.0,1.0,2.0,12.0,,,7.0,142.0,172.0,56.0,,15.0,2.0,17.0,5.0,2.0,,1.0,2.0,22.0,9.0,,1.0,15.0,5.0,5.0,41.0,237.0,,,0.0,192.0,10.0,1.0,2.0,1.0,1.0,71.0,124.0,8.0,75.0,1.0,17.0,21.0,5.0,,,3.0,2.0,172.0,,7.0,146.0,790.0,10.0,4.0,35.0,1.0,,9.0,445.0,27.0,1.0,5.0,,2.0,3.0,2.0,4.0,20.0,546.0,74.0,2.0,1.0,98747,3.0,228.0,2.0,13.0,,2.0,260.0,7.0,,1.0,11.0,8.0,61.0,3.0,,5.0,10.0,1.0,23.0,4.0,8.0,55.0,463.0,8.0,14.0,2.0,7.0,1.0,68.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,,2.0,66.8,20.0,1.0,4.0,3.0,10.0,3.0,45.0,6.0,1.0,566.0,9.0,14.0,16.0,5.0,37.0,1.0,3.0,328.0,9.0,3.0,16.0,138.0,26.0,1.0,5.0,15.0,12.0,3.0,23.0,11.0,6.0,,,3.0,2.0,1.0,,,1.0,4.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,2293046,2023-02-18 17:30:00,"St. James' Park, Newcastle",52758,Home,Newcastle United,Liverpool,0,2,L,0,2,1,0,3.0,15.0,60.0,2.0,28.0,22.0,2.0,5.0,12.0,1.0,129.0,6.0,6.0,21.0,,2.0,11.0,,,4.0,93.0,111.0,50.0,,14.0,1.0,5.0,4.0,3.0,,2.0,3.0,18.0,9.0,,,22.0,6.0,4.0,44.0,147.0,,,0.0,118.0,3.0,1.0,,2.0,,46.0,52.0,6.0,45.0,,12.0,18.0,2.0,,,2.0,1.0,111.0,3.0,8.0,83.0,539.0,7.0,5.0,26.0,,2.0,7.0,276.0,31.0,3.0,13.0,,4.0,1.0,2.0,5.0,15.0,336.0,44.0,1.0,,98747,7.0,146.0,3.0,8.0,2.0,,170.0,2.0,,,8.0,6.0,30.0,4.0,,3.0,8.0,,18.0,5.0,4.0,49.0,287.0,8.0,9.0,4.0,6.0,6.0,38.0,1.0,1.0,0.0,,7.0,,1.0,1.0,,5.0,37.4,14.0,2.0,4.0,2.0,8.0,3.0,25.0,6.0,1.0,350.0,7.0,5.0,19.0,7.0,29.0,5.0,5.0,198.0,4.0,3.0,11.0,87.0,14.0,,13.0,10.0,7.0,5.0,30.0,8.0,6.0,1.0,3.0,5.0,,2.0,3.0,1.0,1.0,2.0,,,2.0,2.0,,,2.0,,2.0,,1.0,2.0,,,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2293057,2023-05-18 19:30:00,"St. James' Park, Newcastle",52122,Home,Newcastle United,Brighton and Hove Albion,4,1,W,2,0,0,0,1.0,20.0,71.0,7.0,18.0,9.0,3.0,7.0,19.0,2.0,128.0,11.0,7.0,11.0,4.0,3.0,15.0,1.0,1.0,9.0,53.0,121.0,53.0,1.0,22.0,,7.0,5.0,1.0,2.0,2.0,,13.0,10.0,,1.0,9.0,6.0,2.0,48.0,102.0,,,0.0,100.0,17.0,,2.0,3.0,1.0,47.0,14.0,10.0,32.0,3.0,7.0,12.0,3.0,1.0,,1.0,2.0,121.0,5.0,5.0,41.0,436.0,10.0,2.0,42.0,3.0,,9.0,171.0,25.0,2.0,3.0,3.0,1.0,2.0,3.0,5.0,25.0,234.0,52.0,1.0,2.0,98747,12.0,85.0,5.0,3.0,1.0,4.0,98.0,7.0,2.0,2.0,6.0,4.0,53.0,1.0,1.0,1.0,3.0,2.0,20.0,3.0,2.0,58.0,180.0,16.0,15.0,2.0,12.0,3.0,59.0,2.0,,0.0,2.0,1.0,4.0,0.0,5.0,3.0,6.0,33.7,21.0,1.0,9.0,2.0,3.0,7.0,24.0,6.0,1.0,254.0,9.0,7.0,16.0,6.0,34.0,2.0,4.0,169.0,9.0,1.0,15.0,61.0,29.0,1.0,3.0,11.0,14.0,5.0,18.0,6.0,6.0,,1.0,1.0,2.0,,1.0,1.0,2.0,,,,,,3.0,2.0,1.0,,2.0,,,1.0,,,,1.0,1.0,,,,,,,,2.0,,1.0,2.0,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,
26,2293066,2023-03-04 12:30:00,"Etihad Stadium, Manchester",53419,Away,Newcastle United,Manchester City,0,2,L,0,1,0,0,1.0,19.0,51.0,2.0,20.0,17.0,1.0,1.0,4.0,1.0,139.0,10.0,3.0,12.0,,1.0,4.0,,,2.0,113.0,121.0,35.0,1.0,5.0,,9.0,1.0,,,1.0,,17.0,7.0,,1.0,17.0,4.0,5.0,42.0,151.0,,,0.0,98.0,13.0,,,2.0,,43.0,45.0,2.0,64.0,1.0,14.0,17.0,1.0,1.0,,4.0,,121.0,1.0,7.0,94.0,568.0,3.0,3.0,20.0,,,11.0,321.0,20.0,3.0,9.0,,,4.0,2.0,1.0,17.0,393.0,39.0,2.0,,98747,2.0,183.0,1.0,8.0,,,208.0,6.0,,,12.0,8.0,46.0,3.0,,1.0,6.0,,12.0,4.0,3.0,44.0,331.0,5.0,12.0,,13.0,,61.0,1.0,,0.0,1.0,8.0,,0.0,3.0,,,43.7,16.0,,3.0,,6.0,2.0,34.0,4.0,,410.0,11.0,9.0,23.0,1.0,24.0,1.0,1.0,219.0,4.0,5.0,7.0,69.0,21.0,,9.0,11.0,4.0,5.0,16.0,12.0,4.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
